"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"27","2017_Q2",30.5006349206349,"Down",626936000,-258401000,368535000,-264253000,-145297000,-69535000,-49421000,104282000,-56943000,-57318000,-1321000,1696000,47339000,51943000,99282000,-28579000,70703000,70703000,-13501000,57202000,57202000,815700000,815700000,510079000,510079000,115031000,41049000,68482000,1440810000,712467000,4164046000,1914386000,1998135000,251525000,4876513000,6317323000,301991000,245987000,64595000,100882000,89939000,467468000,4002553000,750403000,145236000,4752956000,5220424000,1344819000,1026000,1343793000,-214859000,-807000,1129153000,-32254000,1096899000,6317323000,70703000,23981000,3882000,-30428000,68138000,174375000,-5136000,159663000,-16257000,-121333000,-17884000,332409000,560210000,560210000,560210000,128263000,4067148000,300789000,0.58784,0.16634,0.09124,0.05215,0.00905,5.25837,3.08216,4.75926,0.64381,0.61753,0.61053,6.76817,12.18993,3.24721,0.1755,0.01242,0.05086,0.2842,25.34985,31.17938
"28","2017_Q3",26.7161904761905,"Down",652234000,-269486000,382748000,-264049000,-152097000,-66980000,-44972000,118699000,-47934000,-50959000,1462000,1563000,70765000,150000.000000015,70915000,-24880000,46035000,46035000,-1390000,44645000,44645000,796047000,796047000,537286000,537286000,89109000,36343000,41096000,1422442000,705483000,4161611000,1885865000,2002809000,272937000,4867094000,6289536000,290758000,290758000,168279000,78451000,67526000,537488000,3884159000,742917000,141839000,4627076000,5164564000,1347684000,1027000,1346657000,-188701000,-807000,1158176000,-33204000,1124972000,6289536000,46035000,23603000,53259000,-49832000,73065000,-13241000.0000001,-3609999.99999999,-56215000,-18487000,-16746000,-2468000,-37701000,-20851000,-20851000,-20851000,142302000,4052438000,104109000,0.58683,0.18199,0.06845,0.03969,0.0071,2.33193,2.64646,4.59084,0.64431,0.43493,0.43067,6.35402,11.28288,1.01422,0.1801,0.01066,0.01759,0.41409,22.88366,27.43402
"29","2017_Q4",28.385873015873,"Up",644532000,-268331000,376201000,-272789000,-159436000,-67810000,-45543000,103412000,-55167000,-51743000,-4362000,938000,48245000,1438000,49683000,-17118000,32565000,32565000,-1929000,30636000,30636000,602193000,602193000,523111000,523111000,464127000,37384000,421663000,1589431000,724125000,4373513000,2010658000,2113651000,249204000,5097638000,6687069000,292348000,290848000,164485000,454390000,443877000,911223000,3876134000,791413000,129668000,4667547000,5578770000,1319172000,1017000,1318155000,-176370000,-807000,1141995000,-33696000,1108299000,6687069000,32565000,24442000,43503000,31362000,131872000,-21415000,312776000,53336000,-18305000,-14189000,-5474000,-68255000,116953000,116953000,116953000,127854000,4040619000,154919000,0.58368,0.16045,0.04753,0.02764,0.00458,5.05676,1.74428,5.03363,0.60424,0.29963,0.29728,6.3038,11.1692,1.51517,0.17903,0.00824,0.02608,0.5975,26.89338,33.24978
"30","2018_Q1",30.6162295081967,"Up",810416000,-266856000,543560000,-312346000,-189960000,-71600000,-40786000,231214000,-57314000,-52295000,-9698000,4679000,173900000,124964000,298864000,145937000,444801000,444801000,-1271000,443530000,443530000,681326000,681326000,566464000,566464000,466957000,54310000,384497000,1714747000,738298000,4331425000,1961041000,2124033000,246351000,5069723000,6784470000,372906000,370403000,161049000,192394000,192394000,726349000,3887601000,636154000,120918000,4523755000,5250104000,1321316000,1018000,1320298000,248845000,-1423000,1568738000,-34372000,1534366000,6784470000,444801000,25077000,-300913000,-10936000,158029000,-30897000,-284475000,-354809000,-18315000,-17436000,-2439000,-38190000,-234970000,-234970000,-234970000,256291000,4048650000,68521000,0.67072,0.2853,0.54729,0.28906,0.06537,0.15449,2.36078,3.42168,0.59675,4.35465,4.31685,7.9568,15.40213,0.67275,0.17982,0.07426,0.01102,0.04129,13.13867,14.56367
"31","2018_Q2",25.9440625,"Down",665352000,-288549000,376803000,-290598000,-171495000,-70930000,-48173000,86205000,-78948000,-69742000,-12477000,3271000,7257000,21109000,28366000,15628000,43994000,43994000,-871000,43123000,43123000,810232000,810232000,538472000,538472000,365987000,68784000,269294000,1714691000,654432000,4294288000,1886192000,2021970000,386126000,4948720000,6663411000,359295000,356792000,154944000,77442000,77442000,591681000,3887235000,612952000,114233000,4500187000,5091868000,1333454000,1022000,1332432000,275676000,-1423000,1607707000,-36164000,1571543000,6663411000,43994000,27325000,17112000,-81000,88350000,-22170000,8970000,-8357000,-18392000,-16587000,-2659000,-37638000,42355000,42355000,42355000,113530000,4042179000,75651000,0.56632,0.12956,0.06481,0.02744,0.00647,1.75431,2.898,3.24004,0.60662,0.42319,0.41901,6.52952,15.77746,0.74241,0.18049,0.00988,0.01215,0.4265,28.46778,37.49141
"32","2018_Q3",24.8080952380952,"Down",730144000,-300858000,429286000,-302444000,-180479000,-66234000,-55731000,126842000,-105570000,-92271000,-17483000,4184000,21272000,4741000,26013000,3297000,29310000,29310000.0000001,-1268000,28042000,28042000,1014718000,1014718000,566170000,566170000,97871000,78214000,19657000,1678759000,666636000,4236148000,1842917000,2022073000,371158000,4902784000,6581543000,477386000,455463000,44191000,46440000,46440000,568017000,3875358000,552750000,111043000,4428108000,4996125000,1337274000,1023000,1336251000,285316000,-1423000,1621167000,-35749000,1585418000,6581543000,29310000.0000001,23117000,-16396000,101948000,137979000,-29093000,2874000,-18689000,-18403000,-123474000,516000,-141361000,-22071000,-22071000,-22071000,149959000,3919549000,219517000,0.58795,0.17372,0.03841,0.01769,0.00426,7.82815,2.95547,3.1513,0.59554,0.27432,0.272289999999999,7.14259,15.85897,2.14741,0.18003,0.00767,0.03624,0.65627,19.37083,22.90118
"33","2018_Q4",25.607619047619,"Up",766260000,-303782000,462478000,-315496000,-188903000,-69635000,-56958000,146982000,-95458000,-75753000,-25379000,5674000,51524000,10828000,62352000,2648000,6.5e+07,6.5e+07,-1125000,63875000,63875000,1022974000,1022974000,609742000,609742000,158019000,70891000,87128000,1790735000,674440000,4162239000,1828562000,2125402000,208275000,4836679000,6627414000,442791000,428471000,43698000,114115000,114115000,600604000,3862641000,578615000,133675000,4441256000,5041860000,1294176000,1007000,1293169000,330780000,-1423000,1623533000,-37979000,1585554000,6627414000,6.5e+07,25035000,77289000,-76087000,91237000,-25268000,3823000,-4103000,-18410000,-10840000,-3722000,-78876000,8258000,8258000,8258000,172017000,3906339000,68014000,0.60355,0.19182,0.08336,0.04029,0.00964,1.0648,2.98156,3.17987,0.58942,0.62572,0.62142,7.50624,15.90405,0.66626,0.18034,0.01355,0.0112,0.28822,16.76209,19.61713
"34","2019_Q1",29.5759016393443,"Up",893244000,-297811000,595433000,-335462000,-200123000,-73201000,-62138000,259971000,-70024000,-54234000,-5661000,-10129000,189947000,3322000,193269000,14427000,207696000,207696000,-1736000,205960000,205960000,1060330000,1060330000,598597000,598597000,124979000,60732000,64247000,1783906000,683134000,4105052000,1785102000,2123902000,196048000,4788186000,6572092000,436541000,413227000,42564000,93480000,93480000,572585000,3849891000,549296000,136043000,4399187000,4971772000,1.122e+09,946000,1121054000,517620000,-784000,1638836000,-38516000,1600320000,6572092000,207696000,29523000,198995000,-106780000,329434000,-20469000,11333000,-86851000,-18795000,-12099000,-1135000,-207125000,35458000,35458000,35458000,289494000,3892455000,147818000,0.6666,0.29104,0.23058,0.1287,0.03134,0.7177,3.11553,3.10674,0.59227,2.11358,2.09778,9.16655,16.81789,1.51692,0.19288,0.0372,0.02446,0.09126,9.78302,10.894
"35","2019_Q2",44.9885714285714,"Up",722103000,-319044000,403059000,-317370000,-187649000,-66484000,-63237000,85689000,-66068000,-54626000,-13637000,2195000,19621000,7909000,27530000,-4759000,22771000,22771000,-1099000,21672000,21672000,975347000,975347000,581226000,581226000,126429000,84337000,42092000,1683002000,687217000,4263989000,1742385000,2123902000,397702000,4951206000,6634208000,401025000,376287000,42193000,96362000,96362000,539580000,3840952000,734523000,319650000,4575475000,5115055000,1039249000,917000,1038332000,520936000,-784000,1559401000,-40248000,1519153000,6634208000,22771000,23020000,77351000,-23467000,99675000,-29008000,-18147000,-47155000,-18356000,-11062000,-3100000,-137503000,-84983000,-84983000,-84983000,108709000,3883145000,60993000,0.55817,0.11867,0.03001,0.01427,0.00327,2.81437,3.1191,3.36704,0.58532,0.23479,0.23249,7.82326,16.89455,0.6608,0.19887,0.00652,0.00994,0.84699,26.74846,33.93432
"36","2019_Q3",43.1290625,"Down",770719000,-335162000,435557000,-343546000,-216410000,-65842000,-61294000,92011000,-59989000,-53678000,-11844000,5533000,32022000,13988000,46010000,-2626999.99999999,43383000,43383000,-1086000,42297000,42297000,929038000,929038000,589952000,589952000,116640000,86574000,21854000,1635630000,699505000,4218531000,1698847000,2123902000,395782000,4918036000,6553666000,424580000,424580000,25207000,76437000,76437000,526224000,3762794000,735649000,320070000,4498443000,5024667000,1025075000,920000,1024155000,544824000,-784000,1569115000,-40116000.0000001,1528999000,6553666000,43383000,22305000,61069000,-3741000,123016000,-10468000,19768000,-34293999.9999995,-18409000,-96983000,409999.999999993,-135031000,-46309000,-46309000,-46309000,114316000,3788001000,102734000,0.56513,0.11938,0.05488,0.02766,0.00645,2.42887,3.10824,3.28625,0.578,0.46094,0.45403,8.39911,17.09983,1.11957,0.20062,0.01003,0.01697,0.43523,25.0093,31.07197
"37","2019_Q4",33.34734375,"Down",1125178000,-560794000,564384000,-606084000,-422941000,-119674000,-63469000,-41700000,-136943000,-128696000,-12519000,4272000,-178643000,35103000,-143540000,95386000,-48154000,-48154000,-11815000,-59969000,-59969000,1.399e+09,1.399e+09,1.137e+09,1.137e+09,3.67e+08,2.37e+08,8e+07,2.903e+09,7.4e+08,1.4136e+10,9.262e+09,4.048e+09,8.26e+08,1.4876e+10,1.7779e+10,6.3e+08,6.3e+08,7.1e+07,3.92e+08,3.92e+08,1.093e+09,1.2392e+10,1.257e+09,8.96e+08,1.3649e+10,1.4742e+10,1.029e+09,1e+06,1.028e+09,4.67e+08,-1e+06,1.495e+09,1.542e+09,3.037e+09,1.7779e+10,-48154000,23675000,121580000,174208000,271309000,-6524000,4379000,-9395551000,-28235000,9831045000,-208310000,9594534000,470292000,470292000,470292000,-18025000,1.2463e+10,54273000,0.5016,-0.03706,-0.0533,-0.01975,-0.00337,-0.90502,2.65599,4.85413,0.701,-0.65123,-0.64183,12.21877,16.23482,0.58937,0.30662,-0.00189,0.00324,-0.47083,-613.81415,-265.32374
"38","2020_Q1",23.4170967741935,"Down",1.622e+09,-9.48e+08,6.74e+08,-4.32e+08,-2.92e+08,-1.72e+08,3.2e+07,2.42e+08,-1.88e+08,-1.85e+08,3e+06,-6e+06,53999999.9999999,2.5e+07,7.9e+07,7999999.99999999,8.7e+07,8.7e+07,-4.4e+07,4.3e+07,4.3e+07,1.333e+09,1.333e+09,1.132e+09,1.132e+09,4.48e+08,2.32e+08,1.13e+08,2.913e+09,7.65e+08,1.3692e+10,2.156e+09,4.716e+09,6.82e+09,1.4457e+10,1.737e+10,7.82e+08,7.82e+08,7.1e+07,2.81e+08,2.81e+08,1.134e+09,1.2367e+10,1.097e+09,6.9e+08,1.3464e+10,1.4598e+10,1.012e+09,1e+06,1.011e+09,4.92e+08,-2e+06,1.502e+09,1.27e+09,2.772e+09,1.737e+10,8.7e+07,3.55e+08,-8.8e+07,6.8e+07,4.22e+08,-1.02e+08,6.3e+07,-52999999.9999981,-4.1e+07,-1.8e+07,-3.56e+08,-4.35e+08,-66000000.0000001,-66000000.0000001,-66000000.0000001,5.97e+08,1.2438e+10,5.55e+08,0.41554,0.1492,0.02651,0.01551,0.00248,12.90698,2.56878,5.26623,0.71606,0.46785,0.46273,17.6477,16.34207,6.03852,0.44609,0.00515,0.03403,0.95349,18.6013400000002,45.88843
"39","2020_Q2",15.8050793650794,"Down",1.609e+09,-8.51e+08,7.58e+08,-4.63e+08,-2.59e+08,-1.74e+08,-3e+07,2.95e+08,-1.9e+08,-1.8e+08,-6e+06,-4e+06,1.05e+08,3.4e+07,1.39e+08,1.2e+07,1.51e+08,1.51e+08,-2.8e+07,1.23e+08,1.23e+08,1.342e+09,1.342e+09,1.1e+09,1.1e+09,6.27e+08,1.52e+08,3.38e+08,3.069e+09,7.86e+08,1.3505e+10,7.972e+09,4.716e+09,8.17e+08,1.4291e+10,1.736e+10,5.26e+08,5.26e+08,7.1e+07,2.43e+08,2.43e+08,8.4e+08,1.3231e+10,1.111e+09,6.82e+08,1.4342e+10,1.5182e+10,8.65e+08,1e+06,8.64e+08,5.96e+08,-2e+06,1.459e+09,7.19e+08,2.178e+09,1.736e+10,1.51e+08,2.4e+07,5e+06,-2.19e+08,-3.9e+07,-2.8e+07,3e+07,-2.3e+07,-1.8e+07,8.53e+08,-5.88e+08,7.1e+07,9e+06,9e+06,9e+06,3.19e+08,1.3302e+10,6e+07,0.4711,0.18334,0.07644,0.05647,0.00709,0.4878,3.65357,6.97062,0.76624,1.35748,1.3483,17.75762,16.10215,0.66219,0.19866,0.0085,0.00362,0.14634,37.49216,40.54237
"40","2020_Q3",18.56203125,"Up",1.283e+09,-4.04e+08,8.79e+08,-4.15e+08,-2.18e+08,-1.76e+08,-2.1e+07,4.64e+08,-1.68e+08,-1.65e+08,-7e+06,4e+06,2.96e+08,30999999.9999999,3.27e+08,-54000000.0000001,2.73e+08,2.73e+08,-2.1e+07,2.52e+08,2.52e+08,6.22e+08,6.22e+08,9.85e+08,9.85e+08,9.85e+08,1.5e+08,7.25e+08,2.592e+09,8.09e+08,1.3368e+10,7.827e+09,4.716e+09,8.25e+08,1.4177e+10,1.6769e+10,5.73e+08,5.73e+08,7.1e+07,2.59e+08,2.59e+08,9.03e+08,1.2328e+10,1.217e+09,7.62e+08,1.3545e+10,1.4448e+10,7.88e+08,999999.999999998,7.87e+08,8.32e+08,-1.1e+07,1.609e+09,7.12e+08,2.321e+09,1.6769e+10,2.73e+08,3.26e+08,-5.34e+08,3.08e+08,3.73e+08,-5.1e+07,2.6e+07,-48000000.0000002,-4.1e+07,-9.08e+08,-1.1e+07,-1.045e+09,-7.2e+08,-7.2e+08,-7.2e+08,7.9e+08,1.2399e+10,1.101e+09,0.68511,0.36165,0.19641,0.10857,0.01503,4.36905,2.87043,6.2249,0.7394,3.13335,3.12128,15.95275,20.00622,13.68977,0.50979,0.01838,0.06908,0.1627,14.90759,25.38147
"41","2020_Q4",22.15984375,"Up",1.539e+09,-1.096e+09,4.43e+08,-4.34e+08,-2.42e+08,-1.74e+08,-1.8e+07,9e+06,2e+06,-1.57e+08,-1e+07,1.69e+08,1.1e+07,-4.225e+09,-4.214e+09,8.47e+08,-3.367e+09,-3.367e+09,1.11e+08,-3.256e+09,-3.256e+09,6.32e+08,6.32e+08,1.108e+09,1.108e+09,8.01e+08,2.18e+08,3.35e+08,2.541e+09,8.14e+08,9.128e+09,1.526e+09,2.092e+09,5.251e+09,9.942e+09,1.2483e+10,4.66e+08,4.66e+08,7.2e+07,4.36e+08,4.36e+08,9.74e+08,1.2391e+10,6.01e+08,6.01e+08,1.2992e+10,1.3966e+10,7.72e+08,6.1e+07,7.11e+08,-2.438e+09,-1.1e+07,-1.677e+09,1.94e+08,-1.483e+09,1.2483e+10,-3.367e+09,1.74e+08,3.919e+09,-2.21e+08,5.05e+08,-1.5e+07,2.5e+07,-2.7e+07,-2.2e+07,5.7e+07,-4.2e+08,-4.67e+08,1.1e+07,1.1e+07,1.1e+07,1.83e+08,1.2463e+10,-9e+08,0.28785,0.00585,-2.11566,2.19555,-0.26083,0.27641,2.60883,-9.4174,0.9984,-43.56902,-44.11685,20.59359,-22.44019,-12.04303,0.29439,-0.27925,-0.07771,-0.00675999999999999,64.65027,1314.55556
"42","2021_Q1",31.0580327868852,"Up",1.512e+09,-4.7e+08,1.042e+09,-4.33e+08,-2.61e+08,-1.5e+08,-2.2e+07,6.09e+08,-1.1e+07,-1.54e+08,-1.3e+07,1.56e+08,5.98e+08,1e+06,5.99e+08,-8.5e+07,514000000.000001,514000000.000001,-4.7e+07,4.67e+08,4.67e+08,1.259e+09,1.259e+09,1.06e+09,1.06e+09,8.98e+08,1.7e+08,4.98e+08,3.217e+09,8.23e+08,9.342e+09,4.457e+09,2.092e+09,1.258e+09,1.0165e+10,1.3382e+10,5.33e+08,5.33e+08,5.8e+07,4.43e+08,4.43e+08,1.034e+09,1.2493e+10,8.5e+08,8.5e+08,1.3343e+10,1.4377e+10,7.22e+08,1e+06,7.21e+08,-1.986e+09,-1e+07,-1.274e+09,2.79e+08,-9.95e+08,1.3382e+10,514000000.000001,1.5e+08,-2.16e+08,2.61e+08,7.09e+08,-2.7e+07,3.6e+07,-6.1e+07,-1.8e+07,7.8e+07,-79000000.0000001,-19000000.0000001,6.29e+08,6.29e+08,6.29e+08,7.59e+08,1.2551e+10,1.078e+09,0.68915,0.40278,0.30886,-0.46935,0.0348999999999999,2.30835,3.11122,-14.44925,0.9379,6.31679,6.31679,20.45178,-17.23252,14.58136,0.24347,0.03909,0.08689,0.03854,14.87747,18.5418700000002
"43","2021_Q2",30.3807936507937,"Down",1.511e+09,-1.046e+09,4.65e+08,-4.44e+08,-2.74e+08,-1.53e+08,-1.7e+07,2.1e+07,-1.8e+07,-1.51e+08,9e+06,1.24e+08,3e+06,1.4e+07,1.7e+07,9e+06,2.6e+07,2.6e+07,-3.8e+07,-1.2e+07,-1.2e+07,9.41e+08,9.41e+08,1.058e+09,1.058e+09,9.71e+08,1.94e+08,5.42e+08,2.97e+09,8.04e+08,9.358e+09,4.339e+09,2.091e+09,1.415e+09,1.0162e+10,1.3132e+10,4.69e+08,4.69e+08,5.8e+07,3.95e+08,3.95e+08,9.22e+08,1.2482e+10,7.26e+08,7.26e+08,1.3208e+10,1.413e+10,7.36e+08,1e+06,7.35e+08,-2.013e+09,-2e+06,-1.279e+09,2.81e+08,-9.98e+08,1.3132e+10,2.6e+07,1.53e+08,-2.66e+08,-1.19e+08,-2.06e+08,8e+06,1.5e+07,-2.6e+07,-1.9e+07,-2e+07,-4.6e+07,-8.5e+07,-3.17e+08,-3.17e+08,-3.17e+08,1.74e+08,1.254e+10,5.4e+07,0.30774,0.0139,-0.00794,0.01202,-0.00091,-4.5,3.22126,-14.15832,0.95492,-0.16131,-0.16131,20.31214,-17.1934,0.72591,0.25541,0.00057,0.0044,-1.58333,66.66092,552.33333
"44","2021_Q3",27.78875,"Down",1.612e+09,-1.367e+09,2.45e+08,-4.31e+08,-2.7e+08,-1.47e+08,-1.4e+07,-1.86e+08,-2.19e+08,-1.6e+08,2e+06,-6.1e+07,-4.05e+08,7999999.99999988,-3.97e+08,6.9e+07,-3.28e+08,-3.28e+08,-4e+06,-3.32e+08,-3.32e+08,9.64e+08,9.64e+08,1.148e+09,1.148e+09,5.45e+08,1.75e+08,1.9e+08,2.657e+09,7.89e+08,9.334e+09,4.241e+09,2.088e+09,1.456e+09,1.0123e+10,1.278e+10,5.88e+08,5.88e+08,6.6e+07,3.82e+08,3.82e+08,1.036e+09,1.2473e+10,6.33e+08,6.33e+08,1.3106e+10,1.4142e+10,7.41e+08,1e+06,7.4e+08,-2.36e+09,-5e+06,-1.624e+09,2.62e+08,-1.362e+09,1.278e+10,-3.28e+08,1.47e+08,3.84e+08,-8999999.99999994,1.94e+08,-7e+06,7e+06,-1.15e+08,-1.5e+07,-8e+06,-3.3e+07,-5.6e+07,23000000.0000001,23000000.0000001,23000000.0000001,-3.9e+07,1.2539e+10,-1.24e+08,0.15199,-0.11538,-0.20596,0.24376,-0.02598,0.373489999999999,2.56467,-10.38326,0.98114,-4.46303,-4.46303,21.66987,-21.83118,-1.66691,0.20164,-0.02684,-0.0105,-0.04518,-296.79487,-62.23118
"45","2021_Q4",25.415,"Down",1.535e+09,-1.044e+09,4.91e+08,-4.22e+08,-2.63e+08,-1.48e+08,-1.1e+07,6.9e+07,-1.47e+08,-1.55e+08,1.2e+07,-4e+06,-7.8e+07,4e+06,-7.4e+07,9.1e+07,1.7e+07,1.7e+07,2e+06,1.9e+07,1.9e+07,1.058e+09,1.058e+09,1.174e+09,1.174e+09,5.6e+08,2.06e+08,8.1e+07,2.792e+09,7.85e+08,9.268e+09,4.144e+09,2.088e+09,1.538e+09,1.0053e+10,1.2845e+10,6.24e+08,6.24e+08,6.6e+07,4.5e+08,4.5e+08,1.14e+09,1.2464e+10,6.07e+08,6.07e+08,1.3071e+10,1.4211e+10,7.48e+08,1e+06,7.47e+08,-2.357e+09,-4e+06,-1.613e+09,2.47e+08,-1.366e+09,1.2845e+10,1.7e+07,1.48e+08,2.39e+08,-1.57e+08,2.47e+08,-2e+07,1e+07,-9e+07,-1.6e+07,-1.5e+07,-3.3e+07,-6.4e+07,9.3e+07,9.3e+07,9.3e+07,2.17e+08,1.253e+10,-5.1e+07,0.31987,0.04495,0.01238,-0.01391,0.00148,-2.68421,2.44912,-10.40337,0.97548,0.2531,0.2531,20.44813,-21.48718,-0.67938,0.21314,0.00297,-0.00433,0.84211,52.86636,166.26087
"46","2022_Q1",26.6524193548387,"Up",1.476e+09,-9.27e+08,5.49e+08,-4.29e+08,-2.71e+08,-1.43e+08,-1.5e+07,1.2e+08,-2.03e+08,-1.52e+08,2.2e+07,-7.3e+07,-8.3e+07,3.8e+07,-4.5e+07,4e+06,-40999999.9999999,-40999999.9999999,-4.8e+07,-8.9e+07,-8.9e+07,8.16e+08,8.16e+08,1.245e+09,1.245e+09,4.1e+08,1.73e+08,8.5e+07,2.471e+09,8.33e+08,9.237e+09,4.054e+09,2.088e+09,1.618e+09,1.007e+10,1.2541e+10,6.55e+08,6.55e+08,6.9e+07,4.78e+08,4.78e+08,1.202e+09,1.2271e+10,5.77e+08,5.77e+08,1.2848e+10,1.405e+10,6.92e+08,1385277.88511557,711356430.085245,-2.46e+09,-2e+06,-1.77e+09,2.61e+08,-1.509e+09,1.2541e+10,-40999999.9999999,1.43e+08,-12000000.0000001,2e+06,9.2e+07,-1.8e+07,1.9e+07,-1.5e+07,-1.5e+07,-2.01e+08,-4.2e+07,-3.19e+08,-2.42e+08,-2.42e+08,-2.42e+08,2.63e+08,1.234e+10,2.43e+08,0.37195,0.0813,-0.0602999999999999,0.0589800000000001,-0.0071,-2.73034,2.05574,-9.3108,0.98397,-1.16061,-1.15795,19.24782,-23.08174,3.16885,0.19561,-0.00649,0.0213,-0.16854,43.81749,96.03333
"47","2022_Q2",22.4856451612903,"Down",1.288e+09,-7.83e+08,5.05e+08,-4.01e+08,-2.67e+08,-1.21e+08,-1.3e+07,1.04e+08,-1.63e+08,-1.15e+08,1.2e+07,-6e+07,-5.9e+07,3.362e+09,3.303e+09,-6.87e+08,2.616e+09,2.616e+09,-2.9e+07,2.587e+09,2.587e+09,5.21e+08,5.21e+08,6.2e+08,6.2e+08,3.26e+08,1.7e+08,19070697.3501562,1.467e+09,7.15e+08,4.48e+09,6.54e+08,2.088e+09,1.167e+09,5.195e+09,6.662e+09,3.92e+08,3.92e+08,3.6e+07,1.75e+08,1.75e+08,6.03e+08,4.362e+09,8.1e+08,4.15e+08,5.172e+09,5.775e+09,6.58e+08,1e+06,6.57e+08,1.09e+08,-2e+06,7.65e+08,1.22e+08,8.87e+08,6.662e+09,2.616e+09,1.21e+08,-2.563e+09,-1.04e+08,7e+07,-1.7e+07,7.1e+07,-2.66e+08,-1.9e+07,-7e+06,-8e+06,-1.02e+08,-2.98e+08,-2.98e+08,-2.98e+08,2.25e+08,4.398e+09,7.91e+08,0.39208,0.08075,2.00854,2.91657,0.38832,0.30576,2.43284,6.51071,0.66016,34.49517,34.49517,17.17425,10.20054,10.54723,0.25335,0.42756,0.12978,0.00734000000000026,17.23111,37.27885
"48","2022_Q3",21.74578125,"Down",8.37e+08,-4.24e+08,4.13e+08,-3.1e+08,-2.33e+08,-6.7e+07,-1e+07,1.03e+08,-1.56e+08,-5.4e+07,3e+06,-1.05e+08,-5.3e+07,7e+06,-46000000.000001,4e+07,-6e+06,-6e+06,-5e+06,-1.1e+07,-1.1e+07,4.2e+08,4.2e+08,6.06e+08,6.06e+08,3.39e+08,1.65e+08,-246787907.949531,1.365e+09,7.13e+08,4.371e+09,6.34e+08,2.088e+09,1.101e+09,5.084e+09,6.449e+09,4.14e+08,4.14e+08,4.3e+07,1.6e+08,1.6e+08,6.17e+08,4.233e+09,7.7e+08,4.1e+08,5.003e+09,5.62e+09,6.29e+08,1e+06,6.28e+08,7.9e+07,-2e+06,7.06e+08,1.23e+08,8.29e+08,6.449e+09,-6e+06,6.7e+07,9.4e+07,-1.8e+07,1.37e+08,-1.9e+07,1.2e+07,-6.3e+07,-2e+07,-1.1e+08,-9e+06,-1.75e+08,-1.01e+08,-1.01e+08,-1.01e+08,1.7e+08,4.276e+09,92999999.9999999,0.49343,0.12306,-0.0131399999999999,-0.0132699999999999,-0.00170999999999999,-8.45455,2.21232,6.77925,0.66305,-0.14667,-0.146670000000007,11.1606,9.41384,1.24007,0.26668,0.00152999999999998,0.01583,-1.81818,22.68235,37.43689
