"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","short_term_debt","current_portion_of_long_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","stock_based_compensation","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","net_cash_from_other_acquisitions","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"29","2017_Q2",52.9320634920635,"Up",2.475e+09,-1.433e+09,1.042e+09,-6.98e+08,-5.7e+08,-1.28e+08,3.44e+08,-1.6e+07,-1.4e+07,-2e+06,3.28e+08,3.28e+08,-5.5e+07,2.73e+08,2.72e+08,2.72e+08,2.72e+08,2.858e+09,2.858e+09,1.646e+09,1.48e+09,6.49e+08,6.03e+08,6.633e+09,4.274e+09,4.752e+09,2.633e+09,1.091e+09,1.028e+09,9.026e+09,1.5659e+10,2.33e+09,3e+06,3e+06,2.438e+09,2.784e+09,1.762e+09,1.762e+09,4.546e+09,6.984e+09,6.591e+09,6.83e+08,5.908e+09,-7.81e+09,1.4323e+10,-4.418e+09,8.686e+09,-1.1e+07,8.675e+09,1.5659e+10,2.73e+08,2.72e+08,1.94e+08,-4.8e+07,1.8e+07,9e+06,-7.5e+07,-2.13e+08,7.8e+07,-2.9e+07,-2.62e+08,1.89e+08,-1.23e+08,-1.23e+08,6e+06,-6e+06,-1.17e+08,-7e+07,560438548.392149,8.4e+07,-3.7e+07,3.5e+07,3.5e+07,2.2e+07,5.7e+07,5.38e+08,2.787e+09,2.57e+08,0.42101,0.13899,0.1099,0.03135,0.01737,0.94485,2.72067,0.80507,0.17798,0.50277,0.49365,4.57486,16.05545,0.47505,0.12939,6,0.02586,0.01943,0.25735,-0.13197,-0.2064
"30","2017_Q3",57.7115873015873,"Up",2.605e+09,-1.471e+09,1.134e+09,-7.78e+08,-6.24e+08,-1.54e+08,3.56e+08,-5e+07,-1.3e+07,-3.7e+07,3.06e+08,3.06e+08,-4.2e+07,2.64e+08,2.65e+08,2.65e+08,2.65e+08,3.817e+09,3.817e+09,1.721e+09,1.525e+09,6.41e+08,6.19e+08,7.704e+09,4.337e+09,4.922e+09,2.746e+09,1.109e+09,1.067e+09,9.259e+09,1.6963e+10,2.471e+09,3000000.00000001,3e+06,2.558e+09,3.454e+09,1.786e+09,1.786e+09,5.24e+09,7.798e+09,6.593e+09,6.83e+08,5.91e+09,-7.722e+09,1.448e+10,-4.176e+09,9.175e+09,-1e+07,9.165e+09,1.6963e+10,2.64e+08,2.65e+08,1.84e+08,7e+06,2.8e+07,-2.9e+07,8e+06,1.06e+08,-3.5e+07,-8999999.99999999,1.5e+08,5.29e+08,-1.56e+08,-1.56e+08,-4e+07,-3e+07,-1.96e+08,-7.1e+07,6.33e+08,8.5e+07,6.03e+08,9.36e+08,9.36e+08,2.3e+07,9.59e+08,5.4e+08,3.457e+09,5.32e+08,0.43532,0.13666,0.10173,0.02891,0.01562,2.00755,3.01173,0.85085,0.2038,0.48713,0.47748,4.7886,16.86581,0.97794,0.13051,6,0.02332,0.03692,0.26792,-0.66667,-1.01124
"31","2017_Q4",60.1434920634921,"Up",2.707e+09,-1.577e+09,1.13e+09,-8.3e+08,-6.8e+08,-1.5e+08,3e+08,-1e+07,-1.4e+07,4e+06,2.9e+08,2.9e+08,-4.2e+07,2.48e+08,2.51e+08,2.51e+08,2.51e+08,3.517e+09,3.517e+09,1.748e+09,1.55e+09,6.33e+08,6.33e+08,7.448e+09,4.488e+09,5.605e+09,3.117e+09,1.371e+09,1.117e+09,1.0093e+10,1.7541e+10,2.572e+09,3e+06,3e+06,2.662e+09,3.495e+09,1.925e+09,1.925e+09,5.42e+09,8.082e+09,6.601e+09,6.83e+08,5.918e+09,-7.756e+09,1.4615e+10,-3.994e+09,9.466e+09,-7e+06,9.459e+09,1.7541e+10,2.48e+08,2.51e+08,1.84e+08,4.1e+07,3.1e+07,-1e+07,2e+07,1.03e+08,-1.1e+07,3.8e+07,7.6e+07,6.05e+08,-1.31e+08,-1.31e+08,-6.44e+08,-6.44e+08,-7.75e+08,-8.7e+07,0,9.2e+07,-1.75e+08,-3.45e+08,-3.45e+08,4.5e+07,-3e+08,4.84e+08,3.498e+09,4.98e+08,0.41744,0.11082,0.09272,0.02654,0.01431,1.98406,2.7979,0.85442,0.19942,0.46055,0.45063,4.96697,17.36881,0.91376,0.15963,6,0.02271,0.03346,0.34661,-0.03926,-0.06333
"32","2018_Q1",63.5188524590164,"Up",2.774e+09,-1.61e+09,1.164e+09,-8.73e+08,-6.92e+08,-1.81e+08,2.91e+08,2e+06,-1.4e+07,1.6e+07,2.93e+08,2.93e+08,-3.54e+08,-6.1e+07,-7.1e+07,-7.1e+07,-7.1e+07,3.394e+09,3.394e+09,1.793e+09,1.475e+09,6.01e+08,6.01e+08,7.263e+09,4.588e+09,5.26e+09,3.099e+09,1.374e+09,7.87e+08,9.848e+09,1.7111e+10,2.733e+09,3e+06,3e+06,2.821e+09,3.509e+09,1.665e+09,1.665e+09,5.174e+09,7.995e+09,6.623e+09,6.83e+08,5.94e+09,-7.981e+09,1.4483e+10,-4.001e+09,9.124e+09,-8e+06,9.116e+09,1.7111e+10,-6.1e+07,-7.1e+07,1.99e+08,1.78e+08,3e+07,2.41e+08,-9.3e+07,1.94e+08,-2e+06,7.6e+07,1.2e+08,5.14e+08,-2.24e+08,-2.24e+08,2000000.00000012,-6e+06,-2.22e+08,-8.7e+07,-1e+06,4.7e+07,-3.3e+08,-37999999.9999998,-37999999.9999998,-8.5e+07,-1.23e+08,4.9e+08,3.512e+09,8.14e+08,0.41961,0.1049,-0.02559,-0.00779,-0.00415,-11.46479,2.57462,0.87703,0.20525,-0.131,-0.12747,5.11808,16.83395,1.50185,0.16052,5,0.00112,0.05695,-1.22535,0.24082,0.4055
"33","2018_Q2",66.3446875,"Up",2.677e+09,-1.563e+09,1.114e+09,-7.62e+08,-6.22e+08,-1.4e+08,3.52e+08,6e+06,-1.2e+07,1.8e+07,3.58e+08,4.38e+08,-4.9e+07,3.89e+08,3.89e+08,3.89e+08,3.89e+08,2.947e+09,2.947e+09,1.807e+09,1.581e+09,6.21e+08,6.21e+08,6.956e+09,4.614e+09,5.32e+09,3.107e+09,1.507e+09,7.06e+08,9.934e+09,1.689e+10,2.533e+09,3e+06,3e+06,2.642e+09,3.55e+09,1.605e+09,1.605e+09,5.155e+09,7.797e+09,6.595e+09,6.83e+08,5.912e+09,-8.354e+09,1.4734e+10,-3.876e+09,9.099e+09,-6e+06,9.093e+09,1.689e+10,3.89e+08,3.89e+08,1.92e+08,-5.1e+07,2e+07,-3.3e+07,-3.8e+07,-8.3e+07,7.6e+07,-5.6e+07,-1.03e+08,4.47e+08,-1.55e+08,-1.55e+08,-2.19e+08,-2.19e+08,-3.74e+08,-8.7e+07,27138691.5403081,6.4e+07,-5.45e+08,-4.72e+08,-4.72e+08,2.5e+07,-4.47e+08,5.44e+08,3.553e+09,3.55e+08,0.41614,0.13149,0.14531,0.04278,0.02303,0.9126,2.63285,0.85747,0.21036,0.72171,0.70599,4.9666,16.88126,0.65863,0.16141,5,0.0334,0.02491,0.22365,1.11397,1.72159
"34","2018_Q3",70.0093650793651,"Up",2.842e+09,-1.603e+09,1.239e+09,-8.55e+08,-6.81e+08,-1.74e+08,3.84e+08,2e+07,-1.1e+07,3.1e+07,4.04e+08,4.04e+08,-6.1e+07,3.43e+08,3.43e+08,3.43e+08,3.43e+08,2.857e+09,2.857e+09,1.783e+09,1.622e+09,6.28e+08,6.28e+08,6.89e+09,4.531e+09,5.157e+09,2.984e+09,1.427e+09,7.46e+08,9.688e+09,1.6578e+10,2.524e+09,3e+06,3e+06,2.629e+09,3.495e+09,1.585e+09,1.585e+09,5.08e+09,7.709e+09,6.599e+09,6.83e+08,5.916e+09,-8.485e+09,1.4966e+10,-4.199e+09,8.881e+09,-1.2e+07,8.869e+09,1.6578e+10,3.43e+08,3.43e+08,1.95e+08,-1.6e+07,3.4e+07,-1.8e+07,-3.2e+07,-1.17e+08,-3.3e+07,-7.8e+07,-6000000.00000003,4.05e+08,-1.56e+08,-1.56e+08,-9e+06,-9e+06,-1.65e+08,-8.6e+07,-999999.99999994,8.3e+07,-2.63e+08,-22999999.9999999,-22999999.9999999,-6.7e+07,-89999999.9999999,5.79e+08,3.498e+09,3.67e+08,0.43596,0.13512,0.12069,0.03867,0.02069,1.06997,2.62077,0.86921,0.211,0.64112,0.62706,5.31215,16.6,0.68598,0.16075,7,0.03075,0.0263,0.25073,1.10708,1.66927
"35","2018_Q4",63.56,"Down",2.767e+09,-1.531e+09,1.236e+09,-8.51e+08,-6.85e+08,-1.66e+08,3.85e+08,2.1e+07,-1.1e+07,3.2e+07,4.06e+08,4.06e+08,1.38e+08,5.44e+08,5.44e+08,5.44e+08,5.44e+08,2.86e+09,2.86e+09,1.826e+09,1.718e+09,6.24e+08,6.24e+08,7.028e+09,4.52e+09,5.299e+09,2.98e+09,1.402e+09,9.17e+08,9.819e+09,1.6847e+10,2.592e+09,3e+06,3e+06,2.704e+09,3.485e+09,1.545e+09,1.545e+09,5.03e+09,7.734e+09,6.614e+09,6.83e+08,5.931e+09,-8.639e+09,1.5394e+10,-4.239e+09,9.13e+09,-1.7e+07,9.113e+09,1.6847e+10,5.44e+08,5.44e+08,2.07e+08,-1.59e+08,3.3e+07,-2.33e+08,4.1e+07,-1.03e+08,-5.9e+07,-1.02e+08,5.8e+07,4.89e+08,-1.57e+08,-1.57e+08,-1.9e+07,-2.7e+07,-1.76e+08,-1.01e+08,-1e+06,6.2e+07,-2.87e+08,2.6e+07,2.6e+07,-2.3e+07,3e+06,5.92e+08,3.488e+09,1.94e+08,0.44669,0.13914,0.1966,0.05969,0.03229,0.35662,2.59911,0.84868,0.20704,1.01873,0.99634,5.18165,17.09738,0.3633,0.18914,5,0.0456,0.01371,0.18566,1.06081,1.63117
"36","2019_Q1",69.0718032786885,"Up",2.813e+09,-1.643e+09,1.17e+09,-7.07e+08,-6.32e+08,-1.74e+08,4.63e+08,-1.4e+07,-1.1e+07,-3e+06,4.49e+08,3.69e+08,-9.3e+07,2.76e+08,2.7e+08,2.7e+08,2.7e+08,1.832e+09,1.832e+09,1.812e+09,1.653e+09,6.22e+08,6.22e+08,5.919e+09,4.542e+09,5.18e+09,2.958e+09,1.398e+09,8.24e+08,9.722e+09,1.5641e+10,2.728e+09,4000000.00000003,2e+06,2.836e+09,3.473e+09,1.516e+09,1.516e+09,4.989e+09,7.825e+09,6.581e+09,6.83e+08,5.898e+09,-9.989e+09,1.5626e+10,-4.424e+09,7.794e+09,2.2e+07,7.816e+09,1.5641e+10,2.76e+08,2.7e+08,1.77e+08,1.68e+08,2.8e+07,2.1e+07,1.19e+08,5.5e+07,4e+06,3.9e+07,1.2e+07,6.76e+08,-1.91e+08,-1.91e+08,-2.1e+07,-1.3e+07,-2.01e+08,-1.02e+08,2e+06,-2.42e+08,-1.508e+09,-1.033e+09,-1.033e+09,2e+06,-1.031e+09,6.4e+08,3.477e+09,5.97e+08,0.41593,0.16459,0.09598,0.03454,0.01726,2.21111,2.08709,1.00115,0.2223,0.51136,0.5,5.32765,14.76136,1.13068,0.19318,6,0.02904,0.04661,0.37778,2.57031,3.55292
"37","2019_Q2",73.8449206349206,"Up",2.632e+09,-1.552e+09,1.08e+09,-6.96e+08,-6e+08,-1.29e+08,3.84e+08,7e+06,-1.8e+07,2.5e+07,3.91e+08,3.91e+08,-4.4e+07,3.47e+08,3.47e+08,3.47e+08,3.47e+08,1.908e+09,1.908e+09,1.802e+09,1.751e+09,6.26e+08,6.26e+08,6.087e+09,4.539e+09,5.724e+09,2.93e+09,1.441e+09,1.353e+09,1.0263e+10,1.635e+10,2.529e+09,7.98e+08,2e+06,3.327e+09,3.451e+09,1.903e+09,1.903e+09,5.354e+09,8.681e+09,6.522e+09,6.83e+08,5.839e+09,-1.0284e+10,1.597e+10,-4.562e+09,7.646e+09,2.3e+07,7.669e+09,1.635e+10,3.47e+08,3.47e+08,1.95e+08,-3.4e+07,2.2e+07,-6e+06,-5e+07,-3.6e+08,3.2e+07,-8.2e+07,-3.1e+08,1.42e+08,-1.98e+08,-1.98e+08,-1.09e+08,-1.09e+08,-3.06e+08,-1.01e+08,7.95e+08,1.41e+08,2.38e+08,7.4e+07,7.4e+07,2e+06,7.6e+07,5.79e+08,4.249e+09,6.5e+07,0.41033,0.1459,0.13184,0.04525,0.02122,0.18732,1.82958,1.13196,0.25988,0.67773,0.66475,5.14062,14.93359,0.12695,0.19727,3,0.03241,0.0047,0.29107,4.04318,6.09635
"38","2019_Q3",81.42984375,"Up",2.84e+09,-1.681e+09,1.159e+09,-8.04e+08,-6.42e+08,-1.66e+08,3.55e+08,8000000.00000001,-2e+07,2.8e+07,3.63e+08,3.63e+08,-2e+07,3.43e+08,3.43e+08,3.43e+08,3.43e+08,2.925e+09,2.925e+09,1.885e+09,1.757e+09,6.51e+08,6.51e+08,7.218e+09,4.541e+09,5.785e+09,2.938e+09,1.364e+09,1.483e+09,1.0326e+10,1.7544e+10,2.593e+09,4000000.00000012,2e+06,2.597e+09,5.157e+09,1.954e+09,1.954e+09,7.111e+09,9.708e+09,6.589e+09,6.83e+08,5.906e+09,-1.0322e+10,1.6184e+10,-4.639e+09,7.812e+09,2.4e+07,7.836e+09,1.7544e+10,3.43e+08,3.43e+08,1.98e+08,2.7e+07,3.5e+07,-4.9e+07,4.1e+07,-9.9e+07,-9.2e+07,-9000000.00000001,1999999.99999994,4.69e+08,-1.54e+08,-1.54e+08,-2000000.00000001,-2e+06,-1.56e+08,-9.7e+07,8.66e+08,84000000.0000001,7.3e+08,1.043e+09,1.043e+09,-2.6e+07,1.017e+09,5.53e+08,5.161e+09,3.2e+08,0.4081,0.125,0.12077,0.04377,0.01955,0.93294,2.77936,1.2389,0.29417,0.67255,0.66216,5.56863,15.31765,0.62745,0.1902,5,0.02943,0.0214,0.2828,4.0434,6.29859
"39","2019_Q4",79.1153125,"Down",2.851e+09,-1.627e+09,1.224e+09,-7.27e+08,-6.27e+08,-1.44e+08,4.97e+08,-5.8e+07,-1.3e+07,-4.5e+07,4.39e+08,4.39e+08,-9.9e+07,3.4e+08,3.4e+08,3.34e+08,3.34e+08,3.009e+09,3.009e+09,1.814e+09,1.715e+09,6.72e+08,6.72e+08,7.21e+09,4.406e+09,5.683e+09,2.847e+09,1.365e+09,1.471e+09,1.0089e+10,1.7299e+10,2.609e+09,2e+06,2e+06,2.611e+09,5.063e+09,2.008e+09,2.008e+09,7.071e+09,9.682e+09,6.609e+09,6.83e+08,5.926e+09,-1.0582e+10,1.5849e+10,-4.288e+09,7.588e+09,2.9e+07,7.617e+09,1.7299e+10,3.4e+08,3.4e+08,1.87e+08,3.8e+07,3.5e+07,1e+07,-7e+06,9.9e+07,3.7e+07,3e+06,5.9e+07,6.64e+08,-1.53e+08,-1.53e+08,-7.5e+07,-7.5e+07,-2.17e+08,-1.12e+08,0,6.7e+07,-3.54e+08,9.3e+07,9.3e+07,-1.5e+07,7.8e+07,6.84e+08,5.065e+09,7.29e+08,0.42932,0.17432,0.11715,0.04385,0.01931,2.18263,2.76139,1.2711,0.29279,0.65748,0.64231,5.6122,14.93701,1.43504,0.22047,6,0.03036,0.04963,0.33533,3.00585,4.13682
"40","2020_Q1",82.7470967741936,"Up",3.039e+09,-1.741e+09,1.298e+09,-7.62e+08,-6.66e+08,-1.56e+08,5.36e+08,-7.59e+08,-2e+07,-7.39e+08,-2.23e+08,-2.23e+08,2.04e+08,-1.9e+07,-19000000.0000001,-2.3e+07,-2.3e+07,3.335e+09,3.335e+09,1.896e+09,1.653e+09,6.19e+08,6.19e+08,7.503e+09,4.512e+09,6.178e+09,3.03e+09,1.471e+09,1.677e+09,1.069e+10,1.8193e+10,2.689e+09,5.41e+08,3.15e+08,3.23e+09,4.809e+09,2.242e+09,2.242e+09,7.051e+09,1.0281e+10,6.638e+09,6.83e+08,5.955e+09,-1.0764e+10,1.5718e+10,-3.71e+09,7.882e+09,3e+07,7.912e+09,1.8193e+10,-1.9e+07,-1.9e+07,2.09e+08,7.04e+08,3e+07,-2.65e+08,9.39e+08,-6.5e+07,-2.9e+07,9.2e+07,-1.28e+08,8.29e+08,-1.91e+08,-1.91e+08,-2.32e+08,-2.32e+08,-4.21e+08,-1.13e+08,2.22e+08,-3.4e+08,-1.16e+08,2.92e+08,2.92e+08,3.4e+07,3.26e+08,7.45e+08,5.35e+09,2.85e+08,0.42711,0.17637,-0.00757000000000002,-0.00291,-0.00126,-12.3913,2.32291,1.29942,0.29407,-0.04545,-0.04457,6.00593,15.57708,0.56324,0.22332,6,0.0058,0.01838,-4.91304,2.7047,3.75933
"41","2020_Q2",83.7380952380952,"Up",2.802e+09,-1.639e+09,1.163e+09,-7.54e+08,-6.28e+08,-1.46e+08,4.09e+08,-3.1e+07,-2.1e+07,-1e+07,3.78e+08,3.78e+08,-4.5e+07,3.33e+08,3.33e+08,3.32e+08,3.32e+08,4.11e+09,4.11e+09,1.892e+09,1.694e+09,6.37e+08,6.37e+08,8.333e+09,4.34e+09,6.402e+09,2.961e+09,1.759e+09,1.682e+09,1.0742e+10,1.9075e+10,2.5e+09,5.36e+08,3.15e+08,3.036e+09,5.996e+09,2.313e+09,2.313e+09,8.309e+09,1.1345e+10,6.618e+09,6.83e+08,5.935e+09,-1.0677e+10,1.5935e+10,-4.177e+09,7.699e+09,3.1e+07,7.73e+09,1.9075e+10,3.33e+08,3.33e+08,1.99e+08,4.5e+07,2.9e+07,-1.7e+07,3.3e+07,-3.03e+08,-5.7e+07,-8.3e+07,-1.63e+08,2.72e+08,-1.72e+08,-1.72e+08,-4.43e+08,-4.43e+08,-6.04e+08,-1.11e+08,1.24e+09,-2.5e+07,1.17e+09,8.38e+08,8.38e+08,-6.3e+07,7.75e+08,6.08e+08,6.532e+09,1.78e+08,0.41506,0.14597,0.11849,0.04295,0.0174,0.53614,2.74473,1.46766,0.34244,0.65483,0.64341,5.52663,15.1854,0.35108,0.21893,5,0.02673,0.01074,0.33434,3.98355,5.92176
"42","2020_Q3",81.10453125,"Down",2.718e+09,-1.68e+09,1.038e+09,-7.07e+08,-5.9e+08,-1.17e+08,3.31e+08,-4.2e+07,-3.6e+07,-6e+06,2.89e+08,2.89e+08,-4.2e+07,2.47e+08,2.47e+08,2.46e+08,2.46e+08,4.085e+09,4.085e+09,1.884e+09,1.905e+09,6.92e+08,6.92e+08,8.566e+09,4.382e+09,6.517e+09,3.052e+09,1.716e+09,1.749e+09,1.0899e+10,1.9465e+10,2.561e+09,3.19e+08,3.18e+08,2.88e+09,6.055e+09,2.37e+09,2.37e+09,8.425e+09,1.1305e+10,6.658e+09,6.83e+08,5.975e+09,-1.0597e+10,1.6055e+10,-3.988e+09,8.128e+09,3.2e+07,8.16e+09,1.9465e+10,2.47e+08,2.47e+08,2.02e+08,8e+07,3.5e+07,-6e+06,5.1e+07,-1.55e+08,4.3e+07,-1.78e+08,-2e+07,3.74e+08,-1.44e+08,-1.44e+08,-1e+07,-1e+07,-1.54e+08,-1.12e+08,-2.25e+08,-9000000.00000003,-2.61e+08,-4.1e+07,-4.1e+07,2.5e+07,-1.6e+07,5.33e+08,6.374e+09,2.76e+08,0.3819,0.12178,0.09051,0.03015,0.01264,1.12195,2.97431,1.38542,0.32746,0.4833,0.4749,5.33988,15.96857,0.54224,0.22004,4,0.02118,0.01633,0.455280000000001,4.29456,6.91541
"43","2020_Q4",76.58984375,"Down",2.972e+09,-1.777e+09,1.195e+09,-7.25e+08,-6.01e+08,-1.23e+08,4.7e+08,-5.5e+07,-3.9e+07,-1.6e+07,4.15e+08,4.15e+08,-5.6e+07,3.59e+08,3.59e+08,3.56e+08,3.56e+08,4.359e+09,4.359e+09,2.001e+09,1.988e+09,6.85e+08,6.85e+08,9.033e+09,4.46e+09,6.605e+09,3.094e+09,1.678e+09,1.833e+09,1.1065e+10,2.0098e+10,2.695e+09,7.27e+08,7.27e+08,3.422e+09,5.76e+09,2.314e+09,2.314e+09,8.074e+09,1.1496e+10,6.692e+09,6.83e+08,6.009e+09,-1.0571e+10,1.6285e+10,-3.839e+09,8.567e+09,3.5e+07,8.602e+09,2.0098e+10,3.59e+08,3.59e+08,2.09e+08,5.7e+07,3.3e+07,-2.2e+07,4.6e+07,-1.15e+08,-9.4e+07,-4.4e+07,2.3e+07,5.1e+08,-1.56e+08,-1.56e+08,-1.3e+07,-1.3e+07,-1.57e+08,-1.25e+08,-1e+06,-1.4e+07,-1.11e+08,2.42e+08,2.42e+08,3e+07,2.72e+08,6.79e+08,6.487e+09,4.64e+08,0.40209,0.15814,0.11978,0.04139,0.01771,1.30337,2.63968,1.33643,0.32277,0.69667,0.68859,5.81605,16.76517,0.90802,0.24462,5,0.02764,0.02666,0.35112,3.13402,4.52766
"44","2021_Q1",77.0455737704918,"Up",3.181e+09,-1.99e+09,1.191e+09,-7.85e+08,-6.5e+08,-1.35e+08,4.06e+08,-1.96e+08,-3.8e+07,-1.58e+08,2.1e+08,2.1e+08,-3.9e+07,1.71e+08,1.71e+08,1.68e+08,1.68e+08,3.73e+09,3.73e+09,2.007e+09,1.916e+09,7.58e+08,7.58e+08,8.411e+09,4.722e+09,6.886e+09,3.217e+09,1.671e+09,1.998e+09,1.1608e+10,2.0019e+10,2.927e+09,4.06e+08,4.06e+08,3.333e+09,5.786e+09,2.174e+09,2.174e+09,7.96e+09,1.1293e+10,6.726e+09,6.83e+08,6.043e+09,-1.1051e+10,1.6328e+10,-3.314e+09,8.689e+09,3.7e+07,8.726e+09,2.0019e+10,1.71e+08,366735258.741407,2.13e+08,2.7e+07,23232909.8295546,-26116493.4861978,23847349.7794479,3.01e+08,-26343871.1689591,-72564485.4896365,-68871582.9782677,7.12e+08,-2.37e+08,-2.37e+08,-2.8e+07,-305956247.847743,-2.64e+08,-1.25e+08,-5.36e+08,-4e+06,-1.143e+09,-6.95e+08,-6.95e+08,6.5e+07,-6.3e+08,6.19e+08,6.192e+09,7.22e+08,0.37441,0.12763,0.05281,0.01925,0.00839,4.29762,2.52355,1.29418,0.30931,0.33006,0.32495,6.24951,17.07073,1.41847,0.24558,5,0.01714,0.04224,0.74405,3.97738,6.06404
"45","2021_Q2",81.6073015873016,"Up",2.946e+09,-1.801e+09,1.145e+09,-7.55e+08,-6.27e+08,-1.28e+08,3.9e+08,-3.9e+07,-3.4e+07,-5e+06,3.51e+08,3.51e+08,-5.1e+07,3e+08,3e+08,2.98e+08,2.98e+08,3.182e+09,3.182e+09,1.915e+09,2.017e+09,7.42e+08,7.42e+08,7.856e+09,4.614e+09,6.996e+09,3.111e+09,1.962e+09,1.923e+09,1.161e+10,1.9466e+10,2.78e+09,4.07e+08,4.07e+08,3.187e+09,5.681e+09,2.108e+09,2.108e+09,7.789e+09,1.0976e+10,6.726e+09,6.83e+08,6.043e+09,-1.1296e+10,1.6502e+10,-3.48e+09,8.452e+09,3.8e+07,8.49e+09,1.9466e+10,3e+08,3e+08,2.17e+08,3.7e+07,2.2e+07,-2.5e+07,4e+07,-1.77e+08,5.1e+07,-1.29e+08,-9.9e+07,3.77e+08,-1.71e+08,-1.71e+08,-3.81e+08,-3.81e+08,-5.38e+08,-1.25e+08,409770171.892427,-2.8e+07,-3.58e+08,-5.19e+08,-5.19e+08,-3.1e+07,-5.5e+08,6.07e+08,6.088e+09,3.1e+08,0.38866,0.13238,0.10115,0.0351,0.01531,1.04027,2.46501,1.29282,0.31275,0.5901,0.58317,5.83366,16.73663,0.61386,0.24752,5,0.02535,0.01858,0.41946,4.78748,7.45128
"46","2021_Q3",77.1603125,"Down",3.098e+09,-1.865e+09,1.233e+09,-8.09e+08,-6.75e+08,-1.39e+08,4.24e+08,-3.2e+07,-3.4e+07,2e+06,3.92e+08,3.92e+08,-9.1e+07,3.01e+08,3.01e+08,2.98e+08,2.98e+08,3.136e+09,3.136e+09,2.021e+09,2.065e+09,7.82e+08,7.82e+08,8.004e+09,4.649e+09,7.029e+09,3.148e+09,1.91e+09,1.971e+09,1.1678e+10,1.9682e+10,2.887e+09,4.57e+08,4.06e+08,3.344e+09,5.71e+09,2.093e+09,2.093e+09,7.803e+09,1.1147e+10,6.773e+09,6.83e+08,6.09e+09,-1.1561e+10,1.6658e+10,-3.376e+09,8.494e+09,4.1e+07,8.535e+09,1.9682e+10,3.01e+08,3.01e+08,2.22e+08,4.7e+07,3.7e+07,-1.1e+07,2.1e+07,-9.3e+07,-9.3e+07,-2.6e+07,2.6e+07,4.77e+08,-1.58e+08,-1.58e+08,-36000000.0000001,-3.6e+07,-1.88e+08,-1.24e+08,51000000.0000005,-9e+06,-3.49e+08,-6e+07,-6e+07,1.4e+07,-4.6e+07,6.46e+08,6.167e+09,4.86e+08,0.398,0.13686,0.09619,0.03492,0.01514,1.63087,2.39354,1.30603,0.31333,0.5901,0.58317,6.13465,16.8198,0.96238,0.24554,8,0.02513,0.02894,0.41611,4.69195,7.14858
