"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_income","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"31","2017_Q4",55.3214285714286,"Down",180366000,-24957000,155409000,-151931000,-125493000,-105106000,-20387000,-23981000,-2457000,3478000,198000,356000,588000,3676000,3676000,-62621000,-58945000,-58945000,-58945000,-58945000,445487000,314494000,146750000,146750000,24181000,616418000,129632000,39884000,39884000,172856000,789274000,79372000,193000,79179000,227532000,227532000,306904000,86288000,80035000,3749000,86288000,393192000,756978000,-354264000,-6632000,396082000,396082000,789274000,-58945000,2879000,78357000,8919000,31210000,-2663000,-2663000,-2663000,265000,-2398000,-80050000,978000,-79072000,-50260000,-50260000,1423000,-48837000,6357000,0,75234000,0.86163,0.01928,-0.32681,-0.14882,-0.07468,-1.27634,2.0085,0.9927,0,-1.30144,-1.30144,3.98229,8.74508,1.66109,3,-0.1222,0.15597,-70.07818,-128.08712
"32","2018_Q1",53.9016393442623,"Down",184915000,-28267000,156648000,-152056000,-127968000,-105117000,-22851000,-21579000,-2509000,4592000,-3135000,205000,668000,1457000,1457000,-3118000.00000001,-1661000,-1661000,-1661000,-1661000,462421000,330784000,162119000,162119000,22248000,646788000,128612000,43242000,43242000,171854000,818642000,83060000,761000,82299000,241113000,241113000,324173000,90405000,84661000,3314000,90405000,414578000,783214000,-373678000,-5472000,404064000,404064000,818642000,-1661000,3339000,24659000,-2996000,23341000,-1750000,-1750000,-1750000,-644000.000000001,-2394000,-20909000,12401000,-8507999.99999999,12439000,12439000,3851000,16290000,7931000,0,6303000,0.84714,0.02483,-0.00897999999999999,-0.00411,-0.00203,-3.7947,1.99519,1.02602,0,-0.03695,-0.03695,4.11398,8.98959,0.14023,3,-0.00336,0.01275,-58.30551,-100.70144
"33","2018_Q2",68.76171875,"Up",176177000,-27606000,148571000,-147485000,-120855000,-97616000,-23239000,-24097000,-2533000,1086000,891000,891000,891000,1977000,-5918000,-2649000,-8567000,-8567000,-8567000,-8567000,461666000,351912000,151283000,151283000,20719000,633668000,128788000,42004000,42004000,170792000,804460000,79832000,361000,79471000,234106000,234106000,313938000,93807000,88143000,3183000,93807000,407745000,811725000,-404369000,-10641000,396715000,396715000,804460000,-8567000,3059000,22514000,7764000,24770000,-3521000,-3521000,-3521000,21883000,18362000,-25015000,13398000,-11617000,31515000,31515000,-10387000,21128000,4145000,0,11037000,0.84331,0.00616,-0.04863,-0.02159,-0.01065,-1.28832,2.01845,1.0278,0,-0.18849,-0.18849,3.87628,8.7286,0.24284,3,-0.01747,0.0225,-111.37901,-425.10681
"34","2018_Q3",67.7595238095238,"Down",169078000,-26873000,142205000,-140705000,-114356000,-89494000,-24862000,-23649000,-2700000,1500000,1148000,1148000,1148000,2648000,2154000,-1263000,891000.000000004,891000.000000004,891000.000000004,891000.000000004,484100000,353181000,137338000,137338000,21034000,642472000,126292000,41271000,41271000,167563000,810035000,71780000,349000,71431000,223192000,223192000,294972000,97918000,92514000,3100000,97918000,392890000,844080000,-415143000,-11792000,417145000,417145000,810035000,891000.000000004,3013000,21883000,-8027000,17760000,-477000,-477000,-477000,-21165000,-21642000,-13288000,16228000,2940000,-942000,-942000,2211000,1269000,4513000,0,-2728000,0.84106,0.00887,0.00527000000000003,0.00213999999999999,0.0011,-3.06173,2.17808,0.94185,0,0.01942,0.01942,3.68506,9.09169,-0.0594600000000001,4,0.00173,-0.0053,-107.26789,-322.73333
"35","2018_Q4",58.9868253968254,"Down",184275000,-28853000,155422000,-140025000,-115292000,-94392000,-20900000,-22005000,-2728000,15397000,1721000,1721000,1721000,17118000,12165000,1235000,13400000,13400000,13400000,13400000,457942000,327398000,170497000,170497000,18543000,646982000,124188000,43517000,43517000,167705000,814687000,88743000,1347000,87396000,228944000,228944000,317687000,101973000,96448000,3076000,101973000,419660000,855339000,-448347000,-11965000,395027000,395027000,814687000,13400000,3040000,20045000,-5421000,31064000,-1106000,-1106000,-1106000,375000,-731000,-54380000,3203000,-51177000,-20844000,-20844000,-4939000,-25783000,18437000,0,10675000,0.84342,0.08355,0.07272,0.03392,0.01645,0.79664,2.03654,1.06236,0,0.29082,0.25924,3.99928,8.57319,0.23168,5,0.02696,0.02148,-24.83821,-29.74229
"36","2019_Q1",64.6054098360656,"Up",181427000,-33674000,147753000,-146063000,-120531000,-88586000,-31945000,-22896000,-2636000,1690000,1759000,1759000,1759000,3449000,2026000,-4189000,-2163000,-2163000,-2163000,-2163000,458330000,327992000,176836000,176836000,19836000,655002000,122716000,44735000,44735000,167451000,822453000,87907000,2186000,85721000,238439000,238439000,326346000,104804000,99257000,2953000,104804000,431150000,888361000,-485490000,-11568000,391303000,391303000,822453000,-2163000,2948000,33557000,2244000,36586000,-1456000,-1456000,-1456000,205999.999999996,-1250000,1970000,-32829000,-30859000,4477000,4477000,-3883000,594000,4638000,0,9615000,0.81439,0.00932,-0.01192,-0.00553,-0.00263,-4.44521,2.00708,1.10183,0,-0.0471300000000001,-0.04565,3.95274,8.52531,0.20948,3,-0.00436,0.01938,-98.8206099999999,-271.20118
"37","2019_Q2",53.17,"Down",162203000,-28720000,133483000,-136078000,-109892000,-87385000,-22507000,-23580000,-2606000,-2595000,1923000,1923000,1923000,-672000,-4751000,-2095000,-6846000,-6846000,-6846000,-6846000,451146000,320821000,137628000,137628000,23762000,612536000,120629000,60157000,60157000,180786000,793322000,77085000,971000,76114000,243116000,235222000,320201000,113304000,96633000,14075000,113304000,433505000,896832000,-525420000,-11595000,359817000,359817000,793322000,-6846000,2918000,19971000,15097000,31140000,-841000,-841000,-841000,13000,-828000,-40026000,663000,-39363000,-9051000,-9051000,1880000,-7171000,323000,0,16674000,0.82294,-0.016,-0.04221,-0.01903,-0.00863,-2.43558,1.91297,1.20479,0,-0.15062,-0.15062,3.56874,7.91659,0.36686,3,-0.01447,0.03524,-1396.73684,173.85202
"38","2019_Q3",45.7946875,"Down",167582000,-31241000,136341000,-131659000,-105713000,-80960000,-24753000,-23227000,-2719000,4682000,1561000,1561000,1561000,6243000,-6608000,-476000,-7084000,-7084000,-7084000,-7084000,475244000,377625000,127593000,127593000,21916000,624753000,118022000,58991000,58991000,177013000,801766000,85345000,1744000,83601000,234764000,226932000,320109000,109543000,94411000,12902000,109543000,429652000,917351000,-532504000,-12733000,372114000,372114000,801766000,-7084000,3136000,20416000,7511000,23979000,-616000,-616000,-616000,32706000,32090000,0,5662000,5662000,61731000,61731000,-4927000,56804000,7818000,0,15189000,0.81358,0.02794,-0.04227,-0.01904,-0.00884,-2.14413,1.95169,1.15462,0,-0.15647,-0.15647,3.70142,8.21897,0.33548,4,-0.01471,0.03153,-60.7884400000003,-101.50449
"39","2019_Q4",47.29140625,"Up",176351000,-30523000,145828000,-144286000,-108427000,-84563000,-23864000,-30503000,-5356000,1542000,786000,786000,786000,2328000,307000,-957000,-650000,-650000,-650000,-650000,337013000,272025000,161626000,161626000,26774000,525413000,115972000,221183000,59573000,337155000,862568000,90543000,1069000,89474000,243243000,235513000,333786000,111149000,97730000,11693000,111149000,444935000,962560000,-533154000,-11773000,417633000,417633000,862568000,-650000,5564000,23539000,-27564000,889000,-454000,-454000,-454000,32631000,-125318000,30944000,-6325000,24619000,-99810000,-99810000,2210000,-97600000,7106000,0,-19955000,0.82692,0.00874,-0.00369,-0.00156,-0.00075,30.7,1.5741,1.06537,0,-0.01412,-0.01412,3.83105,9.07267,-0.4335,3,-0.00123,-0.03774,-47.42654,-218.55577
"40","2020_Q1",43.1693548387097,"Down",164749000,-26594000,138155000,-141727000,-103883000,-82877000,-21006000,-32710000,-5134000,-3572000,692000,692000,692000,-2880000,-1494000,10429000,8935000,8935000,8935000,8935000,331727000,288082000,146990000,146990000,34969000,513686000,114519000,216871000,58086000,331390000,845076000,87358000,307000,87051000,241196000,233497000,328554000,104618000,92723000,11046000,104618000,433172000,979117000,-553790000,-13423000,411904000,411904000,845076000,8935000,5447000,16874000,1199999.99999999,32456000,-1292000,-1292000,-1292000,21343000,20051000,-68116000,37795000,-30321000,22186000,22186000,-6129000,16057000,1875000,0,-8646000,0.83858,-0.02168,0.05423,0.02169,0.01057,-0.967659999999999,1.56348,1.05163,0,0.19251,0.19251,3.54955,8.87456,-0.18628,6,0.0173,-0.01674,-176.92107,92.8686999999999
"41","2020_Q2",39.6771428571429,"Down",1.73e+08,-24551000,148449000,-139442000,-103235000,-81676000,-21559000,-31142000,-5065000,9007000,343000,343000,343000,9350000,7026000,-4743000,2283000,2283000,2283000,2283000,356277000,345432000,149778000,149778000,27415000,533470000,113657000,218710000,62750000,332367000,865837000,81395000,152000,81243000,241417000,234287000,322812000,108790000,95562000,12457000,108790000,431602000,998299000,-551591000,-12473000,434235000,434235000,865837000,2283000,5378000,23985000,-16361000,15285000,-1643000,-1643000,-1643000,32800000,31157000,231000,34532536.8202448,231000,46673000,46673000,2677000,49350000,14385000,0,1124000,0.85809,0.05206,0.0132,0.00526,0.00264,0.49233,1.65257,0.99394,0,0.04943,0.04909,3.74532,9.40086,0.02433,6,0.0042,0.00207,-24.76726,-39.55557
"42","2020_Q3",41.1225,"Up",171139000,-26799000,144340000,-139825000,-103817000,-79069000,-24748000,-30955000,-5053000,4515000,249000,249000,249000,4764000,-41703000,532000.000000002,-41171000,-41171000,-41171000,-41171000,393998000,383153000,138957000,138957000,26038000,558993000,113014000,179971000,67536000,292985000,851978000,79365000,253000,79112000,235340000,227777000,314705000,117797000,97506000,19552000,117797000,432502000,1023923000,-592762000,-11685000,419476000,419476000,851978000,-41171000,5365000,66468000,-3705000,26957000,-2019000,-2019000,-2019000,0,-2019000,-231000,5271000,5040000.00000001,29978000,29978000,7743000,37721000,9880000,0,3624000,0.84341,0.02638,-0.24057,-0.09815,-0.04832,-0.0880200000000002,1.77624,1.03105,0,-0.88507,-0.89105,3.67906,9.01769,0.07791,3,-0.07663,0.00675,-39.87834,-87.26423
"43","2020_Q4",46.738125,"Up",187992000,-28412000,159580000,-145294000,-107244000,-84542000,-22702000,-35727000,-2323000,14286000,167000,167000,167000,14453000,2835000,-1162000,1673000,1673000,1673000,1673000,388414000,377569000,190651000,190651000,27570000,606635000,113079000,185865000,73430000,298944000,905579000,103546000,622000,102924000,255890000,247544000,359436000,132072000,108280000,22985000,132072000,491508000,1041539000,-618068000,-9400000,414071000,414071000,905579000,1673000,2636000,26870000,-14174000,17005000,-2332000,-2332000,-2332000,0,-2332000,-33132000,1732000,-31400000,-16727000,-16727000,11143000,-5584000,16922000,0,1578000,0.84887,0.07599,0.0089,0.00404,0.00185,0.94322,1.68774,1.18701,0,0.03558,0.03558,3.99838,8.80684,0.03356,7,0.00306,0.00289,-22.9532,-27.18844
"44","2021_Q1",63.5465573770492,"Up",191341000,-29611000,161730000,-147630000,-109866000,-86661000,-23205000,-35577000,-2187000,14100000,269000,269000,269000,14369000,10607000,-4346000,6261000,6261000,6261000,6261000,397237000,397237000,188126000,188126000,22237000,607600000,112779000,183794000,71359000,296573000,904173000,112522000,374000,112148000,260680000,253211000,373202000,136937000,119231000,16945000,136937000,510139000,1070158000,-665774000,-10350000,394034000,394034000,904173000,6261000,2499000,28120000,27828000,64708000,-2182000,-2182000,-2182000,10845000,8663000,-62127000,13518000,-48609000,24762000,24762000,-5094000,19668000,16599000,0,46591000,0.84524,0.07369,0.03272,0.01589,0.00691999999999999,7.44146,1.62807,1.29466,0,0.13355,0.13355,4.08124,8.40462,0.99377,6,0.01179,0.08775,-23.93138,-28.17284
"45","2021_Q2",72.6792063492064,"Up",183421000,-25275000,158146000,-141206000,-102790000,-76361000,-26429000,-36135000,-2281000,16940000,134000,134000,134000,17074000,15628000,-1731000,13897000,13897000,13897000,13897000,359149000,359149000,158862000,158862000,23868000,541879000,111778000,185731000,73296000,297509000,839388000,87277000,136000,87141000,260006000,252743000,347283000,137567000,120915000,15890000,137567000,484850000,1096362000,-730883000,-10941000,354538000,354538000,839388000,13897000,2593000,25977000,-5256000,37211000,-1442000,-1442000,-1442000,12069203.2086598,-1442000,-74613000,25184406.2773298,-74613000,-38844000,-38844000,756000,-38088000,19533000,0,14566000,0.8622,0.09236,0.07577,0.0392,0.01656,1.04814,1.56034,1.36755,0,0.29789,0.29789,3.93169,7.59963,0.31223,6,0.02824,0.0296,-18.38678,-21.20124
"46","2021_Q3",77.5775,"Up",177840000,-26574000,151266000,-148364000,-108286000,-61890901.6693308,-30363109.0570029,-37726000,-2352000,2902000,289000,289000,-109170.749429303,3191000,2555000,-824000,1731000,1731000,1731000,1731000,295807000,295807000,166272000,166272000,20651000,482730000,109557000,187467000,75032000,297024000,779754000,85782000,178000,85604000,254033000,247578000,339815000,140161000,124833000,14566000,140161000,479976000,1120190000,-808749000,-11663000,299778000,299778000,779754000,1731000,2665000,30933000,-9270000,26059000,-551000,-512448.891322716,-512448.891322716,6542447.49641987,-3257000,-82218000,30060982.4497651,-82218000,-59416000,-59416000,-3926000,-63342000,5567000,0,-3430000,0.85057,0.01632,0.00973000000000002,0.00577,0.00222,-1.98151,1.42057,1.6011,0,0.03766,0.03611,3.86945,6.52258,-0.0746299999999999,6,0.00393,-0.0078,-53.1358,-101.93212
"47","2021_Q4",68.22640625,"Down",202381000,-29963000,172418000,-160057000,-118349000,-52695602.2257744,-33084278.7426705,-39257000,-2451000,12361000,665000,101000,-270294.332572404,13026000,13026000,-3018000,10008000,10008000,10008000,10008000,233691000,233691000,213040000,213040000,20310000,467041000,108122000,193396000,80961000,301518000,768559000,106632000,248000,106384000,259142000,253527000,365774000,149325000,134856000,13715000,149325000,515099000,1137344000,-872257000,-11627000,253460000,253460000,768559000,10008000,2769000,33663000,-19646000,26794000,-1335000,169401.478236379,169401.478236379,499999.999999998,-1656000,-108583000,23079000,-85504000,-60366000,-60366000,-1750000,-62116000,15130000,0,-2833000,0.85195,0.06108,0.04945,0.03949,0.01302,-0.28307,1.27686,2.03227,0,0.21452,0.21452,4.3381,5.43299,-0.06073,7,0.02485,-0.00703,-15.44554,-18.90551
"48","2022_Q1",65.7261290322581,"Down",205949000,-32047000,173902000,-158347000,-115268000,-57472501.6693308,-32614559.0570029,-40497000,-2582000,15555000,760000,23000,-197520.749429303,16315000,12205000,-4217000,7988000,7988000,7988000,7988000,267507000,267507000,194238000,194238000,22336000,484081000,106513000,225486000,94164000,331999000,816080000,122269000,432000,121837000,271795000,267017000,394064000,166187000,150180000,15199000,166187000,560251000,1166391000,-898699000,-11863000,255829000,255829000,816080000,7988000,2923000,32677000,43528000,87116000,-583000,189301.108677285,189301.108677285,0,-18089000,-39825000,6072000,-33753000,35274000,35274000,-1458000,33816000,18478000,0,65640000,0.84439,0.07553,0.03879,0.03122,0.00979,8.21733,1.22843,2.18994,0,0.17123,0.17123,4.41458,5.48377,1.40701,6,0.01893,0.15554,-14.47705,-17.19749
"49","2022_Q2",62.1133870967742,"Down",197981000,-33757000,164224000,-154643000,-111895000,-84919000,-26976000,-40113000,-2635000,9581000,-233000,156000,261000,9348000,7216000,-3705000,3511000,3511000,3511000,3511000,258713000,258713000,181535000,181535000,24785000,465033000,104599000,223091000,92082000,327690000,792723000,87281000,884000,86397000,268640000,264527000,355921000,166318000,151950000,13569000,166318000,522239000,1195377000,-911315000,-13578000,270484000,270484000,792723000,3511000,2977000,36798000,-20853000,22433000,-867000,-867000,-867000,10392075.3525398,-1882000,-18236000,-63000,-18299000,2252000,2252000,-11046000,-8794000,12558000,0,-5457000,0.82949,0.04839,0.01773,0.01298,0.00443,-1.55426,1.30656,1.93076,0,0.07847,0.07655,4.42485,6.04528,-0.12196,5,0.00804,-0.01249,-20.60145,-27.00271
"50","2022_Q3",56.72953125,"Down",188057000,-32302000,155755000,-146442000,-106852000,-143732497.217782,-14190651.5716619,-37053000,-2537000,9313000,340000,186000,1257117.91571551,9653000,9653000,-5135000,4518000,4518000,4518000,4518000,262485000,262485000,170166000,170166000,23225000,455876000,102562000,221350000,90653000,323912000,779788000,86451000,2e+05,86251000,262945000,259013000,349396000,165129000,151968000,12430000,165129000,514525000,1221111000,-940396000,-15452000,265263000,265263000,779788000,4518000,2878000,30614000,11834000,49844000,-514000,-3413751.84779547,-3413751.84779547,36848726.0576195,-1292000,-33192000,0,-33192000,15360000,15360000,-11588000,3772000,12191000,0,28646000,0.82823,0.04952,0.02402,0.01703,0.00579,6.34042,1.30475,1.93968,0,0.10094,0.09921,4.20155,5.92647,0.64001,6,0.0105,0.06656,-21.53105,-28.1848
