"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"32","2019_Q1",3.1644262295082,"Down",10760000,-7909000,2851000,-2199000,-2125000,-74000,652000,-35000,-59000,24000,617000,57000,674000,47999.9999999998,722000,720000,-45000,675000,675000,7192000,6539000,653000,7747000,7747000,2930000,1180000,208000,881000,19049000,13081000,4344000,3944000,17425000,36474000,7161000,3704000,285000,3172000,250000,9821000,1961000,1191000,864000,3152000,12973000,14272000,5525000,2182000,21979000,1522000,23501000,36474000,720000,620000,104000,-87000,1357000,-259000,0,-259000,512000,448000,1546000,1546000,-383000,1163000,1272000,2211000,878000,0.26496,0.06059,0.06273,0.02872,0.01851,1.30074,1.93962,0.55202,0.06062,0.18998,0.18,3.02843,6.18604,0.24712,0.02747,0.03264,-3.91588,-7.63957
"33","2019_Q2",3.1347619047619,"Down",10045000,-7944000,2101000,-1978000,-1906000,-72000,123000,-35000,-78000,43000,88000,0,88000,-74000,14000,6000,59000,65000,65000,8112000,7101000,1011000,8121000,8121000,2386000,1705000,330000,889000,20324000,12960000,3755000,3349000,16715000,37039000,6765000,2939000,255000,3571000,248000,9624000,3097000,1151000,792000,4248000,13872000,14473000,5590000,1719000,21782000,1385000,23167000,37039000,6000,555000,22000,-25000,558000,-1211000,5.82076609134674e-11,-1211000,1442000,1639000,986000,986000,-76000,910000,678000,3345000,-484000,0.20916,0.01224,0.00647,0.00281000000000001,0.00175,-7.44615,2.1118,0.59878,0.09031,0.01802,0.01742,2.78409,6.03714,-0.13415,0.00242000000000001,-0.0175,-7.03097,-38.7561
"34","2019_Q3",3.24671875,"Up",9690000,-7432000,2258000,-2031000,-1909000,-122000,227000,-49000,-98000,49000,178000,2.91038304567337e-11,178000,124000,302000,306000,42000,348000,348000,8313000,6192000,2121000,6996000,6996000,2630000,1756000,279000,991000,19695000,13427000,3773000,3438000,17200000,36895000,6766000,2532000,256000,3978000,252000,9531000,2907000,946000,650000,3853000,13384000,14682000,5938000,1683000,22303000,1208000,23511000,36895000,306000,590000,-127000,948000,1717000,-1083000,-1461000,-2544000,-323000,-241000,-1068000,-1068000,-196000,-1264000,817000,3159000,558000,0.23302,0.02343,0.03591,0.0148,0.00943,1.60345,2.06641,0.56927,0.08562,0.0931,0.08928,2.5923,5.96656,0.14928,0.01695,0.02021,-6.30845,-22.70485
"35","2019_Q4",3.64390625,"Up",8838000,-6664000,2174000,-2064000,-1988000,-76000,110000,54000,-74000,128000,164000,698000,862000,-209000,653000,655000,28000,683000,683000,8248000,4602000,3646000,7120000,7120000,2918000,1431000,307000,1034000,19717000,13515000,3768000,3433000,17283000,3.7e+07,7307000,3021000,404000,3882000,257000,8678000,2767000,988000,645000,3755000,12433000,14685000,6621000,2055000,23361000,1206000,24567000,3.7e+07,655000,632000,-718000,118000,687000,664000,-1478000,-814000,-1590000,-1593000,-1720000,-1720000,147000,-1573000,742000,3024000,1733000,0.24598,0.01245,0.07728,0.0278,0.01846,2.53734,2.27207,0.50609,0.08173,0.18595,0.1893,2.40621,6.3602,0.47182,0.024,0.06064,-7.04043,-47.49091
"36","2020_Q1",3.80645161290323,"Up",10625000,-8157000,2468000,-2147000,-2072000,-75000,321000,-40000,-69000,29000,281000,1.16415321826935e-10,281000,201000,482000,481000,-32000,449000,449000,9007000,4863000,4144000,7113000,7113000,2427000,1193000,287000,817000,19740000,12941000,3846000,3456000,16787000,36527000,7175000,3272000,417000,3486000,283000,8133000,2734000,799000,472000,3533000,11666000,14729000,7070000,1867000,23666000,1195000,24861000,36527000,481000,673000,-199000,537000,1492000,-265000,-506000,-771000,-395000,-395000,326000,326000,-64000.0000000001,262000,994000,3017000,1065000,0.23228,0.03021,0.04226,0.01806,0.01229,2.37194,2.42715,0.46925,0.0826,0.12224,0.11785,2.89272999999999,6.44323,0.28995,0.01566,0.03714,-6.02616,-18.66044
"37","2020_Q2",2.89285714285714,"Down",9823000,-7571000,2252000,-2054000,-1978000,-76000,198000,42000,-68000,110000,240000,24000,264000,147675.319442878,264000,263000,10000,273000,273000,8932000,3710000,5222000,7520000,7520000,1688000,1190000,346000,756000,19330000,12523000,4265000,3882000,16788000,36118000,6877000,3170000,333000,3374000,568000,7805000,2957000,787000,466000,3744000,11549000,14737000,7343000,1285000,23365000,1204000,24569000,36118000,263000,786000,-49000,-10000,990000,-5e+05,-1165000,-1665000,-316000,-337000,-1012000,-1012000,-173000,-1185000,984000,3525000,1666298.81059209,0.22926,0.02016,0.02779,0.01111,0.00756,4.59277804968755,2.47662,0.47006,0.0976,0.07433,0.07398,2.67438,6.36129000000003,-8.10843292427263,0.00945,0.0558788559104989,-5.49492,-27.30808
"38","2020_Q3",3.481875,"Up",8962000,-7057000,1905000,-2078000,-1953000,-125000,-173000,-15000,-55000,40000,-188000,1172000,984000,-120000,864000,865000,-439000,426000,426000,11631000,4743000,6888000,6937000,6937000,2182000,1082000,330000,752000,21832000,12385000,4238000,3817000,16623000,38455000,7136000,3565000,395000,3176000,629000,8997000,2831000,782000,467000,3613000,12610000,14743000,7769000,1818000,24330000,1515000,25845000,38455000,865000,790000,-1184000,112000,583000,1056000,-1507000,-451000,552000,732000,864000,864000,211000,1075000,617000,3460000,1905000,0.21256,-0.0193,0.04753,0.01648,0.01108,4.47183,2.42659,0.48791,0.08998,0.115980000000001,0.11445,2.43997000000009,6.62401,0.518650000000003,0.01815,0.06332,-13.24311,47.23121
"39","2020_Q4",3.870625,"Up",8501000,-6715000,1786000,-2014000,-1935000,-79000,-228000,377000,-63000,440000,149000,-139000,10000,8000,18000,-3000,73000,70000,70000,10679000,4370000,6309000,6397000,6397000,2226000,1332000,267000,1065000,20634000,11302000,4860000,4295000,16162000,36796000,6590000,3129000,396000,3065000,787000,8153000,2937000,839000,464000,3776000,11929000,14781000,7839000,796000,23416000,1451000,24867000,36796000,-3000,774000,85000,-333000,523000,-104000,279000,175000,-691000,-691000,7000,7000,-469000,-462000,546000,3724000,101000,0.21009,-0.02682,0.00823,0.00281,0.0019,1.44286,2.53085,0.47971,0.10121,19.05799,18.74665,2314.45685,6375.17016,27.49796,0.00238,0.00343,-12.7381,30.50439
"40","2021_Q1",4.84983606557377,"Up",7179000,-5856000,1323000,-1952000,-1877000,-75000,-629000,478000,-44000,522000,-151000,0,-151000,124000,-26999.9999999999,-9000.00000000012,118000,109000,109000,10988000,4150000,6838000,5951000,5951000,1922000,1339000,341000,998000,20200000,1.1e+07,4460000,4213000,15460000,35660000,5939000,2590000,344000,3005000,1304000,7243000,2805000,466000,466000,3271000,10514000,15408000,7415000,1143000,23966000,1180000,25146000,35660000,-9000.00000000012,750000,247000,-73000.0000000001,915000,-263000,-413000,-676000,-41999.9999999998,-436000,-197000,-197000,10000.0000000001,-187000,121000,4109000,-339000,0.18429,-0.08762,0.01518,0.00433,0.00306,-3.11009,2.7889,0.41812,0.11523,0.00741999999999621,0.00732999999999961,0.489000000000487,1.63245,-0.0230899999999998,0.00754,-0.01141,-56.85124,10.93641
"41","2021_Q2",5.06603174603175,"Up",6841000,-5323000,1518000,-1846000,-1771000,-75000,-328000,174000,-37000,211000,-154000,1000,-153000,-7000,-160000,-166000,158000,-8000,-8000,4849000,4849000,7008054.84868308,5745000,5745000,1872000,8e+06,417000,7583000,20466000,10834000,4528000,4252000,15362000,35828000,5933000,2024000,360000,3549000,1195000,7128000,2744000,418000,418000,3162000,10290000,14827000,8028000,1747000,24602000,936000,25538000,35828000,-166000,702000,-23000,-50000,463000,-87000,-6000.00000000012,-93000,-123000,-211000,159000,159000,575000,734000,374000,3939000,244000,0.2219,-0.04795,-0.00117,-0.000310000000000001,-0.00022,-30.5,2.87121,0.40293,0.10994,-0.00217,-0.00212,1.85594,6.67443999999971,0.0662,0.00381,0.00816,-2.43316,2.77439
"42","2021_Q3",4.588125,"Down",8201000,-6331000,1870000,-1907000,-1784000,-123000,-37000,109000,-34000,143000,72000,0,72000,0,72000,51000,184000,235000,235000,11410000,4470000,6940000,7581000,7581000,2147000,1012000,342000,670000,22150000,10762000,5451000,5097000,16213000,38363000,6839000,3103000,341000,3395000,1353000,8192000,3204000,419000,419000,3623000,11815000,14903000,8263000,2703000,25869000,679000,26548000,38363000,51000,767000,-33000,-933000,-148000,-130000,117000,-12999.9999999999,-153000,-146000,-307000,-307000,-15000,-322000,730000,4557000,-333000,0.22802,-0.00451000000000001,0.02866,0.00885,0.00613,-1.41702,2.70386,0.44504,0.11879,0.0629399999999989,0.0615200000000004,2.19629999999992,6.92796,-0.089180000000001,0.00936,-0.01056,-9.38767,185.21622
"43","2021_Q4",7.203125,"Up",8112000,-6052000,2060000,-2125000,-2046000,-79000,-65000,248000,-25000,273000,183000,0,183000,-118000,65000,66000,112000,178000,178000,12324000,5178000,7146000,6997000,6997000,2602000,1045000,367000,678000,22968000,10378000,5779000,5442000,16157000,39125000,6812000,2997000,348000,3467000,996000,8427000,3358000,419000,419000,3777000,12204000,15685000,8441000,2259000,26385000,536000,26921000,39125000,66000,755000,62000,-298000,585000,-404000,-315000,-719000,-10000,636000,502000,502000,193000,695000,690000,4354000,106000,0.25394,-0.00801,0.02194,0.00661,0.00455,0.59551,2.72553,0.45333,0.11128,0.04121,0.03952,1.87821,6.10904999999993,0.02454,0.00584,0.00334,-11.55072,122.61538
"44","2022_Q1",7.35435483870968,"Up",9308000,-7086000,2222000,-1854000,-1774000,-80000,368000,-303000,-30000,-273000,65000,-1066000,-1001000,-103000,-1104000,-1106000,110000,-996000,-996000,12487000,5836000,6651000,8293000,8293000,2080000,1099000,418000,681000,23959000,10212000,4135000,3918000,14347000,38306000,7379000,3702000,314000,3363000,1380000,8759000,3078000,416000,416000,3494000,12253000,16411000,6824000,2399000,25634000,419000,26053000,38306000,-1106000,835000,1527000,-518000,738000,-491000,749000,258000,-281000,-281000,715000,715000,-55000,660000,1203000,4458000,297000,0.23872,0.03954,-0.107,-0.03823,-0.026,-0.29819,2.73536,0.47031,0.11638,-0.25454,-0.24715,2.37874,6.55098,0.0759,-0.03832,0.0096,-6.67415,-21.81793
"45","2022_Q2",5.2308064516129,"Down",10171000,-6992000,3179000,-2209000,-2127000,-82000,970000,133000,-28000,161000,1103000,-4308138.63787561,1103000,-180000,923000,928000,-11000,917000,917000,11098000,5173000,5925000,9403000,9403000,2410000,2027000,1315000,712000,24938000,9994000,5179000,4953000,15173000,40111000,7553000,3224000,457000,3872000,1736000,9289000,3733000,385000,355000,4118000,13407000,16423000,7741000,2117000,26281000,423000,26704000,40111000,928000,709000,49000,-2397000,-711000,-438000,664000,226000,17000,17000,-468000,-468000,-214000,-682000,1679000,5469000,-976000,0.31256,0.09537,0.09016,0.03434,0.02286,-1.06434,2.68468,0.50206,0.13635,0.23435,0.22885,2.59928,6.71633,-0.24942,0.02817,-0.02998,-3.35259,-5.80309
"46","2022_Q3",4.643125,"Down",10922000,-8032000,2890000,-2234000,-2103000,-131000,656000,353000,-28000,381000,1009000,-10793415.9136268,1009000,-153000,856000,856000,-1000,855000,855000,12523000,7526000,4997000,9839000,9839000,2572000,2919000,511000,2408000,27853000,9920000,4779000,4610000,14699000,42552000,9056000,3961000,351000,4744000,1930000,10986000,3421000,325000,310000,3746000,14732000,16551000,8596000,2367000,27514000,306000,27820000,42552000,856000,793000,37000,-138000,1548000,-357000,973000,616000,57000.0000000001,56000,2220000,2220000,146000,2366000,1449000,5351000,1107000,0.2646,0.06006,0.07828,0.03073,0.02009,1.29474,2.53532,0.52955,0.12575,0.2185,0.21338,2.79121,7.03143,0.2829,0.02553,0.03305,-4.94962,-10.93293
