"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"29","2017_Q2",24.5344444444444,"Down",83084000,-38177000,44907000,-44514000,-31579000,-18875000,-12704000,-12935000,393000,-3935000,-3935000,-3542000,-9827000,-681000,-10508000,-10508000,-10508000,-10508000,127888000,98706000,29182000,52689000,52689000,17130000,17130000,197707000,53718000,377008000,158981000,201489000,16538000,430726000,628433000,35624000,9313000,26311000,63616000,63616000,99240000,68217000,19231000,21276000,27710000,241446000,340686000,600064000,-79487000,-194063000,-38767000,287747000,287747000,628433000,-10508000,4087000,17207000,-2249000,8537000,-9909000,5881000,-4028000,-2420000,1353000,-2420000,2089000,2089000,-557000,1532000,4480000,173229000,-6997000,0.5405,0.00473,-0.12647,-0.03652,-0.01672,0.66587,1.99221,1.18398,0.27565,-0.27696,-0.27696,2.18988,7.58426,-0.18442,-0.01986,-0.01322,10.12076,115.3715
"30","2017_Q3",29.1549206349206,"Up",86728000,-39572000,47156000,-44179000,-31097000,-19325000,-11772000,-13082000,2977000,-4182000,-4182000,-1205000,-14824000,4478000,-10346000,-10346000,-10346000,-10346000,115221000,99612000,15609000,58032000,58032000,16818000,16818000,190071000,53665000,357743000,150553000,188983000,18207000,411408000,601479000,33755000,9431000,24324000,59092000,59092000,92847000,63716000,21197000,15907000,26612000,240416000,333263000,608717000,-89483000,-204409000,-46608000,268217000,268217000,601480000,-10346000,4154000,21254000,-6021000,9041000,-5436000,13464000,8028000,-11139000,58999.9999999995,-13276000,3793000,3793000,-2887000,906000.000000002,7131000,176700000,-8804000,0.54372,0.03433,-0.11929,-0.03857,-0.0172,0.85096,2.04714,1.24251,0.29378,-0.27394,-0.27394,2.29634,7.1017,-0.23311,-0.02034,-0.01731,8.62137,20.65133
"31","2017_Q4",33.5103174603175,"Up",86099000,-39574000,46525000,-42896000,-29839000,-18976000,-10863000,-13057000,3629000,-4479000,-4479000,-850000,-6856000,232000,-6624000,-6624000,-6624000,-6624000,140940000,123790000,17150000,62333000,62333000,17678000,17678000,220951000,53909000,354176000,145795000,190436000,17945000,408085000,629036000,35478000,9268000,26210000,257525000,77384000,293003000,62989000,20795000,15008000,27186000,62989000,355992000,616161000,-88129000,-211033000,-43955000,273044000,273044000,629036000,-6624000,4684000,15839000,14462000,28361000,-4951000,-1571000,-6522000,1362000,1362000,1336000,23175000,23175000,1003000,24178000,8313000,0,17592000,0.54037,0.04215,-0.07693,-0.02426,-0.01053,-2.6558,0.75409,1.30379,0,-0.17448,-0.17448,2.26785,7.19199,0.46337,-0.01971,0.05235,-16.95417,-38.83715
"32","2018_Q1",37.2875409836066,"Up",93501000,-44591000,48910000,-45524000,-31543000,-20347000,-11196000,-13981000,3386000,-4288000,12320000,-902000,-6767000,1108000,-5659000,-5659000,-5659000,-5659000,126542000,124569000,1973000,64244000,64244000,16807000,16807000,207593000,26195000,383651000,171280000,194700000,17671000,409846000,617439000,38192000,9013000,29179000,257795000,74113000,295987000,59496000,22047000,15433000,22016000,59496000,355483000,624044000,-113071000,-216692000,-32325000,261956000,261956000,617439000,-5659000,6603000,15619000,-1418000,15145000,-7877000,15154000,7277000,-24741000,201000,-24741000,-2318999.99999999,-2318999.99999999,3098000,779000.000000004,9989000,0,-413999.999999996,0.5231,0.03621,-0.06052,-0.0216,-0.00917,0.0731600000000001,0.70136,1.35703,0,-0.15013,-0.15013,2.48046,6.94936,-0.01098,-0.0176,-0.00129,-12.66813,-37.37212
"33","2018_Q2",44.61515625,"Up",91296000,-40559000,50737000,-45050000,-31186000,-19349000,-11837000,-13864000,5687000,-4283000,-4283000,1404000,-3784000,-457000,-4241000,-4241000,-4241000,-4241000,128331000,128263000,68000,61505000,61505000,19362000,19362000,209198000,26138000,382222000,168073000,196975000,17174000,408360000,617558000,38471000,11235000,27236000,249404000,62123000,287875000,60482000,22122000,15838000,22522000,60482000,348357000,632533000,-111565000,-220684000,-31083000,269201000,269201000,617558000,-4241000,4668000,17308000,-11981000,5754000,-3715000,1903000,-2358000,1536000,1536000,-483000,2913000,2913000,781000,3694000,10355000,0,-4884000,0.55574,0.06229,-0.04645,-0.01575,-0.00687,1.15162,0.7267,1.29404,0,-0.1124,-0.1124,2.41972,7.13493,-0.12945,-0.01286,-0.01481,-12.39314,-22.56568
"34","2018_Q3",61.1147619047619,"Up",95195000,-41175000,54020000,-46368000,-32430000,-21441000,-10989000,-13938000,7652000,-3357000,-3357000,4295000,-1407000,4495000,3088000,3088000,3088000,3088000,74055000,64051000,10004000,78073000,78073000,22037000,22037000,174165000,27199000,393407000,173266000,202083000,18058000,420606000,594771000,38679000,10268000,28411000,63316000,59835000,101995000,60826000,25172000,13452000,22202000,210826000,312821000,660745000,-131528000,-217596000,-29671000,281950000,281950000,594771000,3088000,4875000,11696000,-20313000,-653999.999999998,-5412000,-9935000,-20542000,168999.999999996,169000,-39766000,-60962000,-60962000,231000,-60731000,12527000,1.5e+08,-17693000,0.56747,0.08038,0.03244,0.01095,0.00519,-5.7296,1.70758,1.10949,0.2522,0.08108,0.08108,2.49947,7.40298,-0.46455,0.00627,-0.0359,6.0625,9.92486000000001
"35","2018_Q4",57.8409523809524,"Down",101136000,-45795000,55341000,-49407000,-35228000,-22465000,-12763000,-14179000,5934000,-1111000,-1111000,4823000,-995000,-7000,-1002000,-1002000,-1002000,-1002000,102126000,92101000,10025000,89806000,89806000,20794000,20794000,212726000,27682000,394762000,169854000,205362000,19546000,422444000,635170000,44057000,10643000,33414000,83518000,80611000,127575000,59807000,23766000,13546000,22495000,209807000,337382000,669375000,-129914000,-218598000,-23075000,297788000,297788000,635170000,-1002000,5095000,13686000,12644000,30423000,-5728000,0,-5728000,1652000,1652000,1462000,26157000,26157000,1319000,27476000,11029000,1.5e+08,17952000,0.54719,0.05867,-0.00991,-0.00336,-0.00158,-17.91617,1.66746,1.13296,0.23616,-0.02613,-0.02613,2.63725,7.76521,0.46812,-0.00197,0.03537,4.34074,8.06775
"36","2019_Q1",48.2775409836066,"Down",106469000,-45913000,60556000,-52639000,-37120000,-22840000,-14280000,-15519000,7917000,4762000,15659000,12679000,7311000,4172000,11483000,11483000,11483000,11483000,131872000,121860000,10012000,74305000,74305000,22534000,22534000,228711000,28895000,378362000,161785000,200024000,16553000,407257000,635968000,45245000,10251000,34994000,78109000,75356000,123354000,51682000,23371000,8367000,19944000,201682000,325036000,678594000,-129914000,-207115000,-30633000,310932000,310932000,635968000,11483000,5356000,8339000,10049000,35227000,-6511000,47000.0000000009,-2049000,152000,152000,-37000,33141000,33141000,-3536000,29605000,13273000,1.5e+08,12639000,0.56877,0.07436,0.10785,0.03693,0.01806,1.10067,1.8541,1.04536,0.23586,0.29639,0.26619,2.74808,8.0255,0.32623,0.0224,0.02466,1.36578,2.28976
"37","2019_Q2",46.4303174603175,"Down",102437000,-45130000,57307000,-53452000,-36887000,-23022000,-13865000,-16565000,3855000,-781000,-781000,3074000,-2252000,1334000,-918000,-918000,-918000,-918000,86382000,76371000,10011000,67067000,67067000,33835000,33835000,187284000,28777000,399096000,165459000,202269000,31368000,427873000,615157000,41472000,10071000,31401000,66290000,63079000,107762000,48131000,17145000,11315000,19671000,158131000,265893000,690971000,-128216000,-181770000,-31721000,349264000,349264000,615157000,-918000,5640000,16466000,-9206000,11982000,-8378000,35000,-17001000,1718000,1718000,-39066000,-44085000,-44085000,-946000,-45031000,9495000,1.1e+08,-9423000,0.55944,0.03763,-0.00896,-0.00263,-0.00149,10.26471,1.73794,0.7613,0.17882,-0.02313,-0.02313,2.58099,8.80002,-0.23742,-0.00181,-0.01857,2.48741,6.12659
"38","2019_Q3",42,"Down",104846000,-44981000,59865000,-51304000,-34489000,-22585000,-11904000,-16815000,8561000,-858000,-857999.999999998,7703000,2450000,3519000,5969000,5969000,5969000,5969000,96116000,87639000,8477000,62902000,62902000,35587000,35587000,194605000,28876000,394223000,160136000,200786000,33301000,423099000,617704000,39204000,10166000,29038000,63878000,58496000,103082000,43777000,16693000,7457000,19627000,153777000,256859000,700566000,-128216000,-175801000,-35704000,360845000,360845000,617704000,5969000,5551000,10802000,-1055000,21267000,-8650000,1577000,-6873000,21999.9999999998,22000.0000000005,22000.0000000075,14416000,14416000,-977000,13439000,14112000,1.1e+08,888000,0.57098,0.08165,0.05693,0.01654,0.00966,0.148770000000001,1.88787,0.71183,0.17808,0.14689,0.13679,2.58019,8.88015,0.02185,0.0116,0.00173,0.98384,1.62177
"39","2019_Q4",45.4884375,"Up",106438000,-45713000,60725000,-55227000,-38340000,-25165000,-13175000,-16887000,5498000,-695000,-695000,4803000,-427000,1251000,824000,824000,824000,824000,87990000,79475000,8515000,76240000,76240000,36416000,36416000,200646000,54696000,404596000,168819000,204167000,31610000,459292000,659938000,43787000,11530000,32257000,84387000,80082000,128174000,47431000,18722000,8311000,20398000,157431000,285605000,711605000,-127095000,-174977000,-35200000,374333000,374333000,659938000,824000,5576000,13302000,10064000,29766000,-28697000,0,-41250000,2116000,2116000,1747000,-9737000,-9737000,496000,-9241000,11074000,1.1e+08,-8810000,0.57052,0.05165,0.00774,0.0022,0.00125,-10.69175,1.56542,0.76297,0.16668,0.02014,0.0198,2.60163,9.14971,-0.21534,0.00155,-0.01657,1.98754,4.00327
"40","2020_Q1",46.0920967741935,"Up",108241000,-46895000,61346000,-76181000,-37748000,-24493000,-13255000,-17097000,-14835000,6149000,9262000,-8686000,7123000,-3566000,3557000,3557000,3557000,3557000,99705000,92164000,7541000,77285000,77285000,36071000,36071000,213061000,54541000,401627000,168349000,206101000,27177000,456168000,669229000,44892000,10947000,33945000,80734000,75097000,125626000,54226000,17062000,10345000,26819000,164226000,289852000,721485000,-127095000,-171420000,-43593000,379377000,379377000,669229000,3557000,27480000,-10004000,-5771000,15262000,12642000,9788000,-1094000,67999.9999999995,68000,-116000,14052000,14052000,-31000,14021000,12645000,1.1e+08,23082000,0.56675,-0.13706,0.03286,0.00938,0.00532,6.48918,1.69599,0.76402,0.16437,0.08631,0.08507,2.62644,9.2055,0.56008,0.00654,0.04246,0.81416,-0.693969999999999
"41","2020_Q2",44.6768253968254,"Down",108176000,-46495000,61681000,-57382000,-39033000,-25688000,-13345000,-18349000,4299000,-713000,-713000,3586000,-1364000,-3000,-1367000,-1367000,-1367000,-1367000,94888000,84751000,10137000,65409000,65409000,40112000,40112000,200409000,60528000,418459000,160749000,204396000,53314000,478987000,679396000,52905000,11569000,41336000,70282000,63213000,123187000,71273000,15870000,8652000,46751000,181273000,304460000,733359000,-135701000,-172750000,-49972000,374936000,374936000,679396000,-1367000,6092000,16062000,-2675000,18112000,-11449000,-2661000,-14110000,-7831000,2174000,-8013000,-4011000,-4011000,-1970000,-5981000,10391000,1.1e+08,-3730000,0.57019,0.03974,-0.01264,-0.00365,-0.00201,2.7286,1.62687,0.81203,0.16191,-0.03295,-0.03295,2.60747,9.03743,-0.08991,-0.00246,-0.00671,1.45434,3.51524
"42","2020_Q3",47.4371875,"Up",111691000,-47039000,64652000,-60028000,-41749000,-26988000,-14761000,-18279000,4624000,-582000,-581999.999999999,4042000,-1171000,3780000,2609000,2609000,2609000,2609000,90970000,80817000,10153000,67946000,67946000,37926000,37926000,196842000,71616000,426473000,161695000,208836000,55942000,498089000,694931000,58679000,15940000,42739000,73641000,65166000,132320000,66677000,13286000,7420000,45971000,166677000,298997000,744407000,-140701000,-170141000,-37631000,395934000,395934000,694931000,2609000,6560000,11131000,3676000,23976000,-14951000,-53000,-15004000,-4326000,999.999999999534,-14509000,-5537000,-5537000,3009000,-2528000.00000001,11184000,1e+08,-3871000,0.57885,0.0414,0.02336,0.00659,0.00375,-1.48371,1.48762,0.75517,0.1439,0.06258,0.06161,2.67889,9.49641,-0.09285,0.00464,-0.00688,0.8074,1.95285
"43","2020_Q4",45.4465625,"Down",111715000,-47929000,63786000,-74388000,-41104000,-27370000,-13734000,-1.8e+07,-10602000,-970000,-970000,-11572000,-1409000,-6059000,-7468000,-7468000,-7468000,-7468000,182287000,173063000,9224000,78271000,78271000,36923000,36923000,297481000,69832000,413259000,155331000,205206000,52722000,483091000,780572000,53723000,12830000,40893000,92826000,86236000,146549000,71128000,14479000,9251000,47398000,251128000,397677000,754188000,-143333000,-177609000,-50351000,382895000,382895000,780572000,-7468000,7155000,20188000,8166000,28041000,-13116000,997000,-12119000,-2855000,1958000,77145000,93067000,93067000,-2706000,90361000,-3447000,1.8e+08,-2338000,0.57097,-0.0949,-0.06685,-0.0195,-0.00957,0.31307,2.02991,1.03861,0.2306,-0.17856,-0.18139,2.67107,9.15491,-0.0559,-0.01178,-0.00369,0.66348,0.21571
"44","2021_Q1",48.1109836065574,"Up",110639000,-47623000,63016000,-64769000,-41292000,-26383000,-14909000,-18391000,-1753000,-1704000,1494000,-3457000,-3457000,454000.000000004,-3003000,-3003000,-3003000,-3003000,205041000,194832000,10209000,69970000,69970000,34632000,6304000,309643000,67155000,416339000,154111000,205713000,56515000,483494000,793137000,61620000,13422000,48198000,88378000,82074000,149998000,70805000,13959000,8656000,48190000,250805000,400803000,764954000,-143333000,-180612000,-48675000,392334000,392334000,793137000,-3003000,27795000,-4932000,7182000,27042000,-4229000,-1068000,-6297000,1000,1000,1000,20746000,20746000,737000.000000001,21483000,26042000,1.8e+08,28541000,0.56956,-0.01584,-0.02714,-0.00765,-0.00379,-9.50416,2.06431,1.02159,0.22695,-0.07137,-0.07137,2.6295,9.32441,0.67832,-0.00467,0.04438,-0.96156,14.28465
"45","2021_Q2",41.208253968254,"Down",112365000,-46533000,65832000,-62897000,-39369000,-25743000,-13626000,-18499000,2935000,-780000,-780000,2155000,2155000,-1764000,391000,391000,391000,391000,197425000,187215000,10210000,69056000,69056000,38074000,38074000,304555000,67953000,441745000,160813000,220899000,60033000,509698000,814253000,57151000,11947000,45204000,76925000,69781000,134076000,77761000,15479000,9862000,52420000,257761000,391837000,783506000,-141544000,-180165000,-39381000,422416000,422416000,814253000,391000,12728000,10311000,-15520000,7910000,-8628000,-29000,-20149000,2168000,2168000,2168000,-10071000,-10071000,3294000,-6777000,15663000,1.8e+08,-6721000,0.58588,0.02612,0.00348,0.00093,0.00048,-17.18926,2.27151,0.92761,0.22106,0.00921,0.00914,2.64656,9.94927,-0.1583,0.00057,-0.00988,-1.11249,-5.93697
"46","2021_Q3",40.2959375,"Down",116024000,-48258000,67766000,-70220000,-45895000,-29237000,-16658000,-19183000,-2454000,-888000,-888000,-3342000,-3342000,-1273000,-4615000,-4615000,-4615000,-4615000,140355000,130096000,10259000,73044000,73044000,43082000,43082000,256481000,68470000,453685000,158942000,227346000,67397000,522155000,778636000,57767000,12141000,45626000,81179000,71499000,138946000,76703000,14624000,10313000,51766000,206703000,345649000,795679000,-152299000,-184780000,-25613000,432987000,432987000,778636000,-4615000,3304000,22092000,-4514000,16267000,-6352000,-7224000,-14576000,-10754000,1000,-60754000,-59063000,-59063000,4480000,-54583000,850000,1.3e+08,-8743000,0.58407,-0.02115,-0.03978,-0.01066,-0.00593,1.89447,1.8459,0.79829,0.16696,-0.10795,-0.10875,2.71395,10.12811,-0.20451,-0.00721,-0.01367,-12.18235,4.21964
"47","2021_Q4",46.76453125,"Up",120885000,-50135000,70750000,-72870000,-47203000,-31525000,-15678000,-20224000,-2120000,-1314000,-1314000,-3434000,-3434000,-1335000,-4769000,-4769000,-4769000,-4769000,138438000,128188000,10250000,79673000,79673000,44436000,8556000,262547000,69441000,489974000,167658000,245287000,77029000,559415000,821962000,63022000,14788000,48234000,104829000,96273000,167851000,84629000,13665000,13727000,57237000,214629000,382480000,807576000,-150282000,-189549000,-28263000,439482000,439482000,821962000,-4769000,8258000,17513000,16218000,37220000,-9287000,-21000,-40747000,2420000,2420000,2420000,-1107000,-1107000,-1925000,-3032000,6138000,1.3e+08,14404000,0.58527,-0.01754,-0.03945,-0.01085,-0.0058,-3.02034,1.56417,0.8703,0.15816,-0.11133,-0.11133,2.82191,10.25916,0.33624,-0.00729,0.02202,-1.37471,3.98019
"48","2022_Q1",56.5432258064516,"Up",122129000,-51526000,70603000,-76512000,-50769000,-33378000,-17391000,-20184000,-5909000,68000,4401000,-5841000,-5841000,-1454000,-7295000,-7295000,-7295000,-7295000,144148000,133932000,10216000,72978000,72978000,44489000,9836000,261615000,68471000,485642000,162691000,246698000,76253000,554113000,815728000,57353000,11428000,45925000,98515000,88679000,155868000,73626000,12559000,14574000,46493000,203626000,359494000,819441000,-150282000,-196844000,-16081000,456234000,456234000,815728000,-7295000,30061000,-2034000,-6013000,14719000,-7592000,-922000,-8514000.00000001,0,-9.31322574615479e-10,0,6205000,6205000,819000.000000001,7024000,24152000,1.3e+08,12001000,0.5781,-0.04838,-0.05973,-0.01599,-0.00894,-1.6451,1.67844,0.78796,0.15937,-0.16916,-0.16916,2.83191,10.57909,0.27828,-0.01106,0.01819,-0.585790000000001,2.39431
"49","2022_Q2",56.7853658536585,"Up",123605000,-52321000,71284000,-78099000,-51563000,-33814000,-17749000,-21465000,-6815000,-897000,-897000,-7712000,-7712000,2805000,-4907000,-4907000,-4907000,-4907000,125385000,117200000,8185000,67115000,67115000,45332000,7431000,237832000,66293000,483902000,163758000,242863000,77281000,550195000,788027000,64223000,9753000,54470000,83307000,75876000,147530000,69758000,11459000,9702000,48597000,199758000,347288000,833612000,-169746000,-201751000,-21376000,440739000,440739000,788027000,-4907000,14266000,8924000,-8037000,10246000,-11717000,1965000,-9786000,-18489000,2313000,-18489000,-18029000,-18029000,-1108000,-19137000,7451000,1.3e+08,-15108000,0.57671,-0.05514,-0.0397,-0.01113,-0.00623,3.07887,1.61209,0.78797,0.16497,-0.1134,-0.1134,2.8564,10.18508,-0.34913,-0.00766,-0.02359,0.61938,-0.67718
"50","2022_Q3",56.99,"Up",128787000,-55662000,73125000,-83204000,-56272000,-34655000,-21617000,-21752000,-10079000,-840000,-840000,-10919000,-10919000,-5715000,-16634000,-16634000,-16634000,-16634000,86693000,83726000,2967000,73201000,73201000,48028000,11993000,207922000,66185000,493589000,164545000,252061000,76983000,559774000,767696000,66318000,11151000,55167000,87543000,75550000,153861000,72707000,11051000,13709000,47947000,202707000,356568000,847245000,-198247000,-218385000,-19485000,411128000,411128000,767696000,-16634000,4809000,27679000,2330000,18184000,-8335000,5200000,-18055000,-29198000,0,-29198000,-29069000,-29069000,157000,-28912000,-5270000,1.3e+08,-5560000,0.5678,-0.07826,-0.12916,-0.04046,-0.02167,0.33426,1.35136,0.86729,0.16934,-0.38902,-0.38902,3.01193,9.61501,-0.13003,-0.0271,-0.00906,-8.21765,-4.29676
