"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_income","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","total_current_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"35","2019_Q2",8.82650793650794,"Up",8425999,-4614744,3811255,-2865252,-1701382,-556651,-1144731,-231955,-931915,946003,-2219,-2219,10179,943784,943784,-232175,711609,711609,711609,711609,5895574,5895574,3877170,3877170,4016264,585159,580625,14374167,5855457,9318819,4000713,1046944,3701769,15174276,29548443,2846547,1126472,1004176,1805143,5481631,3450256,8931887,6888076,13728480,20616556,20616556,29548443,711609,377654,353432,385414,1828109,-283548,28712,-254836,-1061726,511547,511547,511547,1323657,829941,1657698,0.45232,0.11227,0.08445,0.03452,0.02408,2.32951,2.62224,0.43324,0.02809,0.11935,0.11414,1.41322,3.45783,0.27803,0.05731,0.06658,-3.827,-5.35477
"36","2019_Q3",8.63296875,"Down",7385270,-3738435,3646835,-2401592,-1265233,-434782,-830451,-225417,-910942,1245243,2520,2520,6007,1247763,1247763,-329675,918088,918088,918088,918088,5753209,5753209,4017572,4017572,4195198,645528,600802,14611507,5857664,8817172,3824169,1046944,3440597,14674836,29286343,2904300,1295732,889209,1696409,5081154,3234488,8315642,7043492,13927209,20970701,20970701,29286343,918088,372832,297221,-513571,1074570,-197436,45896,-151540,-1065395,-142365,-142365,-142365,1618075,480445,1236743,0.4938,0.16861,0.12431,0.04378,0.03135,1.34709,2.87563,0.39654,0.01641,0.15358,0.14672,1.23546,3.50813,0.20689,0.06619,0.0501,-3.25866,-4.23433
"37","2019_Q4",8.74234375,"Up",7913252,-4956177,2957075,-3055249,-1964260,-434989,-1529271,-216854,-874135,-98174,4315,4315,7205,-93859,-93859,22222,-71637,-71637,-71637,-71637,5462678,5462678,4642027,4642027,3680730,845012,522771,14630447,6040845,8506243,3647625,1046944,3262046,14547088,29177535,4064205,2115998,1228807,1446016,5637797,3243574,8881371,7160032,13136132,20296164,20296164,29177535,-71637,364192,361276,475482,1129313,-382623,35047,-347576,-1072268,-290531,-290531,-290531,266018,127576,336655,0.37369,-0.01241,-0.00905,-0.00353,-0.00246,-4.69946,2.59506,0.43759,0.00437,-0.01195,-0.01145,1.32002,3.38564,0.05616,0.02737,0.01422,-20.05542,54.34333
"38","2020_Q1",7.66467741935484,"Down",8125275,-4905540,3219735,-3905797,-2727746,-476887.321269318,-3141014.62080124,-221169,-956882,-686062,6106,6106,6347,-679956,-695356,171128,-524228,-524228,-524228,-524228,4822071,4822071,4049959,4049959,3750978,988722,570403,13611730,5938013,8267645,3546081,1046944,3044542,14205658,27817388,3997461,2241506,1033611,1609361,5606822,2855055,8461877,7465951,11889560,19355511,19355511,27817388,-524228,378147,416609,150346,420874,-194571,37114,-157457,-904024,-640607,-640607,-640607,-307915,5.82076609134674e-11,-523268,0.39626,-0.08444,-0.0645199999999999,-0.02708,-0.01885,0.998169999999998,2.42771,0.43718,-2.60208521396521e-18,-0.08722,-0.08359,1.35181,3.22019,-0.08706,-0.12042,-0.02356,15.6604,7.02862
"39","2020_Q2",4.4452380952381,"Down",2702437,-2883216,-180779,-4579626,-3653565,-474090,-3179475,-185605,-740456,-4760405,-17762,-17762,5800,-4778167,-4846725,1179328,-3667397,-3667397,-3667397,-3667397,7440923,7440923,2320580,2320580,4140827,925914,507935,14828244,5703584,8576298,3337571,729701,2699619,14279882,29108126,4038574,2965103,1073471,5050200,9679151,3597143,13276294,7609669,8222163,15831832,15831832,29108126,-3667397,343115,1000505,725735,-1598042,-63952,17825,-46127,4263021,2618852,2618852,2618852,-4417290,1538424,-4934835,-0.06689,-1.76152,-1.35707,-0.23165,-0.12599,1.3456,1.53198,0.83858,0.05285,-0.6053,-0.6053,0.44603,2.61301,-0.81448,-0.14711,-0.2465,1.33623,1.23992
"40","2020_Q3",3.40609375,"Down",5327402,-3053563,2273839,-2154482,-1197462,-408919,-788543,-176650,-780370,119357.000000001,-18624,-18624,5365,100733.000000001,100733,-24601.0000000002,76132,76132,76132,76132,5923707,5923707,2917061,2917061,5726426,920582,502192,15487776,5533901,8165762,3194767,729701,2456488,13699663,29187439,4158636,3020604,1138032,4987867,9994234,3141522,13135756,7753388,8298295,16051683,16051683,29187439,76132,334852,177631,-2047053,-1458438,-85948,27170,-58778,0,-1517216,-1517216,-1517216,454209,1542306,-1654191,0.42682,0.0223999999999998,0.0142899999999999,0.00473999999999999,0.00261,-21.72793,1.54967,0.81834,0.05284,0.01255,0.0125499999999998,0.87823,2.64616,-0.2727,0.0038,-0.0825400000000001,-9.64622,-36.70837
"41","2020_Q4",3.53203125,"Up",7228867,-4688011,2540856,-2142292,-1171179,-382462,-788717,-168990,-802123,398564,-21229,-21229,3461,377335,696108,-172413,523695,523695,523695,523695,7270921,7270921,2339217,2339217,4905815,818712,397141,15334665,5270086,7676263,3057717,729701,2268638,12946349,28281014,2851756,1802307,1049449,4954844,8755568,2837869,11593437,7865587,8821990,16687577,16687577,28281014,523695,326572,-21795,215399,1043871,-26207,329550,303343,0,1347214,1347214,1347214,725136,1437863,1086741,0.35149,0.05514,0.07244,0.03138,0.01852,2.07514,1.75142,0.69473,0.05084,0.08626,0.08626,1.19076,2.74882,0.17901,-0.0097,0.05308,-8.04409,-14.63519
"42","2021_Q1",5.18295081967213,"Up",8221999,-5493835,2728164,-1902467,-948663,-398302.402656618,-725890.22726231,-179411,-774393,825697,-19229,-19229,3036,806468,2258193,-90400,2167793,2167793,2167793,2167793,5633279,5633279,2007502,2007502,4062885,1073157,298630,12776823,5152015,7022314,2915710,729701,2232139,12174329,24951152,2285797,1297211,988586,1494523,3780320,2203263,5983583,7977786,10989783,18967569,18967569,24951152,2167793,331643,-841660,422179,2079955,-77433,-191999,-269432,-3448165,-1637642,-1637642,-1637642,1157340,0,1592486,0.33181,0.10043,0.26366,0.11429,0.08688,0.734609999999999,3.37983,0.31546,0,0.35689,0.35689,1.35361,3.12268,0.26218,0.1024,0.07522,-4.86744,-6.82245
"43","2021_Q2",6.21952380952381,"Up",7593711,-4546597,3047114,-2401210,-1257478,-412657,-844821,-176306.727922319,-1143732,645904,4571,4571,4571,650475,817598,-237793,579805,579805,579805,579805,5789625,5789625,2122378,2122378,4399030,956412,437859,13267445,5593453,6941729,2794371,729701,2295969,12535182,25802627,2194685,1152572,1042113,1422714,3617399,2491697,6109096,8123943,11569588,19693531,19693531,25802627,579805,299914,38232,-532140,385811,-457435,227970,-229465,-4325695.14092687,156346,156346,156346,945818,0,194036,0.40127,0.08506,0.07635,0.02944,0.02247,0.33466,3.66768,0.31021,0,0.09476,0.09218,1.24112,3.21872,0.03171,0.02613,0.00875,-6.12129,-8.9636
"44","2021_Q3",7.884375,"Up",7926077,-4072082,3853995,-3596170,-2270239,-405935,-1864304,-148578,-1177353,257825,2582,2582,2582,260407,260407,-63473.9999999999,196933,196933,196933,196933,6731330,6731330,2270062,2270062,5188433,1015050,388400,15204875,5496526,6716191,2673498,729701,2110542,12212717,27417592,3663543,2520643,1142900,1359004,5022547,2381114,7403661,8247410,11766521,20013931,20013931,27417592,196933,306276,131059,397377,1031645,92909.0000000001,-182849,-89940,-2283217.90786255,941705,941705,941705,564101,0,1117861,0.48624,0.03253,0.02485,0.00984000000000002,0.00717999999999999,5.67635,3.02732,0.36993,-1.73472347597681e-18,0.03216,0.0313,1.29429,3.26819,0.18254,0.00879000000000001,0.04992,-11.93285,-26.10814
"45","2021_Q4",8.47953125,"Up",8507634,-5200749,3306885,-5265593,-4243143,-441636.539689688,-1853000.1720152,-143612,-878838,-1958708,2195,2195,1274.50761078744,-1956513,-1956513,478867,-1477646,-1477646,-1477646,-1477646,6021594,6021594,2993389,2993389,4943914,1120851,347492,15079748,5445466,6773450,2552625,729701,1920319,12218916,27298664,4809782,2420734,2389048,1308820,6118602,2265467,8384069,8686996,10227599,18914595,18914595,27298664,-1477646,298782,64171,554285,-560408,-338185,250133,-88052,-61276.0000000028,-709736,-709736,-709736,-1659926,0,-1922693,0.3887,-0.23023,-0.17368,-0.07812,-0.05413,1.30119,2.46457,0.44326,0,-0.24063,-0.24063,1.38545,3.08021,-0.31311,-0.06687,-0.09078,3.62763,3.07427
"46","2022_Q1",7.8908064516129,"Down",8315157,-5348244,2966913,-2396379,-1390861,-498708.07071162,-1326884.11855513,-294065,-711453,570534,1659,1659,1551.8775705011,572193,572193,-212982,359211,359211,359211,359211,7587374,7587374,1967914,1967914,4354202,1088476,351948,14997966,5499890,6382905,2431751,729701,1833182,11882795,26880761,3944991,1579917,2365074,1366741,5311732,2169103,7480835,8813116,10586810,19399926,19399926,26880761,359211,302081,809143,530671,2001106,-217286,19745.0000000001,-197541,-237785,1565780,1565780,1565780,872615,0,1398982,0.35681,0.06861,0.0432,0.01852,0.01336,3.8946,2.82355,0.38561,1.0842021724855e-19,0.0584999999999999,0.0585,1.35411,3.15924,0.22782,0.01381,0.06486,-8.69498,-13.29872
"47","2022_Q2",6.70096774193548,"Down",7826572,-4723455,3103117,-3252454,-2159232,-528009,-1631223,-373179.000761299,-1093222,-149337,2641,2641,2641,-146696,-146696,31755,-114941,-114941,-114941,-114941,5989510,5989510,1903781,1903781,5059762,2473227,562761,15426280,5602864,6462447,2329403,729701,2129378,12065311,27491591,4274432,2095931,2178501,1424812,5699244,2375765,8075009,8944713,10471869,19416582,19416582,27491591,-114941,287184,207649,-368594,11298,-289760,25411,-264349,-4740152.02439471,-253051,-253051,-253051,137847,0,-552262,0.39648,-0.01908,-0.01469,-0.00592,-0.00418,4.80474,2.70672,0.41588,0,-0.01852,-0.01852,1.26094,3.12821,-0.08897,-0.00527,-0.02534,-43.45042,40.10734
"48","2022_Q3",6.65515625,"Down",7525685,-4078994,3446691,-5671707,-4549514,-481877,-4067637,-127478,-994715,-2225016,3857,3857,3857,-2221159,-2221159,-1420027,-3641186,-3641186,-3641186,-3641186,5403803,5403803,1964090,1964090,6429894,945316,513567,14743103,5714969,5792154,2227055,729701,2835398,11507123,26250226,5834281,3833545,2000736,1638557,7472838,2852952,10325790,9093753,6830683,15924436,15924436,26250226,-3641186,288245,1378692,388258,-1585991,-295590,-48939,-344529,-15333157.0731841,-1930520,-1930520,-1930520,-1936771,0,-424076,0.45799,-0.29566,-0.48383,-0.22865,-0.13871,0.11647,1.97289,0.64842,6.7762635780344e-21,-0.58585,-0.58585,1.21085,2.56218,-0.0682300000000001,-0.19391,-0.02258,2.79010999999999,2.42866
