"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"33","2018_Q4",8.48126984126984,"Down",20213000,-10683000,9530000,-12371000,-5507000,-6755000,-2841000,224000,-2617000,-2617000,535000,-2082000,-2082000,-2082000,-2082000,96788000,96788000,52744000,52744000,10890000,10890000,160422000,34120000,33117000,8163000,67237000,227659000,12641000,3286000,9355000,8029000,7360000,20670000,6094000,6094000,6094000,26764000,308103000,-78752000,-27337000,-1119000,200895000,200895000,227659000,-2082000,1158000,2036000,-1788000,-676000,-3937000,-3937000,-3937000,-3937000,878000,878000,543000,-4070000,-4070000,-58000,-4128000,-1683000,0,-7943000,0.47148,-0.14055,-0.103,-0.01036,-0.00915,3.81508,7.7611,0.13322,0,-0.06469,-0.06469,0.62804,6.24208,-0.2468,-0.01006,-0.03837,57.50921,34.06829
"34","2019_Q1",11.0508196721311,"Up",19725000,-9721000,10004000,-13140000,-6133000,-6898000,-3136000,210000,-2926000,-3502000,388000,-3114000,-3114000,-3114000,-3114000,96089000,96089000,51570000,51570000,9562000,9562000,157221000,35681000,33003000,6972000,68684000,225905000,10416000,2454000,7962000,9112000,8477000,19528000,6582000,6582000,6582000,26110000,310665000,-79142000,-30452000,-1276000,199795000,199795000,225905000,-3114000,1278000,1300000,4831000,4295000,-4369000,-4369000,-4369000,-4369000,90000,89999.9999999997,-544000,-618000,-618000,-81000,-699000,-1858000,0,-1784000,0.50717,-0.15899,-0.15787,-0.01559,-0.01378,0.5729,8.05105,0.13068,0,-0.09622,-0.09622,0.60951,6.17375,-0.05513,-0.01509,-0.00864,51.71636,30.64062
"35","2019_Q2",12.8260317460317,"Up",20541000,-7867000,12674000,-15365000,-7011000,-8246000,-2691000,-6000,-2697000,-2789000,98000,-2691000,-2691000,-2691000,-2691000,90415000,90415000,53211000,53211000,9862000,9862000,153488000,35936000,43261000,15427000,79197000,232685000,9579000,2522000,7057000,12663000,9220000,22242000,13096000,13096000,13096000,35338000,315434000,-83616000,-33143000,-1328000,197347000,197347000,232685000,-2691000,1292000,1777000,-529000,-151000,-2357000,-2357000,-2357000,-2357000,-2617000,1300000,-3174000,-5682000,-5682000,8000,-5674000,-1399000,0,-4383000,0.61701,-0.13101,-0.13101,-0.01364,-0.01156,1.62876,6.90082,0.17907,0,-0.08284,-0.08284,0.63232,6.07502,-0.13492,-0.01279,-0.02083,64.62831,33.59903
"36","2019_Q3",12.62015625,"Down",20568000,-7833000,12735000,-14405000,-6939000,-7312000,-1670000,111000,-1559000,-1559000,849000,-710000,-710000,-710000,-710000,86817000,86817000,52381000,52381000,8843000,8843000,148041000,35846000,45784000,15258000,81630000,229671000,9375000,1813000,7562000,11989000,9026000,21364000,13415000,13415000,13415000,34779000,318361000,-88324000,-33853000,-1292000,194892000,194892000,229671000,-710000,1342000,2619000,1866000,5117000,-1647000,-1647000,-1647000,-4307000,-3464000,326000,-4382000,-3572000,-3572000,-26000,-3598000,-328000,0,-958000,0.61917,-0.08119,-0.03452,-0.00364,-0.00309,1.3493,6.92946,0.17845,7.52316384526264e-37,-0.02195,-0.02195,0.63601,6.02653,-0.02962,-0.00341,-0.0046,264.68598,51.98623
"37","2019_Q4",15.33890625,"Up",21914000,-8715000,13199000,-14599000,-5990000,-8435000,-1400000,202000,-1198000,-1198000,511000,-687000,-687000,-687000,-687000,100259000,100259000,34556000,34556000,8026000,8026000,142841000,38969000,47537000,15606000,86506000,229347000,8968000,2203000,6765000,11657000,8612000,20625000,13735000,13735000,13735000,34360000,322188000,-90908000,-34540000,-1753000,194987000,194987000,229347000,-687000,1672000,1692000,15368000,18045000,-2837000,-2837000,-2837000,-2837000,-1041000,891000,-1670000,13538000,13538000,-96000,13442000,272000,0,12292000,0.60231,-0.06389,-0.03135,-0.00352,-0.003,-17.89229,6.92562,0.17622,0,-0.02121,-0.02121,0.67655,6.01979,0.37949,-0.00329,0.05889,-368.59926,71.61357
"38","2020_Q1",14.7725806451613,"Down",22562000,-9059000,13503000,-15286000,-6359000,-8754000,-1783000,-31000,-1814000,-1814000,484000,-1330000,-1330000,-1330000,-1330000,97605000,97605000,40651000,40651000,9320000,9320000,147576000,40798000,51170000,17329000,91968000,239544000,14373000,7636000,6737000,13623000,10639000,27996000,15391000,15391000,15391000,43387000,325202000,-91695000,-35870000,-1480000,196157000,196157000,239544000,-1330000,1723000,2600000,-1414000,1579000,-3711000,-3711000,-3711000,-3711000,178000,178000,-609000,-2741000,-2741000,87000,-2654000,-60000,0,-5669000,0.59848,-0.07903,-0.05895,-0.00678,-0.00555,4.26241,5.27132,0.22119,-9.4039548065783e-38,-0.04101,-0.04101,0.69574,6.04881,-0.17481,-0.00629,-0.0268,1626.75,54.74201
"39","2020_Q2",16.2531746031746,"Up",21158000,-8487000,12671000,-16658000,-7895000,-8590000,-3987000,-20000,-4007000,-4007000,3479000,-528000,-528000,-528000,-528000,100385000,100385000,37363000,37363000,11628000,11628000,149376000,41009000,48972000,15690000,89981000,239357000,10988000,4828000,6160000,16076000,12326000,27064000,13824000,13824000,13824000,40888000,329686000,-93173000,-36398000,-1646000,198469000,198469000,239357000,-528000,1667000,3794000,447000,5380000,-2068000,-2068000,-2068000,-2068000,971000,971000,-507000,2805000,2805000,-25000,2780000,-2320000,0,-7420000,0.59888,-0.18844,-0.02496,-0.00266,-0.00221,14.05303,5.51936,0.20602,0,-0.01615,-0.01615,0.64697,6.06883,-0.22689,-0.00249,-0.03495,43.2694,25.17808
"40","2020_Q3",20.59671875,"Up",21409000,-8946000,12463000,-15665000,-7737000,-7754000,-3202000,-150000,-3352000,-3352000,-300000.000000001,-3652000,-3652000,-3652000,-3652000,103441000,103441000,28666000,28666000,8627000,8627000,140734000,40412000,52550000,15149000,92962000,233696000,9416000,2763000,6653000,12464000,10087000,21880000,14111000,14111000,14111000,35991000,333162000,-93968000,-40050000,-1439000,197705000,197705000,233696000,-3652000,2343000,-1423000,7982000,5250000,-1872000,-1872000,-1872000,-1872000,463000.000000004,462999.999999996,-332000.000000002,3046000,3046000,10000,3056000,-859000,1.97215226305253e-31,5551000,0.58214,-0.14956,-0.17058,-0.01847,-0.01563,-1.51999,6.43208,0.18204,0,-0.11105,-0.11105,0.65099,6.01165,0.16879,-0.01724,0.02621,120.42026,32.30512
"41","2020_Q4",20.98953125,"Up",23111000,-9493000,13618000,-16922000,-8420000,-8328000,-3304000,-360000,-3664000,-3664000,930000,-2734000,-2734000,-2734000,-2734000,168369000,118386000,40388000,40388000,9310000,9310000,218067000,39487000,53054000,14994000,92541000,310608000,10609000,2212000,8397000,22267000,19074000,32876000,12955000,12955000,12955000,45831000,403455000,-94992000,-42784000,-902000,264777000,264777000,310608000,-2734000,1972000,2431000,-1423000,246000,-1425000,-1425000,-1425000,-51408000,67065000,67065000,66041000,14879000,14879000,66000,14945000,-1332000,0,-5110000,0.58924,-0.14296,-0.1183,-0.01033,-0.0088,1.86906,6.63301,0.17309,0,-0.07702,-0.07702,0.65105,7.45893,-0.14395,-0.00984,-0.0184,126.40315,50.95914
"42","2021_Q1",19.8191803278689,"Down",22368000,-9839000,12529000,-18827000,-8625000,-9982000,-6298000,-739000,-7037000,-7037000,-26412000,-33449000,-33449000,-33449000,-33449000,145296000,30315000,34140000,34140000,13944000,13944000,193380000,39242000,54958000,14362000,94200000,287580000,19047000,4399000,14648000,23158000,19895000,42205000,10869000,10869000,10869000,53074000,407179000,-96215000,-76233000,-225000,234506000,234506000,287580000,-33449000,2189000,29692000,12475000,10907000,-1603000,-1603000,-1603000,-95154000,818999.999999985,818999.999999985,-403999.999999985,-84651000,-84651000,80000,-84571000,-4109000,0,33175000,0.56013,-0.28156,-1.4954,-0.14264,-0.11631,-0.99181,4.58192,0.22632,0,-0.91033,-0.91033,0.60875,6.38216,0.90287,-0.13632,0.1352,35.36043,23.07018
"43","2021_Q2",17.9179365079365,"Down",24200000,-10663000,13537000,-20619000,-9464000,-10841000,-7082000,441000,-6641000,-6641000,-956000,-7597000,-7597000,-7597000,-7597000,132286000,74287000,34785000,34785000,11375000,11375000,178446000,38147000,54538000,15311000,92685000,271131000,15442000,967000,14475000,19659000,17578000,35101000,10777000,10777000,10777000,45878000,412037000,-102201000,-83830000,-753000,225253000,225253000,271131000,-7597000,2567000,3574000,-6869000,-8325000,-586000,-586000,-586000,56417000,-3034000,1489000,-4497000,43595000,43595000,-104000,43491000,-4515000,0,-11014000,0.55938,-0.29264,-0.31393,-0.03373,-0.02802,1.44978,5.08379,0.20367,0,-0.20547,-0.20547,0.65451,6.0922,-0.29789,-0.03219,-0.04666,29.29922,18.67919
"44","2021_Q3",20.59828125,"Up",27419000,-10785000,16634000,-20787000,-9410000,-11064000,-4153000,-243000,-4396000,-4396000,-88000,-4484000.00000001,-4484000.00000001,-4484000.00000001,-4484000.00000001,139194000,87201000,30128000,30128000,12715000,12715000,182037000,37977000,53656000,15300000,91633000,273670000,20269000,7078000,13191000,19901000,15946000,40170000,10376000,10376000,10376000,50546000,415069000,-103088000,-88314000,-543000,223124000,223124000,273670000,-4484000.00000001,2476000,3081000,7057000,8130000,-535000,-535000,-535000,5470000.00000003,224999.999999998,225000,-662000.000000002,12938000,12938000,-24000,12914000,-1677000,0,4933000,0.60666,-0.15146,-0.16354,-0.0201,-0.01638,-1.10013,4.53167,0.22654,2.29588740394978e-41,-0.12127,-0.12127,0.74158,6.03462,0.13342,-0.0192,0.02113,83.0017899999999,33.51649
"45","2021_Q4",27.8109375,"Up",29555000,-11070000,18485000,-20580000,-9609000,-10657000,-2095000,194000,-1901000,-1901000,-506000,-2407000,-2407000,-2407000,-2407000,141230000,71238000,33681000,33681000,10298000,10298000,185209000,37821000,52194000,14609000,90015000,275224000,17189000,3210000,13979000,23950000,22207000,41139000,10630000,10630000,10630000,51769000,418939000,-103995000,-90721000,-768000,223455000,223455000,275224000,-2407000,2230000,3530000,669000,4022000,-1592000,-796858.284707099,-796858.284706872,-19585000,572000,572000,-335000,-15898000,-15898000,-65000,-15963000,135000,0,-282000,0.62544,-0.07088,-0.08144,-0.01077,-0.00875,0.11716,4.50203,0.23168,0,-0.06467,-0.06467,0.79404,6.00347,-0.00758,-0.01028,-0.0012,-1046.14815,67.41289
"46","2022_Q1",27.9172580645161,"Up",29886000,-11675000,18211000,-20698000,-9166000,-11218000,-2487000,291000,-2196000,-5379000,-1621000,-7e+06,-7e+06,-7e+06,-7e+06,140226000,27684000,40087000,40087000,8194000,8194000,188507000,35295000,49966000,14529000,85261000,273768000,18377000,5554000,12823000,25449000,23691000,43826000,10357000,10357000,10357000,54183000,423075000,-104705000,-97721000,-1064000,219585000,219585000,273768000,-7e+06,2279000,8123000,-2986000,416000,-1340000,-1144782.54481361,-1144782.54481346,-46969000,679000,679000,-31000,-46584000,-46584000,11000,-46573000,-208000,0,-2913000,0.60935,-0.08322,-0.23422,-0.03188,-0.02557,0.41614,4.30126,0.24675,-1.43492962746861e-42,-0.18807,-0.18807,0.80293,5.89949,-0.07826,-0.03044,-0.01267,674.16346,56.38359
"47","2022_Q2",23.1133870967742,"Down",33498000,-11529000,21969000,-25242000,-10839000,-14089000,-3273000,310000,-2963000,-2963000,-1187000,-4150000,-4150000,-4150000,-4150000,134242000,35799000,37753000,37753000,8857000,8857000,180852000,36844000,47881000,13319000,84725000,265577000,17231000,4053000,13178000,25338000,23868000,42569000,9441000,9441000,9441000,52010000,430805000,-113872000,-101871000,-1495000,213567000,213567000,265577000,-4150000,2247000,5752000,-853000,2996000,-1765000,-1765000,-1765000,12276000,-3601000,2177000,-6990000,8282000,8282000,-167000,8115000,-1026000,0,-2457000,0.65583,-0.09771,-0.12389,-0.01943,-0.01563,0.59205,4.24844,0.24353,0,-0.11112,-0.11112,0.89692,5.7183,-0.06579,-0.01861,-0.01102,130.84016,41.01497
"48","2022_Q3",25.27015625,"Up",34668000,-12042000,22626000,-23458000,-9770000,-13374000,-832000,991000,159000,159000,-1306000,-1147000,-1147000,-1147000,-1147000,117250000,81343000,36117000,36117000,10408000,10408000,163775000,38390000,47002000,13328000,85392000,249167000,20253000,3382000,16871000,21541000,19568000,41794000,9498000,7750000,9498000,51292000,434790000,-131365000,-103018000,-2532000,197875000,197875000,249167000,-1147000,2260000,4465000,-1954000,3624000,-2822000,-2822000,-2822000,59717000,-16580000,113000,-17380000,45961000,45961000,-417000,45544000,1428000,-6.01853107621011e-36,-2042000,0.65265,-0.024,-0.03309,-0.0058,-0.0046,1.7803,3.91862,0.25921,-1.79366203433577e-43,-0.03098,-0.03098,0.93626,5.34393,-0.05515,-0.00553,-0.00985,-82.10784,140.92548
