"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"30","2018_Q1",2.14311475409836,"Up",458471000,-365349000,93122000,-94564000,-55881000,-8712000,-1442000,-15245000,-15690000,-4688000,-16687000,5399000,-11288000,5467000,-5821000,-5821000,-2705000,-8526000,-9247000,1.486e+09,97900000,322400000,322400000,526300000,2334700000,374700000,352900000,131700000,102400000,8.83e+08,3217700000,347500000,347500000,1980200000,1937200000,2327700000,593200000,80800000,70100000,6.74e+08,3001700000,254700000,-2100000,-221200000,41700000,99400000,116600000,2.16e+08,3217700000,-5821000,-5821000,10177000,-2511000,-32503000,-30658000,-6186000,2148000,-72338000,74977000,-4161000,69979000,-33017000,-33017000,449000,-32568000,8735000,593200000,-35421000,0.20311,-0.00314999999999999,-0.02017,-0.04281,-0.00287,3.83054,1.00301,13.89676,0.18436,-0.21187,-0.21187,10.50479,1.67492,-0.81159,-0.00945,-0.0398,-102.2095,619.14008
"31","2018_Q2",2.24109375,"Up",453700000,-375600000,78100000,-91900000,-52100000,-9700000,-13800000,-23400000,-19300000,1100000,-37200000,44729916.4596689,-37200000,-1700000,-38900000,-38900000,3900000,-3.5e+07,-35700000,1474840000,92074000,327513000,327513000,529427000,2331780000,372425000,362501000,132466000,109699000,895543000,3227323000,339381000,339381000,1990790000,1948866000,2330171000,655423000,85925000,75015000,741348000,3071519000,253134000,-2433000,-252223000,15871000,40659000,115145000,155804000,3227323000,-38900000,-38900000,11300000,13700000,14700000,8e+05,-5700000,-1700000,-56700000,56100000,-6400000,49200000,-6700000,-6700000,7e+05,-6e+06,-2500000,655423000,8200000,0.17214,-0.03042,-0.07869,-0.22913,-0.01106,-0.22969,1.00069,19.71399,0.20309,-0.80621,-0.80621,10.24593,0.32404,0.18518,-0.03924,0.00914,327.7668,59.37804
"32","2018_Q3",2.2868253968254,"Up",496769000,-400683000,96086000,-101563000,-57043000,-9013000,-5477000,-7461000,-17206000,-976000,-12938000,102141000,89203000,-9393000,79810000,79810000,-24440000,55370000,54664000,1441114000,112304000,346702000,346702000,531269000,2319085000,368914000,392570000,128846000,142453000,935251000,3254336000,296339000,296339000,2006040000,1965540000,2302379000,668505000,88163000,79529000,756668000,3059047000,260044000,-2434000,-197148000,-9175000,77612000,117677000,195289000,3254336000,79800000,79800000,10700000,-104800000,-27700000,-4.2e+07,-1.1e+07,92800000,73100000,13500000,-19100000,-6100000.00000001,2.5e+07,2.5e+07,-1e+06,2.4e+07,5223000,668505000,-24084000,0.19342,-0.01103,0.11004,0.27991,0.0168,-0.440580000000001,1.00726,15.66421,0.20542,1.2373,1.20133,11.24421,1.16086,-0.54513,0.05795,-0.0253,-147.92437,141.06427
"33","2018_Q4",1.60857142857143,"Down",501356000,-402922000,98434000,-122786000,-50899000,-6256000,-24352000,54586000,-17456000,63908000,30234000,112077000,142311000,9230000,151541000,151541000,1925000,153466000,152763000,4034230000,831634000,350864000,350864000,1305038000,5690132000,369771000,491497000,127051000,212367000,1039865000,6729997000,353216000,353216000,5204923000,4954944000,5558139000,702220000,141952000,108076000,844172000,6402311000,263932000,-2434000,-43682000,-33253000,210903000,116783000,327686000,6729997000,151500000,151500000,8e+06,-149200000,167600000,177900000,-10700000,-6e+05,5.09e+08,33400000,-3e+05,32600000,719500000,719500000,-2e+05,719300000,-16352000,702220000,131318000,0.19634,-0.04857,0.3047,0.46619,0.0227,0.85962,1.02375,19.53794,0.10434,3.44635,3.30534,11.31065,4.16376,2.96255,0.13079,0.11206,203.76773,136.82695
"34","2019_Q1",1.18901639344262,"Down",524875000,-405995000,118880000,-131051000,-58358000,-6731000,-12171000,-5325000,-21738000,14668000,-17496000,5482000,-12014000,-537000,-12551000,-12551000,714999.999999996,-11836000,-16127000,3917100000,3.25e+08,379200000,379200000,1000200000,5296500000,376300000,601100000,171700000,208100000,1207300000,6503800000,344900000,344900000,5051900000,4807300000,5396800000,743900000,141100000,110800000,8.85e+08,6281800000,260500000,-2600000,-57200000,-112600000,108400000,113600000,2.22e+08,6503800000,-12500000,-12500000,8700000,33100000,175400000,204700000,-6400000,1e+05,-7.5e+08,50600000,-12600000,39500000,-505800000,-505800000,0,-505800000,-3471000,743900000,166066000,0.22649,-0.02319,-0.03073,-0.07264,-0.00248,-10.29739,0.98141,28.2964,0.11438,-0.363109999999999,-0.31499,11.81805,1.98365,3.73913,-0.01592,0.15001,914.2034,260.7181
"35","2019_Q2",0.938095238095238,"Down",491400000,-357700000,133700000,-112100000,-52900000,-6900000,21600000,-23900000,-22300000,3300000,-2300000,-46082901.5084983,-2300000,-4e+06,-6300000,-6300000,3500000,-2800000,-1600000,4100800000,302200000,328400000,328400000,975800000,5.405e+09,376600000,6.76e+08,171700000,280800000,1277400000,6682400000,320300000,320300000,5028500000,4790500000,5348800000,7.62e+08,221800000,187200000,983800000,6332600000,264400000,-3200000,-64300000,36200000,243400000,106400000,349800000,6682400000,3e+05,-6300000,2400000,3400000,27900000,38100000,-2300000,-3200000,-58400000,13800000,-17600000,-6400000,-26700000,-26300000,1e+05,-26200000,2.4e+07,7.62e+08,53600000,0.27208,0.04396,-0.00326,-0.00457,-0.00024,-33.5,1.01051,18.10349,0.11403,-0.03571,-0.03571,10.96875,5.20312,1.19643,-0.0012,0.04019,-139.11667,-154.57407
"36","2019_Q3",0.82890625,"Down",518600000,-381200000,137400000,-106500000,-52100000,-7600000,30900000,-21600000,-2.3e+07,-4700000,9300000,1100000,10400000,-1200000,9200000,9200000,2e+05,9400000,9e+06,4236200000,280400000,350700000,350700000,961400000,5548300000,416400000,676200000,178400000,270600000,1334900000,6883200000,338500000,338500000,5007300000,4775400000,5345800000,828200000,257800000,197900000,1.086e+09,6431800000,270900000,-3200000,-54900000,117100000,340200000,111200000,451400000,6883200000,16900000,9200000,3600000,4e+06,-24900000,-1300000,-7600000,6400000,-96200000,58300000,1.2e+07,75400000,-22100000,-22500000,2e+05,-22300000,34500000,828200000,3200000.00000001,0.26494,0.05958,0.01735,0.01994,0.00131,0.355559999999997,1.03788,14.24856,0.12032,0.19737,0.12,11.37281,7.23465,0.0701799999999999,0.00584999999999999,0.00207999999999999,-98.78261,-110.29126
"37","2019_Q4",0.8403125,"Up",345700000,-237500000,108200000,-9.4e+07,-38800000,10800000,14200000,-7800000,-12700000,6100000,6400000,0,6400000,-1e+06,5400000,-8300000,1200000,-7100000,-7900000,4356700000,276900000,293300000,293300000,947900000,5597900000,405800000,672600000,177100000,269800000,1347600000,6945500000,329100000,329100000,5006500000,4780400000,5335600000,820400000,266800000,183100000,1087200000,6422800000,272600000,-3200000,-6.2e+07,197400000,415100000,107600000,522700000,6945500000,-8900000,-8300000,4400000,9e+06,44400000,58900000,-5300000,1.7e+07,-46900000,-7e+06,-5900000,-15600000,-3600000,-8300000,0,-8300000,18600000,820400000,58700000,0.31299,0.04108,-0.02285,-0.01511,-0.00114,-7.43038,1.04916,12.28774,0.11812,-0.17249,-0.48171,7.54803,8.83843,1.28166,-0.00491,0.03646,-190.12366,-249.03521
"38","2020_Q1",1.09887096774194,"Up",-278700000,380400000,101700000,141400000,-33500000,4600000,243100000,-14900000,-18100000,1600000,228200000,-284500000,-56300000,25800000,-30500000,-30700000,-300000.000000002,-3.1e+07,-3.1e+07,4315100000,193700000,228900000,228900000,953700000,5497700000,129500000,1060400000,110400000,736600000,1460600000,6958300000,190600000,190600000,5359500000,5138400000,5550100000,723900000,219100000,137500000,9.43e+08,6493100000,281100000,-3300000,-96700000,168700000,360100000,105100000,465200000,6958300000,-30500000,-30700000,-2200000,32700000,-29300000,1.5e+07,-8200000,1700000,-62100000,-5700000,-14200000,9000000.00000001,-38100000,-54300000,4e+05,-53900000,240900000,723900000,177600000,-0.36491,-0.87226,0.11123,-0.06664,-0.00446,-5.72903,0.99056,13.95765,0.10403,-0.72093,-0.72093,-6.4814,8.13488,4.13023,-0.02201,0.12612,-14.90743,-14.77252
"39","2020_Q2",2.10904761904762,"Up",186600000,-156800000,29800000,-43400000,-38900000,-4300000,-13600000,-17700000,-19200000,1500000,-31300000,-8300000,-39600000,9700000,-29900000,-1.01e+08,17900000,-83100000,-83500000,4012300000,186900000,333300000,333300000,958400000,5.304e+09,223400000,580300000,1.12e+08,2.46e+08,1035100000,6339100000,334400000,334400000,5044400000,4829300000,5378800000,6.86e+08,195200000,170800000,881200000,6.26e+09,282700000,-4200000,-179800000,-84600000,24400000,54700000,79100000,6339100000,-29900000,-1.01e+08,6700000,-5500000,24400000,35300000,-4500000,145300000,60100000,-96700000,-45400000,-148200000,-52800000,-8800000,4e+05,-8400000,-6900000,6.86e+08,3300000,0.1597,-0.07288,-0.44748,-1.05563,-0.01317,-0.03952,0.98609,79.14033,0.10822,-1.81917,-1.81917,4.06536,0.30719,0.0719,-0.08695,0.00344,482.07246,244.58088
"40","2020_Q3",2.69921875,"Up",181800000,-152100000,29700000,-38600000,-36400000,-4500000,-8900000,42799999,-19100000,64599999,33899999,-899999.99999997,32999999,-1.2e+07,20999999,28499999,-15400000,13099999,12699999,4393900000,203800000,261200000,261200000,958400000,5613500000,220200000,591500000,112600000,258500000,1019800000,6633300000,2.83e+08,2.83e+08,5051500000,4841900000,5334500000,633800000,281100000,179500000,914900000,6249400000,288500000,-4200000,-166700000,201700000,329600000,54300000,383900000,6633300000,2.1e+07,28500000,6700000,-45100000,13600001,12500001,-4900000,-141800000,78800000,-58200000,-10900000,-74400000,16900001,8600001,2e+05,8800001.00000001,-2200000,633800000,18500001,0.16337,-0.0489500000000001,0.06986,0.0330800000000002,0.00191,1.45669,1.0523,16.27872,0.09555,0.27195,0.27195,3.89293,6.83726,0.39615,0.00978,0.01424,1709.13636,422.48315
"41","2020_Q4",2.78140625,"Up",170500000,-138800000,31700000,-47800000,-33900000,-4500000,-16100000,-12299999,-17900000,6900001,-28399999,0,-28399999,-1400000,-29799999,-21599999,4300000,-17299999,-17699999,4.533e+09,163600000,252300000,252300000,961400000,5746700000,213800000,527900000,112700000,211200000,941700000,6688400000,298600000,298600000,5058900000,4853900000,5357500000,646400000,248900000,135700000,895300000,6252800000,293600000,-4200000,-1.84e+08,266400000,387700000,47900000,435600000,6688400000,-29800000,-21600000,6800000,15200000,9099999,29599999,-4600000,145700000,-68500000,1300000,4200000,-1200000,-40100001,4599999,1e+05,4699999,-9300000,646400000,-3400001,0.18592,-0.09443,-0.10381,-0.04063,-0.00265,0.19209,1.07265,14.35445,0.09664,-0.37263,-0.37263,3.58947,7.82737,-0.07158,-0.0133,-0.00255,417.91398,241.40373
"42","2021_Q1",3.71196721311475,"Up",1.78e+08,-140800000,37200000,-26900000,-36300000,-4400000,10300000,-21800000,-18600000,-3800000,-11500000,-2e+05,-11700000,-3300000,-1.5e+07,-7999999.99999999,3300000,-4699999.99999999,-7100000,43800000,43800000,134700000,134700000,6038900000,6227300000,112800000,328300000,1.11e+08,42200000,496500000,6723800000,146800000,77100000,5352800000,5352800000,5933200000,127900000,46800000,39800000,174700000,6107900000,355800000,-4200000,-188700000,396900000,570200000,45700000,615900000,6723800000,-1.5e+07,-7999999.99999999,6600000,-7700000.00000001,-32300000,-36300000,37400000,41200000,129700000,-32399999,17600000,-18699999,74700001,15100001,4e+05,15500001,16900000,561500000,25300000,0.20899,0.05787,-0.03989,-0.01153,-0.00106,-3.56338,1.04957,9.91703,0.08351,-0.1162,-0.11324,2.91326,9.16203,0.41408,-0.0058,0.02067,30.63314,50.26214
"43","2021_Q2",4.04492063492063,"Up",171800000,-141300000,30500000,-41400000,-37100000,-3900000,-10900000,-20100000,-21400000,3400000,-3.1e+07,-10800000,-41800000,-1100000,-42900000,9e+06,3600000,12600000,12200000,54200000,54200000,186400000,186400000,5679800000,5920400000,110700000,322200000,110900000,41500000,485600000,6.406e+09,148800000,78600000,5238700000,5238700000,5470300000,463300000,40900000,3.4e+07,504200000,5974500000,355800000,-5200000,-176100000,215100000,4e+08,31500000,431500000,6.406e+09,-42900000,9e+06,6200000,20900000,-7400001,-2500001,-3200000,69600000,67900000,-39100000,7500000,-35900000,29499999,11199999,-3e+05,10899999,-4700000,546100000,-14200001,0.17753,-0.06345,0.07101,0.02827,0.0019,-1.16393,1.08228,13.84589,0.08525,0.15865,0.15865,2.23407,5.06632,-0.18466,0.01198,-0.01394,-104.65957,-45.12844
"44","2021_Q3",3.73640625,"Down",243800000,-207400000,36400000,-44100000,-39500000,-4800000,-7700000,-11800000,-12400000,4e+05,-19500000,-1600000,-21100000,-2600000,-23700000,-25200000,1700000,-23500000,-23700000,18100000,18100000,364600000,364600000,5.905e+09,6287700000,173300000,421800000,121100000,76700000,648200000,6935900000,2.37e+08,101900000,5427100000,5427100000,5734300000,606300000,77600000,70600000,683900000,6418200000,354900000,-5200000,-199600000,338200000,488300000,29400000,517700000,6935900000,-23700000,-25200000,7600000,1900000,2700001,2100001,-3700000,3e+06,-99100000,121200000,-1.6e+07,101900000,4900001,-35099999,-4e+05,-35499999,-100000.000000004,676500000,1500001,0.1493,-0.03158,-0.09721,-0.0457799999999997,-0.00342000000000001,-0.0632900000000001,1.09651,12.39753,0.09754,-0.30819,-0.30819,3.17035,6.3498,0.01951,-0.01864,0.00118,-6584,-85.50649
"45","2021_Q4",3.97515625,"Up",394800000,-339700000,55100000,-5.4e+07,-44300000,-8900000,1100000,-15100000,-12800000,6e+05,-1.4e+07,-1e+05,-14100000,-1e+05,-14200000,-214500000,2600000,-211900000,-2.13e+08,55500000,55500000,4.25e+08,4.25e+08,94300000,592200000,168200000,411200000,122800000,72500000,629300000,1221500000,282900000,99700000,179400000,179400000,533400000,602800000,69700000,61700000,672500000,1205900000,331300000,-5200000,-411500000,3200000,-63100000,78700000,15600000,1221500000,-14200000,-214500000,12200000,4400000,-15800000,-14200000,4400000,64800000,-183700000,-7100000,-2300000,-11400000,-209300000,44400000,-1e+06,43400000,13300000,673900000,2e+06,0.13956,0.00279,-0.53951,-13.65385,-0.17438,-0.00939,1.11024,77.30128,0.5517,-2.76623,-2.76623,5.12727,-1.06753,0.02597,-0.27792,0.00263,46.4962399999986,562.18182
"46","2022_Q1",3.71112903225806,"Down",394800000,-333100000,61700000,-54800000,-47400000,-7800000,6900000,-10600000,-12500000,-99999.9999999998,-3700000,0,-3700000,-1800000,-5500000,-5499999.99999997,8e+05,-4699999.99999997,-5200000,45500000,45500000,247100000,247100000,1.33e+08,442600000,169900000,412100000,127400000,73300000,6.38e+08,1080600000,272600000,93400000,97399999.9999995,97400000,439500000,556800000,72400000,63300000,629200000,1068700000,330700000,-5200000,-416200000,6400000,-65500000,77400000,11899999.9999999,1080600000,-5500000,-5500000,11600000,1600000,33900000,41600000,-8400000,1e+05,-8300000,-45500000,-6800000,-50300000,-1.7e+07,-1.7e+07,4e+05,-16600000,18500000,626300000,45800000,0.15628,0.01748,-0.0131699999999999,-0.43697,-0.00481000000000001,-8.80769,1.00705,89.80672,0.57959,-0.0668399999999996,-0.06684,5.07455,-1.08355,0.58869,-0.0101300000000001,0.06445,31.39459,84.17391
"47","2022_Q2",2.73774193548387,"Down",412800000,-3.63e+08,49800000,-49100000,-42600000,-6900000,7e+05,-13200000,-12600000,-1e+05,-12500000,7764365.49220648,-12500000,-1600000,-14100000,-14100000,1700000,-12400000,-13600000,26400000,26400000,274400000,274400000,156300000,476600000,165800000,409600000,127500000,74800000,635600000,1112200000,286500000,86100000,74900000,74900000,441500000,6.01e+08,72800000,63300000,673800000,1115300000,330900000,-5200000,-428600000,7e+06,-77400000,74300000,-3100000,1112200000,-14100000,-14100000,10600000,3200000,-63100000,-63400000,-2800000,-1e+05,-7400000,53600000,-2400000,51200000,-19600000,-19600000,5e+05,-19100000,11300000,681100000,-5.3e+07,0.12064,0.0017,-0.03295,4.3871,-0.01223,3.89706,1.0795,-359.77419,0.61239,-0.17594,-0.17594,5.34023,-1.24062,-0.68564,-0.01811,-0.07059,57.9380500000001,935.28571
"48","2022_Q3",1.5275,"Down",392200000,-341900000,50300000,-50700000,-42100000,-6900000,-4e+05,-11500000,-12500000,1500000,-11900000,29493096.4766194,-11900000,-2e+06,-13900000,-13900000,1500000,-12400000,-13600000,24900000,24900000,271100000,271100000,166200000,482300000,164500000,400700000,127100000,72400000,624100000,1106400000,275700000,93300000,1.13e+08,1.13e+08,461700000,594100000,69700000,59800000,663800000,1125500000,330800000,-5200000,-4.41e+08,4700000,-92500000,73400000,-19100000,1106400000,-13900000,-13900000,10500000,2700000,21400000,20700000,-4200000,-4400000,-4100000,-15200000,-1200000,-16400000,2e+05,2e+05,-1900000,-1700000,10100000,667100000,29300000,0.12825,-0.00102,-0.03468,0.71204,-0.01229,-2.15441,1.04462,-58.9267,0.60295,-0.17594,-0.17594,5.07374,-1.43208,0.37904,-0.01895,0.04082,63.58416,-1605.5
