"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"31","2018_Q4",31.6665079365079,"Down",49075000,-19476000,29599000,-41465000,-27692000,-10179000,-13773000,-11866000,-3745000,-3745000,-15611000,-15611000,-175000,-15786000,-15786000,-15786000,-15786000,281889000,281889000,46170000,46170000,10536000,7123000,338595000,14855000,75726000,16124000,90581000,429176000,28230000,5542000,22688000,100504000,100504000,128734000,15307000,14492000,237431000,366165000,360063000,-13938000,-279948000,63011000,63011000,429176000,-15786000,3165000,1190000,10256000,-1175000,-1421000,-1421000,-219000,-1421000,142781000,142781000,-185000,142597000,140001000,140001000,140022000,-8701000,222124000,309000,0.60314,-0.24179,-0.32167,-0.25053,-0.03678,-0.01957,2.63019,5.81113,0.51756,-0.44248,-0.44248,1.37557,1.7662,0.00866,-0.05254,0.00103,6.86875,5.03666
"32","2019_Q1",37.955737704918,"Up",52613000,-19458000,33155000,-42764000,-28624000,-10289000,-14140000,-9609000,-3127000,-3127000,-12736000,-12736000,-23999.9999999999,-12760000,-12760000,-12760000,-12760000,295476000,295476000,41822000,41822000,8845000,4756000,346143000,14676000,76148000,18563000,90824000,436967000,38959000,6934000,32025000,99262000,99262000,274750000,18657000,17903000,107318000,382068000,364919000,-13938000,-292708000,54899000,54899000,436967000,-12760000,3270000,12301000,12377000,15188000,-1121000,-1121000,-69000,-1166000,-2.98023223876953e-08,-2.98023223876953e-08,-257000,-256999.99999997,13765000,13765000,13587000,-6339000,225190000,4941000,0.63017,-0.18264,-0.24253,-0.23243,-0.0292,-0.38723,1.25985,6.95947,0.51535,-0.34342,-0.34342,1.416,1.47753,0.13298,-0.04271,0.01654,11.08787,7.3146
"33","2019_Q2",52.6425396825397,"Up",56131000,-20790000,35341000,-48951000,-33152000,-11667000,-15799000,-13610000,-3085000,-3085000,-16695000,-16695000,-222000,-16917000,-16917000,-16917000,-16917000,272636000,272636000,45598000,45598000,10938000,6444000,329172000,15922000,99897000,44394000,115819000,444991000,30660000,7562000,23098000,118127000,112439000,287229000,37438000,16352000,127292000,414521000,357677000,-13938000,-309625000,30470000,30470000,444991000,-16917000,3325000,5389000,108000,-8095000,-1529000,-1529000,-611000,-1529000,943000,943000,-14239000,-13296000,-22920000,-22920000,-22840000,-10285000,228296000,-11484000,0.62962,-0.24247,-0.30138,-0.5552,-0.03802,0.67884,1.14603,13.60423,0.51304,-0.44965,-0.44965,1.49193,0.80988,-0.30524,-0.05711,-0.03877,4.31113,3.2579
"34","2019_Q3",67.3853125,"Up",63878000,-23583000,40295000,-52440000,-34985000,-12040000,-17455000,-12145000,-5136000,-5136000,-17281000,-17281000,-236000,-17517000,-17517000,-17517000,-17517000,329562000,329562000,53069000,53069000,12619000,7692000,395250000,15128000,97521000,43515000,112649000,507899000,38761000,6948000,31813000,119134000,113808000,179016000,34961000,14795000,233389000,412405000,440040000,-13938000,-327142000,95494000,95494000,507899000,-17517000,3504000,3950000,6514000,-3549000,-1696000,-1696000,-1696000,-1764000,140156000,140156000,-77878000,62278000,56965000,56965000,56926000,-8641000,219549000,-3587000,0.63081,-0.19013,-0.27423,-0.18344,-0.03449,0.20477,2.2079,4.31865,0.43227,-0.44445,-0.44445,1.62073,2.42291,-0.09101,-0.05005,-0.01025,12.73151,9.0583
"35","2019_Q4",57.69484375,"Down",64150000,-26383000,37767000,-50031000,-33153000,-11553000,-16878000,-12264000,-4727000,-4727000,-16991000,-17239000,-108000,-17347000,-17347000,-17347000,-17347000,319162000,319162000,55986000,55986000,14179000,8764000,389327000,13972000,115439000,50370000,129411000,518738000,51856000,7003000,44853000,120652000,113430000,214851000,38911000,14502000,147935000,362786000,518503000,-13938000,-344489000,155952000,155952000,518738000,-17347000,3435000,9166000,8783000,4037000,-1206000,-1206000,-1053000,-11828000,1052000,1052000,-3228000,-2176000,-9967000,-9967000,-10400000,-8829000,151367000,-1144000,0.58873,-0.19118,-0.27041,-0.11123,-0.03344,0.06595,1.81208,2.32627,0.2918,-0.42025,-0.42025,1.5541,3.77809,-0.02771,-0.0501,-0.0033,19.00498,13.68191
"36","2020_Q1",49.9843548387097,"Down",66175000,-28361000,37814000,-52631000,-34493000,-10970000,-18138000,-14817000,-2171000,12594000,-16988000,-17242000,-58000,-17300000,-17300000,-17300000,-17300000,306077000,306077000,65074000,65074000,14794000,9038000,385945000,14794000,112568000,48859000,127362000,513307000,64502000,9098000,55404000,131632000,124459000,196134000,41473000,17801000,152177000,348311000,560543000,-29847000,-361789000,164996000,164996000,513307000,-17300000,3606000,22077000,4469000,12852000,-890000,-890000,-1911000,-2439000,-140156000,-140156000,73863000,-23815000,-13402000,-13402000,-13085000,-11211000,110704000,-7574000,0.57142,-0.22391,-0.26143,-0.10485,-0.0337,0.4378,1.96776,2.11103,0.21567,-0.40597,-0.40597,1.55289,3.87187,-0.17774,-0.05454,-0.02388,17.4269,13.18573
"37","2020_Q2",35.295873015873,"Down",66311000,-28727000,37584000,-58936000,-39800000,-14880000,-19136000,-21352000,-1231000,-1231000,-22583000,-22583000,-152000,-22735000,-22735000,-22735000,-22735000,251782000,251782000,53591000,53591000,15223000,9394000,320596000,26703000,109378000,47512000,136081000,456677000,44095000,12757000,31338000,133708000,126325000,177803000,36858000,13915000,149264000,327067000,548062000,-29847000,-384524000,129610000,129610000,456677000,-22735000,3420000,10655000,-15513000,-24173000,-10993000,-10993000,-10993000,-11405000,1364000,1364000,-20172000,-18808000,-54386000,-54386000,-54295000,-17932000,112406000,-44286000,0.56678,-0.322,-0.34285,-0.17541,-0.04978,1.94792,1.8031,2.52347,0.24614,-0.52747,-0.52747,1.53847,3.00705,-1.02747,-0.08152,-0.1588,7.77247,6.52754
"38","2020_Q3",37.68078125,"Up",63747000,-25950000,37797000,-52936000,-34539000,-13528000,-18397000,-15139000,2208000,2208000,-12931000,-17078000,-130000,-17208000,-17208000,-17208000,-17208000,220157000,220157000,54677000,54677000,14479000,8591000,289313000,33662000,104303000,43789000,137965000,427278000,43869000,8506000,35363000,114789000,107503000,158658000,36319000,10893000,150450000,309108000,553744000,-29847000,-401732000,118170000,118170000,427278000,-17208000,3513000,10178000,-19265000,-22782000,-8205000,-8205000,-8205000,-8599000,1.49011611938477e-08,1.49011611938477e-08,-49000,-48999.9999999963,-31430000,-31430000,-31625000,-11626000,114131000,-38966000,0.59292,-0.23749,-0.26994,-0.14562,-0.04027,2.26441,1.8235,2.61579,0.26711,-0.39738,-0.39738,1.47208,2.72885,-0.89982,-0.06406,-0.14506,9.11973,7.0035
"39","2020_Q4",39.54125,"Up",61508000,-24637000,36871000,-53034000,-33899000,-11948000,-19135000,-16163000,-6523000,122000,-22686000,-18539000,-318000,-18857000,-18857000,-18857000,-18857000,322352000,322352000,67940000,67940000,14927000,9010000,405219000,35994000,110229000,50800000,146223000,551442000,47937000,14014000,33923000,111679000,106547000,159616000,48041000,11493000,262792000,422408000,583332000,-29847000,-420589000,129034000,129034000,551442000,-18857000,3651000,65000,255000,-14886000,-4353000,-4353000,-4353000,-4925000,1460000,1460000,-26123000,122262000,102451000,102451000,102195000,-12512000,214751000,-16292000,0.59945,-0.26278,-0.30658,-0.14614,-0.0342,0.86398,2.53871,3.27362,0.38944,-0.43502,-0.43502,1.41897,2.97677,-0.37585,-0.04813,-0.04158,8.59982,6.65724
"40","2021_Q1",45.5598360655738,"Up",60858000,-25319000,35539000,-48965000,-28468000,-12783726.8777594,-20497000,-13426000,-4682000,-202000,-18108000,-18108000,-76000.0000000001,-18184000,-18184000,-18184000,-18184000,329134000,329134000,49578000,49578000,15588000,9647000,394300000,36504000,109167000,50782000,145671000,539971000,42825000,4246000,38579000,105093000,99156000,147918000,56988000,11372000,275016000,422934000,589088000,-29847000,-438773000,117037000,117037000,539971000,-18184000,3750000,17027000,9859000,12452000,-4942000,-2355466.73487027,-2331178.055399,-5531000,0,0,-491000.000000015,-490999.999999985,6430000,6430000,6782000.00000001,-9676000,218028000,-4683000,0.58397,-0.22061,-0.29879,-0.15537,-0.03368,0.25753,2.66567,3.61368,0.40378,-0.41849,-0.41849,1.40061,2.69354,-0.10778,-0.04638,-0.01194,11.48264,8.27544
"41","2021_Q2",44.2393650793651,"Down",61378000,-26492000,34886000,-55476000,-34551000,-12987000,-20925000,-20590000,-1290000,286000,-21880000,-21880000,-149000,-22029000,-22029000,-22029000,-22029000,323929000,323929000,53665000,53665000,16551000,10668000,394145000,35629000,105314000,48284000,140943000,535088000,41009000,6317000,34692000,119375000,113478000,160384000,52506000,8528000,339675000,500059000,518387000,-29847000,-449472000,35029000,35029000,535088000,-22029000,3068000,7984000,6548000,-4429000,-1300000,-1300000,-1300000,-1801000,1596000,1596000,-352000,1244000,-4986000,-4986000,-5205000,-17522000,287169000,-12125000,0.56838,-0.33546,-0.35891,-0.62888,-0.04117,0.55041,2.45751,14.27557,0.53668,-0.49789,-0.49789,1.38723,0.79171,-0.27404,-0.05879,-0.03236,2.09793,1.78533
"42","2021_Q3",41.9890625,"Down",62401000,-26404000,35997000,-52303000,-31849000,-10659000,-20454000,-16306000,-1572000,4000,-17878000,-17878000,-168000,-18046000,-18046000,-18046000,-18046000,318326000,318326000,41295000,41295000,15255000,9376000,374876000,34267000,102360000,46066000,136627000,511503000,40594000,5265000,35329000,107438000,101235000,148032000,50201000,7896000,337743000,485775000,526975000,-29847000,-467518000,25728000,25728000,511503000,-18046000,3024000,7848000,2189000,-4985000,-785000,-785000,-785000,-784999.999999999,0,0,0,0,-5770000,-5770000,-5603000,-13282000,287542000,-11710000,0.57687,-0.26131,-0.28919,-0.70141,-0.03528,0.6489,2.5324,18.88118,0.56215,-0.40787,-0.40787,1.41035,0.58149,-0.26466,-0.04965,-0.03222,2.31772,1.88789
"43","2021_Q4",34.2578125,"Down",62671000,-26052000,36619000,-52427000,-32960000,-10631574.7122673,-19467000,-15808000,-1647000,-71000,-17455000,-17455000,-70000,-17525000,-17525000,-17525000,-17525000,308642000,308642000,43125000,43125000,16363000,10513000,368130000,32395000,100495000,45318000,132890000,501020000,42972000,4998000,37974000,105586000,99300000,148558000,46614000,6464000,334528000,483086000,537107000,-29847000,-485043000,17934000,17934000,501020000,-17525000,2736000,8619000,-2001000,-8171000,-347000,-568258.261548125,-565326.29475324,-2516000,1515000,1515000,0,1227000,-9460000,-9460000,-9684000,-13072000,287914000,-15350000,0.58431,-0.25224,-0.27963,-0.97719,-0.03498,0.87589,2.47802,26.93688,0.57466,-0.39544,-0.39544,1.41412,0.40467,-0.34636,-0.04972,-0.04355,1.58568,1.31123
"44","2022_Q1",30.7424193548387,"Down",64973000,-25977000,38996000,-58249000,-36827000,-12573729.3623519,-21422000,-19253000,-1487000,89000,-20740000,-23126000,-483000,-23609000,-23609000,-23609000,-23609000,227553000,227553000,40581000,40581000,15395000,9623000,283529000,30958000,179996000,44245000,210954000,494483000,48659000,4034000,44625000,106170000,97713000,154829000,47783000,8553000,336070000,490899000,546742000,-29847000,-508652000,3584000,3584000,494483000,-23609000,3232000,10205000,9202000,-970000,-364000,-503873.439166989,-502007.642115698,-80071000,-4.65661287307739e-10,-4.65661287307739e-10,0,0,-81041000,-81041000,-81089000,-16021000,288287000,-6700000,0.60019,-0.29632,-0.36337,-6.58733,-0.04774,0.28379,1.83124,136.96959,0.58301,-0.52947,-0.52947,1.45712,0.08038,-0.15026,-0.06951,-0.01973,-3.7909,-3.15452
"45","2022_Q2",28.253064516129,"Down",66492000,-27361000,39131000,-64083000,-39616000,-14329000,-24467000,-24952000,-1994000,-418000,-26946000,-28497000,-143000,-28640000,-28640000,-28640000,-28640000,217393000,217393000,52803000,52803000,16602000,10719000,286798000,28141000,171672000,39100000,199813000,486611000,39099000,7957000,31142000,125152000,117642000,164251000,46522000,11160000,335182000,499433000,559198000,-29847000,-537292000,-12822000,-12822000,486611000,-28640000,4647000,13058000,-79000,-11014000,-461000,-461000,-461000,-461000,1443000,1443000,-212000,1231000,-10244000,-10244000,-10160000,-20305000,288660000,-20702000,0.58851,-0.37526,-0.43073,2.23366,-0.05886,0.72284,1.7461,-38.95126,0.5932,-0.64449,-0.64449,1.49629,-0.28854,-0.46586,-0.08884,-0.06422,-3.50983,-2.85616
"46","2022_Q3",24.25859375,"Down",68362000,-27641000,40721000,-61258000,-37857000,-13837000,-23401000,-20537000,-1578000,-2000,-22115000,-22115000,-291000,-22406000,-22406000,-22406000,-22406000,215178000,215178000,34415000,34415000,17896000,11935000,267489000,27341000,166920000,37540000,194261000,461750000,41537000,5978000,35559000,115600000,108207000,157137000,40670000,7278000,329703000,486840000,569964000,-29847000,-559698000,-25090000,-25090000,461750000,-22406000,3801000,10930000,5744000,-1931000,-308000,-308000,-308000,-477000,0,0,0,0,-2408000,-2408000,-2215000,-16736000,289033000,-11009000,0.59567,-0.30042,-0.32776,0.89303,-0.04852,0.49134,1.70227,-19.40375,0.62595,-0.49547,-0.49547,1.5117,-0.55482,-0.24344,-0.07356,-0.03614,-4.41294,-3.59619
