"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"30","2017_Q3",14.4452380952381,"Up",659300000,-390700000,268600000,-221300000,-221300000,47300000,-17400000,-22100000,3e+05,29900000,34800000,-13100000,21700000,21700000,24500000,24500000,38500000,38500000,356200000,356200000,194500000,58400000,58400000,647600000,424800000,1638800000,727600000,672900000,212800000,2063600000,2711200000,469200000,231800000,9900000,227500000,537600000,1793200000,353300000,163300000,1.9e+08,2146500000,2684100000,27100000,2711200000,21700000,20100000,-9e+05,-32900000,8e+06,-1.3e+07,-1.3e+07,-1.3e+07,-1.16415321826935e-10,-1.3e+07,1899999.99999997,1500000,1800000,-3e+05,3e+05,3700000,-1300000,-1300000,-2700000,-4e+06,67400000,1861600000,34600000,0.4074,0.07174,0.03716,0.90406,0.00904,1.41224,1.20461,99.04428,0.68663,0.11364,0.11239,3.05798,0.16048,0.01093,0.01543,27.04896,38.54334
"31","2017_Q4",14.9157142857143,"Up",687800000,-389900000,297900000,-209700000,-209700000,88200000,-20500000,-21200000,-2800000,67700000,7.3e+07,-18800000,54200000,41200000,44600000,44600000,41800000,41800000,363600000,363600000,188800000,63100000,63100000,657300000,424100000,1653900000,732900000,671900000,221800000,2.078e+09,2735300000,544300000,244700000,26400000,273200000,610600000,1686700000,350400000,160400000,1.9e+08,2037100000,2647700000,87600000,2735300000,54200000,20400000,7600000,59200000,141400000,-17200000,-17200000,-17200000,0,-17200000,-111800000,3800000,4600000,-8e+05,-3e+05,-108300000,15900000,5500000,-2200000,3300000,108600000,1.753e+09,169400000,0.43312,0.12823,0.06484,0.50913,0.01631,3.79821,1.07648,30.22489,0.64088,0.20648,0.2031,3.18426,0.78426,0.02036,0.07732,15.75691,19.40136
"32","2018_Q1",13.4259016393443,"Down",685200000,-397600000,287600000,-223100000,-223100000,64500000,-36300000,-42600000,1300000,28200000,3.4e+07,-1200000,32800000,45800000,48400000,48400000,41100000,41100000,310800000,310800000,179100000,76400000,63400000,607400000,433500000,1653100000,732700000,667100000,227300000,2086600000,2.694e+09,478800000,228300000,28200000,222300000,576900000,1680700000,321700000,114300000,206100000,2002400000,2579300000,114700000,2.694e+09,32800000,21200000,-41200000,-6499999.99999999,6300000,-1.9e+07,-23900000,-23900000,-9e+05,-19900000,2e+05,6300000,6300000,-2.3283064365387e-10,-1100000,5400000,-8200000,2200000,-2100000,1e+05,85700000,1753100000,61400000,0.41973,0.09413,0.07064,0.42197,0.01797,1.2686,1.05287,22.48736,0.65074,0.22325,0.2208,3.16052,0.28321,0.02211,0.02804,19.97666,26.54264
"33","2018_Q2",11.52359375,"Down",6.48e+08,-380100000,267900000,-217900000,-217900000,5e+07,-17200000,-22900000,1800000,32800000,32800000,-1e+07,22800000,22800000,23100000,23100000,34500000,34500000,339400000,339400000,214700000,71200000,71200000,659800000,436800000,1653400000,731100000,661700000,235500000,2090200000,2.75e+09,503900000,248700000,28700000,226500000,569500000,1707600000,328400000,113500000,214900000,2.036e+09,2605500000,144500000,2.75e+09,22800000,20900000,2800000,-56200000,-9700000,-21800000,-21800000,-21800000,4200000,-17600000,22300000,-1e+06,1900000,-2900000,-1800000,19500000,-7800000,-7800000,4e+05,-7400000,70900000,1773200000,2900000,0.41343,0.07716,0.03565,0.15986,0.0084,0.12554,1.15856,18.03114,0.6448,0.10635,0.10519,2.98343,0.01335,0.01028,0.00129,24.52327,34.774
"34","2018_Q3",13.0471428571429,"Up",669700000,-393600000,276100000,-224400000,-224400000,51700000,-21900000,-24500000,-1200000,29800000,29800000,-8600000,21200000,21200000,22800000,22800000,32600000,32600000,359400000,359400000,224400000,69800000,69800000,686200000,433100000,1646300000,727100000,659400000,236200000,2079400000,2765600000,503800000,247300000,29300000,227200000,581100000,1706800000,319400000,110400000,2.09e+08,2026200000,2607300000,158300000,2765600000,21200000,21100000,5100000,-36100000,11300000,-18800000,-18800000,-18800000,-3600000,-22400000,12100000,599999.999999999,7e+05,-1e+05,-1600000,11100000,-9.31322574615479e-10,-1.86264514923096e-09,-1900000,-1900000,72800000,1784100000,26500000,0.41227,0.0772,0.03405,0.14403,0.00824,1.16228,1.18086,16.47063,0.6451,0.10478,0.10383,3.07767,0.12178,0.01008,0.01172,24.05907,33.87814
"35","2018_Q4",11.7173015873016,"Down",709100000,-415600000,293500000,-208300000,-208300000,85200000,-17100000,-22100000,1200000,68100000,68100000,-15800000,52300000,41400000,42300000,42300000,32100000,32100000,374100000,374100000,220500000,250900000,243300000,877600000,4.21e+08,1510100000,726500000,6.57e+08,102300000,1931100000,2808700000,653800000,266600000,11200000,3.76e+08,733700000,1.616e+09,249500000,121700000,126700000,1865500000,2599200000,209500000,2808700000,52300000,23200000,33700000,19800000,1.29e+08,-15200000,-15200000,-15200000,-3e+05,-15500000,-94100000,1100000,1600000,-5e+05,-1300000,-94300000,19200000,1400000,-6e+05,8e+05,108400000,1.689e+09,128800000,0.4139,0.12015,0.05965,0.20191,0.01506,3.04492,1.19613,12.40668,0.60135,0.19404,0.19192,3.25275,0.59083,0.01969,0.05996,15.28506,19.44718
"36","2019_Q1",13.2254098360656,"Up",676100000,-392900000,283200000,-231400000,-231400000,51800000,-17500000,-22800000,-8e+05,34300000,34300000,-15200000,19100000,12200000,12300000,12300000,45800000,45800000,321500000,321500000,222300000,215800000,215800000,805400000,420800000,1489200000,7.23e+08,649300000,94300000,1.91e+09,2715400000,621900000,2.53e+08,9700000,359200000,6.69e+08,1599100000,229800000,117500000,112300000,1828900000,2497900000,217500000,2715400000,19100000,21900000,21200000,14700000,76900000,-17800000,-17800000,-17800000,2100000,-15700000,-47300000,-7e+05,4e+05,-1100000,4700000,-43300000,17900000,13400000,-1e+06,12400000,73700000,1646200000,85800000,0.41887,0.07662,0.01819,0.05655,0.00453,6.97561,1.20389,11.4846,0.60625,0.05653,0.05541,3.10708,0.3943,0.00588,0.04098,21.71506,30.89575
"37","2019_Q2",15.7719047619048,"Up",690900000,-409100000,281800000,-224200000,-224200000,57600000,-11700000,-22400000,7800000,45900000,45900000,-16900000,2.9e+07,28600000,28400000,28400000,39600000,39600000,356400000,356400000,239700000,217300000,217300000,8.53e+08,418500000,1694200000,725500000,646900000,299900000,2112700000,2965700000,6.7e+08,245700000,22500000,401800000,725500000,1761300000,225400000,115500000,109900000,1986700000,2712200000,253500000,2965700000,2.9e+07,21500000,-3e+05,-45600000,4600000,-19100000,-19100000,-19100000,-1200000,-20300000,13900000,-1300000,2400000,-3700000,-1600000,1.1e+07,-4700000,-5400000,-8e+05,-6200000,79100000,1816800000,31300000,0.40787,0.08337,0.04111,0.11203,0.00958,1.10211,1.17574,10.69901,0.6126,0.1298,0.12747,3.15768,0.14305,0.01237,0.01363,22.46776,30.85417
"38","2019_Q3",18.75578125,"Up",722800000,-409400000,313400000,-2.36e+08,-2.36e+08,77400000,-18900000,-22500000,-1.86264514923096e-09,58500000,58500000,-15800000,42700000,41500000,41600000,41600000,38300000,38300000,386300000,386300000,243100000,2.24e+08,2.24e+08,891700000,4.3e+08,1.725e+09,732300000,650600000,329600000,2.155e+09,3046700000,678600000,235500000,6700000,436400000,738700000,1772200000,229900000,1.17e+08,112900000,2002100000,2740800000,305900000,3046700000,42700000,2.2e+07,2e+07,-43400000,41300000,-20800000,-20800000,-20800000,11500000,-26400000,-14500000,1300000,3100000,-1800000,-1800000,-1.5e+07,-1e+05,-1400000,1e+05,-1300000,99400000,1832300000,5.1e+07,0.43359,0.10708,0.05755,0.13599,0.01365,1.22596,1.20712,8.95979,0.6014,0.19013,0.18739,3.30347,0.23309,0.01757,0.02154,18.04829,23.17829
"39","2019_Q4",20.44546875,"Up",8.21e+08,-460400000,360600000,-243900000,-243900000,116700000,-18200000,-20800000,-1300000,98500000,98500000,-26100000,72400000,73200000,73300000,73300000,52900000,52900000,431200000,431200000,270800000,205600000,205600000,960500000,431500000,1711100000,730400000,6.44e+08,323100000,2142600000,3103100000,787900000,276200000,25300000,486400000,8.48e+08,1695700000,222900000,110100000,112800000,1918600000,2766600000,336500000,3103100000,72400000,23200000,6700000,53500000,155800000,-2.2e+07,-2.2e+07,-2.2e+07,4700000,-17300000,-81400000,-42700000,7300000,-5e+07,3300000,-120800000,17700000,1.8e+07,-3399999,14600001,139900000,1755800000,197500000,0.43922,0.14214,0.08928,0.21783,0.02362,2.69441,1.13267,8.22169,0.56582,0.33501,0.32262,3.75229,0.90265,0.03166,0.08531,12.17227,14.59212
"40","2020_Q1",18.5762903225806,"Down",871300000,-484900000,386400000,-307300000,-307300000,79100000,-16500000,-2e+07,-2e+06,62600000,62600000,-15900000,46700000,46100000,46200000,46200000,64900000,64900000,3.72e+08,3.72e+08,260500000,202800000,202800000,900200000,435800000,1725800000,732300000,641400000,3.38e+08,2161600000,3061800000,735900000,251700000,1.1e+07,473200000,773300000,1.708e+09,220100000,102100000,1.18e+08,1928100000,2701400000,360400000,3061800000,46700000,2.3e+07,27200000,16200000,113100000,-26300000,-26300000,-26300000,1e+05,-26200000,-30100000,-45200000,5e+06,-50200000,-3100000,-78400000,8500000.00000001,8200000,3799999,11999999,102100000,1745400000,107900000,0.44348,0.09078,0.05302,0.12819,0.01509,2.3355,1.1641,7.49556,0.57006,0.21429,0.21549,4.04128,0.50046,0.01986,0.04639,16.45935,21.24526
"41","2020_Q2",14.0284126984127,"Down",822400000,-465300000,357100000,-251600000,-251600000,105500000,-2.1e+07,-20300000,-5e+05,84500000,84500000,-23500000,6.1e+07,59800000,59700000,59700000,1.97e+08,1.97e+08,372800000,372800000,273400000,203200000,203200000,1046400000,460300000,1799500000,753600000,635200000,397700000,2259800000,3306200000,702900000,265300000,24600000,4.13e+08,750400000,2127200000,220200000,101400000,118800000,2347400000,3097800000,208400000,3306200000,6.1e+07,23200000,27500000,-96700000,1.5e+07,-26200000,-26200000,-26200000,1e+05,-6.4e+07,386100000,-1.98e+08,1300000,-199300000,-4385059.31048261,188100000,139100000,1.38e+08,-5900000,132100000,128700000,2174700000,29300000,0.43422,0.12828,0.07259,0.28647,0.01806,0.49079,1.39446,14.86468,0.65776,0.27949,0.27639,3.85019,0.13717,0.02293,0.01125,15.36674,18.74597
"42","2020_Q3",20.21296875,"Up",665200000,-399300000,265900000,-217500000,-217500000,48400000,-15900000,-20600000,-3e+05,32500000,32500000,-9400000,23100000,23200000,2.3e+07,2.3e+07,146800000,146800000,341800000,341800000,258800000,198100000,198100000,945500000,462800000,1793600000,757500000,633500000,3.89e+08,2256400000,3201900000,745300000,247100000,4.3e+07,455200000,1001700000,1736500000,2.14e+08,9.3e+07,1.21e+08,1950500000,2952200000,249700000,3201900000,23100000,24300000,6600000,101400000,155400000,-23200000,-23200000,-23200000,0,-23200000,-185100000,2.98023223876953e-08,2e+05,-2e+05,-1600000,-186700000,-54500000,-54400000,4200000,-50200000,72700000,1992900000,160300000,0.39973,0.07276,0.03458,0.09211,0.00718,6.96957,0.9439,11.82299,0.62241,0.11143,0.11058,3.22287,0.77665,0.00936,0.06525,25.3934,38.14256
"43","2020_Q4",23.84828125,"Up",1132300000,-602100000,530200000,-354799999,-354799999,175400001,-14800000,-20100000,5e+05,160600001,159700001,-40300000,119400001,121800001,121400001,121400001,229200000,229200000,440800000,440800000,275600000,202500000,202500000,1148100000,485800000,1821500000,761100000,630900000,413900000,2307300000,3455400000,991300000,330900000,5.9e+07,601400000,1026700000,1769900000,202600000,78200000,124400000,1972500000,2999200000,456200000,3455400000,119400000,2.5e+07,71999999,111100000,327499999,-24200000,-24200000,-24200000,0,-24200000,-230900000,8e+05,9e+05,-1e+05,2e+05,-229900000,73399999,75899999,6500000,82399999,200400001,1805300000,327600001,0.46825,0.15491,0.10722,0.26611,0.03513,2.69852,1.11824,6.57431,0.52246,0.58818,0.5759,5.48595,1.58721,0.04927,0.13295,7.86477,8.98574999999999
"44","2021_Q1",31.6909836065574,"Up",1.057e+09,-571800000,485200000,-298800001,-298800001,186399999,-6500000,-1.6e+07,2700000,179899999,175699999,-29400000,146299999,144999999,144699999,144699999,6.5e+07,6.5e+07,383700000,383700000,312100000,207600000,207600000,968400000,507900000,1832300000,766300000,630100000,422400000,2340200000,3308600000,930900000,324100000,21700000,585100000,974800000,1598100000,222200000,90400000,131800000,1820300000,2795100000,513500000,3308600000,146300000,25500000,31800001,-46800000,156800001,-37700000,-23352811.5884277,-23352811.5884277,5800000,-35200000,-166500000,-127700000,4500000,-132200000,99999.9999999995,-294100000,-172499999,-173699999,9500000,-164199999,211899999,1.642e+09,156799999,0.45904,0.17635,0.1369,0.28179,0.04373,1.08362,0.99343,5.44323,0.49628,0.70517,0.67491,5.15107,0.76413,0.06086,0.06595,7.44219,8.4603
"45","2021_Q2",37.5838095238095,"Up",1043800000,-584900000,458900000,-277200000,-277200000,181700000,-5300000,-12300000,3e+05,176400000,171400000,-40500000,130900000,130700000,130500000,130500000,290500000,290500000,397400000,397400000,318800000,207600000,207600000,1214300000,5.09e+08,1818800000,765200000,626800000,413100000,2327800000,3542100000,8.58e+08,278600000,33200000,546200000,895700000,2088600000,230600000,98200000,132400000,2319200000,3214900000,327200000,3542100000,130899999,26500000,22700000,-93800000,86299999,-23500000,-23500000,-23500000,1e+05,-24400000,502400000,-306500000,6600000,-313100000,-12700000,168900000,230799999,230399999,-4900000,225499999,208200000,2126300000,131400000,0.43964,0.17408,0.12502,0.39884,0.03684,1.0069,1.3557,9.82549,0.60029,0.64065,0.62113,5.1242,0.64507,0.05395,0.04895,8.81748,10.10347
"46","2021_Q3",42.94765625,"Up",1169100000,-650900000,518200000,-301900000,-301900000,216300000,-12899999,-19999999,1e+05,203400001,185400001,-44700000,140700001,140400001,140800001,140800001,58100000,58100000,462500000,462500000,324200000,80900000,80900000,925700000,518200000,1833700000,7.67e+08,623700000,428100000,2351900000,3277600000,821900000,346700000,23300000,451900000,858300000,1768300000,240900000,100400000,140500000,2009200000,2867500000,410100000,3277600000,140700001,2.7e+07,14800000,44200000,226700001,-29100000,-29100000,-29100000,200000.000000001,-33500000,-354700000,-59400000,1900000,-61300000,-1500000,-429400000,-236199999,-236499999,4100000,-232399999,243300000,1804700000,303100000,0.44325,0.18501,0.12043,0.34333,0.04296,2.1527,1.07853,6.9922,0.55062,0.69121,0.67016,5.73932,1.48797,0.06296,0.12343,7.17879,8.0749
"47","2021_Q4",44.64921875,"Up",1358300000,-781200000,577100000,-334100000,-334100000,2.43e+08,-6800000,-13500000,-1e+05,236200000,236200000,-58700000,177500000,177400000,177400000,177400000,503300000,503300000,510200000,510200000,384900000,84400000,84400000,1482800000,556600000,2427900000,1082100000,755700000,572800000,2984500000,4467300000,1106400000,463400000,40300000,602700000,1159400000,2699300000,237600000,96600000,1.41e+08,2936900000,4096300000,3.71e+08,4467300000,177500000,2.9e+07,16800000,61200000,284500000,-29500000,-38331697.5876291,-38331697.5876291,-2e+05,-450100000,831200000,-185500000,5900000,-191400000,-11100000,616900000,451300000,451200000,-6e+06,445200000,2.72e+08,2752300000,362400000,0.42487,0.1789,0.1306,0.47817,0.03971,2.04284,1.27894,11.04124,0.6161,0.89191,0.86158,6.82906,1.82202,0.05805,0.10783,8.26838,9.25514
"48","2022_Q1",36.3527419354839,"Down",1359600000,-755100000,604500000,-363800000,-363800000,240700000,-9700001,-20500001,7e+05,230999999,230999999,-54400000,176599999,176499999,175799999,175799999,300700000,300700000,419500000,419500000,463900000,91500000,91500000,1275600000,583500000,2464300000,1107400000,750900000,592400000,3047800000,4323400000,898700000,4.32e+08,9900000,456800000,1053400000,2705500000,269500000,129200000,140300000,2.975e+09,4028400000,2.95e+08,4323400000,176600000,30700000,20500000,-102200000,125600000,-41200000,-49251080.455764,-49251080.455764,1200000,-46800000.0000001,-13000000.0000002,-2.5e+08,5e+05,-250500000,4e+05,-279900000,-201100000,-201200000,-1400000,-202600000,271400000,2860200000,182400000,0.44462,0.17704,0.1293,0.59593,0.04066,1.03754,1.21094,13.65559,0.66156,0.94263,0.8974,7.29008,0.97802,0.05638,0.05326,9.43073,10.63357
"49","2022_Q2",25.5454838709677,"Down",1239500000,-716700000,522800000,-341100000,-341100000,181700000,-12700000,-20900000,1300000,1.69e+08,1.69e+08,-38100000,130900000,130900000,130700000,130700000,116300000,116300000,426400000,426400000,581300000,94800000,94800000,1218800000,624900000,2478200000,1096800000,743800000,624100000,3103100000,4321900000,1038700000,462300000,3.2e+07,544400000,1101100000,3.046e+09,266100000,127700000,138400000,3312100000,4413200000,-91300000,4321900000,130900000,30400000,9500000,-85200000,85600000,-60300000,-60300000,-60300000,1e+06,-59300000,308600000,-494700000,1e+05,-494800000,81250712.6725776,-204800000,-178500000,-178500000,-5900000,-184400000,212100000,3108400000,104700000,0.42178,0.14659,0.10545,-1.43154,0.03024,0.80107,1.10689,-48.33735,0.71922,0.68322,0.65415,6.47935,0.54731,0.0455,0.03189,14.10702,16.46725
"50","2022_Q3",25.78578125,"Up",1.211e+09,-714500000,496500000,-355200000,-355200000,141300000,-21800000,-23700000,-7e+05,119500000,119500000,-28300000,91200000,91200000,90600000,90600000,110300000,110300000,481600000,481600000,619100000,94200000,94200000,1305200000,672800000,2426399999,1066599999,727800000,619600000,3099199999,4404399999,991500000,432600000,30800000,528100000,1057099999,3271900000,256300000,119300000,1.37e+08,3528200000,4585299999,-180900000,4404399999,91200000,30900000,1.1e+07,-152200000,-19100000,-69899999,-69899999,-69899999,1e+05,-69799999,229200000,-117100000,1e+05,-117200000,273352138.017733,94600000,5700001,5700001.00000003,-11700000,-5999999,172200000,3337499999,-21599999,0.40999,0.11668,0.07481,-0.50083,0.02057,-0.23841,1.2347,-25.34715,0.75776,0.52039,0.50671,6.95577,-0.12407,0.03167,-0.00633,18.741,22.83935
