"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","income_taxes_receivable","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"32","2018_Q3",57.3119047619048,"Down",81086309,-58928518,22157791,-16391310,-12106801,-7852213,-4254588,-2355311,-1929198,5766481,-877998,-951038,4888483,-52093,4836390,-1228082,3608308,3608308,3608308,3608308,11161000,11161000,12214000,12214000,113319000,110182000,3137000,139942000,34538000,165802000,53693000,90054000,22055000,200340000,340282000,16686000,7340000,1477000,7869000,136268000,135910000,170675000,49332000,29728000,100344000,271019000,18479000,51027000,69263000,69263000,340282000,3608308,3656023,94286,-1604400,5754217,-7318774,-7318774,-3753032,31799,-3862165,-5426722,-5426722,-5426722,9422504,68733000,1727412,0.27326,0.07112,0.0445,0.0521,0.0106,0.47873,0.81993,3.9129,0.20199,0.3405,0.33401,7.65165,6.53595,0.16301,0.01926,0.00922,6.11005,9.98391
"33","2018_Q4",55.8987301587302,"Down",83519000,-59258000,24261000,-16642000,-12532000,-8412000,-4120000,-2207000,-1903000,7619000,-930000,-914000,6689000,27000,6716000,-1370000,5346000,5346000,5346000,5346000,10775000,10775000,11529000,11529000,109253000,106144000,3109000,134697000,40220000,162578000,51505000,90054000,21019000,202798000,337495000,17282000,8242000,1128000,7912000,132427000,132344000,167519000,47937000,28672000,94542000,262061000,19097000,56373000,75434000,75434000,337495000,5346000,3741000,164000,1963000,11214000,-7116000,-7116000,-4391000,23000,-4484000,-386000,-386000,-386000,11360000,64415000,7577000,0.29048,0.09122,0.06401,0.07087,0.01584,1.41732,0.80407,3.47404,0.19086,0.50379,0.49526,7.87055,7.10865,0.71403,0.02847,0.04035,4.72183,7.04029
"34","2019_Q1",72.8203278688525,"Up",85612000,-57880000,27732000,-17235000,-13238000,-8434000,-4804000,-2091000,-1906000,10497000,-589000,-926000,9908000,-232000,9676000,-5239000,4437000,4437000,4437000,4437000,12637000,12637000,10837000,10837000,104677000,103254000,1423000,131926000,48065000,159584000,49395000,90054000,20135000,207649000,339575000,16997000,8445000,1668000,6884000,128674000,128653000,164071000,49527000,27326000,95728000,259799000,19776000,60810000,79776000,79776000,339575000,4437000,-5238000,11912000,-442999.999999999,10668000,-8931000,-8931000,116000,50000,125000,1862000,1862000,1862000,5259000,64601000,1124000,0.32393,0.12261,0.05183,0.05562,0.01307,0.25332,0.80408,3.25661,0.19024,0.41774,0.41134,8.06036,7.5109,0.10582,0.02288,0.00579999999999999,9.88097,4.95037
"35","2019_Q2",71.9203174603175,"Down",78953000,-56302000,22651000,-17702000,-13189000,-8741000,-4448000,-2523000,-1990000,4949000,-972000,-972000,3977000,79000,4056000,-1257000,2799000,2799000,2799000,2799000,11035000,11035000,13120000,13120000,118508000,116460000,2048000,146030000,55486000,203944000,61991000,109777000,32176000,259430000,405460000,18292000,8459000,702000,9131000,148642000,148289000,191722000,62271000,37650000,130297000,322019000,20032000,63609000,83441000,83441000,405460000,2799000,3965000,606000,1621000,8991000,-10435000,-38459000,28135000,71000,27866000,-1602000,-1602000,-1602000,8914000,92814000,1357000,0.28689,0.06268,0.03545,0.03354,0.0069,0.48482,0.76168,3.85924,0.22891,0.26319,0.25831,7.42399,7.846,0.1276,0.01173,0.00569,9.17422,16.52435
"36","2019_Q3",52.16390625,"Down",84117000,-59610000,24507000,-18789000,-13652000,-8856000,-4796000,-2752000,-2385000,5718000,-1314000,-1314000,4404000,31000,4435000,-1819000,2616000,2616000,2616000,2616000,12003000,12003000,11588000,11588000,123092000,117243000,3208000,149942000,64010000,200336000,59451000,110093000,30792000,264346000,414288000,20214000,7590000,797000,11827000,145521000,145521000,165735000,61651000,36433000,161552000,327287000,20656000,66225000,87001000,87001000,414288000,2616000,4737000,1888000,-2262000,6979000,-10441000,-12942000,6994000,122000,6931000,968000,968000,968000,10455000,99901000,-429000,0.29134,0.06798,0.0311,0.03007,0.00631,-0.16399,0.90471,3.76188,0.24114,0.24547,0.24135,7.89294,8.16355,-0.04025,0.01052,-0.00173,8.40727,15.37216
"37","2019_Q4",57.0259375,"Up",88129000,-60555000,27574000,-18880000,-13343000,-8769000,-4574000,-2876000,-2661000,8694000,-1263000,-1263000,7431000,-93000,7338000,-3133000,4205000,4205000,4205000,4205000,11989000,11989000,13351000,13351000,117863000,115331000,2532000,147106000,72167000,200069000,60066000,110100000,29903000,272236000,419342000,21551000,5440000,689000,15422000,144549000,144508000,166100000,61275000,35334000,166243000,332343000,16598000,70430000,86999000,86999000,419342000,4205000,5206000,726000,1078000,11215000,-13847000,-11346000,5003000,-4867000,117000,-14000,-14000,-14000,13900000,104968000,4264000,0.31288,0.09865,0.04771,0.04833,0.01003,1.01403,0.88565,3.82008,0.25032,0.39571,0.39228,8.29329,8.18695,0.40126,0.0166,0.01684,6.68914,10.69462
"38","2020_Q1",55.9983870967742,"Down",85946000,-59901000,26045000,-16191000,-11966000,-7904000,-4062000,-1566000,-2659000,9854000,-1220000,-1220000,8634000,108000,8742000,-2964000,5778000,5778000,5778000,5778000,20393000,20393000,14564000,14564000,107261000,13478000,1800000,145675000,82121000,198122000,57654000,109818000,30650000,280243000,425918000,18320000,6671000,1324000,10325000,138588000,138588000,156908000,61313000,35842000,174816000,331724000,17513000,76208000,94194000,94194000,425918000,5778000,5386000,505000,1527000,13196000,-9347000,-13339000,8468000,83000.0000000009,8547000,8404000,8404000,8404000,15240000,113503000,10384000,0.30304,0.11465,0.06723,0.06134,0.01357,1.79716,0.92841,3.52171,0.26649,0.5463,0.54015,8.12608,8.90592,0.98179,0.02148,0.0386,6.10958,9.44895
"39","2020_Q2",55.544126984127,"Down",83985000,-58835000,25150000,-19537000,-13726000,-8985000,-4741000,-2751000,-3060000,5613000,-1237000,-1150000,4376000,-441000,3935000,-1101000,2834000,2834000,2834000,2834000,12446000,12446000,12480000,12480000,108989000,107357000,1460000,136468000,94289000,207083000,59915000,115837000,30961000,301372000,437840000,19181000,8996000,1302000,8883000,143490000,141772000,162671000,66268000,39146000,179813000,342484000,18751000,77323000,95356000,95356000,437840000,2834000,6291000,796000,4152000,14073000,-9943000,-18713000,-25000,-3100000,-3307000,-7947000,-7947000,-7947000,11904000,113545000,7214000,0.29946,0.06683,0.03374,0.02972,0.00647,2.54552,0.83892,3.59164,0.25933,0.26705,0.26452,7.91398,8.98548,0.67978,0.0103,0.02622,8.49286,18.01158
"40","2020_Q3",64.68921875,"Up",82122000,-59156000,22966000,-20379000,-14683000,-9218000,-5465000,-3067000,-2629000,2587000,-931000,-846000,1656000,-1050000,606000,-449000,157000,157000,157000,157000,8859000,8859000,7506000,7506000,124304000,112871000,1326000,141634000,101292000,199265000,52732000,116270000,29312000,300557000,442191000,18735000,6511000,1291000,10933000,146358000,144291000,165093000,66116000,38845000,179724000,344817000,19456000,77322000,97374000,97374000,442191000,157000,5985000,3049000,-252000,8939000,-12150000,-12219000,-7000.00000000186,-135000,-307000,-3587000,-3587000,-3587000,8572000,113608000,-3381000,0.27966,0.0315,0.00191,0.00161,0.000360000000000001,-21.53503,0.8579,3.54116,0.25692,0.01486,0.01473,7.77127,9.21458,-0.31995,0.000570000000000001,-0.0122,12.2199,40.49053
"41","2020_Q4",74.37828125,"Up",74311000,-54370000,19941000,-18788000,-13186000,-8318000,-4868000,-3162000,-2440000,1153000,-846000,-760000,307000,1249000,1556000,-840000,716000,716000,716000,716000,10155000,10155000,12623000,12623000,115352000,109397000,3553000,139269000,109767000,195887000,50087000,116270000,29530000,305654000,444923000,19933000,8552000,881000,10500000,144768000,142941000,164701000,66169000,38870000,179841000,344542000,20972000,78038000,100381000,100381000,444923000,716000,5755000,4759000,202000,11432000,-10636000,-10636000,0,632000,5e+05,1296000,1296000,1296000,6908000,113672000,-2686000,0.26835,0.01552,0.00964,0.00713,0.00161,-3.7514,0.84559,3.43234,0.25549,0.06769,0.06711,7.02522,9.48983,-0.25393,0.00256,-0.00959,14.98509,89.78057
"42","2021_Q1",80.5270491803279,"Up",70784000,-53356000,17428000,-18833000,-12947000,-7753000,-5194000,-3447000,-2439000,-1405000,-755000,-855000,-2160000,6823000,4663000,-2595000,2068000,2068000,2068000,2068000,8311000,8311000,15540000,15540000,115474000,16845000,1302000,141200000,117530000,193173000,47444000,116304000,29199000,310703000,451903000,18367000,6329000,863000,11175000,144598000,144499000,162965000,62507000,37699000,184240000,347205000,22256000,80106000,104698000,104698000,451903000,2068000,6021000,-2440000,-4012000,1637000,-11708000,-11711000,8e+06,307000,8230000,-1844000,-1844000,-1844000,4616000,121733000,-8509000,0.24621,-0.01985,0.02922,0.01975,0.00458,-4.1146,0.86644,3.31625,0.26938,0.195,0.1927,6.67435,9.87216,-0.80233,0.00716,-0.02945,24.57149,-80.7274
"43","2021_Q2",79.2253968253968,"Down",70875000,-53422000,17453000,-18837000,-13264000,-8311000,-4953000,-3132000,-2441000,-1384000,-1032000,-936000,-2416000,5648000,3232000,-1083000,2149000,2149000,2149000,2149000,8310000,8310000,15868000,15868000,115649000,14579000,1316000,142144000,129846000,192113000,44978000,116304000,30578000,321959000,464103000,22034000,9969000,14000,12051000,150019000,149936000,172053000,62834000,38536000,184636000,356689000,23289000,82255000,107414000,107414000,464103000,2149000,6378000,1068000,4491000,14086000,-13944000,-14098000,19400076.516092,229000,11000,-1000,-1000,-1000,4994000,121802000,-3376000,0.24625,-0.01953,0.03032,0.02001,0.00463,-1.57096,0.82616,3.32069,0.26245,0.2024,0.19904,6.67511,10.1164,-0.31796,0.00736,-0.01156,22.72567,-82.00289
"44","2021_Q3",77.185625,"Down",75093000,-56854000,18239000,-20205000,-14586000,-9376000,-5210000,-3170000,-2449000,-1966000,-1086000,-1003000,-3052000,4740000,1688000,119000,1807000,1807000,1807000,1807000,7258000,7258000,14811000,14811000,121530000,19637000,4041000,146435000,144187000,190898000,42695000,116304000,31648000,337097000,483532000,22411000,7430000,20000,14961000,148286000,148176000,170697000,62144000,38758000,202011000,372708000,25665000,84062000,110824000,110824000,483532000,1807000,6557000,457000,-5303000,3518000,-21661000,-23736000,17999000,1247000,19166000,-1052000,-1052000,-1052000,4591000,139867000,-22492000,0.24289,-0.02618,0.02406,0.01631,0.00374,-12.44715,0.85787,3.36306,0.28926,0.16993,0.16743,7.0618,10.42197,-2.11516,0.00578,-0.0719,28.88456,-67.45117
"45","2021_Q4",83.63625,"Up",75893000,-57869000,18024000,-21106000,-14961000,-10235020.0835181,-6010368.90305798,-3742000,-2403000,-3082000,-1264000,-1169000,-4346000,5422000,1076000,299000,1375000,1375000,1375000,1375000,5535000,5535000,14822000,14822000,120364000,18719000,3892000,143832000,155236000,192118000,40413000,116304000,35170000,349366000,493198000,22411000,9260000,62000,13089000,145972000,145519000,168383000,61659000,61659000,211596000,379979000,28070000,85437000,113219000,113219000,493198000,1375000,7046000,-1598000,-5331000,1492000,-14488000,-14494000,1e+07,1368000,11279000,-1723000,-1723000,-1723000,3964000,149937000,-16154000,0.23749,-0.04061,0.01812,0.01214,0.00279,-11.74836,0.8542,3.35614,0.30401,0.1294,0.12738,7.14237,10.65516,-1.52027,0.00423,-0.04973,36.42836,-46.85334
"46","2022_Q1",73.848064516129,"Down",82476000,-57899000,24577000,-25961000,-19030000,-10999712.7804206,-6866880.21103689,-4266000,-2665000,-1384000,-1605000,-1509000,-2989000,4263000,1274000,-3241000,-1967000,-1967000,-1967000,-1967000,9105000,9105000,14579000,14579000,120043000,20986000,3474000,147004000,172662000,217918000,50409000,130410000,36799000,392592000,539596000,26240000,10016000,102000,16122000,147443000,23202000,173683000,60073000,13827000,250821000,424504000,31279000,83470000,115092000,115092000,539596000,-1967000,8012000,353000,4143000,10541000,-22572000,-49650000,40705000,1974000,42679000,3570000,3570000,3570000,6628000,190748000,-8560000,0.29799,-0.01678,-0.02385,-0.01709,-0.00365,4.3518,0.84639,3.68839,0.3535,-0.18419,-0.1818,7.72297,10.7771,-0.80155,-0.00538,-0.02339,27.4054,-131.24494
"47","2022_Q2",52.9422580645161,"Down",81099000,-59901000,21198000,-25661000,-19283000,-11987000,-7296000,-3765000,-2613000,-4463000,-1846000,-1796000,-6309000,4367000,-1942000,-1078000,-3020000,-3020000,-3020000,-3020000,6201000,6201000,16391000,16391000,128097000,23221000,3249000,154247000,191456000,215664000,47659000,130410000,37116000,409132000,563379000,31643000,14103000,307000,17233000,151201000,148227000,182844000,58340000,58340000,265523000,448367000,33185000,80450000,115012000,115012000,563379000,-3020000,8886000,732000,-1191000,5407000,-23054000,-23149000,14323000,515000,14838000,-2904000,-2904000,-2904000,4423000,207183000,-18744000,0.26138,-0.05503,-0.03724,-0.02626,-0.00536,6.20662,0.8436,3.89844,0.36775,-0.28279,-0.27912,7.59403,10.76961,-1.75517,-0.00794,-0.04926,45.4402,-45.03294
"48","2022_Q3",45.93515625,"Down",83084000,-61031000,22053000,-26393000,-20317000,-13503000,-6814000,-3465000,-2611000,-4340000,-2471000,-2421000,-6811000,4425000,-2386000,-739000,-3125000,-3125000,-3125000,-3125000,6510000,6510000,13526000,13526000,128512000,19311000,2274000,153344000,225202000,214151000,44838000,130410000,38886000,441365000,594709000,47113000,28179000,416000,18518000,150240000,148303000,423801000,57408000,57408000,57408000,481209000,34677000,77325000,113500000,113500000,594709000,-3125000,9578000,218000,5906000,12577000,-30288000,-30310000,21112000,55000,18042000,309000,309000,309000,5238000,226448000,-18405000,0.26543,-0.05224,-0.03761,-0.02753,-0.00525,5.8896,0.36183,4.23973,0.38077,-0.29057,-0.29057,7.72532,10.55347,-1.71134,-0.00786,-0.04632,41.98893,-50.67696
