"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"30","2017_Q3",22.6401587301587,"Up",139162000,-59421000,79741000,-49415000,-36011000,-22296000,-13715000,-4242000,-9162000,30326000,-24200000,-24200000,6126000,5795000,-2315000,3479999.99999999,3480000,3304000,3304000,78312000,78312000,7254000,7254000,23835000,7041000,16794000,109401000,8677000,897088000,345521000,548890000,2677000,905765000,1015166000,25225000,3741000,21484000,48681000,68292000,8628000,422140000,470821000,1535862000,-1007325000,528347000,544345000,1015166000,3479999.99999999,3480000.00000001,9395000,21958000,-6597000,28236000,-746000,-746000,-746000,-586000.000000002,-42615000,19762000,19762000,-3058000,-25911000,1739000.00000001,2766999.99999999,2805000.00000001,39721000,356408000,34693000,0.57301,0.21792,0.02374,0.00607,0.00324999999999999,10.5003,2.2473,0.86493,0.35108,0.0757,0.07039,3.1885,12.10556,0.79489,0.00341,0.0358,7.00123000000003,9.17022
"31","2017_Q4",22.2892063492063,"Down",90171000,-60971000,29200000,-40420000,-25887000,-13680000,-12207000,-5051000,-9482000,-11220000,-5241000,-5241000,-16461000,-16567000,-166000,-16733000,-16733000,-16897000,-16897000,78558000,78558000,6952000,6952000,22114000,4777000,17337000,107624000,9552000,888493000,336872000,549064000,2557000,898045000,1005669000,21929000,3161000,18768000,48171000,68679000,8530000,412911000,461082000,1552614000,-1024222000,528425000,544587000,1005669000,-16733000,-16733000,9688000,3850000,1289000,-1906000,-1898000,-1898000,-1898000,-1898000,-1e+07,14998000,14998000,-1477000,3521000,-283000,-283000,-240000,-1532000,346792000,-1975000,0.32383,-0.12443,-0.18739,-0.03103,-0.0168,0.11688,2.23421,0.84666,0.34484,-0.37171,-0.35147,1.98365,11.62472,-0.04345,-0.0176,-0.00206,-175.08747,-23.90677
"32","2018_Q1",23.774262295082,"Up",97849000,-65940000,31909000,-46055000,-31087000,-17824000,-13263000,-5573000,-9395000,-14146000,-5402000,-5402000,-19548000,-19923000,31842000,11919000,11919000,10048000,10048000,59965000,59965000,10694000,10694000,28738000,7365000,21373000,99397000,9831000,892443000,328205000,549037000,15201000,902274000,1001671000,23990000,4413000,19577000,51756000,52414000,8177000,390495000,442251000,1555565000,-1014174000,541387000,559420000,1001671000,11919000,11919000,9586000,-11464000,-16425000,-6384000,-1230000,-1230000,-1230000,-1230000,-9576000,2044000,2044000,-2381000,-9913000,-17527000,-17527000,-17535000,-4560000.00000001,338081000,-54057000,0.3261,-0.14457,0.10269,0.01796,0.01003,-5.37988,1.92049,0.79055,0.33752,0.21733,0.20758,2.11643,11.70997,-1.16923,0.01058,-0.05691,-60.99035,-19.6604
"33","2018_Q2",32.25,"Up",205965000,-67467000,138498000,-85472000,-70119000,-55253000,-14866000,-5131000,-10222000,53026000,-5228000,-5228000,47798000,47509000,-1963000,45546000,45546000,45341000,45341000,77107000,77107000,12655000,12655000,26502000,7534000,18968000,116264000,8769000,885039000,319841000,548916000,16282000,893808000,1010072000,27871000,7703000,20168000,49601000,50014000,6830000,349092000,398693000,1560267000,-966985000,593141000,611379000,1010072000,45546000,45546000,10359000,3231000,-1686000,57450000,-940000,-940000,-940000,-940000,-4e+07,3237000,3237000,-2806000,-39569000,16941000,16941000,16935000,63385000,299078000,62722000,0.67243,0.25745,0.22014,0.07416,0.04489,1.38334,2.34399,0.65212,0.2961,0.97213,0.9317,4.41596,12.71716,1.34478,0.04721,0.0653,3.50195,4.18608
"34","2018_Q3",36.415873015873,"Up",157848000,-64657000,93191000,-54063000,-39416000,-23791000,-15625000,-4848000,-9799000,39128000,-2759000,-2759000,36369000,36367000,-907000,35460000,35460000,35238000,35238000,89840000,89840000,6595000,6595000,24729000,6754000,17975000,121164000,9308000,875627000,310983000,548838000,15806000,884935000,1006099000,20653000,4472000,16181000,40472000,50024000,6871000,310053000,350525000,1569417000,-932050000,637114000,655574000,1006099000,35460000,35460000,9979000,4780000,-1112000,49107000,-1662000,-1662000,-1662000,-1662000,-4e+07,7853000,7853000,-2738000,-34885000,12560000,12560000,12536000,49107000,260029000,47240000,0.59038,0.24788,0.22324,0.05375,0.03502,1.3406,2.99377,0.53468,0.25845,0.74624,0.71284,3.34275,13.49218,1.0004,0.03649,0.04892,3.46568,4.34955
"35","2018_Q4",30.6253968253968,"Down",95385000,-63683000,31702000,-42394000,-29079000,-15675000,-13404000,-4246000,-9069000,-10692000,-3863000,-3863000,-14555000,-14555000,818000,-13737000,-13737000,-13964000,-13964000,88274000,88274000,6056000,6056000,23276000,5571000,17705000,117606000,11111000,866993000,302715000,548915000,15363000,878104000,995710000,18631000,2158000,16473000,39814000,49779000,6923000,309987000,349801000,1569544000,-945708000,623685000,645909000,995710000,-13737000,-13737000,9201000,2793000,769000,-974000,-2738000,-2738000,-2738000,-2738000,0,2256000,2256000,-1754000,502000,-3210000,-3210000,-3191000,-1491000,260208000,-4278000,0.33236,-0.11209,-0.1464,-0.02162,-0.01402,0.30636,2.95389,0.54156,0.26133,-0.29268,-0.28053,1.99922,13.07214,-0.08966,-0.01461,-0.00448,-115.31455,-16.08062
"36","2019_Q1",29.1254098360656,"Down",101258000,-67912000,33346000,-46843000,-32871000,-16642000,-16229000,-5107000,-8865000,-13497000,-3947000,-3947000,-17444000,-17441000,1741000,-15700000,-15700000,-15981000,-15981000,84524000,84524000,15721000,15721000,31567000,7755000,23812000,131812000,12389000,853524000,294603000,548685000,10236000,865913000,997725000,22778000,3798000,18980000,48280000,56515000,7540000,316905000,365185000,1569730000,-961689000,607595000,632540000,997725000,-15700000,-15700000,9050000,1940000,4675000,-35000,-2293000,-2293000,-2293000,-2293000,0,1527000,1527000,-2379000,-852000,-3180000,-3180000,-3225000,-4447000,260390000,-3806000,0.32932,-0.13329,-0.15782,-0.02526,-0.01602,0.23816,2.73016,0.57733,0.26098,-0.33292,-0.32189,2.10941,12.65744,-0.07929,-0.01683,-0.00400999999999999,-39.54711,-13.03001
"37","2019_Q2",32.9112698412698,"Up",225768000,-65575000,160193000,-88283000,-72649000,-55572000,-17077000,-6529000,-9105000,71910000,-3958000,-3958000,67952000,66155000,-3985000,62170000,62170000,62170000,62170000,149762000,149762000,24113000,24113000,34199000,10840000,23359000,208074000,12322000,852321000,286562000,548770000,16989000,864643000,1072717000,58905000,10230000,48675000,85477000,55616000,8304000,316186000,401663000,1570031000,-901155000,668537000,671054000,1072717000,62170000,62170000,9354000,2585000,-3873000,70236000,-1243000,-1243000,-1243000,-1243000,87337829.4277329,283000,283000,-3368000,-3085000,65908000,65908000,65923000,81264000,260570000,80133000,0.70955,0.31851,0.27537,0.09265,0.05796,1.28893,2.43427,0.59856,0.24291,1.29088,1.25489,4.68778,13.88129,1.66386,0.06297,0.08117,1.36356,1.54093
"38","2019_Q3",25.21109375,"Down",193740000,-90626000,103114000,-65901000,-48258000,-29256000,-19002000,-7159000,-10484000,37213000,-5118000,-5118000,32095000,22912000,8124000,31036000,31036000,31036000,31036000,109606000,109606000,20391000,20391000,38667000,10595000,28072000,168664000,15090000,1051884000,355596000,674130000,22158000,1066974000,1235638000,51374000,7945000,43429000,82429000,66398000,13923000,447977000,530406000,1575559000,-870119000,705232000,705232000,1235638000,31036000,31036000,10831000,11033000,-26324000,26576000,-1695000,-1695000,-1695000,-166156000,121499000,4181000,4181000,-27680000,9.8e+07,-41580000,-41580000,-41537000,48044000,382498000,11901000,0.53223,0.19208,0.16019,0.04401,0.02512,0.38346,2.04617,0.7521,0.30956,0.63919,0.62296,3.99011,14.5244,0.2451,0.02689,0.01031,5.68004,7.33324
"39","2019_Q4",22.3940625,"Down",149016000,-103663000,45353000,-59805000,-39618000,-19976000,-19642000,-8635000,-11552000,-14452000,-2606000,-2606000,-17058000,-74717000,12331000,-62386000,-62386000,-62386000,-62386000,97466000,97466000,16803000,16803000,38490000,9058000,29432000,152759000,17230000,984639000,301533000,663005000,20101000,1001869000,1154628000,51400000,12139000,39261000,83117000,55067000,12439000,436665000,519782000,1580341000,-932505000,634846000,634846000,1154628000,-62386000,-62386000,11893000,26001000,23927000,-565000,-3949000,-3949000,-3949000,1418000,-10000,-11477000,491000,-348000,-11835000,-10982000,-10982000,-11002000,-2559000,382825000,5088000,0.30435,-0.09698,-0.41865,-0.09827,-0.05403,-0.08156,1.83788,0.81875,0.33156,-1.28229,-1.26221,3.0629,13.04871,0.10458,-0.05816,0.00474,-111.51192,-19.74529
"40","2020_Q1",19.2879032258065,"Down",149421000,-102908000,46513000,-64512000,-44209000,-21401000,-22808000,-8608000,-11695000,-17999000,-5233000,-5233000,-23232000,-31256000,48584000,17328000,17328000,17328000,17328000,80820000,80820000,16266000,16266000,42057000,12349000,29708000,139143000,18706000,979723000,290211000,662375000,17140000,998429000,1137572000,47113000,10969000,36144000,93532000,19040000,11868000,400525000,494057000,1586977000,-914791000,643515000,643515000,1137572000,17328000,17328000,12130000,-36795000,3894000.00000001,-3443000,-3614000,-3614000,-3614000,-3612999.99999997,9687000,-14787000,1644000,-144000,-5244000,-12300000,-12300000,-12300000,-5869000,392713000,-54173000,0.31129,-0.12046,0.11597,0.0269300000000001,0.01523,-3.12633,1.48765,0.76775,0.34522,0.36336,0.35846,3.1333,13.49428,-1.13599,0.01642,-0.05134,-53.14244,-17.32835
"41","2020_Q2",12.5555555555556,"Down",263320000,-106355000,156965000,-122497000,-104438000,-79710000,-24728000,-8515000,-9544000,34468000,-6135000,-6135000,28333000,-247974000,-67520000,-315494000,-315494000,-315494000,-315494000,168198000,168198000,25343000,25343000,38417000,13387000,25030000,231958000,31807000,707167000,282462000,391084000,33621000,738974000,970932000,89845000,30085000,59760000,170626000,92610000,38167000,474131000,644757000,1584859000,-1230285000,326175000,326175000,970932000,-315494000,-315494000,10168000,330247000,21943000,46864000,-7715000,-7715000,-7715000,-7715000,44687000,-6076768.54788196,2444983.60035118,-918000,43769000,82918000,82918000,82918000,44636000,437750000,126384000,0.5961,0.1309,-1.19814,-0.96725,-0.32494,-0.40059,1.35945,1.97672,0.45086,-6.59657,-6.59657,5.50568,6.81989,2.64252,-0.36834,0.14755,6.03889,7.82036
"42","2020_Q3",11.06375,"Down",161122000,-86922000,74200000,-75982000,-60257000,-40057000,-20200000,-7377000,-8348000,-1781999.99999999,-5288000,-5288000,-7069999.99999999,-9894000.00000003,59539000,49645000,49645000,49645000,49645000,90081000,90081000,15913000,15913000,32804000,10237000,22567000,138798000,43793000,699889000,275790000,391084000,31402000,743682000,882480000,48803000,13689000,35114000,70157000,49901000,43192000,431462000,501619000,1589900000,-1180640000,380861000,380861000,882480000,49645000,49645000,9085000,-42586000,-28634000,-12490000,-11357000,-11357000,-11357000,-11357000,-55312000,1226000,1226000,-88000,-54174000,-78021000.0000001,-78021000,-78021000,7302999.99999999,382791000,-92227000,0.46052,-0.01106,0.30812,0.13035,0.05626,-1.85773,1.97839,1.31707,0.43377,1.03554,1.03554,3.36084,7.94437,-1.92376,0.06102,-0.11336,40.08079,-164.25926
"43","2020_Q4",12.20375,"Up",175353000,-98814000,76539000,-65250000,-49623000,-31018000,-18605000,-6007000,-9620000,11289000,-11963000,-11963000,-674000,-10950000,-15256000,-26206000,-26206000,-26206000,-26206000,151166000,151166000,12191000,12191000,38098000,9428000,28670000,201455000,53940000,808356000,331014000,449221000,28121000,862296000,1063751000,49279000,6464000,42815000,73787000,78403000,59123000,630820000,704607000,1594389000,-1206846000,359144000,359144000,1063751000,-26206000,-26206000,10366000,24186000,-7406000,940000,-9639000,-9639000,-9639000,-111715000,170825000,0,0,-28000,170797000,60022000,60022000,60022000,21655000,554199000,19866000,0.43649,0.06438,-0.14945,-0.07297,-0.02464,-0.75807,2.73022,1.96191,0.52099,-0.5455,-0.5455,3.65015,7.47594,0.41353,-0.02642,0.02003,18.61154,35.70139
"44","2021_Q1",16.7785245901639,"Up",155157000,-106199000,48958000,-60343000,-45458000,-26833000,-18625000,-5359000,-9526000,-11385000,-7918000,-7918000,-19303000,-31606000,-19094000,-50700000,-50700000,-50700000,-50700000,150125000,150125000,12736000,12736000,37807000,11038000,26769000,200668000,58500000,805024000,322179000,454821000,28024000,863524000,1064192000,65709000,9290000,56419000,101144000,98233000,61323000,650758000,751902000,1598235000,-1257546000,312290000,312290000,1064192000,-50700000,-50700000,10288000,32257000,16920000,8765000,-7291000,-7291000,-7291000,-9919000,-452999.99999997,1129000,1129000,-129000,546999.99999994,-607000,-607000,-606999.99999997,-1097000.00000001,554337000,27626000,0.31554,-0.07338,-0.32677,-0.16235,-0.04764,-0.54489,1.98398,2.4077,0.5209,-1.05397,-1.05397,3.22545,6.49198,0.5743,-0.05255,0.02863,-368.47037,-35.50391
"45","2021_Q2",16.4239682539683,"Down",278383000,-114201000,164182000,-118850000,-102247000,-77562000,-24685000,-7128000,-9475000,45332000,-7883000,448225.179961193,37449000,29346000,-1700000,27646000,27646000,27646000,27646000,191803000,191803000,24348000,24348000,40463000,12015000,28448000,256614000,64160000,798343000,305645760.64451,454821000,28228000,862503000,1119117000,94754000,22019000,72735000,123909000,97870000,61461000,650554000,774463000,1602953000,-1229900000,344654000,344654000,1119117000,27646000,27646000,10418000,13286000,2372000,53722000,-8598000,-8598000,-8598000,-9185000,-453000,63000,63000,-865000,-1255000,43282000,43282000,43282000,55750000,554470000,51224000,0.58977,0.16284,0.09931,0.08021,0.0247,1.85285,2.07099,2.24707,0.49545,0.57284,0.56309,5.76828,7.14146,1.0614,0.02773,0.05138,6.50524,8.00024
"46","2021_Q3",16.17640625,"Down",254312000,-118339000,135973000,-76178000,-58680000,-34848000,-23832000,-7231000,-10267000,59795000,-8024000,4128033.57328159,51771000,33602000,-1994000,31608000,31608000,31608000,31608000,232409000,232409000,18784000,18784000,42270000,13972000,28298000,293463000,65004000,798422000,301302067.775829,454821000,34858000,863426000,1156889000,90523000,10164000,80359000,120333000,101221000,65737000,654049000,774382000,1609198000,-1198292000,382507000,382507000,1156889000,31608000,31608000,11165000,18569000,-17793000,43549000,-4946000,-4946000,-4946000,-5240000,-955000,2066000,2066000,-464000,647000,38956000,38956000,38956000,70960000,554616000,50215000,0.53467,0.23512,0.12429,0.08263,0.02732,1.58868,2.43876,2.02449,0.4794,0.65494,0.64379,5.26951,7.9258,1.04049,0.03044,0.04836,4.54067999999999,5.38853
"47","2021_Q4",16.97609375,"Up",174174000,-122964000,51210000,-69251000,-51501000,-28399000,-23102000,-7874000,-9876000,-18041000,-8295000,-4255674.8200388,-26336000,-28577000,774000,-27803000,-27803000,-27803000,-27803000,184926000,184926000,17886000,17886000,37126000,11119000,26007000,239938000,68950000,794593000,302424341.019233,454821000,35337000,863543000,1103481000,84307000,8932000,75375000,114292000,77067000,42012000,630054000,744346000,1613629000,-1226095000,359135000,359135000,1103481000,-27803000,24757161.1903174,10915000,8758000,-14750000,-22880000,-8080000,-2570313.75135804,-2570313.75135804,-11022000,-453000,251000,251000,-13434000,-13636000,-47538000,-47538000,-47538000,-7126000,554777000,-30730000,0.29402,-0.10358,-0.15963,-0.07742,-0.0252,1.10528,2.09934,2.07261,0.50275,-0.57335,-0.56312,3.59181,7.40607,-0.63371,-0.02806,-0.03101,-51.90163,-20.50058
"48","2022_Q1",18.125,"Up",178331000,-124347000,53984000,-77653000,-59574000,-32522000,-27052000,-8471000,-9608000,-23669000,-7878000,-32080000,-31547000,-35832000,12138000,-23694000,-23694000,-23694000,-23694000,134824000,134824000,21906000,21906000,43549000,18476000,25073000,200279000,73638000,798026000,302289000,454821000,40916000,871664000,1071943000,73894000,8216000,65678000,111722000,65465000,40019000,618599000,730321000,1619810000,-1249789000,341622000,341622000,1071943000,-23694000,27987820.7574747,10928000,1568000,-26362000,-37560000,-8652000,-2889436.02359148,-2889436.02359148,-13145000,-453000,1476000,1476000,-956000,66999.9999999963,-50638000,-50638000,-50638000,-12741000,554946000,-59893000,0.30272,-0.13273,-0.13287,-0.06936,-0.0221,2.52777,1.79265,2.1378,0.5177,-0.4801,-0.50727,3.61345,6.92215,-1.21359,-0.02463,-0.06226,-32.97402,-17.74988
"49","2022_Q2",18.1854838709677,"Up",307553000,-129300000,178253000,-131544000,-113478000,-84403000,-29075000,-8504000,-9562000,46709000,-7841000,-86722041.966602,38868000,37202000,-2582000,34620000,34620000,34620000,34620000,144222000,144222000,26618000,26618000,44585000,21695000,22890000,215425000,73687000,794847000,296894000,454821000,43132000,868534000,1083959000,85134000,23879000,61255000,115737000,66052000,41482000,619349000,735086000,1622978000,-1215169000,348873000,348873000,1083959000,34620000,34620000,11305000,9930000,-8512000,47343000,-4731000,-4731000,-4731000,-5482000,-453000,-30441000,96000,-1569000,-32463000,9398000,9398000,9398000,58014000,555109000,47353000,0.57958,0.15187,0.11257,0.09923,0.03194,1.36779,1.86133,2.10703,0.51211,0.70893,0.70893,6.29793,7.14406,0.96967,0.03569,0.04882,7.08255,8.79674
"50","2022_Q3",20.1134375,"Up",256883000,-120517000,136366000,-92373000,-74154000,-47508000,-26646000,-8620000,-9599000,43993000,-8117000,-175558900.719845,35876000,42668000,-3243000,39425000,39425000,39425000,39425000,171297000,171297000,20351000,20351000,38911000,17697000,21214000,230559000,75741000,792787000,291540000,454821000,46426000,868528000,1099087000,61669000,6962000,54707000,88648000,67510000,43526000,620986000,709634000,1628596000,-1175744000,389453000,389453000,1099087000,39425000,39425000,11464000,862000,-13431000,38320000,-7059000,-7059000,-7059000,-8166000,-453000,-2061000,2402000,-565000,-3079000,27075000,27075000,27075000,55457000,555288000,38210000,0.53085,0.17126,0.15347,0.10123,0.03587,0.96918,2.60084,1.82213,0.50523,0.82857,0.80971,5.39874,8.18488,0.80303,0.03895,0.03775,6.92412,8.72846
