"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"30","2018_Q1",26.8432786885246,"Down",2742352000,-2480548000,261804000,-106787000,-106787000,155017000,-35239000,-36738000,159000,1340000,119778000,119778000,14147000,133925000,133925000,411999.999999999,134337000,134337000,581510000,581510000,565478000,1255070000,114230000,102550000,10972000,2516288000,2095147000,1637217000,617163000,18165000,3732364000,6248652000,1368141000,733027000,635114000,47775000,1452523000,2635617000,304851000,96359000,2940468000,4392991000,1935111000,173943000,-31140000,1846156000,9505000,1855661000,6248652000,133925000,73167000,-83334000,59072000,182830000,-79618000,-79618000,78409000,78409000,181621000,181621000,1280000,182901000,228184000,2683392000,193491000,0.09547,0.05653,0.04899,0.07239,0.0215,1.44034,1.73236,2.36735,0.42944,0.54004,0.53951,11.02435,7.42161,0.77784,0.02773,0.03995,9.21135,13.55904
"31","2018_Q2",21.48703125,"Down",2746678000,-2459013000,287665000,-86072000,-86072000,201593000,-45372000,-48710000,1721000,1617000,156221000,156221000,-36997000,119224000,119224000,194000,119418000,119418000,580811000,580811000,629829000,1242352000,139569000,124358000,12128000,2592561000,2121630000,1683444000,628414000,18629000,3805074000,6397635000,1262403000,782757000,479646000,149389000,1441096000,2625698000,297074000,84758000,2922772000,4363868000,1936384000,293361000,26469000,2024456000,9311000,2033767000,6397635000,119224000,69201000,6644000,-194429000,640000,-75660000,-75660000,70288000,70288000,-4732000,-4732000,6669000,1937000,270794000,2775087000,37702000,0.10473,0.0734,0.04348,0.05872,0.01867,0.31571,1.79902,2.14571,0.43377,0.4799,0.47961,11.03802,8.13564,0.15151,0.02339,0.00738,8.10312,10.88468
"32","2018_Q3",18.4928571428571,"Down",2836713000,-2562491000,274222000,-89110000,-89110000,185112000,-40246000,-35433000,-5630000,817000,144866000,144866000,-38522000,106344000,106344000,197000,106541000,106541000,640842000,640842000,589933000,1190017000,170088000,132820000,34364000,2590880000,2113953000,1597736000,593751000,18276000,3711689000,6302569000,1310253000,815696000,494557000,44606000,1387059000,2584486000,276606000,80045000,2861092000,4248151000,1940744000,399902000,-63584000,2045304000,9114000,2054418000,6302569000,106344000,70278000,-3031999.99999999,129759000,303349000,-78323000,-78323000,-139828000,-139828000,85198000,85198000,-2639000,82559000,255390000,2629092000,345348000,0.09667,0.06526,0.03756,0.05186,0.0169,3.24146,1.86789,2.06781,0.41715,0.42791,0.42778,11.39329,8.2147,1.38705,0.02148,0.06962,7.78515,10.74079
"33","2018_Q4",17.9138095238095,"Down",2697604000,-2527863000,169741000,-84395000,-84395000,85346000,-25035000,-31093000,6711000,-653000,60311000,60311000,-30848000,29463000,29463000,-153000,29310000,29310000,401306000,401306000,559559000,1182962000,138906000,116536000,15186000,2282733000,2120646000,1573059000,581119000,17162000,3693705000,5976438000,1270237000,817927000,452310000,24026000,1323136000,2302194000,283565000,77961000,2585759000,3908895000,1944370000,429212000,-83548000,2058276000,9267000,2067543000,5976438000,29463000,71971000,14208000,5649000,121291000,-75185000,-75185000,-304334000,-304334000,-258228000,-258228000,41000,-258187000,157317000,2326220000,118629000,0.06292,0.03164,0.01087,0.01418,0.0049,4.04739,1.72524,1.8906,0.38923,0.11772,0.11763,10.83458,8.2668,0.47646,0.00627,0.02536,12.23589,22.55424
"34","2019_Q1",19.617868852459,"Up",2656789000,-2544941000,111848000,-88213000,-88213000,23635000,-52806000,-33765000,-19962000,921000,-29171000,-29171000,20944000,-8226999.99999999,-8226999.99999999,903000,-7324000,-7324000,338386000,338386000,561549000,1159519000,175203000,112023000,24523000,2234657000,2161702000,1534843000,564128000,16717000,3696545000,5931202000,1232490000,830059000,402431000,30405000,1296223000,2295190000,320204000,82782000,2615394000,3911617000,1947740000,421888000,-127834000,2009800000,9785000,2019585000,5931202000,-8226999.99999999,62638000,56223000,-44264000,66370000,-109723000,-109723000,-7334000,-10372000,-53725000,-53725000,-537000,-54261999.9999999,86273000,2325595000,-88658000,0.0421,0.0089,-0.00276,-0.00363,-0.00123,12.10513,1.72398,1.93684,0.3921,-0.02942,-0.02937,10.67069,8.07213,-0.35608,-0.00157,-0.019,23.03396,84.07908
"35","2019_Q2",25.8942857142857,"Up",2724675000,-2505736000,218939000,-81897000,-81897000,137042000,-32501000,-30222000,-2636000,357000,104541000,104541000,-20416000,84125000,84125000,-114000,84011000,84011000,378518000,378518000,564055000,1166002000,177655000,124265000,21227000,2286230000,2195706000,1890991000,569870000,346315000,4086697000,6372927000,1304281000,818482000,485799000,27637000,1357730000,2556016000,314681000,77750000,2870697000,4228427000,1949622000,505899000,-88926000,2134601000,9899000,2144500000,6372927000,84125000,67182000,-2085000,-28853000,120369000,-87402000,-87402000,3917000,3917000,36884000,36884000,429000,37313000,204224000,2583653000,108385000,0.08035,0.0503,0.03083,0.03918,0.01318,1.29013,1.68386,1.97175,0.40541,0.33717,0.33664,10.93514,8.56695,0.43499,0.01666,0.02149,10.79763,16.09094
"36","2019_Q3",29.04640625,"Up",2843085000,-2475221000,367864000,-88314000,-88314000,279550000,-33923000,-30150000,-2260000,-1513000,245627000,245627000,-75547000,170080000,170080000,-12000,170068000,170068000,538227000,538227000,582296000,1186655000,170164000,113409000,34336000,2477342000,2210212000,1840364000,552922000,333252000,4050576000,6527918000,1339331000,816126000,523205000,30282000,1392629000,2527508000,334517000,99030000,2862025000,4254654000,1952957000,675967000,-130679000,2263353000,9911000,2273264000,6527918000,170080000,71348000,6741000,34826000,282995000,-88467000,-88467000,-18481000,-21379000,173149000,173149000,-434000,172715000,350898000,2557790000,372804000,0.12939,0.09833,0.05982,0.07481,0.02605,2.19209,1.7789,1.87161,0.39182,0.68191,0.68123,11.39974,9.07523,1.49481,0.03292,0.07217,5.75541,7.22434
"37","2019_Q4",31.1059375,"Up",2777970000,-2495774000,282196000,-94012000,-94012000,188184000,-31723000,-27331000,-3027000,-1365000,156461000,156461000,-46365000,110096000,110096000,-331000,109765000,109765000,598054000,598054000,602038000,1261362000,152064000,107398000,28523000,2613518000,2211124000,1778491000,533733000,315706000,3989615000,6603133000,1371366000,846200000,525166000,26636000,1437745000,2510889000,324395000,89038000,2835284000,4273029000,1955062000,785732000,-186040000,2319862000,10242000,2330104000,6603133000,110096000,71851000,572000,-50379000,132140000,-67688000,-67688000,-10251000,-10251000,54201000,54201000,-803000,53398000,260035000,2537525000,188333000,0.10158,0.06774,0.03951,0.04711,0.01662,1.71578,1.81779,1.83384,0.38429,0.44,0.4395,11.13567,9.29931,0.75494,0.02114,0.03627,7.4585,10.30625
"38","2020_Q1",24.3941935483871,"Down",3063489000,-2862094000,201395000,-115687000,-115687000,85708000,-31756000,-30650000,1006000,-2112000,53952000,110916000,-18681000,92235000,92235000,-155000,92080000,92080000,260568000,260568000,741281000,1383535000,212852000,131695000,20953000,2598236000,2592061000,1912067000,596053000,337838000,4504128000,7102364000,1579993000,993780000,586213000,26392000,1648155000,2511411000,406738000,104831000,2918149000,4566304000,1957872000,877812000,-75129000,2525663000,10397000,2536060000,7102364000,92235000,76849000,-20292000,-17775000,131017000,-88810000,-473504000,-6288000,-6813000,-349300000,-349300000,4873000,-344427000,162557000,2537803000,74653000,0.06574,0.02798,0.03006,0.03631,0.01296,0.810740000000002,1.57645,1.80055,0.35732,0.36895,0.3685,12.27497,10.11998,0.29912,0.0168,0.01362,14.00884,26.56969
"39","2020_Q2",19.4934920634921,"Down",3074928000,-2897829000,177099000,-92713000,-92713000,84386000,21575000,-30998000,18385000,34188000,105961000,105961000,-38512000,67449000,67449000,-181000,67268000,67268000,511183000,511183000,754246000,1362358000,232392000,152920000,25977000,2860179000,2562794000,1829009000,568183000,321117000,4391803000,7251982000,1458121000,915663000,542458000,25877000,1516082000,2840767000,418642000,109171000,3259409000,4775491000,1958548000,945080000,-174917000,2465913000,10578000,2476491000,7251982000,67449000,79773000,20518000,-146676000,21064000,-76536000,-78276000,343151000,315245000,258033000,258033000,-2193000,255840000,164159000,2866644000,-20541000,0.05759,0.02744,0.02188,0.02716,0.00928,-0.30536,1.88656,1.92833,0.39529,0.26978,0.26948,12.33192,9.88948,-0.08238,0.01167,-0.00357,14.34866,27.91294
"40","2020_Q3",15.97046875,"Down",2824023000,-2704164000,119859000,-92570000,-92570000,27289000,-36645000,-31165000,-5525000,44999.9999999925,-9355999.99999999,-9355999.99999999,2956000,-6400000,-6400000,364000,-6036000,-6036000,507442000,507442000,694845000,1347141000,253558000,151532000,28140000,2802986000,2548555000,1805040000,558491000,312424000,4353595000,7156581000,1420374000,884423000,535951000,25566000,1485365000,2829780000,467037000,156699000,3296817000,4782182000,1961339000,939044000,-223427000,2364185000,10214000,2374399000,7156581000,-6400000,84603000,11240000,30219000,119662000,-61745000,-64221000,-6709000.00000012,-56681999.9999999,-1240999.99999988,-1240999.99999988,-703000,-1943999.99999994,111892000,2855346000,77410000,0.04244,0.00966,-0.00214,-0.00254,-0.00084,-12.82472,1.88707,2.01406,0.39898,-0.02447,-0.0244400000000001,11.4478,9.58374,0.3138,-0.00106,0.01359,20.98366,86.03848
"41","2020_Q4",18.10390625,"Up",3075121000,-2761279000,313842000,-219554000,-219554000,94288000,-38253000,-28801000,-9092000,-360000,56035000,56035000,-22344000,33691000,33691000,-245000,33446000,33446000,768031000,768031000,706123000,1328704000,255015000,159643000,17721000,3057873000,2585818000,1825808000,566696000,299899000,4411626000,7469499000,1612742000,915661000,697081000,25485000,1695448000,2826592000,516147000,177096000,3342739000,5038187000,1956581000,972490000,-165520000,2420853000,10459000,2431312000,7469499000,33691000,84265000,4595000,245058000,367609000,-82607000,-82607000,-6509000,-36436000,248566000,248566000,2097000,250663000,178553000,2852077000,363348000,0.10206,0.03066,0.01088,0.01376,0.00448,10.86372,1.80358,2.07221,0.38183,0.13697,0.13703,12.59336,9.91397,1.488,0.00577,0.06265,11.67186,22.10298
"42","2021_Q1",22.1544262295082,"Up",3117829000,-2890433000,227396000,-187773000,-187773000,39623000,-26569000,-27849000,-4528000,5808000,13054000,9184999.99999997,-8854999.99999999,329999.99999997,329999.99999997,-251000,79000.0000000149,79000.0000000149,547624000,547624000,741992000,1358793000,254302000,183039000,1866000,2902711000,2657491000,1914295000,589913000,313666000,4571786000,7474497000,1846207000,1028710000,817497000,25455000,1937580000,2255546000,706024000,366193000,2961570000,4899150000,1956946000,972569000,-20620000,2563761000,11586000,2575347000,7474497000,329999.99999997,88463000,-3744000,130863000,215912000,-101898000,-101898000,-356399000,-358835000,-244821000,-244821000,8091000,-236730000,128086000,2281001000,165906000,0.07293,0.01271,3.00000000000005e-05,3e-05,1e-05,2100.07595,1.49811,1.90233,0.30517,0.000319999999999931,0.000319999999999931,12.80128,10.52637,0.68118,1e-05,0.02983,13.53292,43.74674
"43","2021_Q2",23.8119047619048,"Up",3273425000,-3012182000,261243000,-102779000,-102779000,158464000,-22638000,-27968000,-2514000,7844000,135826000,135826000,-35358000,100468000,100468000,-260000,100208000,100208000,367015000,367015000,800838000,1439915000,268222000,164744000,44452000,2875990000,2682369000,1922402000,592182000,305539000,4604771000,7480761000,1650768000,1025249000,625519000,25457000,1711559000,2558581000,474865000,114850000,3033446000,4745005000,1958988000,1072777000,37279000,2723910000,11846000,2735756000,7480761000,100468000,86532000,13419000,-343970000,-143551000,-89093000,-89093000,92990000,92990000,-139654000,-139654000,1488000,-138166000,244996000,2584038000,-152709000,0.07981,0.04841,0.03061,0.03663,0.0134,-1.52392,1.68033,1.73444,0.34542,0.4114,0.41093,13.43881,11.18281,-0.62694,0.01729,-0.02635,9.04922,13.9907
"44","2021_Q3",25.0671875,"Up",3637698000,-3257457000,380241000,-503372000,-503372000,-123131000,-53184000,-49809000,-4145000,770000,-176315000,-176315000,9811999.99999999,-166503000,-166503000,-184000,-166687000,-166687000,391805000,391805000,866476000,1530014000,341005000,190574000,99080000,3129300000,2677387000,1942158000,589536000,322228000,4619545000,7748845000,2182986000,1092164000,1090822000,25453000,2244714000,2491643000,417976000,99817000,2909619000,5154333000,1962172000,906090000,59354000,2582482000,12030000,2594512000,7748845000,-166503000,95728000,-19084000,348362000,258503000,-73266000,-73266000,-97181000.0000001,-105831000,79406000,79406000,371000,79777000,-27403000,2517096000,237881000,0.10453,-0.03385,-0.04582,-0.06425,-0.02151,-1.42710999999977,1.39408,1.98663,0.32483,-0.68432,-0.68354,14.9343,10.60219,0.9766,-0.03014,0.04302,-77.55687,-17.26041
"45","2021_Q4",28.45484375,"Up",3827566000,-3455723000,371843000,-251066000,-251066000,120777000,-29557000,-28589000,-2359000,1391000,91220000,91220000,-30385000,60835000,60835000,-110000,60725000,60725000,511084000,511084000,889586000,1556821000,284216000,177156000,55441000,3241707000,2848469000,2742667000,1028664000,326666000,5591136000,8832843000,2230480000,1176866000,1053614000,19885000,2270929000,3418937000,526594000,108164000,3945531000,6216460000,1965364000,966815000,17198000,2604243000,12140000,2616383000,8832843000,60835000,92076000,13383000,46249000,212543000,-95565000,-1049512000,928030000,914387000,77418000,77418000,-2240000,75178000,212853000,3438822000,193922000,0.09715,0.03155,0.01587,0.02321,0.00687000000000001,3.19345,1.42748,2.37597,0.38932,0.2492,0.24867,15.70767,10.68736,0.79582,0.00923,0.02946,13.75474,24.24086
"46","2022_Q1",25.9508064516129,"Down",4038769000,-3686269000,352500000,-291644000,-291644000,60856000,-13395000,-33370000,18400000,1575000,47461000,41659000,-5191000.00000001,36468000,36468000,286000,36754000,36754000,427661000,427661000,1013437000,1575658000,289198000,237565000,23805000,3305954000,2917806000,2689445000,963243000,383636000,5607251000,8913205000,2342256000,1378077000,882202000,26246000,2390823000,3191161000,742287000,373102000,3933448000,6324271000,1966642000,1003569000,-47997000,2577080000,11854000,2588934000,8913205000,36468000,106488000,-52831000,-91161000.0000001,-1036000,-99023000,-111842000,-21878000.0000002,-234999.999999762,-113113000,-113113000,-1961000,-115074000,167344000,3217407000,-17649000,0.08728,0.01507,0.0091,0.0142,0.00412,-0.480189999999992,1.38277,2.44281,0.36097,0.15083,0.15051,16.57441,10.57589,-0.0724299999999999,0.00561,-0.0027,16.67073,45.84176
"47","2022_Q2",29.4090322580645,"Up",4240395000,-3698415000,541980000,-139967000,-139967000,402013000,-46234000,-35022000,-11536000,324000,355779000,355779000,-75219000,280560000,280560000,-122000,280438000,280438000,725540000,725540000,1071102000,1708995000,287188000,241444000,31337000,3792825000,2890016000,2635026000,938564000,371171000,5525042000,9317867000,2418091000,1440802000,977289000,36162000,2475775000,3377893000,670593000,326101000,4048486000,6524261000,1968682000,1284007000,-98902000,2781630000,11976000,2793606000,9317867000,280560000,102142000,-16382000,-139324000,226996000,-80729000,-85576000,194451000,166330000,307750000,307750000,-2073000,305677000,504155000,3414055000,359321000,0.12781,0.09481,0.06613,0.10039,0.0301,1.28128,1.53197,2.33543,0.3664,1.15086,1.14773,17.40178,11.41528,1.47459,0.04077,0.05224,5.33272,6.68763
"48","2022_Q3",28.90234375,"Down",4631648000,-3954877000,676771000,-163867000,-163867000,512904000,-38172000,-37102000,-2758000,1688000,474732000,474732000,-112711000,362021000,362021000,95000,362116000,362116000,682126000,682126000,1184225000,1840462000,292406000,217537000,42194000,3999219000,2853886000,2469827000,874248000,347023000,5323713000,9322932000,2416513000,1481640000,934873000,26260000,2470961000,3371373000,608514000,292531000,3979887000,6450848000,1971178000,1646123000,-291975000,2860203000,11881000,2872084000,9322932000,362021000,99854000,-8402000,-259250000,194223000,-113114000,-113114000,-15369000,-110289000,-29180000,-29180000,-3994000,-33174000,612758000,3397633000,353105000,0.14612,0.11074,0.07818,0.12608,0.03884,0.975119999999999,1.61849,2.24605,0.36444,1.50652,1.50272,19.26915,11.89937,1.46903,0.05265,0.05134,4.43161,5.29438
