"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"30","2019_Q4",131.2865625,"Up",626336000,-107819000,518517000,-566002000,-407115000,-319023000,-88092000,-158887000,-47485000,-12009000,-11794000,-215000,-59494000,-59494000,1855000,-57639000,-57639000,-57639000,-57639000,1821822000,873470000,638050000,638050000,187768000,103238000,2647640000,125626000,2229598000,702145000,2422157000,5069797000,446771000,28026000,418745000,689877000,689877000,1136648000,413081000,165723000,247358000,2107032000,3243680000,3368021000,-1538743000,-3161000,1826117000,1826117000,5069797000,-57639000,18938000,179403000,-275565000,-134863000,-27090000,-617472000,68000,68000,-46467000,-46399000,-798734000,-798734000,-798535000,-28547000,1693951000,-333057000,0.82786,-0.07581,-0.09203,-0.03156,-0.01137,5.77833,2.32934,1.77627,0.33413,-0.37788,-0.37788,4.10629,11.9721,-2.18354,-0.01465,-0.08468,4.47931,2.69287
"31","2020_Q1",147.12935483871,"Up",791182000,-127838000,663344000,-671113000,-473600000,-367116000,-106484000,-197513000,-7769000,-16952000,-15953000,-999000,-24721000,-24721000,1993000,-22728000,-22728000,-22728000,-22728000,1755161000,778653000,838743000,838743000,228911000,129839000,2822815000,156928000,1955424000,424169000,2616656000,5439471000,482919000,18938000,463981000,829377000,829377000,1312296000,413116000,176832000,236284000,2127746000,3440042000,3566212000,-1561471000,-5312000,1999429000,1999429000,5439471000,-22728000,21582000,204805000,-262490000,-58831000,-47595000,-64697000,28820000,28820000,0,28820000,-94708000,-94708000,-94817000,13813000,1714630000,-298265000,0.83842,-0.00982,-0.02873,-0.01137,-0.00418,13.12324,2.15105,1.72051,0.31522,-0.14586,-0.14586,5.07757,12.83174,-1.91418,-0.00551,-0.07227,-2.93426,5.21702
"32","2020_Q2",158.17,"Up",434077000,-128617000,305460000,-594072000,-401948000,-319224000,-82724000,-192124000,-288612000,-18636000,-17962000,-674000,-307248000,-307248000,1669000,-305579000,-305579000,-305579000,-305579000,1756574000,922507000,645151000,645151000,227456000,127443000,2629181000,168221000,2074297000,557773000,2595087000,5224268000,3.91e+08,24874000,366126000,769044000,769044000,1160044000,519123000,153141000,365982000,2254169000,3414213000,3679053000,-1867050000,-1948000,1810055000,1810055000,5224268000,-305579000,20494000,215555000,115574000,46044000,-14756000,147009000,1418000,1418000,-49228000,-47810000,145243000,145243000,143854000,-268118000,1735046000,-168969000,0.7037,-0.66489,-0.70397,-0.16882,-0.05849,0.552949999999997,2.26645,1.88625,0.33211,-1.93977,-1.93977,2.75545,11.48993,-1.07259,-0.07519,-0.04157,0.0802900000000011,0.0745899999999997
"33","2020_Q3",199.28953125,"Up",491658000,-132052000,359606000,-599065000,-401768000,-323687000,-78081000,-197297000,-239459000,-20650000,-26567000,5917000,-260109000,-260109000,-1213000,-261322000,-261322000,-261322000,-261322000,2056668000,1467895000,793081000,793081000,230645000,118047000,3080394000,183829000,2034281000,532317000,2566098000,5646492000,473073000,40804000,432269000,760594000,760594000,1233667000,494948000,143308000,351640000,2743344000,3977011000,3802583000,-2128372000,-4730000,1669481000,1669481000,5646492000,-261322000,22191000,190045000,-120990000,-170076000,-11060000,227746000,45467000,45467000,-137379000,485703000,543373000,543373000,545388000,-217268000,2248396000,-348105000,0.73141,-0.48704,-0.53151,-0.15653,-0.04628,1.33209,2.49694,2.38218,0.39819,-1.64407,-1.64407,3.0932,10.50332,-2.19006,-0.05922,-0.07888,-0.88245,-0.80067
"34","2020_Q4",191.248125,"Down",558572000,-136780000,421792000,-587309000,-397087000,-323146000,-73941000,-190222000,-165517000,-32300000,-31590000,-709999.999999998,-197817000,-197817000,-3714000,-201531000,-201531000,-201531000,-201531000,1993672000,1652263000,799960000,799960000,261615000,140853000,3055247000,185606000,2335614000,835331000,2539448000,5594695000,493400000,16479000,476921000,763646000,763646000,1257046000,453024000,110504000,342520000,2728337000,3985383000,3943840000,-2329903000,-4625000,1609312000,1609312000,5594695000,-201531000,24584000,202517000,-68633999.9999999,-43064000,-2491000,227201000,413000.000000007,412999.999999993,-7000,405999.99999994,184543000,184543000,184368000,-140933000,2275313000,-208344000,0.75513,-0.29632,-0.3608,-0.12523,-0.03602,1.03381,2.4305,2.47645,0.40669,-1.25555,-1.25555,3.47994,10.02612,-1.298,-0.04646,-0.04803,-1.9984,-1.70158
"35","2021_Q1",155.963278688525,"Down",745078000,-149896000,595182000,-681780000,-470397000,-369999000,-100398000,-211383000,-86598000,-49276000,-33107000,-16169000,-135874000,-135874000,-3674000,-139548000,-139548000,-139548000,-139548000,1858911000,1771064000,1114199000,1114199000,299270000,162939000,3272380000,182780000,2052396000,511355000,2596106000,5868486000,494264000,9319000,484945000,1030484000,1030484000,1524748000,447098000,110418000,336680000,2749733000,4274481000,4064048000,-2469451000,-592000,1594005000,1594005000,5868486000,-139548000,26397000,249207000,-159822000,-23766000,-8800000,195234000,36124000,36124000,-91541000,-55417000,116051000,116051000,118801000,-60201000,2302635000,-225149000,0.79882,-0.11623,-0.18729,-0.08755,-0.02378,1.61342,2.14618,2.6816,0.39237,-0.8615,-0.8615,4.59976,9.84063,-1.38996,-0.03213,-0.05183,-7.37071,-5.12395
"36","2021_Q2",127.319841269841,"Down",502051000,-171906000,330145000,-765492000,-518294000,-356108000,-162186000,-247198000,-435347000,-34434000,-33211000,-1223000,-469781000,-469781000,-1220000,-471001000,-471001000,-471001000,-471001000,1865394000,1845198000,775942000,775942000,376861000,262146000,3018197000,138958000,1935994000,409792000,2279668000,5297865000,474239000,48849000,425390000,923914000,923914000,1398153000,324288000,86188000,238100000,2653481000,4051634000,4187431000,-2940452000,-748000,1246231000,1246231000,5297865000,-471001000,25796000,304870000,210995000,70660000,-852999.999999998,63751000,537999.999999993,538000,-60815000,-60277000,74134000,74134000,74134000,-409551000,2329193000,-198189000,0.65759,-0.86714,-0.93815,-0.37794,-0.0889,0.42078,2.1587,3.25111,0.43965,-2.94847,-2.94847,3.14285,7.80143,-1.24067,-0.12078,-0.05082,-1.13246,-1.06535
"37","2021_Q3",145.5228125,"Up",605743000,-183407000,422336000,-766766000,-507057000,-382129000,-124928000,-259709000,-344430000,-37360000,-38506000,1146000,-381790000,-381790000,-2161000,-383951000,-383951000,-383951000,-383951000,2498200000,2231165000,882436000,882436000,272035000,171261000,3652671000,132841000,2029293000,434761000,2393653000,6046324000,588939000,45789000,543150000,954070000,954070000,1543009000,314187000,80539000,233648000,3368650000,4911659000,4689447000,-3324403000,-864000,1134665000,1134665000,6046324000,-383951000,24829000,271360000,31842000,-55920000,-3510000,-356570000,-143326000,48882000,-40966000,798457000,385967000,385967000,385967000,-319601000,3054463000,-289108000,0.69722,-0.56861,-0.63385,-0.33838,-0.0635,0.75298,2.36724,4.32873,0.50518,-2.34667,-2.34667,3.70225,6.93497,-1.767,-0.08526,-0.0642,-1.74049,-1.61502
"38","2021_Q4",139.66734375,"Down",664751000,-188290000,476461000,-764827000,-499682000,-398552992.173469,-97228025.8688764,-265145000,-288366000,-49424000,-49835000,411000,-337790000,-337790000,-5532000,-343322000,-343322000,-343322000,-343322000,1609609000,1304381000,866914000,866914000,241221000,145111000,2717744000,128974000,2029221000,448775000,2371198000,5088942000,580733000,35617000,545116000,943963000,943963000,1524696000,290696000,69658000,221038000,3386538000,4911234000,4846370000,-3667725000,-937000,177708000,177708000,5088942000,-343322000,2.4e+07,275512000,24429000,-19381000,-5467000,-51985000,-807100000,692000.000000015,-47779000,-855418000,-926784000,-926784000,-926784000,-264366000,3095842000,-239872000,0.71675,-0.4338,-0.51647,-1.93194,-0.06746,0.69868,1.78248,27.63654,0.60835,-2.09835,-2.09835,4.0629,1.08614,-1.46608,-0.09632,-0.0673,-5.62188,-5.15398
"39","2022_Q1",122.458870967742,"Down",901119000,-190366000,710753000,-789439000,-531917000,-396816576.837662,-100451971.007467,-257522000,-78686000,-52736000,-50463000,-2273000,-131422000,-131422000,-9401000,-140823000,-140823000,-140823000,-140823000,1715028000,1428691000,1306666000,1306666000,255193000,152871000,3276887000,124900000,2099968000,533571000,2513988000,5790875000,714137000,59206000,654931000,1384605000,1384605000,2098742000,331631000,86584000,245047000,3469362000,5568104000,5032518000,-3808548000,-1199000,222771000,222771000,5790875000,-140823000,24520000,287035000,-38043000,132689000,-841000,11052000,32256000,32256000,-51397000,-19431000,124310000,124310000,124310000,-54166000,3137731000,-83649000,0.78874,-0.08732,-0.15628,-0.63214,-0.02432,0.594,1.56136,24.99474,0.54184,-0.87903,-0.87903,5.62489,1.39056,-0.52215,-0.03814,-0.02266,-26.26561,-18.08076
"40","2022_Q2",109.997258064516,"Down",674081000,-202156000,471925000,-763612000,-507921000,-395213000,-112708000,-255691000,-291687000,-9281000,-9291000,10000,-300968000,-300968000,-3354000,-304322000,-304322000,-304322000,-304322000,1447898000,814010000,725652000,725652000,279892000,176364000,2453442000,123296000,2069548000,517199000,2756535000,5209977000,466600000,19719000,446881000,1223053000,1223053000,1689653000,316019000,82657000,233362000,4182198000,5871851000,4155234000,-3813195000,-3913000,-661874000,-661874000,5209977000,-304322000,23321000,239877000,184471000,143347000,-3192000,-692584000,950000,950000,-66394000,-65443999.9999999,-614681000,-614681000,-614681000,-268366000,3866179000,-83733000,0.7001,-0.43272,-0.45146,0.45979,-0.05841,0.27515,1.45204,-8.87155,0.74207,-1.89799,-1.89799,4.2041,-4.12797,-0.52222,-0.08645,-0.02379,-9.01113,-8.29067
"41","2022_Q3",98.04421875,"Down",798753000,-206791000,591962000,-782060000,-525003000,-410622000,-114381000,-257057000,-190098000,-11671000,-8058000,-3613000,-201769000,-201769000,-7943000,-209712000,-209712000,-209712000,-209712000,1743393000,747883000,820115000,820115000,266945000,157458000,2830453000,122189000,2030720000,492420000,2379103000,5209556000,577172000,82835000,494337000,1155928000,1155928000,1733100000,290280000,62454000,227826000,4160430000,5893530000,4346673000,-4022907000,-7740000,-683974000,-683974000,5209556000,-209712000,24631000,228112000,-61659000,-18628000,-3458000,-38057000,48778000,48778000,-58220000,-9442000,-66127000,-66127000,-66127000,-165467000,3870150000,-222641000,0.74111,-0.23799,-0.26255,0.30661,-0.04026,1.06165,1.63317,-8.6166,0.74289,-1.29622,-1.29622,4.93707,-4.22762,-1.37614,-0.06032,-0.06404,-12.85306,-11.18769
