"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accrued_taxes","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebit"
"32","2018_Q1",8.17524590163934,"Down",435654000,-299113000,136541000,-89497000,-89497000,47044000,-31911000,-37539000,2058000,3570000,15133000,3719000,18852000,24099000,42951000,42951000,42724000,42724000,301353000,301353000,29481000,29481000,89790000,193085000,181868000,613709000,109468000,188131000,416970000,267708000,81291000,40274000,714569000,1328278000,1052000,1e+05,33820000,169767000,169767000,204639000,1194244000,261155000,62242000,58801000,140112000,1455399000,1660038000,13437000,-414785000,-12571000,-413919000,-331760000,1328278000,-74857000,-4610000,-6150000,16034000,5274000,-53063000,24900000,-2614000,-30777000,-100360000,-100360000,-100360000,1228064000,0.31342,0.10798,0.09807,-0.12878,0.03216,2.99898,-5.00373,0.92455,0.29212,0.29094,2.97871,-2.8301,0.36281,0.08276,1.242,19.69881
"33","2018_Q2",7.85765625,"Down",428966000,-294275000,134691000,-89076000,-89076000,45615000,-43734000,-45947000,1162000,1051000,1881000,3731000,5612000,-1948000,3664000,3664000,7211000,7211000,281986000,281986000,23321000,23321000,91185000,175192000,171616000,571684000,109706000,181011000,436721000,267286000,87608000,53750000,727438000,1299122000,1054000,102000,196464000,206819000,206819000,404337000,1045433000,243571000,62392000,48421000,132758000,1289004000,1693341000,13437000,-459996000,-18357000,-464916000,-394219000,1299122000,40714000,-3987000,6196000,-322000,1887000,-57187000,-7048000,0,-64235000,-21634000,-21634000,-21634000,1241897000,0.31399,0.10634,0.01681,-0.01829,0.00555,1.41388,-4.29543,0.95595,0.04931,0.04919,2.93304,-3.17885,0.39101,0.05901,7.93052,21.04376
"34","2018_Q3",6.93730158730159,"Down",481488000,-332766000,148722000,-86336000,-86336000,62386000,-41946000,-48421000,4813000,1662000,20440000,11316000,31756000,-12760000,18996000,18996000,17818000,17818000,322414000,322414000,30836000,30836000,86176000,189586000,180460000,629012000,110614000,151364000,442921000,267455000,93536000,53472000,704899000,1333911000,1089000,137000,214641000,248377000,248377000,464107000,1053023000,245500000,62526000,56637000,126337000,1298523000,1762630000,13440000,-495637000,-18038000,-500235000,-428719000,1333911000,81712000,-4629000,-5434000,22598000,12132000,-55275000,2493999.99999999,-359000,-53140000,40704000,40704000,40704000,1267664000,0.30888,0.12957,0.03701,-0.04156,0.01336,1.35532,-4.11139,0.95034,0.12182,0.12153,3.29185,-3.42001,0.37791,0.0674,3.1022,15.15164
"35","2018_Q4",5.53031746031746,"Down",513869000,-360302000,153567000,-87549000,-87549000,66018000,-45806000,-51084000,3230000,2048000,20212000,9502000,29714000,-14686000,15028000,15028000,12002000,12002000,363719000,363719000,27918000,27918000,84293000,185738000,185738000,661668000,111523000,142988000,430695000,267033000,76452000,58372000,685206000,1346874000,6031000,5079000,234756000,283309000,283309000,524096000,1058372000,236856000,62659000,51587000,122610000,1295228000,1819324000,14092000,-541202000,-17720000,-544830000,-472450000,1346874000,87382000,-3930000,8314000,8926000,13343000,-57109000,-532000,-2162000,-59803000,40922000,40922000,40922000,1293128000,0.29884,0.12847,0.02336,-0.0254,0.00891,1.26249,-3.85083,0.9601,0.08195,0.08193,3.50857,-3.71996,0.38993,0.06535,4.75829,14.07812
"36","2019_Q1",5.07049180327869,"Down",445939000,-305141000,140798000,-92552000,-92552000,48246000,-68373000,-58328000,-6047000,-3998000,-20127000,32604000,12477000,7842000,20319000,20319000,21074000,21074000,584581000,584581000,34246000,34246000,90997000,162397000,162397000,872221000,112956000,126613790.719328,564327000,266611000,207364000,90352000,677283000,1549504000,5252000,5252000,256134000,223534000,223534000,484920000,1386697000,225253000,61288000,37411000,126554000,1611950000,2096870000,14092000,-542169000,-19982000,-548059000,-547366000,1549504000,-27974000,-5127000,20509000,10099000,16101000,-55796000,297869000,-9400000,232673000,220800000,220800000,220800000,1642831000,0.31573,0.10819,0.04726,-0.0385,0.0136,1.79869,-3.83084,1.06023,0.14388,0.14412,3.04462,-3.74183,0.38094,0.0582,2.64762,21.93446
"37","2019_Q2",4.72174603174603,"Down",420924000,-286020000,134904000,-92314000,-92314000,42590000,-28718000,-37520000,1362000,7440000,13872000,7910000,21782000,-6749000,15033000,15033000,14953000,14953000,312638000,312638000,36440000,36440000,101977000,176306000,176306000,627361000,112418000,100097899.348568,689377000,266065000,205161000,193972000,801795000,1429156000,10576000,9701000,41080000,250961000,250961000,302617000,1387945000,328695000,61684000,39823000,227188000,1716640000,2019257000,14090000,-580581000,-24098000,-590589000,-590101000,1429156000,19726000,-3825000,-1939000,18000,-6414000,-60459000,-223486000,-285000,-284230000,-270918000,-270918000,-270918000,1429025000,0.32049,0.10118,0.03552,-0.02534,0.01046,2.07312,-3.42188,0.99991,0.10209,0.10009,2.87382,-4.0322,0.41278,0.06459,4.04327,26.21242
"38","2019_Q3",5.63515625,"Up",538432000,-368174000,170258000,-93359000,-93359000,76899000,-29657000,-32753000,-1362000,4458000,47242000,9524000,56766000,-17459000,39307000,39307000,39307000,39307000,323861000,323861000,44347000,44347000,96934000,173351000,173351000,638493000,111474000,76008808.3035233,705193000,266082000,208580000,230531000,816667000,1455160000,8345000,8345000,250659000,299063000,299063000,558067000,1180151000,323638000,62101000,41465000,220072000,1503789000,2061856000,14095000,-597786000,-23493000,-607184000,-606696000,1455160000,78376000,-2487000,-1339000,1153000,-2673000,-58289000,-4788000,-33000,-63110000,12593000,12593000,12593000,1430810000,0.31621,0.14282,0.073,-0.06479,0.02701,1.14412,-3.3985,0.98327,0.26828,0.26829,3.67499,-4.14425,0.39784,0.08503,1.48292,14.39484
"39","2019_Q4",6.64171875,"Up",504790000,-345456000,159334000,-92374000,-92374000,66960000,-31208000,-32963000,-791000,2546000,35752000,13992000,49744000,-13736000,36008000,36008000,36008000,36008000,319298000,319298000,42653000,42653000,99179000,173238000,173238000,634368000,111941000,66915000,673460000,266034000,159569000,247857000,852316000,1486684000,29427000,29427000,239867000,337548000,337548000,606842000,1178241000,330274000,62560000,34378000,233336000,1508515000,2115357000,14779000,-620791000,-23149000,-629161000,-628673000,1486684000,97247000,-3829000,-12914000,-6618000,-23016000,-60701000,-19467000,-49000.0000000009,-80217000,-5986000,-5986000,-5986000,1418108000,0.31564,0.13265,0.07133,-0.05728,0.02422,1.04536,-3.3648,0.95387,0.24544,0.24545,3.44082,-4.28858,0.41376,0.08637,1.68576,16.40995
"40","2020_Q1",6.88887096774194,"Up",-344543000,224765000,-119778000,168934000,168934000,49156000,-42141000,-34307000,-9969000,2135000,7015000,-10292000,-3277000.00000001,6859000,3582000,10667000,10706000,10706000,500982000,371341000,36959000,36959000,98762000,44911000,44911000,681614000,110477000,61723000,651275000,265993000,131556000,253726000,823475000,1505089000,5138000,5138000,209269000,246726000,246726000,461133000,1397216000,331756000,67853000,33695000,230208000,1728972000,2190105000,14808000,-678464000,-21808000,-685464000,-685016000,1505089000,-71278000,-2417000,19280000,44727000,9004000,-58800000,188484000,-15352000,114332000,52058000,52058000,52058000,1606485000,0.34764,-0.14267,-0.03107,-0.01563,0.00711,1.47813,-3.19716,1.06737,0.07291,0.0729,-2.3463,-4.66793,0.40042,0.05546,5.49225,22.48969
"41","2020_Q2",6.07333333333333,"Down",454488000,-310623000,143865000,-90517000,-90517000,53348000,-2635000,-35627000,43647000,-10655000,50713000,-54922000,-4209000,978000,-3231000,-3231000,-3231000,-3231000,467264000,467264000,39453000,39453000,105324000,141826000,141826000,753867000,108980000,47129000,584845000,207699000,124867000,252279000,740954000,1494821000,21992000,21992000,203537000,289792000,289792000,515321000,1395617000,302882000,60711000,16400000,225771000,1698499000,2213820000,14808000,-712221000,-21586000,-718999000,-718999000,1494821000,115309000,-4888000,30998000,531000,25968000,-32074000,-13055000,-447999.999999996,-45577000,95700000,95700000,95700000,1599154000,0.31654,0.11738,-0.00711,0.00449,-0.00216,1.46291,-3.07903,1.0698,-0.02198,-0.02197,3.09175,-4.89115,0.21819,0.02438,-9.92696,21.2171
"42","2020_Q3",5.51296875,"Down",445760000,-304885000,140875000,-71064000,-71064000,69811000,-31776000,-29358000,-10053000,7635000,38035000,-1345000,36690000,-10916000,25774000,25774000,25774000,25774000,540363000,540363000,32760000,32760000,98609000,127006000,127006000,798738000,106493000,148609000,477907000,207659000,45887992.5537206,270248000,733009000,1531747000,36831000,36831000,8853000,452427000,452427000,498111000,1398194000,304646000,61025000,12438000,231183000,1702840000,2200951000,15348000,-663723000,-20829000,-669204000,-669204000,1531747000,226020000,-1354000,21848000,3297999.99999999,20607000,-31404000,-193833000,5000,-172669000,73958000,73958000,73958000,1407047000,0.31603,0.15661,0.05782,-0.03851,0.01683,1.60353,-3.28891,0.91859,0.17254,0.17244,2.98408,-4.4799,0.21023,0.05485,1.21844,12.41472
"43","2020_Q4",6.45953125,"Up",547831000,-374575000,173256000,-77019000,-77019000,96237000,-39955000,-28163000,-6696000,-5096000,56282000,-320000,55962000,-17823000,38139000,38139000,38139000,38139000,451071000,451071000,43999000,43999000,94548000,162805000,162805000,752423000,85853000,31619000,573083000,207618000,102458000,263007000,690555000,1442978000,19113000,19113000,10684000,361985000,361985000,391782000,1395964000,317351000,61341000,28509000,227501000,1713315000,2105097000,15329000,-656781000,-20667000,-662119000,-662119000,1442978000,-22669000,-2582000,-31851000,6737000,-30077000,-34303000,-1324000,-4999.99999999953,-35632000,-88378000,-88378000,-88378000,1406648000,0.31626,0.17567,0.06962,-0.0576,0.02643,1.92051,-3.17933,0.97482,0.25051,0.25063,3.59834,-4.34902,0.22531,0.06822,0.89942,9.92941
"44","2021_Q1",7.93885245901639,"Up",-219397000,170481000,-48916000,122002000,122002000,73086000,-44018000,-28130000,-15358000,-530000.000000002,29068000,63532000,92600000,-26360000,66240000,32256000,32256000,32256000,394006000,258421000,16334000,16334000,97545000,156018000,7653000,663903000,35285000,67922000,576299000,107511000,391017000,77771000,679506000,1343409000,5830000,5830000,57000,277428000,177779000,283315000,1380809000,338972000,66616000,18944000,253412000,1719781000,2003096000,15332000,-653945000,-21074000,-659687000,-659687000,1343409000,-51113000,-5077000,-5481000.00000001,8046000,-9156999.99999999,-30450000,-1729000,-2630000,-34809000,-95079000,-95079000,-95079000,1380866000,0.22296,-0.33312,-0.14702,-0.0489,0.02401,2.34334,-3.03643,1.02788,0.21188,0.21182,-1.44113,-4.33321,0.20001,0.05915,0.94401,13.50272
"45","2021_Q2",8.45238095238095,"Up",270988000,-164907000,106081000,-30101000,-30101000,75980000,-23849000,-28721000,2166000,2706000,52131000,-21367000,30764000,-9214000,21550000,31957000,31957000,31957000,531474000,382387000,45905000,45905000,100945000,46906000,46906000,725230000,75678000,156781000,445898000,207536000,411500090.535556,238362000,678357000,1403587000,16458000,16458000,12556000,303884000,303884000,332898000,1405399000,321789000,66722000,34854000,220213000,1727188000,2060086000,17992000,-653606000,-20885000,-656499000,-656499000,1403587000,78364000,-1931000,-15497000,7010000,-18505000,-32273000,21842000,-20021000,-30452000,29407000,29407000,29407000,1417955000,0.39146,0.28038,0.11793,-0.04868,0.02277,2.17854,-3.13799,1.01024,0.2099,0.20971,1.77989,-4.312,0.21197,0.05929,1.00989,11.66729
"46","2021_Q3",8.39328125,"Down",337554000,-1201231000,-863677000,-29770000,-29770000,-893447000,111678000,85514000,17551000,8613000,-781769000,42724000,-739045000,-27004000,-766049000,-815186750,-815186750,-815186750,647391000,490390000,51463000,51463000,93161000,46171000,46171000,838186000,72804000,141162000,444225000,207497000,223167308.544918,236728000,658191000,1496377000,13834000,13834000,12558000,339611000,339611000,366003000,1402827000,319592000,66829000,36602000,216161000,1722419000,2088422000,20464000,-591911000,-20598000,-592045000,-592045000,1496377000,142936000,-1124000,1977999.99999999,-7102000,1839000,-31465000,-3157999.99999999,-139000,-34762000,110013000,110013000,110013000,1415385000,0.425465002418074,0.526328598781468,0.192694433974234,-0.0536666149283742,0.0330001441409359,2.29011,-3.52747,0.94587,0.25179405822711,0.251597903581124,1.15212403618858,-4.68275046058282,0.226566211676475,0.0775264186281541,0.776988698023832,-27.2260021392129
"47","2021_Q4",9.381875,"Up",1317397000,55096000,1372493000,-221111000,-221111000,1151382000,-151652000,-141946000,-5750000,-3956000,999730000,-41826000,957904000,-39374000,918530000,957260750,957380750,957380750,678826000,523731000,46426000,46426000,89774000,42976000,42976000,858002000,77812000,67962000,532182000,214701000,74199000,243282000,677956000,1535958000,10291000,10291000,12583000,364842000,364842000,387716000,1400880000,320494000,66937000,37263000,216294000,1721374000,2109090000,19884000,-574594000,-20302000,-575012000,-573132000,1535958000,90037000,-8031000,-5649000,10713000,-19379000,-34665000,-3485000,1449000,-36701000,33957000,33957000,33957000,1413463000,0.318721637902411,0.27181010831548,0.0462424579836038,-0.0569415731362381,0.0468355462715047,2.21297,-3.67994,0.92025,0.295398400689979,0.295259120460715,-2.99374543151635,-5.22340927634969,0.228926927005885,0.100634084581553,0.684730807833347,-72.3181762704082
"48","2022_Q1",10.7364516129032,"Up",-705239000,541500000,-163739000,149564000,149564000,-14175000.0000002,-25293000,-27575000,-1042000,3324000,-39468000,-194000,-39662000,12785000,-26877000,45242000.0000002,45121999.9999998,45121999.9999998,340098000,193411000,16067000,16067000,94615000,21023000,10075000,471803000,36883000,62171000,300230000,107511000,105062000,87657000,399284000,871087000,7072982.93576653,7072978.80489914,79000,165211000,165211000,165290000,1398591000,148759000,68970000,34768000,45021000,1547350000,1712640000,26568000,-852398000,-15723000,-841553000,-841553000,871087000,-56118000,-2403000,9938000,91000,-25925000,-33395000,-3148000,-225619000,-262162000,-344205000,-344205000,-344205000,1398670000,0.23218,0.0201000000000008,-0.0639799999999999,-0.05362,0.0518,2.8544,-2.03509,1.60566,0.29581,0.29575,-4.62345,-5.51711,0.21893,0.11123,0.7401,-74.6788
"49","2022_Q2",11.8164516129032,"Up",312042000,-212815000,99227000,-24029000,-24029000,75198000,-30362000,-25098000,-4119000,-1145000,44836000,-72000,44764000,-12222000,32542000,32542000,32542000,32542000,371643000,238305000,29885000,29885000,97991000,8103000,8103000,507622000,36079000,58838000,310031000,107511000,111503000,91017000,404948000,912570000,3462000,3462000,76000,212412000,212412000,215950000,1399631000,137641000,69164000,31307000,37170000,1537272000,1753222000,27677000,-852863000,-15466000,-840652000,-840652000,912570000,74796000,-1222000,9870000,2545000,2705000,-31658000,-11000,-938000,-32607000,44894000,44894000,44894000,1399707000,0.31799,0.24099,0.10429,-0.03871,0.03566,2.35065,-2.08555,1.53381,0.20827,0.20827,1.99709,-5.38023,0.20261,0.09215,0.97284,13.67143
"50","2022_Q3",10.4412244897959,"Down",387202000,-1454535000,-1067333000,-25196000,-25196000,-1092529000,75055000,80920000,-2771000,-3094000,-1017474000,-57000,-1017531000,-14969000,-1032500000,-1032500000,-1032500000,-1032500000,446279000,323885000,29728000,29728000,93419000,12217000,7938000,581643000,36030000,45522000,331409000,107511000,108864000,115034000,412961000,994604000,211551.192700408,211563.585302568,51000,284699000,284699000,284750000,1400701000,140065000,69357000,33518000,37190000,1540766000,1825516000,18556000,-834297000,-15171000,-830912000,-830912000,994604000,136415000,-1689000,8713000,-10652000,4860000,-31669000,-8000,0,-31677000.0000001,109598000,109598000,109598000,1400752000,0.693100820160242,1.27033685354847,0.732583445978919,-0.00679159403230616,-0.0128471547937797,2.04264,-2.197,1.40835,-0.0114037705414556,-0.0114089879790804,21.4011993023361,-5.4455,0.20755,0.0271052516048533,1.50373475292859,236.90730079519
