"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","income_taxes_receivable","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"31","2017_Q4",26.518253968254,"Up",660780000,-488761000,172019000,-142741000,-131552000,-11189000,29278000,-219000,-1365000,29059000,29059000,-7838000,21221000,21221000,21221000,21221000,35055000,35055000,380473000,380473000,24868000,18923000,5945000,440396000,63079000,628875000,109963000,226771000,291104000,691954000,1132350000,146971000,67364000,79607000,77814000,77814000,248207000,228962000,228962000,340370000,588577000,1000,550652000,-6880000,543773000,543773000,1132350000,21221000,11189000,6334000,-22169000,16575000,-7166000,-13807000,-20973000,23637000,-13520000,321000,-83000,10034000,5636000,5636000,518000,6154000,40467000,134830000,18970000,0.26033,0.04431,0.03212,0.03903,0.01874,0.89393,1.77431,1.08239,0.11907,0.51701,0.51412,16.09852,13.24789,0.46216,0.02338,0.0209,2.46559,3.40785
"32","2018_Q1",27.3213114754098,"Up",669625000,-501880000,167745000,-144109000,-132644000,-11465000,23636000,-24000,-1601000,23612000,23612000,-7185000,16427000,16427000,16427000,16427000,28780000,28780000,374273000,374273000,25226000,20605000,4621000,428279000,60163000,620589000,104615000,226694000,285497000,680752000,1109031000,131985000,55091000,76894000,80434000,80434000,212419000,225276000,203410000,341765000,554184000,1000,561650000,-6804000,554847000,554847000,1109031000,16427000,11465000,-755000.000000001,-7785000,19352000,-5655000,-11450000,-17105000,-16075000,-6842000,467000,-171000,-23088000,-20841000,-20841000,-173000,-21014000,35101000,116489000,28846000,0.25051,0.0353,0.02453,0.02961,0.01481,1.75601,2.0162,0.99881,0.10504,0.40514,0.40366,16.51519,13.68438,0.71144,0.01832,0.03217,2.49876,3.71082
"33","2018_Q2",26.49375,"Down",554388000,-411120000,143268000,-135853000,-125763000,-10090000,7415000,2204000,-890000,9619000,9619000,-864000,8755000,8755000,8755000,8755000,26636000,26636000,322388000,322388000,29806000,22424000,7382000,378830000,57142000,617979000,99369000,224099000,292097000,675121000,1053951000,118199000,51296000,66903000,79554000,79554000,197753000,222641000,200183000,292262000,490015000,1000,573648000,-9713000,563936000,563936000,1053951000,8755000,10090000,6416000,19574000,44835000,-1911000,3118000,9707000,-46868000,395000,395000,-2086000,-48559000,5983000,5983000,-760000,5223000,17505000,69621000,36032000,0.25843,0.01338,0.01579,0.01552,0.00831,4.11559,1.91567,0.86892,0.06606,0.21648,0.21514,13.70789,13.94397,0.89093,0.01023,0.04208,2.45558,5.79703
"34","2018_Q3",27.7515873015873,"Up",614301000,-448717000,165584000,-144308000,-134207000,-10101000,21276000,-968000.000000001,-1355000,20308000,20308000,-2576000,17732000,17732000,17732000,17732000,33408000,33408000,370588000,370588000,28970000,21006000,7964000,432966000,57055000,634199000,102075000,239380000,291739000,691254000,1124220000,146628000,69515000,77113000,72501000,72501000,219129000,224591000,201323000,341790000,560919000,1000,574934000,-11634000,563301000,563301000,1124220000,17732000,10101000,6613000,-29840000,4606000,-4557000,-804000.000000002,-27803000,45312000,-18703000,362000,-317000,26292000,3095000,3095000,-159000,2936000,31377000,117199000,-444000,0.26955,0.03463,0.02887,0.03148,0.01577,-0.0250399999999997,1.97585,0.99577,0.10425,0.4408,0.43816,15.27086,14.00306,-0.0110400000000002,0.01959,-0.00049,2.67046,3.93829
"35","2018_Q4",23.9803174603175,"Down",680371000,-496053000,184318000,-155968000,-145382000,-10586000,28350000,-340000,-1357000,28010000,28010000,-3630000,24380000,24380000,24380000,24380000,34736000,34736000,384867000,384867000,33520000,23757000,9763000,453123000,55803000,632687000,96862000,238648000,297177000,688490000,1141613000,151520000,68260000,83260000,72161000,72161000,223681000,224877000,201007000,332777000,556458000,1000,597383000,-12229000,585155000,585155000,1141613000,24380000,10586000,9827000,-25608000,19185000,-3845000,2960000,729000,-9299000,-5364000,389000,-136000,-14799000,5115000,5115000,336000,5451000,38936000,107900000,13113000,0.27091,0.04167,0.03583,0.04166,0.02136,0.53786,2.02576,0.95096,0.09452,0.61344,0.60839,17.11927,14.72347,0.32994,0.02656,0.01429,1.87908,2.58074
"36","2019_Q1",23.353606557377,"Down",650147000,-487870000,162277000,-145399000,-135127000,-10272000,16878000,848000,5346000,17726000,17726000,-2839000,14887000,14887000,14887000,14887000,46988000,46988000,355373000,355373000,27466000,22141000,5325000,429827000,57671000,627346000,91408000,237287000,294263000,685017000,1114844000,139143000,62045000,77098000,86383000,86383000,225526000,217879000,196132000,297879000,523405000,1000,606087000,-14649000,591439000,591439000,1114844000,14887000,10272000,4287000,27620000,57066000,-6741000,7602000,-3148000,-27442000,-9643000,357000,-865000,-37950000,15968000,15968000,-959000,15009000,27150000,8e+07,50868000,0.2496,0.02596,0.0229,0.02517,0.01335,3.41694,1.90589,0.88497,0.07176,0.37663,0.37344,16.44817,14.96291,1.28692,0.01674,0.0572,1.21591,1.95592
"37","2019_Q2",23.2022222222222,"Down",552352000,-403976000,148376000,-139613000,-129661000,-9952000,8763000,553000,-722000,9316000,9316000,-1040000,8276000,8276000,8276000,8276000,26328000,26328000,327038000,327038000,32620000,24291000,8329000,385986000,57898000,656132000,86541000,238006000,330408000,714030000,1100016000,118252000,51420000,66832000,97069000,97069000,215321000,244208000,219185000,286408000,501729000,1000,611609000,-13323000,598287000,598287000,1100016000,8276000,9952000,10317000,-7031000,21514000,-5862000,7267000,1405000,-37800000,-4923000,380000,-1507000,-44230000,-21311000,-21311000,314000,-20997000,18715000,42200000,6862000,0.26863,0.01586,0.01498,0.01383,0.00752,0.82914,1.79261,0.83861,0.03836,0.21023,0.20828,14.03119,15.19806,0.17431,0.00935,0.00776,0.84809,1.81125
"38","2019_Q3",20.67359375,"Down",588594000,-430277000,158317000,-137426000,-127599000,-9827000,20891000,827000,-659999.999999998,21718000,21718000,-2312000,19406000,19406000,19406000,19406000,23124000,23124000,335488000,335488000,33730000,22664000,11066000,392342000,58647000,643898000,81358000,237126000,323308000,702545000,1094887000,117660000,45229000,72431000,95058000,95058000,212718000,242462000,217393000,267162000,479880000,1000,629022000,-14016000,615007000,615007000,1094887000,19406000,9827000,5959000,-19727000,15465000,-5202000,1103000,-4099000,-17500000,-3454000,320000,-243000,-21197000,-9831000,-9831000,246000,-9584999.99999999,30718000,24700000,8101000,0.26897,0.03549,0.03297,0.03155,0.01772,0.41745,1.84442,0.78028,0.02256,0.49553,0.49125,15.02972,15.70418,0.20686,0.022,0.00918,0.05131,0.07544
"39","2019_Q4",22.81140625,"Up",636793000,-472373000,164420000,-135234000,-126485000,-8749000,29186000,471000,-715000,29657000,29657000,-2981000,26676000,26676000,26676000,26676000,23557000,23557000,367038000,367038000,35395000,26836000,8559000,425990000,61218000,643837000,77338000,235646000,327384000,705055000,1131045000,131424000,54467000,76957000,95055000,95055000,226479000,240101000,214625000,283901000,510380000,1000,636337000,-15673000,620665000,620665000,1131045000,26676000,8749000,8284000,-28150000,15559000,-7233000,-1991000,-9009000,19100000,-21916000,323000,-387000,-3203000,3347000,3347000,172000,3519000,37935000,43800000,5533000,0.2582,0.04583,0.04189,0.04298,0.02359,0.20741,1.88092,0.82231,0.03873,0.68856,0.68053,16.43676,16.02047,0.14282,0.02949,0.00612,0.53362,0.69359
"40","2020_Q1",17.9053225806452,"Down",591040000,-442205000,148835000,-141496000,-132475000,-9021000,7339000,2014000,5962000,9353000,9353000,-638000.000000001,8715000,8715000,8715000,8715000,37608000,37608000,342303000,342303000,41822000,30717000,11105000,421733000,66150000,648272000,73673000,237498000,333873000,714422000,1136155000,136010000,68406000,67604000,94796000,94796000,230806000,242276000,215511000,279376000,510182000,1000,639210000,-13238000,625973000,625973000,1136155000,8715000,9021000,7367000,15890000,40993000,-9822000,9880000,-9928000,-6700000,-7204000,306000,-381000,-14285000,16780000,16780000,204000,16984000,16360000,37100000,23066000,0.25182,0.01242,0.01475,0.01392,0.00767,2.6467,1.82722,0.81502,0.03265,0.2303,0.22767,15.61862,16.54175,0.60953,0.00963,0.02548,-0.03105,-0.06922
"41","2020_Q2",14.8506349206349,"Down",494252000,-368093000,126159000,-126475000,-117381000,-9094000,-316000,263000,263000,-53000,-175242000,24748000,-150494000,-150494000,-150494000,-150494000,265260000,265260000,292988000,292988000,35156000,24987000,10169000,593404000,67036000,474705000,34630000,93290000,320120000,541741000,1135145000,95162000,39291000,55871000,91887000,91887000,187049000,238654000,215194000,532154000,719203000,1000,435804000,-19863000,415942000,415942000,1135145000,-150494000,9094000,165692000,3316000,27608000,-7028000,6168000,-740000,256400000,-52025000,323000,-2300000,202075000,228943000,228943000,-1738000,227205000,8778000,293500000,-19682000,0.25525,-0.00064,-0.30449,-0.36181,-0.13258,0.13078,3.17245,1.72909,0.25856,-4.03957,-4.03957,13.26673,11.16473,-0.5283,-0.15873,-0.02076,3.21713,-89.36709
"42","2020_Q3",15.41875,"Up",358944000,-275719000,83225000,-104456000,-97200000,-7256000,-21231000,-412000,-412000,-21643000,-21642999.9999999,13475000,-8168000,-8168000,-8168000,-8168000,92051000,92051000,224078000,224078000,43772000,25776000,17996000,359901000,67447000,475653000,32617000,9.4e+07,318802000,543100000,903001000,103200000,46405000,56795000,89774000,89774000,220025000,252266000,228100000,270215000,490240000,1000,430525000,-17765000,412761000,412761000,903001000,-8168000,7256000,2839000.00000006,73947000,75874000,-4613000,-1436000,-5327000,-248500000,215000.000000015,213000,-1e+06,-249285000,-178738000,-178738000,1002000,-177736000,-13975000,4.5e+07,41884000,0.23186,-0.05915,-0.0227599999999999,-0.01979,-0.00905,-5.12782,1.63573,1.18771,0.04983,-0.23286,-0.23286,10.23303,11.76728,1.19406,-0.0115,0.05899,3.3668,2.21615
"43","2020_Q4",17.98265625,"Up",474530000,-364066000,110464000,-97752000,-90100000,-7652000,12712000,-174000,-174000,12538000,12538000,-3743000,8795000,8795000,8795000,8795000,28233000,28233000,279812000,279812000,42704000,27008000,15696000,350749000,95760000,461689000,30704000,94212000,336773000,557449000,908198000,116512000,56303000,60209000,85915000,85915000,202427000,280089000,255045000,281589000,484016000,1000,441560000,-17379000,424182000,424182000,908198000,8795000,7652000,7106000,-28267000,-4714000,-4603000,-12869000,-17412000,-43500000,198000,198000,-467000,-43769000,-65895000,-65895000,270000,-65625000,20364000,1500000,-8763000,0.23279,0.02679,0.01853,0.02073,0.00968,-0.99636,1.73272,1.14106,0.00165,0.25421,0.25421,13.71593,12.26066,-0.25329,0.01246,-0.01242,-1.31276,-2.10296999999998
"44","2021_Q1",20.5011475409836,"Up",518634000,-397837000,120797000,-111655000,-103626000,-8029000,9142000,1943000,1943000,11085000,11085000,-3059000,8026000,8026000,8026000,8026000,62507000,62507000,278343000,278343000,38035000,26137000,11898000,378885000,71734000,529958000,28929000,94873000,376137000,601692000,980577000,181104000,58447000,122657000,87863000,87863000,268967000,274420000,248059000,274420000,543387000,1000,452017000,-14828000,437190000,437190000,980577000,8026000,8029000,2683000.00000001,35025000,53763000,-10822000,-8623000,-10932000,-1499999.99999997,187999.999999998,188000,-211000,-1522999.99999997,41308000,41308000,1089000,42397000,17171000,-3.72529029846191e-09,44433000,0.23291,0.01763,0.01548,0.01836,0.00818,5.53613,1.40867,1.24291,0,0.23243,0.23243,15.01937,12.6608,1.28676,0.01128,0.06244,-3.64027,-6.83734
"45","2021_Q2",26.6273015873016,"Up",458706000,-348132000,110574000,-104363000,-97401000,-6962000,6211000,575000,575000,6786000,6786000,112000,6898000,6898000,6898000,6898000,88006000,88006000,260108000,260108000,35897000,29436000,6461000,384011000,76109000,519317000,27101000,94937000,362221000,595426000,979437000,175074000,48168000,126906000,83415000,83415000,258489000,275321000,248851000,275321000,533810000,1000,459958000,-14332000,445627000,445627000,979437000,6898000,6962000,2030000,11993000,27883000,-10003000,6371000,-3194000,-37089407.604545,255000,255000,-2649000,-2394000,22295000,22295000,262000,22557000,13173000,0,15051000,0.24106,0.01354,0.01504,0.01548,0.00704,2.18194,1.4856,1.19789,-8.67361737988404e-19,0.19894,0.19671,13.22911,12.85191,0.43407,0.00957,0.02088,-6.68079,-14.16938
"46","2021_Q3",26.74703125,"Up",515955000,-379487000,136468000,-117525000,-110508000,-7017000,18943000,724000,724000,19667000,19667000,-3783000,15884000,15884000,15884000,15884000,105234000,105234000,292731000,292731000,34560000,24439000,10121000,432525000,82079000,503464000,25324000,94950000,353819000,585543000,1018068000,188791000,52116000,136675000,85747000,85747000,274538000,278300000,250892000,278300000,552838000,1000,479567000,-14338000,465230000,465230000,1018068000,15884000,7017000,14012000,-17434000,19479000,-9865000,8772000,-1093000,-40908334.6625499,283000,283000,-225000,58000.0000000009,18444000,18444000,57000.0000000001,18501000,25960000,0,2444000,0.2645,0.03671,0.03079,0.03414,0.0156,0.15387,1.57546,1.18831,0,0.4581,0.45297,14.88017,13.41726,0.07049,0.02136,0.00329,-4.0537,-5.5553
"47","2021_Q4",28.29296875,"Up",577031000,-430529000,146502000,-125174000,-118748000,-6426000,21328000,581000,581000,21909000,21909000,-3267000,18642000,18642000,18642000,18642000,49173000,49173000,330705000,330705000,37631000,27158000,10473000,417509000,86414000,505869000,23769000,94615000,357931000,592283000,1009792000,152576000,62706000,89870000,86208000,86208000,238784000,285332000,257417000,285332000,524116000,1000,501309000,-15634000,485676000,485676000,1009792000,18642000,6426000,7122000,-78995000,-46805000,-8904000,3203000,-5375000,-26382557.9182822,216000,216000,-431000,-215000,-52395000,-52395000,-932000,-53327000,27754000,0,-56878000,0.25389,0.03696,0.03231,0.03838,0.01846,-3.05107,1.74848,1.07915,1.0842021724855e-19,0.53587,0.52878,16.58707,13.96102,-1.63499,0.02418,-0.07377,-1.77174,-2.30556
"48","2022_Q1",27.4796774193548,"Down",621930000,-455154000,166776000,-144816000,-137665000,-7151000,21960000,3528000,3528000,25488000,25488000,-5278000,20210000,20210000,20210000,20210000,49896000,49896000,353882000,353882000,41295000,31614000,9681000,445073000,88090000,500063000,22211000,94538000,353984000,588153000,1033226000,177345000,77172000,100173000,81201000,81201000,258546000,281613000,252807000,281613000,540159000,1000,508813000,-15747000,493067000,493067000,1033226000,20210000,7151000,10502000,-17980000,19883000,-6234000,-6850000,-6558000,-6937854.11600968,-16297000,381000,-278000,-16575000,-3249999.99999999,-3249999.99999999,92000.0000000002,-3158000.00000001,29111000,2.3283064365387e-10,10175000,0.26816,0.03531,0.0325,0.04099,0.01956,0.50346,1.72145,1.09551,0,0.5448,0.56619,16.76542,13.29165,0.27429,0.02609,0.01313,-1.71399,-2.27213
"49","2022_Q2",23.4708064516129,"Down",551515000,-411670000,139845000,-127855000,-120568000,-7287000,11990000,505000,505000,12495000,12495000,-1976000,10519000,10519000,10519000,10519000,36720000,36720000,325197000,325197000,36432000,25667000,10765000,398349000,87751000,494819000,20667000,94716000,351340000,582570000,980919000,144686000,63544000,81142000,81211000,81211000,225897000,283471000,255520000,287471000,513368000,1000,483170000,-15620000,467551000,467551000,980919000,10519000,7287000,11948000,-3312000,26442000,-5779000,6034000,255000,4e+06,-36007000,319000,-4042000,-36049000,-9352000,-9352000,-57000,-9409000,19277000,4e+06,12162000,0.25357,0.02174,0.01907,0.0225,0.01072,1.15619,1.76341,1.09799,0.00408,0.30219,0.2953,15.84403,13.4319,0.34939,0.01393,0.01611,-1.69736,-2.72894
"50","2022_Q3",20.22875,"Down",569253000,-410722000,158531000,-129279000,-122034000,-7245000,29252000,-110000,-110000,29142000,29142000,-5129000,24013000,24013000,24013000,24013000,32432000,32432000,338800000,338800000,35102000,22224000,12878000,406334000,90091000,494585000,18998000,93995000,354330000,584676000,991010000,151939000,66396000,85543000,80882000,80882000,232821000,292236000,266999000,292236000,525057000,1000,483296000,-17344000,465953000,465953000,991010000,24013000,7245000,10498000,-15096000,26660000,-8213000,6842000,-1371000,-4e+06,-24396000,217000,-237000.000000001,-28633000,-3344000,-3344000,-437000,-3781000,36497000,0,18317000,0.27849,0.05139,0.04218,0.05154,0.02423,0.7628,1.74526,1.12685,0,0.73419,0.7244,17.40462,14.24628,0.56003,0.03167,0.02416,-0.88862,-1.10871
