"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"38","2020_Q1",1.30370967741935,"Up",15366000,-12716000,2650000,-3313000,-2838000,-475000,-663000,33000,33000,-630000,-1344000,-1360000,-1360000,-1360000,-1360000,9961000,7712000,9216000,9216000,1338000,244000,20515000,252000,2288000,2112000,2540000,23055000,8939000,408000,8531000,2261000,1559000,11200000,903000,2159000,13359000,138877000,-128194000,-987000,9696000,9696000,23055000,-1360000,201000,148000,10000,-1001000,-118000,1888000,1532735.11283222,887000,887000,62000,949000,-462000,1256000,0.17246,-0.04315,-0.08851,-0.14026,-0.05899,1.8317,1.37778,0.05448,-0.107609999999999,-0.107610000000001,1.21585999999999,0.76720999999999,-0.11472,18.84199,13.12971
"39","2020_Q2",1.28079365079365,"Down",16729000,-14144000,2585000,-3024000,-2897000,-127000,-439000,-35000,-35000,-474000,-474000,-474000,-474000,-474000,-474000,10044000,10044000,10092000,10092000,1866000,708000,22002000,155000,1816000,1665000,1971000,23973000,10383000,457000,9926000,2052000,2052000,12856000,1716000,1716000,14572000,139091000,-128668000,-1022000,9401000,9401000,23973000,-474000,196000,215000,254000,191000,-33000,2217000,2076242.17305261,2408000,2408000,-76000,2332000,-243000,421000,0.15452,-0.02624,-0.02833,-0.05042,-0.01977,1.71142,1.55005,0.01756,-0.03631,-0.03631,1.28142,0.72011,-0.04108,39.60082,21.92027
"40","2020_Q3",1.4453125,"Up",8924000,-7878000,1046000,-2121000,-2067000,-54000,-1075000,1999.99999999999,1999.99999999999,-1073000,-1073000,-1073000,-1073000,-1073000,-1073000,11982000,11982000,6243000,6243000,2020000,782000,20245000,294000,1536000,1409000,1830000,22075000,7877000,371000,7506000,3253000,2558000,11422000,205000,2220000,13642000,139199000,-129741000,-1026000,8432000,8432000,22074000,-1073000,164000,105000,1289000,485000,-2e+05,-2e+05,1576000,1861000,1861000,77000,1938000,-911000,2307000,0.11721,-0.12046,-0.12024,-0.12725,-0.04861,1.77246,1.61788,0.10451,-82.21592,-82.21592,683.77902,646.08076,-0.09804,10.6202000000001,9
"41","2020_Q4",1.3284375,"Down",10420000,-8530000,1890000,-2028000,-1987000,-41000,-138000,2000,2000,-136000,-136000,-136000,-136000,-136000,-136000,12209000,12209000,5514000,5514000,1339000,423000,19062000,403000,1598000,1496000,2001000,21063000,7123000,287000,6836000,3104000,2142000,10544000,10000,1897000,12441000,139516000,-129877000,-1017000,8622000,8622000,21063000,-136000,134000,281000,-201000,78000,-141000,-141000,4000,-59000,-59000,49000,-10000,-4000,2204000,0.18138,-0.01324,-0.01305,-0.01577,-0.00646,1.80785,1.44294,0.10464,-0.00344,-0.00344,0.26321,0.21779,-0.01255,2501.25,72.5
"42","2021_Q1",3.80213114754098,"Up",11071000,-8866000,2205000,-2407000,-2363000,-44000,-202000,-4000,-4000,-206000,-206000,-206000,-206000,-206000,-206000,12623000,12623000,6177000,6177000,1202000,409000,20002000,322000,1958000,1880000,2280000,22282000,7880000,489000,7391000,3382000,2088000,11262000,1658000,2292000,13554000,139726000,-130006000,-992000,8728000,8728000,22282000,-206000,139000,211000,164000,308000,1e+05,99999.9999999999,3000,411000,411000,-23000,388000,-63000.0000000001,634000,0.19917,-0.01825,-0.01861,-0.0236,-0.00925,1.77606,1.55293,0.02845,-0.0159199999999965,-0.0159199999999965,0.855500000000048,0.674450000000056,-0.01869,190.30159,59.35149
"43","2021_Q2",2.64952380952381,"Down",9972000,-8379000,1593000,-2444000,-2276000,-168000,-851000,-9000,-9000,-860000,-860000,-860000,-860000,-860000,-860000,10028000,10028000,5491000,5491000,1359000,828000,16878000,580000,1852000,1799000,2432000,19310000,6339000,468000,5871000,3432000,1500000,9771000,24000,1576000,11347000,139907000,-130943000,-1001000,7963000,7963000,19310000,-860000,145000,168000,-1877000,-2424000,-175000,-175000,36000,-2563000,-2563000,-32000,-2595000,-706000,1552000,0.15975,-0.08534,-0.08624,-0.108,-0.04454,1.72736,1.42497,0.08037,-0.06522,-0.06522,0.75626,0.6039,-0.09016,12.00567,9.96005
"44","2021_Q3",2.99015625,"Up",10671000,-9479000,1192000,-2513000,-2148000,-365000,-1321000,1614000,1614000,293000,293000,293000,293000,293000,293000,8892000,8892000,6318000,6318000,1126000,743000,16336000,654000,1765000,1736000,2419000,18755000,6706000,263000,6443000,1376000,1028000,8082000,3e+05,1787000,9869000,140494000,-130573000,-1035000,8886000,8886000,18755000,293000,152000,-1374000,-468000,-1397000,-82000,-82000,377000,-1102000,-1102000,-34000,-1136000,-1169000,1487000,0.1117,-0.12379,0.02746,0.03297,0.01562,2.02128,1.11062,0.07929,0.0219500000000004,0.0219500000000004,0.79945000000001,0.665720000000125,0.02745,6.33446999999989,5.6056
"45","2021_Q4",2.09328125,"Down",10646000,-9318000,1328000,-2194000,-1786000,-408000,-866000,-29000,-29000,-895000,-895000,-895000,-895000,-895000,-895000,41030000,41030000,5992000,5992000,932000,562000,47954000,705000,1684000,1684000,2389000,50343000,7378000,4e+05,6978000,1452000,1098000,8830000,247000,1677000,10507000,172318000,-131468000,-1014000,39836000,39836000,50343000,-895000,112000,218000,1194000,629000,-118000,-118000,31591000,32102000,32102000,36000,32138000,-754000,1430000,0.12474,-0.08135,-0.08407,-0.02247,-0.01778,5.4308,0.26376,0.02841,-58.04527,-58.04527,690.44685,2583.56573,-0.02156,52.51989,45.72748
"46","2022_Q1",1.64096774193548,"Down",9078000,-7776000,1302000,-2156000,-1793000,-363000,-854000,74000.0000000002,74000.0000000002,-780000,-780000,-780000,-780000,-780000,-780000,39529000,39529000,4914000,4914000,967000,364000,45410000,726000,1622000,1622000,2348000,47758000,1147000,426000,721000,5929000,5572000,7076000,194000,1557000,8633000,172397000,-132248000,-1024000,39125000,39125000,47758000,-780000,76000,78000.0000000002,-548000,-1174000,-99000,-99000,3.72529029846191e-09,-1273000,-1273000,-7999.99999999999,-1280999.99999999,-778000,1363000,0.14342,-0.09407,-0.08592,-0.01994,-0.01633,6.41747,0.22065,0.02854,-0.00994999999998925,-0.00995000000000346,0.115840000000048,0.499260000000049,-0.01917,49.05656,44.69087
"47","2022_Q2",1.41645161290323,"Down",9732000,-8248000,1484000,-2404000,-2143000,-261000,-920000,32000,32000,-888000,-888000,-888000,-888000,-888000,-888000,39221000,39221000,4790000,4790000,1055000,818000,45066000,776000,1546000,1546000,2322000,47388000,6337000,608000,5729000,1375000,1017000,7712000,147000,1433000,9145000,172400000,-133136000,-1021000,38243000,38243000,47388000,-888000,88000,75000,287000,-438000,-138000,-138000,-72000,-648000,-648000,3000,-645000,-832000,1286000,0.15249,-0.09453,-0.09125,-0.02322,-0.01874,5.84362,0.23913,0.02714,-0.04529,-0.04529,0.49635,1.95048,-0.02238,45.59495,41.2337
"48","2022_Q3",1.2771875,"Down",10394000,-8796000,1598000,-2278000,-2022000,-256000,-680000,55000,55000,-625000,-625000,-625000,-625000,-625000,-625000,37624000,37624000,5616000,5616000,1003000,731000,44243000,8e+05,1455000,1455000,2255000,46498000,6758000,343000,6415000,838000,483000,7596000,94000,1290000,8886000,172445000,-133761000,-1072000,37612000,37612000,46498000,-625000,103000,40000,-941000,-1423000,-127000,-127000,5000,-1545000,-1545000,-51000,-1596000,-577000,1196000,0.15374,-0.06542,-0.06013,-0.01662,-0.01344,5.82451,0.23625,0.02572,-0.0306300000000008,-0.0306300000000043,0.509360000000008,1.84317999999999,-0.01607,63.13345,53.57059
