"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","long_term_investments_receivables","other_long_term_assets","intangible_assets","prepaid_pension_costs","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"21","2020_Q2",46.3504761904762,"Down",2.043e+09,-6.69e+08,1.374e+09,-5.4e+08,-1.92e+08,-3.48e+08,8.34e+08,-3.25e+08,-1.14e+08,-2.11e+08,5.09e+08,5.94e+08,-1.85e+08,4.09e+08,4.09e+08,4.09e+08,4.09e+08,2.47e+08,2.47e+08,8.85e+08,8.85e+08,1.77e+08,9.8e+07,9.8e+07,1.407e+09,1.99e+10,1.99e+10,3.69e+08,1.812e+09,2.23e+08,1.111e+09,4.78e+08,2.2081e+10,2.3488e+10,1.528e+09,2.66e+08,1.794e+09,9.804e+09,4.935e+09,7.9e+08,3.604e+09,5.41e+08,1.4739e+10,1.6533e+10,2.036e+09,7.399e+09,-2.48e+09,6.955e+09,6.955e+09,2.3488e+10,4.09e+08,1.92e+08,-1.12e+08,4.89e+08,-3.53e+08,-9e+06,-3.62e+08,-1.14e+08,5.36e+08,-4.77e+08,2.4e+07,-4.4e+07,8.3e+07,8.3e+07,3.1e+07,1.14e+08,1.026e+09,1.007e+10,0.67254,0.40822,0.2002,0.05881,0.01741,0.78428,2.37714,0.42873,0.59839,0.59621,2.98903,10.17557,0.16679,0.02382,0.27873,9.57407,11.77818
"22","2020_Q3",55.90546875,"Up",1.792e+09,-5.28e+08,1.264e+09,-4.94e+08,-1.95e+08,-2.99e+08,7.7e+08,-3.2e+07,-1.18e+08,85999999.9999999,7.38e+08,8.24e+08,-1.89e+08,6.35e+08,6.35e+08,6.35e+08,6.35e+08,2.77e+08,2.77e+08,7.76e+08,7.76e+08,1.92e+08,1.1e+08,1.1e+08,1.355e+09,2.0019e+10,2.0019e+10,2.23e+08,1.965e+09,2.91e+08,1.214e+09,4.6e+08,2.2207e+10,2.3562e+10,1.577e+09,9.1e+07,1.668e+09,9.457e+09,4.972e+09,7.84e+08,3.644e+09,5.44e+08,1.4429e+10,1.6097e+10,2.043e+09,7.872e+09,-2.45e+09,7.465e+09,7.465e+09,2.3562e+10,6.35e+08,1.95e+08,5e+06,8.35e+08,-4.97e+08,2.9e+07,-4.68e+08,-1.12e+08,-1.71e+08,-39000000.0000001,5e+06,-3.22e+08,4.5e+07,4.5e+07,-1.5e+07,3e+07,9.65e+08,9.548e+09,0.70536,0.42969,0.35435,0.08506,0.02695,0.81235,2.15633,0.40523,0.93727,0.93382,2.64502,11.01845,0.16531,0.03398,0.17638,9.60725,12.04026
"23","2020_Q4",63.91234375,"Up",1.863e+09,-5.75e+08,1.288e+09,-5.09e+08,-1.95e+08,-3.14e+08,7.79e+08,-7.8e+07,-1.14e+08,3.6e+07,7.01e+08,7.87e+08,-1.89e+08,5.98e+08,5.98e+08,5.98e+08,5.98e+08,1.83e+08,1.83e+08,8.4e+08,8.4e+08,1.85e+08,1.16e+08,1.16e+08,1.324e+09,2.0169e+10,2.0169e+10,2.23e+08,2.071e+09,2.84e+08,1.317e+09,4.7e+08,2.2463e+10,2.3787e+10,1.38e+09,8.41e+08,2.221e+09,8.945e+09,5.042e+09,7.77e+08,3.689e+09,5.76e+08,1.3987e+10,1.6208e+10,2.034e+09,7.961e+09,-2.416e+09,7.579e+09,7.579e+09,2.3787e+10,5.98e+08,1.95e+08,-3e+08,4.93e+08,-4.82e+08,-1e+06,-4.83e+08,-1.13e+08,4.1e+08,-3.97e+08,3e+06,-1e+08,-9e+07,-9e+07,-4e+06,-9.4e+07,9.74e+08,9.786e+09,0.69136,0.41814,0.32099,0.0789,0.02514,0.59613,2.13854,0.4114,0.88266,0.87941,2.74982,11.18672,0.16679,0.03173,0.18896,9.85934,12.32734
"24","2021_Q1",70.8198360655738,"Up",2.012e+09,-7.98e+08,1.214e+09,-2.86e+08,-1.97e+08,-8.9e+07,9.28e+08,-1.6e+07,-1.12e+08,9.6e+07,9.12e+08,9.97e+08,-1.95e+08,8.02e+08,8.02e+08,8.02e+08,8.02e+08,1.47e+08,1.47e+08,8.25e+08,8.25e+08,2.08e+08,1.41e+08,1.41e+08,1.321e+09,2.0422e+10,2.0422e+10,1.99e+08,1.698e+09,3.66e+08,8.94e+08,4.38e+08,2.2319e+10,2.364e+10,1.467e+09,1.186e+09,2.653e+09,8.585e+09,5.083e+09,8.32e+08,3.666e+09,5.85e+08,1.3668e+10,1.6321e+10,5.5e+07,8.095e+09,-2.814e+09,7.319e+09,7.319e+09,2.364e+10,8.02e+08,1.97e+08,3.75e+08,9.85e+08,-7.15e+08,-2e+06,-7.17e+08,-1.28e+08,3.74e+08,-5.44e+08,2e+07,-2.98e+08,-3e+07,-3e+07,-6e+06,-3.6e+07,1.125e+09,9.771e+09,0.60338,0.46123,0.39861,0.10958,0.03393,0.49793,2.22995,0.41332,1.19434,1.18991,2.99628,7.94639,0.19062,0.04194,0.1596,8.55467,10.37069
"25","2021_Q2",76.4330158730159,"Up",1.959e+09,-6.7e+08,1.289e+09,-5.09e+08,-2.02e+08,-3.07e+08,7.8e+08,-8.2e+07,-1.1e+08,2.8e+07,6.98e+08,7.93e+08,-1.91e+08,6.02e+08,6.02e+08,6.02e+08,6.02e+08,3.6e+08,3.6e+08,8.4e+08,8.4e+08,2.13e+08,2.11e+08,2.11e+08,1.624e+09,2.0503e+10,2.0503e+10,1.99e+08,1.795e+09,3.71e+08,1.007e+09,4.17e+08,2.2497e+10,2.4121e+10,1.418e+09,1.782e+09,3.2e+09,7.958e+09,5.097e+09,8.29e+08,3.731e+09,5.37e+08,1.3055e+10,1.6255e+10,2.051e+09,8.571e+09,-2.756e+09,7.866e+09,7.866e+09,2.4121e+10,6.02e+08,2.02e+08,-2.22e+08,5.82e+08,-2.86e+08,-705927.05108865,-2.86e+08,-1.27e+08,7.2e+07,8e+06,8e+06,-8e+07,2.16e+08,2.16e+08,-3e+06,2.13e+08,9.82e+08,9.74e+09,0.65799,0.39816,0.3073,0.07653,0.02496,0.5075,2.06649,0.4038,0.90323,0.89918,2.93923,11.80195,0.19055,0.03211,0.21096,9.55193,12.02564
"26","2021_Q3",70.41828125,"Down",2.054e+09,-7.12e+08,1.342e+09,-5.22e+08,-2e+08,-3.22e+08,8.2e+08,-2.58e+08,-1.01e+08,-1.57e+08,5.62e+08,1.503e+09,-2.57e+08,1.246e+09,1.246e+09,1.246e+09,1.246e+09,8.92e+08,8.92e+08,7.55e+08,7.55e+08,2.18e+08,1.22e+08,1.22e+08,1.987e+09,2.0639e+10,2.0639e+10,1.97e+08,1.881e+09,3.66e+08,1.119e+09,3.96e+08,2.2717e+10,2.4704e+10,1.945e+09,8.72e+08,2.817e+09,7.85e+09,5.072e+09,8.23e+08,3.724e+09,5.25e+08,1.2922e+10,1.5739e+10,2.066e+09,9.69e+09,-2.791e+09,8.965e+09,8.965e+09,2.4704e+10,1.246e+09,2e+08,5.08e+08,1.954e+09,-4.04e+08,-1e+06,-4.05e+08,-1.26e+08,-8.82e+08,8e+06,8e+06,-1.016e+09,5.33e+08,5.33e+08,-1e+06,5.32e+08,1.02e+09,8.722e+09,0.65336,0.39922,0.60662,0.13898,0.05044,0.70536,1.75561,0.35306,1.86947,1.86109,3.08177,13.45086,0.18905,0.06028,0.10112,7.67647,9.54878
"27","2021_Q4",72.33015625,"Up",1.942e+09,-6.31e+08,1.311e+09,-5.37e+08,-2.03e+08,-3.34e+08,7.74e+08,-2.28e+08,-1.04e+08,-1.24e+08,5.46e+08,6.41e+08,-1.69e+08,4.72e+08,4.72e+08,4.72e+08,4.72e+08,2.1e+08,2.1e+08,8.11e+08,8.11e+08,2.27e+08,2.03e+08,2.03e+08,1.451e+09,2.1007e+10,2.1007e+10,2.05e+08,3.782e+09,3.72e+08,1.232e+09,2.178e+09,2.4994e+10,2.6445e+10,1.744e+09,1.932e+09,3.676e+09,8.036e+09,5.265e+09,8.25e+08,3.918e+09,5.22e+08,1.3301e+10,1.6977e+10,2.076e+09,1.0035e+10,-2.643e+09,9.468e+09,9.468e+09,2.6445e+10,4.72e+08,2.03e+08,-1.27e+08,-1.225e+09,-3.56e+08,2372241.73987902,-3.56e+08,-1.27e+08,1.028e+09,4e+06,4e+06,9.02e+08,-6.79e+08,-6.79e+08,1e+07,-6.69e+08,9.77e+08,9.968e+09,0.67508,0.39856,0.24305,0.04985,0.01785,0.39472,1.79309,0.37693,0.70796,0.70469,2.91285,14.20129,0.19049,0.02425,0.26907,9.98772,12.60724
"28","2022_Q1",74.6609677419355,"Up",2.04e+09,-7.47e+08,1.293e+09,-4.61e+08,-2.06e+08,-2.55e+08,8.32e+08,-1.09e+08,-1.25e+08,1.6e+07,7.23e+08,6.83e+08,-1.51e+08,5.32e+08,5.32e+08,5.32e+08,5.32e+08,6.9e+07,6.9e+07,8.19e+08,8.19e+08,2.35e+08,2.29e+08,2.29e+08,1.352e+09,2.12e+10,2.12e+10,2.09e+08,4.5416e+10,3.71e+08,2.317e+09,4.19e+08,6.6825e+10,6.8177e+10,1.609e+09,1.55e+09,3.159e+09,1.8577e+10,1.2612e+10,7.18e+08,1.1352e+10,5.42e+08,3.1189e+10,3.4348e+10,2.5541e+10,1.0391e+10,-2.103e+09,3.3829e+10,3.3829e+10,6.8177e+10,5.32e+08,2.06e+08,-6.8e+07,2.377e+09,-1.2689e+10,6e+06,-1.2683e+10,-1.27e+08,1.0275e+10,5e+06,5e+06,1.013e+10,-1.76e+08,-1.76e+08,3.5e+07,-1.41e+08,1.038e+09,2.0127e+10,0.63382,0.40784,0.26078,0.01573,0.0078,0.42798,1.01534,0.29522,0.797,0.79427,3.05618,50.68015,0.19026,0.0099,0.23872,19.3237,24.10817
"29","2022_Q2",71.991935483871,"Down",1.838e+09,-7.48e+08,1.09e+09,-5.55e+08,-2.1e+08,-3.45e+08,5.35e+08,-1.59e+08,-1.6e+08,1e+06,3.76e+08,6.75e+08,-8.5e+07,5.9e+08,5.9e+08,5.9e+08,5.9e+08,8.5e+07,8.5e+07,8.18e+08,8.18e+08,2.51e+08,2.53e+08,2.53e+08,1.407e+09,6.2746e+10,6.2746e+10,2.01e+08,3238000000.00001,3.66e+08,2.428e+09,4.44e+08,6.6185e+10,6.7592e+10,1.445e+09,1.746e+09,3.191e+09,1.7917e+10,1.2499e+10,7.15e+08,1.1263e+10,5.21e+08,3.0416e+10,3.3607e+10,2.5554e+10,1.0804e+10,-2.373e+09,3.3985e+10,3.3985e+10,6.7592e+10,5.9e+08,2.1e+08,-1.87e+08,6.13e+08,-2.11e+08,5e+06,-2.06e+08,-1.77e+08,-2.22e+08,8e+06,8e+06,-3.91e+08,1.6e+07,1.6e+07,44786250.7516476,1.6e+07,7.45e+08,1.9663e+10,0.59304,0.29108,0.321,0.01736,0.00873,0.44093,0.98888,0.29091,0.82127,0.81797,2.55846,47.30651,0.24638,0.0116,0.3,26.27919,36.59439
"30","2022_Q3",75.2234375,"Up",2.202e+09,-8.45e+08,1.357e+09,-4.89e+08,-2.11e+08,-2.78e+08,8.68e+08,-1.67e+08,-1.6e+08,-7000000.00000001,7.01e+08,1.01e+09,-2.45e+08,7.65e+08,7.65e+08,7.65e+08,7.65e+08,1.54e+08,1.54e+08,9.62e+08,9.62e+08,2.71e+08,2.24e+08,2.24e+08,1.611e+09,2.1502e+10,2.1502e+10,2.17e+08,4.6544e+10,3.74e+08,2.538e+09,4.29e+08,6.8263e+10,6.9874e+10,1.511e+09,1.698e+09,3.209e+09,1.8372e+10,1.2879e+10,7.24e+08,1.1646e+10,5.09e+08,3.1251e+10,3.446e+10,2.5561e+10,1.1392e+10,-1.539e+09,3.5414e+10,3.5414e+10,6.9874e+10,7.65e+08,2.11e+08,-2.69e+08,7.07e+08,-3.59e+08,-3e+06,-3.62e+08,-1.76e+08,-1.22e+08,999999.999999998,1e+06,-297000000.000002,4.8e+07,4.8e+07,7999999.99999999,5.6e+07,1.079e+09,2.007e+10,0.61626,0.39419,0.34741,0.0216,0.01095,0.50203,0.97306,0.28723,1.06487,1.06059,3.06514,49.29566,0.24499,0.01376,0.23007,18.45783,22.9447
