"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"32","2018_Q1",21.2611475409836,"Up",1.758e+09,-6.45e+08,1.113e+09,-9.23e+08,-5.63e+08,-1.18e+08,-2.42e+08,1.9e+08,-1.9e+07,-2.2e+07,3e+06,1.71e+08,1.71e+08,4.84e+08,6.55e+08,6.55e+08,6.55e+08,6.55e+08,6.93e+08,3.03e+08,3.9e+08,2.45e+08,2.45e+08,2.13e+08,2.13e+08,1.206e+09,8.049e+09,1.0786e+10,-2.737e+09,2e+06,5.24e+08,5.24e+08,8.575e+09,9.781e+09,9.84e+08,3.78e+08,6.06e+08,1.96e+08,9.66e+08,9.66e+08,2.146e+09,1.003e+09,1.9e+09,9.99e+08,9.01e+08,2.903e+09,5.049e+09,2.131e+09,3.491e+09,4.732e+09,4.732e+09,9.781e+09,6.55e+08,1.18e+08,-4.95e+08,5.2e+07,3.3e+08,-3.69e+08,1.43e+08,-1.58e+08,-3.84e+08,-5.6e+07,2e+07,2e+07,-5e+06,-4.1e+07,-9.5e+07,-9.5e+07,-9.5e+07,3.08e+08,1.199e+09,-4.93e+08,0.63311,0.10808,0.37258,0.13842,0.06697,-0.75267,0.56198,1.06699,0.12258,2.03227,2.02098,5.45455,14.68197,-1.52963,0.08364,-0.06295,1.64286,2.66316
"33","2018_Q2",19.2484375,"Down",1.754e+09,-6.83e+08,1.071e+09,-9.43e+08,-5.66e+08,-1.17e+08,-2.6e+08,1.28e+08,-1.8e+07,-2e+07,2e+06,1.1e+08,1.1e+08,-2.2e+07,8.8e+07,8.8e+07,8.8e+07,8.8e+07,7.79e+08,5.11e+08,2.68e+08,2.51e+08,2.51e+08,2.9e+08,2.9e+08,1.32e+09,8.139e+09,1.0977e+10,-2.838e+09,2e+06,5.66e+08,5.66e+08,8.707e+09,1.0027e+10,1.079e+09,4.51e+08,6.28e+08,2.48e+08,1.185e+09,1.185e+09,2.512e+09,8.95e+08,1.923e+09,1.014e+09,9.09e+08,2.818e+09,5.33e+09,2.138e+09,3.58e+09,4.697e+09,4.697e+09,1.0027e+10,8.8e+07,1.17e+08,2.4e+07,2.65e+08,4.94e+08,-1.84e+08,1.72e+08,-7.7e+07,-8.9e+07,-5.8e+07,-1.31e+08,0,-4e+06,-1.93e+08,2.12e+08,2.12e+08,2.12e+08,2.45e+08,1.143e+09,3.48e+08,0.6106,0.07298,0.05017,0.01874,0.00877999999999999,3.95455,0.52548,1.13477,0.11399,0.27449,0.27304,5.47099,14.65066,1.08546,0.01134,0.04483,1.48571,2.84375
"34","2018_Q3",18.9606349206349,"Down",1.928e+09,-8.11e+08,1.117e+09,-9.42e+08,-5.61e+08,-1.2e+08,-2.61e+08,1.75e+08,-1.6e+07,-1.9e+07,3e+06,1.59e+08,-1.6e+08,4e+07,-1.2e+08,-1.2e+08,-1.2e+08,-1.2e+08,9.15e+08,6.03e+08,3.12e+08,2.25e+08,2.25e+08,2.31e+08,2.31e+08,1.448e+09,7.902e+09,1.0839e+10,-2.937e+09,2e+06,5.88e+08,5.88e+08,8.492e+09,9.94e+09,1.026e+09,4.17e+08,6.09e+08,2.3e+08,1.193e+09,1.193e+09,2.449e+09,1.128e+09,1.882e+09,9.63e+08,9.19e+08,3.01e+09,5.459e+09,2.143e+09,3.46e+09,4.481e+09,4.481e+09,9.94e+09,-1.2e+08,1.2e+08,2.69e+08,-33000000.0000001,2.36e+08,-1.84e+08,7.9e+07,-1.47e+08,-2.52e+08,2.13e+08,1.55e+08,2.4e+07,-2.61e+08,1.07e+08,9.1e+07,9.1e+07,9.1e+07,2.95e+08,1.358e+09,3.8e+07,0.57936,0.09077,-0.06224,-0.02678,-0.01207,-0.31667,0.59126,1.21825,0.13662,-0.38095,-0.38095,6.12063,14.2254,0.12063,-0.01554,0.00492,1.50169,2.53143
"35","2018_Q4",17.4257142857143,"Down",2.008e+09,-8.25e+08,1.183e+09,-9.88e+08,-5.87e+08,-1.25e+08,-2.76e+08,1.95e+08,-1.5e+07,-1.7e+07,2e+06,1.8e+08,6.8e+07,-1.7e+07,5.1e+07,5.1e+07,5.1e+07,5.1e+07,9.37e+08,4.54e+08,4.83e+08,2.43e+08,2.43e+08,2.52e+08,2.52e+08,1.507e+09,8.008e+09,1.1046e+10,-3.038e+09,1e+06,6.31e+08,6.31e+08,8.64e+09,1.0147e+10,1.121e+09,4.9e+08,6.31e+08,2.78e+08,1.113e+09,1.113e+09,2.512e+09,1.29e+09,1.931e+09,9.98e+08,9.33e+08,3.221e+09,5.733e+09,2.174e+09,3.511e+09,4.414e+09,4.414e+09,1.0147e+10,5.1e+07,1.25e+08,4.6e+07,-1.6e+07,2.06e+08,-1.7e+08,-9.7e+07,-1.67e+08,-4.34e+08,2.07e+08,1e+06,1e+06,-1.29e+08,7.9e+07,-1.49e+08,-1.49e+08,-1.49e+08,3.2e+08,1.568e+09,1.51e+08,0.58914,0.09711,0.0254,0.01155,0.00503,2.96078,0.59992,1.29882,0.15453,0.16521,0.16436,6.5047,14.29867,0.48915,0.00645,0.01908,1.97188,3.2359
"36","2019_Q1",17.1177049180328,"Down",1.968e+09,-2.815e+09,-8.47e+08,1.05e+09,1.42e+09,-1.07e+08,-2.63e+08,2.03e+08,2e+06,-999999.999999996,3e+06,2.05e+08,2.01e+08,-3.1e+07,1.7e+08,1.7e+08,1.7e+08,1.7e+08,8.87e+08,4.74e+08,4.13e+08,2.11e+08,2.11e+08,2.98e+08,2.98e+08,1.474e+09,8.315e+09,1.1453e+10,-3.138e+09,3e+06,6.34e+08,6.34e+08,8.952e+09,1.0426e+10,1.074e+09,4.37e+08,6.37e+08,3.09e+08,1.035e+09,1.035e+09,2.418e+09,1.361e+09,2.036e+09,1.088e+09,9.48e+08,3.397e+09,5.815e+09,2.207e+09,3.679e+09,4.611e+09,4.611e+09,1.0426e+10,1.7e+08,1.07e+08,1.01e+08,-1.14e+08,2.64e+08,-5.76e+08,2.47e+08,-5.3e+07,-3.82e+08,1.03e+08,2.3e+07,2.3e+07,1.2e+07,1.38e+08,2e+07,2e+07,2e+07,3.1e+08,1.67e+09,-3.49e+08,-0.43039,0.10315,0.08638,0.03687,0.01631,-2.05294,0.60959,1.26111,0.16018,0.55321,0.54768,6.40417,15.00488,-1.1357,0.02044,-0.04196,2.52581,3.85714
"37","2019_Q2",17.8825396825397,"Up",1.871e+09,-7.32e+08,1.139e+09,-1.051e+09,-6.41e+08,-1.24e+08,-2.86e+08,8.8e+07,-1.8e+07,-2.1e+07,3e+06,7e+07,5.8e+07,-1.6e+07,4.2e+07,4.2e+07,4.2e+07,4.2e+07,8.76e+08,4.64e+08,4.12e+08,3.38e+08,3.38e+08,2.21e+08,2.21e+08,1.521e+09,8.032e+09,1.1036e+10,-3.004e+09,3e+06,1.559e+09,1.559e+09,9.594e+09,1.1115e+10,1.169e+09,4.82e+08,6.87e+08,2.68e+08,1.414e+09,1.414e+09,2.851e+09,1.271e+09,2.386e+09,1.123e+09,1.263e+09,3.657e+09,6.508e+09,2.19e+09,3.795e+09,4.607e+09,4.607e+09,1.1115e+10,4.2e+07,1.24e+08,2.7e+07,2.27e+08,4.2e+08,-1.01e+08,1.33e+08,-2.01e+08,-1.69e+08,-1.33e+08,13968553.0965204,39453822.8891627,-1.3e+08,-2.63e+08,-1.2e+07,-1.2e+07,-1.2e+07,2.12e+08,1.539e+09,3.54e+08,0.60877,0.04703,0.02245,0.00912,0.00378,8.42857,0.5335,1.41263,0.13846,0.13757,0.13685,6.1284,15.09008,1.15952,0.00492,0.04149,3.12736,7.53409
"38","2019_Q3",18.14265625,"Up",2.106e+09,-8e+08,1.306e+09,-1.055e+09,-6.51e+08,-1.27e+08,-2.77e+08,2.51e+08,-1.3e+07,-1.6e+07,3e+06,2.38e+08,2.36e+08,-5.7e+07,1.79e+08,1.79e+08,1.79e+08,1.79e+08,9.09e+08,4.61e+08,4.48e+08,2.82e+08,2.82e+08,1.93e+08,1.93e+08,1.469e+09,8.221e+09,1.1324e+10,-3.103e+09,4e+06,1.542e+09,1.542e+09,9.767e+09,1.1236e+10,1.191e+09,5.04e+08,6.87e+08,2.75e+08,1.423e+09,1.423e+09,2.889e+09,1.217e+09,2.433e+09,1.158e+09,1.275e+09,3.65e+09,6.539e+09,2.225e+09,3.974e+09,4.697e+09,4.697e+09,1.1236e+10,1.79e+08,1.27e+08,3.9e+07,2.03e+08,5.48e+08,-2.27e+08,5.3e+07,-2.25e+08,-3.99e+08,-4.9e+07,2.7e+07,2.7e+07,-1.26e+08,-1.48e+08,1e+06,1e+06,1e+06,3.78e+08,1.492e+09,4.11e+08,0.62013,0.11918,0.085,0.03811,0.01593,2.29609,0.50848,1.39217,0.13279,0.59488,0.59213,6.999,15.60984,1.3659,0.02076,0.04767,1.54233,2.32271
"39","2019_Q4",18.58140625,"Up",2.086e+09,-7.8e+08,1.306e+09,-1.058e+09,-6.54e+08,-1.34e+08,-2.7e+08,2.48e+08,6e+06,-1.3e+07,1.9e+07,2.54e+08,2.54e+08,-6.7e+07,1.87e+08,1.87e+08,1.87e+08,1.87e+08,9.94e+08,6.95e+08,2.99e+08,2.51e+08,2.51e+08,1.31e+08,1.31e+08,1.46e+09,8.293e+09,1.1497e+10,-3.204e+09,5e+06,1.561e+09,1.561e+09,9.859e+09,1.1319e+10,1.111e+09,4.65e+08,6.46e+08,3.16e+08,1.332e+09,1.332e+09,2.759e+09,1.32e+09,2.476e+09,1.199e+09,1.277e+09,3.796e+09,6.555e+09,2.232e+09,4.161e+09,4.764e+09,4.764e+09,1.1319e+10,1.87e+08,1.34e+08,2.5e+07,-1.16e+08,2.3e+08,-1.77e+08,2.78e+08,-1.1e+08,-9e+06,1.42e+08,0,0,-1.28e+08,1.4e+07,2.35e+08,2.35e+08,2.35e+08,3.82e+08,1.636e+09,1.56e+08,0.62608,0.11889,0.08965,0.03925,0.01652,0.83422,0.52918,1.37594,0.14454,0.63584,0.63133,7.09283,16.19857,0.53043,0.02107,0.01758,1.68063,2.58871
"40","2020_Q1",16.576935483871,"Down",2.031e+09,-3.047e+09,-1.016e+09,1.243e+09,1.656e+09,-1.4e+08,-2.73e+08,2.27e+08,-7e+06,3e+06,-1e+07,2.2e+08,2.2e+08,-5.9e+07,1.61e+08,1.61e+08,1.61e+08,1.61e+08,1.328e+09,9.59e+08,3.69e+08,2.31e+08,2.31e+08,1.46e+08,1.46e+08,1.786e+09,8.614e+09,1.191e+10,-3.296e+09,3e+06,1.515e+09,1.274e+09,1.0132e+10,1.1918e+10,1.072e+09,4.01e+08,6.71e+08,3.44e+08,1.247e+09,1.247e+09,2.663e+09,1.99e+09,2.466e+09,1.251e+09,1.215e+09,4.456e+09,7.119e+09,2.257e+09,4.322e+09,4.799e+09,4.799e+09,1.1918e+10,1.61e+08,1.4e+08,5.2e+07,-1.02e+08,2.51e+08,-6.51e+08,-4.24e+08,5.23e+08,-5.52e+08,6.98e+08,-5.18e+08,2.4e+07,3.82e+08,5.62e+08,2.61e+08,2.61e+08,2.61e+08,3.67e+08,2.334e+09,-3.27e+08,-0.50025,0.11177,0.07927,0.03355,0.01351,-2.03106,0.67067,1.48343,0.19584,0.56274,0.55864,7.09892,16.77386,-1.14296,0.01677,-0.03407,2.74114,4.43172
"41","2020_Q2",9.84904761904762,"Down",1.588e+09,-1.259e+09,3.29e+08,-4.61e+08,-5.3e+07,-1.39e+08,-2.69e+08,-1.32e+08,-2e+07,-2.3e+07,3e+06,-1.52e+08,-3.54e+08,8.6e+07,-2.68e+08,-2.68e+08,-2.68e+08,-2.68e+08,1.799e+09,1.618e+09,1.81e+08,1.01e+08,1.01e+08,2.13e+08,2.13e+08,2.194e+09,8.751e+09,1.2151e+10,-3.4e+09,3e+06,1.392e+09,1.392e+09,1.0146e+10,1.234e+10,9.91e+08,4.22e+08,5.69e+08,1.309e+09,1.322e+09,1.322e+09,3.622e+09,1.908e+09,2.444e+09,1.213e+09,1.231e+09,4.352e+09,7.974e+09,2.298e+09,4.054e+09,4.366e+09,4.366e+09,1.234e+10,-2.68e+08,1.39e+08,1.24e+08,1.29e+08,1.24e+08,-3.14e+08,1.88e+08,-5.3e+07,-1.79e+08,8.81e+08,-1.66e+08,96432911.7360643,-1e+06,7.14e+08,6.59e+08,6.59e+08,6.59e+08,7e+06,3.217e+09,-2.64e+08,0.20718,-0.08312,-0.16877,-0.06138,-0.02172,0.98507,0.60574,1.82639,0.2607,-0.96681,-0.96681,5.72872,15.75036,-0.95238,-0.02673,-0.02633,202.57143,-10.74242
"42","2020_Q3",11.22375,"Up",2.15e+08,-6.57e+08,-4.42e+08,-2.72e+08,-7000000.00000024,-1.4e+08,-1.25e+08,-7.14e+08,-4e+07,-4.2e+07,2e+06,-7.54e+08,-4.5e+08,1.3e+08,-3.2e+08,-3.2e+08,-3.2e+08,-3.2e+08,2.901e+09,2.561e+09,3.4e+08,8.5e+07,8.5e+07,7.2e+08,7.2e+08,3.777e+09,8.702e+09,1.2222e+10,-3.52e+09,3e+06,1.545e+09,1.545e+09,1.025e+10,1.4027e+10,1.285e+09,3.47e+08,9.38e+08,1.346e+09,1.354e+09,1.354e+09,3.985e+09,3.43e+09,2.518e+09,1.265e+09,1.253e+09,5.948e+09,9.933e+09,2.344e+09,3.734e+09,4.094e+09,4.094e+09,1.4027e+10,-3.2e+08,1.4e+08,-1.02e+08,3.81e+08,9.9e+07,-6.3e+07,-1.59e+08,-4000000.00000006,-2.26e+08,1.437e+09,3.9e+07,4e+07,1.19e+08,1.595e+09,1.468e+09,1.468e+09,1.468e+09,-5.74e+08,4.776e+09,-3.86e+08,-2.05581,-3.32093,-1.48837,-0.07816,-0.02281,1.20625,0.9478,2.42623,0.34049,-1.17216,-1.17216,0.78755,14.99634,-1.41392,-0.0281,-0.0339,-3.26655,-2.62605
"43","2020_Q4",13.72171875,"Up",4.92e+08,-8.02e+08,-3.1e+08,-3.18e+08,-2.4e+07,-1.28e+08,-1.66e+08,-6.28e+08,-6.1e+07,-6.6e+07,5e+06,-6.89e+08,-5.77e+08,1.84e+08,-3.93e+08,-3.93e+08,-3.93e+08,-3.93e+08,3.019e+09,2.453e+09,5.66e+08,9.1e+07,9.1e+07,2.75e+08,2.75e+08,3.455e+09,8.375e+09,1.1754e+10,-3.379e+09,3e+06,1.6e+09,1.6e+09,9.978e+09,1.3433e+10,1.042e+09,4.07e+08,6.35e+08,4e+08,1.366e+09,1.366e+09,2.808e+09,4.439e+09,2.469e+09,1.092e+09,1.377e+09,6.908e+09,9.716e+09,2.359e+09,3.341e+09,3.717e+09,3.717e+09,1.3433e+10,-3.93e+08,1.28e+08,3.8e+07,-2.19e+08,-4.46e+08,-1.52e+08,-2.26e+08,1.98e+08,-1.8e+08,-6.8e+07,1e+07,1e+07,1.18e+08,6e+07,-5.66e+08,-5.66e+08,-5.66e+08,-5e+08,4.839e+09,-1.055e+09,-0.63008,-1.27642,-0.79878,-0.10573,-0.02926,2.68448,1.23041,2.61394,0.36023,-1.44114,-1.44114,1.80418,13.63036,-3.86872,-0.03565,-0.09569,-3.64000000000002,-2.89809
"44","2021_Q1",17.3296721311475,"Up",6.62e+08,-8.29e+08,-1.67e+08,-3.56e+08,-2.6e+07,-1.28e+08,-2.02e+08,-5.23e+08,-5.8e+07,-2.5e+07,-3.3e+07,-5.81e+08,-5.12e+08,1.39e+08,-3.73e+08,-3.73e+08,-3.73e+08,-3.73e+08,3.053e+09,1.918e+09,1.135e+09,9.8e+07,9.8e+07,1.23e+08,1.23e+08,3.345e+09,8.399e+09,1.1878e+10,-3.479e+09,2e+06,1.66e+09,1.399e+09,1.0061e+10,1.3406e+10,9.89e+08,3.65e+08,6.24e+08,4.5e+08,1.235e+09,1.235e+09,2.674e+09,4.413e+09,2.368e+09,9.22e+08,1.446e+09,6.781e+09,9.455e+09,2.964e+09,2.968e+09,3.951e+09,3.951e+09,1.3406e+10,-3.73e+08,1.28e+08,6.9e+07,-2.84e+08,-4.6e+08,-2.62e+08,-5.7e+08,6.8e+07,-7.64e+08,-1e+08,5.97e+08,5.97e+08,1.17e+08,6.14e+08,-6.1e+08,-6.1e+08,-6.1e+08,-3.95e+08,4.863e+09,-1.08e+09,-0.25227,-0.79003,-0.56344,-0.09441,-0.02782,2.89544,1.25093,2.39307,0.36275,-1.2992,-1.26398,2.30582,13.76176,-3.76176,-0.03336,-0.09658,-4.58228,-3.4608
"45","2021_Q2",19.3746031746032,"Up",7.33e+08,-9.58e+08,-2.25e+08,-3.58e+08,-2.3e+07,-1.25e+08,-2.1e+08,-5.83e+08,-5.7e+07,-5.4e+07,-3e+06,-6.4e+08,-3.47e+08,1e+08,-2.47e+08,-2.47e+08,-2.47e+08,-2.47e+08,3.225e+09,2.358e+09,8.67e+08,1.53e+08,1.53e+08,1.62e+08,1.62e+08,3.608e+09,8.506e+09,1.2084e+10,-3.578e+09,2649217.16586163,1.546e+09,1.303e+09,1.0052e+10,1.366e+10,1.151e+09,3.75e+08,7.76e+08,4.63e+08,1.517e+09,1.517e+09,3.131e+09,4.619e+09,2.196e+09,8.26e+08,1.37e+09,6.815e+09,9.946e+09,9.93e+08,2.721e+09,3.714e+09,3.714e+09,1.366e+10,-2.47e+08,1.25e+08,-9.2e+07,3.91e+08,1.77e+08,-2.11e+08,2.7e+08,-7e+06,5.2e+07,2.11e+08,2e+06,-6e+06,-1e+06,2.12e+08,4.41e+08,4.41e+08,4.41e+08,-4.58e+08,5.082e+09,-3.78e+08,-0.30696,-0.79536,-0.33697,-0.06651,-0.01808,1.53036,1.15235,2.67798,0.37204,-0.7809,-0.7809,2.31742,11.74202,-1.19507,-0.02247,-0.03439,-4.05459,-3.18525
"46","2021_Q3",15.343125,"Down",1.499e+09,-1.277e+09,2.22e+08,-4.41e+08,-4.7e+07,-1.33e+08,-2.61e+08,-2.19e+08,-8.9e+07,-5e+07,-3.9e+07,-3.08e+08,5.7e+07,7e+06,6.4e+07,6.4e+07,6.4e+07,6.4e+07,3.726e+09,2.409e+09,1.317e+09,3.35e+08,3.35e+08,1.35e+08,1.35e+08,4.196e+09,8.679e+09,1.2355e+10,-3.676e+09,1e+06,1.539e+09,1.275e+09,1.0219e+10,1.4415e+10,1.549e+09,5.3e+08,1.019e+09,4.32e+08,1.992e+09,1.992e+09,3.973e+09,3.998e+09,2.631e+09,8.3e+08,1.801e+09,6.629e+09,1.0602e+10,1.028e+09,2.785e+09,3.813e+09,3.813e+09,1.4415e+10,6.4e+07,1.33e+08,5.1e+07,1.233e+09,1.481e+09,-3.13e+08,-4.5e+08,-1.1e+07,-7.74e+08,-6.82e+08,2.7e+07,4.2e+07,-1.49011611938477e-08,-6.55e+08,52000000.0000001,52000000.0000001,52000000.0000001,-8.6e+07,4.43e+09,8.27e+08,0.1481,-0.1461,0.0427,0.01678,0.00444,12.92188,1.05613,2.78049,0.30732,0.20234,0.20234,4.73917,12.05501,2.61461,0.00589,0.07605,-8.18605,-3.21461
"47","2021_Q4",14.699375,"Down",1.972e+09,-1.475e+09,4.97e+08,-4.97e+08,-6e+07,-1.4e+08,-2.97e+08,0,-5e+07,-3.8e+07,-1.2e+07,-5e+07,1.9e+08,-6e+07,1.3e+08,1.3e+08,1.3e+08,1.3e+08,3.293e+09,2.193e+09,1.1e+09,2.74e+08,2.74e+08,1.23e+08,1.23e+08,3.69e+09,8.794e+09,1.2569e+10,-3.775e+09,1e+06,1.584e+09,1.301e+09,1.0379e+10,1.4069e+10,1.388e+09,5.75e+08,8.13e+08,3.91e+08,1.787e+09,1.787e+09,3.566e+09,3.76e+09,2.794e+09,8.82e+08,1.912e+09,6.554e+09,1.012e+10,1.034e+09,2.915e+09,3.949e+09,3.949e+09,1.4069e+10,1.3e+08,1.4e+08,1.3e+07,-1.86e+08,9.7e+07,-2.46e+08,2.5e+08,-1.7e+07,-1.3e+07,-2.94e+08,0,0,0,-2.94e+08,-2.1e+08,-2.1e+08,-2.1e+08,1.4e+08,4.151e+09,-2.32e+08,0.25203,0,0.06592,0.03292,0.00924,-1.78462,1.03477,2.56267,0.29505,0.40881,0.40461,6.20126,12.41824,-0.72956,0.01193,-0.0213,6.12857,-9.02529934854074
"48","2022_Q1",14.4820967741935,"Down",1.833e+09,-1.437e+09,3.96e+08,-5.07e+08,-5.3e+07,-1.42e+08,-3.12e+08,-1.11e+08,1.3e+07,-3.3e+07,4.6e+07,-9.8e+07,-1.63e+08,3.4e+07,-1.29e+08,-1.29e+08,-1.29e+08,-1.29e+08,2.842e+09,2.018e+09,8.24e+08,2.07e+08,2.07e+08,1.24e+08,1.24e+08,3.247e+09,8.814e+09,1.2703e+10,-3.889e+09,3.9e+07,1.542e+09,1.258e+09,1.0395e+10,1.3642e+10,1.338e+09,4.99e+08,8.39e+08,3.55e+08,1.724e+09,1.724e+09,3.417e+09,3.651e+09,2.725e+09,8.43e+08,1.882e+09,6.376e+09,9.793e+09,3.052e+09,2.786e+09,3.849e+09,3.849e+09,1.3642e+10,-1.29e+08,1.42e+08,-3.3e+07,-9.3e+07,-1.13e+08,-2.25e+08,2.26e+08,3e+07,31000000.0000001,-1.17e+08,2.3e+07,2.4e+07,1e+06,-9.3e+07,-1.75e+08,-1.75e+08,-1.75e+08,3.1e+07,4.006e+09,-3.21e+08,0.21604,-0.06056,-0.07038,-0.03352,-0.00946,2.48837,0.95025,2.5443,0.29365,-0.40363,-0.40363,5.73529,12.04318,-1.00438,-0.01219,-0.03034,37.54839,-10.48649
"49","2022_Q2",10.6911290322581,"Down",1.736e+09,-1.569e+09,1.67e+08,-5.34e+08,-5.7e+07,-1.43e+08,-3.34e+08,-3.67e+08,-3.3e+07,-3.3e+07,88709345.4950457,-4e+08,-3.98e+08,1.43e+08,-2.55e+08,-2.55e+08,-2.55e+08,-2.55e+08,2.784e+09,1.834e+09,9.5e+08,2.48e+08,2.48e+08,1.72e+08,1.72e+08,3.272e+09,8.857e+09,1.2862e+10,-4.005e+09,1.1e+08,1.564e+09,1.29e+09,1.0531e+10,1.3803e+10,1.598e+09,6.24e+08,9.74e+08,3.81e+08,2.047e+09,2.047e+09,4.026e+09,3.545e+09,2.634e+09,7.02e+08,1.932e+09,6.179e+09,1.0205e+10,1.068e+09,2.531e+09,3.598e+09,3.598e+09,1.3803e+10,-2.55e+08,1.43e+08,-1.4e+08,4.99e+08,2.47e+08,-8.5e+07,-2e+08,-4.9e+07,-3.34e+08,-8.3e+07,-6e+06,-6e+06,-5852928.64628719,-8.9e+07,-1.76e+08,-1.76e+08,-1.76e+08,-2.24e+08,3.926e+09,4.7e+07,0.0962,-0.21141,-0.14689,-0.07087,-0.01847,-0.18431,0.81272,2.8363,0.28443,-0.79787,-0.79787,5.43179,11.25782,0.14706,-0.0251,0.00463,-5.09821,-3.11172
"50","2022_Q3",8.14109375,"Down",2.445e+09,-1.942e+09,5.03e+08,-5.72e+08,-7.8e+07,-1.45e+08,-3.49e+08,-6.9e+07,-3.2e+07,-3.2e+07,84128036.4851371,-1.01e+08,-1.51e+08,-3.7e+07,-1.88e+08,-1.88e+08,-1.88e+08,-1.88e+08,2.484e+09,1.611e+09,8.73e+08,2.91e+08,2.91e+08,1.46e+08,1.46e+08,2.994e+09,8.904e+09,1.3033e+10,-4.129e+09,1.2e+08,1.525e+09,1.256e+09,1.0549e+10,1.3543e+10,1.539e+09,5.85e+08,9.54e+08,4.28e+08,2.098e+09,2.098e+09,4.065e+09,3.394e+09,2.638e+09,7.42e+08,1.896e+09,6.032e+09,1.0097e+10,1.105e+09,2.343e+09,3.446e+09,3.446e+09,1.3543e+10,-1.88e+08,1.45e+08,5.7e+07,3.8e+07,5.2e+07,-1.89e+08,60999999.9999999,-2.3e+07,-1.51e+08,-1.06e+08,2.9e+07,3.5e+07,-3.5e+07,-1.12e+08,-2.11e+08,-2.11e+08,-2.11e+08,7.6e+07,3.822e+09,-3.8e+07,0.20573,-0.0282199999999999,-0.07689,-0.05456,-0.01388,0.20213,0.73653,2.93006,0.28221,-0.58658,-0.58658,7.62871,10.75195,-0.11856,-0.01898,-0.00384,17.60526,-19.3913
