"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"30","2017_Q3",31.4919047619048,"Down",1.759e+09,-1.528e+09,2.31e+08,-2.93e+08,-2.93e+08,-61999999.9999999,-2.9e+07,-2.2e+07,-2e+06,-5e+06,-90999999.9999999,-9.1e+07,1.7e+07,-7.4e+07,-7.4e+07,-1e+06,-7.5e+07,-7.5e+07,1.53e+09,1.53e+09,2.086e+09,2.086e+09,3.207e+09,9.18e+08,3.19e+08,5.99e+08,7.741e+09,3.052e+09,9.788e+09,3.438e+09,6.129e+09,1.51e+08,1.3146e+10,2.0887e+10,2.008e+09,4.48e+08,7.1e+07,1.489e+09,3.37e+08,3.37e+08,2.851e+09,2.708e+09,1.306e+09,9.99e+08,3.07e+08,4.014e+09,6.865e+09,8.167e+09,7.044e+09,-1.258e+09,1.3953e+10,6.9e+07,1.4022e+10,2.0887e+10,-7.4e+07,1.74e+08,5.2e+07,1.6e+07,1.68e+08,-4.3e+07,1.3e+07,-1.06e+08,-1.9e+07,-1e+06,1.1e+07,-1.8e+07,4.4e+07,4.4e+07,7e+06,5.1e+07,1.12e+08,3.214e+09,67999999.9999999,0.13132,-0.03525,-0.04264,-0.00535,-0.00359,-0.90667,2.71519,0.48959,0.15388,-0.19841,-0.19841,4.65344,36.9127,0.17989,0.05026,6,-0.00302,0.00367,-0.25333,15.03571,-27.16129
"31","2017_Q4",32.6652380952381,"Up",1.835e+09,-1.55e+09,2.85e+08,-2.92e+08,-2.92e+08,-7e+06,-3.3e+07,-1.5e+07,-2e+06,-1.6e+07,-4e+07,-4e+07,1.3e+07,-2.7e+07,-2.7e+07,1e+06,-2.6e+07,-2.6e+07,1.722e+09,1.722e+09,2.06e+09,2.06e+09,3.219e+09,8.24e+08,3.06e+08,5.18e+08,7.825e+09,3.031e+09,9.769e+09,3.377e+09,6.165e+09,1.56e+08,1.3109e+10,2.0934e+10,2.048e+09,4.47e+08,5.7e+07,1.544e+09,2.88e+08,2.88e+08,2.842e+09,2.707e+09,1.234e+09,9.25e+08,3.09e+08,3.941e+09,6.783e+09,8.194e+09,6.999e+09,-1.109e+09,1.4084e+10,6.7e+07,1.4151e+10,2.0934e+10,-2.7e+07,1.74e+08,5e+07,3.5e+07,2.32e+08,-4.2e+07,9e+06,-3.6e+07,-1.9e+07,-1e+06,-1.2e+07,-2.1e+07,1.75e+08,1.75e+08,1.7e+07,1.92e+08,1.67e+08,3.213e+09,1.47e+08,0.15531,-0.00381,-0.01417,-0.00184,-0.00124,-5.65385,2.75334,0.47933,0.15348,-0.06897,-0.06897,4.86737,37.35809,0.38992,0.0504,6,-0.00038,0.0079,-0.73077,8.92814,-213
"32","2018_Q1",35.4608196721311,"Up",1.969e+09,-1.802e+09,1.67e+08,-2.78e+08,-2.78e+08,-1.11e+08,-1.7e+07,-1.9e+07,-1e+06,3e+06,-1.28e+08,-1.28e+08,1.13e+08,-1.5e+07,-1.5e+07,1e+06,-1.4e+07,-1.4e+07,1.437e+09,1.437e+09,2.015e+09,2.015e+09,3.003e+09,7.62e+08,2.67e+08,4.95e+08,7.217e+09,3.002e+09,9.678e+09,3.301e+09,6.227e+09,1.37e+08,1.2989e+10,2.0206e+10,1.829e+09,5.1e+08,8.1e+07,1.238e+09,5.19e+08,5.19e+08,2.354e+09,2.706e+09,9.86e+08,6.77e+08,3.09e+08,3.692e+09,6.046e+09,8.238e+09,6.966e+09,-1.11e+09,1.4094e+10,6.6e+07,1.416e+10,2.0206e+10,-1.5e+07,1.75e+08,-2.39e+08,4e+08,3.21e+08,-6.5e+07,5e+06,-6.1e+07,-1.9e+07,-5.02e+08,-8e+06,-5.43e+08,-2.83e+08,-2.83e+08,-2e+06,-2.85e+08,6.4e+07,2.712e+09,2.86e+08,0.08481,-0.05637,-0.00711,-0.00099,-0.00069,-20.42857,3.06585,0.42698,0.13422,-0.03714,-0.03714,5.22281,37.38462,0.75862,0.0504,7,0.00028,0.01602,-1.35714,19.92188,-11.48649
"33","2018_Q2",39.19484375,"Up",1.795e+09,-1.508e+09,2.87e+08,-2.88e+08,-2.88e+08,-1e+06,-6.2e+07,-1.7e+07,2e+06,-4.7e+07,-6.3e+07,-6.3e+07,-3e+06,-6.6e+07,-6.6e+07,-2e+06,-6.8e+07,-6.8e+07,1.236e+09,1.236e+09,2.102e+09,2.102e+09,3.146e+09,7.02e+08,2.87e+08,4.15e+08,7.186e+09,2.926e+09,9.586e+09,3.215e+09,6.217e+09,1.41e+08,1.2824e+10,2.001e+10,1.528e+09,5.28e+08,3.5e+07,9.65e+08,5.98e+08,5.98e+08,2.132e+09,2.707e+09,1.02e+09,6.85e+08,3.35e+08,3.727e+09,5.859e+09,8.26e+09,6.883e+09,-1.061e+09,1.4082e+10,6.9e+07,1.4151e+10,2.001e+10,-6.6e+07,1.73e+08,2.2e+07,-2.58e+08,-1.29e+08,-3.9e+07,1.4e+07,-6.1e+07,-1.9e+07,-2e+06,25827168.3970437,-1.8e+07,-2.08e+08,-2.08e+08,7e+06,-2.01e+08,1.72e+08,2.713e+09,-1.22e+08,0.15989,-0.00056,-0.03788,-0.00481,-0.0034,1.79412,3.37054,0.41403,0.13558,-0.18037,-0.18037,4.76127,37.35279,-0.32361,0.0504,4,-0.00274,-0.00682,-0.27941,8.58721,-1477
"34","2018_Q3",43.3573015873016,"Up",2.106e+09,-1.751e+09,3.55e+08,-3.03e+08,-3.03e+08,5.2e+07,-2.2e+07,-1.8e+07,-1e+06,-3000000.00000001,3e+07,3e+07,-5e+06,2.5e+07,2.5e+07,-999999.999999999,2.4e+07,2.4e+07,1.137e+09,1.137e+09,1.967e+09,1.967e+09,3.158e+09,7.46e+08,3.01e+08,4.45e+08,7.008e+09,2.859e+09,9.583e+09,3.171e+09,6.273e+09,1.26e+08,1.275e+10,1.9758e+10,1.577e+09,6.16e+08,1.1e+07,9.5e+08,6.09e+08,6.09e+08,2.194e+09,2.707e+09,8.89e+08,6.66e+08,2.23e+08,3.596e+09,5.79e+09,8.31e+09,6.888e+09,-1.298e+09,1.39e+10,6.8e+07,1.3968e+10,1.9758e+10,2.5e+07,1.74e+08,6.8e+07,-27999999.9999999,2.39e+08,-6.3e+07,8e+06,-2.99e+08,-1.9e+07,-2e+06,2.2e+07,-2e+06,-6.2e+07,-6.2e+07,-3.7e+07,-9.9e+07,2.26e+08,2.715e+09,1.4e+08,0.16857,0.02469,0.0114,0.00172,0.00121,5.83333,3.19417,0.41452,0.13741,0.06366,0.06366,5.58621,36.87003,0.37135,0.0504,8,0.00245,0.00797,0.791669999999999,6.9823,30.3461500000001
"35","2018_Q4",33.5557142857143,"Down",2.154e+09,-1.761e+09,3.93e+08,-3.2e+08,-3.2e+08,7.3e+07,-4e+07,-1.8e+07,-2e+06,-2e+07,3.3e+07,3.3e+07,-2.9e+07,4e+06,4e+06,-3e+06,1e+06,1e+06,1.293e+09,1.293e+09,2.005e+09,2.005e+09,3.177e+09,7.46e+08,2.63e+08,4.83e+08,7.221e+09,2.813e+09,9.555e+09,3.072e+09,6.339e+09,1.31e+08,1.2672e+10,1.9893e+10,1.698e+09,6.75e+08,45306473.2985939,1.023e+09,5.7e+08,5.7e+08,2.276e+09,2.706e+09,9.35e+08,6.72e+08,2.63e+08,3.641e+09,5.917e+09,8.365e+09,6.869e+09,-1.328e+09,1.3906e+10,7e+07,1.3976e+10,1.9893e+10,4e+06,1.72e+08,5.5e+07,-4.1e+07,1.9e+08,-7.1e+07,3.9e+07,-3.2e+07,-1.9e+07,-2e+06,-2.2e+07,8e+06,1.66e+08,1.66e+08,-1e+07,1.56e+08,2.45e+08,2.714e+09,1.62e+08,0.18245,0.03389,0.00046,7e-05,5e-05,162,3.17267,0.42337,0.13643,0.00264,0.00261,5.68338,36.69129,0.42744,0.05013,7,0.00113,0.00919,19,5.8,19.46575
"36","2019_Q1",27.5855737704918,"Down",2.398e+09,-1.989e+09,4.09e+08,-3.22e+08,-3.22e+08,8.7e+07,-4.6e+07,-1.5e+07,-2e+06,-2.9e+07,4.1e+07,40999999.9999999,-2.6e+07,14999999.9999999,1.5e+07,-3e+06,12000000.0000001,12000000.0000001,1.427e+09,1.427e+09,2.101e+09,2.101e+09,2.986e+09,7.65e+08,2e+08,5.65e+08,7.279e+09,2.797e+09,9.419e+09,3.02e+09,6.264e+09,1.24e+08,1.2517e+10,1.9796e+10,1.876e+09,7.22e+08,6.6e+07,1.088e+09,4.58e+08,4.58e+08,2.341e+09,2.704e+09,8.62e+08,5.64e+08,2.98e+08,3.566e+09,5.907e+09,8.394e+09,6.862e+09,-1.437e+09,1.3819e+10,7e+07,1.3889e+10,1.9796e+10,14999999.9999999,1.71e+08,-5.3e+07,8.8e+07,2.21e+08,-7.1e+07,5999999.99999999,-6.5e+07,-1.9e+07,6e+06,4.6e+07,-1.8e+07,1.38e+08,1.38e+08,-4e+06,1.34e+08,2.58e+08,2.711e+09,3.01e+08,0.17056,0.03628,0.00499999999999996,0.000860000000000006,0.000610000000000005,25.08333,3.10935,0.4253,0.13695,0.0316600000000002,0.032,6.32718,36.46174,0.7942,0.05013,8,0.00178,0.01724,1.58333,4.97674,14.75862
"37","2019_Q2",23.5353968253968,"Down",1.94e+09,-1.684e+09,2.56e+08,-3.04e+08,-3.04e+08,-4.8e+07,-3.7e+07,-1.9e+07,3365862.41506791,-1.8e+07,-8.5e+07,-8.5e+07,1e+07,-7.5e+07,-7.5e+07,-2e+06,-7.7e+07,-7.7e+07,1.27e+09,1.27e+09,1.793e+09,1.793e+09,3.131e+09,7.44e+08,2.05e+08,5.39e+08,6.938e+09,2.605e+09,1.016e+10,2.942e+09,6.292e+09,9.15e+08,1.3064e+10,2.0002e+10,1.576e+09,6.79e+08,2.1e+07,8.76e+08,5.27e+08,5.27e+08,2.103e+09,2.483e+09,1.576e+09,5.65e+08,1.011e+09,4.059e+09,6.162e+09,8.412e+09,6.766e+09,-1.413e+09,1.3765e+10,7.5e+07,1.384e+10,2.0002e+10,-7.5e+07,1.77e+08,2.6e+07,-1.66e+08,-3.8e+07,-4.3e+07,1e+06,-1.07e+08,-1.9e+07,-168270065.670676,-1e+06,-2e+07,-1.65e+08,-1.65e+08,8e+06,-1.57e+08,1.29e+08,2.483e+09,-9e+07,0.13196,-0.02474,-0.03969,-0.00556,-0.00385,1.16883,3.2991,0.44523,0.12414,-0.20263,-0.20263,5.10526,36.22368,-0.23684,0.05,3,-0.00324,-0.00503,-0.24675,9.4031,-25.27083
"38","2019_Q3",20.83,"Down",2.132e+09,-2.07e+09,6.2e+07,-4.17e+08,-4.17e+08,-3.55e+08,-2.9e+07,-1.9e+07,-2e+06,-8e+06,-3.84e+08,-5.757e+09,3.73e+08,-5.384e+09,-5.384e+09,-5e+06,-5.389e+09,-5.389e+09,1.121e+09,1.121e+09,1.973e+09,1.973e+09,2.858e+09,8.14e+08,2.29e+08,5.85e+08,6.766e+09,2.356e+09,4.933e+09,9e+08,3.206e+09,8.27e+08,7.583e+09,1.4349e+10,1.65e+09,6.95e+08,-6293434.56525892,9.55e+08,5.71e+08,5.71e+08,2.221e+09,2.483e+09,1.158e+09,1.77e+08,9.81e+08,3.641e+09,5.862e+09,8.445e+09,1.358e+09,-1.392e+09,8.411e+09,7.6e+07,8.487e+09,1.4349e+10,-5.384e+09,1.54e+08,5.38e+09,-2.23e+08,-7.3e+07,-5.4e+07,5e+06,-4.9e+07,-1.9e+07,-425308292.913001,0,-1.9e+07,-1.41e+08,-1.41e+08,-8e+06,-1.49e+08,-2.01e+08,2.483e+09,-8.51e+08,0.02908,-0.16651,-2.52767,-0.63497,-0.37557,0.15791,3.04638,0.6907,0.17304,-14.10733,-14.10733,5.58115,22.01832,-2.22775,0.04974,2,-0.44278,-0.07017,-0.00353000000000001,-6.77612,-3.83662
"39","2019_Q4",22.0259375,"Up",2.126e+09,-1.975e+09,1.51e+08,-2.93e+08,-2.93e+08,-1.42e+08,-3.5e+07,-2.1e+07,-4e+06,-1e+07,-1.77e+08,-1.89e+08,-6e+07,-2.49e+08,-2.49e+08,5e+06,-2.44e+08,-2.44e+08,1.313e+09,1.313e+09,1.799e+09,1.799e+09,2.537e+09,8.66e+08,2.51e+08,6.15e+08,6.515e+09,2.361e+09,4.838e+09,8.66e+08,3.236e+09,7.36e+08,7.49e+09,1.4005e+10,1.708e+09,7.16e+08,9000000.00000001,9.83e+08,5.68e+08,5.68e+08,2.276e+09,2.484e+09,1.116e+09,1.74e+08,9.42e+08,3.6e+09,5.876e+09,8.487e+09,1.094e+09,-1.524e+09,8.057e+09,7.2e+07,8.129e+09,1.4005e+10,-2.49e+08,1.02e+08,3.29e+08,1.7e+08,3.52e+08,-6.9e+07,7.2e+07,-1.12e+08,-2e+07,-598442373.698825,-1.4e+07,-3.4e+07,2.06e+08,2.06e+08,-1.4e+07,1.92e+08,-4e+07,2.484e+09,1.21e+08,0.07103,-0.06679,-0.11477,-0.03002,-0.01742,-0.4959,2.86248,0.72284,0.17737,-0.63542,-0.63542,5.53646,20.98177,0.3151,0.05208,3,-0.0191,0.01032,-0.08197,-29.275,-8.24648
"40","2020_Q1",18.4938709677419,"Down",2.281e+09,-1.905e+09,3.76e+08,-2.89e+08,-2.89e+08,8.7e+07,-8.2e+07,-2.1e+07,-7000000.00000001,-5.4e+07,5e+06,-4.31e+08,4.6e+07,-385000000.000001,-3.85e+08,-9.31322574615479e-10,-3.85e+08,-3.85e+08,1.171e+09,1.171e+09,1.855e+09,1.855e+09,2.197e+09,8.9e+08,2.47e+08,6.43e+08,6.113e+09,2.354e+09,4.682e+09,8.52e+08,2.807e+09,7.41e+08,7.036e+09,1.3149e+10,1.706e+09,7.15e+08,4.2e+07,9.49e+08,5.41e+08,5.41e+08,2.247e+09,1.989e+09,1.067e+09,1.4e+08,9.27e+08,3.056e+09,5.303e+09,8.511e+09,6.9e+08,-1.423e+09,7.778e+09,6.8e+07,7.846e+09,1.3149e+10,-385000000.000001,1e+08,5.04e+08,2.54e+08,4.73e+08,-6.7e+07,2e+07,-4.7e+07,-1.9e+07,-5.21e+08,-3.4e+07,-5.74e+08,-1.48e+08,-1.48e+08,6e+06,-1.42e+08,1.87e+08,1.989e+09,3.28e+08,0.16484,0.03814,-0.16879,-0.0490700000000001,-0.02928,-0.85195,2.72052,0.67589,0.15127,-1.00785,-1.00785,5.9712,20.36126,0.85864,0.04974,3,-0.0335699999999999,0.03009,-0.04935,4.37433,9.4023
"41","2020_Q2",12.1185714285714,"Down",1.883e+09,-1.659e+09,2.24e+08,-2.83e+08,-2.83e+08,-5.9e+07,-2.55e+08,-1.9e+07,-2.33e+08,-3e+06,-3.14e+08,-2.205e+09,1.56e+08,-2.049e+09,-2.049e+09,2e+06,-2.047e+09,-2.047e+09,1.115e+09,1.115e+09,1.879e+09,1.879e+09,2.032e+09,8.76e+08,2.37e+08,6.39e+08,5.902e+09,2.003e+09,2.728e+09,5.34e+08,1.515e+09,6.79e+08,4.788e+09,1.069e+10,1.578e+09,6.62e+08,2.8e+07,8.88e+08,5.85e+08,5.85e+08,2.163e+09,2.002e+09,9.71e+08,6.9e+07,9.02e+08,2.973e+09,5.136e+09,8.522e+09,-1.381e+09,-1.655e+09,5.486e+09,6.8e+07,5.554e+09,1.069e+10,-2.049e+09,1.05e+08,2.232e+09,-2.49e+08,3.9e+07,-6.8e+07,1.5e+07,-5.3e+07,-1.9e+07,-154721781.6589,-2.4e+07,-4.3e+07,-5.7e+07,-5.7e+07,1e+06,-5.6e+07,4.6e+07,2.002e+09,-4.27e+08,0.11896,-0.03133,-1.0871,-0.36856,-0.19149,0.2086,2.72862,0.92474,0.18728,-5.34465,-5.34465,4.91645,14.32376,-1.11488,0.04961,3,-0.23783,-0.05008,-0.00928,19.28261,-15.0339
"42","2020_Q3",11.52828125,"Down",1.496e+09,-1.359e+09,1.37e+08,-2.37e+08,-2.37e+08,-1e+08,-3.4e+07,-2e+07,-6e+06,-7999999.99999999,-1.34e+08,-1.34e+08,4.7e+07,-87000000.0000002,-8.7e+07,-6e+06,-92999999.9999998,-92999999.9999998,1.447e+09,1.447e+09,1.502e+09,1.502e+09,1.929e+09,7.12e+08,2.04e+08,5.08e+08,5.59e+09,2.01e+09,2.781e+09,5.25e+08,1.493e+09,7.63e+08,4.857e+09,1.0447e+10,1.431e+09,5.56e+08,6e+07,8.15e+08,5.23e+08,5.23e+08,1.954e+09,2.029e+09,9.31e+08,7.1e+07,8.6e+08,2.96e+09,4.914e+09,8.547e+09,-1.474e+09,-1.613e+09,5.46e+09,7.3e+07,5.533e+09,1.0447e+10,-87000000.0000002,8.2e+07,5.7e+07,3.26e+08,3.78e+08,-5.6e+07,-2e+06,-5.8e+07,0,2.5e+07,-9e+06,1.6e+07,3.36e+08,3.36e+08,-4e+06,3.32e+08,-1.8e+07,2.029e+09,2.05e+08,0.09158,-0.06684,-0.0621700000000001,-0.0168099999999999,-0.00889999999999999,-2.2043,2.8608,0.88813,0.19422,-0.24156,-0.24156,3.88571,14.18182,0.53247,0,4,-0.01095,0.02414,-3.46944695195361e-18,-32.33333,-5.82
"43","2020_Q4",11.15140625,"Down",1.384e+09,-1.245e+09,1.39e+08,-2.13e+08,-2.13e+08,-7.4e+07,-4e+07,-2.1e+07,-1.1e+07,-8e+06,-1.14e+08,-1.14e+08,6.1e+07,-5.3e+07,-5.3e+07,-2e+06,-5.5e+07,-5.5e+07,1.485e+09,1.485e+09,1.382e+09,1.382e+09,1.745e+09,7.64e+08,2.09e+08,5.55e+08,5.376e+09,1.994e+09,2.739e+09,5.16e+08,1.493e+09,7.3e+08,4.792e+09,1.0168e+10,1.402e+09,4.76e+08,7.4e+07,8.52e+08,4.82e+08,4.82e+08,1.884e+09,1.824e+09,9.2e+08,7e+07,8.5e+08,2.744e+09,4.628e+09,8.571e+09,-1.529e+09,-1.577e+09,5.465e+09,7.5e+07,5.54e+09,1.0168e+10,-5.3e+07,8.3e+07,5.2e+07,2.41e+08,3.23e+08,-4.9e+07,0,-4.9e+07,0,-2.06e+08,-2.3e+07,-2.29e+08,4.5e+07,4.5e+07,-7e+06,3.8e+07,9e+06,1.824e+09,1.4e+08,0.10043,-0.05347,-0.03974,-0.00993,-0.00541,-2.54545,2.8535,0.83538,0.17939,-0.14323,-0.14323,3.60417,14.23177,0.36458,0,4,-0.00664,0.0169,0,37.66667,-4.58108
"44","2021_Q1",14.3091803278689,"Up",1.327e+09,-1.393e+09,-6.6e+07,-2.35e+08,-2.35e+08,-3.01e+08,-2.5e+07,-1.7e+07,-1e+07,2e+06,-3.26e+08,-3.26e+08,-2.2e+07,-3.48e+08,-3.48e+08,1e+06,-3.47e+08,-3.47e+08,1.692e+09,1.692e+09,1.274e+09,1.274e+09,1.408e+09,8.35e+08,2.24e+08,6.11e+08,5.209e+09,1.927e+09,2.793e+09,5.27e+08,1.493e+09,7.22e+08,4.72e+09,9.929e+09,1.403e+09,4.89e+08,5.1e+07,8.63e+08,4.64e+08,4.64e+08,1.867e+09,1.834e+09,9.49e+08,7.8e+07,8.71e+08,2.783e+09,4.65e+09,8.595e+09,-1.876e+09,-1.509e+09,5.21e+09,6.9e+07,5.279e+09,9.929e+09,-3.48e+08,8.2e+07,2.41e+08,2.11e+08,1.86e+08,-5.3e+07,8.3e+07,1.6e+07,0,-3.1e+07,2.8e+07,-2999999.99999994,1.99e+08,1.99e+08,8e+06,2.07e+08,-2.19e+08,1.834e+09,-3.9e+07,-0.04974,-0.22683,-0.26149,-0.06573,-0.03495,0.11239,2.79004,0.88085,0.18471,-0.90365,-0.90365,3.45573,13.56771,-0.10156,-1.73472347597681e-18,3,-0.04304,-0.00484,0,-0.648400000000002,-0.47176
"45","2021_Q2",15.3415873015873,"Up",1.249e+09,-1.093e+09,1.56e+08,-2.44e+08,-2.44e+08,-8.8e+07,-3.2e+07,-1.8e+07,-4e+06,-1e+07,-1.2e+08,-1.2e+08,6e+06,-1.14e+08,-1.14e+08,-1e+06,-1.15e+08,-1.15e+08,1.607e+09,1.607e+09,1.265e+09,1.265e+09,1.357e+09,7.67e+08,1.9e+08,5.77e+08,4.996e+09,1.894e+09,2.782e+09,5.16e+08,1.495e+09,7.24e+08,4.676e+09,9.672e+09,1.297e+09,4.67e+08,3.8e+07,7.92e+08,4.55e+08,4.55e+08,1.934e+09,1.669e+09,9.19e+08,7.7e+07,8.42e+08,2.588e+09,4.522e+09,8.602e+09,-1.991e+09,-1.53e+09,5.081e+09,6.9e+07,5.15e+09,9.672e+09,-1.14e+08,7.9e+07,5.2e+07,-4.4e+07,-2.7e+07,-4.9e+07,-2e+06,-5.1e+07,-2839604.26573574,1e+07,-1.3e+07,-3e+06,-8.1e+07,-8.1e+07,-4e+06,-8.5e+07,-9e+06,1.851e+09,-1.08e+08,0.1249,-0.07046,-0.09207,-0.02233,-0.01189,0.93913,2.58325,0.87806,0.19138,-0.2987,-0.2987,3.24416,13.1974,-0.28052,0.00713957816091385,4,-0.01452,-0.01364,-0.0907227342322187,-27.11111,-2.77273
"46","2021_Q3",13.30671875,"Down",1.417e+09,-1.186e+09,2.31e+08,-2.19e+08,-2.19e+08,1.2e+07,-3.3e+07,-1.7e+07,0,-1.6e+07,-2.1e+07,-2.1e+07,-2000000.00000001,-2.3e+07,-2.3e+07,-3e+06,-2.6e+07,-2.6e+07,1.572e+09,1.572e+09,1.258e+09,1.258e+09,1.322e+09,7.56e+08,2.22e+08,5.34e+08,4.908e+09,1.871e+09,2.822e+09,5.08e+08,1.495e+09,7.74e+08,4.693e+09,9.601e+09,1.313e+09,5.26e+08,1.6e+07,7.71e+08,4.97e+08,4.97e+08,1.81e+09,1.686e+09,9.27e+08,7.2e+07,8.55e+08,2.613e+09,4.423e+09,8.622e+09,-2.017e+09,-1.497e+09,5.108e+09,7e+07,5.178e+09,9.601e+09,-2.3e+07,7.7e+07,1.8e+07,1.05e+08,1.77e+08,-4.9e+07,1.1e+07,-3.8e+07,-9118469.91625799,-1.72e+08,-6999999.99999999,-1.79e+08,-4e+07,-4e+07,5e+06,-3.5e+07,8.9e+07,1.686e+09,1.47e+08,0.16302,0.00847000000000002,-0.01835,-0.00502,-0.00271,-5.65385,2.7116,0.85419,0.17561,-0.06718,-0.06718,3.6615,13.19897,0.37984,0.0231108400548642,6,-0.00334,0.01887,-0.246414462312242,1.2809,9.5
"47","2021_Q4",13.5384375,"Up",1.341e+09,-1.156e+09,1.85e+08,-2.28e+08,-2.28e+08,-4.3e+07,-1.7e+07,-1.6e+07,-2e+06,1e+06,-6e+07,-6e+07,-5e+06,-6.5e+07,-6.5e+07,-4e+06,-6.9e+07,-6.9e+07,1.668e+09,1.668e+09,1.28e+09,1.28e+09,1.325e+09,6.66e+08,2e+08,4.66e+08,4.939e+09,1.825e+09,2.803e+09,4.97e+08,1.495e+09,7.61e+08,4.628e+09,9.567e+09,1.326e+09,5.19e+08,2.2e+07,7.85e+08,5.27e+08,5.27e+08,1.853e+09,1.704e+09,9.32e+08,8e+07,8.52e+08,2.636e+09,4.489e+09,8.641e+09,-2.086e+09,-1.545e+09,5.01e+09,6.8e+07,5.078e+09,9.567e+09,-6.5e+07,7.5e+07,4.1e+07,5.4e+07,1.05e+08,-3.9e+07,2.6e+07,-1.3e+07,-15838100.6086512,1e+07,0,1e+07,1.02e+08,1.02e+08,-6e+06,9.6e+07,3.2e+07,1.704e+09,5.2e+07,0.13796,-0.03207,-0.05145,-0.01359,-0.00721,-0.75362,2.66541,0.88401,0.17811,-0.17876,-0.17876,3.47409,12.97927,0.13472,0.0403466819213825,5,-0.00894,0.00674,-0.403898959236144,1.125,-0.83721
"48","2022_Q1",17.3443548387097,"Up",1.517e+09,-1.315e+09,2.02e+08,-2.17e+08,-2.17e+08,-1.5e+07,-1.4e+07,-1.7e+07,1e+06,2e+06,-2.9e+07,-2.9e+07,-1.4e+07,-4.3e+07,-4.3e+07,3e+06,-4e+07,-4e+07,1.591e+09,1.591e+09,1.321e+09,1.321e+09,1.331e+09,6.59e+08,1.98e+08,4.61e+08,4.902e+09,1.823e+09,2.825e+09,5.03e+08,1.527e+09,7.45e+08,4.648e+09,9.55e+09,1.414e+09,6.12e+08,2.4e+07,7.78e+08,4.91e+08,4.91e+08,1.91e+09,1.708e+09,8.68e+08,6.6e+07,8.02e+08,2.576e+09,4.486e+09,8.689e+09,-2.146e+09,-1.546e+09,4.997e+09,6.7e+07,5.064e+09,9.55e+09,-4.3e+07,7.5e+07,7.9e+07,-7.5e+07,3.6e+07,-6.4e+07,2.2e+07,-9.4e+07,-2e+07,3e+06,0,-1.7e+07,-7.5e+07,-7.5e+07,-2e+06,-7.7e+07,6e+07,1.713e+09,-6.5e+07,0.13316,-0.00989000000000001,-0.02637,-0.0079,-0.00419,1.625,2.56649,0.88586,0.17937,-0.10256,-0.10256,3.88974,12.81282,-0.16667,0.05128,6,-0.00262,-0.0085,-0.5,2.03333,-8.13333
