"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"30","2017_Q3",13.6203174603175,"Up",318796000,-142557000,176239000,-82864000,-7573000,-39525000,93375000,-12235000,-13084000,849000,81140000,-29483000,51657000,51415000,51415000,51415000,51415000,597318000,597318000,46319000,46319000,75232000,8817000,66415000,720104000,3104969000,16876000,16876000,3121845000,3841949000,63878000,29182000,34696000,9023000,46111000,46111000,119012000,995640000,36631000,36631000,1032271000,1151283000,-931645000,2674468000,897968000,2640791000,49875000,2690666000,3841949000,51415000,39684000,3175000,15865000,110139000,-29627000,20038000,-9589000.00000003,-14228000,-4014000.00000001,-1037000,56939000,157489000,157489000,157489000,133059000,1004663000,0.55283,0.2929,0.16128,0.01911,0.01338,6.05068,0.42788,0.2615,0.23356,0.23356,1.44818,16.22839,0.06463,0.01759,0.27673,3.06139,4.36246
"31","2017_Q4",14.2506349206349,"Up",303909000,-144117000,159792000,-81463000,-7233000,-39719000,78329000,-15981000,-17008000,1027000,62348000,-65257000,-2909000,10082000,17082000,17082000,17082000,466519000,466519000,44838000,44838000,82064000,10518000,71546000,594657000,3235053000,24787000,24787000,3259840000,3854497000,68224000,30730000,37494000,9161000,47601000,47601000,124986000,1004390000,29774000,29774000,1034164000,1159150000,-946119000,2679504000,912881000,2646266000,49081000,2695347000,3854497000,17082000,39802000,21166000,2052000,80102000,-195888000,7016000,-188872000,-14465000,-2659000,-2963000,-16898000,-125668000,-125668000,-125668000,118131000,1013551000,0.52579,0.25774,0.05621,0.00634,0.00443,4.75779,0.43006,0.26295,0.07619,0.07619,1.35557,16.0237,0.06452,0.00844,0.8468,4.63072,6.98377
"32","2018_Q1",13.9570491803279,"Down",290190000,-140738000,149452000,-79325000,-7232000,-38583000,70127000,-8682000,-10425000,1743000,61445000,-35999000,25446000,20680000,20680000,20680000,20680000,488002000,488002000,34219000,34219000,204580000,10464000,71309000,728124000,3106066000,23622000,23622000,3129688000,3857812000,192391000,31810000,160581000,5477000,44691000,44502000,242559000,1004086000,28989000,28989000,1033075000,1275634000,-1080013000,2681474000,932277000,2533738000,48440000,2582178000,3857812000,20680000,38648000,11807000,5280000,76415000,-33438000,-61999.9999999925,-33500000,-14474000,-1745000,-5450000,-21669000,21246000.0000001,21246000.0000001,21246000.0000001,108775000,1009563000,0.51501,0.24166,0.07126,0.00801,0.00536,3.00184,0.49401,0.26169,0.09225,0.09225,1.2945,16.12044,0.06457,0.00971,0.6999,4.79486,7.43738
"33","2018_Q2",14.51609375,"Up",271446000,-137674000,133772000,-77697000,-7102000,-36688000,56075000,-7385000,-8876000,1491000,48690000,-13975000,34715000,38455000,38455000,38455000,38455000,467050000,467050000,48589000,48589000,91868000,12532000,79336000,608882000,3110887000,33016000,33016000,3143903000,3752785000,67612000,34950000,32662000,5569000,43073000,43073000,116254000,1002633000,31041000,31041000,1033674000,1149928000,-1094501000,2679355000,968293000,2553147000,49710000,2602857000,3752785000,38455000,36754000,-19943000,-24670000,30596000,-39321000,136993000,97672000,-133894000,-1893000,-5406000,-141193000,-12925000,-12925000,-12925000,92829000,1008202000,0.49281,0.20658,0.14167,0.01477,0.01025,5.23751,0.44179,0.26865,0.17146,0.17146,1.21029,16.26367,0.59699,0.04732,3.48184,5.82956,9.6505
"34","2018_Q3",14.7725396825397,"Up",317447000,-142283000,175164000,-80446000,-7594000,-37334000,94718000,-8218000,-11184000,2966000,86500000,-32863000,53637000,51262000,51262000,51262000,51262000,544900000,544900000,46540000,46540000,128667000,11289000,74989000,721330000,3089181000,35102000,35102000,3124283000,3845613000,71891000,37495000,34396000,5653000,50723000,46662000,128267000,1001213000,30802000,30802000,1032015000,1160282000,-1109121000,2726662000,1017181000,2634722000,50609000,2685331000,3845613000,51262000,37399000,5424000,18572000,112657000,-47820000,643000,-65661000,-14488000,-2655000,-1475000,26507000,73503000,73503000,73503000,132117000,1006866000,0.55179,0.29837,0.16148,0.01909,0.01333,5.62366,0.43208,0.26182,0.22759,0.22759,1.40938,16.62172,0.06432,0.01766,0.28263,3.49664,4.87728
"35","2018_Q4",13.2239682539683,"Down",289308000,-136585000,152723000,-75099000,-7360000,-36159000,77624000,-8957000,-11549000,2592000,68667000,23592000,92259000,91586000,91586000,91586000,91586000,650691000,650691000,44330000,44330000,113896000,11790000,68794000,809972000,3073622000,35019000,35019000,3108641000,3918613000,70660000,34844000,35816000,5913000,50849000,47390000,127422000,999770000,30981000,30981000,1030751000,1158173000,-1123741000,2728805000,1106391000,2711455000,48985000,2760440000,3918613000,91586000,36059000,-50162000,-1200000,76283000,-53860000,97547000,43655000,-14620000,-1722000,-4e+06,-20342000,99596000,99596000,99596000,113683000,1005683000,0.52789,0.26831,0.31657,0.03318,0.02337,6.35661,0.41956,0.25664,0.4033,0.4033,1.27396,16.88814,0.06438,0.02797,0.15963,3.12265,4.57322
"36","2019_Q1",13.4573770491803,"Up",280852000,-76752000,204100000,-75873000,-8191000,-36268000,128227000,-12630000,-16081000,3451000,115597000,-35382000,80215000,77756000,77756000,69142000,56312000,809316000,809316000,33844000,33844000,65314000,12261000,53053000,908474000,3030998000,33361000,33361000,3064359000,3972833000,181925000,30425000,151500000,5838000,44962000,44962000,232725000,998234000,30703000,30703000,1028937000,1261662000,-1250202000,2730966000,1182722000,2663486000,47685000,2711171000,3972833000,77756000,34746000,-36813000,10066000,85755000,296267000,-234083000,80700000,-14620000,-1304000,-7647000,-23571000,142884000,142884000,142884000,162973000,1004072000,0.72672,0.45656,0.2005,0.02077,0.01417,3.90364,0.46536,0.25273,0.24798,0.24798,1.23679,17.23469,0.06438,0.01894,0.25962,1.19502,1.51884
"37","2019_Q2",13.2812698412698,"Down",257680000,-129544000,128136000,-76743000,-7516000,-36387000,51393000,-9402000,-14326000,4924000,41991000,-27187000,14804000,17916000,17916000,17916000,17916000,683995000,683995000,42306000,42306000,66088000,15342000,50746000,792389000,2946796000,151472000,151472000,3098268000,3890657000,66406000,34668000,31738000,6064000,39912000,39912000,112382000,996721000,71267000,71267000,1067988000,1180370000,-1264838000,2728752000,1199039000,2662953000,47334000,2710287000,3890657000,17916000,36387000,1835000,-24566000,31572000,-24520000,-455402099.379646,-24520000,-126461000,-1834000,-6385000,-134680000,-127628000,-127628000,-127628000,87780000,1002785000,0.49727,0.19945,0.06953,0.00661,0.0046,7.05085,0.43551,0.25774,0.07885,0.07885,1.13406,17.28637,0.55656,0.03815,7.05855,3.63169,6.20298
"38","2019_Q3",12.631875,"Down",302896000,-135487000,167409000,-78617000,-8078000,-36524000,88792000,-11005000,-15816000,4811000,77787000,-29193000,48594000,45918000,45918000,42364000,35950000,741503000,741503000,48240000,48240000,54919000,8720000,46199000,844662000,2936678000,144400000,144400000,3081078000,3925740000,67117000,32092000,35025000,6167000,47907000,47907000,121191000,995210000,71273000,71273000,1066483000,1187674000,-1279456000,2726019000,1243002000,2689565000,48501000,2738066000,3925740000,45918000,36524000,9705000,12334000,104481000,-28406000,-441698276.626832,-28406000,-14636000,-1955000,-788000,-23114000,52961000,52961000,52961000,125316000,1001377000,0.55269,0.29314,0.11869,0.01313,0.00916,6.96968,0.43376,0.25508,0.1581,0.1581,1.33205,17.45461,0.0643599999999999,0.01327,0.40712,2.07375,2.92677
"39","2019_Q4",13.1265625,"Up",281639000,-132979000,148660000,-75881000,-7395000,-37573000,72779000,-9497000,-13259000,3762000,63282000,-30486000,32796000,33545000,33545000,31037000,27829000,730039000,730039000,44021000,44021000,79046000,14359000,46206000,853106000,2910852000,134879000,134879000,3045731000,3898837000,68962000,33140000,35822000,6271000,58289000,58289000,133522000,982067000,70729000,70729000,1052796000,1186318000,-1293907000,2684003000,1274039000,2664135000,48384000,2712519000,3898837000,33545000,37573000,4789000,-1331000,74576000,-22544000,-293576604.184195,-22544000,-14618000,-1981000,-2625000,-63489000,-11457000,-11457000,-11457000,110352000,988338000,0.52784,0.25841,0.09881,0.01026,0.00714,6.38925,0.43735,0.2535,0.12396,0.12396,1.25453,17.63071,0.06511,0.01125,0.52528,2.34068,3.54909
"40","2020_Q1",11.4475806451613,"Down",272952000,-76839000,196113000,-163726000,-61644000,-37264000,32387000,-7762000,-10822000,3060000,24625000,21823000,46448000,45414000,45414000,44416000,41208000,816857000,816857000,35209000,35209000,61666000,13550000,48116000,913732000,2872353000,132889000,132889000,3005242000,3918974000,196488000,35614000,160874000,82109000,46955000,46955000,325552000,904524000,67827000,67827000,972351000,1297903000,-1429779000,2686162000,1318455000,2574838000,46233000,2621071000,3918974000,45414000,37264000,-15347000,12960000,80291000,28320000,-111642154.494371,28320000,-14451000,-2195000,-3149000,-19883000,88728000,88728000,88728000,69651000,986633000,0.71849,0.11865,0.15097,0.01572,0.01051,2.80672,0.49518,0.25176,0.18428,0.18428,1.22062,17.90837,0.06462,0.01514,0.35068,2.43752,5.2421
"41","2020_Q2",8.59444444444444,"Down",191212000,-105660000,85552000,-90783000,-19856000,-36746000,-5231000,-15201000,-17507000,2306000,-20432000,-135417000,-155849000,-162519000,-162519000,-162061000,-165268000,847445000,847445000,23134000,23134000,67677000,14192000,53485000,938256000,2756412000,104872000,104872000,2861284000,3799540000,70198000,39072000,31126000,82189000,33831000,33831000,186218000,1203038000,73278000,73278000,1276316000,1462534000,-1443763000,2580600000,1156394000,2293231000,43775000,2337006000,3799540000,-162519000,36736000,132095000,-8837000,-2525000,-17362000,3500000,-13862000,-135872000,298102000,-2e+06,52344000,35957000,35957000,35957000,31505000,1285227000,0.44742,-0.02736,-0.86432,-0.07072,-0.0435,5.03848,0.62582,0.33826,-0.7477,-0.7477,0.86507,16.90672,0.61471,-0.00795,-0.82213,13.89564,-83.68993
"42","2020_Q3",7.84640625,"Down",10424000,-21927000,-11503000,-56141000,-12528000,-34539000,-67644000,-12644000,-12950000,306000,-80288000,-37224000,-117512000,-117500000,-117500000,-115338000,-118545000,540420000,540420000,4448000,4448000,130669000,8026000,45960000,675537000,2645481000,102683000,102683000,2748164000,3423701000,60629000,42577000,18052000,188757000,36500000,36500000,285886000,845243000,72580000,72580000,917823000,1203709000,-1446970000,2583793000,1041056000,2177879000,42113000,2219992000,3423701000,-117500000,34528000,22137000,28431000,-32404000,-16833000,-111000,-16944000,-13984000,-251718000,-3492000,-265202000,-314550000,-314550000,-314550000,-33116000,1.034e+09,-1.10351,-6.48926,-11.37231,-0.0534,-0.03462,2.36296,0.54221,0.30201,-0.55336,-0.55336,0.04866,16.92068,0.06528,-0.03143,-0.11796,-14.90458,-7.29673
"43","2020_Q4",9.46703125,"Up",28910000,-33003000,-4093000,-53673000,-10477000,-33005000,-57766000,-12603000,-12742000,139000,-70369000,-20821000,-91190000,-91107000,-91107000,-89291000,-92499000,461288000,461288000,4624000,4624000,56846000,14500000,42346000,522758000,2621476000,102548000,102548000,2724024000,3246782000,63117000,44162000,18955000,188096000,36562000,36562000,287775000,759114000,71848000,71848000,830962000,1118737000,-1450178000,2586161000,951765000,2087748000,40297000,2128045000,3246782000,-91107000,33026000,2306000,3399000,-52376000,65609000,-3500000,62109000,-3207000,-86574000,-2698000,-92479000,-82746000,-82746000,-82746000,-24740000,947210000,-0.14158,-1.99813,-3.19955,-0.04347,-0.02849,1.81655,0.52571,0.29174,-0.43177,-0.43177,0.13495,16.51446,0.01497,-0.02837,-0.03467,-19.64115,-8.41189999999999
"44","2021_Q1",11.8168852459016,"Up",37360000,-31558000,5802000,-45258000,-9029000,-32761000,-39456000,-10023000,-10108000,85000.0000000001,-49479000,10114000,-39365000,-39380000,-39380000,-37999000,-41207000,368406000,368406000,8566000,8566000,58173000,10440000,47733000,435145000,2461498000,89074000,89074000,2550572000,2985717000,55926000,37326000,18600000,2261000,32606000,32606000,90793000,788051000,17494000,17494000,805545000,896338000,-1453386000,2588264000,913766000,2048644000,40735000,2089379000,2985717000,-39380000,32761000,-24797000,2016000,-29400000,82485000,0,82485000,-3208000,-109553000,-27819000,-140580000,-87495000.0000001,-87495000.0000001,-87495000.0000001,-6695000,790312000,0.1553,-1.0561,-1.10297,-0.01972,-0.0138,4.79272,0.429,0.2647,-0.19234,-0.19234,0.17438,16.34614,0.01497,-0.01312,-0.07785,-63.01807,-10.69308
"45","2021_Q2",12.6025396825397,"Up",50633000,-29120000,21513000,-54290000,-12052000,-30770000,-32777000,-8028000,-7649000,-379000,-40805000,-14439000,-55244000,-55287000,-55287000,-53312000,-56519000,320275000,320275000,13163000,13163000,56416000,11434000,44982000,389854000,2439963000,86857000,86857000,2526820000,2916674000,50934000,34292000,16642000,2295000.00000001,31013000,31013000,84242000,786140000,14679000,14679000,800819000,885061000,-1456593000,2587617000,860454000,1991478000,40135000,2031613000,2916674000,-55287000,30770000,2482000,-16140000,-38175000,-6526000,-140903567.850368,-6526000,-4805754.96497957,-832000,-1833000,-6181000,-50882000,-50882000,-50882000,-2007000,788435000,0.42488,-0.64734,-1.11625,-0.02782,-0.01938,4.62779,0.43564,0.27032,-0.26357,-0.26357,0.23612,16.07957,0.0228788419914148,-0.01994,-0.177784165925618,-233.26358,-14.28319
"46","2021_Q3",11.535625,"Down",117210000,-53916000,63294000,-67601000,-16509000,-32729000,-4307000,-8044000,-8065000,20999.9999999999,-12351000,-15544000,-27895000,-27918000,-27918000,-27322000,-35117000,162898000,162898000,25044000,25044000,54903000,7413000,47490000,242845000,2687395000,85122000,85122000,2772517000,3015362000,60700000,41046000,19654000,2331000,50693000,50693000,113724000,784721000,13612000,13612000,798333000,912057000,-1398138000,2628772000,833132000,2063766000,39539000,2103305000,3015362000,-27918000,32729000,4740000,14701000,24252000,-205905000,-118943000,-324848000,-7969000,-810000.000000015,-2453000,145727000,-154869000,-154869000,-154869000,28422000,787052000,0.54001,-0.03675,-0.29961,-0.0167,-0.01165,2.13539,0.43363,0.26101,-0.16376,-0.16376,0.54659,16.14408,0.03716,-0.00935,-0.22693,21.96024,-144.91618
"47","2021_Q4",11.83859375,"Up",167421000,-80354000,87067000,-82704000,-24305000,-32585000,4363000,-7981000,-7983000,2000,-3618000,-18481000,-22099000,-22124000,-22124000,-23057000,-29344000,179487000,179487000,28349000,28349000,74395000,18512000,42124000,282231000,2669169000,83195000,83195000,2752364000,3034595000,69909000,48740000,21169000,87396000,62619000,62619000,219924000,697713000,14495000,14495000,712208000,932132000,-1379425000,2631341000,810075000,2061991000,40472000,2102463000,3034595000,-22124000,32554000,4445000,7452000,22327000,-25185000,118863000,89778000,-2776000,-819000,-197287000,-100882000,11223000,11223000,11223000,36917000,785109000,0.52005,0.02606,-0.17527,-0.01396,-0.00967,1.28331,0.44335,0.25872,-0.13479,-0.13479,0.76901,15.80741,0.01275,-0.00915,-0.0946,16.40496,138.80862
"48","2022_Q1",11.2401612903226,"Down",173886000,-84182000,89704000,-78281000,-18559000,-32598000,11423000,-7188000,-7201000,13000.0000000001,4235000,134107000,138342000,138324000,138324000,137989000,134640000,120483000,120483000,28733000,28733000,132880000,14338000,42234000,282096000,2720016000,38937000,38937000,2758953000,3041049000,70967000,47701000,19753000,20694000,84097000,84097000,175758000,613861000,11656000,11656000,625517000,801275000,-1382774000,2633677000,948064000,2198967000,40807000,2239774000,3041049000,138324000,32629000,-148736000,-2251000,19966000,-5992000,-193287000,-195379000,-2948000,-77423000,196890000,116519000,-58894000,-58894000,-58894000,44052000,634555000,0.51588,0.06569,0.7743,0.06011,0.04427,1.60503,0.35775,0.20866,0.61844,0.61844,0.79871,16.45197,0.01354,0.04767,0.0219,11.66966,45.00324
"49","2022_Q2",11.3162903225806,"Up",172315000,-83635000,88680000,-79462000,-21188000,-31360000,9218000,-701000,-5081000,4380000,8517000,6742000,15259000,15123000,15123000,13989000,10216000,214905000,214905000,35346000,35346000,57621000,18137000,39484000,307872000,2613428000,31568000,31568000,2644996000,2952868000,74475000,55902000,18573000,109741000,65671000,65671000,249887000,485829000,9143000,9143000,494972000,744859000,-1386547000,2590562000,962053000,2166068000,41941000,2208009000,2952868000,15123000,31354000,-24622000,-8707000,13148000,160446000,3910000,164356000,-5706172.24258691,-35503000,-3513000,-85832000,91672000,91672000,91672000,40572000,595570000,0.51464,0.0535,0.05929,0.00463,0.00345999999999998,1.23204,0.33734,0.20169,0.04689,0.04689,0.79091,16.30612,0.0263671951037443,0.00363,0.118918979859504,9.38246,41.29583
"50","2022_Q3",10.7003125,"Down",251280000,-104402000,146878000,-85902000,-20338000,-30893000,60976000,-5822000,-5938000,116000,55154000,-17434000,37720000,37692000,37692000,35349000,31576000,107329000,107329000,42151000,42151000,59748000,14137000,45611000,209228000,2847800000,29595000,29595000,2877395000,3086623000,86527000,63451000,23076000,1646000,63715000,63715000,151888000,822172000,9118000,9118000,831290000,983178000,-1390320000,2496363000,997402000,2103445000,45521232.9427173,2103445000,3086623000,37692000,30875000,2729000,6209000,77505000,-264282000,-100889000,-365171000,-6699000,229509000,-5429000,186217000,-101449000,-101449000,-101449000,91851000,823818000,0.58452,0.24266,0.12566,0.01501,0.01023,1.37752,0.46741,0.2669,0.14493,0.14493,1.15335,16.03601,0.03075,0.01303,0.21215,7.80056,11.75034
