"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","income_taxes_receivable","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","pension_liabilities","deferred_revenue_long_term","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"29","2017_Q2",36.1790476190476,"Up",225756000,-66562000,159194000,-192582000,-115233000,-58966000,-18383000,-33388000,-3135000,-2070000,-2550000,480000,-1065000,-36523000,-36690000,12468000,-24222000,-24222000,-24222000,-24222000,400455000,261736000,138719000,185881000,185881000,70039000,48523000,48523000,704898000,60269000,2635468000,906345000,1715512000,8134000,2704932000,3409830000,122758000,30551000,87150000,279489000,279489000,402247000,390064000,33301000,79232000,268364000,9167000,690064000,1092311000,2703391000,-676302000,292459000,-2029000,2317519000,2317519000,3409830000,-24222000,37713000,2732000,36412000,52635000,-3297000,11905000,8554000,-1e+08,-5381000,-105381000,-44192000,-44192000,1048000,-43144000,4325000,3e+08,24972000,0.70516,-0.14789,-0.10729,-0.01045,-0.0071,-1.03096,1.7524,0.47133,0.08798,-0.26565,-0.26565,2.47594,25.41697,0.27388,5,-0.00805,0.0083,-23.22659,3.00872
"30","2017_Q3",33.3650793650794,"Down",256863000,-74243000,182620000,-183568000,-106761000,-58509000,-18298000,-948000,-3323000,-2156000,-2566000,410000,-1167000,-4271000.00000001,-4562000,2094000,-2468000,-2468000,-2468000,-2468000,307087000,251505000,55582000,215227000,215227000,65999000,48563000,48563000,636876000,57413000,2617344000,887974000,1715861000,7919000,2681049000,3317925000,128048000,30128000,91657000,269644000,269644000,397692000,387876000,35548000,81660000,260371000,10297000,687876000,1085568000,2723809000,-781948000,289991000,505000,2232357000,2232357000,3317925000,-2468000,37496000,3990999.99999999,-19593000,19426000,-4762000,86060000,73461000,-1e+08,-6306000,-106306000,-13419000,-13419000,3251000,-10168000,36548000,3e+08,10099000,0.71096,-0.00369,-0.00961000000000001,-0.00111,-0.000739999999999999,-4.09198,1.60143,0.48629,0.09042,-0.02786,-0.02786,2.89992,25.20273,0.11402,5,-0.00085,0.00346,-0.193910000000002,7.47574
"31","2017_Q4",30.5588888888889,"Down",268944000,-64509000,204435000,-162811000,-100303000,-44287000,-18221000,41624000,-3107000,-2492000,-2798000,306000,-615000,38517000,35154000,54531000,89685000,89685000,89685000,89685000,379807000,331912000,47895000,249939000,249939000,60278000,23483000,23483000,713507000,53646000,2588679000,859160000,1716371000,7423000,2645512000,3359019000,120054000,32469000,84345000,299271000,299271000,419325000,308346000,35589000,87747000,177598000,7412000,608346000,1027671000,2735504000,-783878000,379676000,46000,2331348000,2331348000,3359019000,89685000,37650000,-70871000,20393000,76857000,-4798000,10730000,5850000,1000,-1930000,-1929000,80778000,80778000,-370000,80408000,79274000,3e+08,40338000,0.76014,0.15477,0.33347,0.03847,0.0267,0.44977,1.70156,0.44081,0.08931,1.02851,0.99772,3.08426,26.73595,0.4626,6,0.03051,0.01372,-1.00672,-1.91733
"32","2018_Q1",27.1860655737705,"Down",235224000,-66591000,168633000,-174770000,-99718000,-53314000,-21738000,-6137000,-5036000,-4107000,-4719000,612000,-929000,-11173000,-12561000,29378000,16817000,16817000,16817000,16817000,447762000,369821000,77941000,213438000,213438000,34774000,56434000,22932000,752408000,52511000,2563689000,831374000,1712764000,12866000,2616200000,3368608000,111375000,30133000,79716000,301925000,301925000,413300000,286526000,35246000,91409000,151563000,8308000,886526000,1299826000,2665237000,-995843000,396493000,2895000,2068782000,2068782000,3368608000,16817000,40644000,-15667000,31742000,73536000,-3600000,-26832000,-30737000,-301324000,-641000,-7346000,35453000,35453000,2456000,37909000,34507000,6e+08,33271000,0.7169,-0.02609,0.0714899999999999,0.00813,0.00499,1.97841,1.82049,0.6283,0.17812,0.20324,0.20165,2.84276,25.0019,0.40209,5,0.00569,0.01126,4.41179999999999,-24.80658
"33","2018_Q2",27.808125,"Up",205111000,-62027000,143084000,-183119000,-104191000,-55463000,-23465000,-40035000,-4693000,-4947000,-5888000,941000,254000,-44728000,-81746000,19242000,-62504000,-62504000,-62504000,-62504000,459053000,353416000,105637000,165331000,165331000,65146000,28544000,28544000,718074000,60006000,2499528000,756418000,1718499000,19036000,2559534000,3277608000,111660000,25122000,86328000,248165000,248165000,359825000,272582000,33457000,80491000,143542000,15092000,872582000,1232407000,2676499000,-999329000,368138000,-107000,2045201000,2045201000,3277608000,-62504000,40347000,34425000,13252000,25520000,-6468000,-27638000,-34102000,-231821178.311369,-3486000,-3486000,-12068000,-12068000,-4337000,-16405000,312000,6e+08,-12146000,0.69759,-0.19519,-0.30473,-0.03056,-0.01907,0.19432,1.99562,0.60258,0.18306,-0.77782,-0.77782,2.55247,25.45112,-0.15115,4,-0.02142,-0.00416,451.75321,-3.52059
"34","2018_Q3",27.0253968253968,"Down",223797000,-63980000,159817000,-171285000,-97345000,-55959000,-17981000,-11468000,-5946000,-5135000,-6427000,1292000,-811000,-17414000,-29063000,2635000,-26428000,-26428000,-26428000,-26428000,452118000,332183000,119935000,184156000,184156000,58414000,25143000,25143000,719831000,63617000,2459557000,720949000,1712962000,20006000,2523174000,3243005000,108934000,22102000,86622000,230098000,230098000,339032000,267375000,34053000,77135000,135738000,20449000,867375000,1206407000,2796814000,-1102481000,341710000,555000,2036598000,2036598000,3243005000,-26428000,34211000,16962000,-17559000,7186000,-5739000,-14324000,-23075000,2000.00000011921,-6891000,-6889000,-22778000,-22778000,821999.999999999,-21956000,22743000,6e+08,-3190000,0.71412,-0.05124,-0.11809,-0.01298,-0.00815,0.12071,2.12319,0.59236,0.18501,-0.33614,-0.33614,2.84649,25.90367,-0.04057,5,-0.0091,-0.0011,6.50231000000002,-12.89519
"35","2018_Q4",25.1884126984127,"Down",246008000,-69584000,176424000,-163170000,-96812000,-49925000,-16433000,13254000,-4564000,-5550000,-7005000,1455000,986000,8690000,-5205000,1602000,-3603000,-3603000,-3603000,-3603000,474807000,369054000,105753000,247690000,247690000,55910000,23826000,23826000,802233000,60789000,2433360000,693763000,1715523000,19298000,2495151000,3297384000,125439000,29432000,95797000,260926000,260926000,386365000,267542000,33320000,84881000,129284000,20057000,867542000,1253907000,2810020000,-1104042000,338107000,-608000,2043477000,2043477000,3297384000,-3603000,31951000,8362000,98000,36808000,-7255000,13204000,5817000,0,-3889000,-3889000,38736000,38736000,-1865000,36871000,45205000,6e+08,36446000,0.71715,0.05388,-0.01465,-0.00176,-0.00109,-10.11546,2.07636,0.61361,0.18196,-0.04633,-0.04633,3.16336,26.27658,0.46865,4,-0.00124,0.01252,2.76945,9.44568
"36","2019_Q1",26.565737704918,"Up",235002000,-58536000,176466000,-145761000,-87094000,-42241000,-16426000,30705000,-6129000,-5266000,-6823000,1557000,-863000,24576000,23102000,-3891000,19211000,19211000,19211000,19211000,485976000,409632000,76344000,235318000,235318000,26270000,53658000,1.8e+07,801222000,58951000,2408809000,669118000,1715485000,16988000,2468772000,3269994000,107428000,24582000,81528000,272508000,272508000,379936000,274625000,36284000,94619000,124229000,19493000,824625000,1204561000,2829042000,-1119063000,358093000,-2639000,2065433000,2065433000,3269994000,19211000,31369000,8373000,21371000,80324000,-3930000,29422000,25108000,-14467000,-554000,-65021000,40411000,40411000,168000,40579000,62074000,5.5e+08,83406000,0.75091,0.13066,0.08175,0.0093,0.00587,4.34158,2.10883,0.5832,0.1682,0.24718,0.24718,3.0237,26.57531,1.07316,9,0.00665,0.02886,1.03141000000002,2.08513
"37","2019_Q2",26.8563492063492,"Up",186024000,-54743000,131281000,-155606000,-95736000,-43727000,-16143000,-24325000,-4399000,-4707000,-6365000,1658000,308000,-28724000,-28847000,-496000,-29343000,-29343000,-29343000,-29343000,438075000,353721000,84354000,160039000,160039000,26479000,51257000,19614000,675850000,56393000,2456671000,648997000,1717945000,82619000,2518151000,3194001000,92019000,25578000,64924000,257564000,246498000,349583000,332983000,35811000,95529000,124870000,76773000,832983000,1182566000,2841121000,-1155252000,328750000,-3184000,2011435000,2011435000,3194001000,-29343000,29335000,16567000,32899000,49458000,-3287000,-12044000,-19485000,-30708000,-3012000,-83720000,-53747000,-53747000,-1163000,-54910000,5010000,5e+08,35118000,0.70572,-0.13076,-0.15774,-0.01459,-0.00919,-1.19681,1.9333,0.58792,0.15654,-0.37959,-0.37959,2.40646,26.02048,0.4543,6,-0.01032,0.01235,12.36028,-2.54573
"38","2019_Q3",23.88,"Down",216421000,-59132000,157289000,-164434000,-98244000,-50058000,-16132000,-7145000,-3616000,-3959000,-5173000,1214000,343000,-10761000,-10911000,-6561000,-17472000,-17472000,-17472000,-17472000,300193000,245064000,55129000,202288000,202288000,26195000,44318000,13109000,572994000,58505000,2430245000,624799000,1719362000,79078000,2496380000,3069374000,105797000,34855000,69425000,244762000,234229000,350559000,328551000,35332000,97013000,120895000,75311000,778551000,1129110000,2863125000,-1230440000,311278000,-3699000,1940264000,1940264000,3069374000,-17472000,29331000,14626000,-27487000,-1002000,-5769000,26689000,20916000,-69290000,-8365000,-127655000,-107741000,-107741000,-1105000,-108846000,22186000,4.5e+08,-4509000,0.72677,-0.03301,-0.08073,-0.009,-0.00569,0.258070000000001,1.63452,0.58194,0.14661,-0.23087,-0.23087,2.85976,25.63842,-0.05958,6,-0.00643,-0.00166,6.75232,-20.96669
"39","2019_Q4",23.6359375,"Down",260024000,-65585000,194439000,-157427000,-92701000,-48606000,-16120000,37012000,-3915000,-3802000,-4629000,827000,-113000,33097000,32904000,3821000,36725000,36725000,36725000,36725000,343934000,287660000,56274000,244877000,244877000,24977000,40261000,14454000,654049000,58700000,2412029000,602856000,1718496000,83643000,2473290000,3127339000,111862000,19756000,90589000,272242000,261151000,384104000,330428000,35808000,104339000,115470000,74811000,780428000,1164532000,2873824000,-1255675000,348003000,-3345000,1962807000,1962807000,3127339000,36725000,28731000,8728000,-4850000,69334000,-6151000,3928000,-2248000,-2.5e+07,-235000,-25235000,41851000,41851000,745000,42596000,65743000,4.5e+08,50921000,0.74777,0.14234,0.14124,0.01871,0.01174,1.38655,1.70279,0.5933,0.14389,0.49388,0.49388,3.49683,26.39601,0.68479,8,0.01339,0.01856,1.61334,2.86572
"40","2020_Q1",25.3574193548387,"Up",229351000,-62732000,166619000,-151849000,-89836000,-45903000,-16110000,14770000,-3784000,-3601000,-4430000,829000,-183000,10986000,8778000,-1442000,7335999.99999999,7335999.99999999,7335999.99999999,7335999.99999999,386458000,338489000,47969000,213514000,213514000,22227000,37544000,13505000,659743000,57715000,2400432000,582179000,1725680000,86353000,2460760000,3120503000,118379000,20004000,97472000,280618000,270281000,398997000,333587000,34256000,104240000,114394000,80697000,783587000,1182584000,2891675000,-1305935000,355339000,-3160000,1937919000,1937919000,3120503000,7335999.99999999,28707000,12249000,58941000,107233000,-4715000,8366000,-3492000,-5e+07,-260000,-50260000,53481000,53481000,-1904000,51577000,43477000,4.5e+08,99145000,0.72648,0.0644,0.03199,0.00379,0.00235,13.51486,1.6535,0.61023,0.14421,0.10007,0.10007,3.12859,26.4353,1.35244,6,0.0027,0.03643,1.46151,4.3021
"41","2020_Q2",25.8388888888889,"Up",183815000,-52980000,130835000,-145229000,-84587000,-45381000,-15261000,-14394000,-4780000,-2809000,-3074000,265000,-1971000,-19174000,-19267000,1847000,-17420000,-17420000,-17420000,-17420000,426508000,403306000,23202000,138793000,138793000,27300000,38174000,12392000,630775000,55228000,2381524000,569477000,1721649000,83907000,2436752000,3067527000,97084000,17288000,79563000,260408000,249382000,357492000,330218000,35120000,100100000,111194000,83804000,780218000,1137710000,2903177000,-1309038000,337919000,-2241000,1929817000,1929817000,3067527000,-17420000,26009000,11028000,25314000,44931000,-6842000,27283000,20543000,-33530535.7406407,-4103000,-4103000,61371000,61371000,2446000,63817000,11615000,4.5e+08,28240000,0.71178,-0.07831,-0.09477,-0.00903,-0.00568,-1.62113,1.76445,0.58954,0.1467,-0.24093,-0.24093,2.54229,26.69069,0.39058,7,-0.00643,0.01042,2.02256,-1.63207
"42","2020_Q3",24.16109375,"Down",205339000,-58900000,146439000,-142691000,-80873000,-46455000,-15363000,3748000,-3394000,-2543000,-2715000,172000,-851000,354000,385000,-4071000,-3686000,-3686000,-3686000,-3686000,427846000,415719000,12127000,156832196.798321,156832196.798321,195910000,45652000,8998000,669408000,53168000,2354975000,551783000,1718595000,77907000,2408143000,3077551000,114642000,18083000,96326000,247565000,236240000,362207000,326024000,36408000,99581000,108716000,81319000,776024000,1138231000,2924880000,-1318535000,334233000,-1258000,1939320000,1939320000,3077551000,-3686000,27143000,15407000,-27149000,11715000,-3464000,11031000,7571000,1000,-9497000,-9496000,9790000.00000001,9790000.00000001,2623000,12413000,30891000,4.5e+08,4349000,0.71316,0.01825,-0.01795,-0.0019,-0.0012,-1.17987,1.84814,0.58692,0.14622,-0.05045,-0.0504499999999999,2.81051,26.54385,0.05953,6,-0.00136,0.0016,0.71717,5.91089
"43","2020_Q4",23.890625,"Down",228739000,-55275000,173464000,-141694000,-82652000,-43769000,-15273000,31770000,-3583000,-2635000,-2708000,73000,-948000,28187000,28187000,834000,29021000,29021000,29021000,29021000,490444000,477755000,12689000,208016000,208016000,26040000,38114000,9566000,762614000,51265000,2332444000,535095000,1714109000,76258000,2383709000,3146323000,133153000,19219000,113701000,263066000,251313000,396219000,321869000,38264000,102713000,105510000,75382000,771869000,1168088000,2936697000,-1321978000,363254000,262000,1978235000,1978235000,3146323000,29021000,26486000,11332000,-1582000,65257000,-3341000,-582000,-3924000,-3274000,-168000,-3442000,57891000,57891000,4145000,62036000,58256000,4.5e+08,52499000,0.75835,0.13889,0.12687,0.01467,0.00922,1.809,1.92473,0.59047,0.14302,0.39487,0.38444,3.11231,26.91659,0.71432,6,0.01055,0.01909,-0.69425,-1.27302
"44","2021_Q1",29.3222950819672,"Up",213389000,-54942000,158447000,-142379000,-83587000,-43558000,-15234000,16068000,-3069000,-2246000,-2382000,136000,-823000,12999000,12999000,-1562000,11437000,11437000,11437000,11437000,476453000,467176000,9277000,197717000,197717000,22813000,25489000,1906000,722472000,48474000,2314092000,511866000,1717554000,76576000,2362566000,3085038000,129173000,17964000,104184000,282102000,269748000,411275000,317984000,39479000,103310000,92287000,82908000,667984000,1079259000,2955400000,-1322496000,374691000,-1940000,2005779000,2005779000,3085038000,11437000,26190000,364999.999999998,54026000,92018000,-2876000,3401000,508000.000000001,9.31322574615479e-10,-1266000,-101266000,-8740000.00000001,-8740000.00000001,-2587000,-11327000,42258000,3.5e+08,94970000,0.74253,0.0753,0.0536,0.0057,0.00371,8.30375,1.75666,0.53807,0.11345,0.15677,0.15536,2.92502,27.49243,1.3018,7,0.00428,0.03552,-2.9924,-7.86987
"45","2021_Q2",28.4071428571429,"Down",190272000,-54410000,135862000,-146529000,-88703000,-42820000,-15006000,-10667000,-2420000,-2091000,-2154000,63000,-329000,-13087000,-13087000,1746000,-11341000,-11341000,-11341000,-11341000,493905000,487168000,6737000,146199000,146199000,20841000,35311000,11534000,696256000,46973000,2289825000,494412000,1716092000,71120000,2336798000,3033054000,97471000,16961000,75018000,270094000,257969000,367565000,312534000,40255000,101929000,89591000,80759000,662534000,1030099000,2968755000,-1327273000,363350000,-1877000,2002955000,2002955000,3033054000,-11341000,24237000,13966000,-2806000,24056000,-2578000,2534000,-32000,-10562299.0064882,-4777000,-4777000,19247000,19247000,745000,19992000,13570000,3.5e+08,6440000,0.71404,-0.05606,-0.0596,-0.00566,-0.00374,-0.56785,1.89424,0.51429,0.1154,-0.153,-0.153,2.56701,27.02241,0.08688,7,-0.00425,0.00242,-10.60464,13.49067
"46","2021_Q3",27.72265625,"Down",211918000,-51644000,160274000,-148109000,-88656000,-44483000,-14970000,12165000,-2336000,-2366000,-2025265.05181483,-70409.9670256304,30000.0000000001,9829000,9829000,-1933000,7896000,7896000,7896000,7896000,475817000,468470000,7347000,162888000,162888000,25728000,37155000,11526000,701588000,45008000,2269802000,474448000,1717870000,69420000,2314810000,3016398000,112069000,17644000,89585000,258718000,246726000,370787000,296607000,39704000,102457000,85987000,68459000,646607000,1017394000,2991830000,-1362141000,371246000,-1931000,1999004000,1999004000,3016398000,7896000,24009000,15956000,-24578000,23283000,-1723000,-610999.999999999,-2320000,-24411000,-13880000,-38291000,-17328000,-17328000,-1370000,-18698000,36174000,3.5e+08,11806000,0.7563,0.0574,0.03726,0.00395,0.00262,1.49519,1.89216,0.50895,0.11603,0.10653,0.10653,2.85904,26.9691,0.15928,8,0.00298,0.00446,-3.47811,-10.34254
"47","2021_Q4",30.32484375,"Up",262194000,-60470000,201724000,-146269000,-89713000,-41637000,-14919000,55455000,177000,-1703000,-1945953.40241977,-141546.62270084,1880000,55632000,55632000,-7907000,47725000,47725000,47725000,47725000,553454000,548105000,5349000,233854000,233854000,21500000,30780000,4355000,839588000,42723000,2251238000,453719000,1720713000,68989000,2293961000,3133549000,122971000,18436000,99153000,308255000,296814000,431226000,304736000,38576000,122227000,80763000,63170000,654736000,1085962000,3003679000,-1373394000,418971000,-1795000,2047587000,2047587000,3133549000,47725000,23801000,9695000,11827000,93048000,-2703000,1998000,-703000,-11239000,588000,-10651000,81694000,81694000,-2059000,79635000,79256000,3.5e+08,96287000,0.76937,0.2115,0.18202,0.02331,0.01523,2.01754,1.94698,0.53036,0.11169,0.64162,0.63555,3.52497,27.5263,1.29449,9,0.01766,0.03563,-2.56705,-3.66881
"48","2022_Q1",31.4182258064516,"Up",191191000,-47662000,143529000,-151848000,-94811000,-42191000,-14846000,-8319000,-1163000,-1591000,-1898165.05181483,-57159.9670256303,428000,-9482000.00000001,-9481999.99999999,1076000,-8406000,-8406000,-8406000,-8406000,703198000,636161000,67037000,148245000,148245000,28220000,42276000,9349000,921939000,41337000,2231433000,433419000,1723156000,67975000,2272770000,3194709000,134164000,21959000,107852000,341996000,330585000,476160000,308154000,34737000,133121000,78899000,61397000,658154000,1134314000,3023529000,-1373840000,410565000,141000,2060395000,2060395000,3194709000,-8406000,23737000,13821000,126474000,155626000,-3396000,-61719000,-65298000,-1000,-445000,-446000,89882000,89882000,-1826000,88056000,15418000,3.5e+08,137420000,0.75071,-0.04351,-0.04397,-0.00408,-0.00263,-16.34785,1.9362,0.55053,0.10956,-0.12045,-0.11683,2.73968,29.52447,1.96916,6,-0.00309,0.05055,-22.90816,42.45679
"49","2022_Q2",33.5462903225806,"Up",208812000,-57714000,151098000,-158451000,-101113000,-43457000,-13881000,-7353000,-1358000,-1588000,-1864000,276000,230000,-8711000,-10485000,3353000,-7132000,-7132000,-7132000,-7132000,374646000,332502000,42144000,112889000,112889000,22840000,53020000,21271000,563395000,40328000,2212912000,414950000,1726200000,65116000,2253240000,2816635000,106966000,19848000,84194000,308228000,297243000,415194000,294552000,33688000,126621000,75192000,59051000,494552000,909746000,2993163000,-1489687000,403433000,-147000,1906889000,1906889000,2816635000,-7132000,21585000,14954000,-41928000,-12521000,-2362000,24879000,22522000,-150038000,-10808000,-310846000,-300845000,-300845000,-2814000,-303659000,14232000,2e+08,-33411000,0.72361,-0.03521,-0.03416,-0.00374,-0.00253,4.68466,1.35694,0.47708,0.07101,-0.09647,-0.09647,2.82438,25.79075,-0.45192,5,-0.00297,-0.01391,-12.27136,23.75167
"50","2022_Q3",32.71640625,"Down",228081000,-57641000,170440000,-149097000,-91379000,-43917000,-13801000,21343000,-2024000,-1486000,-1825558.24697529,951183.27837605,-538000,19319000,19379000,-1996000,17383000,17383000,17383000,17383000,367131000,320325000,46806000,139126000,139126000,24063000,58069000,30420000,588389000,38752000,2194912000,393650000,1733342000,61688000,2233664000,2822053000,104405000,21474000,82357000,297791000,287328000,402196000,282211000,30917000,123477000,71510000,56307000,482211000,884407000,3015772000,-1497886000,420816000,-1056000,1937646000,1937646000,2822053000,17383000,21262000,16505000,-45018000,10132000,-3014000,-4662000,-7672000,1000,-8199000,-8197999.99999994,-5738000.00000012,-5738000.00000012,-6439000,-12176999.9999999,42605000,2e+08,-3431000.00000003,0.74728,0.09358,0.07621,0.00897,0.00616,-0.19738,1.46294,0.45643,0.07087,0.23992,0.23992,3.14803,26.74386,-0.04736,6,0.00718,-0.00142,-3.9228,-7.83072
