"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"29","2018_Q2",17.30109375,"Up",269910000,-241019000,28891000,-21570000,-21570000,7321000,-430000,-579000,149000,6891000,6891000,-3067000,3824000,3824000,3824000,3824000,46085000,46085000,218678000,218678000,4269000,78593000,74944000,347625000,77925000,224528000,-146603000,146904000,113860000,24831000,5645000,224829000,572454000,126301000,90894000,35390000,73219000,73219000,199520000,2420000,2006000,414000,44496000,244016000,127805000,-19948000,226798000,-6217000,328438000,328438000,572454000,3824000,5593000,4776000,-7363000,6830000,-1630000,-1630000,-2606000,66000,66000,-794000,-3334000,1866000,1866000,414000,2280000,12914000,42076000,6988000,0.10704,0.02712,0.01417,0.01164,0.00668,1.82741,1.74231,0.74296,0.0735,0.14346,0.14289,10.12606,12.32182,0.26216,0.01025,0.01874,-0.31044,-0.5476
"30","2018_Q3",21.137619047619,"Up",282911000,-256208000,26703000,-21529000,-21529000,5174000,-889000,-754000,-135000,4285000,4285000,247000,4532000,4532000,4532000,4532000,74087000,74087000,183451000,183451000,4525000,75443000,72047000,337506000,76187000,219867000,-143680000,144173000,113845000,25364000,2170000,220360000,557866000,99339000,71253000,28069000,70559000,70559000,169898000,1474000,1158000,316000,52382000,222280000,128514000,-18470000,231330000,-5788000,335586000,335586000,557866000,4532000,5313000,1337000,11568000,22750000,-2001000,-3688000,8832000,78000,78000,-182000,8728000,27790000,27790000,212000,28002000,10487000,50908000,19807000,0.09439,0.01829,0.01602,0.0135,0.00812,4.37048,1.98652,0.66236,0.09125,0.16929,0.16737,10.56782,12.53543,0.73987,0.01168,0.05105,-2.21026,-4.4799
"31","2018_Q4",20.45,"Down",245645000,-230754000,14891000,-20753000,-20753000,-5862000,-143000,-513000,370000,-6005000,-6005000,852000,-5153000,-5153000,-5153000,-5153000,46885000,46885000,189156000,189156000,5339000,79424000,73797000,320804000,74378000,220668000,-146290000,144057000,113615000,24438000,2077000,218435000,539239000,101508000,67605000,33903000,92907000,92907000,194415000,3597000,3288000,309000,12901000,207316000,130609000,-18365000,226177000,-6498000,331923000,331923000,539239000,-5153000,4640000,2817000,14018000,16322000,-1662000,-1662000,-41771000,80000,80000,-15000,-41706000,-27046000,-27046000,-156000,-27202000,-1222000,9304000,10282000,0.06062,-0.02386,-0.02098,-0.01552,-0.00956,-1.99534,1.6501,0.62459,0.01725,-0.19215,-0.19215,9.16005,12.37734,0.38341,-0.01494,0.02982,30.75368,6.41095
"32","2019_Q1",20.4345901639344,"Down",293087000,-271636000,21451000,-20565000,-20565000,886000,-18205000,-18371000,166000,-17319000,-17319000,2636000,-14683000,-14683000,-14683000,-14683000,64057000,64057000,203388000,203388000,5152000,84449000,81090000,357046000,72645000,220388000,-147743000,128342000,96162000,22814000,4518000,200987000,558033000,112901000,79439000,33455000,125564000,125564000,238465000,725000,429000,296000,725000,239190000,132477000,-17717000,211494000,-7411000,318843000,318843000,558033000,-14683000,4801000,16342000,22309000,28769000,-2356000,-2356000,-9386000.00000001,386000,386000,5.82076609134674e-11,-9e+06,17413000,17413000,-241000,17172000,5687000,0,23004000,0.07319,0.00302,-0.0501,-0.04605,-0.02631,-1.56671,1.49727,0.75018,0,-0.5472,-0.55577,10.92263,11.8825,0.8573,-0.04595,0.07198,-11.26376,-72.2991
"33","2019_Q2",19.7342857142857,"Down",318511000,-295090000,23421000,-21201000,-21201000,2220000,536000,-10000,546000,2756000,2756000,-451000,2305000,2305000,2305000,2305000,74736000,74736000,214763000,214763000,6514000,89536000,86186000,385549000,71498000,221936000,-150438000,130147000,93451000,22007000,9130000,201645000,587194000,133685000,94845000,38840000,127459000,127459000,261144000,1720000,1440000,280000,3269000,264413000,130164000,-14172000,213799000,-7010000,322781000,322781000,587194000,2305000,4543000,2526000,-555000,8819000,-2215000,1478000,1533000,206000,206000,-1559000,180000,10477000,10477000,202000,10679000,6763000,1549000,4444000,0.07353,0.00697,0.00724,0.00714,0.00393,1.92798,1.47638,0.81917,0.00264,0.08562,0.08355,11.83132,11.98993,0.16508,0.00707,0.01363,-10.82168,-32.96712
"34","2019_Q3",18.82734375,"Down",340568000,-312682000,27886000,-22359000,-22359000,5527000,-109000,-87000.0000000019,-21999.9999999999,5418000,5418000,-1486000,3932000,3932000,3932000,3932000,71489000,71489000,203574000,203574000,7961000,81815000,80272000,364839000,71593000,223980000,-152387000,133120000,93263000,21096000,13163000,204713000,569552000,124368000,90712000,33656000,120064000,120064000,244432000,1530000,1272000,258000,1530000,245962000,132168000,-18230000,217731000,-8079000,323590000,323590000,569552000,3932000,4583000,2143000,-5993000,4665000,-2917000,-2725000,-1393000,-3155000,75000,-91999.9999999998,-4640000,-2700000,-2700000,-547000,-3247000,10110000,-2.3283064365387e-10,2686000,0.08188,0.01623,0.01155,0.01215,0.0069,0.68311,1.4926,0.7601,0,0.1454,0.14212,12.59357,11.96576,0.0993200000000001,0.01209,0.00826,-7.07112,-12.9345
"35","2019_Q4",19.74609375,"Up",358887000,-321981000,36906000,-24112000,-24112000,12794000,64000,6000,58000,12858000,12858000,-3925000,8933000,8933000,8933000,8933000,49676000,49676000,274904000,274904000,8637000,82013000,81524000,415230000,75812000,230465000,-154653000,140391000,93316000,20282000,20624000,216203000,631433000,162691000,110502000,51282000,126853000,126853000,289544000,3623000,3391000,232000,5795000,295339000,135115000,-17822000,226664000,-7863000,336094000,336094000,631433000,8933000,4497000,4904000,-32934000,-14600000,-7530000,-7530000,2157000,-1878000,82000,-34000,245000,-21885000,-21885000,72000,-21813000,17291000,2172000,-19248000,0.10283,0.03565,0.02489,0.02658,0.01415,-2.15471,1.43408,0.87874,0.00344,0.33345,0.32478,13.3963,12.5455,-0.71848,0.02613,-0.0563,-2.74733,-3.71299
"36","2020_Q1",15.4098387096774,"Down",398714000,-354976000,43738000,-26349000,-26349000,17389000,-9000,-38000.0000000002,29000,17380000,17380000,-4568000,12812000,12812000,12812000,12812000,89715000,89715000,218432000,218432000,8017000,101146000,101117000,417310000,79335000,236749000,-157414000,136749000,93368000,19472000,21226000,216084000,633394000,164542000,114647000,47378000,110957000,110957000,275499000,591000,298000,293000,5938000,281437000,137991000,-17759000,239476000,-7751000,351957000,351957000,633394000,12812000,4601000,3821000,21276000,42510000,-5671000,-5671000,3032000,76000,76000,2.3283064365387e-10,3108000,39947000,39947000,91999.9999999999,40039000,21990000,5347000,42163000,0.1097,0.04361,0.03213,0.0364,0.02023,3.2909,1.51474,0.79963,0.00844,0.47788,0.46442,14.87184,13.12783,1.57266,0.0358,0.11781,-3.83665,-4.8518
"37","2020_Q2",9.72015873015873,"Down",338097000,-305632000,32465000,-23691000,-23691000,8774000,88000,85000,3000,8862000,8862000,-2711000,6151000,6151000,6151000,6151000,139889000,139889000,214614000,214614000,7561000,77302000,75965000,439366000,81516000,240105000,-158589000,151872000,93300000,18516000,37337000,233388000,672754000,140737000,96984000,43753000,144572000,144572000,285309000,18652000,2346000,16306000,30018000,315327000,133215000,-13270000,245627000,-8145000,357427000,357427000,672754000,6151000,4779000,5229000,39945000,56104000,-8533000,-8533000,6112000,83000,83000,-3394000,2801000,50372000,50372000,-198000,50174000,13553000,11366000,47676000,0.09602,0.02595,0.01819,0.01721,0.00914,7.75093,1.53997,0.88221,0.01689,0.22836,0.22306,12.55233,13.26998,1.77004,0.01588,0.12305,-9.48299,-14.64817
"38","2020_Q3",9.0071875,"Down",318677000,-288676000,30001000,-23165000,-23165000,6836000,369000,-26999.9999999999,396000,7205000,-31310000,3302000,-28008000,-28008000,-28008000,-28008000,110495000,110495000,199066000,199066000,7185000,64765000,64667000,381511000,83940000,245125000,-161185000,126437000,60504000,11955000,48436000,210377000,591888000,104397000,74461000,29770000,125427000,125427000,229824000,24452000,186000,24266000,39269000,269093000,135336000,-22538000,217619000,-7622000,322795000,322795000,591888000,-28008000,4923000,36860000,-31254000,-17479000,-5582000,-5582000,3157000,-9839000,74000,-96999.9999999995,-6779000,-29840000,-29840000,446000,-29394000,11759000,14817000,-28379000,0.09414,0.02145,-0.08789,-0.08677,-0.04732,1.01325,1.66001,0.83363,0.02503,-1.04022,-1.06555,11.83573,11.98867,-1.054,-0.07736,-0.07838,-8.13658,-13.9962
"39","2020_Q4",9.215,"Up",248327000,-227850000,20477000,-19718000,-19718000,759000,-809000,-42000,-767000,-50000,-6609000,1114000,-5495000,-5495000,-5495000,-5495000,87503000,87503000,209195000,209195000,7738000,67212000,65288000,371648000,83968000,238461000,-154493000,111731000,60277000,11114000,34878000,195699000,567347000,109324000,77246000,32078000,114753000,114753000,224077000,22956000,2.3283064365387e-10,22956000,31844000,255921000,137585000,-29557000,212124000,-8726000,311426000,311426000,567347000,-5495000,4686000,4756000,-11085000,-7138000,-2517000,-2517000,-5059000,-7046000,86000,-26000,-12131000,-21786000,-21786000,-1206000,-22992000,5445000,8888000,-9271000,0.08246,0.00306,-0.02213,-0.01764,-0.00969,1.68717,1.65857,0.82177,0.01567,-0.20749,-0.20749,9.37685,11.75947,-0.35007,-0.01601,-0.02701,-14.43802,-103.57708
"40","2021_Q1",13.3452459016393,"Up",195837000,-176604000,19233000,-19702000,-19702000,-469000,333000,-343000,676000,-136000,-7587000,1865000,-5722000,-5722000,-5722000,-5722000,100036000,100036000,160671000,160671000,6460000,67993000,64074000,335160000,80748000,236496000,-155748000,101402000,60369000,8837000,26208000,182150000,517310000,104490000,73094000,31396000,71457000,71457000,175947000,24266000,61000,24205000,33474000,209421000,139245000,-29385000,206402000,-8373000,307889000,307889000,517310000,-5722000,4736000,3516000,10068000,12598000,-484000,-484000,0,77000,77000,-7000,70000,12184000,12184000,349000,12533000,4267000,9208000,11986000,0.09821,-0.00239,-0.02922,-0.01858,-0.01106,-2.09472,1.90489,0.68018,0.0178,-0.21889,-0.21889,7.49156,11.77801,0.45851,-0.01676,0.03511,-21.28615,193.66311
"41","2021_Q2",12.0665079365079,"Down",182771000,-168421000,14350000,-18128000,-18128000,-3778000,691000,-342000,1033000,-3087000,-2767000,-270000,-3037000,-3037000,-3037000,-3037000,82175000,82175000,171504000,171504000,6751000,70909000,66838000,331339000,79438000,236181000,-156743000,101453000,60437000,8287000,27045000,180891000,512230000,100111000,68615000,31496000,70108000,70108000,170219000,26608000,34000,26574000,35991000,206210000,132966000,-22342000,203365000,-7969000,306020000,306020000,512230000,-3037000,4639000,1753000,-18375000,-15020000,-1703000,-1703000,-5304710.70883888,-1454000,82000,-413566.260484692,-1454000,-18177000,-18177000,316000,-17861000,861000,9383000,-18947000,0.07851,-0.02067,-0.01662,-0.00992,-0.00593,6.23872,1.94655,0.67384,0.01832,-0.11563,-0.11563,6.95873,11.65125,-0.72138,-0.00888,-0.0554,-84.54355,19.2673399999999
"42","2021_Q3",10.72390625,"Down",167468000,-152155000,15313000,-16724000,-16724000,-1411000,653000,-320000,973000,-757999.999999999,-5803000,1212000,-4591000,-4591000,-4591000,-4591000,93481000,93481000,151068000,151068000,6764000,53454000,49167000,304767000,75752000,234526000,-158774000,99391000,60605000,7743000,24228000,175143000,479910000,82524000,51269000,31255000,67603000,67603000,150127000,25494000,75000,25419000,25494000,175621000,134236000,-21571000,198774000,-7150000,304289000,304289000,479910000,-4591000,4648000,901000,19886000,20844000,269000,269000,-9788000,60000,73000,-663000,-10391000,10722000,10722000,584000,11306000,3237000,0,22180000,0.09144,-0.00843000000000001,-0.02741,-0.01509,-0.00957,-4.83119,2.03006,0.57715,0,-0.17332,-0.17332,6.32217,11.48737,0.83733,-0.01392,0.06726,-28.8789,66.25159
"43","2021_Q4",9.408125,"Down",148260000,-146700000,1560000,-17179000,-17179000,-15619000,-454000,-297000,-157000,-16073000,-17933000,5060000,-12873000,-12873000,-12873000,-12873000,73751000,73751000,158099000,158099000,6217000,56420000,44977000,294487000,72734000,232785000,-160051000,104456000,60605000,7181000,32157000,177190000,471677000,84541000,50163000,34378000,64694000,64694000,149235000,28582000,34000,28548000,28582000,177817000,136321000,-21280000,185901000,-7082000,293860000,293860000,471677000,-12873000,4352000,4837000,-15352000,-19036000,-679000,-679000,0,162000,167000,-497000,-335000,-20050000,-20050000,320000,-19730000,-11267000,0,-32358000,0.01052,-0.10535,-0.08683,-0.04381,-0.02729,2.51363,1.97331,0.60511,0,-0.48555,-0.48555,5.59218,11.08404,-1.2205,-0.03992,-0.10035,6.54575,4.72188000000001
"44","2022_Q1",7.55016129032258,"Down",174899000,-173357000,1542000,-17725000,-17725000,-16183000,-406000,-474000,67999.9999999999,-16589000,-16760000,6037000,-10723000,-10723000,-10723000,-10723000,83878000,83878000,148030000,148030000,7342000,51969000,35004000,291219000,69407000,230647204.713194,-161256538.429313,106930000,60636000,6614000,34385000,176337000,467556000,93823000,60920000,32903000,59579000,59579000,153402000,28615000,34000,28581000,28615000,182017000,137854000,-20744000,175178000,-6749000,285539000,285539000,467556000,-10723000,4219000,1352000,15393000,10241000,-151000,-151000,0,1880000,326000,-2024000,-144000,9946000,9946000,181000,10127000,-11964000,0,-2759000,0.00881999999999999,-0.09253,-0.06131,-0.03755,-0.02293,0.257300000000002,1.8984,0.63745,0,-0.40406,-0.40406,6.59051,10.75963,-0.10396,-0.03413,-0.00878,7.01087,5.18309
"45","2022_Q2",6.26935483870968,"Down",168093000,-171601000,-3508000,-16629000,-16629000,-20137000,-2061000,-1978000,-83000,-22198000,-22803000,5265000,-17538000,-17538000,-17538000,-17538000,34678000,34678000,144892000,144892000,6314000,64391000,47546000,250275000,65798000,228969000,-163171000,134204000,60540000,6094000,56883000,200002000,450277000,97734000,65973000,31761000,56543000,56543000,154277000,27702000,29000,27673000,27702000,181979000,135587000,-17385000,157640000,-7544000,268298000,268298000,450277000,-17538000,4052000,-2053000,-3614000,-19153000,-116000,-116000,-28418332.3331205,-777000,75999.9999999999,-1040000,-1817000,-21086000,-21086000,-514000,-21600000,-16085000,0,-25080000,-0.02087,-0.1198,-0.10434,-0.06537,-0.03895,1.43004,1.62224,0.67827,-1.0842021724855e-19,-0.65905,-0.65905,6.31667,10.08222,-0.94247,-0.05925,-0.08473,2.15592,1.7221
"46","2022_Q3",5.12390625,"Down",161965000,-158758000,3207000,-15922000,-15922000,-12715000,-533000,-473000,-59999.9999999999,-13248000,-13943000,-10976000,-24919000,-24919000,-24919000,-24919000,65040000,65040000,121601000,121601000,6297000,61799000,45563000,254737000,62735000,229031000,-166296000,123092000,60546000,5660000,56886000,185827000,440564000,83706000,55953000,27753000,90223000,90223000,173929000,21025000,33000,20992000,21025000,194954000,136192000,-15858000,132721000,-7445000,245610000,245610000,440564000,-24919000,3789000,12554000,39114000,30538000,-345000,-345000,-99936996.9993614,30000,266000,30000,60000,30253000,30253000,109000,30362000,-8926000,-2.91038304567337e-11,40819000,0.0198,-0.0785,-0.15385,-0.10146,-0.05656,-1.63807,1.4646,0.79375,0,-0.93642,-0.93642,6.08639,9.22964,1.53391,-0.09346,0.15309,7.28658,5.11522
