"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"33","2019_Q2",12.545873015873,"Up",36532000,-29369000,7163000,-4439000,-4439000,2724000,497000,552000,-78000,23000,3221000,3221000,-662000,2559000,2559000,2559000,2559000,27613000,27613000,12733000,12733000,24972000,4587000,3087000,69905000,19277000,920000,920000,20197000,90102000,15420000,10064000,1442000,3914000,15420000,2806000,555000,2806000,18226000,25262000,-6590000,53399000,-195000,71876000,71876000,90102000,2559000,792000,665000,730000,4746000,-777000,-777000,31000,-6000,31000,4e+06,4e+06,4e+06,3516000,0,4131000,0.19607,0.07456,0.07005,0.0356,0.0284,1.6143,4.5334,0.25358,3.3881317890172e-21,0.37827,0.36741,5.40018,10.62475,0.61065,0.03427,0.05531,-7.85353,-10.13693
"34","2019_Q3",10.2334375,"Down",36043000,-29607000,6436000,-4229000,-4229000,2207000,543000,520000,37000,-14000,2750000,2750000,-569000,2181000,2181000,2181000,2181000,30265000,30265000,13535000,13535000,23475000,3873000,3873000,71148000,20337000,1345000,1345000,21682000,92830000,14624000,9664000,1396000,3564000,14624000,3076000,624000,3076000,17700000,25908000,-7014000,55579000,657000,75130000,75130000,92830000,2181000,805000,658000,-202999.999999999,3441000,-1866000,-366000,-423000,-424000,-423000,2652000,2652000,2652000,3012000,-1.81898940354586e-12,1512000,0.17856,0.06123,0.06051,0.02903,0.02349,0.69326,4.86515,0.23559,0,0.32036,0.31161,5.29423,11.03558,0.22209,0.02789,0.01933,-10.04814,-13.71319
"35","2019_Q4",8.46109375,"Down",35455000,-29128000,6327000,-4492000,-4492000,1835000,622000,4e+05,232000,-10000,2457000,2457000,-463000,1994000,1994000,1994000,1994000,27660000,27660000,16790000,16790000,27016000,4822000,2052000,76288000,20882000,1286000,1286000,22168000,98456000,18213000,12374000,845000,4994000,18213000,3214000,634000,3214000,21427000,25904000,-7529000,57573000,1081000,77029000,77029000,98456000,1994000,932000,14000,-3547000,-607000,-1487000,-1487000,-511000,-511000,-511000,-2605000,-2605000,-2605000,2767000,0,-1804000,0.17845,0.05176,0.05624,0.02589,0.02025,-0.90471,4.18866,0.27817,-5.42101086242752e-20,0.29322,0.26966,5.21368,11.32717,-0.26528,0.02485,-0.02248,-9.99639,-15.07357
"36","2020_Q1",7.505,"Down",30260000,-26611000,3649000,-4454000,-4454000,-805000,330000,367000,-43000,6000,-475000,-475000,282000,-193000,-193000,-193000,-193000,25040000,25040000,15964000,15964000,26003000,4379000,1500000,71386000,21085000,1019000,1019000,22104000,93490000,14250000,8634000,1219000,4397000,14250000,3156000,543000,3156000,17406000,26367000,-7955000,57380000,292000,76084000,76084000,93490000,-193000,936000,737000,-2496000,-1016000,-1178000,-1178000,-426000,-426000,-426000,-2620000,-2620000,-2620000,131000,2.91038304567337e-11,-3825000,0.12059,-0.0266,-0.00638,-0.00254,-0.00206,19.81865,5.00954,0.22877,0,-0.02812,-0.02745,4.40857,11.08465,-0.55726,-0.00244,-0.04827,-191.14504,31.10559
"37","2020_Q2",6.78809523809524,"Down",29195000,-24811000,4384000,-4439000,-4439000,-55000,177000,75000,109000,-7000,122000,122000,-26000,96000,96000,96000,96000,28500000,28500000,13753000,13753000,24844000,5950000,1749000,73047000,21231000,20959000,20959000,42190000,115237000,14936000,9774000,1424000,3738000,14936000,22896000,20174000,22896000,37832000,26800000,-7970000,58024000,551000,77405000,77405000,115237000,96000,972000,339000,3186000,4593000,-1118000,-1118000,-15000,-15000,-15000,3460000,3460000,3460000,917000,0,3011000,0.15016,-0.00188,0.00329,0.00124,0.00083,31.36458,4.89067,0.48875,-8.67361737988404e-19,0.01403,0.01374,4.2675,11.31447,0.44012,0.000960000000000004,0.03002,-31.07961,518.18182
"38","2020_Q3",7.1978125,"Up",29103000,-24042000,5061000,-4363000,-4363000,698000,-124000,43000,-162000,-5000,574000,574000,-98000,476000,476000,476000,476000,26900000,26900000,14227000,14227000,22650000,4745000,1929000,68522000,20613000,20386000,20386000,40999000,109521000,11202000,5437000,1591000,4174000,11202000,22199000,19742000,22199000,33401000,27259000,-9287000,58500000,-352000,76120000,76120000,109521000,476000,994000,780000,-2035000,215000,-498000,-498000,-1317000,-1317000,-1317000,-1600000,-1600000,-1600000,1692000,0,-743000,0.1739,0.02398,0.01636,0.00625,0.00435,-1.56092,6.11694,0.43879,0,0.07005,0.06913,4.28284,11.20193,-0.10934,0.00484,-0.00756,-15.89835,-38.53868
"39","2020_Q4",9.1465625,"Up",25482000,-22588000,2894000,-3835000,-3835000,-941000,-48000,42000,-91000,999.999999999999,-989000,-4271000,256000,-4015000,-4015000,-4015000,-4015000,33315000,33315000,12379000,12379000,26111000,5183000,1973000,76988000,21398000,19969000,19969000,41367000,118355000,15805000,10674000,1425000,3706000,25805000,21801000,19230000,21801000,47606000,27718000,-11437000,54485000,-17000.0000000002,70749000,70749000,118355000,-4015000,1009000,3879000,-517000,356000,-1791000,-1791000,-2150000,-2150000,7850000,6415000,6415000,6415000,68000,1e+07,-2496000,0.11357,-0.03693,-0.15756,-0.05675,-0.03392,0.62167,2.98345,0.67289,0.08449,-0.61159,-0.63426,3.88158,10.77695,-0.38021,-0.03915,-0.02434,-342.86765,24.77683
"40","2021_Q1",14.9760655737705,"Up",35096000,-28564000,6532000,-4461000,-4461000,2071000,-234000,-50000,-176000,-8000,1837000,1837000,-39000.0000000001,1798000,1798000,1798000,1798000,30478000,30478000,17001000,17001000,27972000,3573000,2275000,79024000,21523000,19656000,19460000,41179000,120203000,17744000,12509000,1010000,4225000,27806000,20827000,18782000,21022000,48828000,28079000,-11702000,56181000,-1183000,71375000,71375000,120203000,1798000,984000,2011000,-6266000,-1473000,-1099000,-1099000,-265000,-265000,-265000.000000002,-2837000,-2837000,-2837000,3055000,10195000,-4271000,0.18612,0.05901,0.05123,0.02519,0.01496,-2.37542,2.84198,0.68411,0.08481,0.27326,0.27326,5.33385,10.84749,-0.6491,0.01756,-0.04171,-6.63928,-9.79382
"41","2021_Q2",14.827619047619,"Down",39726000,-33721000,6005000,-3920000,-3920000,2085000,-321000,-46000,-265000,-10000,1764000,1764000,494000,2258000,2258000,2258000,2258000,27366000,27366000,19168000,19168000,35165000,4711000,3253000,86410000,22039000,20107000,19103000,42146000,128556000,24626000,17769000,1636000,5221000,37133000,20292000,18330000,20292000,57425000,28440000,-13445000,58439000,-2303000,71131000,71131000,128556000,2258000,963000,114000,-3225000,110000,-1479000,-1479000,-1743000,-1743000,-1743000,-3112000,-3112000,-3112000,3048000,1e+07,-2150000,0.15116,0.05248,0.05684,0.03174,0.01756,-0.95217,2.32704,0.80731,0.07779,0.35182,0.34894,6.18969,11.08289,-0.33499,0.02226,-0.0212,-5.69750999999998,-8.32902
"42","2021_Q3",16.5596875,"Up",48083000,-38409000,9674000,-4282000,-4282000,5392000,-806000,-48000,-753000,-5000,4586000,4586000,-954000,3632000,3632000,3632000,3632000,28629000,28629000,17062000,17062000,34466000,3260000,3060000,83417000,22409000,19693000,18431000,42102000,125519000,19504000,12377000,1988000,5139000,32688000,19940000,17956000,20343000,53031000,28777000,-15203000,62071000,-3157000,72488000,72488000,125519000,3632000,1185000,2287000,-2531000,4573000,-1552000,-1552000,-1758000,-1758000,-1758000,1263000,1263000,1263000,6577000,10403000,3448000,0.20119,0.11214,0.07554,0.0501,0.02894,0.94934,2.55192,0.73158,0.08288,0.57923,0.56703,7.66823,11.56031,0.54988,0.03532,0.03353,-2.77117,-3.38019
"43","2021_Q4",13.1328125,"Down",46320000,-39484000,6836000,-4136000,-4136000,2700000,-326000,-15000,-304000,-7000,2374000,2374000,-458000,1916000,1916000,1916000,1916000,28089000,28089000,16882000,16882000,29088000,3166000,1980000,77225000,22456000,18780000,18100000,41236000,118461000,22450000,15299000,862000,6289000,23404000,19033000,17026000,19033000,42437000,29111000,-15842000,63987000,-1232000,76024000,76024000,118461000,1916000,1161000,606000,7633000,11316000,-1217000,-1217000,-639000,-639000,-10639000,-540000,-540000,-540000,3861000,0,10735000,0.14758,0.05829,0.04136,0.0252,0.01617,5.60282,3.29965,0.55821,0,0.309,0.30284,7.47011,12.26053,1.73125,0.02016,0.11293,-7.27506,-10.40333
"44","2022_Q1",12.1566129032258,"Down",44391000,-36464000,7927000,-4564000,-4564000,3363000,-93999.9999999999,-8000,-87000,1000,3269000,3401000,-439000,2962000,2962000,2962000,2962000,32133000,32133000,17946000,17946000,27006000,3263000,2168000,80348000,22271000,17662000,17448000,39933000,120281000,19537000,11893000,619000,7025000,22072000,18122000,16481000,18126000,40198000,29544000,-15849000,66949000,-561000,80083000,80083000,120281000,2962000,1029000,1614000,-797999.999999998,4807000,-791000,-791000,28000,-7000,27999.9999999981,4044000,4044000,4044000,4392000,4000,3242000,0.17857,0.07576,0.06673,0.03699,0.02463,1.09453,3.64027,0.50195,3e-05,0.47214,0.46905,7.07592,12.76522,0.51677,0.03016,0.03301,-7.31535,-9.55367
"45","2022_Q2",10.1691935483871,"Down",38340000,-30059000,8281000,-4053000,-4053000,4228000,-26000,-13000,-6000,-7000,4202000,4202000,-946000,3256000,3256000,3256000,3256000,20028000,20028000,20245000,20245000,31709000,3254000,2081000,75236000,39504000,17423000,17423000,56927000,132163000,18178000,13012000,1166000,4e+06,20624000,17330000,15737000,27034000,47658000,29766000,-15859000,70205000,393000,84505000,84505000,132163000,3256000,1092000,1017000,-9141000,-3776000,-18319000,-18319000,-10000,-10000,9990000,-12105000,-12105000,-12105000,5320000,1e+07,-21194000,0.21599,0.11028,0.08492,0.03853,0.02464,-6.50921,3.64798,0.56397,0.07566,0.51759,0.51039,6.09472,13.43335,-3.36911,0.02911,-0.18951,-1.88496,-2.37181
"46","2022_Q3",10.59265625,"Up",37727000,-31181000,6546000,-4145000,-4145000,2401000,-9000,-13000,11000,-7000,2392000,2392000,-545000,1847000,1847000,1847000,1847000,19352000,19352000,15065000,15065000,31828000,4316000,2485000,70561000,39741000,17056000,17056000,56797000,127358000,15569000,10137000,1278000,4154000,16489000,16834000,15151000,26468000,42957000,30011000,-18386000,72052000,724000,84401000,84401000,127358000,1847000,1063000,1198000,-889000,3219000,-1300000,-1300000,-2527000,-2527000,-2595000,-676000,-676000,-676000,3464000,9932000,1820000,0.17351,0.06364,0.04896,0.02188,0.0145,0.98538,4.27928,0.50896,0.07798,0.29375,0.2908,6.0002,13.42335,0.289459999999999,0.01661,0.01637,-2.7194,-3.92337
