"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","commissions_fees_earned","other_non_interest_income","net_revenue_after_provisions","total_non_interest_expense","commissions_fees_paid","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","interbank_assets","short_long_term_investments","accounts_notes_receivable","other_assets","total_assets","short_term_debt","other_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"30","2017_Q3",39.298253968254,"Up",3.87e+08,1.55e+08,2.06e+08,-5.1e+07,2.32e+08,1.6e+08,5.9e+07,3.87e+08,-1.83e+08,-6.3e+07,-1.2e+08,2.04e+08,2.04e+08,2.04e+08,-1.7e+07,1.87e+08,1.87e+08,-1.64e+08,2.3e+07,2.3e+07,2.115e+09,3.66e+08,3.0655e+10,2.4056e+10,4.05e+08,5.7597e+10,4.615e+09,4.6791e+10,5.1406e+10,8.07e+08,-3e+06,2.36e+08,8e+06,1.048e+09,5.142e+09,6.19e+09,5.7596e+10,1.87e+08,6e+06,4.3e+07,5.71e+08,8.07e+08,-4e+06,-4e+06,-5.5e+07,-2.9e+07,-8.4e+07,7.19e+08,7.19e+08,3.8e+07,7.57e+08,2.1e+08,4.615e+09,7.94e+08,0.52713,0.05943,0.00372,4e-04,34.52174,8.30468,0.08013,0.33288,0.32825,5.60107,15.16775,11.4916,0.79602,0.00135,0.01379,2.3913,11.90476,12.2549
"31","2017_Q4",52.6412698412698,"Up",4.26e+08,1.82e+08,2.43e+08,-6.1e+07,2.44e+08,1.63e+08,7e+07,4.26e+08,-1.58e+08,-6.1e+07,-9.7e+07,2.68e+08,2.68e+08,2.68e+08,-2.1e+07,2.47e+08,2.47e+08,-2.16e+08,3.1e+07,3.1e+07,2.056e+09,5.89e+08,3.0341e+10,2.6444e+10,4.13e+08,5.9843e+10,5.347e+09,4.8184e+10,5.3531e+10,8.29e+08,-3e+06,2.6e+08,9e+06,1.095e+09,5.216e+09,6.311e+09,5.9842e+10,2.47e+08,6e+06,1.9e+07,4.37e+08,7.09e+08,-6e+06,-4e+06,-1.47e+08,1.4e+07,-1.33e+08,5.72e+08,5.72e+08,5e+06,5.77e+08,2.74e+08,5.347e+09,7.26e+08,0.62911,0.07277,0.00491,0.00052,23.41935,8.48217,0.08935,0.43577,0.43055,5.98838,15.39266,10.20554,2.06641,0.00297,0.01213,4.74194,12.01095,12.27985
"32","2018_Q1",64.0116393442623,"Up",5.15e+08,2.04e+08,2.82e+08,-7.8e+07,3.11e+08,1.7e+08,1.27e+08,5.15e+08,-1.51e+08,-5.6e+07,-9.5e+07,3.64e+08,3.64e+08,3.64e+08,-2e+08,1.64e+08,1.64e+08,-1.66e+08,-2e+06,-2e+06,1.732e+09,8.582e+09,1.9796e+10,3.076e+10,2.92e+08,6.1162e+10,6.542e+09,4.8187e+10,5.4729e+10,8.32e+08,-3e+06,2.51e+08,9e+06,1.089e+09,5.343e+09,6.432e+09,6.1161e+10,1.64e+08,7e+06,4.5e+07,-2.369e+09,-2.153e+09,-1.2e+07,-1.2e+07,-5.7e+07,-2.3e+07,-8e+07,-2.245e+09,-2.245e+09,-1e+06,-2.246e+09,3.71e+08,6.542e+09,-1.81e+09,0.7068,-0.00387999999999999,-0.00031,-3e-05,905,8.50886,0.10696,-0.0279800000000001,-0.0276299999999999,7.20372,15.23272,-25.31792,0.7973,9e-04,-0.02959,-28.5,12.96496,13.21429
"33","2018_Q2",70.110625,"Up",5.27e+08,2.17e+08,3.11e+08,-9.4e+07,3.1e+08,2.2e+08,7.7e+07,5.27e+08,-1.87e+08,-7.3e+07,-1.14e+08,3.4e+08,3.4e+08,3.4e+08,-2.1e+07,3.19e+08,3.19e+08,-2.73e+08,4.6e+07,4.6e+07,1.901e+09,8.192e+09,1.8136e+10,3.0565e+10,2.99e+08,5.9093e+10,4.432e+09,4.7955e+10,5.2387e+10,8.34e+08,-3e+06,2.9e+08,1e+07,1.131e+09,5.574e+09,6.705e+09,5.9092e+10,3.19e+08,7e+06,2e+07,8.55e+08,1.201e+09,-8e+06,-8e+06,-6.8e+07,4e+06,-6.4e+07,1.129e+09,1.129e+09,8e+06,1.137e+09,3.47e+08,4.432e+09,1.215e+09,0.64516,0.08729,0.00686,0.00078,26.41304,7.81312,0.075,0.64357,0.63437,7.37311,15.8235,16.99872,0.95137,0.00193,0.02056,1.47826,7.29395,7.44412
"34","2018_Q3",58.841746031746,"Down",4.45e+08,2.25e+08,3.33e+08,-1.08e+08,2.2e+08,1.85e+08,2.3e+07,4.45e+08,-1.74e+08,-6.6e+07,-1.08e+08,2.71e+08,2.71e+08,2.71e+08,-1.3e+07,2.58e+08,2.58e+08,-2.17e+08,4.1e+07,4.1e+07,2.5e+09,8.219e+09,1.9044e+10,3.0221e+10,3.19e+08,6.0303e+10,4.914e+09,4.8689e+10,5.3603e+10,8.65e+08,-3e+06,3.23e+08,-3e+06,1.182e+09,5.517e+09,6.699e+09,6.0302e+10,2.58e+08,5e+06,2.2e+07,6.46e+08,9.31e+08,-7e+06,-2.8e+07,-1.96e+08,1.46e+08,-5.5e+07,8.48e+08,8.48e+08,-7.8e+07,7.7e+08,2.76e+08,4.914e+09,9.28e+08,0.60899,0.09213,0.00612,0.00068,22.63415,8.00164,0.08149,0.56566,0.55908,6.13943,16.30744,12.80313,2.70411,0.00393,0.01539,4.78049,8.74638,8.90775
"35","2018_Q4",51.824126984127,"Down",4.39e+08,2.44e+08,3.63e+08,-1.19e+08,1.95e+08,1.67e+08,2.1e+07,4.39e+08,-1.63e+08,-5.7e+07,-1.06e+08,2.76e+08,2.76e+08,2.76e+08,-1.8e+07,2.58e+08,2.58e+08,-2.19e+08,3.9e+07,3.9e+07,3.062e+09,7.854e+09,1.8971e+10,3.1876e+10,2.99e+08,6.2062e+10,4.777e+09,5.0382e+10,5.5159e+10,8.95e+08,-3e+06,3.54e+08,-4e+06,1.242e+09,5.66e+09,6.902e+09,6.2061e+10,2.58e+08,6e+06,2.2e+07,3.46e+08,6.32e+08,-8e+06,-7e+06,-5.7e+07,-1.65e+08,-2.22e+08,4.03e+08,4.03e+08,-4e+06,3.99e+08,2.82e+08,4.777e+09,6.38e+08,0.6287,0.08884,0.00565,0.00063,16.35897,7.99174,0.07697,0.52224,0.51731,5.87851,16.63122,8.54325,0.76327,0.00155,0.01028,1.46154,6.08156,6.21377
"36","2019_Q1",51.1903278688525,"Down",4.92e+08,2.43e+08,3.85e+08,-1.42e+08,2.49e+08,2.05e+08,7.6e+07,4.92e+08,-1.83e+08,-7.3e+07,-1.1e+08,3.09e+08,3.09e+08,3.09e+08,-1.9e+07,2.9e+08,2.9e+08,-2.47e+08,4.3e+07,4.3e+07,2.597e+09,8.745e+09,2.1045e+10,2.7864e+10,2.96e+08,6.0547e+10,4.735e+09,4.8656e+10,5.3391e+10,8.98e+08,-3e+06,3.9e+08,-4e+06,1.281e+09,5.874e+09,7.155e+09,6.0546e+10,2.9e+08,8e+06,1.9e+07,-7.25e+08,-4.08e+08,-1.3e+07,-1.4e+07,-4.7e+07,-1.1e+07,-5.8e+07,-4.8e+08,-4.8e+08,-5000000.00000001,-4.85e+08,3.17e+08,4.735e+09,-4.02e+08,0.62805,0.0874,0.00601,0.00071,-9.34884,7.46205,0.0782,0.57245,0.56707,6.54989,17.05367,-5.35174,0.6257,0.00149,-0.00664,1.09302,6.74448,6.91909
"37","2019_Q2",52.8669841269841,"Up",5.58e+08,2.46e+08,4.08e+08,-1.62e+08,3.12e+08,1.73e+08,1.32e+08,5.58e+08,-2.19e+08,-6.1e+07,-1.58e+08,3.39e+08,3.39e+08,3.39e+08,-1.5e+07,3.24e+08,3.24e+08,-2.75e+08,4.9e+07,4.9e+07,2.546e+09,9.623e+09,2.4055e+10,2.6746e+10,5.56e+08,6.3526e+10,4.52e+09,5.158e+10,5.61e+10,9.01e+08,-3e+06,4.31e+08,-5e+06,1.324e+09,6.101e+09,7.425e+09,6.3525e+10,3.24e+08,7e+06,-3.3e+07,3.05e+08,6.03e+08,-2.6e+07,-4.2e+07,-6.8e+07,-2e+06,-7e+07,4.91e+08,4.91e+08,-2e+06,4.89e+08,3.46e+08,4.52e+09,6.4e+08,0.60753,0.08781,0.0066,0.00077,13.06122,7.55556,0.07115,0.65245,0.64493,7.42999,17.62958,8.52185,0.90545,0.00184,0.01007,1.38776,5.7052,5.82301
"38","2019_Q3",48.60328125,"Down",4.13e+08,2.59e+08,4.32e+08,-1.73e+08,1.54e+08,1.78e+08,-3e+07,4.13e+08,-1.88e+08,-6.3e+07,-1.25e+08,2.25e+08,2.25e+08,2.25e+08,-1.5e+07,2.1e+08,2.1e+08,-1.78e+08,3.2e+07,3.2e+07,3.162e+09,1.0121e+10,2.5493e+10,2.677e+10,4.88e+08,6.6034e+10,4.473e+09,5.3941e+10,5.8414e+10,9.27e+08,-3e+06,4.56e+08,-1e+06,1.379e+09,6.24e+09,7.619e+09,6.6033e+10,2.1e+08,7e+06,1.01e+08,1.124e+09,1.442e+09,-1.9e+07,-2e+07,-4.5e+07,-3.72529029846191e-09,-4.6e+07,1.376e+09,1.376e+09,1.6e+07,1.392e+09,2.32e+08,4.473e+09,1.352e+09,0.54479,0.07748,0.0042,0.00048,42.25,7.66689,0.06774,0.42176,0.41776,5.44334,18.17521,17.81935,0.5931,0.00117,0.02047,1.40625,5.65086,5.82667
"39","2019_Q4",45.94859375,"Down",4.66e+08,2.91e+08,4.68e+08,-1.77e+08,1.75e+08,1.87e+08,1e+06,4.66e+08,-1.85e+08,-6.8e+07,-1.17e+08,2.81e+08,2.81e+08,2.81e+08,-2e+07,2.61e+08,2.61e+08,-2.25e+08,3.6e+07,3.6e+07,3.035e+09,1.0185e+10,2.7139e+10,2.6969e+10,4.76e+08,6.7804e+10,4.947e+09,5.5204e+10,6.0151e+10,9.3e+08,-3e+06,4.84e+08,-7e+06,1.404e+09,6.248e+09,7.652e+09,6.7803e+10,2.61e+08,7e+06,3.1e+07,-1.66e+08,1.33e+08,-1.7e+07,-1.5e+07,-2.13e+08,-2.9e+07,-2.42e+08,-1.24e+08,-1.24e+08,-2.8e+07,-1.52e+08,2.88e+08,4.947e+09,1.25e+08,0.603,0.07725,0.0047,0.00053,3.47222,7.86082,0.07296,0.46902,0.46534,6.07114,18.29159,1.62852,2.77501,0.00367,0.00184,5.91667,6.63889,6.80427
"40","2020_Q1",47.4253225806452,"Up",5e+08,2.87e+08,4.18e+08,-1.31e+08,2.13e+08,1.68e+08,4.5e+07,5e+08,-1.88e+08,-5.9e+07,-1.29e+08,3.12e+08,3.12e+08,3.12e+08,-1.8e+07,2.94e+08,2.94e+08,-2.5e+08,4.4e+07,4.4e+07,2.882e+09,1.2511e+10,2.3656e+10,3.1304e+10,1.323e+09,7.1676e+10,6.792e+09,5.6915e+10,6.3736e+10,9.34e+08,-3e+06,5.2e+08,1e+06,1.452e+09,6.488e+09,7.94e+09,7.1676e+10,2.94e+08,1e+07,-5.42e+08,7.26e+08,4.88e+08,-1.2e+07,-1.2e+07,-6.2e+07,999999.999999993,-60999999.9999999,4.15e+08,4.15e+08,3.8e+07,4.53e+08,3.22e+08,6.792e+09,1.054e+09,0.624,0.088,0.00554,0.00061,23.95455,8.0272,0.09476,0.57324,0.56874,6.51415,18.91708,13.73182,0.80775,0.00148,0.01471,1.40909,12.14286,12.53205
"41","2020_Q2",41.1026984126984,"Down",5.32e+08,2.56e+08,3.69e+08,-1.13e+08,2.76e+08,2.69e+08,7e+06,5.32e+08,-2.24e+08,-7.7e+07,-1.47e+08,3.08e+08,3.08e+08,3.08e+08,-1.8e+07,2.9e+08,2.9e+08,-2.44e+08,4.6e+07,4.6e+07,3.101e+09,1.5182e+10,3.5359e+10,2.174e+10,4.67e+08,7.5849e+10,4.219e+09,6.3483e+10,6.7702e+10,9.37e+08,-3e+06,5.58e+08,-7e+06,1.485e+09,6.661e+09,8.146e+09,7.5848e+10,2.9e+08,1e+07,5.2e+07,4.851e+09,5.203e+09,-1.2e+07,-1.1e+07,-6.1e+07,-2e+06,-6.3e+07,5.129e+09,5.129e+09,-3.8e+07,5.091e+09,3.18e+08,4.219e+09,5.175e+09,0.57895,0.08647,0.00565,0.00061,112.5,8.31107,0.05562,0.59934,0.59302,6.93149,19.34824,67.42568,0.79478,0.00141,0.06823,1.32609,3.51572,3.62987
"42","2020_Q3",49.13828125,"Up",5.39e+08,1.96e+08,2.44e+08,-4.8e+07,3.43e+08,2.76e+08,6.7e+07,5.39e+08,-3.17e+08,-7.6e+07,-2.41e+08,2.22e+08,2.22e+08,2.22e+08,-1.5e+07,2.07e+08,2.07e+08,-1.75e+08,3.2e+07,3.2e+07,3.115e+09,1.4051e+10,3.9175e+10,2.7154e+10,4.7e+08,8.3965e+10,6.229e+09,6.9482e+10,7.5711e+10,9.6e+08,-3e+06,5.83e+08,-3e+06,1.537e+09,6.716e+09,8.253e+09,8.3964e+10,2.07e+08,1e+07,-9.11e+08,-862999999.999998,-1.557e+09,-1e+07,-1.2e+07,-1.36e+08,1.08e+08,-2.7e+07,-1.596e+09,-1.596e+09,2.2e+07,-1.574e+09,2.32e+08,6.229e+09,-625999999.999999,0.41187,0.05937,0.00388,0.00038,-19.5625,9.17375,0.07419,0.41366,0.41009,6.96764,19.86876,-8.09229,1.75807,0.002,-0.00746,4.25,13.42241,14.02703
"43","2020_Q4",52.31328125,"Up",5.48e+08,1.95e+08,2.4e+08,-4.5e+07,3.53e+08,2.79e+08,7.4e+07,5.48e+08,-2.14e+08,-7.4e+07,-1.4e+08,3.34e+08,3.34e+08,3.34e+08,-3.2e+07,3.02e+08,3.02e+08,-2.56e+08,4.6e+07,4.6e+07,3.292e+09,1.419e+10,3.3763e+10,3.0343e+10,3.11e+09,8.4698e+10,6.553e+09,6.9599e+10,7.6152e+10,9.85e+08,-3e+06,6.21e+08,6e+06,1.609e+09,6.937e+09,8.546e+09,8.4698e+10,3.02e+08,1.1e+07,8.7e+08,-1.357e+09,-1.74e+08,-9e+06,-5e+06,-7.3e+07,4.89e+08,4.16e+08,2.37e+08,2.37e+08,4.5e+07,2.82e+08,3.45e+08,6.553e+09,-9.89e+08,0.60949,0.08394,0.00538,0.00054,-21.5,8.91084,0.07737,0.58584,0.58131,6.97909,20.49153,-12.59548,0.9297,0.0014,-0.01168,1.58696,9.45217,9.76347
"44","2021_Q1",71.2631147540984,"Up",5.99e+08,2.25e+08,2.8e+08,-5.5e+07,3.74e+08,2.88e+08,8.6e+07,5.99e+08,-2.07e+08,-6.6e+07,-1.41e+08,3.92e+08,3.92e+08,3.92e+08,-1.2e+07,3.8e+08,3.8e+08,-3.09e+08,7.1e+07,7.1e+07,4.292e+09,1.6695e+10,7.274e+10,36651133849.3056,1.952e+09,9.5679e+10,1.0109e+10,7.6567e+10,8.6676e+10,1.245e+09,-3e+06,6.83e+08,2.6e+07,1.951e+09,7.052e+09,9.003e+09,9.5679e+10,3.8e+08,1.1e+07,-9.77e+08,5.182e+09,4.596e+09,-1.9e+07,-2.2e+07,-4.5e+07,-5.1e+08,-5.55e+08,4.019e+09,4.019e+09,9.5e+07,4.114e+09,4.03e+08,1.0109e+10,5.578e+09,0.65442,0.11853,0.00789,0.00074,78.56338,9.62746,0.10566,0.81489,0.80843,6.87493,22.39231,64.02065,0.51648,0.00121,0.0583,0.6338,14.43424,14.83929
"45","2021_Q2",68.5203174603175,"Down",8.93e+08,3.05e+08,3.9e+08,-8.5e+07,5.88e+08,4.12e+08,1.76e+08,8.93e+08,-2.54e+08,-6.8e+07,-1.86e+08,6.39e+08,6.39e+08,6.39e+08,-5.3e+07,5.86e+08,5.86e+08,-4.79e+08,1.07e+08,1.07e+08,2.627e+09,2.2896e+10,3.1417e+10,45033400625.2322,4.179e+09,1.03764e+11,1.227e+10,8.2057e+10,9.4327e+10,1.25e+09,-4e+06,7.81e+08,9e+06,2.036e+09,7.401e+09,9.437e+09,1.03764e+11,5.86e+08,1.3e+07,-8.19e+08,3.954e+09,3.734e+09,-2.1e+07,-2.1e+07,-9.5e+07,9.4e+07,-1e+06,3.712e+09,3.712e+09,-7.6e+07,3.636e+09,6.52e+08,1.227e+10,4.638e+09,0.71557,0.11982,0.01134,0.00103,43.34579,9.99544,0.11825,1.17855,1.16601,9.83596,22.42554,51.0853,1.04638,0.00195,0.0447,0.88785,14.78988,15.09077
"46","2021_Q3",62.46515625,"Down",7.54e+08,2.74e+08,3.07e+08,-3.3e+07,4.8e+08,3.07e+08,1.73e+08,7.54e+08,-2.13e+08,6.8e+07,-2.81e+08,5.41e+08,5.41e+08,5.41e+08,-3.5e+07,5.06e+08,5.06e+08,-4.14e+08,9.2e+07,9.2e+07,3.218e+09,2.6265e+10,1.9991e+10,4.9954e+10,4.903e+09,1.04331e+11,1.2196e+10,8.2207e+10,9.4403e+10,1.278e+09,-6e+06,8.64e+08,1.4e+07,2.15e+09,7.778e+09,9.928e+09,1.04331e+11,5.06e+08,1.2e+07,2.001e+09,-1.195e+09,1.324e+09,-1.7e+07,-1.7e+07,-5.4e+07,2.13e+08,1.58e+08,1.465e+09,1.465e+09,2.1e+07,1.486e+09,5.53e+08,1.2196e+10,-6.24e+08,0.71751,0.12202,0.00927,0.00088,-6.78260999999999,9.50876,0.1169,1.01334,1.00255,8.30494,23.6812,-6.87306,0.59478,0.0014,-0.00598,0.58696,16.23508,16.59519
"47","2021_Q4",73.911875,"Up",4.64e+08,2.74e+08,3.25e+08,-5.1e+07,1.9e+08,3.6e+08,-1.7e+08,4.64e+08,-2.3e+08,-6.1e+07,-1.69e+08,2.34e+08,2.34e+08,2.34e+08,-2.8e+07,2.06e+08,2.06e+08,-1.64e+08,4.2e+07,4.2e+07,2.838e+09,2.9233e+10,1.887e+10,5.0503e+10,4.838e+09,1.06282e+11,1.0796e+10,8.5475e+10,9.6271e+10,1.434e+09,-4e+06,8.96e+08,5e+06,2.331e+09,7.68e+09,1.0011e+10,1.06282e+11,2.06e+08,1.2e+07,1.2e+07,9.83e+08,1.213e+09,-1.3e+07,-2.1e+07,-1.09e+08,-3.97e+08,-5.06e+08,6.86e+08,6.86e+08,-4e+07,6.46e+08,2.46e+08,1.0796e+10,1.244e+09,0.50431,0.09052,0.0042,4e-04,29.61905,9.61652,0.10158,0.42778,0.42433,4.72592,23.74165,12.67036,1.11018,0.00142,0.0117,2.59524,32.34959,34.00855
"48","2022_Q1",68.5011290322581,"Down",6.03e+08,2.95e+08,3.5e+08,-5.5e+07,3.08e+08,2.71e+08,3.7e+07,6.03e+08,-2.3e+08,-1.75e+08,-5.5e+07,3.73e+08,3.73e+08,3.73e+08,-3.5e+07,3.38e+08,3.38e+08,-2.71e+08,6.7e+07,6.7e+07,2.395e+09,2.7268e+10,1.9706e+10,5.4935e+10,4.809e+09,1.09113e+11,1.1978e+10,8.6913e+10,9.8891e+10,1.443e+09,-5e+06,9.53e+08,4e+06,2.395e+09,7.827e+09,1.0222e+10,1.09113e+11,3.38e+08,1.3e+07,-3e+06,-722999999.999999,-3.75e+08,-2.6e+07,-1.29e+08,-1.54e+08,-2e+07,-1.74e+08,-6.78e+08,-6.78e+08,-2e+06,-6.8e+08,3.86e+08,1.1978e+10,-3.28e+08,0.61857,0.11111,0.00655,0.00061,-4.89552,9.67433,0.10978,0.68241,0.6769,6.14166,24.3935,-3.34074,1.56852,0.00203,-0.00301,2.29851,24.82642,25.69169
"49","2022_Q2",59.1522580645161,"Down",6.45e+08,2.82e+08,3.32e+08,-5e+07,3.63e+08,3.49e+08,1.4e+07,6.45e+08,-2.51e+08,-7.1e+07,-1.8e+08,3.94e+08,3.94e+08,3.94e+08,-2.8e+07,3.66e+08,3.66e+08,-2.93e+08,7.3e+07,7.3e+07,2.667e+09,3.0849e+10,2.9372e+10,4.8306e+10,3.229e+09,1.14423e+11,1.188e+10,9.2061e+10,1.03941e+11,1.45e+09,-5e+06,1.017e+09,-6e+06,2.456e+09,8.026e+09,1.0482e+10,1.14423e+11,3.66e+08,1.5e+07,-5e+08,2.244e+09,2.125e+09,-1.9e+07,-1.4e+07,-8.9e+07,-1.6e+07,-1.05e+08,2.006e+09,2.006e+09,-4.1e+07,1.965e+09,4.09e+08,1.188e+10,2.662e+09,0.61085,0.11318,0.00696,0.00064,36.46575,9.91614,0.10383,0.74318,0.7357,6.56648,25.00353,27.10073,0.90607,0.00142,0.02326,1.21918,22.52567,23.38325
"50","2022_Q3",61.470625,"Up",6.56e+08,3.48e+08,4.6e+08,-1.12e+08,3.08e+08,3.22e+08,-1.4e+07,6.56e+08,-2.64e+08,7.1e+07,-3.35e+08,3.92e+08,3.92e+08,3.92e+08,-3.2e+07,3.6e+08,3.6e+08,-2.88e+08,7.2e+07,7.2e+07,2.881e+09,2.9824e+10,3.5115e+10,4.2552e+10,3.014e+09,1.13386e+11,1.0931e+10,9.1853e+10,1.02784e+11,1.481e+09,-6e+06,1.079e+09,-3e+07,2.524e+09,8.078e+09,1.0602e+10,1.13386e+11,3.6e+08,1.4e+07,6.32e+08,-1.547e+09,-5.41e+08,-1.3e+07,-1.2e+07,-1.62e+08,-1.4e+07,-1.73e+08,-7.26e+08,-7.26e+08,-1.05e+08,-8.31e+08,4.06e+08,1.0931e+10,-1.122e+09,0.59756,0.10976,0.00679,0.00063,-15.58333,9.69477,0.09641,0.72835,0.7222,6.63605,25.53261,-11.35007,1.63878,0.00206,-0.0099,2.25,19.82759,20.53571
