"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","disposition_of_fixed_assets","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"31","2017_Q4",4.74587301587302,"Down",79458000,-57190000,22268000,-25382000,-19624000,-2690000,-3068000,-3114000,-3e+05,-573000,273000,-3414000,-3403000,-16000,-3419000,-3103000,-3103000,-3103000,4942000,4942000,56008000,56008000,70716000,17665000,10881000,149331000,73711000,126701000,200412000,349743000,34078000,21725000,12323000,40589000,76253000,5880816.85364498,76253000,334496000,-31806000,-28736000,-822000,273132000,273490000,349743000,-3419000,3068000,2887000,5885000,8421000,-2206000,11000,11000,-2217000,-1647000,-1206000,-2127000,-3689000,163000,0,-5816000,1399000,1412000,108000,1520000,-46000,40589000,3649000,0.28025,-0.03919,-0.03905,-0.01135,-0.00887,-1.17596,1.95836,0.27881,0.11605,-0.05387,-0.05387,1.3795,4.74196,0.06335,-0.00988,0.01162,-774.93478,-11.44733
"32","2018_Q1",5.84426229508197,"Up",-1483000,-21355000,-22838000,17386000,21253000,-3190000,-677000,-5452000,-18000,-450000,432000,-5470000,-5361000,-6858000,-12219000,-8489000,-8489000,-8489000,4584000,4584000,34897000,34897000,32460000,65983000,8649000,137924000,52786000,139178000,191964000,329888000,24230000,10394000,13793000,27950000,64630000,5346284.12535698,64630000,336073000,-33064000,-37225000,-884000,264900000,265258000,329888000,-12219000,677000,10651000,12058000,11167000,2687000,368000,368000,2319000,1958000,2687000,-12639000,-1134000,124000,-473000,-14246000,-392000,-381000,23000,-358000,-4775000,27950000,16828000,15.39987,3.67633,5.72421,-0.032,-0.02573,-1.98233,2.13406,0.24365,0.08473,-0.14843,-0.14843,-0.0259299999999998,4.63169,0.29423,-0.02895,0.05739,-4.89340000000004,-4.28577
"33","2018_Q2",4.13125,"Down",41069000,-36655000,4414000,-13580000,-8493000,-2754000,-2333000,-9166000,-627000,-516000,-111000,-9793000,-9850000,322000,-9528000,67000,67000,67000,2865000,2865000,45331000,45331000,82085000,10781000,7972000,141062000,73108000,124652000,197760000,338822000,31868000,23233000,8629000,39741000,71609000,4446967.59804599,71609000,338143000,-33067000,-37158000,-1063000,266855000,267213000,338822000,-9528000,2333000,-4345000,-643000,-12183000,-1414000,80000,80000,-1494000,-1377000,-1414000,11791000,143000,146000,-8000,11926000,-1671000,-1671000,-48000,-1719000,-6833000,39741000,-9212000,0.10748,-0.22319,0.00163,0.00025,2e-04,-137.49254,1.96989,0.26798,0.11729,0.00117,0.00117,0.71725,4.66049,-0.16088,0.00022,-0.03001,-5.39675,-4.02313
"34","2018_Q3",2.58031746031746,"Down",39546000,-35544000,4002000,-13958000,-8665000,-2950000,-2343000,-9956000,-3138000,-640000,-2498000,-13094000,-52859000,-16129000,-68988000,-75391000,-75034000,-75034000,3096000,3096000,43218000,43218000,90844000,10706000,5797000,147864000,66143000,67036000,133179000,281043000,34741000,25646000,9071000,49126000,83867000,2876000,86743000,340624000,-33088000,-112192000,-1045000,194299000,194300000,281043000,-68631000,2343000,65746000,-6925000,-7467000,-1308000,9999.99999999997,9999.99999999997,-1318000,-1254000,-1308000,9385000,80000,101000,-447000,9018000,243000,257000,-26000,231000,-7613000,49126000,282999.999999996,0.101200000000001,-0.25176,-1.89739,-0.38618,-0.26698,-0.00377000000000294,1.76308,0.44644,0.1748,-1.29653,-1.29653,0.68332,3.35733,0.00489000000000001,-0.30464,0.00115,-6.04624000000001,-4.62334
"35","2018_Q4",1.68603174603175,"Down",53709000,-45649000,8060000,-12085000,-7476000,-2350000,-2259000,-4025000,-736000,-746000,10000,-4761000,-5178000,262000,-4916000,-3932000,-3932000,-3932000,1829000,1829000,55473000,55473000,93161000,10238000,7797000,160701000,65094000,67507000,132601000,293302000,44438000,30428000,14004000,53402000,97840000,2646000,100486000,343054000,-33155000,-116124000,-960000,192815000,192816000,293302000,-4916000,2259000,3389000,-5863000,-5131000,-2348000,271000,271000,-2619000,-1334000,-683000,4276000,27000,94000,0,4303000,-1511000,-1275000,8000,-1267000,-1766000,53402000,-10239000,0.15007,-0.07494,-0.07321,-0.02039,-0.01341,2.60402,1.64249,0.52115,0.18207,-0.06741,-0.06741,0.92081,3.3057,-0.17554,-0.0158,-0.04114,-29.20328,-12.81317
"36","2019_Q1",2.71934426229508,"Up",43449000,-41960000,1489000,-11416000,-6833000,-2302000,-2281000,-9927000,-3405000,-964000,-2441000,-13332000,-12770000,22761000,9991000,8558000,8559000,8559000,3044000,3044000,37047000,37047000,27289000,127402000,5771000,194782000,45485000,45616000,91101000,285883000,25354000,15011000,10335000,49731000,84259000,10668950.2215936,84259000,343542000,-33237000,-107565000,-1116000,201624000,201624000,285883000,9992000,2281000,-19647000,11339000,3965000,1296000,1026000,1026000,270000,406000,1296000,-3671000,-82000,0,-14000,-3767000,1494000,1237000,-22000,1215000,-7646000,49731000,-17772000,0.03427,-0.22847,0.19699,0.04245,0.02994,-2.07641,2.31171,0.4179,0.17396,0.14626,0.14626,0.74246,3.44539,-0.30369,0.03405,-0.0707,-6.10607,-4.70303
"37","2019_Q2",3.38015873015873,"Up",43256000,-43968000,-712000,-11826000,-7281000,-2285000,-2260000,-12538000,-1888000,-1998000,110000,-14426000,-15523000,311000,-15212000,30862000,30862000,30862000,96753000,96753000,37178000,37178000,34358000,24384000,21033000,192673000,42989000,47130000,90119000,282792000,28370000,13798000,12518000,39795559.9983126,29083000,18662000,47745000,344010000,-33368000,-74573000,-1022000,235047000,235047000,282792000,-15212000,2260000,21461000,-33570000,-25061000,-432000,132000,132000,-564000,-461000,169290000,-49731000,-131000,-20478.4315869824,1253165.62522627,-49862000,94367000,94367000,2000,94369000,-10278000,130000,-44591000,-0.01646,-0.28986,0.71347,0.1313,0.10913,-1.44485,6.62494,0.20313,0.00046,0.5287,0.5287,0.74103,4.02664,-0.7639,0.12164,-0.17576,9.40095,7.70641
"38","2019_Q3",2.5371875,"Down",34693000,-38121000,-3428000,-10248000,-6054000,-2075000,-2119000,-13676000,675000,-14999.9999999995,690000,-13001000,-12997000,192000,-12805000,-14413000,-14413000,-14413000,97509000,97509000,30694000,30694000,26442000,24534000,21067000,179179000,41760000,42877000,84637000,263816000,22861000,10858000,11141000,26800668.8015502,23575000,18565000,42140000,345223000,-33378000,-89171000,-998000,221676000,221676000,263816000,-12805000,2119000,1173999.99999999,28229000,18717000,-422000,7999.99999999988,7999.99999999988,-430000,-306000,-17927000,-38000,-11000,13728.5183721138,3639496.5672294,-49000,741000,757000,3.63797880709171e-12,757000,-11557000,193000,16058000,-0.09881,-0.3942,-0.41544,-0.06502,-0.05463,-1.11413,7.60038,0.1901,0.000730000000000006,-0.24592,-0.24592,0.59194,3.78229,0.27399,-0.05999,0.06684,8.42052,7.11582
"39","2019_Q4",1.9234375,"Down",21878000,-23622000,-1744000,-10041000,-5685000,-2298000,-2058000,-11785000,437000,-1000,438000,-11348000,-11351000,191000,-11160000,-11043000,-11043000,-11043000,106994000,106994000,15014000,15014000,24333000,20157000,19844000,166498000,41180000,41679000,82859000,249357000,18651000,10578000,7797000,13805997.6056315,19413000,18233000,37646000,346398000,-33444000,-100281000,-962000,211711000,211711000,249357000,-11160000,2058000,1964000,14021000,6883000,-1371000,94000,94000,-1465000,-1102000,1910000,89000,-58000,6999.99999999994,6166069.15085887,31000,8824000,8824000,0,8824000,-9727000,172000,2732000,-0.07971,-0.53867,-0.50475,-0.05216,-0.04429,-0.2474,8.57662,0.17782,0.00069,-0.18656,-0.18656,0.3696,3.57662,0.04615,-0.04802,0.01188,10.98201,9.06423
"40","2020_Q1",1.50983870967742,"Down",19526000,-42389000,-22863000,-13188000,-8955000,-2205000,-2028000,-36051000,465000,-4999.99999999994,470000,-35586000,-35940000,-956000,-36896000,-39321000,-39321000,-39321000,100575000,100575000,15638000,15638000,23210000,14485000,13854000,153908000,39829000,36863000,76692000,230600000,40783000,16231000,24552000,3871217.6064752,41324000,17247000,58571000,347570000,-33484000,-142238000,181000,172029000,172029000,230600000,-36896000,2028000,7756000,22028000,-5084000,-560000,6000,6000,-566000,-542000,-559999.999999985,-102000,-12000,28000,7853959.70096414,-114000,-5758000,-5759000,3000.00000000001,-5756000,-34023000,4.65661287307739e-10,-11599000,-1.1709,-1.84631,-2.01378,-0.22857,-0.17052,0.29498,3.72442,0.34047,2.05998412772246e-18,-0.66844,-0.66844,0.33193,2.92442,-0.19718,-0.20774,-0.06128,2.95609,2.7898
"41","2020_Q2",0.954285714285714,"Down",19416000,-22841000,-3425000,-9239000,-4493000,-2555000,-2191000,-12664000,-51000,-4000,-47000,-12715000,-70136000,6169000,-63967000,-63967000,-63967000,-63967000,80263000,80263000,13297000,13297000,16322000,16304000,9669000,126186000,7946000,2642000,10588000,136774000,16948000,8556000,8320000,56000.0000000075,18171000,9898000,28069000,348381000,-33529000,-205058000,-1089000,108705000,108705000,136774000,-63967000,2191000,59060000,-21061000,-23777000,-8000,34000,34000,-42000,-42000,3322000,-51000,304000,349000,7724244.5423947,253000,-20202000,-20202000,-109000,-20311000,-10473000,2e+05,-37711000,-0.1764,-0.65225,-3.29455,-0.58845,-0.46768,0.58954,6.94436,0.25821,0.00146,-1.06904,-1.06904,0.32449,1.81672,-0.63024,-0.53908,-0.31781,7.64471,6.32209
"42","2020_Q3",1.9421875,"Up",8880000,-11632000,-2752000,-7501000,-5395000,-1638000,-468000,-10253000,61999.9999999999,-16000,78000,-10191000,-9592999.99999999,32000,-9561000.00000001,-9561000,-9560999.99999999,-9560999.99999999,59926000,59926000,8108000,8108000,23338000,9917000,3071000,101289000,8017000,32890000,40907000,142196000,18362000,7876000,10474000,2584000,21600000,11890000,33490000,357987000,-33566000,-215766000,51000,108706000,108706000,142196000,-9560999.99999999,468000,424000.000000007,3230000,-5439000,32000,32000,32000,2.91038304567337e-11,-5.82076609134674e-11,-19746000,-1.16415321826935e-10,-28000,9000,4798000,4770000,-20415000,-20415000,78000,-20337000,-9785000,5855000,-6555000,-0.30991,-1.15462,-1.07669,-0.0879500000000001,-0.0672399999999999,0.6856,4.68931,0.30808,0.04118,-0.14526,-0.14526,0.13491,1.65156,-0.09959,-0.07762,-0.0532099999999999,5.52591,5.27368
"43","2020_Q4",2.4153125,"Up",12739000,-29466000,-16727000,-4678000,-2680000,-1480000,-518000,-21405000,271000,-20000,291000,-21134000,-45324000,81000,-45243000,-45243000,-45243000,-45243000,49193000,49193000,10629000,10629000,14370000,4845000,4091000,79037000,8694000,10742000,19436000,98473000,19332000,6201000,13084000,3520000,23503000,10841000,34344000,358733000,-33607000,-261008000,11000,64129000,64129000,98473000,-45243000,518000,37996000,-3150000,-9879000,-774000,20000,20000,-794000,-794000,-711000,-101000,140000,-358000,-133000,-94000,-10684000,-10684000,-49000,-10733000,-20887000,5835000,-24892000,-1.31305,-1.68027,-3.55153,-0.7055,-0.45945,0.55018,3.36285,0.53555,0.05925,-0.5761,-0.5761,0.16221,0.81659,-0.31696,-0.57642,-0.31714,2.07584,2.0256
"44","2021_Q1",2.0727868852459,"Down",12106000,-17875000,-5769000,-11970000,-10195000,-1540000,-235000,-17739000,737000,-20000,757000,-17002000,-17576000,-103000,-17679000,-17679000,-17679000,-17679000,38660000,38660000,11764000,11764000,11837000,4194000,3791000,66455000,9087000,10668000,19755000,86210000,24117000,5787000,18275000,4048000,28861000,10178000,39039000,359729000,-33851000,-278688000,-19000,47171000,47171000,86210000,-17679000,235000,11884000,-3183000,-8743000,-566000,23000,23000,-589000,-589000,-566000.000000002,82000,46000,462000,-1330000,-1202000,-10511000,-10511000,-22000,-10533000,-17504000,5665000,-21150000,-0.47654,-1.46531,-1.46035,-0.37479,-0.20507,1.19633,2.30259,0.82761,0.06571,-0.256,-0.256,0.1753,0.68305,-0.30626,-0.28795,-0.34448,1.885,1.86003
"45","2021_Q2",1.79650793650794,"Down",11770000,-12080000,-310000,-7931000,-6082000,-1542000,-307000,-8241000,-51000,-18000,-33000,-8292000,-8294000,-6000,-8300000,-8300000,-8300000,-8300000,33945000,33945000,11522000,11522000,11616000,2818000,2219000,59901000,8258000,10558000,18816000,78717000,24480000,6483000,17931000,5023000,30161000,8925000,39086000,360545000,-33956000,-286988000,30000,39631000,39631000,78717000,-8300000,307000,859000,1869000,-5265000,-17000,2000,2000,-19000,-19000,-17000,-14000,38000,38000.0000000001,-105000,-81000,-5363000,-5363000,23000,-5340000,-7934000,5665000,-6076000,-0.02634,-0.70017,-0.70518,-0.20943,-0.10544,0.73205,1.98604,0.98625,0.07197,-0.12126,-0.12126,0.17196,0.579,-0.08877,-0.15491,-0.1134,3.56441,3.43162
"46","2021_Q3",1.5021875,"Down",9165000,-10773000,-1608000,-5924000,-4205000,-1466000,-253000,-7532000,55000.0000000001,-17000,72000,-7477000,-6525000,-21000,-6546000,-6546000,-6546000,-6546000,27781000,27781000,9713000,9713000,11499000,3912000,3295000,52905000,8017000,10496000,18513000,71418000,23905000,6587000,17221000,4788000,29337000,8187000,37524000,361432000,-34017000,-293534000,13000,33894000,33894000,71418000,-6546000,253000,391000,-75000,-5977000,60000,72000,72000,-12000,-12000,31000,14000.0000000002,-204000,-204000,26999.9999999999,-163000,-6109000,-6109000,-54000,-6163000,-7279000,4788000,-7273000,-0.17545,-0.82182,-0.71424,-0.19313,-0.09166,1.11106,1.80335,1.1071,0.06704,-0.09564,-0.09564,0.1339,0.49519,-0.10626,-0.13967,-0.15518,3.15881,3.05271
"47","2021_Q4",0.9475,"Down",10179000,-4022000,6157000,-5511000,-4092000,-1186000,-233000,646000,-120000,-18000,-102000,526000,512000,-3000,509000,509000,509000,509000,20527000,20527000,11560000,11560000,8818000,5451000,4851000,46356000,7769000,10429000,18198000,64554000,15797000,5224000,10465000,1336000,17767000,11504000,29271000,362182000,-33925000,-293025000,51000,35283000,35283000,64554000,509000,233000,-6929000,-850000,-7037000,0,-595417.134079027,-595417.134079027,-318595.82217201,-318693.942180946,29000,-4484036.41260426,166000,166000,-373000,-207000,-7215000,-7215000,-39000,-7254000,879000,4788000,32000,0.60487,0.06346,0.05,0.01443,0.00788,0.06287,2.60911,0.82961,0.07417,0.00745,0.00745,0.14901,0.5165,0.00047,0.01058,0.00066,-17.90557,-24.36378
"48","2022_Q1",1.18887096774194,"Up",12154000,-13137000,-982999.999999999,-7348000,-5787000,-1343000,-218000,-8331000,125000,-25000,150000,-8206000,-16259000,70000,-16189000,-16189000,-16189000,-16189000,11534000,11534000,13297000,13297000,9454000,8314000,5552000,42599000,5296000,2349000,7645000,50244000,16698000,7616000,8996000,1436000,18777000,11275000,30052000,363425000,-34100000,-309214000,81000,20192000,20192000,50244000,-16189000,218000,8831000,-421000,-7561000,69000,-1092647.2671412,-1092647.2671412,-606594.42956268,-606725.256241262,69000,-62000.0000000037,80000,80000,61000,79000.0000000005,-7413000,-7413000,170000,-7243000,-8113000,4788000,-8535000,-0.0808800000000001,-0.68545,-1.33199,-0.80175,-0.32221,0.52721,2.26868,1.48831,0.09529,-0.23699,-0.23699,0.17792,0.29558,-0.12494,-0.49202,-0.2594,0.831499999999995,0.809750000000001
"49","2022_Q2",1.25822580645161,"Up",12879000,-13358000,-479000,-6489000,-4879000,-1415000,-195000,-6968000,-444000,-668000,224000,-7412000,-10728000,4000,-10724000,-10724000,-10724000,-10724000,24835000,24835000,13239000,13239000,10143000,9729000,6945000,57946000,5079000,9193000,14272000,72218000,15078000,8233000,6747000,19162000,34892000,24222000,59114000,367112000,-34159000,-319938000,89000,13104000,13104000,72218000,-10724000,195000,5400000,-3345000,-8474000,24000,24000,24000,-595545.82217201,-595643.942180946,24000,20052000,-126653.202539372,-120036.955106793,-59000,19993000,11543000,11543000,8000,11551000,-6773000,36447000,-10098000,-0.03719,-0.54104,-0.83267,-0.81838,-0.14849,0.94163,1.66072,4.51114,0.50468,-0.15469,-0.15282,0.18578,0.18903,-0.14566,-0.18985,-0.17876,-1.71445,-1.66648
"50","2022_Q3",1.0696875,"Down",29373000,-31678000,-2305000,-8728000,-7431000,-1115000,-182000,-11033000,-1701000,-1597000,-104000,-12734000,6338000,-98000,6240000,6240000,6240000,6240000,33084000,33084000,23350000,23350000,13249000,10835000,10300000,80518000,4819000,78134000,82953000,163471000,27095000,19771000,7115000,20013000,47778000,77135000,124913000,386318000,-34238000,-313698000,176000,38558000,38558000,163471000,6240000,182000,-15766000,-6097000,-15441000,4165000,4170000,4170000,-4999.99999999977,-5000.00000000023,4144000,19514000,24000,24000,-79000,19459000,8162000,8162000,87000,8249000,-10851000,23111000,-12685000,-0.07847,-0.37562,0.21244,0.16183,0.03817,-2.03285,1.68525,3.23961,0.14138,0.08335,0.05019,0.39237,0.51506,-0.16945,0.04598,-0.09347,0.91909,0.903919999999999
