"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"34","2018_Q3",99.5434920634921,"Up",1033498000,-813017000,-751696000,-56235000,-5086000,220481000,991000,657000,334000,221472000,221472000,-58038000,163434000,163434000,163434000,163434000,140571000,140571000,456906000,456906000,50108000,42735000,7373000,647585000,2585708000,87789000,68326000,2673497000,3321082000,286299000,81668000,204631000,80063000,52168000,366362000,4.5e+07,427669000,196945000,230724000,472669000,839031000,147765000,2334286000,2482051000,2482051000,3321082000,163434000,56235000,1564000,-7789000,213444000,-191530000,-191530000,-41280000,-19366000,-19366000,-19366000,276716000,4.5e+07,135435000,0.21333,0.15814,0.06585,0.04921,0.82868,1.76761,0.33804,0.01355,1.32763,1.32599,8.39547,20.16259,1.10019,0.05893,0.04584,-0.34538,-0.43347
"35","2018_Q4",87.227619047619,"Down",1058233000,-829848000,-768888000,-58086000,-2874000,228385000,819000,749000,70000,229204000,229204000,-55762000,173442000,173442000,173442000,173442000,177468000,177468000,466455000,466455000,52392000,36640000,15752000,696315000,2703275000,89722000,70259000,2792997000,3489312000,308674000,88150000,220524000,53783000,53783000,362457000,4.5e+07,464923000,227531000,237392000,509923000,872380000,149030000,2467902000,2616932000,2616932000,3489312000,173442000,58086000,37998000,-18799000,250727000,-174796000,-173997000,-39833000,36897000,36897000,36897000,286471000,4.5e+07,148638000,0.21582,0.1639,0.06628,0.04971,0.85699,1.9211,0.33336,0.0129,1.41207,1.41051,8.61558,21.30568,1.21013,0.05887,0.04754,-0.46241,-0.58002
"36","2019_Q1",92.1154098360656,"Up",1026944000,-808099000,-741193000,-62555000,-4351000,218845000,-1494000,1073000,-2567000,217351000,217351000,-57892000,159459000,159459000,159459000,159459000,190282000,190282000,427569000,427569000,88378000,47687000,40691000,706229000,2754943000,84111000,64648000,2839054000,3545283000,303469000,78518000,224951000,53263000,53263000,356732000,4.5e+07,463068000,247669000,215399000,508068000,864800000,150299000,2530184000,2680483000,2680483000,3545283000,159459000,62555000,22022000,-19338000,224698000,-114772000,-114653000,-97231000,12814000,12814000,12814000,281400000,4.5e+07,205182000,0.2131,0.15528,0.05949,0.04498,1.28674,1.97972,0.32263,0.01269,1.30457,1.30312,8.40163,21.92956,1.67863,0.05332,0.06435,-0.51628,-0.66386
"37","2019_Q2",95.9593650793651,"Up",990782000,-812356000,-744030000,-63073000,-5253000,178426000,1961000,1361000,6e+05,180387000,180387000,-47064000,133323000,133323000,133323000,133323000,280627000,280627000,447242000,447242000,56009000,47918000,8091000,783878000,2761857000,158307000,138844000,2920164000,3704042000,307585000,79397000,228188000,50570000,50570000,358155000,4.5e+07,530516000,247669000,282847000,575516000,933671000,151230000,2619141000,2770371000,2770371000,3704042000,133323000,63073000,2410000,7369000,206175000,-70464000,-70464000,-45366000,90345000,90345000,90345000,241499000,4.5e+07,225468000,0.18009,0.13456,0.04812,0.03599,1.69114,2.18866,0.33702,0.01215,1.09686,1.09537,8.15125,22.79208,1.85494,0.04397,0.06739,-0.97569,-1.32059
"38","2019_Q3",107.18328125,"Up",1060666000,-826177000,-758957000,-62571000,-4649000,234489000,1085000,1609000,-524000,235574000,235574000,-61502000,174072000,174072000,174072000,174072000,228960000,228960000,449984000,449984000,62476000,54315000,8161000,741420000,2858171000,159112000,139649000,3017283000,3758703000,322154000,85125000,237029000,63951000,50803000,386105000,4.5e+07,529113000,247669000,281444000,574113000,960218000,152952000,2645533000,2798485000,2798485000,3758703000,174072000,62571000,2524000,16541000,255708000,-159126000,-159126000,-148249000,-51667000,-51667000,-51667000,297060000,4.5e+07,215977000,0.22108,0.16412,0.0622,0.04631,1.24073,1.92025,0.34312,0.01197,1.44124,1.43904,8.78186,23.17026,1.7882,0.05566,0.06404,-0.61927,-0.78451
"39","2019_Q4",121.40515625,"Up",1048457000,-830930000,-755985000,-63493000,-11452000,217527000,867000,1711000,-844000,218394000,218394000,-54295000,164099000,164099000,164099000,164099000,322286000,322286000,425850000,425850000,58842000,46617000,12225000,806978000,2927894000,157546000,138083000,3085440000,3892418000,336119000,81269000,254850000,60743000,51613000,396862000,4.5e+07,541028000,247669000,293359000,586028000,982890000,154073000,2755455000,2909528000,2909528000,3892418000,164099000,63493000,6053000,51987000,285632000,-138122000,-138122000,-54184000,93326000,93326000,93326000,281020000,4.5e+07,249180000,0.20747,0.15651,0.0564,0.04216,1.51847,2.0334,0.33782,0.01156,1.36971,1.36784,8.75132,24.2854,2.07987,0.05083,0.07128,-0.98671,-1.27472
"40","2020_Q1",131.541290322581,"Up",1009206000,-820942000,-460581000,-64544000,-295817000,188264000,1330000,1705000,-375000,189594000,189594000,-45570000,144024000,144024000,144024000,144024000,403571000,403571000,397579000,397579000,65684000,55098000,10586000,866834000,2968835000,159899000,159899000,3128734000,3995568000,308908000,70254000,238654000,57177000,54330000,366085000,4.5e+07,503766000,261964000,241802000,548766000,914851000,230415000,2850302000,3080717000,3080717000,3995568000,144024000,64544000,36019000,-8214000,236373000,-105927000,-105927000,-49161000,81285000,81285000,81285000,252808000,4.5e+07,184237000,0.18655,0.14271,0.04675,0.03605,1.27921,2.36785,0.29696,0.01126,1.205,1.20231,8.44366,25.77524,1.54144,0.04341,0.05076,-1.41835,-1.90462
"41","2020_Q2",150.42746031746,"Up",987364000,-804194000,-733939000,-65435000,-4820000,183170000,-2469000,1148000,-3617000,180701000,180701000,-47524000,133177000,133177000,133177000,133177000,356972000,356972000,419128000,419128000,54906000,46421000,8485000,831006000,2953990000,149990000,130527000,3103980000,3934986000,275844000,55097000,220747000,107451000,53768000,428295000,72460494.367967,490642000,261964000,228678000,490642000,918937000,2.29e+08,2787049000,3016049000,3016049000,3934986000,133177000,65435000,4923000,483000,204018000,-50668000,-50668000,-199949000,-46599000,-46599000,-46599000,248605000,4.5e+07,245944000,0.18551,0.13488,0.04416,0.03384,1.84675,1.94027,0.30468,0.01144,1.11866,1.11161,8.29368,25.33427,2.06589,0.04265,0.06925,-1.25489,-1.70318
"42","2020_Q3",186.14125,"Up",896210000,-697044000,-626397000,-65735000,-4912000,199166000,-161000,-534000,373000.000000001,199005000,199005000,-51200000,147805000,147805000,147805000,147805000,518624000,518624000,387260000,387260000,62686000,54161000,8525000,968570000,2955083000,156375000,136912000,3111458000,4080028000,293399000,51257000,242142000,155775000,52469000,494174000,99923000,503463000,248564000,254899000,603386000,1097560000,193629000,2788839000,2982468000,2982468000,4080028000,147805000,65735000,-13901000,112559000,312198000,-66890000,-66890000,-83656000,161652000,161652000,161652000,264901000,144923000,361770000,0.22223,0.16492,0.04956,0.03623,2.44762,1.95998,0.368,0.03552,1.25674,1.24878,7.62017,25.35893,3.07601,0.04555,0.09964,-1.41072,-1.87633
"43","2020_Q4",197.48125,"Up",1058166000,-787922000,-509957000,-64983000,-212982000,270244000,-1909000,-948000,-961000,268335000,268335000,-66467000,201868000,201868000,201868000,201868000,625690000,420396000,453346000,453346000,59460000,49882000,9578000,1138496000,2935475000,199717000,180254000,3135192000,4273688000,336524000,59229000,277295000,67764000,54493000,449288000,99927000,553640000,236809000,316831000,653567000,1102855000,197724000,2973109000,3170833000,3170833000,4273688000,201868000,64987000,746000,-97359000,170242000,-45490000,-250891000,-17579000,-98228000,-98228000,-98228000,335231000,144927000,258849000,0.25539,0.19077,0.06366,0.04724,1.28227,2.534,0.34781,0.03391,1.72272,1.71183,9.03026,27.05949,2.20898,0.05671,0.0669,-1.43412,-1.779
"44","2021_Q1",213.15606557377,"Up",1073389000,-819087000,-667311000,-65106000,-86670000,254302000,-979000,-618000,-361000,253323000,253323000,-63491000,189832000,189832000,189832000,189832000,731704000,401430000,444653000,444653000,66982000,57413000,9569000,1243339000,2914031000,212040000,212040000,3126071000,4369410000,128735000,68511000,51513000,244395000,244395000,373130000,99931000,570061000,220210000,349851000,669992000,1043122000,238157000,3088131000,3326288000,3326288000,4369410000,189832000,65110000,-8743000,367000,246566000,-58343000,-183214000,-82318000,-18965999.9999999,-18965999.9999999,-18965999.9999999,319412000,99931000,324927000,0.23692,0.17685,0.05707,0.04345,1.71166,3.33219,0.3136,0.02287,1.621,1.61035,9.16578,28.40352,2.77459,0.05189,0.08131,-1.97793,-2.48434
"45","2021_Q2",254.718253968254,"Up",1126515000,-856858000,-700983000,-63987000,-91888000,269657000,-349000,-221000,-128000,269308000,269308000,-69949000,199359000,199359000,199359000,199359000,662093000,351900000,496125000,496125000,65043000,55490000,9553000,1223261000,2907672000,220930000,220930000,3128602000,4351863000,384614000,88452000,296162000,129248000,54304000,513862000,99935000,546149000,220210000,325939000,646084000,1159946000,167722000,3024195000,3191917000,3191917000,4351863000,199359000,63991000,6727000,40231000,310308000,-43297000,-23072000,-336766000,-49530000,-49530000,-49530000,333648000,99935000,400531000,0.23937,0.17697,0.06246,0.04581,2.00909,2.38052,0.3634,0.02296,1.71127,1.70021,9.66983,27.39892,3.4381,0.058,0.10436,-1.68488,-2.08472
"46","2021_Q3",276.04125,"Up",1319409000,203812000,373655000,-63947000,-105896000,366044000,-1656000,-269000,-1387000,364388000,364388000,-94812000,269576000,269576000,269576000,269576000,649458000,484204000,548749000,548749000,112908000,61601000,51307000,1311115000,2998727000,224604000,224604000,3223331000,4534446000,426398000,90956000,335442000,55620000,55620000,482018000,99939000,550111000,220210000,329901000,650050000,1132068000,171785000,3230593000,3402378000,3402378000,4534446000,269576000,63951000,9326000,-144870000,197983000,-147300000,-2418000,-63261000,132304000,132304000,132304000,429995000,99939000,232637000,0.27743,0.20432,0.07923,0.05945,0.86297,2.72005,0.33273,0.02204,2.314,2.29904,11.3256,29.20549,1.99692,0.07224,0.05741,-1.27797,-1.50124
"47","2021_Q4",335.7446875,"Up",1400046000,-366951000,-183821000,-65160000,-117970000,383410000,-459000,-193000,-266000,382951000,382951000,-96317000,286634000,286634000,286634000,286634000,564660000,339761000,591783000,591783000,122409000,60143000,62266000,1278852000,3110114000,224154000,224154000,3334268000,4613120000,231870000,135044000,96826000,302421000,302421000,534291000,99943000,558988000,228667000,330321000,658931000,1193222000,181841000,3238057000,3419898000,3419898000,4613120000,286634000,65164000,15876000,-3350000,364324000,-175456000,-235692000,-273075000,-144443000,-144443000,-144443000,448574000,99943000,366085000,0.27386,0.20473,0.08381,0.06213,1.27719,2.39355,0.34891,0.02166,2.47299,2.4571,12.07917,29.50583,3.15847,0.07591,0.08975,-1.03599,-1.21206
"48","2022_Q1",310.183709677419,"Down",1410358000,-2844729000,-2660510000,-66789000,-117430000,372491000,-715000,-258000,-457000,371776000,371776000,-92970000,278806000,278806000,278806000,278806000,716997000,462564000,567474000,635103886.75665,99316000,67688000,12410000,1383787000,3215686000,222071000,222071000,3437757000,4821544000,144507000,82519000,61988000,319727000,319727000,464234000,99947000,577556000,248718000,328838000,677503000,1141737000,185946000,3493861000,3679807000,3679807000,4821544000,278806000,66793000,27602000,-33210000,339991000,-164476000,-194106000,-23082000,122803000,122803000,122803000,439284000,99947000,334568000,0.26411,0.19768,0.07577,0.05783,1.2,2.9808,0.31027,0.02073,2.44724,2.43113,12.37954,32.29983,2.9367,0.06926,0.07678,-1.40467,-1.65655
"49","2022_Q2",261.325161290323,"Down",1497280000,-1091662000,-907059000,-67340000,-117263000,405618000,-549000,56000,-605000,405069000,405069000,-105318000,299751000,299751000,299751000,299751000,541305000,262122000,669042000,669042000,70610000,58263000,12347000,1280957000,3225308000,216385000,216385000,3441693000,4722650000,292271000,117850000,91135000,286325000,286325000,578596000,99951000,540796000,248718000,292078000,640747000,1219343000,144548000,3358759000,3503307000,3503307000,4722650000,299751000,67344000,6910000,14720000,388725000,-83258000,-108454000,-480713000,-200442000,-200442000,-200442000,472962000,99951000,509742000,0.2709,0.2002,0.08556,0.06347,1.70055,2.21391,0.34805,0.02116,2.60889,2.59119,13.03161,30.49111,4.43655,0.08058,0.12301,-0.93317,-1.0881
"50","2022_Q3",276.15234375,"Up",1667448000,227156000,404361000,-68310000,-108895000,508705000,-492000,258000,-750000,508213000,508213000,-132135000,376078000,376078000,376078000,376078000,420525000,196134000,680096000,680096000,108469000,87198000,12665000,1209090000,3378732000,206045000,206045000,3584777000,4793867000,278867000,136480000,92510000,329311000,329311000,628178000,79955000,529905000,248718000,281187000,609860000,1238038000,248215000,3307614000,3555829000,3555829000,4793867000,376078000,68314000,6678000,-23742000,427328000,-220877000,-165794000,-327522000,-65988000,-65988000,-65988000,577019000,99955000,464535000,0.30508,0.22554,0.10576,0.07845,1.23521,1.92476,0.34817,0.02085,3.3258,3.30458,14.74587,31.44553,4.10806,0.09793,0.11098,-0.55556,-0.63017
