"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","income_taxes_receivable","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_compensation","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"29","2017_Q2",33.4174603174603,"Up",171069000,-95127000,75942000,-70296000,-57771000,-12525000,5646000,-2359000,-2623000,-2706000,83000,264000,3287000,15493000,-690000,14803000,14803000,14803000,14803000,26464000,26464000,95252000,95252000,134310000,16125000,7778000,3284000,5063000,272151000,283384000,452036000,-168652000,459646000,156414000,219911000,81274000,743030000,1015181000,87620000,32625000,2120000,52875000,105097000,220408000,37334000,9399000,20482000,7453000,257742000,362839000,344497000,308688000,-843000,652342000,652342000,1015181000,14803000,12759000,-11692000,-692000,15178000,-10843000,-47461000,-58304000,-8.7e+07,138569000,138569000,-848000,50721000,7595000,7595000,-302000,7293000,18405000,237406000,7560000,0.44393,0.033,0.08653,0.02269,0.01458,0.51071,2.58952,0.55621,0.23386,0.3302,0.32307,3.81595,14.55146,0.16864,8,0.01597,0.00815,11.46112,37.36132
"30","2017_Q3",40.2952380952381,"Up",186549000,-102408000,84141000,-70722000,-57409000,-13313000,13419000,-1380000,-1550000,-1639000,89000,170000,12039000,11313000,-1830000,9483000,9483000,9483000,9483000,37675000,37675000,103689000,103689000,136684000,17512000,9105000,2699000,5708000,295560000,285203000,460616000,-175413000,471088000,157525000,226829000,84737000,756291000,1051851000,97766000,36671000,1910000,59185000,114927000,224943000,45499000,9725000,23354000,12420000,270442000,385369000,348051000,318171000,260000,666482000,666482000,1051851000,9483000,12950000,2109000,-5154000,19388000,-8018000,-7348000.00000001,-15366000,4500000,2420000,2420000,3000,6923000.00000001,10945000,10945000,266000,11211000,26369000,241912000,15027000,0.45104,0.07193,0.05083,0.01423,0.00902,1.58463,2.57172,0.57821,0.22999,0.18973,0.18517,3.73232,13.33444,0.30065,7,0.00994,0.01575,7.74534,15.21999
"31","2017_Q4",41.9444444444444,"Up",179337000,-98823000,80514000,-67554000,-54716000,-12838000,12960000,-2306000,-1496000,-1590000,94000,-810000,10654000,-2205000,-1364000,-3569000,-3569000,-3569000,-3569000,23362000,23362000,101394000,101394000,145598000,29511000,20581000,2883000,6047000,299865000,290282000,471954000,-181672000,497004000,172796000,234043000,88119000,787286000,1087151000,90234000,32291000,1435000,56508000,107738000,260978000,51619000,10319000,23764000,17536000,312597000,420335000,351321000,314602000,893000,666816000,666816000,1087151000,-3569000,13679000,14224000,-15507000,8827000,-12579000,-48691000,-61270000,3.6e+07,2080000,2080000,-16000,38064000,-14379000,-14379000,66000,-14313000,26639000,277940000,-83000,0.44895,0.07227,-0.0199,-0.00535,-0.00328,0.02326,2.78328,0.63036,0.25566,-0.07112,-0.06912,3.57359,13.28742,-0.00165,5,-0.00358,-8e-05,9.55659,19.64336
"32","2018_Q1",45.2786885245902,"Up",190897000,-105241000,85656000,-71965000,-59238000,-12727000,13691000,-2182000,-1686000,-1801000,115000,-496000,11509000,11280000,-4474000,6806000,6806000,6806000,6806000,32336000,32336000,105536000,105536000,155288000,22961000,9096000,4436000,9429000,316121000,292820000,478469000,-185649000,502870000,167771000,238147000,94593000,795690000,1111811000,96161000,34931000,2298000,58932000,115620000,259013000,60844000,11181000,23289000,26374000,319857000,435477000,353392000,321408000,1534000,676334000,676334000,1111811000,6806000,14194000,1180000,-2846000,19334000,-9739000,-2082000.00000001,-11821000,5e+05,741000,741000,-432000,808999.999999993,8322000,8322000,652000,8974000,27885000,278472000,19774000,0.4487,0.07172,0.03565,0.01006,0.00612,2.90538,2.73414,0.64388,0.25047,0.13551,0.13154,3.80091,13.46635,0.39372,6,0.0067,0.01947,8.82682,17.97794
"33","2018_Q2",49.54765625,"Up",203035000,-114979000,88056000,-79235000,-64913000,-14322000,8821000,-2422000,-2252000,-2398000,146000,-170000,6399000,6359000,-1090000,5269000,5269000,5269000,5269000,34171000,34171000,119146000,119146000,166716000,23737000,10360000,4650000,8727000,343770000,303725000,495551000,-191826000,591714000,241677000,244125000,103471000,895439000,1239209000,103667000,43739000,2397000,57531000,124400000,365797000,60501000,11185000,23330000,25986000,426298000,550698000,356228000,326677000,5606000,688511000,688511000,1239209000,5269000,15284000,1829000,-14447000,7935000,-17121000,-100195000,-117316000,1.08e+08,1511000,1511000,-15000,109496000,115000,115000,1720000,1835000,24105000,386530000,-6373000,0.4337,0.04345,0.02595,0.00765,0.00425,-1.20953,2.76342,0.79984,0.31192,0.1048,0.1015,4.03833,13.69435,-0.12676,4,0.00464,-0.00561,14.61767,39.94547
"34","2018_Q3",57.4460317460317,"Up",224809000,-124800000,100009000,-84410000,-69094000,-15316000,15599000,-3548000,-2997000,-3338000,341000,-551000,12051000,11566000,-625000,10941000,10941000,10941000,10941000,43512000,43512000,131943000,131943000,169254000,26255000,12142000,5623000,8490000,370964000,311768000,509709000,-197941000,608459000,232880000,248998000,124263000,920227000,1291191000,117609000,50823000,948000,65838000,139594000,391582000,60761000,11620000,23148000,25993000,452343000,591937000,359570000,337618000,2066000,699254000,699254000,1291191000,10941000,17495000,2086000,-3408000,27114000,-16189000,-18459000,-45148000,2.7e+07,1740000.00000001,1740000.00000001,-115000,28625000,10591000,10591000,-1250000,9341000,33094000,413567000,14122000,0.44486,0.06939,0.04867,0.01565,0.00847,1.29074,2.65745,0.84653,0.3203,0.21676,0.20977,4.45387,13.85347,0.27978,4,0.00932,0.01203,11.18194,23.723
"35","2018_Q4",59.4488888888889,"Up",221660000,-119621000,102039000,-80907000,-66382000,-14525000,21132000,-1676000,-1968000,-2328000,360000,292000,19456000,19384000,-2766000,16618000,16618000,16618000,16618000,51955000,51955000,129282000,129282000,181439000,24973000,11720000,4350000,8903000,387649000,319925000,524421000,-204496000,602309000,224540000,249023000,126492000,922234000,1309883000,117825000,50697000,1598000,65530000,139825000,186867000,59980000,12176000,23102000,24702000,246847000,386672000,568051000,354236000,924000,923211000,923211000,1309883000,16618000,17657000,2627000,-9094000,27808000,-15941000,-4116000,-20307000,-204750000,210025000,210025000,-3036000,2239000,9740000,9740000,-1297000,8443000,38789000,208867000,16520000,0.46034,0.09534,0.07497,0.018,0.01269,0.9941,2.77239,0.41883,0.15945,0.31033,0.30093,4.13931,17.24017,0.3085,7,0.01394,0.01386,4.04527,7.42533
"36","2019_Q1",56.7273770491803,"Down",233249000,-128583000,104666000,-90998000,-75629000,-15369000,13668000,-1452000,-1944000,-2296000,352000,492000,12216000,12210000,-3021000,9189000,9189000,9189000,9189000,67359000,67359000,137174000,137174000,197536000,27765000,11326000,4560000,11879000,429834000,331452000,541015000,-209563000,858726000,383147000,335433000,137145000,1190178000,1620012000,153343000,54024000,3146000,96173000,175343000,373152000,138742000,11219000,56363000,71160000,511894000,687237000,571383000,363425000,-2033000,932775000,932775000,1620012000,9189000,19110000,3674000,-8297000,23676000,-17030000,-179019000,-196049000,186250000,1716999.99999997,1716999.99999997,-47000,187920000,15547000,15547000,-143000,15404000,32778000,395152000,10472000,0.44873,0.0586,0.0394,0.00985,0.00567,1.13962,2.45139,0.73677,0.24392,0.16777,0.16282,4.2587,17.03077,0.1912,5,0.00627,0.00714,10.0004,23.98251
"37","2019_Q2",57.3452380952381,"Up",238349000,-133713000,104636000,-94313000,-78270000,-16043000,10323000,-2677000,-2407000,-2764000,357000,-270000,7646000,6846000,-651000,6195000,6195000,6195000,6195000,49522000,49522000,146488000,146488000,198922000,26851000,11220000,4937000,10694000,421783000,340764000,556043000,-215279000,927246000,371603000,334951000,217609000,1268010000,1689793000,144634000,51680000,1644000,91310000,178459000,362187000,209036000,12480000,56324000,140232000,571223000,749682000,574946000,369713000,-4548000,940111000,940111000,1689793000,6195000,22348000,5984000,-21022000,13505000,-19105000,-1942000,-21047000,-1.1e+07,1733000,1733000,-554000,-9821000,-17363000,-17363000,-474000,-17837000,32671000,384187000,-6805000,0.439,0.04331,0.02599,0.00659,0.00367,-1.09847,2.36347,0.79744,0.22736,0.11281,0.10967,4.34017,17.11876,-0.12391,5,0.00404,-0.00444,10.24349,32.41935
"38","2019_Q3",40.45546875,"Down",255532000,-143568000,111964000,-96309000,-79977000,-16332000,15655000,-3202000,-2774000,-3115000,341000,-428000,12453000,8999000,-2140000,6859000,6859000,6859000,6859000,35182000,35182000,156444000,156444000,202994000,32326000,12305000,8501000,11520000,426946000,350519000,572921000,-222402000,958805000,391651000,352133000,211983000,1309324000,1736270000,149819000,52601000,42000,97176000,176551000,385221000,223823000,12739000,60932000,150152000,609044000,785595000,579250000,376572000,-5147000,950675000,950675000,1736270000,6859000,22662000,9614000,-16950000,22185000,-18439000,-35314000,-53753000,1.6e+07,1641000,1641000,-57000,17584000,-13984000,-13984000,-356000,-14340000,38317000,400221000,5068000,0.43816,0.06126,0.02684,0.00721,0.00395,0.73888,2.41826,0.82635,0.23051,0.12467,0.12128,4.6446,17.27966,0.09212,4,0.00436,0.00322,9.52682,23.3177299999999
"39","2019_Q4",28.635625,"Down",243049000,-138913000,104136000,-103922000,-86936000,-16986000,214000,-2810000,-3087000,-3416000,329000,277000,-2596000,-5690000,2292000,-3398000,-3398000,-3398000,-3398000,37315000,37315000,144683000,144683000,216766000,42538000,17610000,13177000,11751000,441302000,366901000,596497000,-229596000,953501000,390796000,352158000,207603000,1320402000,1761704000,134061000,52387000,1188000,80486000,153213000,432456000,226794000,13497000,58290000,155007000,659250000,812463000,584161000,373174000,-8094000,949241000,949241000,1761704000,-3398000,23497000,9236000,-14121000,15214000,-22858000,-16256000,-39114000,4e+07,2489000,2489000,-16552000,25937000,2037000,2037000,96000,2133000,23711000,439956000,-15560000,0.42846,0.00088,-0.01398,-0.00358,-0.00193,4.57916,2.88032,0.85591,0.24973,-0.06161,-0.06053,4.40681,17.21105,-0.28212,3,-0.0021,-0.00963,16.98119,1881.5
"40","2020_Q1",35.6208064516129,"Up",257922000,-146292000,111630000,-98345000,-82091000,-16254000,13285000,-4552000,-4436000,-3118000,-1318000,-116000,8733000,-7962000,3757000,-4205000,-4205000,-4205000,-4205000,44320000,44320000,155365000,155365000,225698000,29155000,12497000,6642000,10016000,454538000,378785000,610404000,-231619000,923998000,379529000,353193000,187488000,1302783000,1757321000,162606000,54623000,2799000,105184000,181656000,431984000,193737000,14855000,45236000,133646000,625721000,807377000,587017000,368221000,-5294000,949944000,949944000,1757321000,-4205000,23593000,10921000,-3400000,26909000,-20175000,-392000,-20567000,-5e+05,389000,389000,-56000,-167000,6175000,6175000,830000,7005000,36878000,439484000,9546000,0.43281,0.05151,-0.0163,-0.00443,-0.00239,-2.27015,2.50219,0.84992,0.25009,-0.07616,-0.07541,4.6714,17.20508,0.17289,4,-0.00266,0.00603,10.71544,29.74513
"41","2020_Q2",40.354126984127,"Up",243525000,-139741000,103784000,-93680000,-78808000,-14872000,10104000,-3354000,-3065000,-3144000,79000,-289000,6750000,-1992000,-1162000,-3154000,-3154000,-3154000,-3154000,50080000,50080000,150050000,150050000,227776000,34602000,16284000,9072000,9246000,462508000,384860000,624176000,-239316000,901904000,366551000,352242000,179395000,1286764000,1749272000,146121000,56012000,3014000,87095000,165291000,438137000,206046000,14066000,45027000,146953000,644183000,809474000,590065000,364492000,-14759000,939798000,939798000,1749272000,-3154000,23320000,14886000,-6188000,28864000,-15012000,-515024.273586585,-14762000,6125000,1261000,1261000,-13620000,-6234000,7868000,7868000,-2108000,5760000,33424000,445637000,13386000,0.42617,0.04149,-0.01295,-0.00336,-0.0018,-4.24413,2.79814,0.86133,0.25476,-0.05709,-0.05709,4.40801,17.01115,0.2423,4,-0.00198,0.00841,11.83452,39.14856
"42","2020_Q3",45.1959375,"Up",218371000,-134155000,84216000,-80793000,-66767000,-14026000,3423000,-3305000,-2627000,-2715000,88000,-678000,118000,-22300000,3242000,-19058000,-19058000,-19058000,-19058000,49702000,49702000,138792000,138792000,221417000,36034000,13860000,13960000,8214000,445945000,383629000,631890000,-248261000,886295000,354273000,353093000,175181000,1269924000,1715869000,153838000,44444000,2460000,106934000,174224000,402915000,209883000,14194000,45236000,150453000,612798000,787022000,595726000,345434000,-12313000,928847000,928847000,1715869000,-19058000,23720000,11321000,28369000,44352000,-12554000,-1e+05,-12654000,-35250000,2409000,2409000,-107000,-32948000,-1250000,-1250000,872000.000000001,-378000,27143000,410415000,39716000,0.38566,0.01568,-0.08727,-0.02052,-0.01111,-2.08395,2.55961,0.84731,0.23919,-0.34397,-0.34397,3.94129,16.76438,0.71682,4,-0.0123,0.02564,13.28936,105.3792
"43","2020_Q4",51.60984375,"Up",243975000,-141961000,102014000,-85721000,-72215000,-13506000,16293000,-2248000,-2130000,-2197000,67000,-118000,14045000,-2184000,-825000,-3009000,-3009000,-3009000,-3009000,44551000,44551000,141957000,141957000,209109000,39009000,15579000,15357000,8073000,434626000,383804000,638389000,-254585000,852080000,331851000,353622000,162750000,1235884000,1670510000,165566000,46634000,2005000,116927000,186047000,349813000,200813000,15396000,45439000,139978000,550626000,736673000,600737000,342425000,-9325000,933837000,933837000,1670510000,-3009000,23418000,24021000,10709000,55139000,-10490000,1125000,-9365000,-53130000,1284000,1284000,-130000.000000002,-51976000,-6202000,-6202000,1051000,-5151000,39711000,357313000,40755000,0.41813,0.06678,-0.01233,-0.00322,-0.0018,-13.54437,2.33611,0.78887,0.21389,-0.05421,-0.05421,4.39547,16.82407,0.73424,5,-0.00202,0.02732,7.87595,19.1961
"44","2021_Q1",57.2873770491803,"Up",258004000,-146841000,111163000,-95067000,-79934000,-15133000,16096000,-2762000,-1568000,-1938000,370000,-1194000,13334000,13245000,2133000,15378000,15378000,15378000,15378000,56916000,56916000,146641000,146641000,198019000,28131000,13120000,7237000,7774000,429707000,382728000,643447000,-260719000,851961000,318059000,363533000,165772000,1234689000,1664396000,164601000,49837000,2820000,111944000,185004000,343722000,177095000,16808000,33312000,126975000,520817000,705821000,606224000,357803000,-5452000,958575000,958575000,1664396000,15378000,23612000,-3423000,1348000,36915000,-11178000,-10693000,-21871000,-6120000,1681000,1681000,-109000,-4547999.99999999,10496000,10496000,1869000,12365000,39708000,351222000,27745000,0.43086,0.06239,0.0596,0.01604,0.00924,1.8042,2.32269,0.73632,0.21102,0.27669,0.27669,4.6422,17.24738,0.49921,6,0.01034,0.01866,7.41176,18.28442
"45","2021_Q2",61.8479365079365,"Up",248913000,-137019000,111894000,-97298000,-81024000,-16274000,14596000,-1500000,-1065000,-1537000,472000,-435000,13096000,12694000,-1736000,10958000,10958000,10958000,10958000,58519000,58519000,150314000,150314000,200308000,29347000,13617000,7011000,8719000,438488000,378177000,644091000,-265914000,835054000,307713000,362500000,160312000,1213231000,1651719000,187932000,52986000,2773000,132173000,207678000,312875000,154474000,16227000,33252000,104995000,467349000,675027000,615113000,368761000,-7182000,976692000,976692000,1651719000,10958000,21400000,7163000,-4289000,35232000,-5990000,-358000,-6348000,-30875000,5520000,5520000,-891000,-26246000,2638000,2638000,-1035000,1603000,35996000,320375000,27453000,0.44953,0.05864,0.04402,0.01122,0.00663,2.50529,2.11138,0.69114,0.19396,0.19667,0.19232,4.46745,17.52952,0.49272,7,0.00755,0.01891,7.27459,17.94026
"46","2021_Q3",67.84921875,"Up",280325000,-156186000,124139000,-109156000,-91563000,-17593000,14983000,-2030000,-1294000,-1386000,92000,-736000,12953000,6865000,-1949000,4916000,4916000,4916000,4916000,69672000,69672000,153443000,153443000,194524000,32143000,16541000,7226000,8376000,449782000,373801000,646320000,-272519000,818810000,297471000,362810000,153915000,1192611000,1642393000,191383000,53809000,2561000,135013000,210604000,284900000,154455000,17055000,33271000,104129000,439355000,649959000,623591000,373677000,-4834000,992434000,992434000,1642393000,4916000,21017000,12708000,2567000,41208000,-7412000,-1500000,-8912000,-28003000,6260000,6260000,-86000,-21829000,10467000,10467000,686000,11153000,3.6e+07,292400000,33104000,0.44284,0.05345,0.01754,0.00495,0.00299,6.73393,2.13568,0.65491,0.17803,0.08823,0.08628,5.03123,17.81205,0.59415,7,0.00342,0.023,6.18689,14.86538
"47","2021_Q4",67.00625,"Down",267021000,-146527000,120494000,-103448000,-86474000,-16974000,17046000,-1754000,-1129000,-1200234.90615875,-85466.3628100915,-625000,15292000,14177000,-2210000,11967000,11967000,11967000,11967000,68904000,68904000,150780000,150780000,208081000,35677000,18778000,6240000,10659000,463442000,373456000,650835000,-277379000,806268000,287117000,3.62e+08,152570000,1179724000,1643166000,194856000,51077000,1850000,141929000,213475000,271181000,145134000,17414000,33238000,94482000,416315000,629790000,633948000,385644000,-6216000,1013376000,1013376000,1643166000,11967000,20756000,9395000,-17142000,24976000,-7294000,0,-7294000,-13747000,6034000,6034000,-10178000,-17891000,-209000,-209000,-559000,-768000,37802000,278681000,15576000,0.45125,0.06384,0.04482,0.01181,0.00728,1.30158,2.17094,0.62148,0.1696,0.21255,0.20794,4.74266,17.99893,0.27665,7,0.00833,0.01084,5.54936,12.30652
"48","2022_Q1",60.1254838709677,"Down",278492000,-149686000,128806000,-97035000,-76629000,-20406000,31771000,-1715000,-1004000,-1011158.57664648,-17069.5036064218,-711000,30056000,20181000,432000,20613000,20613000,20613000,20613000,67750000,67750000,152301000,152301000,221922000,40239000,16149000,6327000,17763000,482212000,371658000,652276000,-280618000,794424000,276833000,361741000,149770000,1166082000,1648294000,217174000,55624000,2536000,159014000,236280000,234397000,137818000,18111000,31503000,88204000,372215000,608495000,641533000,406257000,-7991000,1039799000,1039799000,1648294000,20613000,20893000,3283000,1025999.99999999,45815000,-9040000,-5313000,-14607000,-35875000,3492000,3492000,-86000,-32469000,-1261000,-1261000,107000,-1154000,52664000,253503000,44218000,0.46251,0.11408,0.07402,0.01982,0.01251,2.14515,2.04085,0.5852,0.1538,0.36611,0.35818,4.9464,18.46824,0.78537,7,0.0144,0.0309,3.52713,5.84662
"49","2022_Q2",61.013064516129,"Up",275415000,-154508000,120907000,-101402000,-84015000,-17387000,19505000,-1062000,-898000,-1002000,104000,-164000,18443000,14171000,-3626000,10545000,10545000,10545000,10545000,53875000,53875000,155859000,155859000,231451000,36907000,19809000,5350000,11748000,478092000,371909000,659762000,-287853000,779739000,264839000,361456000,147265000,1151648000,1629740000,184152000,58099000,3659000,122394000,203831000,243112000,126278000,16804000,31491000,77983000,369390000,573221000,646370000,416802000,-6653000,1056519000,1056519000,1629740000,10545000,20466000,11716000,-30717000,12010000,-9868000,-10258497.8631111,-9868000,9625000,1641000,1641000,-25506000,-14240000,-12098000,-12098000,111000,-11987000,39971000,252487000,3012000,0.439,0.07082,0.03829,0.00998,0.00647,0.28563,2.34553,0.54256,0.15492,0.18667,0.183,4.87555,18.70309,0.05332,6,0.00735,0.0021,4.9689,10.18262
"50","2022_Q3",57.5959375,"Down",294976000,-159909000,135067000,-103953000,-85487000,-18466000,31114000,-2555000,-1251000,-1348000,97000,-1304000,28559000,20701000,-5403000,15298000,15298000,15298000,15298000,63003000,63003000,158801000,158801000,233154000,37673000,23050000,3996000,10627000,492631000,371451000,665812000,-294361000,767437000,254557000,359692000,147327000,1138888000,1631519000,174833000,59441000,3437000,111955000,195590000,235703000,126919000,15562000,31195000,80162000,362622000,558212000,651926000,432100000,-10719000,1073307000,1073307000,1631519000,15298000,20436000,14515000,-11465000,38784000,-7748000,-5683000,-13431000,-6500000,1603000,1603000,-8307000,-13204000,12149000,12149000,-2675000,9474000,51550000,246016000,37740000,0.45789,0.10548,0.05186,0.01425,0.00938,2.46699,2.51869,0.52009,0.15079,0.26985,0.26559,5.20322,18.93258,0.66571,8,0.01058,0.0261,3.5502,5.88201
