"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"31","2018_Q2",61.07578125,"Down",615336000,-278963000,336373000,-220121000,-141905000,-78216000,116252000,-54716000,-54589000,61536000,64845000,-17504000,47341000,47341000,48122000,48122000,109121000,109121000,542725000,542725000,349783000,44010000,1001629000,725273000,5730721000,2183998000,1954106000,6455994000,7457623000,255390000,80819000,145367000,99017000,330748000,330748000,685155000,4243161000,947803000,320344000,5190964000,5876119000,1332156000,330357000,1571363000,1581504000,7457623000,47341000,62116000,12897000,57011000,179365000,-18245000,-101035000,-31314000,-31942000,1878000,-4317000,-84861000,-6531000,-6531000,-6531000,178368000,4342178000,234638000,0.54665,0.18892,0.0782,0.03043,0.00645,4.8759,1.4619,3.71553,0.58225,1.04443,1.00916,13.35509,34.10446,5.09252,0.00952,0.03415,23.73215,36.41277
"32","2018_Q3",71.3806349206349,"Up",660323000,-274439000,385884000,-217087000,-138903000,-78184000,168797000,-57093000,-56281000,111704000,119870000,-33264000,86606000,86606000,87731999.9999999,87731999.9999999,147681000,147681000,524078000,524078000,45329000,45329000,717088000,720464000,5681942000,2184982000,1939683000,6402406000,7119494000,232802000,66128000,126352000,46749000,15019000,15019000,294570000,4245924000,936546000,303530000,5182470000,5477040000,1338211000,400934000,1633439000,1642454000,7119494000,86606000,62271000,19055000.0000001,-23162000,144770000,-14271000,-16961000,-55398000,-16523000,181000,-172999.999999993,-89249000,38560000,38560000,38560000,231068000,4292673000,226899000,0.58439,0.25563,0.13286,0.05342,0.01232,2.58627,2.43436,3.33467,0.60295,1.92264,1.86082,14.47093,35.7967,4.97247,0.01526,0.03302,17.93841,24.55608
"33","2018_Q4",72.1750793650794,"Up",693015000,-285363000,407652000,-220148000,-140297000,-79851000,187504000,-57121000,-56237000,130383000,135071000,-35243000,99828000,99828000,100514000,100514000,118423000,118423000,551728000,551728000,96336000,44334000,766487000,723869000,5628760000,2187338000,1913723000,6352629000,7119116000,253424000,74234000,150973000,42089000,71776000,71776000,367289000,4105922000,893929000,254102000,4999851000,5367140000,1344603000,484367000,1728073000,1751976000,7119116000,99828000,64830000,24241000,-13370000,175529000,-26788000,-43742000,-146816000,3125000,3125000,-273000,-161045000,-29258000,-29258000,-29258000,252334000,4148011000,247419000,0.58823,0.27056,0.14504,0.05737,0.01412,2.46154,2.08688,3.06348,0.58266,2.20658,2.12333,15.21371,37.93627,5.43157,0.01731,0.03642,15.96926,21.49068
"34","2019_Q1",84.6396721311475,"Up",798022000,-279152000,518870000,-243114000,-158828000,-84286000,275756000,-54539000,-53887000,221217000,213159000,-58669000,154490000,154490000,153109000,153109000,145115000,145115000,547285000,547285000,74675000,22673000,767075000,731538000,5563417000,2167954000,1903540000,6294955000,7062030000,243725000,67828000,143850000,96093000,64354000,64354000,404172000,3884910000,903964000,270084000,4788874000,5193046000,1352404000,620371000,1852774000,1868984000,7062030000,154490000,69978000,47565000,-34830000,237203000,-42598000,-13776000,-168096000,786000,786000,-12320000,-196735000,26692000,26692000,26692000,345734000,3981003000,326975000,0.6502,0.34555,0.19186,0.08192,0.02168,2.13557,1.89789,2.77854,0.56372,3.35662,3.22484,17.49511,40.61854,7.1683,0.0252,0.04841,11.09491,13.91044
"35","2019_Q2",98.9126984126984,"Up",626647000,-292863000,333784000,-220897000,-142360000,-78537000,112887000,-53448000,-52957000,59439000,73328000,-16441000,56887000,56887000,54892000,54892000,128591000,128591000,540525000,540525000,74403000,22401000,743519000,739981000,5613686000,2167954000,2013703000,6353667000,7097186000,255489000,72285000,158981000,95516000,78933000,78933000,429938000,3797188000,971050000,334024000,4768238000,5198176000,1333085000,654682000,1887305000,1899010000,7097186000,56887000,64175000,15505000,-11978000,124589000,-27991000,-13753000,-92537000,1427000,1427000,-15669000,-127360000,-16524000,-16524000,-16524000,177062000,3892704000,153534000,0.53265,0.18014,0.0876,0.02891,0.00773,2.79702,1.72936,2.73731,0.54849,1.19891,1.14875,13.68673,41.22103,3.35337,0.01116,0.0227,21.25873,33.34408
"36","2019_Q3",93.60484375,"Down",649012000,-296044000,352968000,-222440000,-144058000,-78382000,130528000,-51937000,-51363000,78591000,97381000,-26646000,70735000,70735000,68002000,68002000,79924000,79924000,542610000,542610000,153414000,34445000,775948000,748647000,5506940000,2166410000,1943672000,6255587000,7031535000,245782000,70392000,140993000,94940000,153325000,153325000,494047000,3689778000,889493000,246968000,4579271000,5073318000,1337530000,701946000,1943779000,1958217000,7031535000,70735000,64447000,19059000,-42430000,111811000,-42628000,-23103000,-116078000,56000.0000000005,56000,-615000.000000004,-137375000,-48667000,-48667000,-48667000,194975000,3784718000,136563000,0.54385,0.20112,0.10478,0.03473,0.00967,2.00822,1.5706,2.59078,0.53825,1.47539,1.41754,14.0811,42.17264,2.9629,0.01338,0.02059,19.00138,28.38314
"37","2019_Q4",97.17796875,"Up",663575000,-322327000,341248000,-273341000,-183083000,-90258000,67907000,-89864000,-93199000,-21957000,34329000,-39507000,-5178000,-5178000,-5847000,-5847000,317420000,317420000,860794000,860794000,257403000,121747000,1435617000,1257086000,9911582000,3082652000,6319041000,12667758000,14103375000,767270000,109128000,658142000,142664000,184363000,184363000,1094297000,8393173000,2665872000,977282000,11059045000,12153342000,1346984000,675356000,1928725000,1950033000,14103375000,-5178000,71806000,-39214000,52168000,79582000,-37580000,-4545297000,4817833000,266000,266000,-77536000,4719820000,254105000,254105000,254105000,139713000,8535837000,193808000,0.51426,0.10234,-0.00881,-0.003,-0.00041,-33.14657,1.31191,6.23238,0.60523,-0.12679,-0.12181,14.38957,41.82424,4.20271,0.00113,0.01474,58.82357,121.02459
"38","2020_Q1",98.6898387096774,"Up",1100090000,-522416000,577674000,-336995000,-260480000,-76515000,240679000,-91860000,-106831000,148819000,168283000,-54432000,113851000,113851000,113212000,113212000,232070000,232070000,883921000,883921000,235776000,151997000,1351767000,1290428000,9870189000,2996875000,6145960000,12637970000,13989737000,579877000,157366000,422511000,109310000,258370000,258370000,947557000,8383278000,2605409000,894745000,10988687000,11936244000,1354202000,778833000,2031497000,2053493000,13989737000,113851000,123264000,-43851000,-91779000,101485000,-84861000,-120001999.999999,1951999.99999905,-44461000,654000,-3563999.99999999,-66834000.000001,-85351000,-85351000,-85351000,363943000,8492588000,241735000,0.52512,0.21878,0.10291,0.05513,0.00809,2.13524,1.42658,5.81265,0.60706,2.46365,2.36178,23.93946,44.20815,5.26048,0.01019,0.01838,22.69729,34.32172
"39","2020_Q2",70.7161904761905,"Down",1091822000,-445059000,646763000,-361581000,-218384000,-143197000,285182000,-86262000,-101284000,198920000,222038000,-64344000,157694000,157694000,156915000,156915000,434067000,434067000,888738000,888738000,191485000,107706000,1514290000,1546873000,9192079000,2879748000,3276138000,12061147000,13575437000,726098000,138952000,587146000,56228000,133672000,133672000,915998000,7990635000,2552745000,856134000,10543380000,11459378000,1334190000,910063000,2093146000,2116059000,13575437000,157694000,105989000,133439000,17996000,415118000,-60134000,351029000,-457328000,-72219000,368000,-8927000,-564150000,201997000,201997000,201997000,391171000,8046863000,413377000,0.59237,0.2612,0.14372,0.07415,0.01156,2.6344,1.65316,5.41543,0.59275,3.43344,3.2955,23.89003,45.79988,9.04505,0.01436,0.03251,19.46156,26.69452
"40","2020_Q3",85.4690625,"Up",914633000,-416639000,497994000,-334265000,-193243000,-141022000,163729000,-71468000,-82251000,92261000,135547000,-37406000,98141000,98141000,99595000,99595000,664624000,664624000,762930000,762930000,115230000,98620000,1542784000,1581348000,9108320000,2880675000,3259746000,11997272000,13540056000,699502000,176392000,523110000,60491000,62336000,62336000,822329000,7977577000,2538373000,840331000,10515950000,11338279000,1340999000,984316000,2180318000,2201777000,13540056000,98141000,105282000,-4280000,103037000,302180000,-54564000,-29177000,-12991000,287999.999999985,288000,-4399000,-42443999.9999999,230559000,230559000,230559000,269011000,8038068000,354890000,0.54447,0.17901,0.10889,0.04523,0.00736,3.56333,1.87612,5.1496,0.59365,2.20031,2.12596,20.20663,48.16892,7.84045,0.00978,0.02777,27.40945,45.03444
"41","2020_Q4",92.99,"Up",1118203000,-423091000,695112000,-364388000,-226544000,-137844000,330724000,-62497000,-77265000,268227000,254490000,-65177000,189313000,189313000,190684000,190684000,409906000,409906000,782198000,782198000,149108000,132498000,1341212000,1598081000,9037351000,2861314000,5511637000,11949290000,13290502000,440899000,161083000,279816000,22921000,207922000,160424000,671742000,7859619000,2504425000,818187000,10364044000,11035786000,1351845000,1149638000,2234628000,2254716000,13290502000,189313000,105876000,26065000,-161064000,160190000,-54423000,-61490000,-187836000,-123495000,1518000,-16725000,-353418000,-254718000,-254718000,-254718000,436600000,7882540000,286290000,0.62163,0.29576,0.17053,0.08457,0.01435,1.50138,1.99662,4.89453,0.5931,4.23997,4.08055,24.86387,49.68821,6.36582,0.01709,0.02265,17.11552,22.59477
"42","2021_Q1",125.382950819672,"Up",1376611000,-573221000,803390000,-279221000,-273886000,-5335000,524169000,-45866000,-74503000,478303000,492493000,-129581000,362912000,362912000,364247000,364247000,152701000,152701000,904801000,904801000,152480000,135872000,1209982000,1604881000,9255635000,2984008000,5582709000,12194294000,13404276000,525610000,218418000,307192000,21429000,183849000,183849000,730888000,7646574000,2489938000,815930000,10136512000,10867400000,1362510000,1488031000,2518392000,2536876000,13404276000,362912000,110251000,-21954000,-74527000,376682000,-45273000,-300112000,-224308000,-81647000,2650000,-3164000,-333777000,-257207000,-257207000,-257207000,634420000,7668003000,644201000,0.5836,0.38077,0.2646,0.14358,0.02717,1.76858,1.6555,4.28377,0.57206,8.3266,7.97249,31.46899,57.55901,14.72628,0.03063,0.05075,11.84594,14.33756
"43","2021_Q2",143.132063492063,"Up",1113900000,-480200000,633700000,-356600000,-243400000,-113200000,277100000,-43700000,-72100000,233400000,258900000,-59700000,199200000,199200000,200900000,200900000,339777000,339777000,920055000,920055000,116287000,99679000,1376119000,1600909000,9184980000,2982507000,5537867000,11971430000,13347549000,542615000,217865000,324750000,24804000,162243000,162243000,729662000,7567303000,2459576000,786369000,10026879000,10756541000,1334888000,1658573000,2574202000,2591008000,13347549000,199200000,113200000,1.41e+08,-5100000,448300000,-32100000,-22800000,-80300000,-118200000,2800000,-9500000,-238400000,187100000,187100000,187100000,390300000,7592107000,412800000,0.5689,0.24877,0.18036,0.07754,0.01505,2.05475,1.88597,4.15149,0.5688,4.64004,4.42306,25.72696,59.45451,9.53415,0.0183,0.03265,18.58142,26.17225
"44","2021_Q3",142.57,"Down",1131600000,-4.94e+08,637600000,-356200000,-242500000,-113700000,281400000,-3.3e+07,-70100000,248400000,270500000,-70700000,199800000,199800000,200100000,200100000,313269000,313269000,895451000,895451000,184369000,167761000,1393089000,1592146000,9110639000,2982525000,5487156000,11894548000,13287637000,460097000,140684000,319413000,33510000,145361000,145361000,638968000,7586320000,2437089000,754858000,10023409000,10662377000,1327678000,1823706000,2610170000,2625260000,13287637000,199800000,113700000,-13700000,-152500000,147300000,-20600000,-20300000,25100000,-137299999,6e+05,-11500000,-153499999,-26499999,-26499999,-26499999,395100000,7619830000,292700000,0.56345,0.24867,0.17683,0.07622,0.01506,1.46277,2.18022,4.06146,0.57345,4.62157,4.40545,26.13576,60.28524,6.76028,0.01813,0.02308,18.49294,25.96504
"45","2021_Q4",150.5890625,"Up",1.157e+09,-480100000,676900000,-375200000,-258200000,-1.17e+08,301700000,-60100000,-70400000,241600000,2.35e+08,-65900000,169100000,169100000,169600000,169600000,193831000,193831000,923005000,923005000,194712000,178104000,1311548000,1585703000,9196984000,3051892000,5461511000,11971446000,13282994000,498463000,186633000,311830000,40715000,171840000,171840000,711018000,7505654000,2432898000,737432000,9938552000,10649570000,1335370000,1964018000,2618741000,2633424000,13282994000,169100000,1.17e+08,1500000,-1600000,2.86e+08,-35700000,-150700000,-77800000,-147700001,-3400000,0,-254800001,-119500001,-119500001,-119500001,418700000,7546369000,447300000,0.58505,0.26076,0.14659,0.0644,0.01277,2.63738,1.84461,4.044,0.56812,3.98871,3.81793,27.21072,61.57733,10.51976,0.01577,0.03546,17.5604,24.37036
"46","2022_Q1",169.736935483871,"Up",1245871000,-529167000,716704000,-403724000,-280147000,-123577000,312980000,-23002000,-70051000,289978000,328914000,-66578000,262336000,262336000,263968000,263968000,190900000,190900000,1.021e+09,1.021e+09,200800000,138800000,1412700000,1512500000,9120500000,3051600000,5.412e+09,11851800000,13264500000,564100000,248200000,315900000,47200000,1.76e+08,153400000,787300000,7367900000,2251800000,523300000,9619700000,1.0407e+10,1311600000,2204200000,2850400000,2857500000,13264500000,262336000,123577000,13255000,-65925000,333243000,-44778000,-38300000,-136179000,-125350000,8246000,-8620000,-298858000,-3915000.00000001,-3915000.00000001,-3915000.00000001,436557000,7415100000,392432000,0.57526,0.25121,0.21187,0.09238,0.0199,1.48667,1.79436,3.64199,0.55902,6.74351,6.4956,31.82789,72.81831,10.02534,0.02337,0.03133,16.54813,23.08199
"47","2022_Q2",165.617903225806,"Down",1210100000,-517800000,692300000,-364600000,-247800000,-116800000,327700000,-36400000,-69200000,291300000,303900000,-52500000,251400000,251400000,251600000,251600000,326200000,326200000,1016700000,1016700000,139100000,123500000,1.482e+09,1502100000,9045900000,3051600000,5364300000,11608800000,13090800000,498800000,220700000,278100000,55300000,179400000,179400000,733500000,7.205e+09,2230600000,510100000,9435600000,10169100000,1269300000,2418700000,2915700000,2921700000,13090800000,251400000,116800000,1.61e+08,-10300000,518900000,-28900000,-22400000,-159500000,-152100000,6e+06,-12500000,-361200000,135300000,135300000,135300000,444500000,7260300000,457800000,0.5721,0.2708,0.20792,0.08611,0.01922,1.81955,2.02045,3.48054,0.55461,6.13853,5.89559,29.524,71.13719,11.1694,0.02326,0.03688,15.59978,21.1599
"48","2022_Q3",182.74203125,"Up",1245100000,-5.29e+08,716100000,-383300000,-266600000,-116700000,332800000,-46100000,-75400000,286700000,298100000,-71600000,226500000,226500000,227500000,227500000,276400000,276400000,951200000,951200000,227400000,211800000,1.455e+09,1492500000,8904300000,3051600000,5250400000,11460500000,12915500000,475100000,170900000,304200000,124300000,146199999,146199999,745599999,7109700000,2191100000,476300000,9300800000,10046399999,1258400000,2609900000,2869700000,2869100000,12915499999,226500000,116700000,1800001,-54900000,290100001,10900000,7600000,-32900000,-247600000,4e+05,-30700000,-347500000,-49799999,-49799999,-49799999,449500000,7.234e+09,477100000,0.57513,0.26729,0.18272,0.07929,0.01761,2.09714,1.95145,3.50159,0.5601,5.6592,5.56235,30.97264,71.38557,11.86816,0.02146,0.03881,15.47853,20.90625
