"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"33","2018_Q4",35.4866666666667,"Up",414779000,-164262000,250517000,-225196000,-217843000,-7353000,25321000,-1836000,23485000,23485000,-5228000,18257000,18257000,18257000,18257000,1241000,1241000,24128000,24128000,90980000,42008000,9772000,31007000,158357000,199452000,112259000,36307000,311711000,470068000,159270000,138735000,143915000,143915000,438985000,85435000,80797000,85435000,524420000,332000,-54684000,-54352000,-54352000,470068000,18257000,15566000,3375000,68121000,105319000,-12567000,-12567000,-54811000,488000,-55299000,-39107000,-93918000,-1166000,-1166000,-1166000,40887000,135800000,101669000,0.60398,0.06105,0.04402,-0.3359,0.03884,5.56877,0.36073,-9.64859,0.28889,0.53336,0.52105,12.11741,-1.58785,2.97017,0.1094,0.60922,3.291,5.31413
"34","2019_Q1",40.2573770491803,"Up",411825000,-160746000,251079000,-212959000,-205330000,-7629000,38120000,-2093000,36027000,36027000,-9037000,26990000,26990000,26990000,26990000,1612000,1612000,24795000,24795000,84882000,39568000,8009000,31559000,150857000,205631000,113650000,38243000,319281000,470138000,164688000,144781000,124380000,124380000,488668000,91020000,86198000,91020000,579688000,309000,-109859000,-109550000,-109550000,470138000,26990000,15311000,1464000,-46675000,-2910000.00000001,-11405000,-11405000,-73503000,704000,-74207000,88189000,14686000,371000,371000,371000,53431000,199600000,4388000,0.60967,0.09256,0.06554,-0.24637,0.05741,0.162580000000001,0.30871,-5.29154,0.42456,0.83272,0.80738,12.70594,-3.37992,0.13538,0.14906,0.02423,3.70549,5.19380999999999
"35","2019_Q2",38.6365079365079,"Down",426445000,-164212000,262233000,-229526000,-221150000,-8376000,32707000,-2609000,30098000,30098000,-4680000,25418000,25418000,25418000,25418000,1696000,1696000,18613000,18613000,83314000,42030000,10043000,31987000,145653000,203649000,421398000,346536000,625047000,770700000,141103000,121146000,185674000,185674000,545477000,349863000,344217000,349863000,895340000,302000,-124942000,-124640000,-124640000,770700000,25418000,15743000,4029000,22946000,68136000,-17172000,-17172000,-52820000,2836000,-55656000,1940000,-50880000,84000,84000,84000,48450000,218700000,58904000,0.61493,0.0767,0.0596,-0.20393,0.03298,2.31741,0.26702,-7.18341,0.28377,0.83011,0.80087,13.92701,-4.07054,1.92371,0.05726,0.13269,4.47893,6.63479
"36","2019_Q3",42.81640625,"Up",355963000,-138777000,217186000,-209941000,-201884000,-8057000,7245000,-3228000,4017000,4017000,262999.999999999,4280000,4280000,4280000,4280000,1684000,1684000,19581000,19581000,87859000,49512000,14314000,31939000,158636000,202280000,434997000,360680000,637277000,795913000,135109000,117343000,175928000,175928000,592537000,360678000,355135000,360678000,953215000,293000,-157595000,-157302000,-157302000,795913000,4280000,15444000,4149000,-21662000,2211000.00000003,-14153000,-14153000,-41869000,2159000,-44028000,53799000,11930000,-11999.9999999991,-11999.9999999991,-11999.9999999991,22689000,281500000,-13389000,0.61014,0.02035,0.01202,-0.02721,0.00538,-3.12827,0.26772,-6.05978,0.35368,0.14327,0.14019,11.91548,-5.26552,-0.44818,0.00883,-0.02761,12.33267,38.62195
"37","2019_Q4",47.53046875,"Up",474778000,-178388000,296390000,-257238000,-248231000,-9007000,39152000,-3131000,36021000,36021000,-7967000,28054000,28054000,28054000,28054000,1545000,1545000,25541000,25541000,86508000,45999000,10997000,35002000,159593000,201755000,440974000,367202000,642729000,802322000,175190000,151357000,214179000,214179000,603069000,363740000,359813000,363740000,966809000,284000,-164771000,-164487000,-164487000,802322000,-29698000,15080000,2552000,131551000,119485000,-12855000,-12855000,-38737000,757000,-39494000,-68032000,-106769000,-139000,-139000,-139000,54232000,213700000,180895000,0.62427,0.08246,0.05909,-0.17055,0.03497,6.4481,0.26463,-5.87772,0.26635,0.96462,0.94154,16.32493,-5.65578,6.21996,0.06794,0.43805,3.91199,5.41875
"38","2020_Q1",44.521935483871,"Down",441166000,-165052000,276114000,-243123000,-233613000,-9510000,32991000,-2619000,30372000,30372000,-6279000,24093000,24093000,24093000,24093000,1593000.00000001,1592999.99999999,19978000,19978000,87065000,51732000,15335000,36397000,160368000,197421000,448254000,375028000,645675000,806043000,154403000,134594000,209371000,209371000,594774000,370700000,366892000,370700000,965474000,280000,-159711000,-159431000,-159431000,806043000,81845000,15599000,4483000,-102599000,-672000,-12444000,-12444000,-24463000,1438000,-25901000,11270000,13164000,48000,48000,48000,48590000,2.31e+08,-60174000,0.62587,0.07478,0.05461,-0.15112,0.02989,-2.49757,0.26963,-6.05575,0.28659,0.85101,0.82072,15.58285,-5.63142,-2.12546,0.05448,-0.13606,4.72128,6.95362
"39","2020_Q2",31.8033333333333,"Down",472566000,-170435000,302131000,-249317000,-238816000,-10501000,52814000,-2344000,50470000,50470000,-11330000,39140000,39140000,39140000,39140000,239213000,239213000,7170000,7170000,82021000,44381000,13492000,30889000,372785000,194707000,446322000,373641000,641029000,1013814000,155212000,132939000,193862000,193862000,795077000,374646000,365504000,374646000,1169723000,276000,-156185000,-155909000,-155909000,1013814000,39140000,15371000,7363000,23067000,84941000,-10326000,-10326000,-38162000,3283000,-41445000,-3000,163005000,237620000,237620000,237620000,68185000,446003000,92256000,0.63934,0.11176,0.08282,-0.25104,0.03861,2.35708,0.46887,-7.5026,0.43993,1.40498,1.36035,16.96339,-5.59656,3.31165,0.05888,0.13879,3.03278,3.91544
"40","2020_Q3",47.02890625,"Up",284938000,-121928000,163010000,-175135000,-166881000,-8254000,-12125000,-3940000,-16065000,-16065000,3435000,-12630000,-12630000,-12630000,-12630000,1651000.00000003,1650999.99999997,15754000,15754000,81674000,42679000,12072000,30607000,141758000,186943000,440097000,365988000,627040000,768798000,112162000,94966000,223114000,223114000,562516000,369300000,361109000,369300000,931816000,5796000,-168814000,-163018000,-163018000,768798000,-12630000,15440000,4328000,-5078000.00000003,2060000,-12289000,-12289000,488000.000000007,817000,-328999.999999993,-287000,-227333000,-237562000,-237562000,-237562000,3315000,227240000,-17487000,0.57209,-0.04255,-0.04433,0.07748,-0.01643,1.38456,0.25201,-5.71603,0.29558,-0.45233,-0.4467,10.20478,-5.83834,-0.626279999999999,-0.02913,-0.04034,68.05098,-18.60528
"41","2020_Q4",69.36515625,"Up",531155000,-196195000,334960000,-265345000,-255701000,-9644000,69615000,-1827000,67788000,67788000,-16468000,51320000,51320000,51320000,51320000,1365000,1365000,32688000,32688000,83258000,47050000,10923000,36127000,164361000,178482000,437274000,363766000,615756000,780117000,191224000,167139000,287834000,287834000,512558000,370386000,363349000,370386000,882944000,14668000,-117495000,-102827000,-102827000,780117000,51320000,15433000,7300000,126228000,200281000,-6351000,-6351000,401000,550000,-149000,-13000,-194216000,-286000,-286000,-286000,85048000,33500000,221393000,0.63063,0.13106,0.09662,-0.49909,0.06579,4.31397,0.32067,-8.58669,0.04294,1.83456,1.79227,18.98745,-3.67581,7.91424,0.17046,0.73538,0.37785,0.46161
"42","2021_Q1",119.997540983607,"Up",567896000,-211997000,355899000,-281307000,-268796000,-12511000,74592000,-813000,73779000,73779000,-12420000,61359000,61359000,61359000,61359000,4243000,4243000,31871000,31871000,81362000,64328000,20839000,43489000,181804000,175223000,443109000,370238000,618332000,800136000,116669000,91904000,295075000,295075000,655944000,368170000,367928000,368170000,1024114000,254000,-224232000,-223978000,-223978000,800136000,61359000,15319000,-497000.000000001,-83801999.9999999,-7621000,-10052000,-10052000,-188769000,4952000,-193721000,-9000,20551000,2878000,2878000,2878000,89911000,244200000,8476999.99999997,0.6267,0.13135,0.10805,-0.27395,0.07669,0.13815,0.27716,-4.57239,0.3052,2.2805,2.18889,21.10667,-8.32446,0.315059999999998,0.15798,0.0218300000000002,2.66883,3.21693
"43","2021_Q2",113.877777777778,"Down",568256000,-212338000,355918000,-279495000,-266209000,-13286000,76423000,-977000,75446000,75446000,-8812000,66634000,66634000,66634000,66634000,2238000,2238000,25923000,25923000,82308000,61033000,27189000,33844000,171502000,182113000,468594000,396324000,650707000,822209000,146708000,122098000,295761000,295761000,757369000,397490000,395733000,397490000,1154859000,245000,-332895000,-332650000,-332650000,822209000,66634000,14638000,8009000,22317000,111598000,-11534000,-11534000,-176153000,2460000,-178613000,-3000,-102069000,-2005000,-2005000,-2005000,91061000,314900000,110656000,0.62633,0.13449,0.11726,-0.20031,0.08104,1.66065,0.22644,-3.47169,0.38299,2.62576,2.51032,22.39256,-13.10833,4.36048,0.17547,0.2914,3.43354,4.0912
"44","2021_Q3",99.22765625,"Down",484316000,-191465000,292851000,-263130000,-247214000,-15916000,29721000,-1607000,28114000,28114000,-5864000,22250000,22250000,22250000,22250000,2173000,2173000,23205000,23205000,88577000,73042000,28900000,42564000,186997000,182398000,485101000,413432000,667499000,854496000,151139000,129922000,312789000,312789000,846128000,412026000,411363000,412026000,1258154000,236000,-403894000,-403658000,-403658000,854496000,22250000,15162000,4875000,7534999.99999997,49822000,-20466000,-20466000,-101227000,1075000,-102302000,-554000,-29421000,-65000.0000000019,-65000.0000000019,-65000.0000000019,44883000,382200000,37816000,0.60467,0.06137,0.04594,-0.05512,0.02604,1.6996,0.221,-3.11688,0.44728,0.87678,0.83823,19.08484,-15.90645,1.49017,0.05697,0.09682,8.46706,12.78648
"45","2021_Q4",83.76265625,"Down",640393000,-250039000,390354000,-317619000,-303188000,-14431000,72735000,-1816000,70919000,70919000,-17198000,53721000,53721000,53721000,53721000,1830000,1830000,33388000,33388000,86129000,73980000,24346000,49634000,195327000,184697000,503596000,432527000,688293000,883620000,192412000,163894000,339371000,339371000,890883000,432803000,432270000,432803000,1323686000,226000,-440292000,-440066000,-440066000,883620000,53721000,14986000,7088000,55469000,131264000,-17113000,-17113000,-100269000,312000,-100581000,0,-114494000,-343000,-343000,-343000,87721000,359100000,143275000,0.60955,0.11358,0.08389,-0.12207,0.0608,2.66702,0.21925,-3.00793,0.4064,2.20132,2.12135,26.24131,-18.03254,5.87096,0.15269,0.40722,4.0728,4.91194
"46","2022_Q1",67.8538709677419,"Down",491984000,-212260000,279724000,-265067000,-250160000,-14907000,14657000,-1845000,12812000,12812000,-1671000,11141000,11141000,11141000,11141000,2389000,2389000,25718000,25718000,105644000,73870000,18953000,54917000,207621000,195128000,516791000,446323000,711919000,919540000,184915000,162547000,339363000,339363000,906778000,437715000,437027000,437715000,1344493000,4198000,-429151000,-424953000,-424953000,919540000,11141000,15608000,3725000,-23148000,7326000,-17530000,-17530000,-286000,594000,-880000,-2202000,10763000,559000,559000,559000,30265000,382500000,-8741999.99999997,0.56856,0.02979,0.02265,-0.02622,0.01212,-0.78467,0.22897,-3.16386,0.41597,0.53967,0.53154,23.83182,-20.58482,-0.42346,0.02819,-0.02212,12.55943,25.93375
"47","2022_Q2",42.453064516129,"Down",527130000,-224832000,302298000,-297883000,-281578000,-16305000,4415000,-2127000,2288000,2288000,-214000,2074000,2074000,2074000,2074000,1556000,1556000,24502000,24502000,103212000,62625000,22001000,40624000,191895000,197644000,523046000,453179000,720690000,912585000,197302000,177025000,327436000,327436000,937938000,443860000,443548000,443860000,1381798000,222000,-469435000,-469213000,-469213000,912585000,2074000,15870000,3850000,2764000,24558000,-19594000,-19594000,-50467000,531000,-50998000,-42000,-5797000,-833000,-833000,-833000,20285000,413200000,3669000,0.57348,0.00838,0.00393,-0.00442,0.00227,1.76905,0.20459,-2.94493,0.45278,0.09041,0.08708,22.97964,-20.45481,0.15995,0.00535,0.00946,20.29302,93.2376
"48","2022_Q3",40.11625,"Down",549073000,-224128000,324945000,-275034000,-259217000,-15817000,49911000,-3619000,46292000,46292000,-11359000,34933000,34933000,34933000,34933000,2279000,2279000,28616000,28616000,121318000,69652000,24575000,45077000,221865000,196888000,531334000,458961000,728222000,950087000,191869000,167213000,310091000,310091000,945260000,447789000,447789000,447789000,1393049000,220000,-443182000,-442962000,-442962000,950087000,34933000,16105000,578000,-47483000,4133000,-16942000,-16942000,-12592000,53999.9999999999,-12646000,0,13532000,723000,723000,723000,66016000,443300000,12950000,0.59181,0.0909,0.06362,-0.07886,0.03677,0.37071,0.23471,-3.14485,0.46659,1.52286,1.46679,23.93622,-19.31043,0.56454,0.07795,0.0289,6.68052,8.83615
