"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","income_taxes_receivable","total_current_assets","property_plant_equipment_net","property_plant_equipment","long_term_investments_receivables","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","disposition_of_fixed_assets","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"31","2018_Q2",10.17890625,"Up",356039000,-152916000,203123000,-193884000,-85985000,-107899000,9239000,-24685000,-32716000,8031000,-15446000,-15446000,4248000,-11198000,-11198000,-1e+05,-11298000,-11298000,11140000,11140000,134095000,134095000,83618000,40202000,21892000,228853000,2019399000,2019399000,107114000,1353498000,1032912000,292560000,28026000,3480011000,3708864000,197325000,21014000,148709000,31554000,44712000,44712000,273591000,2317398000,573772000,326825000,214447000,32500000,2891170000,3164761000,591805000,-42159000,538348000,5755000,544103000,3708864000,90842000,-60664000,144000,144000,-60808000,-60808000,-60431000,-7511000,-34928000,-4517000,-4517000,-4517000,2348952000,0.57051,0.02595,-0.03173,-0.02076,-0.00305,0.83648,5.81647,0.63333,-0.16003,-0.16003,5.04319,7.62554,0.00465,253.03734
"32","2018_Q3",11.1311111111111,"Up",350221000,-151358000,198863000,-192502000,-80761000,-111741000,6361000,-19300000,-32839000,13539000,-12939000,-14569000,4008999.99999997,-10560000,-10560000,-83000,-10643000,-10643000,10642000,10642000,122167000,122167000,76837000,43727000,12391000,209646000,1986318000,1986318000,110105000,1340743000,1035274000,12037999.9999999,30578000,3437166000,3646812000,189609000,23057000,138950000,32570000,46703000,46703000,268882000,2308752000,554862000,318306000,211740000,24816000,2863614000,3132496000,566674000,-36255000,508478000,5838000,514316000,3646812000,103529000,-62733000,1299000,1299000,-64032000,-64032000,-62733000,-13692000,-41294000,-498000,-498000,-498000,2341322000,0.56782,0.01816,-0.03039,-0.02069,-0.00292,0.7797,6.09061,0.64202,-0.15075,-0.15075,4.96078,7.20244,0.00496999999999999,366.40151
"33","2018_Q4",11.4163492063492,"Up",348064000,-152942000,195122000,-194663000,-85544000,-109119000,459000,-24134000,-33524000,9390000,-23675000,-23808000,8993000,-14815000,-14815000,-99000,-14914000,-14914000,3826000,3826000,143077000,143077000,53046000,40588000,12458000,199949000,1955753000,1955753000,110672000,1329646000,1035274000,11760000,36706000,3396071000,3596020000,196671000,15717000,153352000,31811000,50039000,50039000,278521000,2302795000,526168000,294423000,207778000,23967000,2828963000,3107484000,540610000,-21156000,482599000,5937000,488536000,3596020000,69665000,-61728000,197000,197000,-61925000,-61925000,-40729000,-8150000,-35752000,-6816000,-6816000,-6816000,2334606000,0.56059,0.00132,-0.04285,-0.03053,-0.00415,0.7179,6.36081,0.64922,-0.21125,-0.21125,4.93022,6.83587,0.00379,5077.95207
"34","2019_Q1",10.0639344262295,"Down",344750000,-156616000,188134000,-185224000,-81315000,-103909000,2910000,-25548000,-35499000,-29645000,-22638000,-20875000,6877000,-13998000,-13998000,19000,-13979000,-13979000,9599000,9599000,133136000,133136000,55408000,44336000,11072000,198143000,1927126000,1927126000,110853000,1299139000,1035274000,11483000,23423000,3337118000,3535261000,205422000,32502000,145341000,30468000,47724000,47724000,283614000,2303585000,532408000,314134000,188129000,30145000,2835993000,3119607000,513782000,-53212000,409736000,5918000,415654000,3535261000,93285000,-57566000,485000,485000,-58051000,-58051000,-57566000,-1752000,-29946000,5773000,5773000,5773000,2334053000,0.54571,0.00844,-0.04055,-0.03363,-0.00395,0.69864,7.5053,0.66022,-0.19784,-0.19784,4.87914,5.79886,0.00415,798.78144
"35","2019_Q2",6.31555555555556,"Down",338649000,-148319000,190330000,-173610000,-74367000,-99243000,16720000,-27051000,-34283000,7232000,-10331000,-10331000,3145000,-7186000,-7186000,-79000,-7265000,-7265000,6724000,6724000,132326000,132326000,56828000,45801000,11027000,195878000,1897064000,1897064000,112038000,1319065000,1035274000,11205000,59948000,3328167000,3524045000,205156000,26005000,151217000,29343000,50529000,50529000,285028000,2308099000,554754000,306663000,182593000,65498000,2862853000,3147881000,487924000,-59658000,370167000,5997000,376164000,3524045000,74997000,-52529000,865000,865000,-53394000,-53394000,-52200000,1905000,-25672000,-2875000,-2875000,-2875000,2337442000,0.56203,0.04937,-0.02145,-0.01931,-0.00206,0.68722,8.36837,0.66328,-0.10259,-0.10259,4.7823,5.22739,0.00621,139.39701
"36","2019_Q3",4.7184375,"Down",333532000,-143780000,189752000,-175452000,-78148000,-97304000,14300000,-25639000,-34737000,9098000,-11339000,-11090000,3778000,-7312000,-7312000,-75000,-7387000,-7387000,10450000,10450000,133535000,133535000,56611000,45231000,11380000,200596000,1872312000,1872312000,112154000,1300648000,1035274000,10927000,57693000,3285114000,3485710000,188216000,44746000,143470000,29003000,46892000,46892000,264111000,2309117000,553309000,298571000,174631000,80107000,2862426000,3126537000,489805000,-71218000,353101000,6072000,359173000,3485710000,88265000,-53036000,13338000,13338000,-66374000,-66374000,-53486000,-3185000,-31053000,3726000,3726000,3726000,2338120000,0.56892,0.04287,-0.02215,-0.02057,-0.00212,0.75951,8.70482,0.67077,-0.10432,-0.10432,4.71004,4.98639,0.0063,162.77413
"37","2019_Q4",3.8415625,"Down",333326000,-146636000,186690000,-163148000,-70100000,-93048000,23542000,-23070000,-34250000,11180000,472000,1593000,-1204000,389000,389000,-132000,257000,257000,6178000,6178000,125908000,125908000,53363000,42070000,11293000,185449000,1861033000,1861033000,112377000,1284442000,1035274000,10650000,58140000,3257852000,3443301000,182390000,32241000,150149000,27869000,48122000,48122000,258381000,2285177000,540039000,286646000,175021000,78372000,2825216000,3083597000,491733000,-73004000,353500000,6204000,359704000,3443301000,85375000,-64435000,140000,140000,-64575000,-64575000,-64435000,-25212000,-25212000,-4272000,-4272000,-4272000,2313046000,0.56008,0.07063,0.00077,0.00071,7e-05,0.71773,8.5726,0.67175,0.00363,0.00363,4.70713,4.99202,8e-05,97.98947
"38","2020_Q1",5.08370967741936,"Up",331035000,-136201000,194834000,-168115000,-76473000,-91642000,26719000,-33676000,-33390000,-38374000,-6957000,-3817000,-2005000,-5822000,-5822000,-166000,-5988000,-5988000,12395000,12395000,120016000,120016000,44456000,41787000,2669000,176867000,1835878000,1835878000,112717000,1264815000,1035274000,10557000,54915000,3213410000,3390277000,171285000,30936000,140349000,27301000,45710000,45710000,244296000,2250677000,548053000,302296000,173027000,72730000,2798730000,3043026000,492966000,-80868000,340881000,6370000,347251000,3390277000,90459000,-47485000,375000.000000002,375000.000000002,-47860000,-47860000,-47698000,-36181000,-36544000,6217000,6217000,6217000,2277978000,0.58856,0.08071,-0.01809,-0.01724,-0.00177,0.72399,8.76319,0.67192,-0.08445,-0.08445,4.66845,4.8073,-0.00189,84.79296
"39","2020_Q2",5.86634920634921,"Up",325662000,-137755000,187907000,-150555000,-67817000,-82738000,37352000,-16922000,-32095000,4594000,20430000,20664000,-5041000,15623000,15623000,-76000,15547000,15547000,14139000,14139000,122340000,122340000,49349000,45175000,4174000,185828000,1806945000,1806945000,113197000,1249163000,1035274000,10557000,51925000,3169305000,3355133000,164728000,19902000,144826000,25722000,47224000,47224000,237674000,2209748000,554052000,293145000,174489000,86418000,2763800000,3001474000,493856000,-90868000,347213000,6446000,353659000,3355133000,84990000,-40202000,2187000,2187000,-42389000,-42389000,-39776000,-43470000,-43470000,1744000,1744000,1744000,2235470000,0.577,0.1147,0.04774,0.04396,0.00463,0.78186,8.48692,0.66628,0.2185,0.2185,4.57693,4.87981,0.00495,59.4702
"40","2020_Q3",6.93828125,"Up",325176000,-139534000,185642000,-145862000,-64796000,-81066000,39780000,-21570000,-31459000,709000.000000007,18210000,18210000,-4275000,13935000,13935000,-95000,13840000,13840000,45876000,45876000,116493000,116493000,45538000,41164000,4374000,207907000,1793340000,1793340000,112541000,1233849000,1035274000,10557000,49274000,3139730000,3347637000,155294000,16707000,138587000,24889000,44574000,44574000,224757000,2198003000,552669000,285253000,179573000,87843000,2750672000,2975429000,496190000,-88419000,365667000,6541000,372208000,3347637000,96731000,-49962000,3886000,3886000,-53848000,-53848000,-49962000,-15032000,-15032000,31737000,31737000,31737000,2222892000,0.5709,0.12233,0.04256,0.03718,0.00413,0.92503,7.994,0.66402,0.19451,0.19451,4.5701,5.13916,0.0044,54.7264
"41","2020_Q4",5.2475,"Down",327066000,-144428000,182638000,-145286000,-65066000,-80220000,37352000,-18194000,-31661000,1957000,19158000,19158000,-4576000,14582000,14582000,-72000,14510000,14510000,99719000,99719000,119076000,119076000,47648000,42473000,5175000,266443000,1782183000,1782183000,111555000,1223647000,1035274000,10557000,51735000,3117385000,3383828000,189255000,22385000,166870000,23827000,50045000,50045000,263127000,2193828000,535297000,272023000,185017000,78257000,2729125000,2992252000,498453000,-85896000,384963000,6613000,391576000,3383828000,115629000,-55074000,904000,904000,-55978000,-55978000,-55074000,-6712000,-6712000,53843000,53843000,53843000,2217655000,0.55841,0.1142,0.04436,0.03706,0.00429,1.0126,7.64156,0.65537,0.20393,0.20393,4.59666,5.41036,0.00461,56.70208
"42","2021_Q1",5.94213114754098,"Up",326124000,-138927000,187197000,-158522000,-77682000,-80840000,28675000,-36127000,-48376000,2456000,-7452000,-9794000,2956000,-6838000,-6838000,-82000,-6920000,-6920000,155561000,155561000,137646000,137646000,47454000,46382000,1072000,340661000,1760152000,1760152000,111665000,1294822000,1035274000,10557000,135573000,3166639000,3507300000,203365000,25283000,178082000,17561000,49544000,49544000,270470000,2171367000,676235000,300373000,171021000,204841000,2847602000,3118072000,526465000,-109418000,382533000,6695000,389228000,3507300000,67630000,-65254000,93999.9999999998,93999.9999999998,-65348000,-65348000,-65254000,-235111000,53466000,55842000,55842000,55842000,2188928000,0.57401,0.08793,-0.02122,-0.01778,-0.00197,1.25951,8.01091,0.62411,-0.08923,-0.08923,4.20539,4.93279,-0.00213,70.91079
"43","2021_Q2",8.03730158730159,"Up",324766000,-143979000,180787000,-142461000,-66850000,-75611000,38326000,-36141000,-48415000,2718000,2185000,-67383000,5300000,-62083000,-62083000,-16000,-62099000,-62099000,325142000,325142000,125677000,125677000,49646000,48574000,1072000,500465000,1772678000,1772678000,110801000,1289876000,1035274000,10590000,140490000,3173355000,3673820000,220562000,27174000,193388000,5018000,49144000,49144000,274724000,2346806000,719784000,291273000,167096000,261415000,3066590000,3341314000,527915000,-105507000,325795000,6711000,332506000,3673820000,98490000,-75936000,24000,24000,-75960000,-75960000,-74738000,151402000,145829000,169581000,169581000,169581000,2351824000,0.55667,0.11801,-0.19121,-0.18676,-0.0169,1.8217,10.04888,0.64016,-0.79585,-0.79585,4.16212,4.17531,-0.01824,52.88008
"44","2021_Q3",8.9059375,"Up",320403000,-145311000,175092000,-145077000,-68998000,-76079000,30015000,-34744000,-45431000,-752000,-4729000,-49676000,-5413000,-55089000,-55089000,-267000,-55356000,-55356000,289281000,199314000,128601000,128601000,52868000,51427000,1441000,470750000,1831150000,1831150000,109542000,1275358000,1035274000,10734000,135724000,3216050000,3686800000,220916000,43500000,177416000,6474000,48042000,48042000,275432000,2372678000,755196000,281597000,173691000,299908000,3127874000,3403306000,530408000,-101923000,276516000,6978000,283494000,3686800000,87341000,-119171000,65000,65000,-119236000,-119236000,-209138000,-1337999.99999994,-4031000,-125828000,-125828000,-125828000,2379152000,0.54647,0.09368,-0.17277,-0.19526,-0.01501,1.70913,12.00486,0.64532,-0.70943,-0.70943,4.1062,3.54376,-0.0162,69.62755
"45","2021_Q4",8.23984375,"Down",318584000,-142507000,176077000,-137865000,-64100000,-73765000,38212000,-40851000,-43176000,2325000,-2639000,-10548000,-2552000,-13100000,-4481000,-240000,-4721000,-4721000,253645000,98682000,133524000,133524000,84011000,56505000,1516000,471180000,1905661000,1905661000,109307000,1242803000,1013243000,11175000,134603000,3257771000,3728951000,258848000,47930000,210918000,6944000,55282000,55282000,321074000,2377390000,628851000,269119000,179479000,180253000,3006241000,3327315000,650655000,-99547000,394418000,7218000,401636000,3728951000,110148000,-144255000,-175489.204202588,-175489.204202588,-145092034.037764,-145092034.037764,-209251000,-1529000,-1529000,-100632000,-100632000,-100632000,2384334000,0.55269,0.11994,-0.01482,-0.01175,-0.00127,1.46751,8.2844,0.63941,-0.05079,-0.05079,3.42744,4.24329,-0.00138,55.75968
"46","2022_Q1",6.65435483870968,"Down",318480000,-137832000,180648000,-146319000,-71177000,-75142000,34329000,-20279000,-38173000,-3418000,14050000,27193000,-3614000,23579000,14960000,131000,15091000,12414000,210436000,99635000,133362000,133362000,84017000,56831000,1134000,427815000,2019444000,1941797746.35604,10799000,1254634000,1013243000,10557000,58116000,3284877000,3712692000,224461000,40953000,165689000,7959000,53125000,53125000,285545000,2118853000,471918000,214671000,194458000,62789000,2590771000,2876316000,1030459000,-59571000,829289000,7087000,836376000,3712692000,22888000,-137515000,-367393.129947102,-367393.129947102,-151597239.842214,-151597239.842214,-93316000,-1900000,71381000,953000,953000,953000,2126812000,0.56722,0.10779,0.03898,0.01484,0.00334,1.49824,3.43902,0.57285,0.10162,0.10162,2.60718,6.78883,0.00361,55.82382
"47","2022_Q2",6.57516129032258,"Down",300278000,-135895000,164383000,-145635000,-73285000,-72350000,18748000,-18110000,-29515000,3155000,638000,-125852000,10303000,-115549000,-115549000,-115000,-115664000,-125262000,159938000,74171000,118596000,118596000,158420000,61319000,2733000,436954000,1983819000,1983819000,109034000,1065641000,929570000,10557000,59288000,3158494000,3595448000,236021000,39807000,196214000,8379000,58023000,58023000,302423000,2120930000,443258000,205350000,185985000,51923000,2564188000,2866611000,734370000,-53646000,721635000,7202000,728837000,3595448000,81560000,-156406000,73999.9999999997,73999.9999999997,-156480000,-156480000,-104569000,-2341000,-2455000,-25464000,-25464000,-25464000,2129309000,0.54744,0.06244,-0.41715,-0.17187,-0.03484,1.44484,3.93313,0.59222,-1.25232,-1.25232,3.00206,4.23359,-0.03794,105.04432
"48","2022_Q3",6.19046875,"Down",298390000,-135888000,162502000,-148053000,-75510000,-72543000,14449000,-17236000,-30156000,3018000,-2787000,-2787000,1275000,-1512000.00000003,-1511999.99999997,-203000,-1715000,-11517000,43024000,18019000,117479000,117479000,155583000,56928000,2733000,316086000,2101127000,2101127000,107514000,1060990000,929570000,10557000,62349000,3269631000,3585717000,234009000,58761000,175248000,9539000,52953000,52953000,296501000,2124001000,430902000,195587000,186183000,49132000,2554903000,2851404000,727401000,-49491000,726908000,7405000,734313000,3585717000,59945000,-174714000,1720000,1720000,-176434000,-176434000,-113914000,-2183000,-2183000,-56152000,-56152000,-56152000,2133540000,0.5446,0.04842,-0.0386000000000001,-0.01568,-0.00321,1.06605,3.88309,0.59501,-0.10311,-0.10311,2.67157,3.75081,-0.00349,144.6824
