"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"32","2018_Q1",40.0867213114754,"Down",310653000,-158904000,-15219000,-127033000,-16652000,151749000,-61478000,-61478000,90271000,64375000,-3423000,60952000,60952000,60852000,60852000,6898000,6898000,119533000,119533000,6674000,6674000,133105000,12669825000,15016469000,-2346644000,1255236000,45336000,13925061000,14058166000,5726507000,109523000,5616984000,385665000,385665000,6222172000,445286000,6667458000,9624264000,-2252763000,7371501000,7390708000,14058166000,60952000,127033000,29488000,16829000,234302000,-448551000,88273000,-360278000,-179307000,207028000,0,80034999.9999999,107756000,-18220000,-18220000,-18220000,278782000,555286000,-149517000,0.48848,0.19588,0.00823,0.00433,-2.45706,0.02139,0.90214,0.0395,0.20901,0.20882,1.06703,25.31969,-0.51356,0.61589,0.03022,-0.01882,2.94661,1.96709,3.61378
"33","2018_Q2",41.29578125,"Up",318295000,-163339000,-15684000,-131103000,-16552000,154956000,-59415000,-59415000,95541000,84538000,-1223000,83315000,83315000,83163000,83163000,20627000,20627000,125690000,125690000,29953000,29953000,176270000,12971560000,15405238000,-2433678000,1326263000,49068000,14297823000,14474093000,5348084000,92379000,5255705000,426909000,426909000,6856993000,319441000,7176434000,9625200000,-2357220000,7267980000,7297659000,14474093000,83315000,131103000,12307000,-13196000,213529000,-498448000,5613000,-492835000,-185556000,483811000,-24432495.5735807,-4509000,293746000,14440000,14440000,14440000,286059000,1401441000,-224362000,0.48683,0.26128,0.0114,0.00575,-2.69786,0.02571,0.98339,0.09682,0.28383,0.2834,1.08632,24.80516,-0.76573,0.63329,0.03089,-0.02579,2.23123,4.82703,8.91101
"34","2018_Q3",45.4222222222222,"Up",328886000,-168189000,-17954000,-133999000,-16236000,160697000,-66628000,-66628000,94069000,97905000,-1208000,96697000,96697000,96380000,96380000,30717000,30717000,126126000,126126000,70029000,70029000,226872000,13160013000,15669078000,-2509065000,1287189000,43707000,14447202000,14674074000,5873449000,122379000,5751070000,434625000,434625000,6842074000,319531000,7161605000,9925543000,-2449793000,7475750000,7512469000,14674074000,96697000,133999000,-655000.000000002,33699000,263740000,-331370000,33999000,-297371000,-187488000,-51623999.9999999,0,290961000,51849000,18218000,18218000,18218000,294696000,853531000,-1767000.00000006,0.48861,0.29305,0.01283,0.00657,-0.0183300000000002,0.03316,0.9533,0.05817,0.32777,0.32726,1.11848,25.42368,-0.00600999999999974,0.63761,0.03393,-0.00021,1.9453,2.79208,5.12028
"35","2018_Q4",49.8001587301587,"Up",338081000,-169105000,-16332000,-136967000,-15806000,168976000,-69342000,-69342000,99634000,100585000,-1302000,99283000,99283000,98999000,98999000,6666000,6666000,135866000,135866000,65376000,65376000,207908000,13621598000,16228907000,-2607309000,1265819000,38279000,14887417000,15095325000,5870981000,119144000,5751837000,419519000,419519000,7064500000,319571000,7384071000,10220092000,-2543852000,7676240000,7711254000,15095325000,99283000,136967000,2416000,-26093000,212573000,-607559000,30093000,-577466000,-191703000,238839000,0,288685000,335821000,-29072000,-29072000,-29072000,305943000,1093571000,-326407000,0.49981,0.29283,0.01284,0.00656,-3.29707,0.02943,0.95757,0.07244,0.33003,0.32942,1.12707,25.5904,-1.08815,0.63908,0.03302,-0.03707,1.93641,3.55264,6.4323
"36","2019_Q1",55.8501639344262,"Up",342576000,-189621000,-34178000,-137711000,-17732000,152955000,-70635000,-70635000,82320000,86910000,-1607000,85303000,85303000,85072000,85072000,10387000,10387000,144991000,144991000,16585000,16585000,171963000,13826932000,16541466000,-2714534000,1261588000,47361000,15088520000,15260483000,5880920000,133765000,5747155000,437975000,437975000,6570895000,568610000,7139505000,10754495000,-2665753000,8088742000,8120978000,15260483000,85303000,137711000,10502000,17384000,250900000,-331958000,59946000,-272012000,-196835000,-279297000,0,502587000,26455000.0000001,5343000,5343000,5342999.99999999,290666000,820610000,-22301000,0.44648,0.24833,0.01048,0.00557,-0.262139999999999,0.02617,0.87914,0.05377,0.27644,0.27591,1.11319,26.28422,-0.07247,0.63961,0.03153,-0.00249,2.31375,2.78747,5.29713
"37","2019_Q2",58.1022222222222,"Up",354365000,-174261000,-15108000,-137517000,-21636000,180104000,-70020000,-70020000,110084000,112675000,-1445000,111230000,111230000,110942000,110942000,2997000,2997000,151341000,151341000,22064000,22064000,176402000,14119830000,16929520000,-2809690000,1466676000,246932000,15586506000,15762908000,6700188000,114225000,6585963000,554922000,554922000,7255110000,498722000,7753832000,10748467000,-2764572000,7983895000,8009076000,15762908000,111230000,137517000,338000,-37058000,212027000,-517975000,19461000,-498514000,-204546000,514765000,612697174.495172,-22469000,287750000,1263000,1263000,1263000,317621000,498722000,-235967000,0.50824,0.31307,0.01385,0.00704,-2.12694,0.02431,0.96813,0.03164,0.35417,0.35383,1.13128,25.48801,-0.75331,0.653,0.03708,-0.02774,1.84372,1.56074,2.75244
"38","2019_Q3",60.24578125,"Up",365450000,-190353000,-18585000,-150426000,-21342000,175097000,-72488000,-72488000,102609000,96575000,-1155000,95420000,95420000,95194000,95194000,27136000,27136000,165470000,165470000,18506000,18506000,211112000,14921760000,17833539000,-2911779000,1615758000,292658000,16537518000,16748630000,6805070000,156859000,6648211000,582137000,582137000,7387207000,498829000,7886036000,11722036000,-2884534000,8837502000,8862594000,16748630000,95420000,150426000,10661000,21129000,277636000,-1086600000,10205000.0000001,-1076395000,-208864000,64517000.0000001,845061000,116336000,817050000,18291000,18291000,17558000,325523000,498829000,-738793000,0.47913,0.26048,0.01074,0.00568,-7.76092,0.02858,0.88981,0.02978,0.29654,0.29627,1.13843,27.53,-2.30144,0.65064,0.03248,-0.07892,2.19409,1.44903,2.6939
"39","2019_Q4",64.54890625,"Up",374247000,-186238000,-16460000,-149424000,-20354000,188009000,-73410000,-73410000,114599000,103097000,-1822000,101275000,101275000,101049000,101049000,236064000,236064000,163444000,163444000,15770000,15770000,415278000,15130956000,18148160000,-3017204000,1633670000,305369000,16764626000,17179904000,6776342000,163154000,6613188000,586529000,586529000,7362871000,498936000,7861807000,12294138000,-3000719000,9293419000,9318097000,17179904000,101275000,149424000,15291000,22053000,288043000,-415091000,19928000,-395163000,-216248000,-25003000,0,567642000,326391000,219271000,219271000,219397000,337433000,498936000,-53783000,0.50237,0.27001,0.01084,0.00588,-0.53225,0.0564,0.84371,0.02904,0.30591,0.30557,1.13297,28.13429,-0.16282,0.65466,0.03232,-0.00548,2.14003,0.77903,1.39819
"40","2020_Q1",60.9001612903226,"Down",394101000,-198177000,-16330000,-156594000,-25253000,195924000,-71645000,-75073000,124279000,131289000,-1736000,129553000,129553000,129297000,129297000,54011000,54011000,181969000,181969000,96775000,96775000,332755000,16399997000,19517916000,-3117919000,1822044000,328661000,18222041000,18554796000,6951935000,177039000,6774896000,595324000,595324000,8251594000,499044000,8750638000,12873849000,-3099393000,9774456000,9804158000,18554796000,129553000,156594000,-3894000,8978000,291231000,2128577000,-3660314000,-1531737000,-222476000,703926000,-21123000,601084000,1061411000,-179095000,-179095000,-188284000,352518000,1203379000,2491809000,0.49714,0.32808,0.01319,0.00697,19.27198,0.04033,0.89254,0.06486,0.38119,0.38077,1.16186,28.81646,7.3462,0.65589,0.03196,0.22637,1.72066,3.26045,5.8664
"41","2020_Q2",47.1561904761905,"Down",414341000,-211155000,-20964000,-164585000,-25606000,203186000,-75925000,-75925000,127261000,149906000,-2763000,147143000,147143000,146827000,146827000,41804000,41804000,185632000,185632000,21356000,21356000,248792000,16570581000,19812756000,-3242175000,1977069000,460250000,18547650000,18796442000,7299551000,182177000,7117374000,580101000,580101000,7879652000,499151000,8378803000,13604055000,-3216040000,10388015000,10417639000,18796442000,147143000,164585000,-15566000,-30946000,265216000,-347012000,-4399000,-351411000,-233824000,-3.27e+08,728883000,-12783000,155276000,69081000,69081000,66152000,367771000,499151000,-7424000,0.49038,0.35436,0.01409,0.00781,-0.05056,0.03157,0.80429,0.02656,0.42265,0.42221,1.1927,29.90247,-0.02137,0.67308,0.03487,-0.000679999999999958,1.59251,1.24356,2.25088
"42","2020_Q3",52.97375,"Up",414636000,-213843000,-19063000,-168328000,-26452000,200793000,-77841000,-77841000,122952000,110908000,-2838000,108070000,108070000,107824000,107824000,35345000,35345000,255609000,255609000,40551000,40551000,331505000,16502311000,19869731000,-3367420000,1968731000,460554000,18771042000,19102547000,7908079000,201176000,7706903000,571291000,571291000,8479370000,249258000,8728628000,13704121000,-3359672000,10344449000,10373919000,19102547000,108070000,168328000,20056000,-47026000,249428000,-151519000,-300203000,-451722000,-240470000,344742000,1.19209289550781e-07,90428999.9999999,194701000,-7592999.99999994,-7592999.99999994,-6838999.99999994,369121000,249258000,173414000,0.48426,0.26004,0.01039,0.00564,1.60831,0.0391,0.8414,0.01305,0.30417,0.30409,1.16967,29.18119,0.489189999999999,0.67835,0.03279,0.01632,2.23021,0.57952,1.06534
"43","2020_Q4",53.56828125,"Up",404572000,-211008000,-16514000,-169084000,-25410000,193564000,-76806000,-76806000,116758000,27735000,-4592000,23143000,23143000,22904000,22904000,724750000,724750000,261752000,261752000,41093000,41093000,1027595000,16741673000,20185772000,-3444099000,2016102000,405645000,18757775000,19785370000,8476159000,206626000,8269533000,560115000,560115000,9036274000,249308000,9285582000,14050494000,-3579967000,10470527000,10499788000,19785370000,23143000,169084000,90791000,12143000,295161000,-605833000,297140000,-308693000,-242241000,510979000,0,350047000,618785000,605253000,605253000,608693000,362648000,249308000,-226450000,0.47844,0.05661,0.00218,0.00116,-9.88692,0.11372,0.88436,0.0126,0.06405,0.06398,1.13133,29.27933,-0.63324,0.67739,0.02467,-0.02107,10.57636,-1.31103,-2.45625
"44","2021_Q1",54.3324590163934,"Up",413538000,-218850000,-16674000,-175041000,-27135000,194688000,-74226000,-78764000,120462000,122650000,-4500000,118150000,118150000,117931000,117931000,824476000,824476000,285701000,285701000,19004000,19004000,1129181000,17466152000,21015638000,-3549486000,2144952000,420117000,19611104000,20740285000,8895136000,241336000,8653800000,578061000,578061000,9473197000,249358000,9722555000,14700050000,-3714567000,10985483000,11017730000,20740285000,118150000,175041000,6238000,6309000,305738000,1363823000,-2284376000,-920553000,-247632000,334820000,0,636129000,723317000,108502000,108502000,111668000,369729000,249358000,1744361000,0.47079,0.28518,0.0107,0.00569,14.79137,0.1192,0.88245,0.01202,0.32237,0.32262,1.13044,30.02964,4.76834,0.67692,0.03245,0.15482,2.0998,-1.55551,-2.95405
"45","2021_Q2",60.9169841269841,"Up",442254000,-227280000,-20796000,-177985000,-28499000,214974000,-71721000,-73075000,143253000,102461000,-6225000,96236000,96236000,95940000,95940000,183984000,183984000,307017000,307017000,22500000,22500000,513501000,18175686000,21843955000,-3668269000,2290383000,470237000,20466069000,20979570000,7896918000,200168000,7696750000,591232000,591232000,9163150000,249407000,9412557000,15371016000,-3836144000,11534872000,11567013000,20979570000,96236000,177985000,45618000,-53386000,266453000,34705000,-1028431000,-993726000,-260697000,-289905000,669590000,-49112000,69876000,-657397000,-657397000,-657349000,392959000,924407000,380503000,0.48609,0.21693,0.00829,0.00457,3.96605,0.05604,0.81374,0.04406,0.25023,0.25017,1.15347,30.08485,0.99241,0.67994,0.02855,0.03046,2.71729,1.88422,3.44424
"46","2021_Q3",63.23484375,"Up",463298000,-241372000,-21849000,-187789000,-31734000,221926000,-72290000,-73674000,149636000,133993000,-9225000,124768000,124768000,124479000,124479000,231164000,231164000,327920000,327920000,39540000,39540000,598624000,18900314000,22675854000,-3775540000,2486003000,516210000,21386317000,21984941000,7980884000,259805000,7721079000,595615000,595615000,9861805000,249457000,10111262000,15827231000,-3987699000,11839532000,11873679000,21984941000,124768000,187789000,2565000,-440999.999999993,314681000,56911000,-1088761000,-1031850000,-263359000,603105000,449664000,2494000,791904000,74735000.0000001,74735000.0000001,73654999.9999999,409715000,1534763000,475410000,0.47901,0.26868,0.01048,0.00566,3.8192,0.0607,0.85157,0.06981,0.32466,0.32459,1.20836,30.87945,1.23995,0.68688,0.02892,0.03546,2.11569,3.18172,5.87403
"47","2021_Q4",65.08125,"Up",489891000,-252307000,-23813000,-198832000,-29662000,237584000,-76546000,-76156000,161038000,141355000,-6079000,135276000,135276000,134996000,134996000,516983000,516983000,341729000,341729000,44939000,44939000,903651000,19777780000,23682107000,-3904327000,3029663000,873655000,22807443000,23711094000,8960722000,269587000,8691135000,726752000,726752000,10092474000,249507000,10341981000,17449122000,-4114029000,13335093000,13369113000,23711094000,135276000,198832000,8419000,46405000,388932000,31917000,-1609293000,-1577376000,-273791000,138699000,1615576000,-10248000,1470236000,281792000,281792000,279113000,436416000,654507000,520817000,0.48497,0.27556,0.0101,0.00569,3.85802,0.08954,0.77357,0.0276,0.34488,0.34477,1.25154,34.06771,1.33055,0.69947,0.02915,0.03714,2.02814,0.31512,0.578840000000002
"48","2022_Q1",65.0303225806452,"Down",685020000,-407461000,-30522000,-333229000,-43710000,277559000,-92032000,-100739000,185527000,14595000,-10128000,4466999.99999999,4466999.99999999,4041000,4041000.00000001,258579000,258579000,426768000,426768000,30470000,30470000,715817000,31959130000,35908928000,-3949798000,10462555000,1369579000,42421685000,43137502000,1640042000,351128000,1288914000,2067418000,2067418000,5258836000,12749266000,18008102000,29578212000,-4525638000,25052574000,25129400000,43137502000,4466999.99999999,333229000,42078000,-27651000,352123000,127003000,-2961746000,-2834743000,-371179000,292204000,-1471595000,3795674000,2245104000,-237516000,-237516000,-213729000,610788000,14300642000,720268000,0.40518,0.00590000000000002,0.00016,9e-05,178.24004,0.13612,0.71661,0.33151,0.0102700000000001,0.01027,1.74143,63.68761,1.83104,0.9436,0.00952,0.01827,91.85325,22.99008,50.59127
"49","2022_Q2",66.4164516129032,"Up",807343000,-488803000,-32699000,-403762000,-52342000,318540000,-104187000,-106403000,214353000,210952000,-10981000,199971000,199971000,199369000,199369000,151624000,151624000,468165000,468165000,84446000,84446000,704235000,32637521000,36807060000,-4169539000,10720261000,1679809000,43357782000,44062017000,1548722000,305574000,1243148000,2096674000,2096674000,5165021000,13318271000,18483292000,30236374000,-4734195000,25502179000,25578725000,44062017000,199971000,403762000,-27065000,-63189000,513479000,122235000,-1540243000,-1418008000,-438280000,615864000,656094000,-12605000,821073000,-83456000,-83456000,-89519000,722302000,14837896000,792329000,0.39455,0.24694,0.00779,0.00452,3.97418,0.13635,0.7226,0.33675,0.33574,0.33502,1.35956,42.94545,1.33428,0.73806,0.01578,0.0196,2.19834,20.33259,46.10495
"50","2022_Q3",67.37203125,"Up",810419000,-495756000,-34139000,-409437000,-52180000,314663000,-106462000,-110121000,208201000,238480000,-14658000,223822000,223822000,223207000,223207000,172849000,172849000,500384000,500384000,66336000,66336000,739569000,33319240000,37707118000,-4387878000,10893109000,1893075000,44212349000,44951918000,1454651000,353573000,1101078000,2087005000,2087005000,4710777000,13838262000,18549039000,31303383000,-4976771000,26326612000,26402879000,44951918000,223822000,409437000,-52464000,162287000,743082000,150010000,-1652497000,-1502487000,-445829000,206476000,1056602000,-8137000,809112000,49707000.0000001,49707000.0000001,30815000,724100000,15007383000,1051055000,0.38827,0.27542,0.00845,0.00497,4.70888,0.157,0.70254,0.33385,0.37588,0.37507,1.36474,44.33379,1.76997,0.75077,0.01616,0.02538,1.99738,20.48686,47.1442
