"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"32","2018_Q1",24.3140983606557,"Up",96886000,-85085000,11801000,-5973000,-5973000,5828000,37000,40000,-33000,-3000.00000000001,5865000,5834000,-2035000,3799000,3799000,3799000,3799000,32105000,32105000,40284000,40284000,81853000,5949000,5949000,160191000,98670000,24212000,9334000,122882000,283073000,42318000,33651000,8667000,42318000,17379000,17379000,17379000,59697000,88858000,135851000,-1333000,223376000,223376000,283073000,-18726452000,-8564351000,-3572935000,8845578000,-22018160000,16834425000,229695000,17064120000,25413989000,-4.65661287307739e-10,538283000,25952272000,20998232000,20998232000,20998232000,-8558523000,4.54747350886464e-13,17123515000,0.1218,0.06015,0.03921,0.01701,0.01342,4507.37431,3.78541,0.26725,8.470329472543e-22,0.19958,0.19775,5.08989,11.73501,899.58051,-1335.11894,2,-105.54377,71.12423,-6689.65228,0.00375000000000013,-5.50875
"33","2018_Q2",25.2834375,"Up",97741000,-86080000,11661000,-5763000,-5763000,5898000,29000,48000,-28000,-19000,5927000,5927000,2184000,8111000,8111000,8111000,8111000,37336000,37336000,39769000,39769000,70918000,5101000,5101000,153124000,102891000,28625000,9698000,131516000,284640000,56015000,30992000,5411000,56015000,16515000,16515000,16515000,72530000,89093000,124350000,-1333000,212110000,212110000,284640000,8111000,3176000,-2057000,5534000,14764000,-6080000,-153000,-9533000,17428713536.4943,0,367398064.594013,0,5231000,5231000,5231000,9074000,0,6344000,0.11931,0.06034,0.08298,0.03824,0.0285,0.78215,2.73362,0.34195,0,0.42598,0.42192,5.13319,11.13965,0.33318,-915.47277668827,6,0.03548,0.02775,-4791.9570198625,-4.11461,-6.33028
"34","2018_Q3",31.4369841269841,"Up",107417000,-92001000,15416000,-7475000,-7475000,7941000,-136000,30000,-23000,-166000,7805000,7805000,-1926000,5879000,5879000,5879000,5879000,23464000,23464000,50455000,50455000,63156000,4071000,4071000,141146000,103277000,28217000,9649000,131494000,272640000,38058000,32561000,5497000,38058000,16537000,16537000,16537000,54595000,89721000,129657000,-1333000,218045000,218045000,272640000,5879000.00000191,3232999.99999809,837999.999999523,-221000.000001907,9729000,-3236000.00000191,29000,-3207000,-20184000,-3.72529029846191e-09,-210000.000000238,-20394000,-13872000,-13872000,-13872000,11173999.999999,3.63797880709171e-12,9643000.00000191,0.14352,0.07393,0.05473,0.02696,0.02156,1.64023999999972,3.70871,0.25038,2.71050543121376e-20,0.30875,0.30582,5.64135,11.45134,0.506429999999939,1.0600300000001,6,0.111100000000015,0.0411100000000058,3.43324000000393,-2.09987,-2.95479
"35","2018_Q4",22.7415873015873,"Down",126688000,-102502000,24186000,-7541000,-7541000,16645000,159000,127000,-23000,32000,16804000,16804000,-3936000,12868000,12868000,12868000,12868000,45232000,45232000,55832000,55832000,54751000,5075000,5075000,160890000,102789000,28047000,9778000,130836000,291726000,44437000,34420000,10017000,44437000,16602000,16602000,16602000,61039000,90067000,141953000,-1333000,230687000,230687000,291726000,12868000,3169000,29000,9276000,25342000,-3165000,-15000,-3180000,-572000,0,178000,-394000,21768000,21768000,21768000,19814000,0,29861000,0.19091,0.13139,0.10157,0.05578,0.04411,2.32056,3.62063,0.2646,0,0.67446,0.66753,6.64018,12.09115,1.56512,0.02998,7,0.05435,0.12075,0.04445,-2.28283,-2.71745
"36","2019_Q1",18.0324590163934,"Down",121371000,-101827000,19544000,-7525000,-7525000,12019000,75000.0000000001,196000,-40000,-121000,12094000,12094000,-2686000,9408000,9408000,9408000,9408000,43941000,43941000,51484000,51484000,94157000,5895000,5895000,195477000,106148000,27909000,9913000,134057000,329534000,71988000,60059000,11929000,71988000,15881000,15881000,15881000,87869000,92075000,151084000,-1494000,241665000,241665000,329534000,9408000,3240000.00000012,354000,-8868000.00000048,4134000,-5968000,-50999.9999999851,-6018999.99999976,-577000,-5.96046447753906e-08,1171000,593999.999999881,-1290999.99999952,-1290999.99999952,-1290999.99999952,15258999.9999999,5.82076609134674e-11,3109000,0.16103,0.09903,0.07751,0.03893,0.02855,0.330459999999106,2.71541,0.3636,2.16840434497101e-19,0.49311,0.48804,6.3615,12.66654,0.162949999999959,0.0302399999999973,5,0.0387700000000001,0.0120700000000003,0.0613300000000147,-2.87968,-3.65596
"37","2019_Q2",16.4828571428571,"Down",104110000,-93134000,10976000,-6534000,-6534000,4442000,954000,125000,-30000,829000,5396000,5396000,-1270000,4126000,4126000,4126000,4126000,15503000,15503000,36524000,36524000,115306000,5841000,5841000,173174000,111171000,27089000,9367000,138260000,311434000,47909000,40456000,7453000,47909000,18143000,18143000,18143000,66052000,92242000,154634000,-1494000,245382000,245382000,311434000,4126,3242,1612,-31748,-22768,-6194,531,-5663,-819088443.868105,0,-7,-7,-28438,-28438,-28438,4445242,0,5677300,0.10543,0.04267,0.03963,0.01681,0.01325,1.37598,3.61464,0.26918,0,0.21453,0.21336,5.41309,12.75838,0.29519,42.7344842276377,3,0.01566,0.02154,873.704494145455,-3.48755,-3.49009
"38","2019_Q3",16.3475,"Down",111948000,-104927000,7021000,-6556000,-6556000,465000,938000,-33000,-45000,971000,1403000,1403000,-354000,1049000,1049000,1049000,1049000,490000.000000002,490000.000000002,50574000,50574000,117227000,6265000,6265000,174556000,109377000,27638000,10188000,137015000,311571000,41115000,35124000,5991000,41115000,18561000,18561000,23926000,65041000,92919000,155105000,-1494000,246530000,246530000,311571000,5174995874,6621996758,1366998388,-53354968252,-40190977232,-8098993806,802999469,-7295994337,-1.154e+09,5.365e+09,-174999993,4036000007,-43450971562,-43450971562,-43450971562,6622461758,5365000,-54831146300,0.06272,0.00415,0.00937,0.00426,0.00337,-52269.92021,4.24556,0.26383,0.01722,0.0545399999999999,0.05425,5.82062,12.81807,-2850.8889,60.00104,2,4.27075,-202.73592,1100.09533,0.000739999999999963,10.48387
"39","2019_Q4",17.38921875,"Up",126252000,-118016000,8236000,-5516000,-5516000,2720000,-30000,-53000,-62000,23000,2690000,2690000,-5e+05,2190000,2190000,2190000,2190000,7449000,7449000,50743000,50743000,104624000,6911000,6911000,169727000,107331000,27737000,10560000,135068000,304795000,37707000,31311000,6396000,37707000,18764000,18764000,18764000,56471000,93101000,156717000,-1494000,248324000,248324000,304795000,2.19e+09,3.462e+09,1.11e+08,8.489e+09,1.4252e+10,-1.264e+09,1.51e+08,-1.113e+09,-5.78e+08,-5.365e+09,-2.37e+08,-6.18e+09,6.959e+09,6.959e+09,6.959e+09,3464720000,0,10690220000,0.06523,0.02154,0.01735,0.00882,0.00719,4881.379,4.50121,0.22741,0,0.11376,0.11328,6.5582,12.89928,555.30726,30.02441,4,2.17228,40.02509,263.92694,-0.00215,-2.7386
"40","2020_Q1",16.328064516129,"Down",113403000,-109575000,3828000.00000003,-5898000.00000003,-5898000.00000003,-2070000,36000,85999.9999999998,-31000,-50000.0000000019,-2034000.00000001,-2033999.99999999,266999.999999996,-1767000.00000001,-1767000.00000001,-1767000.00000001,-1767000.00000001,38181000,38181000,44182000,44182000,70851000,7370000,7370000,160584000,104960000,27465000,10562000,132425000,293009000,28413000,21595000,6818000,28413000,18579000,18579000,18579000,46992000,93893000,154372000,-2248000,246017000,246017000,293009000,-7359402000,-10070447000,-1475955000,44851412000,25945608000,9352507000,-953063000,8399444000,1729690000,-1.9073486328125e-06,411498000,2141188000,36486240000,36486240000,36486240000,-10072517000,0,44131135000,0.03376,-0.01825,-0.01558,-0.00718000000000007,-0.00603000000000001,-24975.17544,5.65178,0.19101,-1.73472347597681e-18,-0.0917699999999995,-0.0913100000000005,5.88953999999998,12.77679,2291.93119,-89.83069,3,-6.54378,166.78686,978.88512,0.00378999999999895,18.44493
"41","2020_Q2",13.9647619047619,"Down",97569000,-91332000,6237000,-5744000,-5744000,493000,225000,2e+05,-26000,25000,718000,718000,-163000,555000,555000,555000,555000,67114000,67114000,35405000,35405000,65252000,6470000,6470000,174241000,102665000,29545000,12915000,132210000,306451000,40282000,31919000,8363000,40282000,19989000,19989000,19989000,60271000,94079000,154349000,-2248000,246180000,246180000,306451000,555,3478,49,25493,29575,-600,-42,-642,1640326332.85574,0,377226019.702249,0,28933,28933,28933,496478,0,684371,0.06392,0.00505,0.00569,0.00225,0.00181,1.2331,4.32553,0.24482,0,0.02881,0.02865,5.06562,12.78127,0.03553,-85.2001397647194,3,0.00209,0.00257,654.435875676119,-135.18021,-136.13387
"42","2020_Q3",15.57921875,"Up",114859000.000008,-99576000.0000038,15282999.999999,-9602000.00000024,-9602000.00000024,5680999.99999976,195999.999999985,178000.000000004,-26000,18000.0000000149,5877000.00000048,5541000,-1177000.00000006,4364000.00000024,4364000.00000024,4364000.00000024,4364000.00000024,40363000,40363000,54912000,54912000,71685000,9312000,9312000,176272000,111674000,31089000,12514000,142763000,319035000,48125000,38438000,9687000,48125000,20079000,20079000,20079000,68204000,94944000,158135000,-2248000,250831000,250831000,319035000,4918445,6987521.99999809,1765950.99999976,12906507,26578425,-2367400,674042,-23193358,-1156000,-2.38418579101562e-07,-76000,-1232000,2153066.99999619,2153066.99999619,2153066.99999619,12668522,0,24384629,0.13306,0.04946,0.03799,0.0174000000000011,0.0136799999999992,5.58767999999926,3.66279,0.27191,0,0.226450000000014,0.225109999999988,5.9601999999999,13.01598,1.26535000000002,0.0599899999999707,6,0.0203800000000004,0.0900099999999866,0.264890000000491,-3.18609000000001,-7.10490999999999
"43","2020_Q4",19.22359375,"Up",121959000,-107154000,14805000,-6694000,-6694000,8111000,1236000,-4000,-26000,1240000,9347000,8531000,-1867000,6664000,6664000,6664000,6664000,61371000,61371000,54901000,54901000,74269000,6245000,6245000,196786000,101089000,38815000,20260000,139904000,336690000,59730000,47891000,11839000,59730000,19894000,19894000,19894000,79624000,95094000,164220000,-2248000,257066000,257066000,336690000,11578081000,10619009000,828234000,21576068000,44601392000,-1530632000,261326000,-19603806000,-1733844000,0,-75924000,-1809768000,23187818000,23187818000,23187818000,10627120000,0,30674423000,0.12139,0.06651,0.05464,0.02592,0.01979,4603.00465,3.29459,0.30974,0,0.34557,0.3439,6.32436,13.33053,1590.66703,89.91101,5,6.28433,110.75398,260.18067,-0.00577,-7.56639
"44","2021_Q1",26.3629508196721,"Up",472283613000,-416532938000,55750675000,-31325960000,-31325960000,24424715000,1619343000,366626000,-25798.9344552106,1252717000,26044058000,24155210000,-5157793000,18997417000,18997417000,18997417000,18997417000,68687999.9999999,68687999.9999999,53817000.0000001,53817000.0000001,68962999.9999999,5569999.99999999,5569999.99999999,197038000,101392000,39472000,21160000,140864000,337902000,53677999.9999999,38961000,14717000,53678000,19421000,19421000,19421000,73099000.0000001,95690999.9999999,171068000,-1956000,264803000,264803000,337902000,7.426e+09,3.629e+09,-3.74e+08,9.15e+08,1.1596e+10,-3.355e+09,-1.92e+08,-3.547e+09,-5.78e+08,0,-1.54e+08,-7.32e+08,7.317e+09,7.317e+09,7.317e+09,28053715000,3.63797880709171e-12,30771508000,0.11804,0.05172,0.04022,71.7417,56.22168,1.61977000000115,3.67074,0.27605,0,984.52617,979.34926,24475.72621,13.72321,1594.70916,29.95439,5,68.8732,108.26499,0.0304300000000239,-0.00245000000000134,-0.00281000000000553
"45","2021_Q2",30.5673015873016,"Up",119605000,-99754000,19851000,-8553000,-8553000,11298000,-33000,-20000,-25000,-13000,11265000,10608000,-2465000,8143000,8143000,8143000,8143000,50182000,50182000,49224000,49224000,64276000,5201000,5201000,168883000,101351000,39717000,21641000,141068000,309951000,46773000,31761000,15012000,46773000,19444000,19444000,19444000,66217000,96030000,149660000,-1956000,243734000,243734000,309951000,8143,3610,-156,2353,13950,-2841,-179,-3020,-29551,0,115,-29436,-18506,-18506,-18506,11301610,0,13766122,0.16597,0.09446,0.06808,0.03341,0.02627,1.69055,3.61069,0.27168,0,0.42172,0.41901,6.19426,12.62282,0.71294,0.00153,5,0.03105,0.05231,0.00363,-4.44025,-4.44167
"46","2021_Q3",32.64875,"Up",138999000,-108770999.999878,30228000,-10330000.0000038,-10330000.0000038,19898000,-94000,-19000,-24000,-75000,19804000.0000019,19259000,-4338999.99999952,14920000.0000019,14920000.0000019,14920000.0000019,14920000.0000019,58940000.000001,58940000.000001,58123000,58123000,68623000,6556000,6556000,192242000.000004,104679999.999999,39938999.9999995,22099000.0000002,144618999.999998,336860999.999996,59193000,44941000,14252000.0000002,59193000.000001,18932000,18932000,18932000,78125000.000001,96692000.000001,163999999.999998,-1955999.99999997,258735999.999996,258735999.999996,336860999.999996,23062991857,7199996390,-552999844,-471002353.000001,29238986050,-8748997159,-173999821,-8922996980,-30130970449,0,66999885,-30063970564,-9747981494,-9747981494,-9747981494,7219894390,-2.27373675443232e-13,-1995766122,0.21747,0.14315,0.10734,0.0576600000000021,0.044290000000007,-133.76449,3.24772,0.30195,0,0.771899999999796,0.764419999999902,7.1912200000004,13.3859000000001,-103.25242,1558.84787,6,108.56811,-7.1876,2019.50204,-0.00815999999999395,-2.96211000000001
"47","2021_Q4",36.58328125,"Up",160739000,-129189000,31550000,-6184000,-6184000,25366000,-54000,-19000,-24000,-35000,25312000,23714000,-5319000,18395000,18395000,18395000,18395000,89827000,89827000,59349000,59349000,71158000,7479000,7479000,227813000,105729000,38389000,20762000,144118000,371931000,75629000,60217000,15412000,75629000,19306000,19306000,19306000,94935000,97138000,181814000,-1956000,276996000,276996000,371931000,-23021542000,-7189172000,554192000,482984000,-29173538000,8735398000,173718000,8909116000,30100288000,0,-66727000,30033561000,9769139000,9769139000,9769139000,-7163806000,0,2059895000,0.19628,0.15781,0.11444,0.06641,0.04946,111.98124,3.01224,0.34273,0,0.95217,0.9445,8.32025,14.33801,106.62534,-1558.06657,4,-101.52443,6.95201,-1636.32987,0.01254,-3.54124
"48","2022_Q1",36.0832258064516,"Down",590181657000,-468715286000,121466371000,-32362933000,-32362933000,89103438000,-188819000,-74942000,-26084.6591767534,-113877000,88914619000,86049419000,-19480877000,66568542000,66568542000,66568542000,66568542000,8.9884e+10,8.9884e+10,6.7917e+10,6.7917e+10,7.9049e+10,1.0056e+10,1.0056e+10,2.46906e+11,1.05624e+11,3.818e+10,2.0767e+10,1.43804e+11,3.9071e+11,6.8849e+10,4.9443e+10,1.9406e+10,8.8672e+10,19652804.0174186,19652804.0174186,19652756.4341574,8.8672e+10,9.8096e+10,2.06384e+11,-2.442e+09,3.02038e+11,3.02038e+11,3.9071e+11,66568542000,14510172000,1940808000,-13206984000,69812538000,-17407398000,-383718000,-17791116000,-31263288000,1.16415321826935e-10,-665273000,-30846561000,21174861000,21174861000,21174861000,103613610000,-2.8421709430404e-14,92480105000,0.20581,0.15098,0.11279,0.2204,0.17038,1.3892500000001,2.78449,0.29358,0,3441.3018,3407.82953,30509.80444,15614.04053,4780.81602,1616.17494,4,0.323909999999998,0.306190000000002,0.469639999999117,-0.867490000000033,-1.00876000000004
"49","2022_Q2",37.0216129032258,"Up",178459,-136095,42364,-12281,-12281,30083,-3,-8,-31253.9775302603,5,30080,30033,-6904,23129,23129,23129,23129,63020000,63020000,73562000,73562000,81558000,8664000,8664000,226804000,103442000,38533000,21328000,141975000,368779000,62574000,35369000,27205000,62574000,20185000,20185000,20185000,82759000,98359000,190103000,-2442000,286020000,286020000,368779000,23129,3705,203,-13406,13631,-832,-244,-1076,-39410,0,-55,-39419,-26864,-26864,-26864,33788,0,26454,0.23739,0.16857,0.1296,8e-05,6e-05,1.14376,3.62457,0.28935,0,0.00119,0.00118,0.00919,14.73494,0.00136,0.00203,4,2e-04,9e-05,1.70392,-1865.15923,-2094.87086
"50","2022_Q3",28.89890625,"Down",391489541,-292098905,99390636,-19470719,-19470719,79919917,-4997,-20992,-40507.9550605206,15995,79914920,80232967,-18110096,62122871,62122871,62122871,62122871,69724999.9999847,69724999.9999847,80690000,80690000,127049000,5340000,5340000,282804000,107159000,30595000,13594000,137754000.000031,420557999.999939,73816000,58459000,15357000,73816000,21595000,21595000,21595000,95411000,99052000,228537000.000031,-2442000,325147000,325147000,420557999.999939,62145976871,7344996295,1278999797,-50703986594,20065986369,-1682999168,1597000244,-85998924,-39992960590,0,-145999945,-40138960581,-20158973136,-20158973136,-20158973136,7424916211.99998,1.77635683940025e-15,-44943959454,0.25388,0.20414,0.15868,0.19106,0.14772,-723.46881,3.8312,0.29344,0,3.20039999999977,3.16372000000026,20.168439999997,16.7506599999994,-2315.38609,2060.32459,7,115.51841,-129.61787,643.77193,-0.00938999999993939,-0.872440000000097
