"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","notes_receivable_net","inventories","other_short_term_assets","prepaid_expenses","derivative_hedging_assets_short_term","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"30","2017_Q3",33.0015873015873,"Down",661487000,-124438000,537049000,-442639000,-43665000,-3204000,-395770000,94410000,-72371000,-72744000,373000,22039000,-123451000,-101412000,37855000,-63557000,-63557000,-63557000,-63557000,17190000,17190000,788424000,788424000,97003000,31425000,13616000,17809000,934042000,12921875000,15340000,15340000,12937215000,13871257000,1087693000,689772000,397921000,5035000,1094978000,6553740000,1968204000,1853321000,114883000,8521944000,9616922000,1388985000,2865283000,4254335000,4254335000,13871257000,-63557000,393425000,72541000,43962000,446371000,-490049000,-490049000,44449000,-783000,-783000,-1.86264514923096e-09,43666000,-12000,-12000,2000,487835000,6555990000,3892999.99999997,0.81188,0.14272,-0.09608,-0.01494,-0.00458,-0.0612499999999727,0.85302,2.2605,0.47263,-0.17126,-0.17126,1.78245,11.46378,0.01049,-0.00497,3e-04,13.40371,69.25961
"31","2017_Q4",42.6168253968254,"Up",726743000,-135778000,590965000,-468987000,-47355000,-1389000,-420243000,121978000,-74362000,-74756000,394000,47616000,-30225000,17391000,-6770000,10621000,10621000,10621000,10621000,10765000,10765000,923566000,923566000,105210000,21434000,10237000,11197000,1060975000,12919202000,14910000,14910000,12934112000,13995087000,1125901000,670966000,454935000,1290000,1129459000,6612281000,1976568000,1860094000,116474000,8588849000,9718308000,1400606000,2875904000,4276779000,4276779000,13995087000,10621000,424905000,55813000,-59930000,431409000,-494934000,-494934000,57445000,-365000,-365000,0,57080000,-6445000,-6445000,-6425000,546883000,6614549000,-1211000,0.81317,0.16784,0.01461,0.00247999999999999,0.000760000000000001,-0.11402,0.93937,2.27234,0.47263,0.02862,0.02847,1.95813,11.5233,-0.00326,0.000830000000000003,-9.00000000000019e-05,12.07531,54.13914
"32","2018_Q1",52.4313114754098,"Up",1047171000,-158188000,888983000,-547043000,-67509000,-2802000,-476732000,341940000,-75871000,-75823000,-48000,266069000,-32472000,233597000,608317000,841914000,841914000,841914000,841914000,43902000,43902000,1098313000,1098313000,97406000,12104000,9501000,2603000,1251725000,12933789000,14137000,14137000,12947926000,14199651000,1327813000,692908000,634905000,143000,1330242000,6351405000,1386801000,1259558000,127243000,7738206000,9068448000,1413078000,3717818000,5131203000,5131203000,14199651000,841914000,471123000,-541518000,-40394000,731125000,-434591000,-434591000,-260560000,-836000,-836000.000000001,-1999000,-263395000,33139000,33139000,33137000,813063000,6353691000,-270239000,0.84894,0.32654,0.80399,0.16408,0.05929,-0.320979999999981,0.94098,1.76731,0.44745,2.26821,2.22969,2.82119,13.82403,-0.72805,0.06541,-0.02099,7.76052,18.45291
"33","2018_Q2",62.81,"Up",1141028000,-173542000,967486000,-553021000,-47626000,-1720000,-454378000,414465000,-75240000,-75894000,654000,339225000,-33743000,305482000,-71536000,233946000,233946000,233946000,233946000,98145000,98145000,1060036000,1060036000,107169000,25705000,17022000,8683000,1291055000,13073054000,13408000,13408000,13086462000,14377517000,1388716000,739932000,648784000,257000,1391277000,6163775000,1461244000,1331094000,130150000,7625019000,9016296000,1409148000,3951764000,5361221000,5361221000,14377517000,233946000,455559000,113615000,83071000,886191000,-628211000,-628211000,-188566000,-14846000,-14846000,-312000,-203724000,54256000,54256000,54243000,870024000,6166079000,396420000,0.84791,0.36324,0.20503,0.04364,0.01627,1.69449,0.92796,1.68176,0.42887,0.62966,0.62522,3.07105,14.42961,1.06696,0.01801,0.03052,6.97444,14.6404
"34","2018_Q3",61.3498412698413,"Down",1137113000,-173766000,963347000,-549619000,-54862000,-303000,-447200000,413728000,-73580000,-74288000,708000,340148000,-22452000,317696000,-75232000,242464000,242464000,242464000,242464000,129989000,129989000,1177363000,1177363000,115310000,18627000,18424000,203000,1441289000,13339571000,17620000,17620000,13357191000,14798480000,1472815000,811965000,660850000,9302000,1484439000,6164221000,1536332000,1406326000,130006000,7700553000,9184992000,1418935000,4194228000,5613488000,5613488000,14798480000,242464000,446658000,129451000,-64771000,753802000,-715392000,-715392000,-568000,-773000.000000004,-773000.000000004,-5212000,-6552999.99999997,31857000,31857000,31844000,860386000,6166543000,155455000,0.84719,0.36384,0.21323,0.04319,0.01638,0.641149999999999,0.97093,1.63624,0.4167,0.65192,0.64743,3.0574,15.09323,0.41798,0.01821,0.01167,7.0161,14.59063
"35","2018_Q4",49.671746031746,"Down",1282151000,-201604000,1080547000,-566980000,-49314000,-2324000,-469334000,513567000,-79672000,-73408000,-6264000,433895000,-22259000,411636000,-97466000,314170000,314170000,314170000,314170000,12896000,12896000,1237352000,1237352000,104230000,14659000,14659000,1.86264514923096e-09,1369137000,13644538000,17385000,17385000,13661923000,15031060000,1478736000,771425000,707311000,9372000,1490449000,5955326000,1646475000,1511569000,134552000,7601801000,9092250000,1429982000,4508398000,5938810000,5938810000,15031060000,314170000,468459000,150824000,-72705000,860748000,-759880000,-759880000,-210573000,-684000,-684000,-6719000,-217976000,-117108000,-117108000,-117093000,982026000,5957667000,246907000,0.84276,0.40055,0.24503,0.0529,0.0209,0.7859,0.91861,1.53099,0.39636,0.84463,0.83863,3.44701,15.96626,0.6638,0.0232,0.01823,6.05358,11.57545
"36","2019_Q1",43.4465573770492,"Down",1149294000,-194651000,954643000,-594144000,-53406000,-3295000,-488415000,360499000,-68426000,-69442000,1016000,292073000,-30085000,261988000,-62868000,199120000,199120000,197737000,197737000,282749000,282749000,1012415000,1012415000,88544000,28653000,13041000,15612000,1412361000,13869800000,15786000,15786000,13885586000,15297947000,1384946000,717560000,667386000,203000,1387509000,5765989000,1722588000,1574436000,148152000,7488577000,8876086000,1438583000,4706135000,6145133000,6421861000,15297947000,199120000,488442000,87592000,180113000,955267000,-756689000,-756689000,-197279000,16303000,16303000,252295000,71319000.0000001,269897000,269897000,269853000,848941000,5768349000,335233000,0.83063,0.31367,0.17205,0.03079,0.01293,1.69535,1.01791,1.38217,0.37707,0.53156,0.52584,3.08957,16.51953,0.90118,0.01421,0.0241,6.4617,15.21669
"37","2019_Q2",41.5273015873016,"Down",1124234000,-193407000,930827000,-600798000,-54803000,-1837000,-495019000,330029000,-66482000,-67837000,1355000,263547000,-25064000,238483000,-51990000,186493000,186493000,186976000,186976000,264371000,264371000,1094372000,1094372000,103287000,22032000,20057000,1975000,1484062000,14118264000,31597000,31597000,14149861000,15633923000,1431173000,755834000,675339000,808000.000000001,1445451000,5766647000,1783522000,1626426000,157096000,7550169000,8995620000,1430068000,4893111000,6323710000,6638303000,15633923000,186493000,496561000,107030000,-68576000,721508000,-753071000,-753071000,-576000,-20622000,-20622000,34368000,13170000,-18393000,-18393000,-18378000,826590000,5780117000,56933000,0.82797,0.29356,0.16631,0.02817,0.01196,0.30449,1.02671,1.35511,0.36972,0.50186,0.4993,3.01757,16.97353,0.15281,0.01317,0.00401,6.67289,16.71291
"38","2019_Q3",32.848125,"Down",1208383000,-206295000,1002088000,-600537000,-58433000,-3090000,-485622000,401551000,-67749000,-68471000,722000,333802000,-21703000,312099000,-75649000,236450000,236450000,236557000,236557000,206482000,206482000,1029085000,1029085000,110894000,67214000,21010000,46204000,1413675000,14387960000,27787000,27787000,14415747000,15829422000,1357746000,738311000,600688000,83000,1368346000,5767316000,1863925000,1702075000,161850000,7631241000,8999587000,1372021000,5110921000,6483503000,6829835000,15829422000,236450000,486622000,65603000,-5279000,783396000,-804674000,-804674000,-586000.000000015,-70223000,-70223000,34183000,-36626000,-57904000,-57904000,-57889000,888173000,5777833000,153869000,0.82928,0.3323,0.19576,0.03464,0.01494,0.65045,1.03313,1.31769,0.36501,0.63448,0.63142,3.24105,17.38964,0.4127,0.01635,0.01063,6.27282,13.87458
"39","2019_Q4",30.1859375,"Down",1104197000,-200981000,903216000,-603758000,-55217000,-2472000,-484031000,299458000,-71555000,-68090000,-3465000,227903000,-20734000,207169000,-49747000,157422000,157422000,158162000,158162000,35260000,35260000,1045913000,1045913000,110323000,34188000,17258000,16930000,1225684000,14520573000,25098000,25098000,14545671000,15771355000,1363975000,694966000,650422000,136000,1371769000,5568413000,1916993000,1751822000,165171000,7485406000,8857175000,1282199000,5269243000,6551985000,6914180000,15771355000,157422000,482673000,120724000,46153000,806972000,-696182000,-696182000,-200592000,-102693000,-102693000,21283000,-282002000,-171212000,-171212000,-171222000,782131000,5576071000,181849000,0.81798,0.2712,0.14324,0.02288,0.01003,1.14976,0.89351,1.28102,0.35356,0.4278,0.42585,2.98669,17.72215,0.49187,0.01098,0.01262,7.08425,18.5028
"40","2020_Q1",21.7279032258065,"Down",1195133000,156034000,1351167000,-1039126000,-26849000,-7268000,-552711000,312041000,-59880000,-64981000,5101000,252161000,-22750000,229411000,-35303000,194108000,194108000,193946000,193946000,39400000,39400000,1041487000,1041487000,109536000,16592000,16592000,-541145.159508307,1207015000,14497726000,23166000,23166000,14520892000,15727907000,1329896000,629264000,700632000,3516213.30493354,1336026000,5324079000,1959451000,1787125000,172326000,7283530000,8619556000,1278443000,5463224000,6741667000,7108351000,15727907000,194108000,553848000,87647000,-31791000,803812000,-518029000,-518029000,-245598000,3299000.00000003,3299000.00000003,-20971000,-281650000,4133000,4133000,4140000,865889000,5330209000,351372000,1.13056,0.26109,0.16228,0.02728,0.01233,1.8117,0.90344,1.2126,0.3389,0.52747,0.5247,3.25038,18.33519,0.95562,0.01475,0.0244,6.11026,16.95549
"41","2020_Q2",13.6955555555556,"Down",880801000,-189702000,691099000,-657656000,-48821000,-11637000,-536696000,33443000,-45431000,-63594000,18163000,-11988000,-227031000,-239019000,52235000,-186784000,-186784000,-185664000,-185664000,517571000,517571000,692028000,692028000,62600000,22973000,22973000,6179712.74549591,1295172000,14436112000,25427000,25427000,14461539000,15756711000,1073510000,673669000,399841000,7911246.81193419,1082208000,5964589000,1912656000,1737112000,175544000,7877245000,8959453000,1161517000,5258845000,6420362000,6797258000,15756711000,-186784000,536786000,184999000,128817000,663818000,-706739000,-706739000,656870000,-126906000,-126906000,9588000,521092000,478171000,478171000,478171000,570229000,5973287000,-59928000,0.78463,0.03797,-0.21079,-0.02731,-0.01178,0.32278,1.19679,1.3181,0.37909,-0.50811,-0.50811,2.41049,17.57063,-0.16401,-0.01139,-0.00408,9.56759000000001,163.13477
"42","2020_Q3",15.84109375,"Up",175659000,-75740000.0000001,99919000,-372154000,-47591000,-1960000,-290298000,-272235000,-17498000,-65069000,47571000,-289733000,-24541000,-314274000,72143000,-242131000,-242131000,-239286000,-239286000,6656000,6656000,324896000,324896000,68285000,28553000,19111000,9442000.00000002,428390000,14312982000,24986000,24986000,14337968000,14766358000,592597000,311935000,280662000,10101000,610114000,5740554000,1844438000,1664970000,179468000,7584992000,8195106000,1176583000,5019561000,6196144000,6571252000,14766358000,-242131000,291942000,-75640000,5580999.99999997,-20248000,-312204000,-312204000,-178489000,2.98023223876953e-08,2.98023223876953e-08,25999.9999999963,-178463000,-510915000,-510915000,-510915000,19707000,5747970000,-359059000,0.56882,-1.54979,-1.36222,-0.03641,-0.0162,1.50054,0.70215,1.24711,0.38926,-0.66431,-0.66431,0.48766,17.20172,-0.99682,-0.01689,-0.02535,291.33374,-21.08955
"43","2020_Q4",14.576875,"Down",692370000,-6410000,685960000,-698537000,-33301000,-1041000,-461191000,-12577000,-128233000,-63884000,-64349000,-140810000,45255000,-95555000,13972000,-81583000,-81583000,-79422000,-79422000,21237000,21237000,599102000,599102000,63170000,16253000,15907000,346000,699762000,14004414000,24048000,24048000,14028462000,14728224000,734524000,321975000,412549000,7086000,748060000,5629133000,1846917000,1650998000,194099000,7476050000,8224110000,1192542000,4940142000,6132684000,6504114000,14728224000,-81583000,458161000,31744000,-117125000,291197000,-162923000,-162923000,-112543000,0,0,-1150000,-113693000,14581000,14581000,14581000,445584000,5635583000,151564000,0.99074,-0.01817,-0.11471,-0.01221,-0.00539,-1.90834,0.93544,1.26445,0.38264,-0.22047,-0.22047,1.92199,17.02407,0.42074,-0.00568,0.01084,12.59997,-446.39787
"44","2021_Q1",22.8719672131148,"Up",837640000,-87415000,750225000,-774620000,-66859000,-3094000,-592774000,-24395000.0000001,-65416000,-65693000,276999.999999985,-89811000,-36092000,-125903000,30840000,-95063000,-95063000,-92497000,-92497000,47470000,47470000,702494000,702494000,72157000,30424000,15121000,15303000,852545000,13737292000,43261000,43261000,13780553000,14633098000,855746000,361704000,494042000,2815000,860806000,5530173000,1819394000,1620154000,197656000,7349567000,8210373000,1208800000,4847646000,6056446000,6422725000,14633098000,-95063000,595569000,2425999.99999996,-15395000,487537000,-329492000,-329492000,-99767000,0,0,-32045000,-131812000,26233000.0000001,26233000.0000001,26233000,571174000,5532418000,195447000,0.89564,-0.02912,-0.11043,-0.0144,-0.00632,-2.11301,0.9904,1.27833,0.37808,-0.25672,-0.25672,2.32479,16.80908,0.54244,-0.00672,0.01419,9.60294,-224.83902
"45","2021_Q2",30.3966666666667,"Up",1215815000,-143321000,1072494000,-655567000,-52848000,-4645000,-509608000,416927000,-64699000,-64951000,252000,352228000,-11425000,340803000,-80528000,260275000,260275000,259642000,259642000,96057000,96057000,859384000,859384000,76008000,30372000,19097000,11275000,1061821000,13724418000,34688000,34688000,13759106000,14820927000,1214178000,509490000,704688000,10659000,1232242000,4971055000,1920424000,1700682000,218548000,6891479000,8123721000,1216790000,5107288000,6324078000,6697206000,14820927000,260275000,508327000,125614000,146044000,1040260000,-428084000,-428084000,-560552000,-18479534.7809706,-18479534.7809706,-2926000,-563589000,48587000,48587000,48587000,925254000,4978460000,723742000,0.88212,0.34292,0.21355,0.03877,0.01752,2.78746,0.8617,1.213,0.33591,0.71965,0.71591,3.36988,17.52847,2.006,0.0191,0.05323,5.27682,11.71045
"46","2021_Q3",37.02515625,"Up",1235125000,-159102000,1076023000,-619505000,-55553000,-2291000,-471858000,456518000,-60653000,-60951000,298000.000000004,395865000,-11444000,384421000,-94947000,289474000,289474000,289325000,289325000,150038000,150038000,1033089000,1033089000,89263000,19254000,19254000,-2779048.58665143,1291644000,13550794000,34196000,33384000,13584990000,14876634000,1107712000,438521000,669191000,45873000,1159404000,4741043000,2020513000,1795628000,223274000,6761556000,7920960000,1229899000,5356189000,6586088000,6955674000,14876634000,289474000,472013000,168357000,-256986000,672858000,-343130000,-343130000,-231343000,-52044213.0939529,-52044213.0939529,-4616000,-275747000,53981000,53981000,53981000,928531000,4746862000,423362000,0.87119,0.36961,0.23425,0.0416,0.01945,1.46327,1.11406,1.13878,0.31908,0.80192,0.79776,3.4234,18.25468,1.17343,0.02398,0.03085,4.95064,10.06932
"47","2021_Q4",46.86953125,"Up",1341412000,-157191000,1184221000,-633594000,-58421000,-2534000,-465357000,550627000,-59549000,-59894000,345000,491078000,-4916000,486162000,-115641000,370521000,370521000,369328000,369328000,693649000,693649000,1147833000,1147833000,119285000,17875000.0000001,17561000,314000,1978642000,13475204000,52317000,50544000,13527521000,15506163000,1268742000,527268000,741474000,133511000,1404559000,4741729000,2138809000,1911270000,225367000,6880538000,8285097000,1178411000,5670478000,6848889000,7221066000,15506163000,370521000,464789000,222507000,-42282000,1015535000,-352587000,-352587000,-561000,-65256000,-65256000,635000,-119337000,543611000,543611000,543611000,1015416000,4744035000,736188000,0.88282,0.41048,0.27533,0.05115,0.02382,1.99332,1.40873,1.14735,0.30595,1.02431,1.01395,3.72033,18.99499,2.04177,0.03003,0.0522,3.98889,7.35595
"48","2022_Q1",54.8674193548387,"Up",1926966000,52708000,1979674000,-894922000,-66806000,-11577000,-451259000,1084752000,-90351000,-65802000,-24549000,994401000,-19649000,974752000,-228614000,746138000,746138000,742673000,742673000,20868000,20868000,-2814000,1369541883.25504,105568000,1440768000,17266000,22334000,1564390000,16975465000,51256000,38068000,17026721000,18591111000,1495228000,582317000,912911000,2572999.99999997,1500127000,6826566000,2408093000,2139884000,267891000,9234659000,10734786000,1135245000,6340211000,7475456000,7856325000,18591111000,746138000,447977000,114739000,-63656000,1245198000,-3865744000,-3865744000,2087207000,-58668000,-58668000,-8933000,1947765000,-672781000,-672781000,-672781000,1532729000,6828892000,-2168057000,1.02735,0.56293,0.38541,0.09453,0.03995,-2.91926,1.04284,1.36639,0.36732,2.05976,2.03892,5.34433,20.73273,-6.01298,0.04765,-0.12684,4.44177,6.27611
"49","2022_Q2",63.0229032258065,"Up",1816238000,-212129000,1604109000,-713809000,-74837000,-13017000,-459029000,890300000,-73782000,-72555000,-1227000,816518000,-24083000,792435000,-191084000,601351000,601351000,597757000,597757000,4244000,4244000,1878650000,1878650000,155305000,28875999.9999998,25315000,3561000,2067075000,17466448000,139908000,66829000,17606356000,19673431000,1780808000,656142000,1124666000,394513000,2177668000,6562803000,2662517000,2234866000,291409000,9225320000,11402988000,1038608000,6854183000,7892791000,8270443000,19673431000,601351000,459286000,617805000,-173825000,1504617000,-976066000,-1040994000,-265576000,-99855000,-99855000,-31581000,-480247000,-16624000,-16624000,-16624000,1349586000,6565150000,390779000,0.8832,0.49019,0.32912,0.07228,0.03038,0.65374,0.94921,1.37876,0.33371,1.66609,1.64494,5.06227,21.99902,1.08919,0.03892,0.02233,4.86142,7.36932
"50","2022_Q3",67.39015625,"Up",2650474000,-248595000,2401879000,-709526000,-62574000,-4634000,-446633000,1692353000,-70996000,-72236000,1240000,1621357000,-16239000,1605118000,-389271000,1215771000,1215771000,1208747000,1208747000,553260000,553260000,2181795000,2844710350.23487,175254000,26717000,23918000,2799000,2937026000,17881055000,110991000,43126000,17992046000,20929072000,2001821000,713417000,1288404000,330358000,2969603000,5662567000,2911078000,2381414000,302497000,8573645000,11543248000,1046521000,7961406000,9007927000,9385824000,20929072000,1215771000,448463000,222819000,-149396000,1737657000,-806511000,-807365000,-267408000,0,0,-13524000,-381276000,549016000,549016000,549016000,2140816000,6299991000,1574180000,0.90621,0.63851,0.45605,0.12878,0.05775,1.30232,0.98903,1.22986,0.30102,3.36906,3.3263,7.38748,25.10716,4.3876,0.07039,0.08465,2.68436,3.3957
