"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","long_term_investments_receivables","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"34","2018_Q3",26.9036507936508,"Down",2569722000,-1900316000,669406000,-258280000,-226057000,-32223000,411126000,-1955000,-1955000,409171000,409171000,-85081000,324090000,324090000,324090000,324090000,367091000,367091000,7577606000,404458000,404458000,8349155000,61718000,1404703000,134092000,759230000,1466421000,9815576000,5002337000,399330000,4603007000,5266380000,22484000,22484000,22484000,5288864000,4526712000,9815576000,324090000,12271000,111635000,-69427000,378569000,-17631000,0,6463000,-11168000,-64890000,-51256000,-8089999.99999997,-150273000,217128000,217128000,217128000,423397000,-1.19209289550781e-07,421420000,0.2605,0.15999,0.12612,0.0716,0.03302,1.30032,1.58537,1.16837,0,1.13606,1.1306,9.00785,1.47724,0.07696,0.09264,-0.86701,-0.89289
"35","2018_Q4",23.5595238095238,"Down",2649366000,-1976219000,673147000,-284970000,-252756000,-32214000,388177000,-3490000,-3490000,384687000,384687000,-95153000,289534000,289534000,289534000,289534000,728631000,728631000,7555359000,380165000,380165000,8664155000,54278000,1336647000,130642000,797976000,1390925000,10055080000,5065145000,465833000,4599312000,5315878000,10324000,10324000,10324000,5326202000,4728878000,10055080000,289534000,12556000,116172000,49136000,467398000,-13470000,0,8630000,-4840000,-13533000,-65953000,-75000,-105461000,357097000,357097000,357097000,400733000,0,531552000,0.25408,0.14652,0.10928,0.06123,0.02879,1.83589,1.62986,1.12631,0,1.02132,1.01708,9.34557,1.87504,0.06656,0.11216,-1.81825,-1.87706
"36","2019_Q1",26.0714754098361,"Up",2999150000,-2319474000,679676000,-343089000,-292317000,-50772000,336587000,-7096000,-7096000,329491000,329491000,-91843000,237648000,237648000,237648000,237648000,1110088000,1110088000,7290202000,484966000,484966000,8885256000,54590000,1233130000,127192000,830359000,1287720000,10172976000,4995202000,352029000,4643173000,5343614000,11580000,11580000,11580000,5355194000,4817782000,10172976000,237648000,12712000,224538000,-41598000,433300000,-12510000,-1.86264514923096e-09,4019000,-8491000,97558000,-114034000,-7909000,-50121000,374688000,374688000,374688000,349299000,0,387034000,0.22662,0.11223,0.07924,0.04933,0.02336,1.6286,1.66278,1.11155,0,0.8522,0.84842,10.75488,1.3879,0.05454,0.08014,-3.17805,-3.29807
"37","2019_Q2",29.9738095238095,"Up",1996693000,-1494841000,501852000,-284176000,-252727000,-31449000,217676000,-973000,-973000,216703000,216703000,-49946000,166757000,166757000,166757000,166757000,1055457000,1055457000,7545974000,352491000,352491000,8953922000,55725000,1197689000,123742000,823066000,1253414000,10207336000,5033650000,444322000,4589328000,5255789000,18108000,18108000,18108000,5273897000,4933439000,10207336000,166757000,13210000,36649000,-57707000,158909000,-16070000,-1289000,291000,-17068000,-129878000,-33908000,-3257009.42747969,-194588000,-52747000,-52747000,-52747000,230886000,0,207055000,0.25134,0.10902,0.08352,0.0338,0.01634,1.24166,1.70363,1.06901,0,0.60063,0.59847,7.19174,0.74578,0.0399,0.04182,-4.57133,-4.84875
"38","2019_Q3",32.06484375,"Up",2488986000,-1874370000,614616000,-290340000,-259439000,-30901000,324276000,-3500000,-3500000,320776000,320776000,-79735000,241041000,241041000,241041000,241041000,631309000,631309000,7840710000,371697000,371697000,8843716000,58246000,1193575000,132192000,837279000,1251821000,10095537000,4763631000,380363000,4383268000,4997817000,27913000,27913000,27913000,5025730000,5069807000,10095537000,241041000,13287000,41587000,-149114000,146801000,-13505000,-167099000,4301000,-176303000,-281651000,-79708000,0,-392177000,-421679000,-421679000,-421679000,337563000,0,254679000,0.24693,0.13028,0.09684,0.04754,0.02388,1.05658,1.76952,0.99131,0,0.87129,0.86837,8.99697,0.92059,0.05333,0.04996,-1.8702,-1.94683
"39","2019_Q4",37.55578125,"Up",2710365000,-2035972000,674393000,-303139000,-270625000,-32514000,371254000,-5108000,-5108000,366146000,366146000,-93042000,273104000,273104000,273104000,273104000,736986000,736986000,7864554000,415551000,415551000,9017091000,62182000,1185240000,128592000,864846000,1247422000,10264513000,4794937000,389843000,4405094000,5044297000,38624000,38624000,38624000,5082921000,5181592000,10264513000,273104000,13805000,47021000,-56860000,277070000,-13587000,-3851000,417000,-17021000,15065999.9999999,-124404000,-10726000,-150679000,109370000,109370000,109370000,385059000,0,407654000,0.24882,0.13698,0.10076,0.05271,0.02661,1.49267,1.78758,0.98096,5.42101086242752e-20,1.00068,0.99834,9.93106,1.49369,0.05818,0.07809,-1.91396,-1.98513
"40","2020_Q1",37.4466129032258,"Down",3016913000,-2279615000,737298000,-297452000,-261546000,-35906000,439846000,1032000,1032000,440878000,435951000,-100153000,335798000,335798000,335798000,335798000,1217913000,1217913000,7704623000,542510000,542510000,9465046000,59766000,1190785000,124992000,895686000,1250551000,10715597000,4930844000,435916000,4494928000,5257417000,29298811.8583279,29298811.8583279,29298811.8583279,5257417000,5458180000,10715597000,335798000,13697000,41732000,101995000,493222000,-14957000,-1e+06,1663000,-14294000,64637000,-29914000,-724000.000000004,3884000,482812000,482812000,482812000,453543000,3.72529029846191e-09,640734000,0.24439,0.14579,0.11131,0.06152,0.03134,1.90809,1.80032,0.96322,0,1.24012,1.23723,11.14165,2.36627,0.06704,0.11739,-2.68533,-2.76895
"41","2020_Q2",29.2380952380952,"Down",2294980000,-1709879000,585101000,-298618000,-263669000,-34949000,286483000,-2524000,-2524000,283959000,263769000,-60058000,203711000,203711000,203711000,203711000,1816778000,1816778000,7889300000,398329000,398329000,10104407000,54495000,1264472000,178553000,935532000,1318967000,11423374000,4850437000,429724000,4420713000,5820437000,72546000,72546000,72546000,5892983000,5530391000,11423374000,203711000,15149000,60450000,-74695000,204615000,-20139000,-83863000,8206000,-95796000,634182000,-95626000,-14838000,490978000,599797000,599797000,599797000,301632000,0,266856000,0.25495,0.12483,0.08876,0.03683,0.01783,1.30997,1.73602,1.06556,0,0.75449,0.7511,8.49993,0.98836,0.0422,0.04763,-6.02316,-6.34166
"42","2020_Q3",41.79140625,"Up",2593781000,-1900250000,693531000,-231236000,-196858000,-34378000,462295000,-5286000,-5286000,457009000,457009000,-108389000,348620000,348620000,348620000,348620000,1658530000,1658530000,7614148000,433554000,433554000,9706232000,47707000,1204546000,173507000,910271000,1252253000,10958485000,4703729000,295249000,4408480000,4960088000,146729000,146729000,146729000,5106817000,5851668000,10958485000,348620000,16389000,37289000,200959000,603257000,-16607000,-57000,7010000,-9654000.00000001,-714502000,49000,-14999.9999999981,-747060000,-153457000,-153457000,-153457000,478684000,-5.96046447753906e-08,771425000,0.26738,0.17823,0.13441,0.05958,0.03181,2.2128,1.95687,0.87271,0,1.2992,1.29581,9.66624,2.87487,0.06355,0.12861,-3.46477,-3.5876
"43","2020_Q4",43.40046875,"Up",2954957000,-2152243000,802714000,-314066000,-271258000,-42808000,488648000,-4482000,-4482000,484166000,484166000,-67769000,416397000,416397000,416397000,416397000,2067276000,2067276000,7642338000,446999000,446999000,10156613000,41722000,1166687000,168466000,917388000,1208409000,11365022000,4860192000,342277000,4517915000,5109238000,15769000,15769000,15769000,5125007000,6240015000,11365022000,416397000,16998000,49747000,-24389000,458753000,-10179000,6000,8444000,-1729000,-8200000.00000024,12000,0,-40612000,416412000,416412000,416412000,505646000,0,538847000,0.27165,0.16537,0.14091,0.06673,0.03664,1.29407,1.98789,0.82131,0,1.55174,1.5483,11.01191,2.00806,0.07174,0.08614,-4.08839,-4.2306
"44","2021_Q1",45.8808196721311,"Up",3192364000,-2320077000,872287000,-343003000,-279657000,-63346000,529284000,-5534000,-5534000,523750000,523750000,-85639000,438111000,438111000,438111000,438111000,2582205000,2582205000,7721798000,615009000,615009000,10919012000,39030245.025548,1286486000,163425000,951232000,1286486000,12205498000,1918364000,511321000,1407043000,5531961000,103548000,103548000,103548000,5635509000,6569989000,12205498000,438111000,17545000,62338000,-277000.00000003,517717000,-11429000,-89999.9999999981,10751000,-767999.999999998,108501000,-7.5e+07,1.86264514923096e-09,1078000.00000012,518027000,518027000,518027000,546829000,3164123000,620762000,0.27324,0.1658,0.13724,0.06668,0.03589,1.41691,1.9738,0.85777,0.25924,1.63758,1.63192,11.93247,2.32029,0.04783,0.0631,1.06417,1.09944
"45","2021_Q2",55.1085714285714,"Up",2729791000,-1960271000,769520000,-311360000,-271686000,-39674000,458160000,-2639000,-2639000,455521000,394052000,-89945000,304107000,304107000,304107000,304107000,1579586000,1579586000,8007007000,559517000,559517000,10146110000,39558000,1260073000,158432000,969437000,1299631000,11445741000,4378764000,404564000,3974200000,4649583000,110884000,110884000,110884000,4760467000,6685274000,11445741000,304107000,17142000,85171000,-229672000,176748000,-14752000,-18569000,5698000,-27623000,-935437000,-153692000,-10566000,-1137306000,-988181000,-988181000,-988181000,475302000,270819000,320823000,0.2819,0.16784,0.1114,0.04549,0.02657,1.05497,2.18215,0.71208,0.02366,1.14581,1.14321,10.2853,1.2088,0.04835,0.0454,-2.75355,-2.85657
"46","2021_Q3",51.339375,"Down",3359483000,-2406690000,952793000,-312699000,-272287000,-40412000,640094000,-620000,-620000,639474000,639474000,-136075000,503399000,503399000,503399000,503399000,1663270000,1663270000,8417525000,639002000,639002000,10719797000,44800000,1317423000,153464000,1020518000,1362223000,12082020000,4655406000,441826000,4213580000,5008033000,115519000,115519000,115519000,5123552000,6958468000,12082020000,503399000,18265000,3014000,-269358000,255320000,-16795000,-7751000,4785000,-19761000,78849000,-2e+08,-40999.9999999963,-158491000,77068000,77068000,77068000,658359000,352627000,508281000,0.28361,0.19053,0.14984,0.07234,0.04167,1.0097,2.14052,0.7363,0.02919,1.92078,1.91603,12.81849,1.9394,0.07281,0.06844,-1.99077,-2.04758
"47","2021_Q4",50.80890625,"Down",3479050000,-2490556000,988494000,-363340000,-320505000,-42835000,625154000,-4752000,-4752000,620402000,620402000,-144853000,475549000,475549000,475549000,475549000,1568324000,1568324000,8936025000,657735000,657735000,11162084000,64284000,1345483000,149854000,1053871000,1409767000,12571851000,2771767000,490717000,2281050000,5308194000,121905000,121905000,121905000,5430099000,7141752000,12571851000,475549000,17616000,18111000,-395119000,116157000,-20587000,-19892000,1395000,-39084000,123877000,-260600000,-35000,-173544000,-96471000,-96471000,-96471000,642770000,2536427000,371917000,0.28413,0.17969,0.13669,0.06659,0.03783,0.78208,2.1028,0.76033,0.20175,1.80307,1.79879,13.19101,1.41014,0.05228,0.03795,1.50614,1.54858
"48","2022_Q1",49.32,"Down",4358558000,-3118457000,1240101000,-389785000,-344220000,-45565000,850316000,5601000,5601000,855917000,855917000,-192652000,663265000,663265000,663265000,663265000,1779088000,1779088000,9047569000,1001616000,1001616000,11828273000,106375081.041875,1524358000,146923000,1140242000,1524358000,13352631000,2197646000,621168000,1576478000,5697597000,165519000,165519000,165519000,5863116000,7489515000,13352631000,663265000,16930000,49884000,-274283000,455796000,-20647000,-65779000,48762000,-37664000,110120000,-2.83e+08,-200000.000000001,-209218000,208914000,208914000,208914000,867246000,2655166000,764968000,0.28452,0.19509,0.15218,0.08856,0.04967,1.15334,2.07601,0.78284,0.19885,2.56933,2.56187,16.88402,2.9633,0.06784,0.0742,1.01018,1.0303
"49","2022_Q2",42.0064516129032,"Down",3187615000,-2213076000,974539000,-372508000,-329022000,-43486000,602031000,-2138000,-2138000,599893000,599893000,-145170000,454723000,454723000,454723000,454723000,1145007000,1145007000,9869889000,577138000,577138000,11592034000,178592743.125624,1572206000,144102000,1190417000,1572206000,13164240000,2154268000,628820000,1525448000,5579451000,171525000,171525000,171525000,5750976000,7413264000,13164240000,454723000,16181000,32359000,-295597000,207666000,-30686000,-17081000,-199000,-47966000,-229985000,-5e+08,-13614000,-781395000,-621695000,-621695000,-621695000,618212000,2426247000,437099000,0.30573,0.18887,0.14265,0.06134,0.03454,0.96124,2.07763,0.77577,0.18431,1.80707,1.80285,12.66756,1.73703,0.0492,0.04366,2.07249,2.1282
"50","2022_Q3",42.9516326530612,"Up",3926186000,-2663011000,1263175000,-395104000,-351257000,-43847000,868071000,-3498000,-3498000,864573000,864573000,-212138000,652435000,652435000,652435000,652435000,662780000,662780000,10729444000,623113000,623113000,12015337000,288456486.251247,1684999000,141337000,1272642000,1684999000,13700336000,2286409000,750508000,1535901000,5787275000,167845000,167845000,167845000,5955120000,7745216000,13700336000,652435000,17212000,26059000,-801029000,-105323000,-31871000,-43799000,496000,-75174000,42526000,-294227000,-11167000,-299269000,-479766000,-479766000,-479766000,885283000,2472928000,264521000,0.32173,0.2211,0.16618,0.08424,0.04762,0.40544,2.07616,0.76888,0.1805,2.76072,2.74541,16.61329,1.1193,0.06632,0.02547,2.04471,2.08525
