"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"26","2016_Q3",25.640625,"Up",1.445e+09,-5.61e+08,8.84e+08,-7.38e+08,-5.22e+08,-2.16e+08,1.46e+08,-1e+06,-1e+06,1.45e+08,-1e+06,1.44e+08,-3e+07,1.14e+08,1.14e+08,1.14e+08,1.14e+08,4.814e+09,2.198e+09,2.616e+09,5.87e+08,5.87e+08,1.25e+08,5.55e+08,5.55e+08,6.081e+09,1.004e+09,1.55e+09,1.027e+09,5.1e+07,4.72e+08,2.554e+09,8.635e+09,8.44e+08,2.26e+08,6.18e+08,2.453e+09,2.926e+09,2.69e+08,2.69e+08,3.195e+09,5.648e+09,0,-3.5e+07,2.987e+09,2.987e+09,8.635e+09,1.14e+08,6.7e+07,4.3e+07,-7.9e+07,1.45e+08,-4.6e+07,9999999.99999976,-2e+06,-3.8e+07,-1.77e+08,6e+06,-1.83e+08,0,-2.3e+08,-1.23e+08,-1.23e+08,-3e+06,-1.26e+08,2.13e+08,4.535e+09,1.18e+08,0.61176,0.10104,0.07889,0.03817,0.0132,1.03509,2.47901,1.89086,0.52519,0.38776,0.38,4.91497,10.15986,0.40136,0.02143,0.01515,-1.30986,-1.91096
"27","2016_Q4",29.6031746031746,"Up",1.386e+09,-5.31e+08,8.55e+08,-6.88e+08,-4.88e+08,-2e+08,1.67e+08,-2e+06,-2e+06,1.65e+08,-2e+06,1.63e+08,-1e+07,1.53e+08,1.53e+08,1.53e+08,1.53e+08,5.023e+09,2.495e+09,2.528e+09,5.85e+08,5.85e+08,1.02e+08,3.54e+08,3.54e+08,6.064e+09,8.73e+08,1.848e+09,1.027e+09,3.7e+07,7.84e+08,2.721e+09,8.785e+09,7.92e+08,1.75e+08,6.17e+08,2.476e+09,2.931e+09,2.69e+08,2.69e+08,3.2e+09,5.676e+09,5.1e+07,-4.1e+07,3.109e+09,3.109e+09,8.785e+09,1.53e+08,6.6e+07,4.1e+07,9.5e+07,3.55e+08,-4.1e+07,9.1e+07,-1e+06,4.9e+07,-4e+07,4.5e+07,-8.5e+07,-3999999.99999999,-9.6e+07,3.08e+08,3.08e+08,-1.1e+07,2.97e+08,2.33e+08,4.615e+09,2.97e+08,0.61688,0.12049,0.11039,0.04921,0.01742,1.94118,2.44911,1.82567,0.52533,0.52218,0.51689,4.73038,10.61092,1.01365,0.02565,0.03716,-1.75107,-2.44310999999994
"28","2017_Q1",33.5356451612903,"Up",1.38e+09,-5.62e+08,8.18e+08,-7.19e+08,-5.18e+08,-2.01e+08,9.9e+07,-4e+06,-4e+06,9.5e+07,-3.5e+07,6e+07,-6.8e+07,-8e+06,-8e+06,-8e+06,-8e+06,5.303e+09,2.868e+09,2.435e+09,8.13e+08,8.13e+08,9.8e+07,2.34e+08,2.34e+08,6.448e+09,9.37e+08,2.652e+09,1.676e+09,1.8e+08,7.96e+08,3.589e+09,1.0037e+10,1.019e+09,2.54e+08,7.65e+08,3.662e+09,3.081e+09,4.13e+08,4.13e+08,3.494e+09,7.156e+09,0,-3.1e+07,2.881e+09,2.881e+09,1.0037e+10,-8e+06,7.7e+07,4.1e+07,2.35e+08,3.45e+08,6.7e+07,1.03e+08,4e+06,-6.68e+08,-2.12e+08,5e+07,-2.62e+08,1.44e+08,6.81e+08,3.58e+08,3.58e+08,1.5e+07,3.73e+08,1.76e+08,5.724e+09,5.46e+08,0.59275,0.07174,-0.0058,-0.00278,-8e-04,-68.25,1.76079,2.48386,0.57029,-0.0280699999999999,-0.02778,4.84211,10.10877,1.91579,0.00477,0.06055,2.39205,4.25253
"29","2017_Q2",34.0590476190476,"Up",1.294e+09,-4.97e+08,7.97e+08,-7.04e+08,-4.97e+08,-2.07e+08,9.3e+07,-1e+06,-1e+06,9.2e+07,-60207546.3796733,9.2e+07,-2.8e+07,6.4e+07,6.4e+07,6.4e+07,6.4e+07,4.421e+09,2.294e+09,2.127e+09,5.01e+08,5.01e+08,8.1e+07,2.2e+08,2.2e+08,5.223e+09,9.42e+08,2.622e+09,1.676e+09,1.69e+08,7.77e+08,3.564e+09,8.787e+09,8e+08,2.39e+08,5.61e+08,2.524e+09,3.067e+09,4.04e+08,4.04e+08,3.471e+09,5.995e+09,0,-3.1e+07,2.792e+09,2.792e+09,8.787e+09,6.4e+07,6e+07,6.4e+07,4e+07,2.28e+08,-3.6e+07,3.13e+08,-1e+06,2.76e+08,-1.33e+08,4.2e+07,-1.75e+08,-2e+06,-1.071e+09,-5.67e+08,-5.67e+08,-7e+06,-5.74e+08,1.53e+08,4.791e+09,1.85e+08,0.61592,0.07187,0.04946,0.02292,0.00728,2.89062,2.06933,2.14721,0.54524,0.22939,0.22695,4.63799,10.00717,0.66308,0.01465,0.02316,2.4183,3.97849
"30","2017_Q3",35.4585714285714,"Up",1.34e+09,-5.11e+08,8.29e+08,-6.87e+08,-4.87e+08,-2e+08,1.42e+08,4.65661287307739e-10,4.65661287307739e-10,1.42e+08,-64335731.1792058,1.42e+08,-3.3e+07,1.09e+08,1.09e+08,1.09e+08,1.09e+08,4.357e+09,2.113e+09,2.244e+09,5.47e+08,5.47e+08,9.7e+07,2.19e+08,2.19e+08,5.22e+09,9.49e+08,2.593e+09,1.676e+09,1.58e+08,7.59e+08,3.542e+09,8.762e+09,8.73e+08,2.53e+08,6.2e+08,2.528e+09,3.038e+09,4.07e+08,4.07e+08,3.445e+09,5.973e+09,0,-4.1e+07,2.789e+09,2.789e+09,8.762e+09,1.09e+08,5.7e+07,5.2e+07,-6e+07,1.58e+08,-5.6e+07,-1.23e+08,9.31322574615479e-10,-1.79e+08,-9.8e+07,1.9e+07,-1.17e+08,-1e+06,-1.54e+08,-1.75e+08,-1.75e+08,-6e+06,-1.81e+08,1.99e+08,4.693e+09,1.16e+08,0.61866,0.10597,0.08134,0.03908,0.01244,1.06421999999999,2.06487,2.14163,0.53561,0.3935,0.3838,4.83755,10.06859,0.41877,0.02041,0.0147,1.68844,2.3662
"31","2017_Q4",43.2965079365079,"Up",1.404e+09,-5.53e+08,8.51e+08,-6.26e+08,-4.45e+08,-1.81e+08,2.25e+08,0,0,2.25e+08,-4.2e+07,1.83e+08,-3.7e+07,1.46e+08,1.46e+08,1.46e+08,1.46e+08,4.639e+09,2.213e+09,2.426e+09,6.05e+08,6.05e+08,1.25e+08,2.77e+08,2.77e+08,5.646e+09,8.92e+08,2.517e+09,1.676e+09,1.45e+08,6.96e+08,3.409e+09,9.055e+09,1.005e+09,2.58e+08,7.47e+08,3.844e+09,2.279e+09,2.38e+08,2.38e+08,2.517e+09,6.361e+09,-1.86264514923096e-09,-3.7e+07,2.694e+09,2.694e+09,9.055e+09,1.46e+08,5.6e+07,8.8e+07,-5.5e+07,2.35e+08,-4.5e+07,-1.88e+08,3e+06,-2.3e+08,-2.33e+08,5.1e+07,-2.84e+08,-4e+06,9.7e+07,1.02e+08,1.02e+08,-2e+06,1e+08,2.81e+08,5.118e+09,2.18e+08,0.60613,0.16026,0.10399,0.05419,0.01612,1.49315,1.46878,2.36117,0.56521,0.53091,0.52143,5.10545,9.79636,0.79273,0.0246,0.02708,1.70463,2.12889
"32","2018_Q1",52.8468852459016,"Up",1.453e+09,-5.66e+08,8.87e+08,-6.84e+08,-4.93e+08,-1.91e+08,2.03e+08,1e+06,1e+06,2.04e+08,0,2.04e+08,-4.2e+07,1.62e+08,1.62e+08,1.62e+08,1.62e+08,4.921e+09,2.444e+09,2.477e+09,7.31e+08,7.31e+08,1.63e+08,3.83e+08,3.83e+08,6.198e+09,7.99e+08,2.496e+09,1.684e+09,1.31e+08,6.81e+08,3.295e+09,9.493e+09,1.129e+09,3.47e+08,7.82e+08,4.122e+09,2.342e+09,2.49e+08,2.49e+08,2.591e+09,6.713e+09,4e+07,-2.9e+07,2.78e+09,2.78e+09,9.493e+09,1.62e+08,5.3e+07,4.8e+07,1.02e+08,3.65e+08,-3.8e+07,-4.5e+07,1e+06,-9e+07,-1.01e+08,2.8e+07,-1.29e+08,0,-5.1e+07,2.24e+08,2.24e+08,4e+06,2.28e+08,2.56e+08,5.335e+09,3.62e+08,0.61046,0.13971,0.11149,0.05827,0.01707,2.23457,1.50364,2.41475,0.56199,0.60223,0.58273,5.40149,10.33457,1.34572,0.02547,0.04328,1.61719,2.03941
"33","2018_Q2",61.06890625,"Up",1.321e+09,-4.97e+08,8.24e+08,-6.84e+08,-4.91e+08,-1.93e+08,1.4e+08,5e+06,5e+06,1.45e+08,0,1.45e+08,-1.4e+07,1.31e+08,1.31e+08,1.31e+08,1.31e+08,5.321e+09,2.951e+09,2.37e+09,5.18e+08,5.18e+08,1.43e+08,3.16e+08,3.16e+08,6.298e+09,7.99e+08,2.502e+09,1.701e+09,1.24e+08,6.77e+08,3.301e+09,9.599e+09,9.42e+08,2.89e+08,6.53e+08,4.287e+09,2.294e+09,2.5e+08,2.5e+08,2.544e+09,6.831e+09,1e+07,-1.3e+07,2.768e+09,2.768e+09,9.599e+09,1.31e+08,5.1e+07,5.3e+07,1.5e+07,2.5e+08,-3.6e+07,1.12e+08,1e+06,5.3e+07,-1.02e+08,4.8e+07,-1.5e+08,0,1.81e+08,4.84e+08,4.84e+08,1.9e+07,5.03e+08,1.91e+08,5.639e+09,1.84e+08,0.62377,0.10598,0.09917,0.04733,0.01365,1.40458,1.46909,2.46785,0.58746,0.48519,0.47122,4.89259,10.25185,0.68148,0.02137,0.02125,1.66492,2.27143
"34","2018_Q3",72.1185714285714,"Up",1.415e+09,-5.15e+08,9e+08,-6.84e+08,-4.9e+08,-1.94e+08,2.16e+08,6e+06,6e+06,2.22e+08,0,2.22e+08,-4.8e+07,1.74e+08,1.74e+08,1.74e+08,1.74e+08,5.965e+09,3.535e+09,2.43e+09,5.84e+08,5.84e+08,1.08e+08,3.63e+08,3.63e+08,7.02e+09,7.95e+08,2.493e+09,1.739e+09,1.2e+08,6.34e+08,3.288e+09,1.0308e+10,1.101e+09,3.79e+08,7.22e+08,4.214e+09,3.062e+09,2.55e+08,2.55e+08,3.317e+09,7.531e+09,1.7e+07,-1.9e+07,2.777e+09,2.777e+09,1.0308e+10,1.74e+08,5.1e+07,6.9e+07,2e+07,3.14e+08,-2.9e+07,-6.4e+07,-1e+06,-1.45e+08,-1.41e+08,9000000.00000001,-1.5e+08,-1e+06,4.2e+08,5.89e+08,5.89e+08,-6e+06,5.83e+08,2.67e+08,6.175e+09,3.06e+08,0.63604,0.15265,0.12297,0.06266,0.01688,1.75862,1.66588,2.71192,0.59905,0.64444,0.63043,5.24074,10.28519,1.13333,0.02476,0.03324,0.78652,0.97222
"35","2018_Q4",63.0404761904762,"Down",1.539e+09,-5.83e+08,9.56e+08,-6.84e+08,-4.91e+08,-1.93e+08,2.72e+08,1.4e+07,1.4e+07,2.86e+08,2.18e+08,5.04e+08,-9.83e+08,-4.79e+08,-4.79e+08,-4.79e+08,-4.79e+08,5.619e+09,2.974e+09,2.645e+09,7.54e+08,7.54e+08,9.8e+07,2.95e+08,2.95e+08,6.766e+09,7.41e+08,2.28e+09,1.739e+09,1.06e+08,4.35e+08,3.021e+09,9.787e+09,1.197e+09,4.58e+08,7.39e+08,3.548e+09,3.09e+09,9.73e+08,9.73e+08,4.063e+09,7.611e+09,-4.89e+08,-4.2e+07,2.176e+09,2.176e+09,9.787e+09,-4.79e+08,4.8e+07,2.2e+07,8.29e+08,4.2e+08,1.78e+08,-2.26e+08,-1e+06,-4.9e+07,-5e+07,1e+08,-1.5e+08,-5e+06,-9.51e+08,-5.8e+08,-5.8e+08,2.4e+07,-5.56e+08,3.2e+08,5.441e+09,2.31e+09,0.62118,0.17674,-0.31124,-0.22013,-0.04894,-4.82255,1.90699,3.4977,0.55594,-1.79401,-1.89328,5.76404,8.14981,8.65169,-0.04959,0.26892,-0.55625,-0.65441
"36","2019_Q1",57.0013114754098,"Down",1.644e+09,-6.15e+08,1.029e+09,-7.17e+08,-5.14e+08,-2.03e+08,3.12e+08,1.6e+07,1.6e+07,3.28e+08,0,3.28e+08,-3.8e+07,2.9e+08,2.9e+08,2.9e+08,2.9e+08,5.391e+09,2.941e+09,2.45e+09,1.047e+09,1.047e+09,1.22e+08,3.92e+08,3.92e+08,6.952e+09,7.56e+08,2.283e+09,1.739e+09,9.4e+07,4.5e+08,3.039e+09,9.991e+09,1.434e+09,6.09e+08,8.25e+08,3.531e+09,3.192e+09,9.92e+08,9.92e+08,4.184e+09,7.715e+09,-9e+06,-7e+07,2.276e+09,2.276e+09,9.991e+09,2.9e+08,4.8e+07,4.2e+07,1.14e+08,4.94e+08,-4.8e+07,1.68e+08,0,1.2e+08,-3.28e+08,1.6e+07,-3.44e+08,0,-6.36e+08,-2.2e+07,-2.2e+07,-1.1e+07,-32999999.9999998,3.6e+08,5.289e+09,4.64e+08,0.62591,0.18978,0.1764,0.12742,0.02903,1.6,1.96885,3.38972,0.52938,1.09434,0.97643,6.20377,8.58868,1.75094,0.04008,0.05422,-0.28333,-0.32692
"37","2019_Q2",59.9293650793651,"Up",1.474e+09,-5.11e+08,9.63e+08,-6.9e+08,-4.82e+08,-2.08e+08,2.73e+08,1.8e+07,1.8e+07,2.91e+08,-19000000.0000001,2.72e+08,1.1e+07,2.83e+08,2.83e+08,2.83e+08,2.83e+08,4.811e+09,2.627e+09,2.184e+09,6.16e+08,6.16e+08,9.7e+07,3.29e+08,3.29e+08,5.853e+09,7.68e+08,2.284e+09,1.739e+09,8.1e+07,4.64e+08,3.052e+09,8.905e+09,1.017e+09,4.25e+08,5.92e+08,2.84e+09,3.179e+09,9.64e+08,9.64e+08,4.143e+09,6.983e+09,-5.96046447753906e-08,-7e+07,1.922e+09,1.922e+09,8.905e+09,2.83e+08,4.9e+07,2.2e+07,-2.8e+07,3.26e+08,-6.4e+07,2.48e+08,2e+06,1.86e+08,-4.37e+08,6.3e+07,-5e+08,-1e+06,-8.12e+08,-3e+08,-3e+08,-1.4e+07,-3.14e+08,3.22e+08,5.002e+09,2.19e+08,0.65332,0.18521,0.19199,0.14724,0.03178,0.77385,2.06092,3.63319,0.56171,1.08015,1.05204,5.62595,7.33588,0.83588,0.04919,0.02776,0.59317,0.69963
"38","2019_Q3",47.9934375,"Down",1.517e+09,-5.43e+08,9.74e+08,-6.88e+08,-4.77e+08,-2.11e+08,2.86e+08,7e+06,7e+06,2.93e+08,0,2.93e+08,-5.2e+07,2.41e+08,2.41e+08,2.41e+08,2.41e+08,4.299e+09,2.359e+09,1.94e+09,7.65e+08,7.65e+08,8.6e+07,3.21e+08,3.21e+08,5.471e+09,7.7e+08,2.31e+09,1.742e+09,6.9e+07,4.99e+08,3.08e+09,8.551e+09,1.124e+09,4.72e+08,6.52e+08,3.31e+09,2.812e+09,8.99e+08,8.99e+08,3.711e+09,7.021e+09,0,-7.5e+07,1.53e+09,1.53e+09,8.551e+09,2.41e+08,4.9e+07,4.2e+07,-1.67e+08,1.65e+08,-4.3e+07,2.41e+08,-4.65661287307739e-10,1.95e+08,-5.59e+08,2000000.00000001,-5.61e+08,-1e+06,-6.17e+08,-2.57e+08,-2.57e+08,-1.1e+07,-2.68e+08,3.35e+08,4.998e+09,1.77e+08,0.64206,0.18853,0.15887,0.15752,0.02818,0.734439999999999,1.65287,4.58889,0.58449,0.93411,0.90943,5.87984,5.93023,0.68605,0.04618,0.02383,2.08657,2.44406
"39","2019_Q4",52.6821875,"Up",1.563e+09,-5.81e+08,9.82e+08,-6.71e+08,-4.68e+08,-2.03e+08,3.11e+08,8e+06,8e+06,3.19e+08,-3.72529029846191e-09,3.19e+08,-7e+07,2.49e+08,2.49e+08,2.49e+08,2.49e+08,4.049e+09,2.271e+09,1.778e+09,8.72e+08,8.72e+08,1e+08,3.4e+08,3.4e+08,5.361e+09,7.63e+08,2.294e+09,1.742e+09,5.6e+07,4.96e+08,3.057e+09,8.418e+09,1.227e+09,4.97e+08,7.3e+08,3.43e+09,2.86e+09,8.98e+08,8.98e+08,3.758e+09,7.188e+09,0,-6.8e+07,1.23e+09,1.23e+09,8.418e+09,2.49e+08,5.1e+07,4.4e+07,1.07e+08,4.51e+08,-3.1e+07,1.72e+08,-1e+06,1.4e+08,-4.97e+08,5.3e+07,-5.5e+08,-3e+06,-6.88e+08,-9.7e+07,-9.7e+07,8e+06,-8.9e+07,3.62e+08,5.063e+09,5.08e+08,0.62828,0.19898,0.15931,0.20244,0.02958,2.04016,1.56297,5.8439,0.60145,0.99203,0.97647,6.22709,4.9004,2.0239,0.04839,0.07064,2.8011,3.26045
"40","2020_Q1",47.0659677419355,"Down",1.592e+09,-5.66e+08,1.026e+09,-7.13e+08,-5.08e+08,-2.05e+08,3.13e+08,1.4e+07,1.4e+07,3.27e+08,5.7e+07,3.84e+08,1.2e+07,3.96e+08,3.96e+08,3.96e+08,3.96e+08,3.899e+09,2.325e+09,1.574e+09,1.216e+09,1.216e+09,1.31e+08,3.64e+08,3.64e+08,5.61e+09,7.59e+08,2.372e+09,1.735e+09,4.7e+07,5.9e+08,3.131e+09,8.741e+09,1.393e+09,5.42e+08,8.51e+08,3.867e+09,2.987e+09,7.97e+08,7.97e+08,3.784e+09,7.651e+09,0,-4.3e+07,1.09e+09,1.09e+09,8.741e+09,3.96e+08,4.8e+07,-2.4e+07,-2.1e+07,3.99e+08,-3.5e+07,2.15e+08,3e+06,1.83e+08,-4.97e+08,3e+06,-5e+08,-1e+06,-5.14e+08,6.8e+07,6.8e+07,-1.3e+07,5.5e+07,3.61e+08,5.461e+09,2.93e+08,0.64447,0.19661,0.24874,0.3633,0.0453,0.7399,1.45074,7.01927,0.62476,1.61633,1.60324,6.49796,4.44898,1.19592,0.06709,0.03987,4.32687,4.99042
"41","2020_Q2",39.5753968253968,"Down",1.236e+09,-4.2e+08,8.16e+08,-6.91e+08,-4.76e+08,-2.15e+08,1.25e+08,1.5e+07,1.5e+07,1.4e+08,-2.1e+07,1.19e+08,-1.6e+07,1.03e+08,1.03e+08,1.03e+08,1.03e+08,3.532e+09,2.967e+09,5.65e+08,5.42e+08,5.42e+08,1.16e+08,3.26e+08,3.26e+08,4.516e+09,7.54e+08,2.541e+09,1.77e+09,6.2e+07,7.09e+08,3.295e+09,7.811e+09,9.81e+08,3.48e+08,6.33e+08,3.175e+09,2.891e+09,8.82e+08,8.82e+08,3.773e+09,6.948e+09,0,-3.9e+07,8.63e+08,8.63e+08,7.811e+09,1.03e+08,4.9e+07,4.1e+07,1.17e+08,3.1e+08,-3.2e+07,1.027e+09,-1e+06,9.38e+08,-1.96e+08,5.4e+07,-2.5e+08,-2e+06,-6.03e+08,6.45e+08,6.45e+08,-3e+06,6.42e+08,1.74e+08,5.085e+09,2.75e+08,0.66019,0.10113,0.08333,0.11935,0.01319,2.6699,1.42236,8.05098,0.651,0.43096,0.42387,5.17155,3.61088,1.15063,0.03192,0.04026,8.92529,12.424
"42","2020_Q3",40.61578125,"Up",1.371e+09,-4.46e+08,9.25e+08,-6.67e+08,-4.58e+08,-2.09e+08,2.58e+08,3e+06,3e+06,2.61e+08,3.8e+07,2.99e+08,-5.6e+07,2.43e+08,2.43e+08,2.43e+08,2.43e+08,2.987e+09,2.545e+09,4.42e+08,7.8e+08,7.8e+08,1.11e+08,3.13e+08,3.13e+08,4.191e+09,7.46e+08,2.535e+09,1.77e+09,5.1e+07,7.14e+08,3.281e+09,7.472e+09,9.88e+08,3.82e+08,6.06e+08,3.204e+09,2.895e+09,8.37e+08,8.37e+08,3.732e+09,6.936e+09,0,-3.6e+07,5.36e+08,5.36e+08,7.472e+09,2.43e+08,5e+07,-7e+06,-3.39e+08,-5.3e+07,6e+07,1.19e+08,-1e+06,1.78e+08,-4.99e+08,999999.999999993,-5e+08,0,-5.45e+08,-4.2e+08,-4.2e+08,-2e+06,-4.22e+08,3.08e+08,5.111e+09,8.5e+07,0.67469,0.18818,0.17724,0.45336,0.03252,0.34979,1.30805,12.9403,0.68402,1.03404,1.02532,5.83404,2.28085,0.3617,0.0546,0.01311,6.8961,8.23256
"43","2020_Q4",49.70609375,"Up",1.404e+09,-4.63e+08,9.41e+08,-6.73e+08,-4.62e+08,-2.11e+08,2.68e+08,8e+06,8e+06,2.76e+08,-7.45058059692383e-09,2.76e+08,1e+06,2.77e+08,2.77e+08,2.77e+08,2.77e+08,3.008e+09,2.705e+09,3.03e+08,8.21e+08,8.21e+08,1.13e+08,2.76e+08,2.76e+08,4.218e+09,7.4e+08,2.525e+09,1.77e+09,4.3e+07,7.12e+08,3.265e+09,7.483e+09,1.041e+09,3.81e+08,6.6e+08,3.529e+09,2.924e+09,7.48e+08,7.48e+08,3.672e+09,7.201e+09,1.86264514923096e-09,-3.9e+07,2.82e+08,2.82e+08,7.483e+09,2.77e+08,4.7e+07,4.6e+07,5e+07,4.2e+08,-3.2e+07,1.42e+08,1e+06,1.11e+08,-4.53e+08,4.7e+07,-5e+08,-2e+06,-3.72e+08,1.59e+08,1.59e+08,1e+06,1.6e+08,3.15e+08,5.412e+09,3.32e+08,0.67023,0.19088,0.19729,0.98227,0.03702,1.19856,1.19524,25.53546,0.72324,1.23111,1.21491,6.24,1.25333,1.47556,0.05976,0.05154,7.63175,8.97015
"44","2021_Q1",63.7362295081967,"Up",1.401e+09,-4.6e+08,9.41e+08,-6.64e+08,-4.52e+08,-2.12e+08,2.77e+08,-2.7e+07,-2.7e+07,2.5e+08,0,2.5e+08,-5.4e+07,1.96e+08,1.96e+08,1.96e+08,1.96e+08,2.882e+09,2.658e+09,2.24e+08,9.73e+08,9.73e+08,1.45e+08,2.74e+08,2.74e+08,4.274e+09,7.27e+08,2.521e+09,1.778e+09,4.4e+07,6.99e+08,3.248e+09,7.522e+09,1.2e+09,4.26e+08,7.74e+08,3.616e+09,2.95e+09,7.14e+08,7.14e+08,3.664e+09,7.28e+09,0,-4.2e+07,2.42e+08,2.42e+08,7.522e+09,1.96e+08,4.7e+07,7e+07,69999999.9999999,3.83e+08,-2.4e+07,8.2e+07,1e+06,4.2e+07,-1.61e+08,1.49011611938477e-08,-1.61e+08,-8.1e+07,-4.4e+08,-1.5e+07,-1.5e+07,-3e+07,-4.5e+07,3.24e+08,5.366e+09,4.24e+08,0.67166,0.19772,0.1399,0.80992,0.02606,2.16327,1.18197,30.08264,0.71337,0.88688,0.875,6.33937,1.09502,1.91855,0.04761,0.06707,7.66667,8.96751
"45","2021_Q2",74.5387301587302,"Up",1.303e+09,-4.31e+08,8.72e+08,-7.23e+08,-4.9e+08,-2.33e+08,1.49e+08,-3.2e+07,-3.2e+07,1.17e+08,-1.3e+07,1.04e+08,-2.7e+07,7.7e+07,7.7e+07,7.7e+07,7.7e+07,4.596e+09,4.529e+09,6.7e+07,9.45e+08,9.45e+08,1.14e+08,3.46e+08,3.46e+08,6.001e+09,5.25e+08,2.834e+09,2.039e+09,1.01e+08,6.94e+08,3.359e+09,9.36e+09,1.39e+09,4.2e+08,9.7e+08,3.452e+09,2.632e+09,2.591e+09,6.5e+08,5.223e+09,8.675e+09,2.11e+08,-3e+07,6.85e+08,6.85e+08,9.36e+09,7.7e+07,4.9e+07,9.2e+07,2.2e+07,2.4e+08,-4.6e+07,8.5e+07,5941216.61207275,-3.11e+08,4.8e+07,4.8e+07,16462502.8273164,-3.6e+07,1.003e+09,9.32e+08,9.32e+08,4.3e+07,9.75e+08,1.98e+08,2.632e+09,2.01e+08,0.66922,0.11435,0.05909,0.11241,0.00823,2.61039,1.73841,12.66423,0.2812,0.34842,0.34685,5.89593,0.819,0.9095,0.03114,0.03402,-9.91919,-13.18121
"46","2021_Q3",81.0659375,"Up",1.416e+09,-4.83e+08,9.33e+08,-7.11e+08,-4.99e+08,-2.12e+08,2.22e+08,-7e+06,-7e+06,2.15e+08,-4e+07,1.75e+08,-3.8e+07,1.37e+08,1.37e+08,1.37e+08,1.37e+08,3.646e+09,3.529e+09,1.17e+08,7.96e+08,7.96e+08,1.16e+08,2.63e+08,2.63e+08,4.821e+09,7.37e+08,2.862e+09,2.039e+09,1.25e+08,6.98e+08,3.599e+09,8.42e+09,1.105e+09,3.67e+08,7.38e+08,2.92e+09,4.467e+09,6.63e+08,6.63e+08,5.13e+09,8.05e+09,3e+07,-3.2e+07,3.7e+08,3.7e+08,8.42e+09,1.37e+08,5.6e+07,6.5e+07,-9.7e+07,1.61e+08,-4e+07,2.2e+07,8e+06,-1e+07,1e+06,999999.999999985,10885874.4707631,-1e+06,-2.57e+08,-1.06e+08,-1.06e+08,1e+06,-1.05e+08,2.78e+08,6.282e+09,1.79e+08,0.6589,0.15678,0.09675,0.37027,0.01627,1.30657,1.65103,21.75676,0.74608,0.61435,0.61161,6.34978,1.65919,0.80269,0.03336,0.02447,9.48201,11.87387
"47","2021_Q4",86.9971875,"Up",1.47e+09,-4.95e+08,9.75e+08,-7.14e+08,-4.99e+08,-2.15e+08,2.61e+08,-1.1e+07,-1.1e+07,2.5e+08,-3e+06,2.47e+08,-6.5e+07,1.82e+08,1.82e+08,1.82e+08,1.82e+08,3.894e+09,3.808e+09,8.6e+07,7.99e+08,7.99e+08,1.06e+08,3.15e+08,3.15e+08,5.114e+09,7.31e+08,2.841e+09,2.039e+09,1.1e+08,6.92e+08,3.572e+09,8.686e+09,1.097e+09,3.36e+08,7.61e+08,3.05e+09,2.632e+09,2.526e+09,6.51e+08,5.158e+09,8.208e+09,5.6e+07,-3.4e+07,4.78e+08,4.78e+08,8.686e+09,1.82e+08,5.4e+07,6.4e+07,7.3e+07,3.73e+08,-3.2e+07,3.3e+07,0,1e+06,-7e+06,4.3e+07,-5e+07,-8e+06,-1.22e+08,2.52e+08,2.52e+08,2.6e+07,2.78e+08,3.15e+08,4.585e+09,4.21e+08,0.66327,0.17755,0.12381,0.38075,0.02095,2.31319,1.67672,17.17155,0.52786,0.81982,0.79476,6.62162,2.15315,1.8964,0.03808,0.05548,2.19365,2.64751
