"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"29","2018_Q1",21.1377049180328,"Down",47889000,-44725000,3164000,-11345000,-7119000,-4226000,-8181000,-1798000,-2315000,517000,-9979000,-9979000,0,-9979000,-9979000,-9979000,-8e+05,-10779000,49294000,49294000,68521000,68521000,74496000,11199000,11199000,203510000,43565000,136711000,123044000,180276000,383786000,60997000,42616000,18381000,28281000,8800000,7964000,836000,98078000,82674000,18915000,63759000,96895000,194973000,87557000,1045204000,-280000,-943533000,-135000,188813000,188813000,383786000,-9979000,2016000,2328000,-8389000,-14024000,-1882000,-6930000,-8812000,-1104000,38807000,38807000,-1155000,36548000,13712000,13712000,-32000,13680000,-6165000,42502000,-16436000,0.06607,-0.17083,-0.22508,-0.05709,-0.02809,1.52482,2.07498,1.03262,0.11074,-2.08516,-2.08516,9.26395,19.5876,-3.17948,-0.03433,1.1017,0.83022
"30","2018_Q2",21.89625,"Up",38613000,-33978000,4635000,-10188000,-6142000,-4046000,-5553000,-1665000,-2141000,476000,-7218000,-7218000,3035000,-4183000,-4183000,-4183000,-4263000,-8446000,76776000,76776000,44081000,44081000,59868000,12797000,12797000,193522000,44093000,137259000,123592000,181352000,374874000,59342000,37829000,21513000,23513000,11294000,10429000,865000,94149000,78661000,18364000,60297000,93673000,187822000,79988000,1055162000,-280000,-947716000,-102000,187052000,187052000,374874000,-4183000,2128000,-338000,42390000,39997000,-2816000,-4577000,-7393000,-6253000,2647000,2647000,-1048000,-4654000,27950000,27950000,33000,27983000,-3425000,38525000,33114000,0.12004,-0.14381,-0.21873,-0.04515,-0.02253,-3.92067,2.05549,1.00412,0.10277,-1.40774,-1.40774,6.43586,17.84499,5.51931,-0.02776,11.16818,6.88835
"31","2018_Q3",14.4133333333333,"Down",20830000,-21459000,-629000,-12106000,-7085000,-5021000,-12735000,-439000,-2059000,1620000,-13174000,-13174000,0,-13174000,-13174000,-13174000,-4999000,-18173000,66973000,66973000,46189000,46189000,55255000,13187000,13187000,181604000,44667000,141348000,127681000,186015000,367619000,57544000,42813000,14731000,10094000,10261000,9424000,837000,77899000,100645000,17841000,82804000,115470000,193369000,71959000,1063509000,-447000,-960890000,119000,174250000,174250000,367619000,-13174000,2174000,1407000,11511000,1918000,-2690000,-17172000,-19862000,-4666000,621000,621000,11691000,7646000,-10298000,-10298000,54000,-10244000,-10561000,24919000,-1740000,-0.0302,-0.61138,-0.87244,-0.10429,-0.04943,0.09575,2.33128,1.10972,0.06778,-2.74201,-2.74201,3.14291,15.43405,-0.26254,-0.06061,3.98201,3.30224
"32","2018_Q4",9.53,"Down",12110000,-14166000,-2056000,-12418000,-6100000,-6318000,-14474000,-1392000,-2434000,1042000,-15866000,-15866000,-15000.0000000005,-15881000,-15881000,-15881000,-1739000,-17620000,48663000,48663000,39430000,39430000,60114000,14344000,14344000,162551000,46176000,149469000,135802000,195645000,358196000,58587000,44133000,14454000,14494000,10528000,9703000,825000,83609000,94596000,17317000,77279000,109505000,193114000,69574000,1072735000,-447000,-976771000,-9000.00000000003,165082000,165082000,358196000,-15881000,2223000,2599000,-1510000,-12569000,-2119000,-6662000,-8781000,-2161000,6745000,6745000,-1038000,3546000,-17804000,-17804000,-128000,-17932000,-12251000,29403000,-15865000,-0.16978,-1.19521,-1.455,-0.10673,-0.04919,0.9004,1.94418,1.16981,0.08209,-2.45111,-2.45111,1.68462,13.28607,-2.20697,-0.06095,1.57212,1.33066
"33","2019_Q1",5.75409836065574,"Down",17884000,-16741000,1143000,-13013000,-5581000,-7432000,-11870000,-2221000,-2421000,2e+05,-14091000,-14091000,-5000,-14096000,-14096000,-14096000,-3833000,-17929000,39291000,39291000,23039000,23039000,53575000,14398000,14398000,130303000,48204000,161914000,148247000,210118000,340421000,30226000,22594000,7632000,17596000,12299000,11347000,952000,60121000,88412000,16793000,71619000,103377000,163498000,94729000,1073464000,-363000,-990867000,-40000,176923000,176923000,340421000,-14096000,2123000,3089000,-4140000,-13024000,-2403000,-12821000,-15224000,-3536000,25759000,25759000,-1044000,21179000,-7069000,-7069000,53000,-7016000,-9747000,32561000,-16285000,0.06391,-0.66372,-1.00252,-0.10134,-0.05267,0.9083,2.16735,0.92412,0.09565,-2.31108,-2.31108,2.30528,10.59494,-2.09916,-0.06019,0.69047,0.56698
"34","2019_Q2",1.79142857142857,"Down",17783000,-19988000,-2205000,-13039000,-6759000,-6280000,-15244000,-2304000,-2464000,160000,-17548000,-17548000,0,-17548000,-17548000,-17548000,-15490000,-33038000,27750000,27750000,8321000,8321000,54802000,26261000,26261000,117134000,47405000,181416000,167749000,228821000,345955000,30956000,19905000,11051000,38869000,18164000,17213000,951000,87989000,89652000,22769000,66883000,104934000,192923000,94178000,1074319000,-363000,-1015069000,-33000,153032000,153032000,345955000,-17548000,2199000,2753000,638000,-11958000,-1591000,-12633000,-14224000,-1610000,31000.0000000037,31000.0000000037,15729000,14150000,-12032000,-12032000,7000,-12025000,-13045000,54151000,-13998000,-0.12399,-0.85722,-1.85784,-0.21589,-0.0955,0.42369,1.33123,1.26067,0.15653,-3.97169,-3.97169,2.1378,7.07518,-1.68278,-0.1113,-2.02384,-1.73189
"35","2019_Q3",0.395,"Down",9216000,-12856000,-3640000,-13983000,-9805000,-4178000,-17623000,-1838000,-1807000,-31000,-19461000,-19461000,-69000,-19530000,-19530000,-19530000,-3346000,-22876000,14889000,14889000,11842000,11842000,57043000,20489000,20489000,104263000,43560000,193404000,179737000,236964000,341227000,38764000,27810000,10954000,54815000,17261000,16331000,930000,110840000,82045000,22470000,59575000,96987000,207827000,83565000,1084970000,-466000,-1034599000,-70000,133400000,133400000,341227000,-19530000,2199000,4425000,6667000,-6239000,-5e+05,-14642000,-15142000,-3181000,0,0,9470000,6289000,-15092000,-15092000,-140000,-15232000,-15424000,69757000,-9188000,-0.39497,-1.91222,-2.4822,-0.17148,-0.06704,0.40164,0.94066,1.55792,0.20443,-2.07058,-2.07058,0.83417,4.51072,-0.83163,-0.08021,-3.55731,-3.11343
"36","2019_Q4",0.58015625,"Up",22712000,-14747000,7965000,-9035000,-7058000,-1977000,-1070000,-4221000,-3536000,-685000,-5291000,-5291000,-20000,-5311000,-5311000,-5311000,-3017000,-8328000,16018000,16018000,3705000,3705000,59830000,16821000,16821000,96374000,42406000,222654000,196991000,265060000,361434000,38832000,30250000,8582000,43416000,16600000,15650000,950000,98848000,101886000,22190000,79696000,117819000,216667000,59884000,1125224000,-466000,-1039910000,35000,144767000,144767000,361434000,-5311000,3921000,3990000,-2710000,-110000,169000,-30076000,-29907000,-18239000,15416000,15416000,25552000,22729000,-7288000,-7288000,105000,-7183000,2851000,59349000,330000,0.3507,-0.0471099999999995,-0.36668,-0.05753,-0.02304,-0.0396300000000001,0.97497,1.49666,0.1642,-0.1832,-0.1832,0.49962,1.86725,0.00726000000000016,-0.02722,15.19853,-40.49626
"37","2020_Q1",1.8808064516129,"Up",11041000,-34430000,-23389000,-9603000,-8252000,-1351000,-32992000,-2167000,-2816000,649000,-35159000,-35159000,-20000,-35179000,-35179000,-35179000,-824000,-36003000,9434000,9434000,3292000,3292000,54515000,17078000,17078000,84319000,41134000,207993000,182654000,249127000,333446000,28395000,16943000,11452000,21916000,12421000,11471000,950000,62732000,118845000,28705000,90140000,135120000,197852000,59857000,1151473000,-466000,-1075089000,-181000,135594000,135594000,333446000,-35179000,4034000,19228000,-348000,-12265000,-229000,25676000,-10027000,44231000,28149000,28149000,-55893000,16487000,-5805000,-5805000,-216000,-6021000,-28958000,38191000,-29515000,-2.11838,-2.98814,-3.26085,-0.26552,-0.10797,0.81979,1.34411,1.45915,0.11453,-0.23153,-0.23153,0.071,0.48706,-0.18981,-0.12303,-0.99306,-0.87164
"38","2020_Q2",2.05428571428571,"Up",16264000,-12983000,3281000,-6421000,-5266000,-1155000,-3139999.99999999,-2746000,-3277000,531000,-5885999.99999999,-40131000,-20000,-40151000,-40151000,-40151000,-931000,-41082000,38254000,38254000,5593000,5593000,58433000,22506000,22506000,124786000,39794000,226819000,201805000,266613000,391399000,23075000,14117000,8958000,8660000,17435000,15341000,2094000,49170000,201067000,29797000,171270000,217788000,266958000,59857000,1180520000,-437000,-1115240000,-259000,124441000,124441000,391399000,-40151000,4630000,36018000,-7003000,-6506000,-64000.0000000001,-8235000,-8299000,-15535000,3502000,3502000,61022000,48989000,34184000,34184000,-48999.9999999999,34135000,1490000,25381000,-5557000,0.20173,-0.19306,-2.52595,-0.33013,-0.10496,0.13527,2.53785,2.14526,0.06485,-0.20316,-0.20316,0.08043,0.31938,-0.02748,-0.11708,-8.6396,4.09968
"39","2020_Q3",2.6540625,"Up",18880000,-18713000,167000,-8309000,-7168000,-1141000,-8142000,-3244000,-3584000,340000,-11386000,-14758000,-11000,-14769000,-14769000,-14769000,-8e+05,-15569000,29087000,29087000,6117000,6117000,54945000,21229000,21229000,111378000,38530000,244733000,220043000,283263000,394641000,24472000,13567000,10905000,13834000,14298000,12629000,1669000,52604000,216444000,29907000,186537000,232864000,285468000,59857000,1180063000,-437000,-1130009000,-301000,109173000,109173000,394641000,-14769000,4472000,5683000,-3599000,-8213000,9000,-6009000,-6e+06,81883000,0,0,-68122000,13761000,-452000,-452000,-42000,-494000,-3670000,30254000,-7249000,0.00885,-0.43125,-0.82463,-0.14261,-0.03945,0.4656,2.11729,2.61482,0.07666,-0.07382,-0.07382,0.08952,0.23383,-0.03437,-0.04375,-0.31798,-0.14333
"40","2020_Q4",5.4515625,"Up",18728000,-21856000,-3128000,-7634000,-6607000,-1027000,-10762000,-4666000,-4165000,-501000,-15428000,-15321000,-10000,-15331000,-15331000,-15331000,-8e+05,-16131000,66284000,66284000,7364000,7364000,51502000,21644000,21644000,146794000,37301000,252674000,228308000,289975000,436769000,25029000,10407000,14622000,17692000,11920000,10100000,1820000,54641000,208381000,31026000,177355000,225946000,280587000,59857000,1242542000,-403000,-1145340000,-474000,156182000,156182000,436769000,-15331000,4726000,2955000,-2208000,-9858000,-105000,-9860000,-9965000,-6382000.00000003,61240000,61240000,-1035000,53823000,3.4e+07,3.4e+07,-139000,33861000,-6036000,35257000,-8339000,-0.16702,-0.57465,-0.86133,-0.10328,-0.03693,0.51695,2.68652,1.79654,0.08072,-0.07398,-0.07398,0.08589,0.44176,-0.03824,-0.04035,5.14032,2.88301
"41","2021_Q1",17.8559016393443,"Up",16999000,-25044000,-8045000,-9077000,-7603000,-1474000,-17122000,-3954000,-4268000,314000,-21076000,-18851000,-5000,-18856000,-18856000,-18856000,-8e+05,-19656000,149867000,149867000,9563000,9563000,50971000,23580000,23580000,233981000,36331000,253226000,229184000,289557000,523538000,25257000,9576000,15681000,21366000,12276000,10399000,1877000,58899000,191969000,31501000,160468000,210234000,269133000,59857000,1359483000,-432000,-1164196000,-307000,254405000,254405000,523538000,-18856000,5549000,3432000,-2329000,-12204000,-222000,-7423000,-8256000,-2326000,108457000,108457000,-1037000,105094000,84634000,84634000,138000,84772000,-11573000,39631000,-14119000,-0.47326,-1.00724,-1.1563,-0.07726,-0.03754,0.7183,3.97258,1.05789,0.0757,-0.07658,-0.07658,0.06623,0.75797,-0.05501,-0.04044,9.52527,6.43827
"42","2021_Q2",9.7384126984127,"Down",14877000,-18495000,-3618000,-10755000,-8932000,-1823000,-14373000,-3523000,-2545000,-978000,-17896000,-45960000,3481.07344614229,-45960000,-45960000,-45960000,-8e+05,-46760000,178570000,178570000,10021000,10021000,61901000,27917000,27917000,278409000,35304000,238681000,214963000,273985000,552394000,18797000,8034000,10763000,14594000,19683000,18728000,955000,53074000,111957000,25579000,86378000,111957000,165031000,59857000,1538343000,-462000,-1210156000,-219000,387363000,387363000,552394000,-45960000,5604000,28617000,-18578000,-30317000,-204000,-4387000,-4591000,-103833000,157025000,157025000,-8e+05,52392000,17484000,17484000,58000,17542000,-8769000,14594000,-12399612.2346443,-0.24319,-0.96612,-3.14311,-0.12071,-0.08465,0.449297603305755,5.24568,0.42604,0.02642,-0.14982,-0.14982,0.04767,1.04933,-0.0455253381253985,-0.09099,18.69951,11.40861
"43","2021_Q3",6.62125,"Down",13953000,-18709000,-4756000,-12634000,-9670000,-2964000,-17390000,-1531000,-1563000,32000,-18921000,-18921000,4000,-18917000,-18917000,-18917000,-8e+05,-19717000,139086000,139086000,12147000,12147000,58920000,35404000,35404000,245557000,35417000,254617000,231224000,290034000,535591000,29303000,15884000,13419000,8575000,18339000,17464000,875000,56217000,110468000,26698000,83770000,110468000,166685000,59857000,1538863000,-503000,-1229073000,-238000,368906000,368906000,535591000,-18917000,4808000,1784000,1480000,-10845000,-756000,-16825000,-17581000,-9377000,251000,251000,-8e+05,-9926000,-38352000,-38352000,-60000,-38412000,-12582000,8575000,-11862000,-0.34086,-1.24633,-1.4131,-0.05345,-0.03681,0.60161,4.36802,0.45184,0.01601,-0.06317,-0.06317,0.04471,0.99019,-0.03801,-0.04041,10.37283,7.50495
"44","2021_Q4",7.8546875,"Up",26820000,-25720000,1100000,-11685000,-8662000,-3023000,-10585000,-1405000,-1554000,149000,-11990000,-11990000,-7000,-11997000,-11997000,-11997000,-8e+05,-12797000,468565000,468565000,14182000,14182000,60413000,31072000,31072000,574232000,35961000,269439000,246370000,305400000,879632000,24424000,10893000,13531000,9154000,9404000,8454000,950000,42982000,110562000,28969000,81593000,110562000,153544000,59857000,1908048000,-544000,-1241070000,-203000,726088000,726088000,879632000,-11997000,4509000,1663000,-13598000,-19423000,-1947000,-20089000,-22036000,-2282000,368844000,368844000,-2259000,364303000,322844000,322844000,-5999.99999999999,322838000,-6076000,9154000,-21614000,0.04101,-0.39467,-0.47714,-0.01762,-0.01455,1.68899,13.35983,0.21147,0.01041,-0.0395,-0.0395,0.08278,2.05637,-0.06671,-0.01513,75.61076,43.40208
"45","2022_Q1",5.28161290322581,"Down",13935000,-22300000,-8365000,-14189000,-10684000,-3505000,-22554000,-1598000,-1701000,103000,-24152000,-24152000,1000,-24151000,-24151000,-24181000,-8e+05,-24981000,432213000,432213000,14730000,14730000,67074000,29369000,29369000,543386000,39416000,292446000,269701000,331862000,875248000,35366000,19267000,16099000,10085000,7319000,6287000,1032000,52770000,117153000,30427000,86726000,117153000,169923000,59857000,1908508000,-586000,-1265251000,-233000,702295000,705325000,875248000,-24151000,4951000,10592000,-1245000,-9853000,-3446000,-25576000,-29022000,1484000,698000,698000,2957000,5139000,-33736000,-33736000,-72000,-33808000,-17603000,10085000,-22295000,-0.60029,-1.61851,-1.79268,-0.03542,-0.02854,0.89248,10.29725,0.24091,0.01152,-0.07711,-0.07711,0.04301,1.98293,-0.06882,-0.03,23.98046,18.71633
"46","2022_Q2",4.20274193548387,"Down",31795000,-34690000,-2895000,-41949000,-36965000,-4984000,-44844000,-1276000,-1428000,152000,-46120000,-46120000,53586.9164437296,-46120000,-46120000,-40624000,-8e+05,-41424000,376963000,376963000,30702000,30702000,65386000,35965000,35965000,509016000,41124000,304551000,282130000,345675000,854691000,48288000,22300000,25988000,9722000,17250000,16237000,1013000,75260000,107388000,18277000,89111000,107388000,182648000,59857000,1909018000,-650000,-1305875000,-260000,662090000,672043000,854691000,-46120000,5771000,3137000,-10542000,-47754000,-5331000,-10435000,-15766000,-2530000,26000,26000,11334000,8829999.99999994,-54689999.9999999,-54689999.9999999,-91000,-54781000,-39073000,9722000,1335178.83563969,-0.0910499999999999,-1.41041,-1.30285,-0.06164,-0.04847,-4.12451162244453,6.76343,0.27178,0.01137,-0.11297,-0.11297,0.08671,1.64245,0.00441843184227304,-0.05249,9.39884,8.1893
"47","2022_Q3",3.98953125,"Down",16384000,-23694000,-7310000,-20907000,-13234000,-7673000,-28217000,-1909000,-1707000,-202000,-30126000,-30126000,172760.749331189,-30126000,-30126000,-30217000,-8e+05,-31017000,467774000,467774000,15466000,15466000,82878000,29108000,29108000,595226000,44767000,306223000,284127000,350990000,946216000,43535000,19524000,24011000,9919000,26848000,25902000,946000,80302000,105510000,18277000,87233000,105510000,185812000,59857000,2028245000,-718000,-1336092000,-341000,750951000,760404000,946216000,-30126000,5332000,3073000,4768000,-16953000,-5064000,-8258000,-13322000,-2327000,118264000,118264000,-1392000,114545000,84270000,84270000,-149000,84121000,-22885000,9919000,61520036.5069191,-0.44617,-1.72223,-1.89313,-0.04079,-0.03278,-15.3477648673336,7.41234,0.24436,0.01048,-0.08324,-0.08324,0.04397,1.85471,0.191547795526819,-0.03541,20.00677,16.22621
