"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"35","2019_Q2",5.98634920634921,"Down",9216000,-26132000,-14110000,-12022000,-17469000,-4328000,-5117000,789000,-21797000,-21797000,-21797000,-21797000,-21797000,-21797000,133145000,45778000,87367000,4390000,4390000,4686000,4686000,146827000,15475000,96214000,44543000,1993000,111689000,258516000,24674000,13874000,10800000,28221000,32070000,1433000,275982000,304203000,1451471000,-3817000,-1493374000,33000,-45687000,-45687000,258516000,-21797000,901000,3757000,-8481000,-25620000,-70000,-7656000,-7726000,-321000,-941000,-941000,-1262000,-34608000,-34608000,-34608000,-16568000,245027000,-1.89551,-2.36513,0.47709,-0.08432,5.20276,-6.65841,0.94782,-0.20553,-0.20553,0.0869,-0.43079,-0.09419,-6.7529,-6.4046
"36","2019_Q3",3.09609375,"Down",9682000,-26900000,-14263000,-12637000,-18545000,-4473000,-5164000,691000,-23018000,-23018000,-23018000,-23018000,-23018000,-23018000,105977000,11106000,94871000,5580000,5580000,6625000,6625000,122459000,15007000,95677000,44543000,1898000,110684000,233143000,19111000,10028000,9083000,22469000,31607000,1325000,275560000,298029000,1455237000,-3817000,-1516392000,86000,-64886000,-64886000,233143000,-23018000,910000,4128000,-8920000,-26900000,1.16415321826935e-10,-7449999.99999999,-7450000.00000001,-322000,2.3283064365387e-10,-2.3283064365387e-10,-322000,-34672000,-34672000,-34672000,-17635000,245068000,-1.91541,-2.3774,0.35475,-0.09873,5.45013,-4.59312,1.05115,-0.21659,-0.21659,0.0910999999999999,-0.61055,-0.10868,-7.88721,-7.50019
"37","2019_Q4",3.8490625,"Up",294448000,-69195000,-13898000,-26659000,224676000,-4604000,-5204000,6e+05,220072000,220072000,226086000,226086000,226086000,226086000,296304000,170203000,126101000,56841000,56841000,5973000,5973000,363594000,14540000,66454000,44543000,1754000,80994000,444588000,32418000,20907000,11511000,44824000,1215000,1215000,235052000,279876000,1458799000,-3817000,-1290306000,36000,164712000,164712000,444588000,226086000,908000,26565000,-62861000,190698000,0,-31281000,-31281000,-320000,0,0,-320000,159097000,159097000,159097000,225584000,245126000,0.76304,0.76783,1.37261,0.50853,8.11159,1.69918,0.55136,2.12743,1.63952,2.7707,1.54991,0.55002,-0.22687,-0.22779
"38","2020_Q1",2.97612903225806,"Down",8727000,-26532000,-14564000,-40606000,-18579000,-3921000,-5191000,1270000,-22500000,-51138000,-51138000,-51138000,-51138000,-51138000,271659000,36112000,235547000,56532000,56532000,5320000,5320000,337754000,14047000,65914000,44543000,1655000,79961000,417715000,54329000,12178000,42151000,65341000,1102000,1102000,235273000,300614000,1462278000,-3817000,-1341444000,84000,117101000,117101000,417715000,-51138000,935000,3857000,21975000,-24371000,0,-109398000,-109398000,-322000,0,-5.82076609134674e-11,-322000.000000001,-134091000,-134091000,-134091000,-17644000,245183000,-2.12891,-5.85975,-0.4367,-0.12242,5.1691,2.56713,0.58696,-0.43797,-0.43797,0.0747399999999998,1.0029,-0.14073,1.50057,1.42505
"39","2020_Q2",1.95952380952381,"Down",7999000,-69869000,-14688000,-55181000,-62438000,-4173000,-5131000,958000,-66611000,-66611000,-66611000,-66611000,-66611000,-66611000,249137000,55592000,193545000,30135000,30135000,8195000,8195000,291614000,13582000,65371000,44543000,1553000,78953000,370567000,69585000,18236000,51349000,80319000,983000,983000,235471000,315790000,1466712000,-4740000,-1408055000,860000,54777000,54777000,370567000,-66611000,906000,4794000,38857000,-22054000,84769667.7262803,42778000,42778000,-321000,-923000,-923000,-1244000,19480000,19480000,19480000,-61532000,245222000,-7.80573,-8.32742,-1.21604,-0.17975,3.6307,5.76501,0.66175,-0.62524,-0.62524,0.07508,0.51416,-0.22131,0.06363,0.0627
"40","2020_Q3",1.78015625,"Down",9163000,-71414000,-14113000,-57301000,-62979000,-4492000,-5125000,633000,-67471000,-69071000,-69071000,-69071000,-69071000,-69071000,201866000,86943000,114923000,30876000,30876000,9461000,9461000,246192000,11524000,64824000,44543000,1448000,76348000,322540000,87101000,29763000,57338000,97558000,862000,862000,235669000,333227000,1470970000,-4843000,-1477126000,312000,-10687000,-10687000,322540000,-69071000,9e+05,6222000,15651000,-46298000,179454074.807635,78074000,78074000,-322000,-102999.999999999,-103000,-425000,31351000,31351000,31351000,-62079000,245264000,-6.87319,-7.53803,6.46309,-0.21415,2.52354,-31.18059,0.76041,-0.64509,-0.64509,0.0855800000000001,-0.0998099999999998,-0.29337,-0.69908,-0.68909
"41","2020_Q4",1.90734375,"Up",6634000,-52144000,-11997000,-40147000,-46143000,-3817000,-4118000,301000,-49960000,82603000,82603000,82603000,82603000,82603000,111446000,52251000,59195000,1383000,1383000,9109000,9109000,121938000,11106000,45884000,44543000,1341000,56990000,178928000,70231000,11734000,58497000,78922000,738000,738000,12367000,91289000,1486970000,-4843000,-1394523000,35000,87639000,87639000,178928000,82603000,784000,-130390000,6625000,-40378000,160352000,55451000,215803000,-210117000,0,0,-210117000,-34692000,-34692000,-34692000,-45359000,20320000,-6.95553,12.45146,0.94254,0.46165,1.54504,1.04165,0.11357,0.76973,0.76973,0.06182,0.81666,0.75994,2.00899,1.97486
"42","2021_Q1",6.92409836065574,"Up",199000,-7424000,-6432000,-992000,-7225000.00000001,705000,-170000,875000,-6520000,-5495000,-5495000.00000003,-5495000.00000003,-5495000.00000003,-5495000.00000003,152275000,126263000,26012000,395000.000000004,395000.000000004,5049000,5049000,157719000,295000,45774000,44543000,1231000,46069000,203788000,35160000,5469000,29691000,46806000,611000,611000,611000,47417000,1561238000,-4843000,-1400018000,-5999.99999999999,156371000,156371000,203788000,-5495000.00000003,344000,133551000,-162639000,-34239000,10959000,33142000,44100999.9999999,-5820000,69970000,1.16415321826935e-10,64150000,74012000,74012000,74012000,-6881000,11646000,-36.30653,-27.61307,-0.0351400000000003,-0.02696,3.36963,0.303230000000002,0.05715,-0.04488,-0.04488,0.00163,1.2771,-0.0325900000000002,20.43729,19.46422
"43","2021_Q2",4.81603174603175,"Down",27000,-20866000,-8257000,-12609000,-20839000,-119000,-167000,48000,-20958000,-20958000,-20958000,-20958000,-20958000,-20958000,141361000,97652000,43709000,101000,101000,3954000,3954000,145416000,296000,47548000,44543000,3005000,47844000,193260000,27335000,4926000,22409000,38995000,1718000,1718000,1718000,40713000,1581036000,-7518000,-1420976000,5000,152547000,152547000,193260000,-20958000,37000,2865000,-7103000,-25159000,-37999.9999999851,-17686000,-17724000,135687886.694442,14272000,-2675000,14272000,-28611000,-28611000,-28611000,-20802000,11660000,-771.81481,-776.22222,-0.13739,-0.10844,3.72909,0.26689,0.06033,-0.14617,-0.14617,0.00019,1.06394,-0.12631,6.23503,6.22396
"44","2021_Q3",4.1040625,"Down",234000,-18193000,-7936000,-10257000,-17959000,-108000,-169000,61000,-18067000,-18067000,-18067000,-18067000,-18067000,-18067000,118501000,89887000,28614000,159000,159000,4598000,4598000,123258000,1201000,47213000,44543000,2670000,48414000,171672000,21140000,8545000,12595000,32815000,1624000,1624000,1624000,34439000,1583799000,-7518000,-1439043000,-5000,137233000,137233000,171672000,-18067000,42000,2801000,-6656000,-21880000,-947000,15085000,14138000,115876876.185641,-23000.0000000075,0,-22999.9999999851,-7765000,-7765000,-7765000,-17917000,11675000,-76.7478600000001,-77.2094000000001,-0.13165,-0.10524,3.75615,0.25095,0.06801,-0.12507,-0.12507,0.00162,0.95001,-0.12002,5.96227,5.94833
"45","2021_Q4",4.8571875,"Up",23000,-22985000,-7303000,-15682000,-22962000,-160000,-171000,11000,-23122000,-23122000,-23122000,-23122000,-23122000,-23122000,120918000,92118000,28800000,23000,23000,3064000,3064000,124005000,1311000,47014000,44543000,2471000,48325000,172330000,22553000,8345000,14208000,34246000,1481000,1481000,1481000,35727000,1606292000,-7518000,-1462165000,-6000,136603000,136603000,172330000,-23122000,101000,2729000,3142000,-17150000,-212999.999999999,-187000,-4e+05,33747427.5840183,19781000,0,19781000,2231000,2231000,2231000,-22861000,11693000,-998.34783,-1005.30435,-0.16926,-0.13417,3.62101,0.26154,0.06785,-0.15854,-0.15854,0.00016,0.93666,-0.15438,4.77779,4.75677
"46","2022_Q1",2.77193548387097,"Down",14000,-25344000,-8846000,-16498000,-25330000,-281000,-295000,14000,-25611000,-25611000,-25611000,-25611000,-25611000,-25611000,86743000,64065000,22678000,14000,14000,2164000,2164000,88921000,1176000,46812000,44543000,2269000,47988000,136909000,22124000,9152000,12972000,22124000,1190000,1190000,1190000,23314000,1608899000,-7518000,-1487776000,-10000,113595000,113595000,136909000,-25611000,112000,2285000,386000,-22828000,-23000,6119000,6096000,-11700000.0000001,379000,5.82076609134674e-11,-11321000,-28053000,-28053000,-28053000,-25218000,0,-1809.28571,-1829.35714,-0.22546,-0.18707,4.01921,0.20524,0,-0.17119,-0.17119,9e-05,0.75929,-0.22312,3.43973,3.42452
"47","2022_Q2",1.90790322580645,"Down",37000,-23417000,-8491000,-14926000,-23380000,-96000,-110000,14000,-23476000,-23476000,-23476000,-23476000,-23476000,-23476000,86502000,59520000,26982000,37000,37000,1892000,1892000,88431000,1142000,46605000,44543000,2062000,47747000,136178000,18905000,9321000,9584000,18905000,1098000,1098000,24575000,43480000,1606048000,-2061000,-1511252000,-37000,92698000,92698000,136178000,-23476000,109000,2797000,-2851000,-23421000,-76000.0000000001,-4332000,-4408000,24148000,-864000,-864000,23284000,-4545000,-4545000,-4545000,-23271000,23477000,-631.89189,-634.48649,-0.25325,-0.17239,4.67765,0.46905,0.1724,-0.1574,-0.1574,0.00025,0.62151,-0.20018,2.70831,2.69568
"48","2022_Q3",2.7678125,"Up",35000,-24042000,-10686000,-13356000,-24007000,-580000,-703000,123000,-24587000,-24587000,-24587000,-24587000,-24587000,-24587000,61968000,21450000,40518000,34000,34000,2896000,2896000,64898000,1035000,46392000,44543000,1849000,47427000,112325000,16862000,7347000,9515000,16862000,1002000,1002000,24633000,41495000,1608880000,-2061000,-1535839000,-150000,70830000,70830000,112325000,-24587000,107000,2986000,-2928000,-24422000,0,-13648000,-13648000,-7.45058059692383e-09,0,0,0,-38070000,-38070000,-38070000,-23900000,23631000,-685.91429,-702.48571,-0.34713,-0.21889,3.84877,0.58584,0.21038,-0.16485,-0.16485,0.00023,0.47489,-0.25756,1.60406,1.59691
