"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","net_extraordinary_gains_losses","discontinued_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","pensions","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"26","2016_Q3",32.12171875,"Up",739500000,-596100000,143400000,-111200000,-1.05e+08,-6200000,32200000,-14300000,-4900000,-9400000,17900000,17900000,-14500000,3400000,0,0,3400000,-3100000,300000.000000001,300000.000000001,169600000,169600000,4.9e+08,4.9e+08,1.7e+08,119300000,829600000,5.39e+08,620500000,192800000,28700000,324700000,74300000,1159500000,1989100000,504500000,126600000,377900000,109500000,655500000,3.73e+08,602500000,208200000,208200000,8e+06,386300000,975500000,1.631e+09,655900000,548600000,-863700000,340800000,17300000,358100000,1989100000,3400000,32900000,17400000,-2499999.99999999,51200000,-21500000,3400000,0,-18800000,-4900000,-24800000,-2e+06,-25800000,6600000,6600000,-7400000,-800000.000000004,65100000,482500000,55600000,0.19391,0.04354,0.000409999999999998,0.00084,0.00015,185.33333,1.2656,4.55459,0.24257,0.00601,0.00595999999999998,14.81964,6.82966,1.11423,0.0982,0.0036,0.03853,16.33333,4.80645,9.71739
"27","2016_Q4",37.6449206349206,"Up",755800000,-594400000,161400000,-101700000,-102200000,5e+05,59700000,-14300000,-5100000,-9200000,45400000,45400000,-19500000,25900000,0,0,25900000,-1400000,24500000,24500000,191500000,191500000,512700000,512700000,161900000,115100000,866100000,534600000,621800000,193500000,27300000,318900000,82100000,1156400000,2022500000,501700000,119500000,382200000,112100000,647100000,380500000,602900000,203300000,203300000,7700000,391900000,983400000,1630500000,665200000,568100000,-859200000,374100000,17900000,3.92e+08,2022500000,25900000,32400000,6800000,-21500000,43600000,-25900000,0,0,-2.6e+07,-5e+06,2200000,-1200000,3900000,21500000,21500000,4e+05,21900000,92100000,492600000,64200000,0.21355,0.07899,0.03242,0.0625,0.01211,2.62041,1.33843,4.15944,0.24356,0.48902,0.48323,15.08583,7.46707,1.28144,0.0998,0.01983,0.04316,0.20408,3.26927,5.04355
"28","2017_Q1",45.7622580645161,"Up",803500000,-612300000,191200000,-122100000,-108400000,-13700000,69100000,-16300000,-5500000,-10800000,52800000,52800000,-35100000,17700000,-1700000,-1700000,1.6e+07,-3200000,12800000,12800000,183500000,183500000,501100000,501100000,159100000,103600000,843700000,5.31e+08,620100000,186200000,19100000,327900000,86900000,1151100000,1994800000,5.25e+08,139300000,385700000,195600000,753800000,247600000,638600000,208800000,208800000,7600000,422200000,886200000,1.64e+09,668100000,5.76e+08,-9.07e+08,337100000,17700000,354800000,1994800000,17700000,34100000,50500000,3.1e+07,133300000,-40100000,-9.31322574615479e-10,-7e+05,-4e+07,-5e+06,-45800000,-2100000,-51600000,41700000,41700000,-10600000,31100000,103200000,443200000,129200000,0.23796,0.086,0.01593,0.03608,0.00642,10.09375,1.11926,4.62232,0.22218,0.25347,0.24663,15.91089,6.67525,2.55842,0.09901,0.01239,0.08993,0.390620000000001,2.51647,3.75832
"29","2017_Q2",58.0042857142857,"Up",788400000,-610300000,178100000,-107200000,-107100000,-1e+05,70900000,-1.6e+07,-4800000,-11200000,54900000,54900000,-14400000,40500000,0,0,40500000,-5800000,34700000,34700000,218700000,218700000,544700000,544700000,205400000,135200000,968800000,556500000,637600000,194900000,24200000,328800000,89700000,1194100000,2162900000,526500000,139700000,386800000,190100000,759500000,338300000,643900000,210300000,210300000,7600000,4.26e+08,982200000,1741700000,664900000,605700000,-873800000,396800000,24400000,421200000,2162900000,40500000,33900000,25600000,-60600000,39400000,-26100000,-8900000,-14200000,-49200000,-5e+06,65600000,-8500000,52800000,4.3e+07,4.3e+07,6900000,49900000,104800000,528400000,32500000,0.2259,0.08993,0.04401,0.08238,0.01604,0.9366,1.27558,4.13509,0.2443,0.68713,0.67379,15.61188,7.85743,0.64356,0.09901,0.02491,0.0204,0.14409,2.95515,4.36812
"30","2017_Q3",71.9325396825397,"Up",805900000,-628900000,1.77e+08,-128700000,-122800000,-5900000,48300000,-17400000,-6e+06,-11400000,30900000,30900000,-17300000,13600000,-1e+05,-1e+05,13500000,699999.999999998,14200000,14200000,207100000,207100000,570400000,570400000,237800000,150100000,1015300000,583600000,690100000,227400000,45800000,3.26e+08,90900000,1273700000,2.289e+09,572600000,144900000,427700000,212300000,843100000,362800000,640300000,206300000,206300000,7600000,426400000,1003100000,1846200000,670800000,612300000,-859800000,423300000,19500000,442800000,2.289e+09,13600000,34600000,28300000,8799999.99999999,85300000,-42500000,-5e+06,-50800000,-98300000,-7600000,33900000,-2e+06,26200000,13200000,13200000,-7300000,5900000,82900000,575100000,66500000,0.21963,0.05993,0.01762,0.03207,0.0062,4.6831,1.20425,4.16938,0.25125,0.28008,0.27519,15.89546,8.34911,1.31164,0.1499,0.01315,0.0401,0.53521,4.43908,7.61905
"31","2017_Q4",76.5933333333333,"Up",849500000,-666400000,183100000,-116700000,-116600000,-1e+05,66400000,-28900000,-7700000,-21200000,37500000,37500000,-16400000,21100000,0,0,21100000,-1200000,19900000,19900000,241800000,241800000,605200000,605200000,294300000,208600000,1141300000,613900000,943200000,4.07e+08,100600000,334800000,100800000,1557100000,2698400000,712700000,156500000,556200000,175600000,940900000,574400000,702800000,205300000,205300000,3.1e+07,466500000,1277200000,2218100000,6.74e+08,624600000,-840200000,458400000,21900000,480300000,2698400000,21100000,37900000,6700000,-53400000,12300000,-47400000,1e+05,-82700000,-128900000,-7500000,1.62e+08,-8500000,146100000,29500000,29500000,3200000,32700000,104300000,7.5e+08,19900000,0.21554,0.07816,0.02343,0.04143,0.00737,1,1.21299,4.61816,0.27794,0.3925,0.38343,16.75542,9.04142,0.3925,0.14793,0.01417,0.01029,0.37688,4.87248,7.65361
"32","2018_Q1",72.8475409836066,"Down",903200000,-702600000,200600000,-112300000,-121700000,9400000,88300000,-30100000,-13700000,-16400000,58200000,58200000,-109600000,-51400000,-1e+05,-1e+05,-51500000,-599999.999999999,-52100000,-52100000,614300000,614300000,642300000,642300000,231600000,1.19e+08,1488200000,640900000,930500000,453700000,105700000,226200000,144900000,1571400000,3059600000,663100000,174600000,488500000,97100000,834900000,1139600000,746900000,208800000,208800000,25100000,5.13e+08,1886500000,2721400000,679100000,564900000,-926600000,317400000,20800000,338200000,3059600000,-51400000,40200000,144200000,26400000,159400000,-55200000,14100000,-77400000,-118500000,-7600000,479200000,-109400000,362200000,403100000,403100000,-3700000,399400000,128500000,1236700000,209300000,0.2221,0.09776,-0.05768,-0.15405,-0.01703,-4.01727,1.78249,8.04672,0.4042,-1.02358,-0.99808,17.7446,6.23576,4.11198,0.14931,-0.01917,0.09015,-0.14587,4.84358,7.0487
"33","2018_Q2",71.85578125,"Down",879100000,-693600000,185500000,-120700000,-123100000,2400000,64800000,-28100000,-1.5e+07,-13100000,36700000,36700000,-11400000,25300000,2e+05,2e+05,25500000,-3200000,22300000,22300000,562200000,562200000,633900000,633900000,311200000,151800000,1507300000,659700000,932100000,444700000,98700000,233300000,155400000,1591800000,3099100000,6.16e+08,162800000,453200000,1.18e+08,852600000,1137700000,742300000,203700000,203700000,27900000,510700000,1.88e+09,2732600000,675800000,582900000,-916600000,342100000,24400000,366500000,3099100000,25300000,38800000,56300000,-63600000,56800000,-35600000,-1.3e+07,0,-48600000,-7600000,5300000,-11500000,-13800000,-5600000,-5600000,3e+05,-5300000,103600000,1255700000,15800000,0.21101,0.07371,0.02537,0.0608499999999999,0.0072,0.70852,1.76789,7.45593,0.40518,0.43811,0.42802,17.27112,6.72102,0.31041,0.14931,0.01265,0.00668000000000002,0.34081,6.69402,10.70216
"34","2018_Q3",73.5011111111111,"Up",849700000,-666800000,182900000,-121200000,-119900000,-1300000,61700000,-23900000,-15800000,-8100000,37800000,-88900000,-18600000,-107500000,-1e+05,-1e+05,-107600000,-299999.999999999,-107900000,-107900000,548500000,548500000,595700000,595700000,253200000,151600000,1397400000,627400000,845600000,3.75e+08,7.7e+07,227200000,166400000,1.473e+09,2870400000,627800000,157400000,470400000,94700000,779500000,1133900000,711900000,188600000,188600000,20200000,503100000,1845800000,2625300000,682600000,467400000,-9.27e+08,2.23e+08,22100000,245100000,2870400000,-107500000,39100000,84400000,36300000,52300000,-26300000,-31600000,0,-58800000,-7600000,-32399999.9999999,-1499999.99999999,-40700000,-47200000.0000001,-47200000.0000001,-24300000,-71500000,100800000,1228600000,129400000,0.21525,0.07261,-0.12699,-0.44023,-0.03759,-1.19926,1.79269,10.71114,0.42802,-2.10742,-2.10742,16.5957,4.35547,2.52734,0.14844,-0.04589,0.05921,-0.07044,6.74702,11.02269
"35","2018_Q4",62.9166666666667,"Down",852400000,-652600000,199800000,-132800000,-125400000,-7400000,6.7e+07,-25100000,-1.7e+07,-8100000,41900000,41900000,-2.3e+07,18900000,-1e+05,-1e+05,18800000,-1400000,17400000,17400000,314200000,314200000,630700000,630700000,229300000,136600000,1174200000,694200000,1316900000,651900000,254200000,2.31e+08,179800000,2011100000,3185300000,643500000,147800000,495700000,77800000,768200000,1441300000,7.31e+08,1.84e+08,1.84e+08,17300000,529700000,2172300000,2940500000,684500000,456700000,-9.18e+08,223200000,21600000,244800000,3185300000,18900000,41600000,8800000,-29800000,39500000,-30900000,3.6e+07,-5.21e+08,-515900000,-7700000,273400000,-1800000,238800000,-237600000,-237600000,-5600000,-243200000,108600000,1519100000,70900000,0.2344,0.0786,0.02041,0.0710799999999999,0.00546,4.07471,1.52851,12.01185,0.47691,0.34051,0.33462,16.68102,4.36791,1.38748,0.15068,0.01006,0.02842,0.44253,11.09484,17.98358
"36","2019_Q1",71.0244262295082,"Up",907700000,-690300000,217400000,-136200000,-140800000,4600000,81200000,-28400000,-18900000,-9500000,52800000,52800000,-1.7e+07,35800000,0,0,35800000,-9e+05,34900000,34900000,343400000,343400000,599500000,599500000,263600000,127500000,1206500000,699400000,1330100000,678600000,228900000,236500000,186100000,2029500000,3.236e+09,676700000,174600000,502100000,82400000,849400000,1471600000,748400000,196900000,196900000,16700000,534800000,2.22e+09,3069400000,677900000,429100000,-953300000,153700000,12900000,166600000,3.236e+09,35800000,42800000,55699999,81200000,215499999,-58300000,4e+05,8500000.00000006,-49400000,-7500000,24900000,-39900000,-90900000,75199998.9999999,75199998.9999999,-2600000,72599999.0000001,1.24e+08,1.554e+09,163900000,0.23951,0.08946,0.03845,0.20948,0.01078,4.69628,1.42041,18.42377,0.48022,0.69246,0.72257,18.00992,3.0496,3.25198,0.14881,0.01717,0.06638,0.2149,9.7629,14.90887
"37","2019_Q2",76.2361904761905,"Up",9.05e+08,-702700000,202300000,-143900000,-141700000,-2200000,58400000,-34200000,-2.3e+07,-11200000,24200000,24200000,-9700000,14500000,0,0,14500000,-8e+05,13700000,13700000,283200000,283200000,6.41e+08,6.41e+08,230100000,1.33e+08,1154300000,698100000,1749600000,751700000,266600000,235600000,495700000,2447700000,3.602e+09,700600000,1.47e+08,553600000,92900000,845400000,1596500000,980800000,191900000,191900000,16500000,772400000,2577300000,3422700000,680800000,464700000,-980200000,165300000,1.4e+07,179300000,3.602e+09,14500000,47800000,-13400000,-86900000,-3.8e+07,-33600000,-7e+05,-129900000,-164200000,-7400000,1.27e+08,-1.3e+07,106600000,-95600000,-95600000,-3600000,-99200000,106200000,1689400000,-4600000,0.22354,0.06453,0.01514,0.07641,0.0038,-0.33577,1.36539,19.08924,0.46902,0.274,0.26916,18.1,3.306,-0.092,0.148,0.0074,-0.00161,0.54015,13.24105,24.07877
"38","2019_Q3",80.025,"Up",9.14e+08,-708500000,205500000,-152900000,-154600000,1700000,52600000,-25800000,-22700000,-3100000,26800000,26800000,-12700000,14100000,-1e+05,-1e+05,1.4e+07,-1500000,12500000,12500000,304900000,304900000,678300000,678300000,261400000,155600000,1244600000,712700000,1775100000,782500000,279500000,2.39e+08,474100000,2487800000,3732400000,727100000,165700000,561400000,101800000,888800000,1657700000,976200000,189700000,189700000,16500000,7.7e+08,2633900000,3522700000,697700000,469700000,-973200000,194200000,15500000,209700000,3732400000,14100000,48800000,17200000,-18200000,61900000,-37600000,-7e+05,-37100000,-78500000,-7500000,5.2e+07,-1600000,42900000,26300000,26300000,4100000,30400000,101400000,1759500000,58300000,0.22484,0.05755,0.01368,0.05961,0.00335,4.664,1.40032,16.79876,0.47141,0.249,0.24558,18.20717,3.86853,1.16135,0.1494,0.00679,0.01979,0.6,14.34517,27.65399
"39","2019_Q4",84.8475,"Up",928400000,-714400000,2.14e+08,-161500000,-1.55e+08,-6500000,52500000,-30700000,-22900000,-7800000,21800000,21800000,-14700000,7100000,-4e+05,-4e+05,6700000,-1300000,5400000,5400000,3.37e+08,3.37e+08,653100000,653100000,2.56e+08,166800000,1246100000,718100000,1738400000,7.76e+08,273200000,236300000,452900000,2456500000,3702600000,7.61e+08,1.69e+08,5.92e+08,89100000,888600000,1660800000,9.68e+08,184500000,184500000,15200000,768300000,2628800000,3517400000,706600000,467500000,-1004900000,169200000,1.6e+07,185200000,3702600000,7100000,42900000,24300000,53600000,127900000,-41800000,-1e+05,-2e+07,-58800000,-7500000,-23100000,-6199999,-36799999,32300001,32300001,-16800000,15500001,95400000,1749900000,121900000,0.2305,0.05655,0.00582,0.02916,0.00146,22.57407,1.40232,18.99244,0.47261,0.10714,0.10547,18.42063,3.35714,2.41865,0.14881,0.00444,0.04199,1.38889,14.81027,26.91238
"40","2020_Q1",75.2429032258065,"Down",935800000,-706500000,229300000,-1.56e+08,-153600000,-2400000,73300000,-52600000,-2.2e+07,-30600000,20700000,20700000,-23900000,-3200000,1200000,1200000,-2e+06,-6e+05,-2600000,-2600000,3.11e+08,3.11e+08,635600000,635600000,2.86e+08,1.28e+08,1232600000,763300000,1767900000,784600000,272500000,273500000,437300000,2531200000,3763800000,812900000,184500000,628400000,88800000,1.002e+09,1554800000,999400000,576700000,228900000,21200000,401500000,2554200000,3556200000,713400000,457400000,-9.79e+08,191800000,15800000,207600000,3763800000,-3200000,45500000,79300001,95200000,216800001,-41500000,-10300000,14300000,-31500000,-7500000,-124600000,-18600001,-150700001,34600000,34600000,8200000,42800000,118800000,1643600000,196400000,0.24503,0.07833,-0.00278,-0.01252,-0.00069,-75.53846,1.23014,17.13006,0.43669,-0.05179,-0.05058,18.64143,3.82072,3.91235,0.1494,0.00172,0.0689,-2.88462,11.21717,18.18008
"41","2020_Q2",43.9587301587302,"Down",872800000,-693400000,179400000,-153200000,-148100000,-5100000,26200000,-35600000,-2e+07,-15600000,-9400000,-9400000,12200000,2800000,460429.429202429,460429.429202429,2800000,-1e+06,1800000,1800000,274400000,274400000,643300000,643300000,421300000,183600000,1.339e+09,704100000,1757800000,794400000,275700000,255400000,432300000,2461900000,3800900000,716100000,151600000,564500000,88100000,980600000,1756800000,981500000,215600000,215600000,24800000,741100000,2738300000,3718900000,712400000,449900000,-1.096e+09,66300000,15700000,8.2e+07,3800900000,2800000,4.5e+07,126900000,-161300000,13400000,-29200000,-1e+05,-81500000,-110400000,-7500000,193500000,-17900000,168100000,71100000,71100000,-2.8e+07,43100000,71200000,1844900000,-131500000,0.20555,0.03002,0.00206,0.02195,0.00047,-73.05556,1.36549,45.35244,0.48539,0.03557,0.03509,17.24901,1.31028,-2.59881,0.14822,0.0032,-0.04521,4.16667,22.05758,59.9427500000001
"42","2020_Q3",42.7640625,"Down",8.26e+08,-683900000,142100000,-143100000,-139600000,-3500000,-1e+06,-26200000,-23200000,-3e+06,-27200000,-27200000,43200000,1.6e+07,-8e+05,-8e+05,15200000,-2300000,12900000,12900000,531300000,531300000,6.95e+08,6.95e+08,448800000,277300000,1675100000,813600000,2282500000,1.114e+09,406700000,244100000,517700000,3096100000,4771200000,864500000,174400000,690100000,120800000,1072700000,2362600000,1.145e+09,259700000,259700000,44800000,840500000,3507600000,4580300000,717900000,455200000,-1061800000,111300000,79600000,190900000,4771200000,1.6e+07,52100000,-59700000,-81800000,-73400000,-23300000,-1100000,-335200000,-359400000,-7600000,635700000,-16800000,611300000,178500000,178500000,12200000,190700000,51100000,2483400000,-97200000,0.17203,-0.00121000000000001,0.01562,0.06757,0.0027,-7.53488,1.56157,23.99319,0.5205,0.25394,0.25245,16.25984,2.19094,-1.91339,0.14961,0.00537,-0.02545,0.589150000000001,38.20157,-1952.1
"43","2020_Q4",56.63890625,"Up",970500000,-742899999,227600001,-151200000,-141400000,-9800000,76400001,-39900000,-27100000,-12800000,36500001,36500001,-58900000,-22399999,-1e+05,-1e+05,-22499999,-1400000,-23899999,-23899999,592400000,592400000,7.08e+08,7.08e+08,404500000,201500000,1704900000,812100000,2386100000,1184400000,419800000,271100000,510800000,3198200000,4903100000,952500000,173800000,778700000,120600000,1166400000,2.407e+09,1157800000,264600000,264600000,45900000,847300000,3564800000,4731200000,709400000,389700000,-1009100000,9e+07,81900000,171900000,4903100000,-22400000,55100000,14900000,99800001,147400001,-24300000,-3e+05,-20200000,-43700000,-7600000,30100000,-2700000,-30200000,73500001,73500001,19100000,92600001,131500001,2527600000,265900002,0.23452,0.07872,-0.02463,-0.13903,-0.00487,-11.12552,1.46168,27.52298,0.51551,-0.47421,-0.48381,19.25595,1.78571,5.27579,0.15079,-0.00423,0.06893,-0.31799,14.71635,25.3298400000006
"44","2021_Q1",73.6713114754098,"Up",1021600000,-757100001,264499999,-152600000,-155400000,2800000,111899999,-32500000,-26200000,-6300000,79399999,79399999,-53100000,26299999,99999.9999999999,99999.9999999999,26399999,-1200000,25199999,25199999,620900000,620900000,679100000,679100000,514800000,192800000,1814800000,838200000,2482600000,1219200000,426100000,314900000,522400000,3320800000,5135600000,985200000,2.06e+08,779200000,151500000,1336200000,2334200000,1262700000,701800000,322100000,42700000,518200000,3596900000,4933100000,721300000,407500000,-1e+09,128800000,73700000,202500000,5135600000,26300000,54600000,80300001,69099999,230300000,-36400000,-1400000,-5400000,-51900000,-7400000,-60700000,2600000,-65500000,112900000,112900000,34600000,147500000,166499999,2485700000,252299998,0.25891,0.10953,0.02467,0.12444,0.00491,10.01191,1.35818,24.36099,0.48401,0.50602,0.49027,20.51406,2.58635,5.06627,0.14859,0.00825,0.06386,0.29365,11.2,16.66488
"45","2021_Q2",75.9233333333333,"Up",977700000,-758800000,218900000,-157200000,-154300000,-2900000,61700000,-32700000,-27200000,-5500000,2.9e+07,2.9e+07,-13600000,15400000,-371586.967268636,-371586.967268636,15400000,-2700000,12700000,12700000,598100000,598100000,689300000,689300000,489300000,215100000,1776700000,813600000,2600200000,1301500000,436900000,311400000,550400000,3413800000,5190500000,972700000,179100000,793600000,159500000,1266800000,2427600000,1.271e+09,695100000,317600000,48200000,527700000,3698600000,4965400000,727200000,413300000,-1040700000,99800000,125300000,225100000,5190500000,15400000,54800000,-49300000,-22400000,-1500000,-30300000,942704.428425528,-108800000,-138500000,-7400000,102300000,-1800000,95400000,-44600000,-44600000,-2.6e+07,-70600000,116500000,2587100000,77400000,0.22389,0.06311,0.01299,0.05642,0.00245,6.09449,1.40251,22.05864,0.49843,0.25502,0.25149,19.63253,2.00402,1.55422,0.14859,0.00492,0.01896,0.58268,17.07296,32.2366300000001
"46","2021_Q3",73.6690625,"Down",1048800000,-819200000,229600000,-156300000,-155800000,-5e+05,73300000,-23600000,-28200000,4600000,49700000,49700000,-22700000,2.7e+07,-1e+05,-1e+05,26900000,-3e+06,23900000,23900000,661600000,661600000,716700000,716700000,511200000,231400000,1889500000,865100000,2823800000,1445800000,526100000,307900000,5.44e+08,3688900000,5578400000,1.047e+09,1.94e+08,8.53e+08,150200000,1330800000,2702200000,1242800000,688500000,311300000,49200000,505100000,3.945e+09,5275800000,738300000,427200000,-991500000,1.74e+08,128600000,302600000,5578400000,2.7e+07,61700000,27200000,-33400000,82499999.9999999,-39500000,2998499.88523261,-202200000,-241400000,7400000,229200000,-17600000,2.19e+08,60100000,60100000,9000000.00000001,69100000,1.35e+08,2852400000,84800000,0.21892,0.06989,0.02279,0.07898,0.00428,3.54812,1.41982,17.4349,0.51133,0.47992,0.47327,21.06024,3.49398,1.70281,-0.14859,0.00375,0.01928,-0.30962,16.22815,29.88813
"47","2021_Q4",63.31921875,"Down",1075500000,-837600000,237900000,-163700000,-161900000,-1800000,74200000,-28300000,-27600000,-7e+05,45900000,45900000,-22900000,2.3e+07,1649644.83607927,1649644.83607927,2.3e+07,-4e+06,1.9e+07,1.9e+07,700800000,700800000,728200000,728200000,533800000,212100000,1962800000,844900000,2745200000,1426600000,506700000,301100000,510800000,3590100000,5552900000,1.092e+09,186800000,905200000,144500000,1.404e+09,2701100000,1198800000,669500000,296600000,49200000,480100000,3899900000,5303900000,739800000,396200000,-1014600000,121400000,127600000,2.49e+08,5552900000,2.3e+07,61600000,67700000,40300000,192600000,-38200000,-2700000,-3400000,-10400000,-27300000,-1.6e+07,13500000,-79800000,102400000,102400000,-21300000,81100000,135800000,2845600000,160800000,0.2212,0.06899,0.01767,0.07631,0.00342,8.46316,1.39801,21.3008,0.51245,0.38076,0.37698,21.55311,2.43287,3.22244,0.54709,0.01078,0.03745,1.43684,15.79381,28.90566
"48","2022_Q1",67.4566129032258,"Up",1098200000,-820200000,2.78e+08,-132500000,-157700000,25200000,145500000,-34600000,-29200000,-5400000,110900000,110900000,-61100000,49800000,2200000,2200000,5.2e+07,-2400000,49600000,49600000,710300000,710300000,701800000,701800000,587400000,2.11e+08,1999500000,865600000,2701600000,1411700000,491200000,239400000,559300000,3567200000,5566700000,1088500000,211200000,877300000,1.25e+08,1.429e+09,2841700000,1043400000,541500000,219300000,49200000,452700000,3885100000,5314100000,7.18e+08,312900000,-907900000,1.23e+08,129600000,252600000,5566700000,49800000,61400000,83900000,9300000,204400000,-52200000,-12900000,1200000.00000003,-64400000,-9900000,95900000,7e+05,-63300000,76700000,76700000,-12500000,64200000,206900000,2966700000,225100000,0.25314,0.13249,0.04516,0.19636,0.00891,4.53831,1.39923,21.03761,0.53294,1.00265,1.03401,22.19984,2.48641,4.55034,0.20013,0.01396,0.05281,0.1996,10.90575,15.5079
"49","2022_Q2",59.5270967741935,"Down",1.074e+09,-839700000,234300000,-171900000,-171600000,-3e+05,62400000,-29200000,-27900000,-1300000,33200000,33200000,41100000,74300000,-1e+05,-1e+05,74200000,-2900000,71300000,71300000,7.33e+08,7.33e+08,771100000,771100000,579800000,266600000,2083900000,870100000,2796400000,1423200000,495500000,292300000,585400000,3666500000,5750400000,1081200000,199200000,8.82e+08,1.33e+08,1364500000,2961400000,1054699999,535200000,2.13e+08,48800000,470699999,4016099999,5380599999,722300000,374700000,-8.57e+08,2.4e+08,129800000,369800000,5750399999,74300000,6.1e+07,-76300000,-135300000,-76300000,-35800000,-5e+05,-11400000,-47200000,-9500000,112400000,-8900000,9.4e+07,-29500000,-29500000,-1.1e+07,-40500000,123400000,3094400000,-88800000,0.21816,0.0581,0.06639,0.19281,0.0124,-1.24544,1.52723,14.55003,0.53812,1.45214,1.45214,21.87373,4.88798,-1.80855,0.19348,0.01788,-0.01965,0.13324,19.13614,37.84295
"50","2022_Q3",55.2609375,"Down",1133900000,-867500000,266400000,-169900000,-167500000,-2400000,96500000,-2.9e+07,-32400000,3400000,67500000,67500000,-29300000,38200000,-99999.9999999998,-99999.9999999998,38100000,-3e+06,35100000,35100000,743300000,743300000,824600000,824600000,654400000,295800000,2222300000,8.5e+08,2750800000,1379800000,469900000,288400000,612700000,3600800000,5823100000,1089400000,2.22e+08,867400000,98200000,1371800000,3060900000,1023700000,515900000,198800000,47800000,4.6e+08,4084600000,5456400000,723300000,408800000,-891600000,240500000,126200000,366700000,5823100000,38200000,60300000,86600000,-67700000,117400000,-45600000,0,-2600000,-47600000,9500000,62500000,-37200000,34800000,104600000,104600000,-48900000,55700000,156800000,3159100000,72800000,0.23494,0.0851,0.03096,0.09572,0.00603,2.07407,1.61999,14.87974,0.54251,0.71487,0.71487,23.09369,4.89817,1.48269,-0.19348,0.00563,0.016,-0.27066,15.40689,25.0342
