"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"33","2019_Q2",8.04206349206349,"Up",13019000,-4776000,8243000,-8472000,-2877000,-5595000,-229000,147000,205000,-58000,-82000,-82000,-43000,-125000,-125000,-125000,-125000,64717000,46435000,18282000,7375000,7375000,5463000,3009000,3009000,80564000,8726000,7264000,11712000,1070000,27702000,108266000,6881000,1676000,5205000,7440000,4744000,4120000,4744000,12184000,36485000,59583000,14000,96082000,96082000,108266000,-125000,365000,895000,-2382000,-1247000,-33000,2870000,2837000,2350000,2350000,2350000,3940000,3940000,3940000,136000,0,-2236000,0.63315,-0.01759,-0.0096,-0.0013,-0.00115,17.888,10.82849,0.12681,0,-0.00553,-0.00553,0.57593,4.25048,-0.09892,-0.00124,-0.02218,-475.86029,282.60699
"34","2019_Q3",8.40625,"Up",11740000,-5172000,6568000,-8491000,-2658000,-5833000,-1923000,210000,215000,-4999.99999999999,-1713000,-1713000,-55000,-1768000,-1768000,-1768000,-1768000,68076000,45724000,22352000,7488000,7488000,5045000,3235000,3235000,83844000,8478000,4788000,11657000,1073000,24923000,108767000,7657000,1924000,5733000,8277000,4721000,4095000,4721000,12998000,37926000,57815000,28000,95769000,95769000,108767000,-1768000,362000,828000,699000,121000,-61000,-1570000,-1631000,799000,799000,799000,-711000,-711000,-711000,-1561000,0,-868000,0.55945,-0.1638,-0.1506,-0.01846,-0.01625,0.490950000000002,10.12976,0.13572,0,-0.07695,-0.07695,0.51095,4.16804,-0.03778,-0.01759,-0.00864,43.61051,35.40094
"35","2019_Q4",7.564375,"Down",10049000,-4e+06,6049000,-10792000,-2584000,-8208000,-4743000,207000,190000,17000,-4536000,-4536000,-84000,-4620000,-4620000,-4620000,-4620000,68314000,47971000,20343000,5398000,5398000,4521000,2548000,2548000,80781000,8355000,5322000,11453000,928000,25130000,105911000,8439000,1138000,7301000,9014000,4650000,4023000,4650000,13664000,39035000,53195000,17000,92247000,92247000,105911000,-4620000,352000,875000,3299000,-94000,-171000,-17166000,2289000,480000,480000,52000,2247000,2247000,2247000,-4391000,0,-1179000,0.60195,-0.47199,-0.45975,-0.05008,-0.04362,0.25519,8.96173,0.14812,0,-0.2,-0.2,0.43502,3.99338,-0.05104,-0.04768,-0.01217,15.55773,14.40312
"36","2020_Q1",7.18241935483871,"Down",8535000,-4052000,4483000,-8390000,-2803000,-5587000,-3907000,148000,173000,-25000,-3759000,-3759000,-65000,-3824000,-3824000,-3824000,-3824000,66567000,51506000,15061000,6330000,6330000,4282000,1934000,1934000,79113000,8119000,4117000,11212000,745000,23448000,102561000,7762000,1184000,6578000,8260000,4660000,4660000,4660000,12920000,40199000,49371000,71000,89641000,89641000,102561000,-3824000,355000,905000,-897000,-3461000,-66000,-2250000,6476000,520000,520000,520000,3535000,3535000,3535000,-3552000,0,-4450000,0.52525,-0.45776,-0.44804,-0.04266,-0.03729,1.1637,9.57785,0.14413,0,-0.1649,-0.1649,0.36805,3.8655,-0.19189,-0.04055,-0.04719,18.74071,17.03788
"37","2020_Q2",7.26,"Up",6621000,-3571000,3050000,-8745000,-2920000,-5825000,-5695000,106000,114000,-8000,-5589000,-5589000,-487000,-6076000,-6076000,-6076000,-6076000,64566000,50970000,13596000,3838000,3838000,4703000,1711000,1711000,74818000,7870000,4863000,11004000,595000,23737000,98555000,7126000,1069000,6057000,7531000,4340000,4006000,4340000,11871000,43293000,43295000,96000,86684000,86684000,98555000,-6076000,354000,1084000,1063000,-3575000,-50000,-5250000,7e+05,2339000,2339000,2339000,-536000,-536000,-536000,-5341000,0,-3841000,0.46066,-0.86014,-0.91769,-0.07009,-0.06165,0.63216,9.93467,0.13695,0,-0.25922,-0.25922,0.28247,3.69812,-0.16387,-0.06675,-0.0422,12.08875,11.33731
"38","2020_Q3",6.35,"Down",6659000,-3547000,3112000,-8265000,-2606000,-5659000,-5153000,-16000,80000,-96000,-5169000,-5169000,-62000,-5231000,-5231000,-5231000,-5231000,56089000,44022000,12067000,4282000,4282000,4273000,1655000,1655000,66299000,7632000,8655000,11454000,1104000,27741000,94040000,6539000,1292000,5247000,7073000,4744000,4411000,4744000,11817000,44116000,38064000,43000,82223000,82223000,94040000,-5231000,353000,852000,-694000,-4720000,-59000,-6089000,-2398000,170000,170000,170000,-6948000,-6948000,-6948000,-4800000,0,-5491000,0.46734,-0.77384,-0.78555,-0.06362,-0.05563,1.0497,9.37353,0.14372,0,-0.22148,-0.22148,0.28195,3.48137,-0.23249,-0.06015,-0.06314,11.68521,10.88473
"39","2020_Q4",6.61265625,"Up",6763000,-3566000,3197000,-8348000,-2612000,-5736000,-5151000,25000,50000,-25000,-5126000,-5126000,-90000,-5216000,-5216000,-5216000,-5216000,52260000,43064000,9196000,4012000,4012000,4523000,1979000,1979000,62774000,7444000,10126000,11248000,956000,28818000,91592000,7947000,2422000,5525000,8404000,4709000,4709000,4709000,13113000,45626000,32848000,5000,78479000,78479000,91592000,-5216000,255000,974000,895000,-3092000,-13000,-6170000,1317000,817000,817000,817000,-958000,-958000,-958000,-4896000,0,-3924000,0.47272,-0.76164,-0.77126,-0.06646,-0.05695,0.7523,7.46954,0.16709,0,-0.21992,-0.21992,0.28514,3.30884,-0.16544,-0.0627,-0.04717,10.67402,10.1456
"40","2021_Q1",7.48852459016393,"Up",7686000,-3828000,3858000,-9123000,-2999000,-6124000,-5265000,-21000,51000,-72000,-5286000,-5286000,304000,-4982000,-4982000,-4982000,-4982000,53951000,44234000,9717000,3665000,3665000,4343000,1487000,1487000,63446000,7328000,5792000,11046000,812000,24166000,87612000,7087000,1567000,5520000,7462000,4558000,4549000,4558000,12020000,47746000,27866000,-20000,75592000,75592000,87612000,-4982000,252000,1131000,-266000,-3865000,-81000,-1000,3668000,1367000,1367000,1367000,1170000,1170000,1170000,-5013000,0,-5664000,0.50195,-0.68501,-0.64819,-0.06591,-0.05686,1.13689,8.50255,0.15901,0,-0.20838,-0.20838,0.32148,3.16179,-0.23691,-0.06216,-0.07067,10.76222,10.2471
"41","2021_Q2",6.16333333333333,"Down",8791000,-4009000,4782000,-9143000,-3040000,-6103000,-4361000,-20000,23000,-43000,-4381000,-4381000,172000,-4209000,-4209000,-4209000,-4209000,51538000,44490000,7048000,4619000,4619000,3931000,1798000,1798000,61886000,7492000,4281000,10878000,703000,22651000,84537000,6716000,1925000,4791000,7039000,4524000,4524000,4524000,11563000,49352000,23657000,-35000,72974000,72974000,84537000,-4209000,246000,1059000,-1717000,-4621000,-39000,215888.773575175,4094000,783000,783000,783000,256000,256000,256000,-4115000,0,-6043000,0.54397,-0.49608,-0.47879,-0.05768,-0.04979,1.43573,8.79187,0.15845,0,-0.17781,-0.17781,0.37138,3.08284,-0.25529,-0.05431,-0.07798,12.52442,11.81793
"42","2021_Q3",5.39890625,"Down",7797000,-3620000,4177000,-8694000,-2787000,-5907000,-4517000,-8000,18000,-26000,-4525000,-4525000,-42000,-4567000,-4567000,-4567000,-4567000,50734000,40943000,9791000,3653000,3653000,4449000,1899000,1899000,60735000,7335000,2759000,10727000,610000,20821000,81556000,6862000,1736000,5126000,7144000,4491000,4491000,4491000,11635000,50882000,19090000,-51000,69921000,69921000,81556000,-4567000,255000,961000,594000,-2757000,-354000,-3250000,-1604000,814000,814000,814000,-3547000,-3547000,-3547000,-4262000,0,-3980000,0.53572,-0.57933,-0.58574,-0.06532,-0.056,0.87147,8.50154,0.1664,0,-0.18902,-0.18902,0.3227,2.89384,-0.16472,-0.06137,-0.05349,11.9038,11.23179
"43","2021_Q4",5.261875,"Down",8065000,-3603000,4462000,-8994000,-2842000,-6152000,-4532000,15000,20000,-5000,-4517000,-4517000,-64000,-4581000,-4581000,-4581000,-4581000,48098000,36325000,11773000,3048000,3048000,4736000,2351000,2351000,58233000,7312000,3396000,10760000,701000,21468000,79701000,8012000,2385000,5627000,8336000,4558000,4558000,4558000,12894000,52378000,14509000,-80000,66807000,66807000,79701000,-4581000,251000,922000,844000,-2564000,-148000,-3913000,-2810000,756000,756000,756000,-4618000,-4618000,-4618000,-4281000,0,-3521000,0.55325,-0.56193,-0.56801,-0.06857,-0.05748,0.76861,6.98572,0.193,0,-0.18907,-0.18907,0.33287,2.75732,-0.14532,-0.06419,-0.04934,11.23523,10.61297
"44","2022_Q1",4.28983870967742,"Down",8731000,-3615000,5116000,-8059000,-1549000,-6510000,-2943000,-47000,10000,-57000,-2990000,-2990000,-21000,-3011000,-3011000,-3011000,-3011000,43963000,36971000,6992000,4518000,4518000,4655000,1555000,1555000,54691000,7359000,3345000,11027000,1026000,21731000,76422000,8324000,1474000,6850000,8861000,3110000,3099000,3110000,11971000,53107000,11498000,-154000,64451000,64451000,76422000,-3011000,252000,856000,-1981000,-3884000,-233000,0,4515000,15000,15000,15000,646000,646000,646000,-2691000,0,-4884000,0.58596,-0.33707,-0.34486,-0.04672,-0.0394,1.62205,6.1721,0.18574,0,-0.12211,-0.12211,0.35407,2.61369,-0.19806,-0.04457,-0.07229,16.33705,14.93816
"45","2022_Q2",3.59870967741935,"Down",8909000,-3544000,5365000,-9307000,-2688000,-6619000,-3942000,26000,22000,4000,-3916000,-3916000,-60000,-3976000,-3976000,-3976000,-3976000,41461000,33533000,7928000,4309000,4309000,4780000,1809000,1809000,52359000,7234000,875000,11201000,1259000,19310000,71669000,6989000,1403000,5586000,7569000,2835000,2824000,2835000,10404000,53924000,7522000,-181000,61265000,61265000,71669000,-3976000,256000,798000,-2089000,-5011000,-106000,10944191.569021,1394000,179000,179000,179000,-3438000,-3438000,-3438000,-3686000,0,-5821000,0.6022,-0.44247,-0.44629,-0.0649,-0.05548,1.46403,6.91756,0.16982,0,-0.16213,-0.16213,0.36329,2.49827,-0.23737,-0.06203,-0.09081,11.24824,10.51776
"46","2022_Q3",3.47484375,"Down",8953000,-3351000,5602000,-8807000,-2412000,-6395000,-3205000,14000,55000,-41000,-3191000,-3191000,-37000,-3228000,-3228000,-3228000,-3228000,38225000,32803000,5422000,4819000,4819000,5532000,1649000,1649000,50225000,7156000,628000,10992000,1108000,18776000,69001000,7458000,1645000,5813000,8001000,2300000,2289000,2300000,10301000,54585000,4294000,-179000,58700000,58700000,69001000,-3228000,254000,43000,-431000,-3362000,-118000,31870824.7070629,2632000,0,0,-5.82076609134674e-11,-730000.000000001,-730000.000000001,-730000.000000001,-2951000,0,-3463000,0.62571,-0.35798,-0.36055,-0.05499,-0.04678,1.0728,6.27734,0.17549,0,-0.13163,-0.13163,0.36509,2.39367,-0.14121,-0.05292,-0.05677,12.95324,11.92668
