"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","income_taxes_receivable","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","liabilities_from_derivatives_hedging_short_term","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","disposition_of_fixed_assets","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"32","2018_Q3",37.2560317460317,"Down",452417000,-11890000,440527000,-436229000,-433967000,-2262000,4298000,483000,483000,4781000,4781000,-1161000,3620000,3620000,3620000,3620000,126999000,126999000,118533000,118533000,21513000,1735000,1197000,0,538000,268780000,27304000,6618000,6618000,34347000,303127000,147146000,140296000,514000,514000,148005000,3921000,2516000,1405000,5098000,153103000,12118000,137906000,150024000,150024000,303127000,3620000,2262000,-573000,12643000,17952000,-1339000,523000,523000,-1862000,-1862000,-1477000,15463000,15463000,15463000,6560000,1522000,19025000,0.97372,0.0095,0.008,0.02413,0.01194,5.25552,1.81602,1.02052,0.00502,0.85823,0.85823,107.25865,35.56757,4.51043,0.02925,0.12237,-19.12759,-29.19428
"33","2018_Q4",35.1061904761905,"Down",467891000,-12412000,455479000,-453240000,-450900000,-2340000,2239000,575000,575000,2814000,2814000,-779000,2035000,2035000,2035000,2035000,130774000,130774000,108662000,108662000,34760000,1534000,1271000,0,263000,275730000,30918000,6239000,6239000,37582000,313312000,155120000,146895000,247000,247000,155935000,4069000,2655000,1414000,6110000,162045000,12259000,139008000,151267000,151267000,313312000,2035000,2340000,-211000,4424000,8588000,-4369000,659000,659000,-5028000,-5028000,-3764000,3775000,3775000,3775000,4579000,2609000,5413000,0.97347,0.00479,0.00435,0.01345,0.0065,2.65995,1.76824,1.07125,0.00833,0.48246,0.48234,110.92722,35.86226,1.28331,0.01876,0.03427,-27.98974,-57.24207
"34","2019_Q1",35.5090163934426,"Up",442649000,-11566000,431083000,-437289000,-433649000,-3640000,-6206000,620000,620000,-5586000,-5586000,1738000,-3848000,-3848000,-3848000,-3848000,117066000,117066000,85622000,85622000,22779000,4123000,1557000,2404000,1572047.01595987,229590000,44623000,4657000,4657000,49280000,278870000,116097000,116068000,6287000,139000,123267000,5796000,4271000,1525000,9005000,132272000,12370000,134228000,146598000,146598000,278870000,-3848000,3640000,1320000,77000,1189000,-3251000,724000,724000,-3975000,-3975000,-13763000,-13708000,-13708000,-13708000,-2566000,4092000,-7478000,0.97387,-0.01402,-0.00869,-0.02625,-0.0138,1.94334999999999,1.86254,0.90228,0.01467,-0.91228,-0.9125,104.94286,34.75533,-1.77288,-0.01867,-0.04779,44.02728,18.204
"35","2019_Q2",31.1928571428571,"Down",445168000,-13101000,432067000,-426814000,-423225000,-3589000,5253000,591000,591000,5844000,6342000,-1434000,4908000,4908000,4908000,4908000,130893000,130893000,88095000,88095000,29237000,3861000,1609000,1978000,3693756.92972646,252086000,48917000,13632000,13632000,62549000,314635000,133331000,133325000,11010000,270000,145343000,15165000,5104000,10061000,18593000,163936000,12493000,138206000,150699000,150699000,314635000,4908000,3589000,268000,12251000,21016000,-7808000,543000,543000,-8351000,-8351000,-6043000,13827000,13827000,13827000,8842000,4430000,14719000,0.97057,0.0118,0.01103,0.03257,0.0156,2.99898,1.73442,1.08784,0.01408,1.16358,1.16193,105.54007,35.7276,3.48957,0.03427,0.08643,-14.30253,-24.07443
"36","2019_Q3",28.34484375,"Down",484433000,-14436000,469997000,-470640000,-466356000,-4284000,-643000,614000,614000,-29000.0000000019,46000,-39999.9999999995,6000,5999.99999999814,5999.99999999814,5999.99999999814,127670000,127670000,74499000,74499000,19977000,9161000,1828000,2217000,4876000,231307000,55555000,14902000,12966000,70457000,301764000,116989000,116983000,12246000,236000,131351000,14832000,5283000,9549000,20305000,151656000,12920000,137188000,150108000,150108000,301764000,5999.99999999814,4284000,-82999.9999999998,8525000,12732000,-4026000,744000,744000,-4770000,-4770000,-9630000,1653000,1653000,1653000,3641000,7589000,8180000,0.9702,-0.00133,9.99999999999959e-06,4.00000000000053e-05,1.99999999999957e-05,1363.33333,1.76098,1.01031,0.02515,0.00141999999999998,0.00141999999999998,114.57734,35.50331,1.93472,0.00591999999999999,0.04741,-32.98023,186.75117
"37","2019_Q4",29.2565625,"Up",450307000,-13365000,436942000,-436639000,-432246000,-4393000,303000,516000,516000,819000,819000,-179000,640000,640000,640000,640000,124726000,124726000,77665000,77665000,24900000,8962000,1391000,2539000,4903000,236253000,62733000,14859000,13155000,77592000,313845000,128613000,128607000,13080000,126000,143835000,15202000,5763000,9439000,20129000,163964000,13075000,136806000,149881000,149881000,313845000,640000,4393000,-315000,4676000,9394000,-10738000,1566000,1566000,-12304000,-12304000,-10775000,-2917000,-2917000,-2917000,4696000,7069000,-1187000,0.97032,0.00067,0.00142,0.00427,0.00204,-1.85469,1.64253,1.09396,0.02252,0.15123,0.15123,106.40525,35.41612,-0.28048,0.00962,-0.0069,-25.05473,-388.30693
"38","2020_Q1",28.3588709677419,"Down",431339000,-12490000,418849000,-415962000,-411587000,-4375000,2887000,409000,409000,3296000,3296000,-643000,2653000,2653000,2653000,2653000,112994000,112994000,94534000,94534000,26407000,13389000,1559000,2569000,9261000,247324000,69046000,14472000,12875000,83518000,330842000,147856000,147851000,9554000,414871.288720012,159577000,15248000,6352000,8896000,19624000,179201000,13201000,138440000,151641000,151641000,330842000,2653000,4375000,731000,-4002000,3757000,-9491000,827000,827000,-10318000,-10318000,-9589000,-7374000,-7374000,-7374000,7262000,6543000,-5588000,0.97104,0.00669,0.00615,0.0175,0.00802,-2.10629000000005,1.54987,1.18175,0.01978,0.62659,0.62541,101.87506,35.81507,-1.31979,0.02116,-0.03222,-14.65863,-36.8725300000001
"39","2020_Q2",24.1022222222222,"Down",353477000,-13185000,340292000,-360232000,-355759000,-4473000,-19940000,215000,215000,-19725000,-19725000,8298000,-11427000,-11427000,-11427000,-11427000,87398000,87398000,52941000,52941000,10021000,25173000,1306000,14495000,8827000,175533000,65381000,12742000,11277000,78123000,253656000,78251000,78245000,11537000,526000,91981000,18531000,10059000,8472000,22349000,114330000,13335000,125991000,139326000,139326000,253656000,-11427000,4473000,-2738000,-14154000,-23846000,-1710000,502000,502000,-2212000,-2212000,-582000,-26030000,-26030000,-26030000,-15467000,6011000,-39629000,0.9627,-0.05641,-0.03233,-0.08202,-0.04505,3.46801,1.90836,0.82059,0.0237,-2.69759,-2.68871,83.44594,32.89093,-9.35529,-0.06353,-0.24183,5.26198,4.08159
"40","2020_Q3",20.4821875,"Down",152286000,-10888000,141398000,-138463000,-134185000,-4278000,2935000,76000,76000,3011000,3011000.00000001,492000.000000002,3503000,3503000,3503000,3503000,70215000,70215000,67455000,67455000,19837000,19310000,1297000,10005000,7982000,176817000,69280000,15237000,10746000,84517000,261334000,83416000,83410000,13340000,14000,99238000,15559000,7519000,8040000,20206000,119444000,13424000,128466000,141890000,141890000,261334000,3503000,4278000,1332000,-15726000,-6613000,-656000,12000,12000,-668000,-668000,-9792000,-18028000,-18028000,-18028000,7213000,7129000,-9661000.00000001,0.9285,0.01927,0.023,0.02469,0.0134,-2.75792000000001,1.78175,0.84181,0.02728,0.826570000000001,0.829310000000001,35.93346,33.48042,-2.27961,0.02753,-0.0587,-8.74615,-21.49438
"41","2020_Q4",22.44703125,"Up",266904000,-17105000,249799000,-243743000,-238884000,-4859000,6056000,35000,35000,6091000,6091000,-3018000,3073000,3073000,3073000,3073000,53106000,53106000,125837687.340318,125837687.340318,15942000,107993000,1417000,7054000,99519000,177041000,64469000,14950000,10646000,79419000,256460000,76565000,76407000,13824000,-171120.101137967,92894000,15471000,7547000,7924000,19482000,112376000,13573000,130511000,144084000,144084000,256460000,3073000,4859000,-659000,-26904000,-19631000,1059000,1768000,1768000,-709000,-709000,1031000,-20226000,-20226000,-20226000,10915000,6516000,-11912000,0.93591,0.02269,0.01151,0.02133,0.01198,-3.87634,1.90584,0.77993,0.02541,0.72425,0.72425,62.90455,33.95805,-2.80745,0.02464,-0.07173,-4.26844,-7.6932
"42","2021_Q1",26.3652459016393,"Up",249755000,-18103000,231652000,-226450000,-221487000,-4963000,5202000,-114000,-114000,5088000,5088000,758000,5846000,5846000,5846000,5846000,39293000,39293000,99799000,99799000,19336000,29085000,2964000,13288000,12772000,187513000,94134000,14540000,10434000,108674000,296187000,85991000,85991000,24445000,51999.9999999999,114548000,21040000,12732000,8308000,32547000,147095000,13763000,135329000,149092000,149092000,296187000,5846000,4963000,7202000,-11920000,6091000,814000,2233000,2233000,-1419000,-1419000,-10320000,-5906000,-5906000,-5906000,10165000,15619000,-1699000,0.92752,0.02083,0.02341,0.03921,0.01974,-0.29063,1.63698,0.98661,0.05273,1.3778,1.35985,58.86283,35.13835,-0.40042,0.03695,-0.00914999999999999,-2.32897,-4.55094
"43","2021_Q2",26.1720634920635,"Down",325491000,-18004000,307487000,-303636000,-298583000,-5053000,3851000,-86000,-86000,3765000,3765000,-957000,2808000,2808000,2808000,2808000,58985000,58985000,13000,13000,29223000,139280000,3621000,11638000,123445000,227501000,90643000,14158000,10256000,104801000,332302000,122155000,122155000,22606000,546000,149255000,19828000,11900000,7928000,32030000,181285000,13917000,137100000,151017000,151017000,332302000,2808000,5053000,-749000,15889000,23001000,835000,1005000,1005000,-170000,-170000,835000,19297000,19297000,19297000,8904000,16696000,26585000,0.94469,0.01183,0.00863,0.01859,0.00845,9.46759,1.52424,1.20043,0.05024,0.66133,0.65746,76.65827,35.56689,6.26119,0.02044,0.14176,-4.74944,-10.9813
"44","2021_Q3",27.3753125,"Up",486744000,-19566000,467178000,-460843000,-456042000,-4801000,6335000,-142000,-142000,6193000,6193000,-1484000,4709000,4709000,4709000,4709000,88668000,88668000,125914000,125914000,29712000,16256000,2122000,5846000,7033000,260550000,90577000,13879000,10179000,104456000,365006000,151113000,151113000,16961000,1221000,172407000,18502000,11093000,7409000,37748000,210155000,14079000,140772000,154851000,154851000,365006000,4709000,4801000,-762000,20358000,29106000,-3121000,311000,311000,-3432000,-3432000,-3121000,24339000,24339000,24339000,11136000,23579000,29857000,0.9598,0.01302,0.00967,0.03041,0.0129,6.34041,1.51125,1.35714,0.0646,1.10696,1.10204,114.42031,36.40127,7.01857,0.02918,0.15161,-5.84492,-10.27451
"45","2021_Q4",28.49484375,"Up",568181000,-20167000,548014000,-545713000,-540864000,-4849000,2301000,-141000,-141000,2160000,2160000,-614000,1546000,1546000,1546000,1546000,95634000,95634000,5000,5000,154531000,15491000,1509000,6189000,6788000,265661000,90739000,14025000,10516000,104764000,370425000,154860000,154860000,16249000,964000,175137000,18772000,11060000,7712000,37206000,212343000,16807000,141275000,158082000,158082000,370425000,1546000,4849000,-79000,5809000,12125000,-5757000,336226.920311216,336226.920311216,-5643468.15043569,-5643468.15043569,-5757000,6721000,6721000,6721000,7150000,22462000,7816000,0.96451,0.00405,0.00272,0.00978,0.00417,5.05563,1.51688,1.34325,0.06064,0.36172,0.35987,132.93893,36.9869,1.82873,0.01294,0.03921,-10.23385,-31.80009
"46","2022_Q1",31.5661290322581,"Up",644788000,-19684000,625104000,-621432000,-616338000,-5094000,3672000,-134000,-134000,3538000,3538000,-713000,2825000,2825000,2825000,2825000,97825000,97825000,137791000,137791000,18942000,18652000,2389000,6424000,9492000,273210000,88036000,13457000,10140000,101493000,374703000,168224000,168224000,14124000,324000,186011000,18634000,11320000,7314000,28306000,214317000,17346000,143040000,160386000,160386000,374703000,2825000,5094000,290000,8585000,16794000,-2053000,656580.767470774,656580.767470774,-5452288.82300453,-5452288.82300453,-2053000,4895000,4895000,4895000,8766000,13335000,16011000,0.96947,0.00569,0.00438,0.01761,0.00754,5.66761,1.46878,1.33626,0.03559,0.65363,0.64972,149.18741,37.10921,3.70453,0.02012,0.08324,-9.63838,-23.00926
"47","2022_Q2",35.3058064516129,"Up",774245000,-21419000,752826000,-744678000,-739665000,-5013000,8148000,-90000,-90000,8058000,8058000,-1968000,6090000,6090000,6090000,6090000,99295000,99295000,212455000,212455000,42382000,16840000,1705000,5140000,8850000,370972000,86543000,12602000,9476000,99145000,470117000,259498000,259451000,14188000,1102000,276979000,18714000,11878000,6836000,27617000,304596000,17455000,148066000,165521000,165521000,470117000,6090000,5013000,240000,-5470000,5873000,-2838000,856000,856000,-3694000,-3694000,-2838000,828000,828000,828000,13161000,12196000,6821000,0.97234,0.01052,0.00787,0.03679,0.01295,1.12003,1.33935,1.84023,0.02594,1.40124,1.37968,178.14486,38.08448,1.56943,0.03644,0.03472,-6.61796,-10.68962
"48","2022_Q3",30.3228125,"Down",992050000,-24280000,967770000,-964810000,-959722000,-5088000,2960000,167000,167000,3127000,3127000,-651000,2476000,2476000,2476000,2476000,67728000,67728000,267636000,267636000,61281000,11361000,2007000,1448962.47600477,7853000,408006000,84528000,12089000,9151000,96617000,504623000,289381000,289381000,17283000,848000,310972000,17590000,10979000,6611000,26199000,337171000,17977000,149475000,167452000,167452000,504623000,2476000,5088000,-1690000,-35925000,-30051000,-571000,518000,518000,-1089000,-1089000,-571000,-32564000,-32564000,-32564000,8048000,12917000,-27797000,0.97553,0.00298,0.0025,0.01479,0.00491,-11.22658,1.31203,2.01354,0.0256,0.56802,0.5635,227.5866,38.41523,-6.37692,0.01785,-0.14042,-6.81051,-18.51723
