"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"31","2018_Q2",75.07296875,"Up",336696000,-303115000,33581000,-21478000,-17898000,-3580000,12103000,-2670000,-326000,9433000,9433000,-2010000,7423000,5726000,5430000,5430000,52571171.4745552,52571171.4745552,166109563.772794,166109563.772794,70770994.0132988,51421607.3321067,7814899.3459141,289451729.260648,47956607.58353,163640603.024618,36280182.0216494,110130814.700706,14703739.1149553,383493771.013867,672945500.274515,195659452.997681,20035725.2042538,175623727.793427,37309489.6200887,223646461.057602,51476545.2531508,34233787.1191762,17368461.6989926,52175538.5059606,275821999.563562,322509597.610919,-185327269.092146,209346727.022905,399117970.458045,397123500.710953,672945500.274515,5726000,6798000,2378000,10716000,25618000,-4987000,-4987000,-1304000,-27866000,9301000,-37167000,-30259000,-9628000,-9628000,-9513000,18901000,0,26640000,0.09974,0.03595,0.01613,0.0275906912468961,0.0175620034776143,4.90608,1.29649515830985,0.697224484757336,-0.0119349063469619,0.41432,0.41138,25.69029,24.1119154925706,2.03266,0.026761069955669,-0.0927463173008875,-4.95692924838609,11.1297223249685
"32","2018_Q3",69.467619047619,"Down",481144000,-453191000,27953000,-29890000,-19793000,-10097000,-1937000,-368000,-244000,-2305000,-11557000,-1486000,-13043000,-11403000,-11215000,-11215000,29700000,29700000,184313000,184313000,75067000,52961000,7234000,289080000,47450000,177717000,39303000,121138000,13556000,391155000,680235000,208971000,24956000,184015000,44876000,255561000,54807000,38722000,16085000,55314000,310875000,330027000,-210802000,202548000,371372000,369360000,680235000,-11403000,6879000,11484000,-40494000,-33534000,-3805000,-675000,-489000.000000002,-15728000,3104000,-18832000,-17747000,-51956000,-51956000,-52124000,4942000,2221000,-37871000,0.0581,-0.00403,-0.02331,-0.03036,-0.01649,3.37682,1.13116,0.84166,0.00327000000000001,-0.86215,-0.86215,36.98801,22.59568,-2.91134,-0.02372,-0.08882,-5.5603,14.18637
"33","2018_Q4",66.264126984127,"Down",421319000,-391608000,29711000,-22843000,-16203000,-6640000,6868000,-2575000,-348000,4293000,11048000,-4259000,6789000,7331000,7154000,7154000,47492000,47492000,181155000,181155000,32441000,27292000,5149000,261088000,47027000,231747000,52668000,160420000,12446000,442871000,703959000,209401000,17994000,191407000,17419000,263969000,62325000,44716000,17609000,62755000,326724000,331965000,-210812000,208589000,379044000,377235000,703959000,7331000,6640000,7560000,15432000,36963000,-4402000,-58908000,35264000,-2000,8000,-10000,34150000,12205000,12205000,12279000,13508000,37579000,28797000,0.07052,0.0163,0.01698,0.01896,0.01016,4.0253,0.98909,0.8661,0.05338,0.55605,0.55341,32.74726,23.44514,2.23826,0.01732,0.06035,-0.73386,-1.44336
"34","2019_Q1",65.4904918032787,"Down",145806000,-105694000,40112000,-18695000,-23199000,4504000,21417000,-2328000,-865000,19089000,13988000,3071000,17059000,-20479000,-20350000,-20350000,5678000,5678000,147756000,147756000,57546000,44167000,6328000,210980000,22965000,174197000,26146000,135216000,12835000,358665000,569645000,138346000,8828000,129518000,3819000,142883000,38019000,23049000,14970000,38372000,181255000,334762000,-210891000,187127000,388390000,388390000,569645000,-20479000,7360000,17951000,-25980000,-21148000,-4327000,19248000,-33471000,-79000.0000000009,0,-78999.9999999991,-37699000,-39599000,-39599000,-39881000,28777000,1071000,-4600999.99999999,0.27511,0.14689,-0.13957,-0.0524,-0.03572,0.226090000000001,1.47659,0.46668,0.00188000000000001,-1.582,-1.56559,11.33486,24.17678,-0.35768,-0.04501,-0.01076,-0.16009,-0.215110000000002
"35","2019_Q2",64.8003174603175,"Down",367815000,-340498000,27317000,-23876000,-19401000,-4475000,3441000,-1893000,-303000,1548000,1548000,-234000,1314000,582000,582000,582000,42418000,42418000,150353000,150353000,47243000,36063000,6619000,240014000,21809000,192019000,24587000,135216000,32216000,373374000,613388000,161182000,5307000,155875000,9637000,171469000,49315000,22240000,27075000,49591000,221060000,339422000,-211108000,186622000,392328000,392328000,613388000,582000,4475000,3179000,30595000,38831000,-1682000,-1682000,-145000,2340000,2557000,-217000,1108000,38257000,38257000,38257000,7916000,926000,37063000,0.07427,0.00936,0.00158,0.00148,0.00095,63.68213,1.39975,0.56346,0.00151,0.04512,0.04493,28.51342,24.41418,2.87316,0.00377,0.08375,-5.24154,-12.05812
"36","2019_Q3",56.96625,"Down",363911000,-345948000,17963000,-21213000,-16861000,-4352000,-3250000,-1550000,-301000,-4800000,-4800000,1391000,-3409000,-1711000,-1711000,-1711000,29804000,29804000,154864000,154864000,51946000,39818000,7947000,236614000,21548000,189722000,23028000,135216000,31478000,369218000,605832000,151936000,9635000,142301000,8404000,160648000,50508000,20909000,28886000,50707000,211355000,344694000,-211263000,183812000,394477000,394477000,605832000,-1711000,4352000,2320000,-20721000,-15760000,-2595000,-2595000,-421000,3671000,3826000,-155000,2152000,-16203000,-16203000,-16203000,1102000,507000,-23605000,0.04936,-0.00893000000000003,-0.00469999999999997,-0.00434,-0.00282,13.79603,1.47287,0.53579,0.00084,-0.13188,-0.13242,28.0484,24.45147,-1.81935,-0.00138,-0.05299,-26.5853,9.01446
"37","2019_Q4",61.04953125,"Up",393385000,-356271000,37114000,-20128000,-15979000,-4149000,16986000,-3310000,-189000,13676000,13676000,-5097000,8579000,8153000,4359000,4359000,40637000,40637000,198232000,198232000,16025000,11435000,4268000,254894000,21968000,189148000,21470000,135216000,32462000,365648000,620542000,157314000,7614000,149700000,8219000,165841000,57690000,24339000,32712000,57812000,223653000,346052000,-217254000,190857000,396889000,396889000,620542000,8153000,4149000,15373000,-10677000,16998000,-3025000,-3025000,566000,-5489000,502000,-5991000,-6674000,7299000,7299000,7299000,21135000,430000,12530000,0.09435,0.04318,0.01108,0.01098,0.00702,2.87451,1.53698,0.56352,0.00069,0.33545,0.3338,30.27306,24.59914,0.96425,0.01202,0.02754,-1.90239,-2.36707
"38","2020_Q1",61.883064516129,"Up",384833000,-358435000,26398000,-18843000,-15003000,-3840000,7555000,-23505000,-57000,-15950000,-15950000,4513000,-11437000,-6058000,-2264000,-2264000,61365000,61365000,180416000,180416000,14646000,10942000,3549000,256427000,23243000,186842000,19911000,135216000,31715000,340954000,597381000,135601000,9805000,125796000,14277000,150186000,52483000,22907000,29576000,52483000,202669000,351547000,-217688000,183733000,394712000,394712000,597381000,-6058000,3840000,59624000,-36535000,20871000,-3556000,-3556000,-7.45058059692383e-09,3823000,4257000,-433999.999999999,2638000.00000001,19953000,19953000,19953000,11395000,308000,-33209000,0.0686,0.01963,-0.00588,-0.00574,-0.00379,14.66829,1.7074,0.51346,0.00052,-0.17461,-0.17548,29.67974,24.49386,-2.5612,-0.00258,-0.07421,-5.35823,-8.08167
"39","2020_Q2",67.6569841269841,"Up",367291000,-332661000,34630000,-24585000,-20795000,-3790000,10045000,-2791000,-241000,7254000,7254000,9046000,16300000,16098000,12998000,12998000,254371000,254371000,172050000,172050000,36333000,32555000,3745000,462754000,22586000,183677000,18353000,135216000,30108000,334361000,797115000,158110000,38469000,119641000,170757000,329143000,62494000,34497000,27997000,62494000,391637000,354646000,-225024000,198736000,405478000,405478000,797115000,16098000,3790000,18293000,618000,38799000,-1574000,-1574000,1.62e+08,-5245000,2054000,-7299000,155546000,192771000,192771000,192771000,13835000,276000,3833000,0.09428,0.02735,0.03539,0.03206,0.01631,0.29489,1.40594,0.96586,0.00035,1.00079,0.99885,28.27982,25.28215,0.29512,0.0301,0.00819,-18.3661,-25.29567
"40","2020_Q3",86.5428125,"Up",282256000,-196106000,86150000,-37307000,-31199000,-6108000,48843000,2927000,-1498000,51770000,51770000,-14471000,37299000,36998000,-11078000,-11078000,41786000,41786000,170063000,170063000,34031000,23409000,10533000,245880000,20793000,255687000,92242000,135216000,28229000,408454000,654334000,191906000,8293000,183613000,9407999.99999994,201314000,61184000,34348000,26836000,87263000,288577000,402452000,-227911000,185917000,365757000,365757000,654334000,36998000,6108000,-1000,65284000,108389000,-756000,-78421000,-1.62e+08,6388000,9275000,-2887000,-239324000,-209356000,-209356000,-209356000,54951000,26079000,133950000,0.30522,0.17305,-0.03925,-0.03029,-0.01693,-12.09153,1.22138,0.78899,0.03986,-0.84706,-0.84524,21.5823,27.56191,10.2423,-0.02254,0.29568,-0.28584,-0.321580000000001
"41","2020_Q4",124.05328125,"Up",320619000,-235543000,85076000,-41742000,-34441000,-7301000,43334000,9946000,-379000,53280000,53280000,-14360000,38920000,38805000,32643000,32643000,183277000,183277000,164944000,164944000,31115000,20266000,10492000,379336000,21048000,249959000,87358000,135216000,27385000,412299000,791635000,261351000,26677000,234674000,9243000,270594000,60730000,35520000,25210000,110974000,381568000,416524000,-227966000,221509000,410067000,410067000,791635000,38805000,7301000,-11009000,104941000,140038000,-2456000,-2456000,0,10252000,10252000,0,4146000,141728000,141728000,141728000,50635000,50244000,167480000,0.26535,0.13516,0.10181,0.0796,0.04123,5.13066,1.40186,0.9305,0.06347,2.3255,2.31074,22.84107,29.21339,11.93136,0.0627,0.32143,-2.62729,-3.06995
"42","2021_Q1",155.348360655738,"Up",398509000,-314485000,84024000,-63088000,-54104000,-8984000,20936000,-18821000,-15481000,2114999.99999999,2115000,-5020000,-2905000,-3065000,54273000,54273000,183281000,183281000,197943000,197943000,38304000,32643000,5661000,419528000,27544000,841375000,292762000,444927000,50796000,1006385000,1425913000,306463000,8464000,297999000,11200000,317663000,210659000,92195000,118464000,696639000,1014302000,421338000,-228141000,218414000,411611000,411611000,1425913000,-3065000,8983000,-3938000,59229000,61209000,-7364000,-552561000,5e+08,3832000,3832000,0,487892000,-3460000.00000006,-3460000.00000006,-3460000.00000006,29919000,485980000,86804000,0.21085,0.05254,0.13619,0.13186,0.03806,1.5994,1.32067,2.46422,0.34082,3.83109,3.74627,28.13042,29.05528,6.12742,0.04897,0.07833,10.11728,14.4583
"43","2021_Q2",149.83380952381,"Down",456258000,-360333000,95925000,-67164000,-54925000,-12239000,28761000,-8423000,-8423000,20338000,20338000,-4739000,18840000,18840000,18840000,18840000,299559000,299559000,211340000,211340000,26335000,13927000,12267000,537234000,30195000,823126000,336150000,444927000,42049000,994541000,1531775000,469361000,33779000,435582000,16722000,486083000,140234000,91579000,48655000,626939000,1113022000,424811000,-243312000,237254000,418753000,418753000,1531775000,18840000,12239000,-3324000,106809000,134564000,-5388000,-5388000,801984141.649314,-12164000,2286000,-14450000,-12925000,116251000,116251000,116251000,4.1e+07,486705000,147160000,0.21024,0.06304,0.04129,0.04499,0.0123,7.81104,1.10523,2.65794,0.31774,1.33063,1.31177,32.22465,29.57574,10.39363,0.01802,0.14073,4.56454,6.50694
"44","2021_Q3",178.0890625,"Up",475300000,-379565000,95735000,-68285000,-56465000,-11820000,27450000,-8287000,-8287000,19163000,19163000,-5671000,13672000,13672000,13672000,13672000,290909000,290909000,226973000,226973000,39140000,26274000,12725000,557022000,30268000,847745000,327012000,448760000,71973000,1019176000,1576198000,510728000,16253000,494475000,18520000,529248000,150263000,89352000,60911000,637693000,1166941000,426332000,-268001000,250926000,409257000,409257000,1576198000,13672000,11820000,5575000,3481999.99999999,34549000,-2744000,-18587000,799978264.98193,-24541000,49000,-24590000,-24641000,-8678999.99999997,-8678999.99999997,-8679000,39270000,487430000,45679000,0.20142,0.05775,0.02876,0.03341,0.00867,3.34106,1.05248,2.85136,0.30924,0.96563,0.95194,33.56955,28.90505,3.22622,0.01306,0.04363,5.00435,7.15923
"45","2021_Q4",154.6903125,"Down",493059000,-399272000,93787000,-80813000,-68205000,-12608000,12974000,-17702000,-17702000,-4728000,-4728000,2001000,2118000,2118000,2118000,2118000,126506000,126506000,289230000,289230000,54916000,41655000,13120000,470652000,52538000,1477610000,491997000,929986000,55627000,1664501000,2135153000,555102000,33458000,521644000,20865000,575967000,180530000,112461000,68069000,1155199000,1731166000,428663000,-268032000,243356000,403987000,403987000,2135153000,-7572000,12608000,1120000,-575000,5581000,-5720000,-657105000,5e+08,764000,764000,0,487288000,-164236000,-164236000,-164236000,25582000,974669000,17286000,0.19021,0.02631,0.0043,0.00524,0.00099,8.16147,0.81715,4.2852,0.45649,0.15136,0.15136,35.23502,28.86975,1.23529,0.00136,0.01109,33.15468,65.37406
"46","2022_Q1",115.464838709677,"Down",577716000,-445128000,132588000,-112002000,-91671000,-20331000,20586000,-14669000,-14669000,5917000,5917000,-320000,-40919000,-41215000,-41215000,-41215000,133139000,133139000,233121000,233121000,43574000,38551000,5023000,409834000,479065000,1055457000,498413973.997977,924787000,65973000,1617591000,2027425000,517361000,8690000,508671000,9873000,527234000,151699000,94611000,57088000,1126924000,1654158000,430469000,-269031000,211829000,373267000,373267000,2027425000,-31525000,20331000,49698000,-26358000,12146000,-7464000,-4545000,0,-825999.999999996,128000,-954000,-871000,6729999.99999997,6729999.99999997,6730000.00000003,40917000,975225000,7415000,0.2295,0.03563,-0.07134,-0.11042,-0.02033,-0.179910000000008,0.77733,4.43157,0.48102,-2.94531,-2.94531,41.28478,26.67443,0.52989,-0.02747,0.00494,20.58035,40.90576
"47","2022_Q2",101.001935483871,"Down",574943000,-459315000,115628000,-100754000,-76808000,-23946000,14874000,-15400000,-15400000,-526000,-526000,361000,318000,318000,318000,318000,194063000,194063000,262589000,262589000,52405000,33668000,18737000,509057000,57676000,1462918000,410475000,924787000,67407000,1603927000,2112984000,597437000,38050000,559387000,15506000,612943000,147608000,88025000,59583000,1123841000,1736784000,433656000,-269603000,212147000,376200000,376200000,2112984000,318000,23946000,-5798000,50604000,69070000,-8584000,-8584000,-278663839.061191,1138000,1138000,-92896553.0815346,566000,61052000,61052000,61052000,38820000,976233000,80479000,0.20111,0.02587,0.00055,0.00085,0.00015,253.07862,0.83051,4.61665,0.46202,0.02272,0.02272,41.0718,26.87433,5.74912,0.00021,0.05365,20.14863,52.58639
"48","2022_Q3",103.5928125,"Up",631545000,-504230000,127315000,-104169000,-79411000,-24758000,23146000,-15472000,-15472000,7674000,7674000,-2291000,3328000,3328000,3328000,3328000,87956000,87956000,272402000,272402000,35426000,28731000,6695000,395784000,62739000,1520676000,424371000,968476000,71694000,1663779000,2059563000,543459000,10622000,532837000,9973000,553432000,146930000,80119000,66811000,1124191000,1677623000,436104000,-269639000,215475000,381940000,381940000,2059563000,3328000,24758000,4561000,-50511000,-17864000,-7315000,-86176000,0,9.31322574615479e-10,0,-336101659.244604,-2450000,-106490000,-106490000,-106490000,47904000,977261000,-7631000,0.20159,0.03665,0.00527,0.00871000000000001,0.00162,-2.29297000000005,0.71514,4.39237,0.4745,0.23691,0.23577,44.95795,27.18926,-0.54323,0.00221,-0.00507,18.56432,38.42154
