"","YQ","p","d","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_investment_income_loss","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","stock_based_compensation","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","other_change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","cash_for_acquisition_of_subsidiaries","net_cash_from_other_acquisitions","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"25","2016_Q2",124.17734375,"Up",777300000,-458600000,-414300000,-44300000,318700000,-45900000,-54500000,5e+05,1400000,6700000,272800000,-19200000,253600000,-89200000,164400000,164400000,-3e+05,164100000,164100000,696300000,696300000,1328500000,1328500000,188200000,531900000,360100000,2744900000,1771700000,9893800000,3410400000,6252400000,61200000,167500000,11665500000,14410400000,1050900000,4.66e+08,584900000,425400000,1642700000,5969500000,1615900000,1293200000,322700000,7585400000,9228100000,2034800000,4383200000,-258300000,5166500000,15800000,5182300000,14410400000,164400000,122400000,42300000,31800000,18200000,-7700000,-201500000,-105800000,2400000,-34100000,-6.4e+07,127600000,-68900000,2500000,-71400000,-82700000,-2100000,-93300000,-151600000,-1500000,11900000,11900000,0,-11100000,-7e+05,-24700000,-24700000,4600000,-20100000,441100000,6394900000,259900000,0.03167,0.01139,1.58379,1.67097,1.7807,0.44377,1.61516,1.58398,50.85138,2.55807,0.01244,0.0197,12.91907,17.88077
"26","2016_Q3",135.9640625,"Up",826800000,-454700000,-409400000,-45300000,372100000,-53600000,-53500000,4e+05,1900000,-2400000,318500000,-6600000,311900000,-107500000,204400000,204400000,-3e+05,204100000,204100000,639600000,639600000,1314400000,1314400000,189600000,500500000,297200000,2644100000,1741900000,9.813e+09,3357900000,6218300000,61700000,173100000,11554900000,1.4199e+10,1008900000,443500000,565400000,87399999.9999999,1271600000,5967600000,1630900000,1310600000,320300000,7598500000,8870100000,2100200000,4581400000,-357400000,5.313e+09,15900000,5328900000,1.4199e+10,204400000,125400000,23400000,25800000,-3200000.00000001,8e+05,-3700000,6199999.99999997,-1800000,-20200000,12100000,349500000,-48200000,18800000,-6.7e+07,-58600000,-7800000,-50800000,-106800000,-340200000,28800000,28800000,2.3283064365387e-10,3700000,-307700000,-6.5e+07,-6.5e+07,8300000,-56700000,497500000,6.055e+09,553100000,0.0383,0.01437,2.70995,2.07935,1.66453,0.42644,1.99706,1.96439,51.9863,5.41194,0.01568,0.0425,10.88523,14.55361
"27","2016_Q4",128.179841269841,"Down",788400000,-441600000,-400500000,-41100000,346800000,-60600000,-58200000,6e+05,2600000,-5600000,286200000,-22800000,263400000,-83600000,179800000,179800000,-3e+05,179500000,179500000,567600000,567600000,1346600000,1346600000,198800000,541900000,325600000,2654900000,1730600000,10097500000,3457200000,6.389e+09,60400000,1.89e+08,11828100000,1.4483e+10,1044500000,454800000,589700000,698200000,1912200000,5473200000,1558600000,1227900000,330700000,7031800000,8.944e+09,2142400000,4770700000,-3.78e+08,5523400000,15600000,5.539e+09,1.4483e+10,179800000,121100000,20800000,24300000,-9800000,6300000,-71800000,-9600000,-5400000,-2e+06,-54800000,249900000,-63600000,2600000,-66200000,-254100000,-2200000,-252700000,-317700000,-20800000,26700000,26700000,0,8e+05,6700000,-61100000,-61100000,-10900000,-7.2e+07,467900000,6171400000,416100000,0.03241,0.01239,2.31811,1.3884,1.61473,0.42611,1.74103,1.71115,53.57323,4.03589,0.01353,0.03136,11.97649,16.15859
"28","2017_Q1",136.621290322581,"Up",461500000,-170100000,-121300000,-48800000,291400000,-36900000,-52900000,2e+05,2e+06,13800000,254500000,-9800000,244700000,-80400000,164300000,164300000,-2e+05,164100000,164100000,433600000,433600000,1328700000,1328700000,205200000,511200000,321200000,2478700000,1718600000,10049700000,3400500000,6424400000,57600000,165100000,11768300000,1.4247e+10,1102100000,508400000,593700000,549500000,1827600000,5.3e+09,1598400000,1206400000,3.92e+08,6898400000,8.726e+09,2143800000,4955800000,-581100000,5505800000,15200000,5.521e+09,1.4247e+10,164300000,130300000,71400000,27700000,49500000,-5800000,104100000,25600000,-4800000,47600000,35700000,470100000,-67400000,6900000,-74300000,-152200000,-4e+05,-151800000,-219600000,-290900000,-40700000,3200000,-43900000,-37700000,-369300000,-118800000,-118800000,-15200000,-1.34e+08,421700000,5849500000,538800000,0.02972,0.01152,3.28336,1.35626,1.58051,0.41058,1.59166,1.56584,53.40252,5.22599,0.01265,0.04155,12.84302,18.58579
"29","2017_Q2",141.296507936508,"Up",712500000,-390500000,-342900000,-47600000,3.22e+08,-52800000,-52400000,3e+05,2300000,-3e+06,269200000,-3900000,265300000,-8.2e+07,183300000,183300000,-3e+05,1.83e+08,1.83e+08,365500000,365500000,1356900000,1356900000,199800000,563800000,343100000,2.486e+09,1.72e+09,1.0222e+10,3469300000,6502100000,58100000,190400000,1.1942e+10,1.4428e+10,1049600000,484900000,564700000,519200000,1753200000,5401900000,1606700000,1212400000,394300000,7008600000,8761800000,2063200000,5.148e+09,-527100000,5650700000,15500000,5666200000,1.4428e+10,183300000,128100000,47200000,27700000,18700000,8e+05,-132700000,-26700000,4900000,1600000,-112500000,225900000,-72600000,8e+05,-72200000,-172900000,-21100000,-151800000,-245500000,70800000,-1.21e+08,2.7e+07,-1.48e+08,-1700000,-51900000,-71500000,-71500000,3400000,-68100000,450100000,5921100000,326800000,0.0323,0.01268,1.78579,1.41798,1.54633,0.41039,1.78537,1.75455,55.12878,3.18829,0.01387,0.02477,12.34303,17.25342
"30","2017_Q3",153.905396825397,"Up",7.78e+08,-409100000,-357700000,-51400000,368900000,-50700000,-5.5e+07,4e+05,4500000,-599999.999999998,318200000,-39100000,279100000,-9.4e+07,185100000,185100000,-3e+05,184800000,184800000,299900000,299900000,1379300000,1379300000,209900000,626600000,379300000,2515700000,1717900000,10668900000,3621200000,6641400000,67200000,3.37e+08,12386800000,14902500000,1108700000,491700000,6.17e+08,519600000,1805500000,5608300000,1594700000,1193700000,4.01e+08,7.203e+09,9008500000,1984700000,5336600000,-384300000,5878100000,15900000,5.894e+09,14902500000,185100000,1.27e+08,12800000,2.5e+07,-23300000,11100000,-14399999.9999999,-23500000,-5600000,7e+06,7700000,310500000,-70200000,199999.999999999,-69300000,-421200000,-5e+06,-416200000,-491400000,210700000,-103600000,4399999.99999999,-1.08e+08,-3e+05,106800000,-74100000,-74100000,8400000,-65700000,495900000,6127900000,505300000,0.03135,0.0124,2.73431,1.39335,1.52842,0.4112,1.80469,1.78206,57.40332,4.93457,0.01357,0.03711,11.75237,15.79832
"31","2017_Q4",152.484444444444,"Down",784200000,-435900000,-381300000,-54600000,348300000,-59800000,-59900000,7e+05,3200000,-3800000,288500000,-21600000,266900000,-92600000,174300000,174300000,-2800000,171500000,171500000,409300000,409300000,1556600000,1556600000,217200000,717500000,450200000,2900600000,1736200000,1.2055e+10,4415300000,7325100000,64700000,247800000,13791200000,16691800000,1205500000,595400000,610100000,18100000,1537200000,7200300000,1801500000,1398100000,403400000,9001800000,1.0539e+10,2010400000,5517200000,-342500000,6125900000,26900000,6152800000,16691800000,174300000,133100000,51400000,33100000,4500000,13800000,37900000,-50300000,-5700000,100500000,-6600000,396700000,-75100000,2e+05,-75300000,-1238400000,-7100000,-1231300000,-1313500000,1087400000,-8300000,33800000,-42100000,-60500000,1018600000,101800000,101800000,7500000,109300000,481400000,7218400000,536800000,0.02787,0.01027,3.13003,1.88694,1.71288,0.43245,1.67808,1.65381,59.94031,5.25245,0.0113,0.03538,14.14437,19.54953
"32","2018_Q1",169.491803278689,"Up",817100000,-480200000,-417300000,-62900000,336900000,-64400000,-67800000,7e+05,1300000,1400000,272500000,-6300000,266200000,4.24e+08,690200000,690200000,-2400000,687800000,687800000,316600000,316600000,1.531e+09,1.531e+09,227200000,6.59e+08,308800000,2733800000,1706600000,12232600000,4166100000,7400900000,58400000,605300000,13939200000,1.6673e+10,1367200000,573900000,793300000,417500000,2185700000,6344600000,1317800000,875500000,442300000,7662400000,9848100000,2001800000,6196100000,-333700000,6804100000,20800000,6824900000,1.6673e+10,690200000,1.45e+08,-501700000,23900000,-525700000,1e+05,231500000,87300000,-1e+07,63200000,9.1e+07,5.65e+08,-9.2e+07,4300000,-96100000,-86300000,-3e+06,-83300000,-178300000,-444900000,-31600000,8400000,-4e+07,-3799999.99999999,-480300000,-93600000,-93600000,1200000,-92400000,481900000,6762100000,197400000,0.10078,0.04125,0.287,1.25077,1.44297,0.40557,6.71024,6.61983,66.38146,1.92585,0.04615,0.01324,13.37518,19.13179
"33","2018_Q2",174.17671875,"Up",7.79e+08,-459300000,-3.97e+08,-62300000,319700000,-63900000,-63500000,6e+05,2500000,-3500000,255800000,-14300000,241500000,-6.9e+07,172500000,172500000,7e+05,173200000,173200000,361800000,361800000,1.613e+09,1.613e+09,226200000,695600000,3.47e+08,2896600000,1749900000,12185200000,4297500000,7615500000,58400000,212100000,13935100000,16831700000,1268200000,519100000,749100000,417700000,2.104e+09,6359300000,1364200000,991400000,372800000,7723500000,9827500000,1.981e+09,6369300000,-281200000,6.984e+09,20200000,7004200000,16831700000,172500000,142800000,65300000,25800000,3.6e+07,3500000,-200900000,-53600000,1400000,-59800000,-88900000,179700000,-72400000,1e+05,-72500000,-1900000,-1900000,0,-74300000,12200000,-46600000,28400000,-7.5e+07,-30600000,-6.5e+07,40400000,40400000,4700000,45100000,462500000,6.777e+09,258200000,0.02473,0.01029,1.49076,1.37671,1.40309,0.40263,1.69971,1.67505,68.53778,2.53386,0.01144,0.01705,13.8707,20.06631
"34","2018_Q3",175.513015873016,"Up",835100000,-453700000,-395200000,-58500000,381400000,-56500000,-63100000,8e+05,3e+06,2799999.99999999,324900000,-12200000,312700000,-78600000,234100000,234100000,-3e+05,233800000,233800000,221400000,221400000,1520300000,1520300000,230700000,1048800000,286100000,3021200000,1710900000,11772400000,4049500000,7423300000,58900000,2.39e+08,13483300000,16504500000,1.228e+09,488100000,739900000,417800000,2121500000,6039400000,1285900000,914100000,371800000,7325300000,9446800000,1946800000,6603100000,-4.07e+08,7037700000,2e+07,7057700000,16504500000,234100000,138500000,23500000,26200000,-5.96046447753906e-08,-2700000,-53799999.9999999,66800000,-6100000,-31500000,-8.3e+07,342300000,-86600000,6e+05,-87200000,-84500000,-5400000,-79100000,-1.22e+08,-312300000,-60400000,14600000,-7.5e+07,24700000,-3.48e+08,-127700000,-127700000,-12600000,-140300000,519900000,6457200000,458100000,0.03313,0.01417,1.95937,1.42409,1.33851,0.39124,2.29441,2.2699,69.06477,4.49558,0.0158,0.03095,11.99423,16.34976
"35","2018_Q4",154.571587301587,"Down",789900000,-436500000,-381800000,-54700000,353400000,156200000,-59400000,2800000,3e+06,209800000,509600000,-1e+07,499600000,-180500000,319100000,319100000,-3e+05,318800000,318800000,892600000,892600000,1536100000,1536100000,2.33e+08,612600000,292500000,3274300000,1734300000,11652800000,3990900000,7362700000,57900000,239400000,13387100000,16661400000,1.399e+09,497500000,901500000,417800000,2106200000,6044600000,1242100000,899100000,3.43e+08,7286700000,9392900000,1840300000,6921900000,-407800000,7248100000,20400000,7268500000,16661400000,319100000,133100000,-211500000,18800000,-23900000,-206400000,56300000,-21700000,-4100000,11400000,70700000,2.97e+08,-48500000,49400000,-97900000,-7e+06,-7e+06,0,549900000,-2e+06,-125600000,24400000,-1.5e+08,-46400000,-1.74e+08,672900000,672900000,-1700000,671200000,486500000,6462400000,674800000,0.04386,0.01913,2.11669,1.5546,1.29227,0.38787,3.1378,3.10419,71.33957,6.64173,0.02129,0.04507,11.44872,15.76061
"36","2019_Q1",142.139180327869,"Down",772400000,-453100000,-396900000,-56200000,319300000,-93200000,-58200000,3300000,3100000,-41400000,226100000,-11600000,214500000,-56300000,158200000,158200000,-3e+05,157900000,157900000,426800000,426800000,1467900000,1467900000,237300000,703400000,3.09e+08,2835400000,1740300000,11609600000,3911100000,7360300000,60500000,2.76e+08,13349900000,16185300000,1504600000,634600000,8.7e+08,1e+07,1878900000,5990900000,1.325e+09,9.4e+08,3.85e+08,7315900000,9194800000,1462800000,7079800000,-463100000,6971400000,19100000,6990500000,16185300000,158200000,137700000,62400000,20800000,10100000,31500000,128100000,58700000,-10100000,123200000,-43700000,486400000,5.36e+08,658200000,-122200000,-6099999.99999999,14300000,-38700000,-146900000,-440900000,-398300000,1700000,-4e+08,36300000,-802900000,-463400000,-463400000,-2400000,-465800000,4.57e+08,6000900000,1177400000,0.02259,0.00976,7.45662,1.50907,1.31533,0.37076,1.57585,1.55874,69.57485,11.7505,0.01103,0.08224,12.19716,17.45725
"37","2019_Q2",160.999365079365,"Up",789700000,-450900000,-393800000,-57100000,338800000,-63500000,-56700000,6e+05,3e+06,-10400000,275300000,-20600000,254700000,-68800000,185900000,185900000,-3e+05,185600000,185600000,348800000,348800000,1.563e+09,1.563e+09,233700000,739800000,317100000,2885300000,2457900000,11627600000,3884900000,7385900000,66900000,288200000,14085500000,16970800000,1389500000,592200000,797300000,501700000,2526900000,5495600000,1817500000,959100000,858400000,7313100000,9.84e+09,1412900000,7265400000,-439500000,7111300000,19500000,7130800000,16970800000,185900000,198500000,47800000,25500000,17100000,5200000,-266400000,-90800000,3400000,-28800000,-150200000,165800000,-90300000,3900000,-94200000,-50200000,-3300000,-47300000,-140500000,-8200000,-75400000,24700000,-100100000,-19600000,-103200000,-77900000,-77900000,-1e+05,-7.8e+07,537300000,5997300000,249400000,0.02603,0.01094,1.34375,1.14183,1.37993,0.35339,1.88235,1.86533,72.12272,2.52941,0.01242,0.01669,10.51275,16.67208
"38","2019_Q3",168.3809375,"Up",824800000,-475500000,-415300000,-60200000,349300000,-65700000,-59100000,1400000,2500000,-10500000,283600000,-13600000,2.7e+08,-79300000,190700000,190700000,-3e+05,190400000,190400000,265400000,265400000,1576100000,1576100000,219700000,787400000,298600000,2848600000,2544200000,12351600000,4015900000,7843700000,86700000,403600000,14895800000,17744400000,1351900000,531600000,820300000,502300000,2495800000,6.135e+09,1949200000,948300000,1000900000,8084200000,1.058e+10,111400000,9100000,7043900000,7164400000,20096282.0570745,7164400000,17744400000,190700000,172600000,40700000,26500000,-1900000,16100000,-150500000,-3e+05,-5100000,-80200000,-64900000,253500000,-84900000,3e+05,-85200000,-665900000,-12500000,-656400000,-750800000,631300000,-190700000,9200000,-199900000,-25700000,414900000,-82399999.9999999,-82399999.9999999,-1e+06,-83400000,521900000,6637300000,365800000,0.02658,0.01073,1.92122,1.14136,1.47675,0.37405,1.9389,1.92908,72.95723,3.72505,0.01209,0.02322,12.20904,18.24191
"39","2019_Q4",166.58453125,"Down",817300000,-463200000,-401500000,-61700000,354100000,-52600000,-60500000,2800000,2400000,2700000,301500000,-14200000,287300000,-66300000,2.21e+08,2.21e+08,-3e+05,220700000,220700000,361100000,361100000,1617200000,1617200000,234900000,774600000,297700000,2987800000,2462800000,12397200000,4021300000,7815300000,8.6e+07,458900000,1.486e+10,17847800000,1438100000,607800000,830300000,502600000,2554900000,6101300000,1940800000,9.69e+08,971800000,8042100000,1.0597e+10,67500000,9e+06,7174300000,7250800000,20261171.4753399,7250800000,17847800000,2.21e+08,50300000,160400000,31500000,8100000,120800000,23900000,-53200000,1700000,80800000,-5400000,455600000,-9.1e+07,1600000,-92600000,-148700000,-5500000,-149200000,-239700000,-85400000,-74900000,25100000,-1e+08,45300000,-1.15e+08,100900000,100900000,-5200000,95700000,404400000,6603900000,403600000,0.03044,0.01237,1.82873,1.16944,1.46149,0.37001,2.26359,2.24745,74.36718,4.13949,0.01397,0.02555,15.43719,17.63005
"40","2020_Q1",166.253870967742,"Down",820700001,-478100000,-413900000,-64200000,342600001,-43500000,-64400000,4e+06,1900000,1.5e+07,299100001,-6199999.99999997,292900001,-65600000,227300001,227300001,-2e+05,227100001,227100001,337500000,337500000,1543900000,1543900000,244700000,855100000,373700000,2981200000,2636600000,12428600000,4034500000,7.865e+09,84900000,435400000,15065200000,18046400000,1574700000,632300000,942400000,423600000,2655800000,5789800000,2013700000,942800000,1070900000,7803500000,10459300000,35800000,7903600000,-372400000,7.567e+09,20100000,7587100000,18046400000,227300000,155800000,88100000,23500000,5900000,58700000,98600001,80200001,-21900000,15400000,24900000,569800001,-126300000,1900000,-128200000,-9499999.99999994,21300000,-23100000,-152100000,-327600000,-44300000,5700000,-5e+07,-77500000,-449400000,-31699999.0000001,-31699999.0000001,8100000,-23599999,498400001,6213400000,536300002,0.02993,0.01258,2.36151,1.12252,1.37856,0.3443,2.33402,2.31735,77.76978,5.51182,0.01436,0.03391,11.78953,17.1509
"41","2020_Q2",159.63619047619,"Down",7.28e+08,-457800000,-395500000,-62300000,270200000,-75100000,-5.5e+07,2600000,-6600000,-16100000,195100000,-462800000,-267700000,-49200000,-316900000,-316900000,-3e+05,-317200000,-317200000,323600000,323600000,1482200000,1482200000,2.54e+08,831300000,353200000,2891100000,2609600000,11797700000,3905100000,7388500000,6.7e+07,430600000,14407300000,17298400000,1396800000,568700000,828100000,417400000,2.458e+09,5790200000,2011600000,943100000,1068500000,7801800000,10259800000,18500000,9e+06,7011100000,7038600000,19762046.1294296,7038600000,17298400000,-316900000,144600000,560900000,17900000,5100000,537900000,-184800000,46700000,-10600000,-56500000,-164400000,203800000,-99600000,7e+06,-106600000,-7e+06,-7900000,24397961.3105325,-106600000,0,-73100000,26900000,-1e+08,-29700000,-102800000,-5600000,-5600000,-8300000,-13900000,414800000,6207600000,179600000,-0.04507,-0.01834,-0.5662,1.1762,1.45765,0.35885,-3.26337,-3.26337,72.41358,1.84774,-0.02079,0.01177,14.18515,21.77646
"42","2020_Q3",182.86984375,"Up",760500000,-456400000,-396300000,-60100000,304100000,-700000.000000015,-52700000,2500000,1800000,47700000,303400000,-6399999.99999988,2.97e+08,-65400000,231600000,231600000,0,231600000,231600000,5.57e+08,5.57e+08,1.661e+09,1.661e+09,342300000,852900000,317500000,3413200000,2627700000,11808200000,3877200000,7422700000,72300000,431100000,14435900000,17849100000,1566800000,534100000,1032700000,790800000,3034400000,5416600000,2025900000,907300000,1118600000,7442500000,10476900000,51600000,9e+06,7311600000,7372200000,19572375.3746867,7372200000,17849100000,231600000,143900000,64100000,39800000,-34500000,58800000.0000001,-68900000,-170900000,-87800000,-32400000,222200000,370700000,-98300000,2e+05,-98500000,-25100000,-13900000,-11300000,-123400000,0,1900000,1900000,-1.49011611938477e-08,-18800000,-16900000,230400000,230400000,3e+06,233400000,4.48e+08,6207400000,346200000,0.03142,0.01298,1.49482,1.12484,1.42114,0.34777,2.38272,2.38272,75.84568,3.56173,0.01484,0.02218,12.6125,18.58073
"43","2020_Q4",199.3003125,"Up",1559400000,-481700000,-419500000,-62200000,1077700000,-1e+08,-51400000,2600000,3e+06,-54200000,977700000,-30600000,947100000,-243400000,703700000,703700000,-3e+05,703400000,703400000,667200000,667200000,2095199999,2095199999,392500000,930700000,327200000,4085599999,2608600000,12045400000,3920500000,7613800000,70700000,4.37e+08,1.4654e+10,18739599999,1937300000,639500000,1297800000,577800000,3009900000,5417300000,2053400000,891500000,1161900000,7470700000,10480600000,89700000,8.464e+09,-314600000,8239100000,19900000,8.259e+09,18739600000,703700000,152300000,78200000,27200000,-19100000,70100000,-1.48e+08,-422700000,-49100000,106200000,217600000,786200000,-83300000,-6100000,-77200000,-2.06e+08,-7500000,-197500000,-285200000,-412200000,-28800000,-28800000,0,44300000,-396700000,104300000,104300000,5900000,110200000,1.23e+09,5995100000,1242100000,0.08517,0.03754,1.76585,1.35739,1.26899,0.31992,7.21436,7.08359,84.50359,12.73949,0.04313,0.07617,4.33163,4.94377
"44","2021_Q1",231.559344262295,"Up",1904900000,-608800000,-5.18e+08,-90800000,1296100000,-50500000,-48300000,2600000,4700000,-9500000,1245600000,-2899999.99999999,1242700000,-304100000,938600000,938600000,-3e+05,938300000,938300000,1320800000,1320800000,2479800000,2479800000,423200000,901599999,364800000,5125399999,2729600000,12216700000,3961100000,7751500000,73500000,4.1e+08,14946300000,20071699999,1996600000,638900000,1357700000,575400000,3756100000,5.419e+09,1439300000,828500000,610800000,6858300000,10614400000,119300000,9479200000,-161900000,9436600000,20700000,9457300000,20071700000,938600000,183900000,107300000,26800000,1500000,7.9e+07,-455200001,-366500000,-49100000,-22600000,-17000001,774599999,-58400000,4.1e+07,-99400000,-29500000,29300000,-58800000,-1.28e+08,-5.96046447753906e-08,55900000,55900000,0,-56900000,-1e+06,645599999,645599999,8e+06,653599999,1.48e+09,5994400000,1270499999,0.09921,0.04675,1.35404,1.36455,1.12235,0.29865,9.64337,9.54527,96.98458,13.05755,0.05555,0.07522,3.15784,3.60589
"45","2021_Q2",262.902698412698,"Up",1.599e+09,-521900000,-429800000,-92100000,1077100000,-36100000,-48500000,2400000,4500000,5500000,1.041e+09,-19200000,1021800000,-251700000,770100000,770100000,-5e+05,769600000,769600000,1890800000,1890800000,2323500000,2323500000,427500000,996300000,416800000,5638100000,2.697e+09,1.2082e+10,3.834e+09,7720500000,8.5e+07,422300000,1.4779e+10,20417100000,2129400000,621300000,1508100000,6.99e+08,3368700000,4920900000,2085100000,857700000,1227400000,7.006e+09,10374700000,76099999,10171900000,-226500000,10021499999,20900000,10042399999,20417099999,770100000,183900000,4.6e+07,28700000,-27800000,45100000,157600000,146700000,-4700000,-16900000,32500000,1157600000,-92800000,2600000,-95400000,-39600000,-5500000,-34100000,-132400000,-3.75e+08,-68500000,80410838.7891235,-68500000,-6600000,-450100000,575100000,575100000,-5100000,5.7e+08,1.261e+09,5619900000,1577500000,0.07664,0.03769,2.04977,1.67367,1.03309,0.27525,7.88525,7.8132,102.6793,16.16291,0.04336,0.08889,2.95726,3.46217
"46","2021_Q3",290.7925,"Up",1264800000,-551100000,-458700000,-92400000,713700000,-53500000,-78300000,2700000,8e+06,14100000,660200000,-9600000,650600000,-182600000,4.68e+08,4.68e+08,-6e+05,467400000,467400000,1963200000,1963200000,2210100000,2210100000,421300000,1098900000,461900000,5693500000,2701800000,12021800000,3753800000,7744500000,82100000,417700000,14723600000,20417100000,1917800000,599900000,1317900000,202600000,2667100000,5422600000,2061300000,8.26e+08,1235300000,7483900000,1.0151e+10,8900000,10417400000,-181200000,10245100000,2.1e+07,10266100000,20417100000,4.68e+08,187100000,19700000,23900000,-57700000,53500000,-187600000,118300000,-12800000,-27400000,-265700000,487200000,-97100000,1e+05,-97200000,6699999.99999997,-6400000,-7.45058059692383e-09,-90400000,0,-273400000,26600000,-3e+08,-5.2e+07,-325400000,71400000,71400000,1000001,72400001,900800000,5625200000,798700000,0.04553,0.02289,1.70881,2.13472,0.98879,0.27551,4.78893,4.74518,104.97029,8.1834,0.02604,0.04449,4.06528,5.13101
"47","2021_Q4",285.64296875,"Down",1385500000,-612100000,-519900000,-92200000,773400000,1300000,-42200000,3200000,8400000,31900000,774700000,-6500000,768200000,-180400000,587800000,587800000,-5e+05,587300000,587300000,2036500000,2036500000,2335400000,2335400000,410700000,1237899999,518299999,6020499999,2692200000,12153800000,3755100000,7906800000,62100000,4.06e+08,1.4846e+10,20866499999,2093200000,669400000,1423800000,201300000,2888400000,5417200000,2015800000,804800000,1.211e+09,7.433e+09,10321400000,8800000,10786600000,-270900000,10524500000,20600000,10545100000,20866500000,587800000,186100000,48200000,25153888.1880126,-57828924.322628,56907937.5968783,-54800000,22583882.1731203,-35641254.590803,-56421875.9204511,-467612315.778652,767300000,-1.17e+08,8e+05,-117800000,-300700000,-198476.268175561,-160640843.417708,-407300000,0,-326600000,-26600000,-3e+08,44900000,-281700000,78300000,78300000,-5000001,73299999,959500000,5618500000,968100000,0.05569,0.02815,1.64839,2.08437,0.97879,0.26926,6.09865,6.0484,109.28868,10.05296,0.03231,0.05325,3.73319,4.6315
"48","2022_Q1",271.366290322581,"Down",1.375e+09,-636600000,-543700000,-92900000,738400000,-44600000,-43100000,1900000,5600000,-9e+06,693800000,-7800000,6.86e+08,-132400000,553600000,553600000,-6e+05,5.53e+08,5.53e+08,1472700000,1472700000,2261500000,2261500000,401400000,1194900000,478100000,5330500000,2815400000,12239500000,3735500000,7958900000,60900000,462600000,15054900000,20385400000,2025400000,621300000,1404100000,1.99e+08,2782900000,5416500000,1.892e+09,762900000,1129100000,7308500000,10091400000,8500000,10456800000,-191900000,10273400000,20600000,1.0294e+10,20385400000,553600000,1.88e+08,134800000,31727019.756008,-38783860.9325815,50523233.0161953,-178900000,10642470.4738038,-46686252.9214201,-59497557.4039235,-465567837.313688,697500000,-66200000,83800000,-1.5e+08,-163300000,-271757.62520263,-394973263.993087,-254500000,1.49011611938477e-08,-948300000,51700000,-1e+09,-60300000,-1008600000,-565600000,-565600000,1800000,-563800000,926400000,5615500000,813700000,0.05372,0.02713,1.47143,1.91545,0.98032,0.27547,5.74247,5.69516,106.6812,8.44964,0.03106,0.04571,4.47193,5.61051
"49","2022_Q2",246.301290322581,"Down",1232900000,-531199999,-464100000,-67099999,701700001,-47800000,-42200000,1100000,3400000,-10100000,653900001,-13800000,640100001,-1.48e+08,492100001,492100001,-5e+05,491600001,491600001,1233500000,1233500000,2239600000,2239600000,440700000,1315700000,515700000,5229500000,2807600000,12691300000,3972500000,8165800000,62200000,462600000,15498900000,20728400000,1.884e+09,623600000,1260400000,201500000,3265200000,5383300000,1338200000,765200000,5.73e+08,6721500000,9986700000,37600000,10948400000,-264899999,10721100001,20600000,10741700001,20728400001,492100000,161500000,65700000,38200000,-1.9e+07,46500000,-363300000,20400000,-37400000,-5500000,-340800000,3.56e+08,-116200000,1e+06,-117200000,-457300000,-2200000,-455100000,-573100000,516548583.138077,-1291474259.92004,120571609.007272,-1415647089.77608,-17700000,-17700000,-234800000,-234800000,-4400000,-239200000,863200001,5584800000,531700001,0.04577,0.02372,1.08157,1.60159,0.92971,0.26943,5.15845,5.11019,112.49843,5.57922,0.02783,0.0301,5.04089,6.20108
