"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"21","2015_Q2",23.9304761904762,"Down",1.727e+09,-1.385e+09,3.42e+08,-1.42e+08,-1.02e+08,-3.5e+07,2e+08,-7.4e+07,-7.4e+07,1.26e+08,1.2e+08,-1.9e+07,1.01e+08,1.01e+08,1.01e+08,9e+07,1.158e+09,1.158e+09,6.45e+08,3.1e+08,9.5e+07,2.3e+07,2.652e+09,9.247e+09,9.247e+09,1.11e+09,3e+06,8.84e+08,1.0357e+10,1.3009e+10,8.52e+08,3.19e+08,5.33e+08,8.52e+08,5.402e+09,1.728e+09,2.84e+08,7.13e+09,7.982e+09,4.947e+09,1.445e+09,-1.379e+09,5.027e+09,5.027e+09,1.3009e+10,1.01e+08,1.23e+08,5.3e+07,-1.9e+08,8.7e+07,-8.7e+07,-3.2e+07,-1.19e+08,-1.52e+08,0,-2.53e+08,47690017.4541927,1.5e+07,-3.9e+08,-4.22e+08,-4.22e+08,-4.22e+08,3.23e+08,5.402e+09,6.5e+07,0.19803,0.11581,0.05211,0.0179,0.00692,0.72222,3.11268,1.58783,0.41525,0.17194,0.17064,3.29942,9.57729,0.12418,0.29039,4,0.01991,0.00535,1.68889,13.13932,21.22
"22","2015_Q3",22.15921875,"Down",8.98e+08,-6.65e+08,2.33e+08,-8.3e+07,-7.6e+07,-4e+06,1.5e+08,-7.5e+07,-7.5e+07,7.5e+07,8.1e+07,1.1e+07,9.2e+07,1.44e+08,1.44e+08,1.33e+08,1.121e+09,1.121e+09,6.03e+08,2.56e+08,8.2e+07,1.2e+07,2.517e+09,9.259e+09,9.259e+09,1.107e+09,2e+06,8.89e+08,1.0366e+10,1.2883e+10,9.19e+08,3.43e+08,5.76e+08,9.19e+08,5.402e+09,1.637e+09,2.75e+08,7.039e+09,7.958e+09,4.806e+09,1.428e+09,-1.323e+09,4.925e+09,4.925e+09,1.2883e+10,1.44e+08,1.18e+08,-2000000.00000012,1.07e+08,3.67e+08,-1.04e+08,12000000.0000001,-9.2e+07,-1.6e+08,0,-1.54e+08,55738366.2879092,2000000.00000001,-3.12e+08,-3.7e+07,-3.7e+07,-3.7e+07,2.68e+08,5.402e+09,2.6e+08,0.25947,0.16704,0.14811,0.02701,0.01032,1.95489,2.73885,1.61584,0.41931,0.25744,0.25587,1.7382,9.50591,0.50327,0.3097,5,0.02449,0.02173,1.20301,15.97388,28.54
"23","2015_Q4",23.03,"Up",1.355e+09,-1.073e+09,2.82e+08,-1.16e+08,-7.9e+07,-3.3e+07,1.66e+08,-7.8e+07,-7.8e+07,8.8e+07,8.8e+07,4.4e+07,1.32e+08,1.91e+08,1.91e+08,1.8e+08,1.048e+09,1.048e+09,5.9e+08,3.19e+08,8.7e+07,1.4e+07,2.502e+09,9.222e+09,9.222e+09,1.096e+09,207230441.380075,8.82e+08,1.0318e+10,1.282e+10,8.98e+08,3.44e+08,5.54e+08,8.98e+08,5.402e+09,1.642e+09,2.77e+08,7.044e+09,7.942e+09,4.728e+09,1.449e+09,-1.313e+09,4.878e+09,4.878e+09,1.282e+10,1.91e+08,1.18e+08,1e+07,-3.7e+07,2.82e+08,-1.11e+08,-2e+06,-1.13e+08,-1.7e+08,0,-7.7e+07,53167531.977671,5e+06,-2.42e+08,-7.3e+07,-7.3e+07,-7.3e+07,2.84e+08,5.402e+09,9.2e+07,0.20812,0.12251,0.13284,0.0369,0.01404,0.51111,2.78619,1.62813,0.42137,0.34999,0.3481,2.63464,9.4575,0.17888,0.33055,4,0.02936,0.00772,0.94444,15.33099,26.22892
"24","2016_Q1",20.5262295081967,"Down",1.266e+09,-1.03e+09,2.36e+08,-1.08e+08,-9.4e+07,-8000000.00000001,1.28e+08,-7.8e+07,-7.8e+07,5e+07,6.4e+07,2.2e+07,8.6e+07,7e+07,7e+07,5.9e+07,1.011e+09,1.011e+09,3.25e+08,2.303e+09,6.3e+07,3.06e+08,3.639e+09,7.929e+09,7.929e+09,1.152e+09,2.54e+08,8.58e+08,9.081e+09,1.272e+10,6.31e+08,2.04e+08,4.27e+08,1.325e+09,5.298e+09,1.228e+09,2.41e+08,6.526e+09,7.851e+09,4.718e+09,1.349e+09,-1.212e+09,4.869e+09,4.869e+09,1.272e+10,7e+07,1.2e+08,7.6e+07,5.8e+07,3.24e+08,-1.62e+08,1.4e+07,-1.48e+08,-1.81e+08,1.49011611938477e-08,0,3.4e+07,-3.1e+07,-2.12e+08,-36000000.0000001,-36000000.0000001,-36000000.0000001,2.48e+08,5.302e+09,1.22e+08,0.18641,0.10111,0.0466,0.01212,0.00464,2.0678,2.74642,1.61245,0.41682,0.11543,0.11475,2.47686,9.49854,0.23869,0.35412,6,0.02105,0.0107,3.0678,17.30242,33.52344
"25","2016_Q2",23.87171875,"Up",1.405e+09,-1.103e+09,3.02e+08,-1.63e+08,-1.02e+08,-5.6e+07,1.39e+08,-8.6e+07,-8.6e+07,5.3e+07,7.2e+07,-1.1e+07,6.1e+07,8.1e+07,8.1e+07,7e+07,4.15e+08,4.15e+08,6.77e+08,1.6e+08,1.35e+08,2.5e+07,1.83e+09,1.7534e+10,1.7534e+10,2.415e+09,1.5e+07,1.349e+09,1.9949e+10,2.1779e+10,9.8e+08,3.85e+08,5.95e+08,9.84e+08,9.149e+09,1.365e+09,3.11e+08,1.0514e+10,1.1498e+10,1.0253e+10,1.177e+09,-1.163e+09,1.0281e+10,1.0281e+10,2.1779e+10,8.1e+07,1.42e+08,-1.1e+07,-1.7e+08,4.2e+07,-3e+06,2.3e+07,2.9e+07,-2.41e+08,3.78e+08,-7.94e+08,4e+06,-1.1e+07,-6.68e+08,-5.97e+08,-5.97e+08,-5.97e+08,2.81e+08,9.153e+09,1.19e+08,0.21495,0.09893,0.04982,0.00681,0.00321,1.7,1.85976,1.11837,0.42027,0.11076,0.11026,2.22309,16.24515,0.18829,0.38133,3,0.01495,0.00572,3.44286,31.09609,62.86331
"26","2016_Q3",24.7934375,"Up",1.655e+09,-1.271e+09,3.84e+08,-1.36e+08,-1.16e+08,-1.6e+07,2.48e+08,-1.04e+08,-1.04e+08,1.44e+08,1.61e+08,-3.1e+07,1.3e+08,1.68e+08,1.68e+08,1.57e+08,4.85e+08,4.85e+08,3.87e+08,2.047e+09,1.32e+08,7e+06,3.328e+09,1.6108e+10,1.6108e+10,2.553e+09,2.5e+08,1.358e+09,1.8661e+10,2.1989e+10,8.9e+08,3e+08,5.9e+08,1.557e+09,9.354e+09,1.648e+09,7.22e+08,1.1002e+10,1.2559e+10,9.443e+09,1.106e+09,-1.133e+09,9.43e+09,9.43e+09,2.1989e+10,1.68e+08,1.47e+08,5.6e+07,1.21e+08,4.92e+08,-8.8e+07,4.38e+08,3.5e+08,-2.39e+08,2.97e+08,-8.23e+08,8e+06,3.72529029846191e-09,-7.65e+08,77000000.0000001,77000000.0000001,77000000.0000001,3.95e+08,9.355e+09,4.59e+08,0.23202,0.14985,0.09486,0.01665,0.00714,2.92357,2.13744,1.33181,0.42544,0.21127,0.20998,2.22704,12.67056,0.61765,0.32161,4,0.01938,0.02246,1.52229,22.4557,35.76613
"27","2016_Q4",24.5179365079365,"Down",1.709e+09,-1.328e+09,3.81e+08,-1.2e+08,-1.02e+08,-1.3e+07,2.61e+08,-9.9e+07,-9.9e+07,1.62e+08,1.84e+08,-2.2e+07,1.62e+08,2.27e+08,2.27e+08,2.27e+08,7.69e+08,7.69e+08,3.68e+08,1.807e+09,1.5e+08,5e+06,3.356e+09,1.6102e+10,1.6102e+10,1.488e+09,1.22e+08,1.253e+09,1.759e+10,2.0946e+10,7.67e+08,2.34e+08,5.33e+08,3.327e+09,6.84e+09,1.589e+09,7.14e+08,8.429e+09,1.1756e+10,9.199e+09,1.101e+09,-1.11e+09,9.19e+09,9.19e+09,2.0946e+10,2.27e+08,1.39e+08,-5.2e+07,3.3e+07,3.47e+08,1.67e+08,5e+07,2.17e+08,-2.42e+08,3e+08,-3.38e+08,3.6e+07,3e+06,-2.77e+08,2.87e+08,2.87e+08,2.87e+08,4e+08,8.822e+09,6.22e+08,0.22294,0.15272,0.13283,0.0247,0.01084,2.74009,1.00872,1.27922,0.42118,0.30283,0.30104,2.27992,12.26008,0.82979,0.32284,5,0.02393,0.03173,1.06608,20.1325,30.85441
"28","2017_Q1",26.0391935483871,"Up",1.596e+09,-1.278e+09,3.18e+08,-1.44e+08,-1.07e+08,-3.2e+07,1.74e+08,-7.7e+07,-7.7e+07,9.7e+07,8.7e+07,-2.5e+07,6.2e+07,5.51e+08,5.51e+08,5.51e+08,6.76e+08,6.76e+08,3.58e+08,5.88e+08,1.14e+08,4.74e+08,1.622e+09,1.6074e+10,1.6074e+10,1.547e+09,2.93e+08,1.158e+09,1.7621e+10,1.9243e+10,9.25e+08,2.33e+08,6.92e+08,1.206e+09,6.84e+09,2.017e+09,6.95e+08,8.857e+09,1.0063e+10,9.218e+09,1.421e+09,-1.459e+09,9.18e+09,9.18e+09,1.9243e+10,5.51e+08,1.37e+08,-1.13e+08,6.8e+07,6.43e+08,-4.82e+08,1.665e+09,1.174e+09,-2.32e+08,-1.7e+09,1.3e+07,1.3e+07,-1e+06,-1.92e+09,-1.03e+08,-1.03e+08,-1.03e+08,3.11e+08,7.121e+09,-77999999.9999999,0.19925,0.10902,0.34524,0.06002,0.02863,-0.14156,1.34494,1.09619,0.37006,0.73515,0.73175,2.12939,12.24802,-0.10407,0.30954,7,0.04274,-0.00425999999999999,0.42105,20.72347,37.04023
"29","2017_Q2",27.1734920634921,"Up",1.693e+09,-1.272e+09,4.21e+08,-1.28e+08,-1.09e+08,-1.5e+07,2.93e+08,-9e+07,-9e+07,2.03e+08,1.81e+08,-2.4e+07,1.57e+08,1.57e+08,1.57e+08,1.57e+08,4.55e+08,4.55e+08,3.86e+08,6.24e+08,1.42e+08,4.82e+08,1.465e+09,1.5992e+10,1.5992e+10,1.544e+09,2.87e+08,1.161e+09,1.7536e+10,1.9001e+10,6.79e+08,2.27e+08,4.52e+08,1.022e+09,6.774e+09,1.99e+09,7.03e+08,8.764e+09,9.786e+09,9.279e+09,1.364e+09,-1.428e+09,9.215e+09,9.215e+09,1.9001e+10,1.57e+08,1.33e+08,4e+07,-2.95e+08,3.5e+07,-6.7e+07,-1e+06,-6.8e+07,-2.33e+08,0,5.5e+07,5.5e+07,-1e+07,-1.88e+08,-2.21e+08,-2.21e+08,-2.21e+08,4.26e+08,7.117e+09,8.8e+07,0.24867,0.17307,0.09273,0.01704,0.00826,0.56051,1.43346,1.06196,0.37456,0.20915,0.20802,2.25533,12.27578,0.11723,0.31039,6,0.02129,0.0048,1.48408,15.6385,22.7372
"30","2017_Q3",26.752380952381,"Down",1.808e+09,-1.336e+09,4.72e+08,-2.65e+08,-9.8e+07,-1.63e+08,2.07e+08,-9.1e+07,-9.1e+07,1.16e+08,5.8e+07,-3.4e+07,2.4e+07,2.4e+07,24000000.0000001,2.4e+07,7.01e+08,7.01e+08,3.49e+08,1.038e+09,1.77e+08,4.5e+08,2.088e+09,1.5393e+10,1.5393e+10,1.509e+09,2.61e+08,1.175e+09,1.6902e+10,1.899e+10,8.37e+08,2.52e+08,5.85e+08,1.524e+09,6.447e+09,1.929e+09,6.99e+08,8.376e+09,9.9e+09,9.315e+09,1.154e+09,-1.379e+09,9.09e+09,9.09e+09,1.899e+10,2.4e+07,1.29e+08,1.66e+08,1.7e+08,4.89e+08,-83000000.0000001,4.5e+07,-3.8e+07,-2.33e+08,0,2.6e+07,2.6e+07,2e+06,-2.05e+08,2.46e+08,2.46e+08,2.46e+08,3.36e+08,7.115e+09,4.57e+08,0.26106,0.11449,0.01327,0.00264,0.00126,19.04167,1.37008,1.08911,0.37467,0.03189,0.0317300000000001,2.40224,12.07765,0.6072,0.30958,5,0.01417,0.0252,9.70833,19.08929,30.98551
"31","2017_Q4",29.1087301587302,"Up",1.872e+09,-1.374e+09,4.98e+08,-1.03e+08,-9.7e+07,-2e+06,3.95e+08,-8.6e+07,-8.6e+07,3.09e+08,1.03e+08,2.7e+07,1.3e+08,1.3e+08,1.3e+08,1.3e+08,4.97e+08,4.97e+08,3.4e+08,6.8e+08,1.3e+08,5.5e+08,1.517e+09,1.5386e+10,1.5386e+10,1.499e+09,2.4e+08,1.186e+09,1.6885e+10,1.8402e+10,9.61e+08,2.59e+08,7.02e+08,1.023e+09,6.444e+09,1.89e+09,6.89e+08,8.334e+09,9.357e+09,9.332e+09,1.05e+09,-1.337e+09,9.045e+09,9.045e+09,1.8402e+10,1.3e+08,1.32e+08,4.6e+07,1.5e+07,3.23e+08,3.14e+08,-1.6e+07,2.98e+08,-2.33e+08,-6.06e+08,8e+06,8e+06,6e+06,-8.25e+08,-2.04e+08,-2.04e+08,-2.04e+08,5.27e+08,6.506e+09,8.29e+08,0.26603,0.211,0.06944,0.01437,0.00706,6.37692,1.48289,1.03449,0.35355,0.17252,0.17175,2.48429,12.00342,1.10015,0.30921,5,0.02081,0.04753,1.79231,11.40228,15.21266
"32","2018_Q1",29.297868852459,"Up",1.823e+09,-1.316e+09,5.07e+08,1.9e+07,-9.3e+07,1.14e+08,5.26e+08,-8.6e+07,-8.6e+07,4.4e+08,3.74e+08,-1.03e+08,2.71e+08,2.71e+08,2.71e+08,2.71e+08,8.24e+08,8.24e+08,3.83e+08,5.08e+08,9.8e+07,4.1e+08,1.715e+09,1.4797e+10,1.4797e+10,1.547e+09,2.68e+08,1.279e+09,1.6344e+10,1.8059e+10,8.94e+08,2.49e+08,6.45e+08,1.165e+09,6.232e+09,1.763e+09,2.76e+08,7.995e+09,9.16e+09,9.383e+09,1.078e+09,-1.562e+09,8.899e+09,8.899e+09,1.8059e+10,2.71e+08,1.27e+08,-2.9e+07,-1.4e+07,3.55e+08,-3.54e+08,5.28e+08,1.74e+08,-2.42e+08,0,3.9e+07,3.9e+07,1e+06,-2.02e+08,3.27e+08,3.27e+08,3.27e+08,6.53e+08,6.503e+09,3.88e+08,0.27811,0.28854,0.14866,0.03045,0.01501,1.43173,1.4721,1.02933,0.3601,0.3587,0.35725,2.41294,11.7788,0.51356,0.32031,6,0.02989,0.0226,0.892990000000001,8.69678,10.79658
"33","2018_Q2",30.6090625,"Up",1.865e+09,-1.348e+09,5.17e+08,-1.33e+08,-1.01e+08,-3e+07,3.84e+08,-8.1e+07,-8.1e+07,3.03e+08,2.99e+08,-3e+07,2.69e+08,2.69e+08,2.69e+08,2.69e+08,5.98e+08,5.98e+08,4.45e+08,8.76e+08,1.18e+08,7.58e+08,1.919e+09,1.4736e+10,1.4736e+10,1.23e+09,2.44e+08,9.46e+08,1.5966e+10,1.7885e+10,7.02e+08,2.45e+08,4.57e+08,9.11e+08,6.23e+09,1.753e+09,2.99e+08,7.983e+09,8.894e+09,9.412e+09,1.365e+09,-1.786e+09,8.991e+09,8.991e+09,1.7885e+10,2.69e+08,1.2e+08,5.1e+07,-3.04e+08,1.36e+08,-7.9e+07,3e+06,-7.6e+07,-2.42e+08,-6.2e+07,2.5e+07,2.5e+07,-7e+06,-2.86e+08,-2.26e+08,-2.26e+08,-2.26e+08,5.04e+08,6.439e+09,1.51e+08,0.27721,0.2059,0.14424,0.02992,0.01504,0.56134,2.10648,0.98921,0.36002,0.35544,0.3542,2.46427,11.88005,0.19952,0.31976,7,0.02974,0.00879,0.89963,11.58929,15.21094
"34","2018_Q3",29.2965079365079,"Down",2.065e+09,-1.447e+09,6.18e+08,-1.22e+08,-1.03e+08,-1.7e+07,4.96e+08,-8.1e+07,-8.1e+07,4.15e+08,3.82e+08,-6.5e+07,3.17e+08,3.17e+08,3.17e+08,3.17e+08,9.01e+08,9.01e+08,4.14e+08,9.13e+08,1.46e+08,7.67e+08,2.228e+09,1.4669e+10,1.4669e+10,1.151e+09,1.68e+08,9.43e+08,1.582e+10,1.8048e+10,8.13e+08,2.7e+08,5.43e+08,1.022e+09,6.226e+09,1.519e+09,2.95e+08,7.745e+09,8.767e+09,9.443e+09,1.441e+09,-1.603e+09,9.281e+09,9.281e+09,1.8048e+10,3.17e+08,1.19e+08,5e+07,1.11e+08,5.97e+08,-9.7e+07,23999999.9999999,-7.3e+07,-2.43e+08,2.98023223876953e-08,2.3e+07,2.3e+07,-1e+06,-2.21e+08,3.03e+08,3.03e+08,3.03e+08,6.15e+08,6.435e+09,6.94e+08,0.29927,0.24019,0.15351,0.03416,0.01756,2.18927,2.18004,0.94462,0.35655,0.4183,0.41681,2.72489,12.24683,0.91577,0.32065,7,0.03249,0.04027,0.76656,8.99837,11.15726
"35","2018_Q4",22.7438095238095,"Down",1.91e+09,-1.452e+09,4.58e+08,-1.21e+08,-9.8e+07,-2.1e+07,3.37e+08,-8e+07,-8e+07,2.57e+08,2.4e+08,1.5e+07,2.55e+08,2.55e+08,2.55e+08,2.55e+08,3.48e+08,3.48e+08,3.89e+08,9.77e+08,1.4e+08,8.37e+08,1.714e+09,1.4654e+10,1.4654e+10,1.059e+09,7.1e+07,9.48e+08,1.5713e+10,1.7427e+10,7.62e+08,2.71e+08,4.91e+08,1.273e+09,5.921e+09,1.176e+09,2.91e+08,7.097e+09,8.37e+09,9.17e+09,1.439e+09,-1.552e+09,9.057e+09,9.057e+09,1.7427e+10,2.55e+08,1.22e+08,-1.51e+08,-1.39e+08,8.7e+07,-1.05e+08,-1e+07,-1.15e+08,-2.56e+08,0,-2.69e+08,4e+06,0,-5.25e+08,-5.53e+08,-5.53e+08,-5.53e+08,4.59e+08,6.432e+09,2e+08,0.23979,0.17644,0.13351,0.02816,0.01463,0.78431,1.34643,0.92415,0.36908,0.33775,0.33668,2.52985,11.99625,0.26491,0.33908,5,0.03066,0.012,1.00392,13.2549,18.05341
"36","2019_Q1",21.813606557377,"Down",1.636e+09,-1.345e+09,2.91e+08,-1.12e+08,-1.04e+08,-1.4e+07,1.79e+08,-7.3e+07,-7.3e+07,1.06e+08,-1.14e+08,2.1e+07,-9.3e+07,-9.3e+07,-9.3e+07,-9.3e+07,3.34e+08,3.34e+08,3.89e+08,5.42e+08,1.52e+08,3.9e+08,1.602e+09,1.4664e+10,1.4664e+10,9.83e+08,1.5e+07,9.68e+08,1.5647e+10,1.7249e+10,7.12e+08,2.22e+08,4.9e+08,1.939e+09,5.419e+09,8.45e+08,2.75e+08,6.264e+09,8.203e+09,9.105e+09,1.093e+09,-1.152e+09,9.046e+09,9.046e+09,1.7249e+10,-9.3e+07,1.25e+08,5.82e+08,-3.22e+08,2.92e+08,-1.46e+08,-3e+07,-1.76e+08,-2.54e+08,2.16e+08,-9.3e+07,0,1e+06,-1.3e+08,-1.4e+07,-1.4e+07,-1.4e+07,3.04e+08,6.646e+09,-1.85e+08,0.17787,0.10941,-0.05685,-0.01028,-0.00539,1.98925,0.8262,0.90681,0.3853,-0.12423,-0.12401,2.18543,12.08399,-0.24713,0.3393,4,0.00974,-0.01119,-2.73118,20.76316,35.26257
"37","2019_Q2",22.284126984127,"Up",1.643e+09,-1.322e+09,3.21e+08,-1.47e+08,-1.1e+08,-3.6e+07,1.74e+08,-9.7e+07,-9.7e+07,7.7e+07,-3.93e+08,1.04e+08,-2.89e+08,-2.89e+08,-2.89e+08,-2.89e+08,2.59e+08,2.59e+08,4.51e+08,1.064e+09,1.41e+08,9.23e+08,1.774e+09,1.4605e+10,1.4605e+10,7.53e+08,1.8e+07,7.35e+08,1.5358e+10,1.7132e+10,6.54e+08,2.43e+08,4.11e+08,1.201e+09,6.156e+09,9.74e+08,3.98e+08,7.13e+09,8.331e+09,9.052e+09,5.43e+08,-7.94e+08,8.801e+09,8.801e+09,1.7132e+10,-2.89e+08,1.23e+08,3.98e+08,-2.46e+08,-1.4e+07,-5.9e+07,2.71e+08,2.12e+08,-2.54e+08,4.7e+07,-5.8e+07,2e+06,-8e+06,-2.73e+08,-7.5e+07,-7.5e+07,-7.5e+07,2.97e+08,6.703e+09,-1.12e+08,0.19537,0.1059,-0.1759,-0.03284,-0.01687,0.38754,1.4771,0.9466,0.39126,-0.38709,-0.38709,2.20063,11.78806,-0.15001,0.34021,2,-0.00212,-0.0068,-0.87889,21.69697,37.03448
"38","2019_Q3",23.20859375,"Up",1.692e+09,-1.39e+09,3.02e+08,-1.16e+08,-1.01e+08,-1.3e+07,1.86e+08,-8.5e+07,-8.5e+07,1.01e+08,90999999.9999999,3.7e+07,1.28e+08,1.28e+08,1.28e+08,1.28e+08,2.12e+08,2.12e+08,4.25e+08,1.059e+09,1.32e+08,9.27e+08,1.696e+09,1.4551e+10,1.4551e+10,7.82e+08,3.3e+07,7.49e+08,1.5333e+10,1.7029e+10,7.81e+08,2.71e+08,5.1e+08,1.223e+09,6.153e+09,9.29e+08,3.97e+08,7.082e+09,8.305e+09,9.061e+09,4.18e+08,-7.55e+08,8.724e+09,8.724e+09,1.7029e+10,1.28e+08,1.24e+08,2e+06,1.42e+08,3.96e+08,-8.4e+07,1e+06,-8.3e+07,-2.53e+08,-1.05e+08,2e+06,2e+06,-4e+06,-3.6e+08,-4.7e+07,-4.7e+07,-4.7e+07,3.1e+08,6.595e+09,3.31e+08,0.17849,0.10993,0.07565,0.01467,0.00752,2.58594,1.38675,0.95197,0.38728,0.1717,0.1717,2.26968,11.70254,0.44401,0.33938,4,0.02345,0.02037,1.97656,20.59032,34.3172
"39","2019_Q4",26.1275,"Up",1.671e+09,-1.399e+09,2.72e+08,-1.38e+08,-1.05e+08,-3.6e+07,1.34e+08,-8.5e+07,-8.5e+07,4.9e+07,1.02e+08,-3e+06,9.9e+07,9.9e+07,9.9e+07,9.9e+07,1.53e+08,1.53e+08,3.93e+08,1.271e+09,1.41e+08,8.79e+08,1.817e+09,1.4239e+10,1.4239e+10,7.76e+08,3.1e+07,7.45e+08,1.5015e+10,1.6832e+10,7.29e+08,2.42e+08,4.87e+08,1.169e+09,6.15e+09,9.14e+08,3.83e+08,7.064e+09,8.233e+09,9.071e+09,2.64e+08,-7.36e+08,8.599e+09,8.599e+09,1.6832e+10,9.9e+07,1.35e+08,4.7e+07,1.1e+07,2.92e+08,-9.8e+07,1e+06,-9.7e+07,-2.53e+08,-2e+06,3999999.99999999,4e+06,-3e+06,-2.54e+08,-5.9e+07,-5.9e+07,-5.9e+07,2.69e+08,6.59e+09,1.85e+08,0.16278,0.08019,0.05925,0.01151,0.00588,1.86869,1.55432,0.95744,0.39152,0.13278,0.13278,2.24108,11.53267,0.24812,0.33931,5,0.02186,0.01149,2.55556,23.92937,48.03731
"40","2020_Q1",23.9458064516129,"Down",1.548e+09,-1.301e+09,2.47e+08,-1.26e+08,-1.16e+08,-1e+07,1.21e+08,-8.1e+07,-8.1e+07,4e+07,-1.3e+07,-1e+06,-1.4e+07,-1.4e+07,-1.4e+07,-1.4e+07,1.39e+08,1.39e+08,4.16e+08,7.47e+08,1.47e+08,4.6e+08,1.611e+09,1.4028e+10,1.4028e+10,7.67e+08,7.2e+07,6.95e+08,1.4795e+10,1.6406e+10,7.76e+08,2.46e+08,5.3e+08,1.006e+09,6.147e+09,1.076e+09,1.07e+09,7.223e+09,8.229e+09,9.084e+09,-3e+06,-9.04e+08,8.177e+09,8.177e+09,1.6406e+10,-1.4e+07,1.28e+08,1.1e+08,6.8e+07,2.92e+08,-1.43e+08,2.98e+08,1.55e+08,-2.53e+08,-2.1e+08,5e+06,5e+06,-3e+06,-4.61e+08,-14000000.0000001,-14000000.0000001,-14000000.0000001,2.49e+08,6.377e+09,1.75e+08,0.15956,0.07817,-0.00903999999999999,-0.00171,-0.00085,-12.5,1.60139,1.00636,0.3887,-0.01877,-0.01877,2.07539,10.96282,0.23462,0.33919,5,0.01529,0.0112,-18.07143,25.05221,51.55372
"41","2020_Q2",18.6036507936508,"Down",1.728e+09,-1.382e+09,3.46e+08,-1.06e+08,-9.6e+07,-1e+07,2.4e+08,-8.4e+07,-8.4e+07,1.56e+08,1.47e+08,3e+06,1.5e+08,1.5e+08,1.5e+08,1.5e+08,1.458e+09,1.458e+09,4.8e+08,1.65e+08,1.41e+08,2.4e+07,2.493e+09,1.3911e+10,1.3911e+10,8.24e+08,1.47e+08,6.77e+08,1.4735e+10,1.7228e+10,6.89e+08,2.41e+08,4.48e+08,1.816e+09,6.299e+09,1.031e+09,3.52e+08,7.33e+09,9.146e+09,9.092e+09,-1.09e+08,-9.01e+08,8.082e+09,8.082e+09,1.7228e+10,1.5e+08,1.23e+08,6e+06,-1.93e+08,8.6e+07,7.7e+07,3.64e+08,4.41e+08,-2.54e+08,1.052e+09,6e+06,6e+06,-1.2e+07,7.92e+08,1.319e+09,1.319e+09,1.319e+09,3.63e+08,7.426e+09,2.44e+08,0.20023,0.13889,0.08681,0.01856,0.00871,1.62667,1.3728,1.13165,0.43104,0.20093,0.20076,2.3147,10.82603,0.32684,0.34024,5,0.02443,0.01475,1.69333,16.44077,24.86667
"42","2020_Q3",25.24609375,"Up",1.631e+09,-1.283e+09,3.48e+08,-1.05e+08,-1.02e+08,-3e+06,2.43e+08,-1.01e+08,-1.01e+08,1.42e+08,1.32e+08,-6e+07,7.2e+07,7.2e+07,7.2e+07,7.2e+07,6.43e+08,6.43e+08,4.09e+08,1.79e+08,1.31e+08,4.8e+07,1.651e+09,1.3848e+10,1.3848e+10,7.55e+08,6.5e+07,6.9e+08,1.4603e+10,1.6254e+10,7.24e+08,1.99e+08,5.25e+08,7.24e+08,6.299e+09,1.029e+09,3.59e+08,7.328e+09,8.052e+09,9.099e+09,-3.7e+07,-8.6e+08,8.202e+09,8.202e+09,1.6254e+10,7.2e+07,1.17e+08,1.4e+08,62000000.0000001,3.91e+08,-6.6e+07,1e+06,-65000000.0000001,0,-1.138e+09,0,0,-3e+06,-1.141e+09,-8.15e+08,-8.15e+08,-8.15e+08,3.6e+08,6.299e+09,4.16e+08,0.21337,0.14899,0.04414,0.00878,0.00443,5.77778,2.28039,0.98171,0.38754,0.0964,0.09639,2.1837,10.98145,0.55697,0,6,0.00464,0.02679,3.99680288865056e-15,15.71111,23.27572
