"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"34","2018_Q3",99.2580952380952,"Down",813474000,-703410000,110064000,-55037000,-55037000,55027000,403000,399000,4000,55430000,55430000,-13482000,41948000,41948000,41948000,41948000,327260000,327260000,145600000,145600000,267746000,64799000,37669000,805405000,955846000,6164000,6164000,962010000,1767415000,173707000,62188000,173707000,75754000,66133000,9621000,75754000,249461000,164353000,1353601000,1517954000,1517954000,1767415000,41948000,27229000,12664000,-60784000,21057000,-74868000,-74868000,235000.000000001,235000,-7825000,-61636000,-61636000,-61636000,82256000,1.16415321826935e-10,-39914000,0.1353,0.06764,0.05157,0.02763,0.02373,-0.95151,4.63657,0.16434,0,1.86344,1.86344,36.13673,67.43166,-1.77309,0.0309,-0.02504,-3.97855,-5.94726
"35","2018_Q4",98.6295238095238,"Down",852434000,-781568000,70866000,-55778000,-55778000,15088000,229000,226000,3000,15317000,15317000,-3842000,11475000,11475000,11475000,11475000,288284000,288284000,130921000,130921000,282056000,70501000,44235000,771762000,1013806000,6036000,6036000,1019842000,1791604000,188889000,71361000,188889000,77703000,68036000,9667000,77703000,266592000,167245000,1357767000,1525012000,1525012000,1791604000,11475000,27690000,4977000,13738000,57880000,-89659000,-89659000,225000,225000,-7197000,-38976000,-38976000,-38976000,42778000,0,-29301000,0.08313,0.0177,0.01346,0.00752,0.0064,-2.55346,4.0858,0.17481,0,0.50971,0.50971,37.86408,67.73917,-1.30151,0.01172,-0.01828,-6.73907,-19.10684
"36","2019_Q1",115.835409836066,"Up",788548000,-787660000,888000,-58575000,-58575000,-57687000,327000,324000,3000,-57360000,-57360000,14162000,-43198000,-43198000,-43198000,-43198000,121193000,121193000,121932000,121932000,240056000,83308000,43240000,566489000,1087588000,5363000,5363000,1092951000,1659440000,198889000,69953000,198889000,72658000,62793000,9865000,72658000,271547000,103369000,1284524000,1387893000,1387893000,1659440000,-43198000,29347000,7031000,34328000,27508000,-90979000,-90979000,-94984000,-11521000,-103620000,-167091000,-167091000,-167091000,-28340000,0,-99153000,0.00113000000000001,-0.07316,-0.05478,-0.03112,-0.02603,2.29531,2.84827,0.19565,0,-1.94665,-1.94665,35.53459,62.54306,-4.46816,-0.01975,-0.06789,4.27639,2.10087
"37","2019_Q2",137.480793650794,"Up",743388000,-708400000,34988000,-58535000,-58535000,-23547000,-509000,-509000,0,-24056000,-24056000,6223000,-17833000,-17833000,-17833000,-17833000,74710000,74710000,123593000,123593000,261768000,91933000,53383000,552004000,1128067000,5030000,5030000,1133097000,1685101000,195482000,63108000,195482000,66408000,56447000,9961000,126408000,321890000,103609000,1259602000,1363211000,1363211000,1685101000,-17833000,29041000,-13005000,-19542000,-21339000,-83017000,-83017000,198000,198000,57873000,-46483000,-46483000,-46483000,5494000,6e+07,-103288000,0.04707,-0.03168,-0.02399,-0.01308,-0.01058,5.79196,2.82381,0.23613,0.03561,-0.8175,-0.8175,34.07848,62.49248,-4.73494,-0.01197,-0.06934,-2.67747,0.624709999999996
"38","2019_Q3",138.52640625,"Up",845229000,-740833000,104396000,-49230000,-49230000,55166000,-1171000,-1173000,2000,53995000,53995000,-13359000,40636000,40636000,40636000,40636000,96938000,96938000,126889000,126889000,285473000,63844000,52250000,573144000,1167377000,7211000,7211000,1174588000,1747732000,167472000,61932000,167472000,79548000,69492000,10056000,179548000,347020000,107563000,1293149000,1400712000,1400712000,1747732000,40636000,33338000,14511000,-17349000,71136000,-78371000,-78371000,281000,280999.999999998,29463000,22228000,22228000,22228000,88504000,1e+08,6143000,0.12351,0.06527,0.04808,0.02901,0.02325,0.15117,3.42233,0.24775,0.05722,1.86148,1.86148,38.71869,64.16454,0.2814,0.0302,0.00389,0.0346,0.05551
"39","2019_Q4",153.86421875,"Up",945152000,-824144000,121008000,-52226000,-52226000,68782000,-1488000,-1492000,4000,67294000,67294000,-13932000,53362000,53362000,53362000,53362000,74262000,74262000,132226000,132226000,306246000,73189000,60334000,585923000,1180639000,7423000,7423000,1188062000,1773985000,199001000,76909000,199001000,94519000,83793000,10726000,124519000,323520000,111044000,1339421000,1450465000,1450465000,1773985000,53362000,35450000,17555000,-4080000,102287000,-47955000,-47955000,229000,229000,-77008000,-22676000,-22676000,-22676000,104232000,3e+07,66129000,0.12803,0.07277,0.05646,0.03679,0.03008,1.23925,2.94432,0.22305,0.01691,2.44399,2.44399,43.28808,66.43148,3.02872,0.03838,0.04199,-0.42465,-0.64351
"40","2020_Q1",135.899032258065,"Down",903689000,-884946000,18743000,-51150000,-51150000,-32407000,-979000,-982000,3000,-33386000,-33386000,10515000,-22871000,-22871000,-22871000,-22871000,95417000,95417000,131778000,131778000,289928000,63988000,56931000,581111000,1185860000,7163000,7163000,1193023000,1774134000,215681000,82940000,215681000,85778000,74132000,11646000,140778000,356459000,108214000,1309461000,1417675000,1417675000,1774134000,-22871000,37591000,-2795000,42791000,54716000,-39164000,-39164000,-9195000,-9195000,5602999.99999999,21155000,21155000,21155000,5184000,5.5e+07,-1704000.00000001,0.02074,-0.03586,-0.02531,-0.01613,-0.01289,0.0745,2.69431,0.25144,0.031,-1.0473,-1.0473,41.38149,64.9178,-0.0780299999999996,-0.00558,-0.00109,-7.79649,1.24717
"41","2020_Q2",125.671746031746,"Down",823078000,-823524000,-446000,-49485000,-49485000,-49931000,-1186000,-1188000,2000,-51117000,-51117000,12541000,-38576000,-38576000,-38576000,-38576000,63416000,63416000,139067000,139067000,294956000,89658000,67158000,587097000,1217418000,56653000,56653000,1274071000,1861168000,185962000,66516000,200626000,126170000,79301000,46869000,291170000,491796000,105600000,1263772000,1369372000,1369372000,1861168000,-38576000,36697000,5131000,-69113000,-65861000,-71180000,-71180000,-4960000,-4960000,105040000,-32001000,-32001000,-32001000,-13234000,1.65e+08,-166068000,-0.00054,-0.06066,-0.04687,-0.02817,-0.02073,4.30496,2.92633,0.35914,0.08865,-1.75865,-1.75865,37.5235,62.42863,-7.57091,-0.02323,-0.10001,-7.67599,-2.03449
"42","2020_Q3",114.62,"Down",844711000,-832283000,12428000,-56214000,-56214000,-43786000,-1780000,-1783000,3000,-45566000,-45566000,51684000,6118000,6118000,6118000,6118000,61330000,61330000,132072000,132072000,297477000,190768000,63396000,681647000,1235556000,52307000,52307000,1287863000,1969510000,209292000,82214000,224480000,173588000,131388000,42200000,373588000,598068000,108669000,1262773000,1371442000,1371442000,1969510000,6118000,38777000,54736000,-70999000,28632000,-58304000,-58304000,-301000,-301000,27586000,-2086000,-2086000,-2086000,-5009000,2e+08,-185996000,0.01471,-0.05184,0.00724,0.00446,0.00311,-30.40144,3.03656,0.43609,0.10155,0.27881,0.27881,38.49569,62.50021,-8.47633,0.00758,-0.10659,-27.68417,-3.16699
"43","2020_Q4",129.88890625,"Up",956455000,-865997000,90458000,-50590000,-50590000,39868000,-1053000,-1055000,2000,38815000,38815000,-6005000,32810000,32810000,32810000,32810000,66119000,66119000,150773000,150773000,285941000,107496000,66249000,610329000,1229771000,48455000,48455000,1278226000,1888555000,204706000,94836000,219107000,175160000,135287000,39873000,270160000,489267000,110822000,1288466000,1399288000,1399288000,1888555000,32810000,39800000,6316000,74023000,152949000,-36178000,-36178000,135000,135000,-111982000,4789000,4789000,4789000,79668000,9.5e+07,123518000,0.09458,0.04168,0.0343,0.02345,0.01737,3.76464,2.78553,0.34965,0.0503,1.4949,1.4949,43.57823,63.75469,5.62776,0.02392,0.07399,0.36252,0.72442
"44","2021_Q1",146.002295081967,"Up",940023000,-848307000,91716000,-49461000,-49461000,42255000,-698000,-699000,1000,41557000,41557000,-13635000,27922000,27922000,27922000,27922000,49061000,49061000,147546000,147546000,290007000,91521000,57544000,578135000,1224746000,46150000,46150000,1270896000,1849031000,210126000,98663000,224107000,180651000,141672000,38979000,205651000,429758000,112671000,1306602000,1419273000,1419273000,1849031000,27922000,41480000,9160000,27727000,106289000,-36294000,-36294000,-150000,-150000,-87053000,-17058000,-17058000,-17058000,83735000,2.5e+07,88803000,0.09757,0.04495,0.0297,0.01967,0.0151,3.1804,2.57973,0.3028,0.01352,1.2723,1.2723,42.83345,64.67115,4.04643,0.02759,0.05465,-0.28735,-0.56942
"45","2021_Q2",166.511111111111,"Up",909306000,-839322000,69984000,-56599000,-56599000,13385000,-635000,-638000,3000,12750000,12750000,-3272000,9478000,9478000,9478000,9478000,50090000,50090000,167711000,167711000,325672000,93636000,61735000,637109000,1223169000,41986000,41986000,1265155000,1902264000,235432000,94277000,249685000,178097000,142841000,35256000,233097000,482782000,113226000,1306256000,1419482000,1419482000,1902264000,9478000,40566000,3792000,-44405000,9431000,-36794000,-36794000,-1608000,-1608000,28392000,1029000,1029000,1029000,53951000,5.5e+07,-23976000,0.07696,0.01472,0.01042,0.00668,0.00498,-2.52965,2.55165,0.34011,0.02891,0.43062,0.43062,41.31331,64.49259,-1.08932,0.00574,-0.01451,0.091009999999998,0.36683
"46","2021_Q3",187.195,"Up",1133880000,-941936000,191944000,-64245000,-64245000,127699000,-684000,-697000,13000,127015000,127015000,-30104000,96911000,96911000,96911000,96911000,122911000,122911000,188870000,188870000,347442000,73973000,57503000,733196000,1231106000,38894000,38894000,1.27e+09,2003196000,247994000,101911000,261053000,176853000,145353000,31500000,231853000,492906000,116948000,1393342000,1510290000,1510290000,2003196000,96911000,41052000,5686000,-9504999.99999999,134144000,-49099000,-49099000,-524000,-524000,-12224000,72821000,72821000,72821000,168751000,5.5e+07,140251000,0.16928,0.11262,0.08547,0.06417,0.04838,1.44721,2.80861,0.32637,0.02746,4.40304,4.40304,51.51658,68.61836,6.37215,0.06127,0.0805,-0.40243,-0.53181
"47","2021_Q4",187.49875,"Up",1352756000,-1049814000,302942000,-87718000,-87718000,215224000,-620000,-623000,3000,214604000,214604000,-49841000,164763000,164763000,164763000,164763000,245429000,245429000,211016000,211016000,364262000,70048000,62924000,890755000,1227772000,37693000,37693000,1265465000,2156220000,290990000,139798000,303676000,180793000,149476000,31317000,180793000,484469000,123471000,1548280000,1671751000,1671751000,2156220000,164763000,42700000,10930000,8765000,227158000,-40001000,-40001000,187000,187000,-64639000,122518000,122518000,122518000,257924000,0,276529000,0.22394,0.1591,0.1218,0.09856,0.07641,1.67834,2.93324,0.2898,3.46944695195361e-18,7.4831,7.4831,61.43864,75.92656,12.55922,0.09424,0.14927,-0.95156,-1.14034
"48","2022_Q1",182.523064516129,"Down",1403711000,-1073923000,329788000,-87225000,-87225000,242563000,-556000,-560000,4000,242007000,242007000,-58070000,183937000,183937000,183937000,183937000,439339000,439339000,223865000,223865000,350959000,72107000,62632000,1086270000,1224334000,34429000,34429000,1258763000,2345033000,296874000,144453000,309063000,185731000,156531000,29200000,185731000,494794000,127847000,1722392000,1850239000,1850239000,2345033000,183937000,43913000,12101000,12799000,252750000,-39371000,-39371000,181000,181000,-19469000,193910000,193910000,193910000,286476000,3.72529029846191e-09,317974000,0.23494,0.1728,0.13104,0.09941,0.07844,1.72871,3.51472,0.26742,0,8.34939,8.34939,63.71816,83.98724,14.43368,0.1,0.15618,-1.5336,-1.81124
"49","2022_Q2",195.611935483871,"Up",1327428000,-1008054000,319374000,-65738000,-65738000,253636000,-477000,-480000,3000,253159000,253159000,-60352000,192807000,192807000,192807000,192807000,685823000,685823000,224082000,224082000,367454000,69807000,69807000,1347166000,1207512000,30039000,30039000,1237551000,2584717000,348230000,80566000,358937000,186947000,160465000,26482000,186947000,545884000,133457000,1905376000,2038833000,2038833000,2584717000,192807000,43523000,12221000,27951000,276502000,-27720000,-27720000,-2298000,-2298000,-2298000,246484000,246484000,246484000,297159000,0,357742000,0.2406,0.19107,0.14525,0.09457,0.0746,1.85544,3.75321,0.26774,0,8.75401,8.75401,60.26915,92.56904,16.24254,0.08662,0.16073,-2.30793,-2.70397
"50","2022_Q3",208.862083333333,"Up",1539714000,-1051845000,487869000,-66382000,-66382000,421487000,-497000,-5e+05,3000,420990000,420990000,-99800000,321190000,321190000,321190000,321190000,829124000,829124000,260438000,260438000,434458000,67375000,67375000,1591395000,1208826000,26293000,26293000,1235119000,2826514000,278727000,86126000,287847000,180525000,155752000,24773000,180525000,468372000,141397000,2216745000,2358142000,2358142000,2826514000,321190000,4.3e+07,3760000,-169573000,198377000,-45208000,-45208000,-45000,-45000,-9868000,143301000,143301000,143301000,464487000,0,349506000,0.31686,0.27374,0.2086,0.1362,0.11363,1.08816,5.52861,0.19862,0,14.5539,14.5539,69.76818,106.85314,15.83697,0.13039,0.13767,-1.78503,-1.96714
