"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebit"
"34","2019_Q1",31.5598360655738,"Up",122676000,-43202000,79474000,-48793000,-3247000,-45546000,30681000,1738000,-10387000,-99000,32419000,505000,32924000,22751000,22751000,-391000,22360000,22360000,2547000,2547000,13821000,148000.000000001,148000.000000001,16516000,3699791000,3699791000,429989000,161907000,122199000,4129780000,4146296000,110159000,110159000,1062570000,152411000,41266000,1325140000,1325140000,4036916000,-148473000,-1129445000,2765865000,2821156000,4146296000,22751000,-126013000,-27123000,50997000,-145358000,-102082000,-27325000,3483000,-5503000,-29345000,-80430000,-80430000,-80430000,1062570000,0.64784,0.2501,0.18227,0.00793,0.00539,0.01246,0.46972,0.25627,0.21276,0.20938,1.16727,26.25198,0.26,0.01279,1.22205,34.54982
"35","2019_Q2",32.6628571428571,"Up",132733000,-44419000,88314000,-57321000,-11460000,-45861000,30993000,-1.1e+07,-10820000,-180000,19993000,13108000,33101000,36005000,36005000,-664000,35341000,35341000,3456000,3456000,10558000,170000,170000,14184000,3785265000,3785265000,451744000,167429000,137321000,4237009000,4251193000,91477000,91477000,1116474000,215013000,55074000,1422964000,1422964000,4036619000,-148473000,-1124596000,2770417000,2828229000,4251193000,36005000,32750000,-24254000,44501000,-70675000,-70698000,-27326000,53690000,764000,27128000,931000,931000,931000,1116474000,0.66535,0.2335,0.26626,0.0125,0.00831,0.00997,0.50313,0.26263,0.33617,0.33059,1.26259,26.2876,0.25993,0.01589,0.77321,35.91192
"36","2019_Q3",31.26640625,"Down",142020000,-47752000,94268000,-59278000,-8374000,-50904000,34990000,-12683000,-12059000,-624000,22307000,-48523000,-26216000,-22582000,-22582000,173000,-22409000,-22409000,11885000,11885000,24139000,31375000,31375000,67399000,5992645000,5992645000,616628000,176169000,157320000,6609273000,6676672000,188337000,188337000,1837449000,281268000,56477000,2307054000,2307054000,5641996000,-148473000,-1189567000,4305673000,4369618000,6676672000,-22582000,49600000,6272000,33290000,-52549000,33452000,-30491000,-24135000,-1675000,-56301000,10441000,10441000,10441000,1837449000,0.66377,0.24637,-0.15779,-0.00513,-0.00336,0.02921,0.52798,0.2752,-0.19836,-0.1953,1.25714,38.09805,0.2699,0.0013,-1.36066,52.17388
"37","2019_Q4",34.710625,"Up",188323000,-66936000,121387000,-87864000,-5852000,-82012000,33523000,-5218000,-14700000,-297000,28305000,-1075000,27230000,20692000,20692000,-318000,20374000,20374000,12396000,12396000,28792000,31461000,31461000,72649000,6017296000,6017296000,614175000,186079000,172483000,6631471000,6704120000,225632000,225632000,1850817000,278593000,57411000,2355042000,2355042000,5642612000,-148473000,-1211752000,4284104000,4349078000,6704120000,20692000,88164000,11718000,120574000,-69902000,-91367000,-42555000,13238000,707000,-28610000,597000,597000,597000,1850817000,0.64457,0.17801,0.10819,0.00468,0.00304,0.03085,0.5415,0.27607,0.13843,0.13679,1.27958,29.09705,0.28914,0.01015,2.08869,54.84059
"38","2020_Q1",32.9483870967742,"Down",194439000,-67043000,127396000,-89693000,-11321000,-78372000,37703000,-13505000,-16384000,-8000,24198000,94370000,118568000,118568000,118568000,-1456000,117112000,117112000,15603000,15603000,23680000,362587000,362587000,401870000,6196281000,6196281000,553296000,133884000,161763000,6749577000,7151447000,209904000,209904000,2222975000,290733000,52269000,2723612000,2723612000,5643230000,-148473000,-1137200000,4359274000,4427835000,7151447000,118568000,-321658000,50753000,104812000,-250287000,-228811000,-42569000,167528000,1984000,126943000,2943999.99999999,2943999.99999999,2943999.99999999,2222975000,0.6552,0.19391,0.60231,0.02645,0.01638,0.14755,0.61511,0.31084,0.79686,0.78738,1.32302,29.6501,0.28965,0.02401,0.36349,58.54632
"39","2020_Q2",26.991746031746,"Down",193898000,-65059000,128839000,-77266000,-5652000,-71614000,51573000,-13045000,-15904000,-566000,38528000,136781000,175309000,175309000,175309000,-366000,174943000,174943000,124632000,124632000,28533000,1947000,1947000,155112000,6206105000,6206105000,540717000,128916000,171515000,6746822000,6901934000,144984000,144984000,1944034000,253918000,55290000,2342936000,2342936000,5.69e+09,-148473000,-1006820000,4534707000,4558998000,6901934000,175309000,-137674000,-96285000,12964000,417784000,417784000,-42561000,-278349000,-867000,-321777000,108971000,108971000,108971000,1944034000,0.66447,0.26598,0.90224,0.03837,0.02535,0.0662,0.51391,0.28167,1.18667,1.17758,1.31524,30.75963,0.2887,0.03345,0.24328,35.27819
"40","2020_Q3",27.08484375,"Up",179915000,-61943000,117972000,-81411000,-8543000,-72868000,36561000,-12830000,-13993000,-552000,23731000,-495000,23236000,23236000,23236000,-135000,23101000,23101000,28255000,28255000,35078000,1947000,1947000,65280000,6313947000,6313947000,529221000,129857000,175298000,6843168000,6908448000,183350000,183350000,1939517000,245252000,57199000,2368119000,2368119000,5692098000,-148473000,-1028289000,4515336000,4540329000,6908448000,23236000,2210000,22310000,120624000,-168992000,-168992000,-44562000,-3910999.99999994,464000,-48008999.9999999,-96377000,-96377000,-96377000,1939517000,0.65571,0.20321,0.1284,0.00509,0.00334,0.02757,0.52157,0.28075,0.15551,0.15548,1.21116,30.39648,0.29998,0.01044,1.92901,52.27598
"41","2020_Q4",28.37046875,"Up",183380000,-63217000,120163000,-77156000,-5658000,-71498000,43007000,-14170000,-15058000,-723000,28837000,-582000,28255000,28255000,28255000,-140000,28115000,28115000,36872000,36872000,18561000,1847000,1847000,57280000,6304976000,6304976000,524340000,129814000,185092000,6829316000,6886596000,183023000,183023000,1934905000,241575000,58404000,2359503000,2359503000,5693028000,-148473000,-1044743000,4499812000,4527093000,6886596000,28255000,-39349000,65015000,125419000,-70459000,-70459000,-44571000,-3950000,2078000,-46443000,8517000,8517000,8517000,1934905000,0.65527,0.23452,0.15332,0.00621,0.00408,0.02428,0.5212,0.28097,0.18924,0.18918,1.23429,30.28728,0.3,0.01125,1.58531,44.13312
"42","2021_Q1",31.4896721311475,"Up",183147000,-62211000,120936000,-79849000,-7181000,-72668000,41087000,-14704000,-15650000,-250000,26383000,-15069000,11314000,11314000,11314000,-195000,11119000,11119000,4289999.99999999,4289999.99999999,20248000,127594000,127594000,152132000,6452341000,6452341000,502925000,125481000,188280000,6955266000,7107398000,186267000,186267000,2162719000,262874000,62319000,2611860000,2611860000,5693911000,-148473000,-1078304000,4467134000,4495538000,7107398000,11314000,6923000,1175999.99999999,92081000,-310796000,-310796000,-44569000,228410000,2293000,186134000,-32581000,-32581000,-32581000,2162719000,0.66032,0.22434,0.06071,0.00247,0.00156,0.05825,0.58099,0.30429,0.07484,0.07473,1.23277,30.06855,0.3,0.00836,4.00836,52.53314
"43","2021_Q2",34.3334920634921,"Up",189550000,-66763000,122787000,-77603000,-6733000,-70870000,45184000,-15895000,-17208000,-590000,29289000,22000,29311000,29311000,29311000,-201000,29110000,29110000,14576000,14576000,21679000,135440000,135440000,171695000,6442511000,6442511000,491976000,113353000,201477000,6934487000,7106182000,141948000,141948000,2214692000,268294000,76033000,2624934000,2624934000,5694789000,-148473000,-1095361000,4450955000,4481248000,7106182000,29311000,-9804000,-54600000,35777000,-35772000,-35772000,-44569000,52570000,1688000,9689000,9694000,9694000,9694000,2214692000,0.64778,0.23838,0.15357,0.0065,0.0041,0.06541,0.58576,0.31166,0.19586,0.19573,1.27537,29.94775,0.29988,0.011,1.53105,48.69237
"44","2021_Q3",36.25796875,"Up",186637000,-64114000,122523000,-78769000,-7313000,-71456000,43754000,-15685000,-16656000,-824000,28069000,-9000,28060000,28060000,28060000,93000,28153000,28153000,9792000,9792000,22626000,261503000,261503000,293921000,6185489000,6185489000,466560000,112718000,197924000,6652049000,6945970000,172172000,172172000,2050173000,256221000,78331000,2478566000,2478566000,5697609000,-148473000,-1113273000,4435863000,4467404000,6945970000,28060000,-393000.000000004,32790000,131913000,72128000,72128000,-46080000,-161072000,-1673000,-208825000,-4783999.99999999,-4783999.99999999,-4783999.99999999,2050173000,0.65648,0.23443,0.15084,0.0063,0.00405,0.11859,0.55481,0.29516,0.18942,0.1893,1.25577,29.84621,0.31004,0.01139,1.63677,46.63302
"45","2021_Q4",37.34890625,"Up",188732000,-65737000,122995000,-80041000,-7968000,-72073000,42954000,-15002000,-16709000,-421000,27952000,26184000,54136000,54136000,54136000,-118000,54018000,54018000,5532000,5532000,13205000,1236000,1236000,19973000,6478094000,6478094000,479297000,111351000,209757000,6957391000,6977364000,203627000,203627000,2047599000,248596000,76475000,2499822000,2499822000,5699081000,-148473000,-1105516000,4445092000,4477542000,6977364000,54136000,-34976000,39664000,130897000,-87762000,-87762000,-46094000,-2112000,791000,-47415000,-4280000,-4280000,-4280000,2047599000,0.65169,0.22759,0.28622,0.01206,0.00774,0.00799,0.5583,0.29346,0.36337,0.36316,1.26956,29.90126,0.31007,0.01534,0.85331,47.54079
"46","2022_Q1",37.71,"Up",190154000,-65323000,124831000,-8.1e+07,-7307000,-73693000,43831000,-15775000,-16454000,-296000,28056000,139433000,167489000,167489000,167489000,-184000,167305000,167305000,8937000,8937000,12553000,-80066384.7566335,-80066384.7566335,21490000,6839394000,6839394000,451150000,77811000,204786000,7290544000,7312034000,224523000,224523000,2237509000,249602000,74515000,2711634000,2711634000,5700581000,-148473000,-985338000,4566770000,4600400000,7312034000,167489000,-148167000,-2124000,90891000,-139660000,-139660000,-46097000,97245000,1021000,52169000,3400000,3400000,3400000,2237509000,0.65647,0.2305,0.87984,0.03637,0.02288,0.00793,0.58943,0.306,1.12455,1.12392,1.27813,30.69582,0.30984,0.03121,0.27553,50.84465
"47","2022_Q2",33.3382258064516,"Down",186898000,-65237000,121661000,-78807000,-8063000,-70744000,42854000,-14622000,-15525000,-221000,28232000,-69000,28163000,28163000,28163000,-179000,27984000,27984000,7e+06,7e+06,16790000,1231000,1231000,25021000,6861501000,6861501000,473573000,93307000,220413000,7335074000,7360095000,192028000,192028000,2349484000,235938000,74951000,2777450000,2777450000,5702067000,-148473000,-1005951000,4547643000,4582645000,7360095000,28163000,-4777000,-70005000,24125000,-93465000,-93465000,-46093000,112303000,1193000,67403000,-1937000,-1937000,-1937000,2349484000,0.65095,0.22929,0.14973,0.00611,0.0038,0.00901,0.60608,0.31922,0.18821,0.18793,1.25698,30.58514,0.31,0.01069,1.64712,54.66197
"48","2022_Q3",27.5271875,"Down",185680000,-62893000,122787000,-76857000,-6996000,-69861000,45930000,-11694000,-16549000,-425000,34236000,-72000,34164000,34164000,34164000,-112000,34052000,34052000,4057000,4057000,9688000,1231000,1231000,14976000,6878514000,6878514000,486634000,103215000,231869000,7365148000,7380124000,208417000,208417000,2305637000,233375000,75226000,2747429000,2747429000,5781158000,-148473000,-1020590000,4612095000,4632695000,7380124000,34164000,-11124000,40663000,133564000,-99881000,-99881000,-47604000,-43239000,-47451000,-36626000,-2943000,-2943000,-2943000,2305637000,0.66128,0.24736,0.18339,0.00735,0.00461,0.00545,0.59305,0.31241,0.22902,0.22868,1.24879,31.01861,0.32016,0.01177,1.39798,50.1106
