"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","short_term_borrowings","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"30","2018_Q1",32.7916393442623,"Up",265627000,-194460000,71167000,-62680000,-62680000,8487000,-4349000,-4481000,132000,4138000,4138000,2517000,6655000,6655000,6654000,-22000,6632000,22047000,22047000,167272000,167272000,91413000,37183000,5296000,317915000,53337000,267831000,187591000,78525000,1715000,321168000,639083000,98786000,80303000,18483000,3381000,3381000.00000003,22658000,22658000,124825000,238643000,245712000,370537000,16000,153261000,134193000,-19491000,267979000,268546000,639083000,6655000,7188000,-3084000,-6742000,4017000,-654000,-654000,-22000,-841000,113000,-750000.000000007,2613000,2613000,-121000,2492000,15675000,242024000,5762000,0.26792,0.03195,0.02497,0.0247,0.01038,0.86882,2.54689,1.37979,0.37871,0.38128,0.36372,15.27119,15.40548,0.33126,0.00126,0.01285,0.01113,0.00332,14.03362,25.91929
"31","2018_Q2",38.506875,"Up",285936000,-209491000,76445000,-65296000,-65296000,11149000,-5019000,-5041000,22000,6130000,6130000,-1636000,4494000,4494000,4551000,-23000,4528000,12646000,12646000,168176000,168176000,103194000,42782000,4580000,326798000,52257000,275818000,194074000,80037000,1707000,328075000,654873000,105341000,90930000,14411000,3387000,3387000,25295000,25295000,134023000,238217000,246646000,380669000,16000,154836000,138710000,-19868000,273694000,274204000,654873000,4494000,6714000,1848000,-13864000,-808000,-791000,-10627000,-23000,-844000,-92000,-959000,-12394000,-12394000,-140000,-12534000,17863000,241604000,4844000,0.26735,0.03899,0.01584,0.01651,0.00691,1.06979,2.43837,1.38827,0.36893,0.25295,0.24161,15.97319,15.28842,0.2706,0.00128,0.00868,0.00924,0.00508,12.81744,20.53619
"32","2018_Q3",43.5773015873016,"Up",311227000,-226111000,85116000,-65056000,-65056000,20060000,-4721000,-6137000,1416000,15339000,15339000,-3776000,11563000,11563000,11562000,-22000,11540000,2489000,2489000,185261000,185261000,110767000,44078000,4750000,342595000,53035000,271302000,194033000,75682000,1587000,324337000,666932000,113119000,95013000,18106000,3394000,3394000,16602000,16602000,133115000,237875000,248452000,381567000,16000,155517000,150322000,-21001000,284854000,285365000,666932000,11563000,6490000,1256000,-25484000,-6175000,-2025000,-2981000,-22000,-843999.999999999,-104000,-970000,-10126000,-10126000,-31000,-10157000,26550000,241269000,2817000,0.27349,0.06445,0.03708,0.04044,0.0173,0.24411,2.57368,1.33712,0.36176,0.65725,0.64058,17.72565,16.22269,0.16044,0.00125,0.02152,0.00524,0.00191,8.9936,11.90329
"33","2018_Q4",35.4457142857143,"Down",308028000,-223958000,84070000,-67257000,-67257000,16813000,-4901000,-4781000,-120000,11912000,11912000,-3550000,8362000,8362000,8397000,-23000,8374000,15994000,15994000,183454000,183454000,116545000,45791000,5640000,361784000,52617000,267431000,194052000,71783000,1596000,320048000,681832000,107850000,91117000,16733000,3394000,3394000,25133000,25133000,136377000,237434000,248093000,384470000,16000,155845000,158635000,-17611000,296885000,297362000,681832000,8362000,6506000,1871000,86000,16825000,-2343000,-2363000,-23000,-846000,-196000,-1065000,13397000,13397000,105000,13502000,23319000,240828000,24612000,0.27293,0.05458,0.02719,0.02816,0.01228,2.9391,2.65282,1.29294,0.35321,0.47677,0.45501,17.53746,16.90213,1.40128,0.00131,0.0153,0.04484,0.00275,9.64167,13.37263
"34","2019_Q1",34.7977049180328,"Down",311006000,-224429000,86577000,-66148000,-66148000,20429000,-5104000,-4978000,-126000,15325000,15325000,-4223000,11102000,11102000,11122000,-22000,11100000,40304000,40304000,191829000,191829000,114830000,38627000,4938000,385590000,51330000,263042000,194052000,67207000,1783000,314372000,699962000,108682000,87407000,21275000,3407000,3407000,31188000,31188000,143277000,236979000,248431000,391708000,16000,156364000,169735000,-19267000,306848000,308254000,699962000,11102000,6454000,1732000,6710000,25998000,-1606000,-1605000,-22000,-847000,942000,73000.0000000002,24466000,24466000,-337000,24129000,26883000,240386000,36210000,0.27838,0.06569,0.03569,0.03601,0.01586,3.26216,2.69122,1.27073,0.34343,0.64576,0.60287,18.09332,17.85049,2.10658,0.00128,0.01986,0.06465,0.00198,7.4427,9.79402
"35","2019_Q2",38.3774603174603,"Up",311225000,-227025000,84200000,-69384000,-69384000,14816000,-5007000,-5040000,33000,9809000,9809000,-2622000,7187000,7187000,7291000,-23000,7268000,30606000,30606000,197267000,197267000,121754000,43869000,5597000,393496000,51404000,330307000,194052000,63609000,72646000,381711000,775207000,109409000,92460000,16882000,21074000,3414000,28149000,28149000,158632000,236591000,299994000,458626000,16000,156825000,177003000,-18565000,315279000,316581000,775207000,7187000,6206000,950000,-19653000,-5310000,-2283000,-2283000,-23000,-849000,-1438000,-2310000,-9903000,-9903000,112000,-9791000,21022000,257665000,1708000,0.27054,0.04761,0.02335,0.02296,0.00938,0.235,2.48056,1.44868,0.33238,0.41375,0.39487,17.71747,17.94734,0.09723,0.00131,0.01143,0.00268,0.00316,10.80102,15.32526
"36","2019_Q3",33.60421875,"Down",333318000,-241331000,91987000,-69140000,-69140000,22847000,-5070000,-4885000,-185000,17777000,17777000,-4427000,13350000,13350000,13459000,-22000,13437000,25429000,25429000,210257000,210257000,128012000,40930000,4729000,404628000,55534000,326445000,194052000,59953000,72440000,381979000,786607000,110065000,89293000,20772000,21307000,3420000,26949000,26949000,158321000,236202000,298076000,456397000,16000,157265000,190440000,-18704000,329017000,330210000,786607000,13350000,6065000,1665000,-19230000,1850000,-6267000,-6267000,-22000,-851000,-84000.0000000009,-957000,-5374000,-5374000,199000,-5175000,28912000,257509000,7842000,0.27597,0.06854,0.04031,0.04069,0.01708,0.58361,2.55574,1.38214,0.32737,0.76364,0.72885,18.94283,18.69749,0.44567,0.00125,0.02072,0.01207,0.00164,8.02712,10.15801
"37","2019_Q4",37.29421875,"Up",327178000,-234474000,92704000,-70987000,-70987000,21717000,-4961000,-4986000,25000,16756000,16756000,-3606000,13150000,13150000,13109000,-23000,13086000,28436000,28436000,210098000,210098000,131916000,41868000,6328000,412318000,58516000,320720000,194052000,56072000,70596000,379236000,791554000,103416000,83174000,20242000,20211000,2500000,28351000,28351000,151978000,235576000,297185000,449163000,16000,157600000,203526000,-19985000,341157000,342391000,791554000,13150000,6422000,2541000,-11168000,10945000,-5662000,-5662000,-23000,-2016000,-138000,-2177000,3106000,3106000,-97999.9999999999,3008000,28139000,255787000,14915000,0.28334,0.06638,0.04,0.03822,0.01653,1.13977,2.71301,1.31184,0.32315,0.74344,0.70958,18.58755,19.38081,0.84735,0.00131,0.01987,0.02261,0.00176,8.07957,10.4688
"38","2020_Q1",28.8624193548387,"Down",293130000,-212232000,80898000,-72866000,-72866000,8032000,-4415000,-4587000,172000,3617000,3617000,-539000,3078000,3078000,3166000,-22000,3144000,54203000,54203000,187116000,187116000,129364000,37798000,4223000,408481000,63703000,316036000,194052000,54288851.158409,69402000,379739000,788220000,99850000,76438000,23412000,20103000,2500000,28218000,28218000,148171000,235419000,295101000,443272000,16000,158060000,205680000,-19954000,343802000,344948000,788220000,3078000,6481000,-4e+05,24662000,33821000,-7873000,-7873000,-22000,-625000,-1000,-648000,25300000,25300000,466000,25766000,14513000,255522000,31841000,0.27598,0.0274,0.01073,0.00911,0.00399,10.12754,2.75682,1.28504,0.32418,0.1786,0.17046,16.65133,19.52886,1.80874,0.00125,0.0048,0.04823,0.007,13.87163,25.06462
"39","2020_Q2",16.102380952381,"Down",300983000,-217869000,83114000,-71795000,-71795000,11319000,-3543000,-4377000,834000,7776000,7776000,-1786000,5990000,5990000,6052000,-23000,6029000,32730000,32730000,194061000,194061000,133021000,43496000,6776000,403308000,63867000,324516000,202502000,53324000,68690000,388383000,791691000,101034000,82647000,18387000,18426000,2500000,25092000,25092000,144552000,235263000,294919000,439471000,16000,160870000,211367000,-21117000,351136000,352220000,791691000,5990000,6025000,2354000,-15981000,-1612000,-3235000,-17388000,-23000,-625000,-94000,-742000,-19742000,-19742000,-1730000,-21472000,17344000,253689000,-86000,0.27614,0.03761,0.02003,0.01712,0.00762,-0.01426,2.79005,1.24772,0.32044,0.34037,0.32496,16.99221,19.82273,-0.00486,0.0013,0.00909,-0.00013,0.00381,12.73979,19.52107
"40","2020_Q3",18.46375,"Up",251401000,-181320000,70081000,-62943000,-62943000,7138000,-4063000,-3930000,-133000,3075000,3075000,-710000,2365000,2365000,2427000,-22000,2405000,78678000,78678000,154804000,154804000,131828000,36919000,6120000,402229000,62962000,317939000,202502000,50540000,64897000,380901000,783130000,104196000,82407000,21789000,18379000,2500000,26644000,26644000,149219000,220107000,276066000,425285000,16000,163269000,213260000,-19722000,356823000,357845000,783130000,2365000,5965000,981000,54065000,63376000,-1775000,-1775000,-22000,-15625000,-1886000,-16391000,45210000,45210000,705000,45915000,13103000,238486000,66103000,0.27876,0.02839,0.00957,0.00672,0.00307,27.48565,2.69556,1.18846,0.30453,0.13568,0.12954,14.18341,20.13016,3.72937,0.00124,0.00372,0.10134,0.00915,12.19629,22.38834
"41","2020_Q4",20.205625,"Up",220193000,-158892000,61301000,-53746000,-53746000,7555000,-4072000,-3752000,-320000,3483000,-44918000,10143000,-34775000,-34775000,-34666000,-23000,-34689000,97287000,97287000,152013000,152013000,118864000,34530000,6061000,402694000,57452000,276572000,166375000,47616000,62581000,334024000,736718000,102691000,81570000,21121000,19105000,2500000,34076000,34076000,155872000,209813000,257292000,413164000,16000,164229000,178570000,-20174000,322641000,323554000,736718000,-34775000,5304000,43543000,16404000,30476000,-1397000,-1362000,-23000,-10625000,-161000,-10809000,18305000,18305000,304000,18609000,12859000,228918000,17723000,0.2784,0.03431,-0.15754,-0.10721,-0.04709,-0.51091,2.58349,1.27696,0.31073,-1.94981,-2.15313,12.37665,18.13417,0.99618,0.00129,-0.05778,0.02954,-0.00066,10.23649,17.42303
"42","2021_Q1",28.4967213114754,"Up",232689000,-169989000,62700000,-56497000,-56497000,6203000,-8967000,-8512000,-455000,-2764000,-14246000,11049000,-3197000,-3197000,-3081999.99999999,-22000,-3104000,119328000,119328000,166941000,166941000,97071000,26085000,4548000,409425000,56899000,401807000,261767000,59591730.6065218,59952000,458706000,868131000,85470000,64849000,20621000,19191000,3300000,42478000,42478000,147139000,317139000,359856000,506995000,16000,192257000,186078000,-18013000,360338000,361136000,868131000,-3197000,5389000,6631000,8587000,17410000,-142000,-101271000,-22000,112500000,-7130000,105348000,21487000,21487000,553000,22040000,11592000,336330000,8988000.00000001,0.26946,0.02666,-0.01334,-0.0086,-0.00358000000000001,-2.89562,2.78257,1.40389,0.38742,-0.17475,-0.17475,13.09965,20.28497,0.506,0.00124,-0.00416,0.01214,-0.00709,18.71998,34.9834
"43","2021_Q2",30.8726984126984,"Up",245587000,-173957000,71630000,-65397000,-65397000,6233000,-4813000,-5243000,430000,1420000,1420000,-1261000,159000,159000,371000,-23000,348000,127361000,127361000,168003000,168003000,103407000,27813000,7534000,426584000,54110000,388788000,248499000,76008000,64281000,442898000,869482000,100774000,81595000,19179000,20890000,3300000,31692000,31692000,153356000,316741000,363186000,516542000,16000,192120000,176954000,-16736000,352354000,352940000,869482000,159000,6626000,459000,1333000,8577000,617000,617000,-23000,-825000,-517000,-1365000,7829000,7829000,204000,8033000,12859000,337631000,16070000,0.29167,0.02538,0.00142,0.00099,4e-04,46.17816,2.78166,1.46354,0.38831,0.01814,0.01738,12.80032,18.36433,0.83759,0.0012,5e-04,0.0218,0.06609,16.35197,33.73496
"44","2021_Q3",30.66375,"Down",285691000,-200413000,85278000,-70432000,-70432000,14846000,-5232000,-5337000,105000,9614000,9614000,-1684000,7930000,7930000,8119000,-22000,8097000,79169000,79169000,193657000,193657000,103447000,27412000,6914000,403685000,52456000,445439000,300643000,83175000,61621000,497895000,901580000,106448000,80208000,26240000,20812000,3300000,60164000,60164000,187424000,316343000,360047000,547471000,16000,203756000,194523000,-15409000,353712000,354109000,901580000,7930000,6958000,1275000,-8534000,7629000,-846000,-45281000,-22000,-825000,-1023000,-10639000,-48291000,-48291000,99000,-48192000,21804000,337155000,14108000,0.2985,0.05197,0.02834,0.02287,0.00898,1.74237,2.15386,1.54605,0.37396,0.42203,0.40432,14.8906,18.43511,0.73533,0.00115,0.01105,0.0192,0.00272,11.83205,17.37748
"45","2021_Q4",30.4278125,"Down",289494000,-202551000,86943000,-75758000,-75758000,11185000,-4814000,-5264000,450000,6371000,6371000,565000,6936000,6936000,7125000,-23000,7102000,63043000,63043000,205817000,205817000,106376000,35155000,6444000,410391000,51756000,450810000,308880000,83589000,58341000,502566000,912957000,117982000,91385000,26597000,21513000,3300000,49126000,49126000,188621000,315920000,362996000,551617000,16000,206202000,201626000,-17538000,361132000,361340000,912957000,6936000,6486000,6835000,-13632000,6625000,-1458000,-21633000,-23000,-825000,-52000,-9e+05,-15908000,-15908000,-218000,-16126000,17671000,337433000,2016000,0.30033,0.03864,0.02453,0.01965,0.00778,0.28386,2.17574,1.52659,0.3696,0.37261,0.35688,15.18856,18.94627,0.10577,0.00121,0.00955,0.0027,0.00324,15.5277,24.53196
"46","2022_Q1",28.3777419354839,"Down",293149000,-208494000,84655000,-77062000,-77062000,7593000,-5816000,-5245000,-571000,1777000,1777000,-1051000,726000,726000,881000,-22000,859000.000000001,48989000,48989000,218137000,218137000,100894000,36554000,9522000,404574000,51880000,437773000,296541000,79205000,62027000,489653000,894227000,100848000,77842000,23006000,21503000,-841206.895915295,58711000,58711000,181062000,315397000,366438000,547500000,16000,206967000,202484000,-29282000,346674000,346727000,894227000,726000,7073000,1196000,5263000,14258000,-2643000,-2726000,-22000,-825000.000000001,0,-25589000,-14057000,-14057000,3000,-14054000,14666000,336900000,18337000,0.28878,0.0259,0.00293,0.00248,0.000960000000000002,21.34692,2.23445,1.57905,0.37675,0.0437100000000001,0.0501400000000001,14.9168,17.63959,0.93307,0.00112,0.0012,0.02496,0.02561,19.63119,37.91795
"47","2022_Q2",27.483064516129,"Down",319411000,-224527000,94884000,-73325000,-73325000,21559000,-5698000,-5162000,-536000,15861000,15861000,-3332000,12529000,12529000,12642000,-23000,12619000,36559000,36559000,228213000,228213000,111862000,35931000,14317000,412565000,50269000,439481000,301563000,77005000,60913000,489750000,902315000,105069000,81450000,23515000,21393000,3300000,51518000,51518000,177980000,315030000,364208000,542188000,16000,207705000,215103000,-27613000,360187000,360127000,902315000,12529000,6752000,1623000,-18224000,2680000,-740000,-6056000,-23000,-825000,-159000,-9322000,-12698000,-12698000,268000,-12430000,28311000,336423000,12679000,0.29706,0.0675,0.03951,0.03504,0.01399,1.00475,2.31804,1.50555,0.37284,0.67299,0.64452,17.03471,19.20851,0.67619,0.00123,0.01695,0.017,0.00182,10.59178,13.90899
"48","2022_Q3",28.6596875,"Up",367812000,-263549000,104263000,-78342000,-78342000,25921000,-6456000,-5615000,-841000,19465000,19465000,-4973000,14492000,14492000,14432000,-22000,14410000,20574000,20574000,273310000,273310000,119694000,39707000,13645000,453285000,49974000,480765000,335899000,83131000,61735000,530739000,984024000,133813000,103641000,28749000,51006000,32424000,52873000,52873000,237692000,314663000,370746000,608438000,16000,212284000,229514000,-31204000,375586000,375586000,984024000,14492000,7080000,3769000,-22335000,3006000,-1108000,-39909000,-22000,28299000,-131000,21345000,-15558000,-15558000,-427000,-15985000,33001000,365669000,14531000,0.28347,0.07047,0.03918,0.03837,0.01464,1.0084,1.90703,1.61997,0.37161,0.76788,0.73498,19.59991,20.01332,0.77433,0.00117,0.0181,0.01822,0.00153,10.45711,13.31334
