"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","stock_based_compensation","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_change_in_long_term_investment","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"26","2016_Q3",33.26640625,"Up",1273800000,-414700000,859100000,-598100000,-598100000,2.61e+08,-6300000,-6300000,254700000,254700000,-84600000,170100000,170100000,170100000,170100000,1337100000,843800000,303600000,303600000,438500000,222400000,2301600000,784400000,1002600000,437100000,214800000,2302100000,4603700000,6.89e+08,147700000,541300000,1.5e+07,7.04e+08,8.72e+08,460400000,460400000,1332400000,2036400000,2.786e+09,2800000,2783200000,-110400000,-108300000,2567300000,2567300000,4603700000,170100000,52700000,15100000,21600000,-11500000,5e+06,64100000,-58600000,134400000,-68600000,56900000,3.02e+08,-1.06e+08,-1.06e+08,-1.06e+08,-184100000,-325300000,-93700000,-3700000,1800000,1800000,-2600000,-98200000,-121500000,-121500000,-7e+05,-122200000,313700000,8.87e+08,356400000,0.67444,0.2049,0.13354,0.06626,0.03695,2.09524,3.26932,0.79321,0.19267,0.61275,0.61099,4.58862,9.2482,1.28386,0.33754,0.06739,0.09104,0.550849999999999,-1.43481,-1.72452
"27","2016_Q4",30.9287301587302,"Down",1033100000,-320100000,7.13e+08,-578700000,-578700000,134300000,-6500000,-6500000,127800000,127800000,-15300000,112500000,112500000,112500000,112500000,1282400000,821600000,263200000,263200000,464100000,255400000,2265100000,823200000,1020300000,453400000,217100000,2411400000,4676500000,716500000,174600000,541900000,1.5e+07,731500000,868500000,451100000,451100000,1319600000,2051100000,2809200000,2800000,2806400000,-91700000,-92100000,2625400000,2625400000,4676500000,112500000,49500000,32300000,21200000,8700000,2400000,4900000,40700000,-17800000,26600000,-44600000,199200000,-100900000,-100900000,-100900000,11500000,-129200000,-93700000,-3800000,4100000,4100000,-2300000,-95700000,-25700000,-25700000,3500000,-22200000,183800000,883500000,103100000,0.69016,0.13,0.1089,0.04285,0.02406,0.91644,3.09651,0.78125,0.18892,0.40497,0.4025,3.71886,9.45068,0.37113,0.33729,0.05207,0.02604,0.83289,-2.17029,-2.97022
"28","2017_Q1",32.2227419354839,"Up",1154600000,-371900000,782700000,-665900000,-665900000,116800000,-7400000,-7400000,109400000,109400000,-27900000,81500000,81500000,81500000,81500000,1319400000,8.59e+08,245200000,245200000,459200000,149100000,2172900000,919500000,1241700000,502400000,143700000,2719800000,4892700000,811700000,186700000,6.25e+08,1.5e+07,826700000,861200000,521900000,521900000,1383100000,2209800000,2859900000,2800000,2857100000,-104100000,-72900000,2682900000,2682900000,4892700000,81500000,5.4e+07,-4.9e+07,21100000,-69700000,-4e+05,162900000,18900000,19600000,599999.999999985,123800000,249400000,-1.2e+08,-1.2e+08,-1.2e+08,33300000,-135100000,-93800000,-7500000,20300000,20300000,7e+05,-80300000,3.4e+07,3.4e+07,3400000,37400000,170800000,876200000,241600000,0.6779,0.10116,0.07059,0.03038,0.01666,2.96442,2.6284,0.82366,0.17908,0.29327,0.29004,4.15473,9.65419,0.86938,0.33753,0.04296,0.0592,1.15092,-2.59485,-3.79452
"29","2017_Q2",37.7960317460317,"Up",1037600000,-322900000,714700000,-548800000,-548800000,165900000,-5700000,-5700000,160200000,160200000,-42800000,117400000,117400000,117400000,117400000,1533200000,1e+09,245100000,245100000,546800000,180100000,2505200000,774600000,1230400000,505900000,130600000,2079400000,4584600000,697200000,173500000,523700000,0,697200000,591400000,567500000,567500000,1158900000,1856100000,2877400000,2800000,2874600000,-81300000,-67600000,2728500000,2728500000,4584600000,117400000,52300000,26800000,1.6e+07,4800000,6e+06,4.46e+08,6e+05,-86100000,-8e+06,539500000,642500000,-67600000,-67600000,-67600000,-50600000,-1.25e+08,-9.4e+07,-2.85e+08,20700000,20700000,-19100000,-377400000,140100000,140100000,9e+05,1.41e+08,218200000,591400000,639400000,0.6888,0.15989,0.11315,0.04303,0.02561,5.44634,3.59323,0.68026,0.129,0.42004,0.41646,3.71234,9.76208,2.28766,0.33631,0.05438,0.16448,0.80068,-4.31622,-5.67691
"30","2017_Q3",38.2596825396825,"Up",1321700000,-415500000,906200000,-628800000,-628800000,277400000,-5100000,-5100000,272300000,272300000,-72600000,199700000,199700000,199700000,199700000,1835900000,1309700000,269600000,269600000,464900000,195300000,2765700000,641200000,1161700000,467300000,121500000,1.913e+09,4678700000,715200000,152500000,562700000,0,715200000,591600000,560800000,560800000,1152400000,1867600000,2903100000,2800000,2900300000,23700000,-115700000,2811100000,2811100000,4678700000,199700000,47900000,40500000,20200000,7900000,12400000,78100000.0000001,-35700000,59200000,-19600000,74200000.0000001,366200000,-54100000,-54100000,-54100000,-30300000,44200000,-94500000,0,6e+06,6e+06,-1100000,-89600000,320800000,320800000,-11100000,309700000,325300000,591600000,421900000,0.68563,0.20988,0.15109,0.07104,0.04268,2.11267,3.86703,0.66437,0.12645,0.71194,0.70866,4.71194,10.02175,1.5041,0.3369,0.07423,0.10645,0.47321,-3.82508,-4.48558
"31","2017_Q4",36.094126984127,"Down",995200000,-289500000,705700000,-554600000,-554600000,151100000,-4e+06,-4e+06,147100000,147100000,-24900000,122200000,122200000,122200000,122200000,1891900000,1394500000,203400000,203400000,478700000,195600000,2769600000,661200000,1125800000,481100000,125400000,1891400000,4.661e+09,636300000,129200000,507100000,0,636300000,591800000,5.41e+08,5.41e+08,1132800000,1769100000,2934600000,2800000,2931800000,51100000,-93800000,2891900000,2891900000,4.661e+09,122200000,48500000,75300000,18900000,50300000,6100000,-44100000,7.1e+07,-4200000,-24300000,-86600000,201900000,-70400000,-70400000,-70400000,33400000,-37300000,-94700000,0,1.4e+07,1.4e+07,-2500000,-83200000,81400000,81400000,3400000,84800000,199600000,591800000,1.1e+08,0.7091,0.15183,0.12279,0.04226,0.02622,0.90016,4.35266,0.61174,0.12697,0.43519,0.43195,3.54416,10.29879,0.39174,0.33725,0.05389,0.02733,0.77496,-6.51353,-8.60424
"32","2018_Q1",43.5518032786885,"Up",1133800000,-379300000,754500000,-561500000,-561500000,1.93e+08,-13600000,-13600000,179400000,179400000,-27700000,151700000,151700000,151700000,151700000,3083600000,2672900000,2.68e+08,2.68e+08,469700000,1.32e+08,3953300000,691400000,1111800000,480500000,1.2e+08,1878300000,5831600000,753800000,194600000,559200000,0,753800000,1579500000,496400000,433100000,2075900000,2829700000,2981100000,2800000,2978300000,107700000,-86900000,3001900000,3001900000,5831600000,151700000,64100000,3900000.00000001,18500000,1.5e+07,-29600000,-576500000,-65300000,11100000,60300000,-582600000,-356800000,-9.1e+07,-9.1e+07,-9.1e+07,115200000,711100000,-94800000,997200000,29700000,29700000,-12400000,919700000,1.274e+09,1.274e+09,4400000,1278400000,257100000,1579500000,-382700000,0.66546,0.17022,0.1338,0.05053,0.02601,-2.52274,5.24449,0.94264,0.27085,0.53871,0.53303,4.02628,10.66016,-1.35902,0.33665,0.04854,-0.07537,0.62492,-5.85025,-7.79326
"33","2018_Q2",42.74078125,"Down",1288900000,-5.26e+08,762900000,-784700000,-784700000,-21800000,-20500000,-20500000,-42300000,-42300000,24600000,-17700000,-17700000,-17700000,-17700000,1670900000,1373300000,302700000,302700000,852800000,195900000,3022300000,860800000,3501300000,1410200000,133900000,4432100000,7454400000,934300000,292700000,641600000,800600000,1734900000,1888200000,891300000,891300000,2779500000,4514400000,3027200000,2800000,3024400000,-5900000,-81300000,2.94e+09,2.94e+09,7454400000,-17700000,65500000,88100000,2e+07,-23600000,91700000,-239700000,31600000,-1.56e+08,-23800000,-91500000,-103800000,-48900000,-48900000,-48900000,147500000,-2221600000,-95100000,1.1e+09,43500000,43500000,-2.6e+07,1022400000,-1.303e+09,-1.303e+09,3400000,-1299600000,43700000,2688800000,-269500000,0.5919,-0.01691,-0.01373,-0.00602,-0.00237,15.22599,1.74206,1.53551,0.3607,-0.0625,-0.06174,4.5512,10.38136,-0.95162,0.33581,0.01187,-0.04133,-5.37288,23.29291,-46.69266
"34","2018_Q3",43.7749206349206,"Up",1.785e+09,-608800000,1176200000,-829800000,-829800000,346400000,-22200000,-22200000,324200000,324200000,-2.61e+08,63200000,63200000,63200000,63200000,2091800000,2.065e+09,347800000,347800000,666200000,176500000,3282300000,8.77e+08,3294600000,1400800000,120700000,4198900000,7481200000,930800000,234800000,6.96e+08,800600000,1731400000,1887500000,912900000,739500000,2800400000,4531800000,3060500000,2800000,3057700000,-38800000,-72300000,2949400000,2949400000,7481200000,63200000,60800000,-30100000,18500000,-7.1e+07,22400000,440900000,-17600000,168500000,-68200000,358200000,534800000,-77600000,-77600000,-77600000,310700000,233100000,-95900000,0,16800000,16800000,-3300000,-82400000,685500000,685500000,6200000,691700000,407200000,2688100000,1031500000,0.65894,0.19406,0.03541,0.02143,0.00845,16.3212,1.89575,1.53652,0.35931,0.22214,0.22067,6.27417,10.36696,3.62566,0.33708,0.02429,0.15747,1.51741,1.46439,1.72142
"35","2018_Q4",36.185873015873,"Down",1322400000,-414800000,907600000,-748600000,-748600000,1.59e+08,-16900000,-16900000,142100000,142100000,-1800000,140300000,140300000,140300000,140300000,1038300000,1031700000,292300000,292300000,714300000,243400000,2288300000,889400000,3410200000,1513500000,124400000,4299700000,6.588e+09,859400000,221900000,637500000,7e+05,860100000,1599500000,990400000,750300000,2589900000,3.45e+09,3179900000,2900000,3.177e+09,4500000,-46400000,3.138e+09,3.138e+09,6.588e+09,140300000,62300000,89700000,22400000,55300000,1.2e+07,-136800000,64600000,-5e+05,-44700000,-156200000,155500000,-60100000,-60100000,-60100000,20500000,-92600000,-96100000,-1.1e+09,99600000,99600000,-1900000,-1098400000,-1035500000,-1035500000,2200000,-1033300000,221300000,1600200000,26200000,0.68633,0.12024,0.10609,0.04471,0.0213,0.18674,2.6605,1.09943,0.2429,0.49022,0.48363,4.62055,10.96436,0.09154,0.33578,0.04127,0.00457,0.68496,2.53909,3.53396
"36","2019_Q1",31.5937704918033,"Down",1483700000,-476500000,1007200000,-8.2e+08,-8.2e+08,187200000,-14400000,-14400000,172800000,172800000,38900000,211700000,211700000,211700000,211700000,1.25e+09,1243400000,314100000,314100000,673800000,194700000,2432600000,885400000,3360300000,1484300000,118800000,4245700000,6678300000,937500000,264300000,622900000,7e+05,938200000,1599900000,895600000,689400000,2495500000,3433700000,3208400000,2900000,3205500000,1.19e+08,-82800000,3244600000,3244600000,6678300000,211700000,71700000,2.2e+07,20400000,-11600000,13200000,104800000,-84200000,18400000,59400000,111200000,410200000,-80800000,-80800000,-80800000,-3e+05,-83699999.9999999,-9.7e+07,0,5800000,5800000,-300000.000000002,-91499999.9999999,2.35e+08,2.35e+08,-23300000,211700000,258900000,1600600000,2.44e+08,0.67884,0.12617,0.14268,0.06525,0.0317,1.15257,2.59284,1.05828,0.23967,0.73584,0.72699,5.15711,11.27772,0.848110000000001,0.33716,0.05377,0.0425,0.4582,1.35419,1.87286
"37","2019_Q2",28.3953968253968,"Down",1381200000,-446100000,935100000,-777400000,-777400000,157700000,-13100000,-13100000,144600000,144600000,-22300000,122300000,122300000,122300000,122300000,1063200000,904700000,283100000,283100000,820900000,300300000,2467500000,888300000,3347500000,1.485e+09,111200000,4235800000,6703300000,898700000,292900000,605800000,7e+05,899400000,1600500000,893800000,668300000,2494300000,3393700000,3.234e+09,2900000,3231100000,163700000,-88100000,3309600000,3309600000,6703300000,122300000,6.1e+07,48800000,2.2e+07,17200000,9600000,-251400000,25500000,-150700000,23400000,-149600000,-19300000,-55200000,-55200000,-55200000,-152100000,-2.23e+08,-97200000,0,26200000,26200000,-23100000,-94100000,-336400000,-336400000,-2300000,-338700000,218700000,1601200000,-65600000,0.67702,0.11418,0.08855,0.03695,0.01824,-0.53639,2.7435,1.02541,0.23887,0.42348,0.41884,4.78255,11.45983,-0.22715,0.33657,0.03781,-0.0113,0.79477,2.45999,3.41154
"38","2019_Q3",24.29015625,"Down",1800800000,-597300000,1203500000,-822800000,-822800000,380700000,-13200000,-13200000,367500000,367500000,-112700000,254800000,254800000,254800000,254800000,1495200000,1.237e+09,360500000,360500000,732400000,240400000,2828500000,8.96e+08,3394700000,1503400000,137600000,4290800000,7119300000,1080400000,299100000,781300000,700000.000000007,1081100000,1.601e+09,948800000,705700000,2549800000,3630900000,3259200000,2900000,3256300000,320700000,-91500000,3488400000,3488400000,7119300000,254800000,65300000,30900000,21100000,13800000,-4e+06,267300000,-59700000,108600000,-10800000,229200000,618300000,-61200000,-61200000,-61200000,-99300000,-182500000,-97700000,-2.98023223876953e-08,4600000,4600000.00000001,-6e+05,-93700000,342100000,342100000,-9800000,332300000,4.46e+08,1601700000,764800000,0.66831,0.21141,0.14149,0.07304,0.03579,3.00157,2.61632,1.04085,0.22498,0.87892,0.8756,6.2118,12.03311,2.63815,0.33701,0.05837,0.12665,0.38344,0.238789999999999,0.27975
"39","2019_Q4",24.38140625,"Up",1331400000,-415500000,915900000,-810100000,-810100000,105800000,-10600000,-10600000,95200000,95200000,22200000,117400000,117400000,117400000,117400000,1337300000,1075300000,285700000,285700000,811100000,228300000,2662400000,921600000,3385800000,1504100000,138900000,4307500000,6969900000,995900000,260600000,6.59e+08,7e+05,996600000,1601500000,840600000,595300000,2442100000,3438700000,3281500000,2900000,3278600000,340200000,-90500000,3531200000,3531200000,6969900000,117400000,63500000,41100000,22300000,10500000,8300000,-218800000,85100000,-8.1e+07,-56100000,-166800000,3200000,-67800000,-67800000,-67800000,-2700000,-72200000,-97900000,0,8e+05,8e+05,-2400000,-99500000,-168500000,-168500000,6800000,-161700000,169300000,1602200000,-139500000,0.68792,0.07947,0.08818,0.03325,0.01684,-1.18825,2.67148,0.9738,0.22987,0.40483,0.40358,4.59103,12.17655,-0.48103,0.33759,0.03604,-0.02335,0.8339,1.56468,2.50378
"40","2020_Q1",22.1809677419355,"Down",1513700000,-514500000,999200000,-823700000,-823700000,175500000,-16600000,-1.1e+07,158900000,158900000,-1e+07,148900000,148900000,148900000,148900000,1233800000,969200000,298100000,298100000,778300000,246600000,2556800000,938800000,3381700000,1516200000,134200000,4320500000,6877300000,917200000,243600000,673600000,8e+05,9.18e+08,1601900000,8.44e+08,609900000,2445900000,3363900000,3.305e+09,2900000,3302100000,291600000,-83200000,3513400000,3513400000,6877300000,148900000,78400000,32600000,19400000,-7e+06,20200000,-69700000,-25200000,18400000,3700000,-66599999.9999999,190200000,-9e+07,-9e+07,-9e+07,-2400000,-96500000,-97900000,-2500000,-96300000,3700000,-1600000,-198300000,-104600000,-104600000,-1500000,-106100000,253900000,1602700000,104200000,0.6601,0.11594,0.09837,0.04238,0.02165,0.6998,2.78519,0.95745,0.23304,0.5154,0.51469,5.23953,12.1613,0.36068,0.33887,0.04141,0.01748,0.65749,1.45293,2.10199
"41","2020_Q2",13.608253968254,"Down",1357900000,-443400000,914500000,-862900000,-862900000,51600000,-2.5e+07,-12300000,26600000,26600000,-6600000,2e+07,2e+07,2e+07,2e+07,788400000,522100000,313100000,313100000,880200000,222200000,2203900000,889300000,5356900000,1511600000,2165100000,6246200000,8450100000,883100000,254300000,628800000,0,1.212e+09,1597300000,2553900000,2.357e+09,4151200000,5363200000,3317200000,2800000,3314400000,-134300000,-9.6e+07,3086900000,3086900000,8450100000,2e+07,64200000,80100000,17100000,-34100000,97100000,-158600000,-38100000,-116700000,37100000,-40900000,5700000,-71900000,-71900000,-71900000,-1700000,-73600000,-96800000,45121790.5583104,-266900000,1e+05,-13700000,-377400000,-445300000,-445300000,-1800000,-447100000,115800000,1597300000,-108100000,0.67347,0.038,0.01473,0.00648,0.00237,-5.405,1.8184,1.73741,0.18903,0.07032,0.07,4.77461,10.85408,-0.3801,0.34037,0.01614,-0.01493,4.84,6.98532,15.67636
"42","2020_Q3",14.1128125,"Up",1.816e+09,-606300000,1209700000,-846600000,-846600000,363100000,-8100000,-1.4e+07,3.55e+08,3.55e+08,-56200000,298800000,298800000,298800000,298800000,1166700000,896900000,363500000,363500000,748300000,232900000,2511400000,886300000,5302400000,1511300000,2105200000,6188700000,8700100000,922500000,252400000,670100000,-7.45058059692383e-09,1252300000,1.598e+09,2527400000,2296900000,4125400000,5377700000,3336100000,2800000,3333300000,71299999.9999999,-8.5e+07,3322400000,3322400000,8700100000,298800000,60800000,54700000,16700000,28300000,9700000,141700000,-40600000,136200000,-17800000,63900000,5.56e+08,-50300000,-50300000,-50300000,-4e+06,-54300000,-97200000,1699999.99999997,-33100000,-1e+05,-499999.999999998,-129100000,372600000,372600000,2200000,374800000,423900000,1.598e+09,571500000,0.66613,0.19994,0.16454,0.08993,0.03434,1.91265,2.00543,1.61862,0.18368,1.07792,1.07521,6.55123,11.98557,2.06169,0.35065,0.05317,0.07673,0.3253,1.01746,1.18783
"43","2020_Q4",24.2709375,"Up",1072700000,-456500000,616200000,-1301700000,-1301700000,-685500000,-19500000,-13500000,-7.05e+08,-7.05e+08,27900000,-677100000,-677100000,-677100000,-677100000,898200000,742600000,190400000,190400000,852900000,190400000,2131900000,818700000,4792400000,1298500000,2076900000,5611100000,7.743e+09,7.74e+08,200100000,573900000,11500000,1138900000,1587200000,2463800000,2259200000,4.051e+09,5189900000,3348800000,2800000,3.346e+09,-6.99e+08,-96700000,2553100000,2553100000,7.743e+09,-677100000,69900000,639300001,13200000,-27499999,653600000,-147700000,153900000,-191100000,-37800000,-72700000,-115599999,-50700000,-50700000,-50700000,109400000,58700000,-93100000,-2400000,0,-596952.821634052,-1100000,-96600000,-153499999,-153499999,-8e+05,-154299999,-615600000,1598700000,-841900000,0.57444,-0.63904,-0.63121,-0.26521,-0.08745,1.24339,1.87189,2.03278,0.20647,-2.44794,-2.4444,3.87816,9.2303,-3.04375,0.33659,-0.08828,-0.12726,-0.1375,-1.13791,-1.02188
"44","2021_Q1",36.9347540983607,"Up",714800000,-215900000,498900000,-301200000,-301200000,197700000,-20800000,-20300000,176900000,-300800000,7e+06,-293800000,-293800000,-293800000,-293800000,1426300000,1426300000,193300000,193300000,736900000,196600000,2553100000,775200000,4595900000,1301100000,1915400000,5371100000,7924200000,641800000,130800000,5.11e+08,711500000,1742100000,1587900000,2317800000,2162700000,3905700000,5647800000,3361300000,2800000,3358500000,-992700000,-92200000,2276400000,2276400000,7924200000,-293800000,53400000,116999999,6100000,-82400001,193300000,84299999.9999999,121609421.548149,-245852299.21095,120870869.433444,-215500159.846928,-39100001,-32500000,-32500000,-32500000,1.46e+08,113500000,-93200000,700700000,4300000.00000003,4300000,-2800000,6.09e+08,683399999,683399999,3e+05,683699999,251100000,2299400000,295900000,0.69796,0.27658,-0.41102,-0.12906,-0.03708,-1.00715,1.46553,2.48102,0.29017,-1.06372,-1.07305,2.58798,8.24185,1.07133,0.33744,-0.0291,0.04292,-0.31722,3.4771,4.41629
"45","2021_Q2",42.7814285714286,"Up",1172200000,-3.42e+08,830200000,-6.28e+08,-6.28e+08,202200000,-16800000,-19400000,185400000,185400000,46300000,231700000,231700000,231700000,231700000,1522400000,1513900000,251100000,251100000,811200000,260800000,2845500000,7.53e+08,4534900000,1307100000,1792600000,5287900000,8133400000,766100000,2.96e+08,4.32e+08,711500000,1.819e+09,1588600000,2195700000,2.108e+09,3784300000,5603300000,3367600000,2800000,3364800000,-7.61e+08,-76500000,2530100000,2530100000,8133400000,231700000,51200000,-111700000,1.4e+07,-67800000,-57900000,-81200000,-29399999.9999999,-57500000,135100000,-129400000,9e+07,-2100000,-2.6e+07,-2.6e+07,1e+05,-2e+06,-181999294.934582,728819002.423444,-768483584.435966,18454777.5697248,-8399999,-8399999,79600001,79600001,8e+06,87600001,253400000,2300100000,123800000,0.70824,0.1725,0.19766,0.09158,0.02849,0.53431,1.56432,2.21466,0.2828,0.83707,0.83375,4.23483,9.14053,0.44725,0.656623785874939,0.03298,0.01762,0.383542836249145,3.06906,3.84619
"46","2021_Q3",39.51234375,"Down",2359700000,-7.46e+08,1613700000,-1143400000,-1143400000,470300000,-2600000,4100000,467700000,467700000,-174200000,293500000,293500000,293500000,293500000,1651800000,1642600000,331700000,331700000,631900000,261800000,2877200000,730200000,4.543e+09,1317100000,1788500000,5273200000,8150400000,972700000,386300000,559100000,2e+08,1533100000,1589300000,2137300000,2024300000,3726600000,5259700000,3391100000,2800000,3388300000,-4.5e+08,-50400000,2890700000,2890700000,8150400000,313100000,48400000,2.15e+08,19500000,7.3e+07,122500000,1600000.00000003,-59500000,40100000,-135800000,156800000,578100000,-69600000,-45700000,-45700000,-384100000,-453700000,-137500000,-1500000,-726400000,23600000,-78300001,-943700001,-819300001,-819300001,-18600000,-837900001,518700000,1789300000,624900000,0.68386,0.1993,0.12438,0.10153,0.03601,2.12913,1.87672,1.81952,0.21954,1.05804,1.04486,8.50649,10.42069,2.2527,0.49567,0.06322,0.09166,0.46848,0.26509,0.29237
"47","2021_Q4",39.73890625,"Up",598999999,-127100000,471899999,-436100000,-436100000,35799999,-33800000,-39700000,1999999,1999999,107200000,109199999,109199999,109199999,109199999,1659200000,1651700000,240600000,240600000,700300000,296500000,2896600000,673800000,4395600000,1300200000,1661900000,5069400000,7.966e+09,936500000,409500000,508100000,36036238.1782484,1291100000,1.59e+09,2069900000,1951900000,3659900000,4.951e+09,3445100000,2800000,3442300000,-358300000,-71800000,3.015e+09,3.015e+09,7.966e+09,89600000,67600000,-141600000,13200000,-33100000,-121700000,260900000,39600000,81300000,275700000,-135700000,276500000,26700000,2800000,2800000,385400000,412100000,137500000,-7.1e+08,764200000,14200000,71800000,263500000,952100000,952100000,23600000,975700000,103399999,1.59e+09,283799999,0.78781,0.05977,0.1823,0.03622,0.01371,2.5989,2.24351,1.64212,0.1996,0.39238,0.38222,2.15235,10.83363,1.01976,-0.49407,-0.00424,0.04252,-1.25916,-0.66925,-1.93296
"48","2022_Q1",37.2562903225806,"Down",1615400001,-449300000,1166100001,-906400000,-906400000,259700001,-17500000,-16400000,242200001,242200001,-42400000,199800001,199800001,199800001,199800001,2015800000,2007700000,200200000,200200000,734800000,424500000,3375300000,678100000,4328999999,1297300000,1592700000,5007099999,8382399999,1106400000,445200000,661200000,192827606.113431,1425800000,1590700000,2106600000,1902700000,3697300000,5123100000,3489800000,2800000,3.487e+09,-158500000,-7.2e+07,3259300000,3259300000,8382400000,199800000,51500000,78799999.0000001,17399999,80500000,-19100000,4.9e+07,309673664.611306,47158862.825663,2176729370.76487,-1677147301.11708,379099999,-47100000,-47100000,-47100000,-3e+05,-47400000,112968152.073477,0,23400000,23400000,-799999.00000003,22600001,354300000,354300000,1700000.00000001,3.56e+08,311200001,1590700000,355500001,0.72186,0.16077,0.12368,0.0613,0.02384,1.77928,2.3673,1.57184,0.18977,0.71587,0.69496,5.78789,11.67789,1.27374,-0.406086032008625,0.02872,0.0511,-0.991934416465576,-1.366,-1.63689
"49","2022_Q2",32.0327419354839,"Down",1480900000,-412200000,1068700000,-773700000,-773700000,2.95e+08,-18300000,-16100000,276700000,276700000,-49800000,226900000,226900000,226900000,226900000,1655200000,1252600000,236800000,236800000,818300000,375900000,3086200000,657100000,4270800000,1294900000,1604200000,4927900000,8014100000,933800000,4.14e+08,482300000,4e+08,1646600000,1191400000,2026100000,1835100000,3217500000,4864100000,3483300000,2800000,3480500000,-251200000,-82100000,3.15e+09,3.15e+09,8014100000,226900000,50800000,3700000,55908096.0659069,934596249.654916,1301471640.10485,-259600000,816845993.833917,-120023411.523011,6257763112.2946,-5058841903.35125,21800000,-33400000,-33400000,-33400000,-3.95e+08,-428400000,-69600000,748001068.88195,-246300000,3700000,-30300000,-346200000,-752800000,-752800000,-2300000,-755100000,345800000,1591400000,102600000,0.72166,0.1992,0.15322,0.07203,0.02831,0.45218,1.87429,1.54416,0.19858,0.81648,0.80177,5.3289,11.33501,0.3692,0.25045,0.04381,0.01516,0.30674,-0.1845,-0.21627
"50","2022_Q3",32.9415625,"Up",2141200000,-683800000,1457400000,-994600000,-994600000,462800000,-1.9e+07,-15900000,443800000,390100000,-72200000,317900000,317900000,317900000,317900000,1647700000,1257400000,292700000,292700000,7.5e+08,368100000,3058500000,647700000,4223200000,1285200000,1567900000,4870900000,7929400000,1135700000,468200000,6.43e+08,4e+08,1843700000,1189100000,1969200000,1762400000,3158300000,5.002e+09,3524100000,2600000,3521500000,-5.01e+08,-95700000,2927400000,2927400000,7929400000,317900000,48800000,99600000,151024290.197721,2995788748.96475,4611414920.31455,1.8e+08,1627241987.66783,-477946823.046022,13209276224.5892,-10872083806.7025,646300000,-38300000,-38300000,-38300000,1.1e+07,-27300000,-67900000,-52200000,-480100000,19900000,-5700000,-605900000,13100000,13100000,-8300000,4800000,511600000,1589100000,725500000,0.68065,0.21614,0.14847,0.10859,0.04009,2.28216,1.65889,1.70868,0.20041,1.1427,1.11466,7.69662,10.52265,2.60784,0.24407,0.05948,0.11186,0.21359,-0.11454,-0.12662
