"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"30","2017_Q3",20.8542857142857,"Up",34589000,-8989000,25600000,-76256000,-15996000,-60260000,-50656000,-4604000,-55260000,-59772000,-99000,-59871000,-59871000,-59871000,-59871000,265547000,16149000,249398000,4114000,4114000,11008000,7496000,7496000,288165000,64929000,77605000,76501000,1104000,187694000,475859000,38097000,6241000,27712000,31810000,18437000,72613000,154468000,105489000,399860000,472473000,2150034000,-2144986000,-1662000,3386000,3386000,475859000,-59871000,4254000,5615000,-8521000,-58523000,-2255000,44227000,41972000,10224000,10224000,9468000,-7083000,-7083000,-248000,-7331000,-46402000,248098000,-57079000,0.74012,-1.46451,-1.73093,-17.68193,-0.12582,0.95337,3.9685,139.53721,0.52137,-0.38539,-0.38539,0.22265,0.0218,-0.36742,-0.14748,-0.14061,0.37604,0.34446
"31","2017_Q4",39.4319047619048,"Up",152928000,-5674000,147254000,-77769000,-12055000,-65714000,69485000,-3941000,65544000,61073000,-202000,60871000,60871000,60871000,60871000,352567000,37967000,314600000,3314000,3314000,13654000,13260000,13260000,382795000,62396000,77268000,76501000,767000,199260000,582055000,48151000,8563000,35390000,41911000,16420000,92544000,160578000,104353000,405349000,497893000,2170184000,-2084115000,-1907000,84162000,84162000,582055000,60871000,3794000,4959000,23452000,93076000,-939000,-79750000,-80689000,10259000,10259000,9469000,21856000,21856000,-38000,21818000,73279000,247253000,95994000,0.9629,0.45436,0.39804,0.723260000000007,0.10458,1.57701,4.13636,5.91589000000002,0.42479,0.38917,0.37427,0.97773,0.53808,0.61373,0.12372,0.19511,-1.43716,-1.51564
"32","2018_Q1",85.887868852459,"Up",95466000,-9753000,85713000,-93766000,-12337000,-81429000,-8053000,-4276000,-12329000,-33644000,-182000,-33826000,-33826000,-33826000,-33826000,296132000,4762000,291370000,5014000,5014000,10726000,14948000,14948000,326820000,47463000,77495000,76501000,994000,182046000,508866000,36768000,4782000,27788000,19395000,446000,56163000,119668000,100647000,364875000,421038000,2207880000,-2117941000,-2111000,87828000,87828000,508866000,-33826000,2660000,23237000,-72472000,-80401000,-2393000,25371000,22978000,27247000,27247000,24275000,-33148000,-33148000,-57000,-33205000,-5393000,245207000,-80076000,0.89784,-0.0843500000000003,-0.35433,-0.38514,-0.06647,2.36729,5.81913,4.79389,0.48187,-0.21357,-0.22232,0.60275,0.55453,-0.50558,-0.07472,-0.17688,9.4428,6.32373
"33","2018_Q2",76.87265625,"Down",38018000,-6646000,31372000,-118111000,-18687000,-99424000,-86739000,-3769000,-90508000,-95527000,-265000,-95792000,-95792000,-95792000,-95792000,296659000,34805000,261854000,15607000,15607000,10675000,13074000,13074000,336015000,46328000,77290000,76501000,789000,160775000,496790000,61061000,11375000,45596000,19636000,104999.999999998,80697000,112167000,99359000,357810000,438507000,2262235000,-2201156000,-2796000,58283000.0000001,58283000.0000001,496790000,-95792000,2541000,17678000,23107000,-52466000,-985000,49195000,48210000,34352000,34352000,34352000,30096000,30096000,-53000,30043000,-84198000,245643000,-61811000,0.82519,-2.28152,-2.51965,-1.64357,-0.19282,0.64526,4.16391,7.52375,0.49446,-0.59541,-0.59541,0.23631,0.36227,-0.3842,-0.23022,-0.14855,0.605910000000002,0.588160000000002
"34","2018_Q3",56.9026984126984,"Down",1087717000,-5522000,1082195000,-108595000,-20261000,-88334000,973600000,6720000,980320000,975345000,-3885000,971460000,971460000,971460000,971460000,1823808000,911125000,912683000,35315000,35315000,11884000,34940000,34940000,1905947000,4.5e+07,79863000,76501000,3362000,407140000,2313087000,68819000,10674000,54001000,28078000,10090000,96897000,109698000,95918000,355776000,452673000,3094112000,-1229696000,-4002000,1860414000,1860414000,2313087000,971460000,2574000,12968000,-27360000,959642000,-112000,-894303000,-894415000,811087000,811087000,811087000,876314000,876314000,6000.00000000001,876320000,976174000,246078000,952587000,0.99492,0.89509,0.89312,0.52217,0.41998,0.98057,19.66982,0.24332,0.10639,5.66852,5.32917,6.34689,10.85562,5.5584,0.43835,0.42983,-1.61624,-1.62051
"35","2018_Q4",40.2428571428571,"Down",27762000,-4783000,22979000,-121613000,-18718000,-102895000,-98634000,6405000,-92229000,-97043000,9e+05,-96143000,-96143000,-96143000,-96143000,1420410000,222261000,1198149000,31937000,31937000,13296000,39539000,39539000,1505182000,44881000,79895000,76501000,3394000,743916000,2249098000,85797000,7494000,74105000,22286000,6610000,108083000,104379000,92969000,350893000,458976000,3121339000,-1325839000,-5378000,1790122000,1790122000,2249098000,-96143000,2684000,15584000,6463000,-71412000,-1822000,-619449000,-621271000,3859000,3859000,3859000,-688824000,-688824000,-40000,-688864000,-95950000,246514000,-92209000,0.82771,-3.55284,-3.46312,-0.0537100000000003,-0.04275,0.95908,13.92617,0.256389999999999,0.10961,-0.55671,-0.55671,0.16075,10.36562,-0.53393,-0.04491,-0.04307,12.23446,11.90153
"36","2019_Q1",39.5072131147541,"Down",39826000.0000001,-7461000,32365000,-132660000,-23777000,-108883000,-100295000,6633000,-93662000,-100050000,1838000,-98212000,-98212000,-98212000,-98212000,1335350000,194905000,1140445000,43213000,43213000,11381000,47743000,47743000,1437687000,48851000,80745000,76501000,4244000,712485000,2150172000,68110000,5854000,58058000,13892000,4023719.04269346,82002000,103645000,92901000,350595000,432597000,3147942000,-1424051000,-6316000,1717575000,1717575000,2150172000,-98212000,3071000,18807000,-41216000,-117550000,-8687000,96227000,87540000,-59066999.9999999,-59066999.9999999,2668000,-27342000,-27342000,-14000,-27356000,-97223999.9999999,246950000,-148965000,0.81266,-2.51833,-2.46603,-0.05718,-0.04568,1.51677,17.53234,0.25186,0.11485,-0.566260000000001,-0.48001,0.229619999999999,9.90299,-0.858879999999999,-0.04749,-0.07203,11.19477,10.85199
"37","2019_Q2",33.4292063492063,"Down",28222000,-5440000,22782000,-143469000,-25006000,-118463000,-120687000,7257000,-113430000,-119495000,983000,-118512000,-118512000,-118512000,-118512000,1388665000,106752000,1281913000,42894000,42894000,11778000,46777000,46777000,1490114000,58158000,162343000,76501000,85842000,676368000,2166482000,86977000,11012000,71875000,12741000,1649000,99718000,185867000,176527000,433253000,532971000,3178790000,-1542563000,-2716000,1633511000,1633511000,2166482000,-118512000,3077000,18917000,15623000,-80895000,-5648000,-6490000,-12138000,4894000,4894000,4894000,-88139000,-88139000,-14000,-88153000,-117610000,247386000,-108618000,0.80724,-4.27634,-4.19928,-0.07255,-0.0547,0.91651,14.94328,0.32627,0.11419,-0.68166,-0.68166,0.16233,9.39561,-0.62475,-0.05734,-0.05255,9.70393,9.45652
"38","2019_Q3",24.44890625,"Down",23315000,-5018000,18297000,-129267000,-22581000,-106686000,-110970000,6758000,-104212000,-110187000,278000,-109909000,-109909000,-109909000,-109909000,1515379000,85424000,1429955000,37299000,37299000,13188000,30951000,30951000,1596817000,65453000,161078000,76501000,84577000,502836000,2099653000,99729000,9346000,86239000,13641000,3749000,113370000,181307000,173278000,429128000,542498000,3210415000,-1652472000,-788000,1557155000,1557155000,2099653000,-109909000,3055000,17883000,35049000,-53922000,-11643000,36933000,25290000,7306000,7306000,7306000,-21326000,-21326000,-2000,-21328000,-107915000,247821000,-84787000,0.78477,-4.7596,-4.71409,-0.07058,-0.05235,0.77143,14.085,0.34839,0.11803,-0.62966,-0.62966,0.13357,8.92081,-0.48574,-0.05533,-0.04269,11.74589,11.42253
"39","2019_Q4",19.33078125,"Down",29218000,-4927000,24291000,-123031000,-23983000,-99048000,-98740000,6067000,-92673000,-98486000,-1596000,-100082000,-100082000,-100082000,-100082000,1495672000,81224000,1414448000,41205000,41205000,13720000,28227000,28227000,1578824000,64614000,213774000,76501000,137273000,509470000,2088294000,107640000,21963000,81479000,17710000,9318000,125350000,225976000,219197000,474233000,599583000,3241177000,-1751280000,-1186000,1488711000,1488711000,2088294000,-100082000,3450000,30658000,-2667000,-68641000,-5323000,63576000,58253000,6249000,6249000,6249000,-4139000,-4139000,-61000,-4200000,-95290000,248257000,-101684000,0.83137,-3.37942,-3.42535,-0.06723,-0.04793,1.01601,12.59533,0.40275,0.11888,-0.57054,-0.57054,0.16657,8.48679,-0.57968,-0.05099,-0.0518,13.09072,12.63333
"40","2020_Q1",20.6195161290323,"Up",33862000,-5989000,27873000,-137511000,-27142000,-110369000,-109638000,4943000,-104695000,-111886000,-278000,-112164000,-112164000,-112164000,-112164000,1324862000,96363000,1228499000,36802000,36802000,12665000,47221000,47221000,1421550000,65665000,211022000,76501000,134521000,555806000,1977356000,82969000,19234000,63735000,18033000,12516000,353893000,218072000,215518000,218072000,571965000,3271114000,-1864718000,-1005000,1405391000,1405391000,1977356000,-112164000,3574000,22774000,-39407000,-125223000,-3671000,139152000,135481000,4906000,4906000,4804000,15062000,15062000,77000,15139000,-106064000,252891000,-148864000,0.82314,-3.23779,-3.31239,-0.07981,-0.05672,1.3272,4.01689,0.40698,0.12789,-0.63677,-0.63677,0.19224,7.9786,-0.84512,-0.05978,-0.07934,10.10683,9.77737
"41","2020_Q2",20.8026984126984,"Up",50573000,-3811000,46762000,-135204000,-26217000,-108987000,-88442000,2148000,-86294000,-138451000,-2e+05,-138651000,-138651000,-138651000,-138651000,1345882000,227035000,1118847000,42031000,42031000,14320000,27091000,27091000,1429324000,62307000,210402000,76501000,133901000,458609000,1887933000,103248000,21789000,81459000,274223000,271216000,377471000,214036000,211482000,214036000,591507000,3306672000,-2003369000,-6877000,1296426000,1296426000,1887933000,-138651000,4502000,41371000,14703000,-78075000,-9e+05,198667000,197767000,11077000,11077000,11077000,130769000,130769000,-97000,130672000,-83940000,0,-69937000,0.92464,-1.7488,-2.7416,-0.10695,-0.07344,0.50441,3.78658,0.45626,0,-0.78252,-0.78252,0.28542,7.31679,-0.39471,-0.09179,-0.0463,16.03386,15.21768
"42","2020_Q3",20.96890625,"Up",48847000,-5773000,43074000,-120783000,-24347000,-96436000,-77709000,4544000,-73165000,-79856000,-144000,-8e+07,-8e+07,-8e+07,-8e+07,1038397000,58206000,980191000,47245000,47245000,12584000,53742000,53742000,1151968000,61372000,209372000,76501000,132871000,442910000,1594878000,107062000,19246000,87816000,16896000,15139000,123958000,214680000,212156000,214680000,338638000,3338894000,-2083369000,715000,1256240000,1256240000,1594878000,-8e+07,3190000,22885000,-29978000,-83903000,-2694000,159732000,157038000,8043000,8043000,-241957000,-168822000,-168822000,-7000,-168829000,-74519000,2.98023223876953e-08,-107047000,0.88181,-1.59087,-1.63777,-0.06368,-0.05016,1.33809,9.29321,0.26956,0,-0.44862,-0.44862,0.27392,7.04467,-0.60029,-0.05439,-0.07278,13.93466,13.36263
"43","2020_Q4",17.2265625,"Down",30033000,-5570000,24463000,-127513000,-26982000,-100531000,-103050000,2910000,-100140000,-108565000,-21000,-108586000,-108586000,-108586000,-108586000,956006000,55843000,900163000,42925000,42925000,12892000,32033000,32033000,1043856000,60189000,206906000,76501000,130405000,464810000,1508666000,110645000,15484000,95161000,15855000,15348000,126500000,211185000,208691000,211185000,337685000,3364016000,-2191955000,-1080000,1170981000,1170981000,1508666000,-108586000,3245000,27918000,24748000,-52675000,-1910000,50578000,48668000,1531000,1531000,1531000,-2476000,-2476000,113000,-2363000,-99805000,0,-76946000,0.81454,-3.43123,-3.61556,-0.09273,-0.07197,0.70862,8.25183,0.28838,0,-0.60629,-0.60629,0.16769,6.53818,-0.42963,-0.07856,-0.05567,9.57874,9.27711
"44","2021_Q1",20.7490163934426,"Up",23462000,-4323000,19139000,-129860000,-27136000,-102724000,-110721000,1829000,-108892000,-117075000,-128000,-117203000,-117203000,-117203000,-117203000,1061896000,198955000,862941000,38889000,38889000,15292000,21928000,21928000,1138005000,59662000,204438000,76501000,127937000,400762000,1538767000,101864000,22139000,79725000,13915000,13915000,115779000,345693000,345693000,345693000,461472000,3388748000,-2309158000,-2295000,1077295000,1077295000,1538767000,-117203000,3245000,10828000,4496000,-98634000,-1754000,94494000,238990000,2745000,2745000,2765000,143121000,143121000,-9000,143112000,-107476000,0,-104606000,0.81574,-4.71916,-4.99544,-0.10879,-0.07617,0.89252,9.82911,0.42836,0,-0.65216,-0.65216,0.13055,5.99446,-0.58207,-0.08236,-0.07351,9.88031,9.59074
"45","2021_Q2",18.4503174603175,"Down",23647000,-5756000,17891000,-127283000,-31679000,-95604000,-109392000,1412000,-107980000,-122875000,-92000,-122967000,-122967000,-122967000,-122967000,1037316000,150164000,887152000,29156000,29156000,16808000,15771000,15771000,1099051000,58510000,202907000,76501000,126406000,357510000,1456561000,107865000,22434000,85431000,15768000,15768000,123633000,338422000,333825000,338422000,462055000,3429752000,-2432125000,-3121000,994506000,994506000,1456561000,-122967000,3543000,26129000,16210000,-77085000,-2876000,13334000,10458000,17106000,17106000,17856000,-48771000,-48771000,-20000,-48791000,-105849000,0,-92423000,0.75659,-4.62604,-5.20011,-0.12365,-0.08442,0.75161,8.88962,0.46461,2.16840434497101e-19,-0.67799,-0.67799,0.13038,5.4833,-0.50958,-0.09225,-0.06934,9.79996,9.48256
"46","2021_Q3",16.0303125,"Down",28330000,-7667000,20663000,-130868000,-29555000,-101313000,-110205000,845000,-109360000,-125162000,-357000,-125519000,-125519000,-125519000,-125519000,1000065000,152345000,847720000,28871000,28871000,14616000,12596000,12596000,1056148000,58599000,199207000,76501000,122706000,315203000,1371351000,114247000,19701000,94546000,16776000,16776000,131023000,335353000,323746000,335353000,466376000,3466019000,-2557644000,-3400000,904975000,904975000,1371351000,-125519000,3547000,25071000,1.4e+07,-82901000,-3281000,76233000,72952000,11417000,11417000,12167000,2218000,2218000,-37000,2181000.00000001,-106658000,0,-95582000,0.72937,-3.89005,-4.4306,-0.1387,-0.09153,0.76149,8.06078,0.51535,0,-0.69206,-0.69206,0.1562,4.98966,-0.527,-0.1012,-0.07706,9.37637,9.07459
"47","2021_Q4",14.46234375,"Down",24921000,-5311000,19610000,-133206000,-29468000,-103738000,-113596000,131000,-113465000,-129594000,-112000,-129706000,-129706000,-129706000,-129706000,921080000,54017000,867063000,28994000,28994000,15330000,20731000,20731000,986135000,58830000,198059000,76501000,121558000,291108000,1277243000,122229000,23660000,98569000,17740000,17740000,139969000,335734000,314347000,335734000,475703000,3492453000,-2687350000,-3563000,801540000,801540000,1277243000,-129706000,3620000,29334000,-4384000,-101136000,-2936000,2106000,-830000,2913000,2913000,3663000,-98303000,-98303000,-25000,-98328000,-109976000,0,-117184000,0.78689,-4.55824,-5.20469,-0.16182,-0.10155,0.90346,7.04538,0.59349,0,-0.7045,-0.7045,0.13536,4.35359,-0.63649,-0.11405,-0.10304,8.37528,8.10838
"48","2022_Q1",9.86645161290322,"Down",25009000,-6163000,18846000,-131756000,-32142000,-99614000,-112910000,181000,-112729000,-145649000,4000,-145645000,-145645000,-145645000,-145645000,733955000,25218000,708737000,22492000,22492000,15801000,23333000,23333000,795581000,60510000,196270000,76501000,119769000,321608000,1117189000,67759000,9747000,58012000,17441000,17441000,85200000,352481000,324755000,352481000,437681000,3516660000,-2832995000,-4157000,679508000,679508000,1117189000,-145645000,3436000,41913000,-51242000,-151538000,-5896000,126093000,120197000,1802000,1802000,2460000,-28881000,-28881000,82000,-28799000,-109474000,0,-166616000,0.75357,-4.51477,-5.8237,-0.21434,-0.13037,1.14399,9.33781,0.64411,0,-0.79108,-0.79108,0.13584,3.69077,-0.90498,-0.14113,-0.16145,6.70438,6.50035
"49","2022_Q2",4.20629032258064,"Down",24822000,-5315000,19507000,-134592000,-27339000,-107253000,-115085000,395000,-114690000,-90267000,-126000,-90393000,-90393000,-90393000,-90393000,667025000,67993000,599032000,30220000,30220000,15379000,20831000,20831000,733455000,60980000,192318000,76501000,115817000,290661000,1024116000,85684000,12617000,73067000,19597000,19597000,105281000,310946000,310946000,310946000,416227000,3537809000,-2923388000,-6532000,607889000,607889000,1024116000,-90393000,3730000,-14484000,12723000,-88424000,-4203000,134481000,130278000,188000,188000,938000,42792000,42792000,-17000,42775000,-111355000,0,-102709000,0.78588,-4.63641,-3.64165,-0.1487,-0.08826,1.13625,6.96664,0.68471,0,-0.48871,-0.48871,0.1342,3.28653,-0.55529,-0.09838,-0.11178,5.99008,5.79593
"50","2022_Q3",3.96625,"Down",21585000,-5115000,16470000,-63261000,-20521000,-42740000,-46791000,1096000,-45695000,-158968000,-1e+05,-159068000,-159068000,-159068000,-159068000,619316000,77545000,541771000,10006000,10006000,16969000,19245000,19245000,665536000,39792000,147731000,76501000,71230000,196451000,861987000,84938000,12346000,72592000,20047000,20047000,104985000,298270000,298270000,298270000,403255000,3549379000,-3082456000,-8191000,458732000,458732000,861987000,-159068000,3441000,58511000,22123000,-74993000,-780000,84928000,84148000,467000,467000,467000,9622000,9622000,-70000,9551999.99999999,-43350000,0,-21907000,0.76303,-2.16776,-7.36938,-0.34676,-0.18454,0.13772,6.33934,0.87906,0,-0.85154,-0.85154,0.11555,2.45574,-0.11728,-0.21013,-0.02894,14.28641,13.23579
