"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"36","2019_Q3",23.79734375,"Down",66156000,-31621000,34535000,-28404000,-19106000,6131000,-1479000,2088000,4652000,2136000,-473000,1663000,1663000,1663000,1663000,6849000,6849000,37748000,37748000,1869000,22158000,5800000,68624000,11532000,264935000,25105000,276467000,345091000,25099000,5422000,19677000,10117000,10117000,42999000,12893000,7247000,134933000,177932000,169934000,-2775000,167159000,167159000,345091000,1663000,369000,6313000,1228000,9573000,-549000,-11389000,4256000,2440000,2440000,2440000,6500000,129823000,7652000,0.52202,0.09267,0.02514,0.00995,0.00482,4.60132,1.59594,1.06445,0.3762,0.12056,0.12056,4.796,12.11824,0.55473,0.01,0.02469,18.91908,20.05774
"37","2019_Q4",24.62140625,"Up",68699000,-32789000,35910000,-26803000,-17645000,9107000,-1699000,3000,7408000,4308000,-174000,4134000,4134000,4134000,4134000,3988000,3988000,39350000,39350000,1472000,20869000,6444000,65679000,11826000,263351000,26275000,275177000,340856000,25888000,7580000,18308000,8656000,8656000,42974000,13311000,6733000,125851000,168825000,172107000,-76000,172031000,172031000,340856000,4134000,354000,4454000,-890000,8052000,-648000,-541000,-10372000,-2861000,-2861000,-2861000,9461000,120970000,8097000,0.52272,0.13256,0.06018,0.02403,0.01213,1.95864,1.52834,0.98136,0.3549,0.29892,0.29892,4.96739,12.43897,0.58547,0.01818,0.02643,12.36465,12.84528
"38","2020_Q1",25.4304838709677,"Up",70638000,-34053000,36585000,-35811000,-15628000,774000,-1153000,272000,-379000,12760000,-1533000,11227000,11227000,11227000,11227000,7357000,7357000,38819000,38819000,1426000,19230000,5861000,66832000,11593000,261164000,27838000,272757000,339589000,24872000,8804000,16068000,8628000,8628000,41930000,13879000,7623000,113312000,155242000,174632000,9715000,184347000,184347000,339589000,11227000,323000,1745000,4794000,18089000,-90000,-89999.9999999981,-14630000,3369000,3369000,3369000,1097000,107863000,7334000,0.51792,0.01096,0.15894,0.0609,0.03306,0.65325,1.59389,0.84212,0.31763,0.81167,0.81167,5.10685,13.32757,0.53022,0.04137,0.02396,91.61896,129.85271
"39","2020_Q2",22.1952380952381,"Down",69757000,-33644000,36113000,-29981000,-18844000,6132000,-817000,362000,5315000,5315000,-1225000,4090000,4090000,4090000,4090000,4280000,4280000,38241000,38241000,1365000,19989000,6606000,63875000,13294000,258764000,28304000,272058000,335933000,22373000,9010000,13363000,7807000,7807000,38610000,14638000,8688000,107963000,146573000,176990000,12370000,189360000,189360000,335933000,4090000,420000,7412000,-4328000,7594000,-2120000,-3041000,-7630000,-3077000,-3077000,-3077000,6552000,101755000,1329000,0.5177,0.08791,0.05863,0.0216,0.01218,0.32494,1.65436,0.77404,0.3029,0.29416,0.29416,5.01705,13.6191,0.09558,0.01807,0.00435,14.87714,15.89612
"40","2020_Q3",26.33296875,"Up",59549000,-29442000,30107000,-27362000,-16124000,2745000,-841000,-38000,1904000,1702000,62000,1764000,1764000,1764000,1764000,18668000,18668000,32159000,32159000,1607000,20714000,7650000,73148000,13729000,253367000,25773000,267096000,340244000,24819000,8095000,16724000,8299000,8299000,36575000,14095000,8439000,112744000,149319000,178242000,12683000,190925000,190925000,340244000,1764000,472000,4881000,10127000,17244000,-908000,-1471000,-1385000,14388000,14388000,14388000,3217000,102106000,12374000,0.50558,0.0461,0.02962,0.00924,0.00518,7.01474,1.99995,0.78208,0.3001,0.12541,0.12541,4.23354,13.57351,0.87971,0.01047,0.04029,25.93659,30.39636
"41","2020_Q4",28.23296875,"Up",68333000,-32915000,35418000,-29214000,-17800000,6204000,67000,917000,6271000,6271000,-1002000,5269000,5269000,5269000,5269000,11777000,11777000,33698000,33698000,1290000,21513000,6990000,68278000,13500000,250329000,25602000,263829000,332107000,24606000,7987000,16619000,7454000,7454000,35517000,14060000,8683000,100284000,135801000,179806000,16500000,196306000,196306000,332107000,5269000,442000,5758000,-3326000,8143000,-213000,-1085000,-13949000,-6891000,-6891000,-6891000,6646000,89681000,4109000,0.51831,0.09079,0.07711,0.02684,0.01587,0.77984,1.9224,0.69178,0.27004,0.37379,0.37379,4.84769,13.92636,0.2915,0.0224,0.01369,11.72194,12.55706
"42","2021_Q1",30.7606557377049,"Up",66849000,-32241000,34608000,-28635000,-17546000,5973000,-477000,253000,5496000,5496000,-2373000,3123000,3123000,3123000,3123000,12671000,12671000,32414000,32414000,1084000,20975000,8365000,67144000,13139000,245989000,24084000,259128000,326272000,25855000,7716000,18139000,8130000,8130000,37442000,15470000,10378000,88830000,126272000,181637000,19624000,2e+08,2e+08,326272000,3123000,456000,8137000,4445000,16161000,-95000,-1067000,-14200000,893999.999999996,893999.999999996,893999.999999996,6429000,76817000,13152000,0.5177,0.08935,0.04672,0.01562,0.00957,4.21134,1.79328,0.63136,0.23544,0.22171,0.22171,4.74578,14.19849,0.93369,0.01068,0.045,9.9776,10.73933
"43","2021_Q2",31.7028571428571,"Up",68005000,-33155000,34850000,-29936000,-18450000,4914000,187000,814000,5101000,5101000,-957000,4144000,4144000,4144000,4144000,18016000,18016000,43503000,43503000,1342000,10021000,7833000,72882000,13079000,245345000,26497000,258424000,331306000,28442000,6742000,21700000,8833000,8833000,40732000,18963000,11436000,86459000,127191000,182671000,23768000,204115000,204115000,331306000,4144000,553000,6233000,2780000,13710000,-493000,-1365000,-7e+06,5345000,5345000,5345000,5467000,70953000,8711000,0.51246,0.07226,0.06094,0.0203,0.01251,2.10208,1.78931,0.62313,0.21416,0.29268,0.2914,4.80295,14.41592,0.61523,0.01409,0.02963,9.68301,10.77269
"44","2021_Q3",33.94796875,"Up",68533000,-34645000,33888000,-26151000,-16298000,7737000,-573000,224000,7164000,7164000,-1023000,6141000,6141000,6141000,6141000,19131000,19131000,39476000,39476000,1423000,12296000,9043000,72326000,12708000,308125000,28028000,320833000,393159000,35410000,6850000,28560000,11375000,11375000,50242000,18743000,12113000,131375000,181617000,184116000,29909000,211542000,211542000,393159000,6141000,563000,6127000,6603000,19434000,-192000,-63222000,44903000,1115000,1115000,1115000,8300000,116089000,15734000,0.49448,0.11289,0.08961,0.02903,0.01562,2.56212,1.43955,0.85854,0.29527,0.43372,0.43183,4.84024,14.94046,1.11124,0.01773,0.04542,11.68169,12.53173
"45","2021_Q4",32.63046875,"Down",70091000,-34802000,35289000,-30758000,-19384000,4531000,-702000,123000,3829000,3829000,-1085000,2744000,2744000,2744000,2744000,17114000,17114000,30542000,30542000,1151000,22170000,18114000,70977000,12100000,304305000,28234000,316405000,387382000,26844000,5454000,21390000,10844000,10844000,41614000,18484000,12684000,129782000,171396000,185816000,32653000,215986000,215986000,387382000,2744000,525000,7379000,-9318000,1330000,-230000,-2409000,-938000,-2017000,-2017000,-2017000,5056000,115224000,-3407000,0.50347,0.06464,0.03915,0.0127,0.00708,-1.24162,1.7056,0.79355,0.29744,0.19143,0.19131,4.88984,15.06809,-0.23769,0.00785,-0.00974,19.40467,21.65306
"46","2022_Q1",30.5809677419355,"Down",7.4e+07,-37145000,36855000,-29330000,-17868000,7525000,-543000,368000,6982000,6982000,-1581000,5401000,5401000,5401000,5401000,11431000,11431000,34431000,34431000,855000,22281000,11194000,68998000,11590000,302762000,29846000,314352000,383350000,30504000,8079000,22425000,11529000,11529000,46427000,19385000,13880000,114351000,160778000,187094000,38054000,222572000,222572000,383350000,5401000,515000,7135000,219000,13270000,-5000.00000000006,-2923000.00000001,-16030000,-5683000,-5683000,-5683000,8040000,99360000,9835000,0.49804,0.10169,0.07299,0.02427,0.01409,1.82096,1.48616,0.72236,0.25919,0.3768,0.37656,5.16255,15.52756,0.68613,0.01582,0.02881,10.93644,11.68492
"47","2022_Q2",32.3614516129032,"Up",77871000,-38056000,39815000,-30829000,-20056000,8986000,-760000,157000,8226000,9476000,-1363000,8113000,8113000,8113000,8113000,15981000,15981000,41483000,41483000,567000,22766000,12911000,80797000,11467000,348066000,34452000,359533000,440330000,27741000,7240000,20501000,14131000,14131000,46735000,26210000,20192000,162843000,209578000,188811000,46167000,230752000,230752000,440330000,8113000,578000,6164000,-3038000,11817000,-27000,-47680000,40413000,4550000,4550000,4550000,9564000,141496000,7862000,0.51129,0.1154,0.10419,0.03516,0.01842,0.96906,1.72883,0.90824,0.32134,0.56608,0.56489,5.43337,16.10047,0.54856,0.02036,0.01973,13.12369,13.96784
"48","2022_Q3",30.85703125,"Down",82726000,-43303000,39423000,-34835000,-22964000,4588000,-954000,278000,3634000,3839000,-763000,3076000,3076000,3076000,3076000,15107000,15107000,48782000,48782000,1128000,21948000,19806000,86965000,10876000,347646000,38087000,358522000,445487000,31419000,7995000,23424000,14154000,14154000,48714000,25882000,19055000,163840000,212554000,190514000,49243000,232933000,232933000,445487000,3076000,691000,6120000,-2601000,7286000,-61000,-4961000.00000001,-3199000,-874000,-874000,-874000,5279000,141099000,3380000,0.47655,0.05546,0.03718,0.01321,0.0069,1.09883,1.78522,0.91251,0.31673,0.21259,0.21259,5.71746,16.09876,0.2336,0.00769,0.00845,23.86664,27.4612
