"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","sale_of_loan_income_loss","commissions_fees_earned","other_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","commissions_fees_paid","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","short_long_term_investments","net_loans","reserve_for_loan_losses","total_loans","net_fixed_assets","customer_acceptances_liabilities","other_assets","total_assets","total_deposits","interest_bearing_deposits","other_deposits","other_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","provision_for_loan_losses_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_investments","net_change_in_loans_interbank","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_change_in_deposits","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"34","2019_Q1",8.84852459016393,"Down",20033000,15628000,18495000,-2867000,4405000,291000,1418000,2696000,-850000,19183000,-10397000,-2e+05,-10197000,8786000,8786000,8786000,-1743000,7043000,7043000,7043000,7043000,40526000,350063000,1388782000,-16876000,1405658000,44862000,5279000,14854000,1975124000,1676739000,1191209000,485530000,6294000,1784271000,217783000,-24652000,-2278000,190853000,190853000,1975124000,7043000,668000,850000,9372000,-10013000,7920000,352000,-4903000,-61752000,-66303000,-1e+07,58996000,46491000,-11892000,-11892000,-11892000,9454000,101238000,1536000,0.43858,0.35157,0.0369,0.00357,0.21809,9.34893,0.05126,0.20695,0.20695,0.58866,5.60811,0.04513,0.00477,0.00078,6.42183,6.91008
"35","2019_Q2",9.0715873015873,"Up",20348000,16020000,19189000,-3169000,4328000,211000,1326000,2791000,250000,20598000,-11238000,-230000,-11008000,9360000,9360000,9360000,-1714000,7646000,7646000,7646000,7646000,28143000,347972000,1367675000,-16892000,1384567000,44805000,5994000,15448000,1925880000,1617864000,1151233000,466631000,68812000,1727914000,217842000,-19384000,-492000,197966000,197966000,1925880000,7646000,632000,-250000,6817000,-6173000,8672000,-414000,4340000,21357000,25283000,0,-58875000,-61253000,-27298000,-27298000,-27298000,9992000,41238000,5119000,0.46,0.37576,0.03862,0.00397,0.6695,8.72834,0.02141,0.22462,0.22462,0.59776,5.81562,0.15038,0.0052,0.00266,1.31055,1.39904
"36","2019_Q3",8.96421875,"Down",21054000,15956000,19240000,-3284000,5098000,614000,1482000,3002000,2e+05,21254000,-11335000,-211000,-11124000,9919000,9919000,9919000,-1916000,8003000,8003000,8003000,8003000,30943000,355132000,1326626000,-16886000,1343512000,44424000,5487000,15853000,1978405000,1661106000,1184406000,476700000,70542000,1772886000,217942000,-13764000,1341000,205519000,205519000,1978405000,8003000,696000,-2e+05,21318000,-22358000,7459000,-45000,-2620000,41249000,38584000,-9.31322574615479e-10,43242000,40854000,86897000,86897000,86897000,10615000,41238000,-9872000,0.47112,0.38012,0.03894,0.00405,-1.23354,8.62638,0.02084,0.23509,0.23509,0.61846,6.03706,-0.28999,0.00525,-0.00499,0.96985,1.03791
"37","2019_Q4",9.451875,"Up",21049000,15836000,19079000,-3243000,5213000,825000,7548000,-3160000,0,21049000,-11009000,-211000,-10798000,10040000,10040000,10040000,-1882000,8158000,8158000,8158000,8158000,50870000,345408000,1360082000,-17145000,1377227000,43956000,5335000,19281000,2144498000,1820140000,1318409000,501731000,71335000,1932713000,218052000,-7978000,1711000,211785000,211785000,2144498000,8158000,347000,0,24362000,-25960000,6907000,-202000,9642000,-33456000,-24016000,0,159034000,156662000,139553000,139553000,139553000,10387000,41238000,-13893000,0.47698,0.38757,0.03852,0.0038,-1.70299,9.12583,0.01923,0.23951,0.23951,0.61798,6.21781,-0.40789,0.00491,-0.00648,-0.92731,-0.95936
"38","2020_Q1",8.62112903225806,"Down",20764000,15675000,18434000,-2759000,5089000,697000,3624000,767999.999999999,2.91038304567337e-11,20764000,-10642000,-3e+05,-10342000,10122000,10122000,10122000,-1950000,8172000,8172000,8172000,8172000,31942000,361683000,1368427000,-17200000,1385627000,43417000,4866000,17927000,2068770000,1753294000,1270795000,482499000,77388000,1851301000,218109000,-2184000,1544000,217469000,217469000,2068770000,8172000,537000,-2.91038304567337e-11,-55674000,53647000,6682000,618000,-7002000,-8345000,-14729000,-20619000,-66846000,-89939000,-97986000,-97986000,-97986000,10659000,20619000,66874000,0.48748,0.39357,0.03758,0.00395,8.18331,8.51294,0.00997,0.23978,0.23978,0.60926,6.38103,1.96223,0.0051,0.03233,-1.06229,-1.11865
"39","2020_Q2",6.53031746031746,"Down",20262000,15303000,17494000,-2191000,4959000,650000,3382000,927000,-7e+05,19562000,-11722000,-291000,-11431000,7840000,7840000,7840000,-1429000,6411000,6411000,6411000,6411000,25861000,379851000,1376452000,-18889000,1395341000,43461000,5356000,18775000,2031090000,1705380000,1212971000,492409000,81511000,1807510000,218207000,1507000,3866000,223580000,223580000,2031090000,6411000,721000,7e+05,955000,1138000,9925000,-533000,-25277000,-8725000,-34535000,1e+07,-47914000,-40645000,-65255000,-65255000,-65255000,8561000,20619000,10595000,0.38693,0.31641,0.02867,0.00316,1.65263,8.0844,0.01015,0.18797,0.18797,0.59408,6.55531,0.31064,0.0045,0.00522,-0.61231,-0.66862
"40","2020_Q3",6.57984375,"Up",20901000,15047000,16507000,-1460000,5854000,1849000,3126000,879000,-1e+06,19901000,-10504000,-247000,-10257000,9397000,9397000,9397000,-1759000,7638000,7638000,7638000,7638000,33079000,372896000,1546833000,-15855000,1562688000,43052000,6014000,22348000,2451148000,2118291000,1369667000,748624000,82900000,2221810000,218349000,6425000,4564000,229338000,229338000,2451148000,7638000,736000,1e+06,-1010000,-2581999.99999999,5782000,-180000,8398000,-171381000,-163163000,0,412911000,410191000,252810000,252810000,252810000,10133000,20619000,9130000,0.4496,0.36544,0.0333,0.00312,1.19534,9.68793,0.00841,0.22393,0.22393,0.61276,6.7236,0.26767,0.00423,0.00372,-1.22965,-1.32596
"41","2020_Q4",7.118125,"Up",20765000,14674000,15822000,-1148000,6091000,1546000,3449000,1096000,-5e+05,20265000,-11533000,-260000,-11273000,8732000,8732000,8732000,-1612000,7120000,7120000,7120000,7120000,28294000,375248000,1525777000,-16558000,1542335000,43733000,6895000,24065000,2508718000,2170579000,1432108000,738471000,83655000,2274853000,218445000,10825000,4595000,233865000,233865000,2508718000,7120000,648000,5e+05,-1629000,-1523000,5116000,-1298000,-934000,20556000,18324000,0,52288000,49555000,72995000,72995000,72995000,9380000,20619000,8171000,0.42052,0.34288,0.03044,0.00284,1.14761,9.72721,0.00822,0.20874,0.20874,0.60877,6.85622,0.23955,0.00392,0.00326,-0.81823,-0.87895
"42","2021_Q1",8.55245901639344,"Up",23585000,16513000,17401000,-888000,7072000,2432000,3530000,1110000,-8e+05,22785000,-11966000,-306000,-11660000,10819000,10819000,10819000,-1823000,8996000,8996000,8996000,8996000,31480000,1122630000,1411923000,-17408000,1429331000,43254000,5625000,27114000,2642026000,2298587000,1489150000,809437000,82977000,2402183000,218528000,17101000,4214000,239843000,239843000,2642026000,8996000,516000,8e+05,-1489000,929000,9752000,-71000,2775000,113054000,115758000,0,128008000,125226000,250736000,250736000,250736000,11335000,20619000,14016000,0.45872,0.38143,0.03751,0.0034,1.55803,10.01565,0.0078,0.26339,0.26339,0.69053,7.02218,0.41036,0.00443,0.00531,-0.95818,-1.00388
"43","2021_Q2",8.96206349206349,"Up",21029000,14490000,15274000,-784000,6539000,2015000,3482000,1042000,-86543.6599573325,21029000,-11485000,-222000,-11263000,9544000,9544000,9544000,-1766000,7778000,7778000,7778000,7778000,26900000,376644000,1365499000,-17452000,1382951000,43113000,5994000,31206000,2734341000,2387945000,1539147000,848798000,83398000,2491962000,218687000,22156000,1536000,242379000,242379000,2734341000,7778000,498000,86543.6599573325,-4515000,926000,4687000,-310000,-9842000,46424000,36832000,-9294658.36471187,89358000,86630000,128149000,128149000,128149000,10042000,20619000,12424000,0.45385,0.36987,0.03209,0.00284,1.59733,10.28126,0.00754,0.22746,0.22746,0.61496,7.08803,0.36332,0.00384,0.00454,-0.62547,-0.65811
"44","2021_Q3",7.74453125,"Down",20625000,14457000,15184000,-727000,6168000,1311000,3881000,976000,750000,21375000,-11718000,-274000,-11444000,9657000,9657000,9657000,-1839000,7818000,7818000,7818000,7818000,31051000,425887000,1221521000,-16806000,1238327000,42906000,4539000,25916000,2941086000,2600076000,1643115000,956961000,72174000,2692869000,218846000,27251000,2120000,248217000,248217000,2941086000,7818000,645000,-750000,4869000,-345000,12237000,-381000,-47553000,144728000,96794000,-1e+07,212131000,199401000,308432000,308432000,308432000,10302000,20619000,11415000,0.46822,0.37905,0.0315,0.00266,1.46009,10.84885,0.00701,0.22863,0.22863,0.60315,7.25876,0.33382,0.00358,0.00388,-1.01262,-1.08025
"45","2021_Q4",8.17625,"Up",19938000,14296000,14842000,-546000,5642000,851000,3938000,853000,550000,20488000,-11550000,-272000,-11278000,8938000,8938000,8938000,-1736000,7202000,7202000,7202000,7202000,30413000,1682908000,1120081000,-16532000,1136613000,42343000,4005000,21750000,2901500000,2553175000,1618698000,934477000,96112000,2649287000,218991000,31728000,1494000,252213000,252213000,2901500000,7202000,720000,-550000,2823000,1625000,11820000,-74000,-18848000,101990000,83068000,4381000,-46901000,-45267000,49621000,49621000,49621000,9658000,0,12945000,0.44829,0.36122,0.02856,0.00248,1.79742,10.50417,0,0.2104,0.2104,0.58248,7.36826,0.37818,0.00342,0.00446,-3.149,-3.40266
"46","2022_Q1",8.85951612903226,"Up",18172000,12826000,13334000,-508000,5346000,514000,3981000,851000,750000,18922000,-11337000,-274000,-11063000,7585000,7585000,7585000,-1369000,6216000,6216000,6216000,6216000,23669000,1745211000,1093104000,-15889000,1108993000,41773000,4355006.80434688,24994000,2928751000,2577958000,1691843000,886115000,11788000,2674746000,219082000,35220000,-297000,254005000,254005000,2928751000,6216000,861000,-750000,1608000,-755000,7180000,-58000,-175310000,27727000,-147293000,0,24783000,21963000,-118150000,-118150000,-118150000,8446000,8.5e+07,9002000,0.4174,0.34206,0.02447,0.00212,1.4482,10.53029,0.02902,0.1816,0.1816,0.53088,7.42061,0.26299,0.00305,0.00307,7.26154,8.08583
"47","2022_Q2",8.69306451612903,"Down",17630000,12665000,13143000,-478000,4965000,308000,3898000,759000,1500000,19130000,-11739000,-194000,-11545000,7391000,7391000,7391000,-1391000,6e+06,6e+06,6e+06,6e+06,31957000,1742593000,1087286000,-14616000,1101902000,41413000,4896000,21738000,2929883000,2582297000,1663390000,918907000,101984000,2684281000,219266000,38492000,-12156000,245602000,245602000,2929883000,6e+06,737000,-1500000,965000,-47000,6155000,-235000,-57031000,7318000,-48601000,0,4339000,1598000,-40848000,-40848000,-40848000,8128000,0,9237000,0.41923,0.34033,0.02443,0.00205,1.5395,10.92939,0,0.17529,0.17529,0.51505,7.17512,0.26985,0.00298,0.00315,-3.93172,-4.32377
"48","2022_Q3",9.2303125,"Up",19974000,14843000,15435000,-592000,5131000,2e+05,4076000,855000,0,19974000,-11913000,-271000,-11642000,8061000,8061000,8061000,-1493000,6568000,6568000,6568000,6568000,38376000,1573349000,1097284000,-14631000,1111915000,41088000,5108000,26003000,2781208000,2494583000,1591249000,903334000,13516000,2538099000,219456000,42332000,-18679000,243109000,243109000,2781208000,6568000,467000,0,-264000,-1895000,4876000,-231000,-199936000,-9998000,-210165000,-5.5e+07,-87714000,-145449000,-350738000,-350738000,-350738000,8528000,3e+07,7895000,0.40357,0.32883,0.02702,0.00236,1.20204,10.44017,0.01079,0.19174,0.19174,0.5831,7.09708,0.23048,0.00334,0.00284,-0.982179999999999,-1.03908
