"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"33","2018_Q2",29.38703125,"Up",1744800000,-1635334000,109466000,-95678000,-63603000,-31157000,13788000,-2699000,-5929000,3230000,11089000,11089000,-165999000,-154910000,-154910000,-154910000,-154910000,404914000,404914000,1121800000,1121800000,1079638000,46345000,46345000,2652697000,6.35e+08,470883000,114223000,1105883000,3758580000,1372238000,1260432000,111806000,169416000,1662655000,392195000,202142000,202142000,594337000,2256992000,1501588000,3758580000,-154910000,29623000,171815000,-38088000,8440000,-48391000,-48391000,8.1e+07,-42959000,2526000,38041000,-1910000,-1910000,163000,-1747000,43411000,561611000,122931000,0.06274,0.0079,-0.08878,-0.10316,-0.04122,-0.79356,1.59546,1.50307,0.14942,-2.1634,-2.1634,24.36701,1.71679,-0.06838,0.05427,3.60962,11.36474
"34","2018_Q3",29.9753968253968,"Up",1675629000,-1560931000,114698000,-65924000,-65384000,370000,48774000,-7022000,-6539000,-483000,41752000,41752000,-17120000,24631999.9999999,24631999.9999999,24631999.9999999,24631999.9999999,405277000,405277000,1087713000,1087713000,1122018000,55510000,55510000,2670518000,635127000,473710000,119052000,1108837000,3779355000,1347611000,1224062000,123549000,244416000,1717359000,393236000,205770000,205770000,599006000,2316365000,1462990000,3779355000,24631999.9999999,29879000,12220000,-41048000,25683000,-22482000,-24501000,7.5e+07,-74141000,913000,-842000,340000,340000,23000.0000000001,363000,78653000,637652000,32243000,0.06845,0.02911,0.0147,0.01684,0.00652,1.30899,1.55501,1.58331,0.16872,0.34968,0.33476,23.78769,0.45773,0.01068,0.01398,2.95443,4.76432
"35","2018_Q4",25.1579365079365,"Down",1813366000,-1694830000,118536000,-71476000,-61421000,-9165000,47060000,-5792000,-6792000,1e+06,41268000,41268000,-7305000,33963000,33963000,33963000,33963000,404777000,404777000,1153930000,1153930000,1187006000,48279000,48279000,2793992000,635733000,462803000,117023000,1098536000,3892528000,1458072000,1348917000,109155000,611280000,2215306000,14562000,185904000,185904000,200466000,2415772000,1476756000,3892528000,33963000,29632000,18723000,-20561000,61757000,-22647000,-22647000,-11416000,-29172000,451000,-40588000,-1478000,-1478000,978000,-5e+05,76692000,625842000,40789000,0.06537,0.02595,0.01873,0.023,0.00873,1.20098,1.26122,1.63586,0.16078,0.49288,0.47136,26.31614,0.59194,0.01484,0.01782,2.8825,4.69751
"36","2019_Q1",29.4722950819672,"Up",1876335000,-1755252000,121083000,-111264000,-60516000,-53466000,9818999.99999999,-6389000,-7206000,817000,3429999.99999999,3429999.99999999,-2648000,782000.000000004,782000.000000004,782000.000000004,782000.000000004,419528000,419528000,1177219000,1177219000,1374004000,43676000,43676000,3014427000,642913000,427793000,83669000,1070706000,4085133000,1672147000,1547399000,124748000,593321000,2401895000,14346000,196048000,196048000,210394000,2612289000,1472844000,4085133000,782000.000000004,29686000,34268000,-4191999.99999999,60544000,-20639000,-20639000,-1.8e+07,-6946000,517000,-24946000,14959000,14959000,-208000,14751000,39505000,607667000,17322000,0.06453,0.00523,0.00042,0.00053,0.00019,22.1509,1.25502,1.77364,0.14875,0.0114400000000001,0.01259,27.44022,0.25332,0.00034,0.00761,4.76241,19.16071
"37","2019_Q2",30.2796825396825,"Up",2188018000,-2038681000,149337000,-71794000,-63028000,-6437000,77543000,-14071000,-8077000,-5994000,63472000,63472000,-25520000,37952000,37952000,37952000,37952000,409290000,409290000,1344536000,1344536000,1054166000,465780000,46296000,3273772000,643518000,399563000,75632000,1043081000,4316853000,1649558000,1531927000,117631000,708362000,2573135000,14361000,196740000,196740000,211101000,2784236000,1532617000,4316853000,37952000,29792000,17752000,-163932000,-78436000,-36591000,-36591000,1.15e+08,-8274000,3568000,104723000,-10304000,-10304000,66000,-10238000,107335000,722723000,-67668000,0.06825,0.03544,0.01735,0.02476,0.00879,-1.78299,1.27229,1.81665,0.16742,0.55564,0.53528,32.034,-0.9907,0.01548,-0.0276,2.92014,4.04205
"38","2019_Q3",30.68984375,"Up",2126639000,-1973537000,153102000,-74987000,-64186000,-7599000,78115000,-8999000,-8108000,-891000,69116000,69116000,-28231000,40885000,40885000,40885000,40885000,405494000,405494000,1312887000,1312887000,1006548000,450159000,48454000,3175088000,639901000,391698000,79617000,1031599000,4206687000,1566329000,1439397000,126932000,643360000,2418528000,0,207440000,207440000,207440000,2625968000,1580719000,4206687000,40885000,29088000,18687000,17078000,105738000,-35232000,-35232000,-8e+07,5603000,5771000,-74397000,-3891000,-3891000,94999.9999999999,-3796000,107203000,643360000,117280000,0.07199,0.03673,0.01923,0.02586,0.00972,2.86853,1.31282,1.66125,0.15294,0.59418,0.57243,30.90641,1.70443,0.01681,0.04823,2.21884,3.04507
"39","2019_Q4",32.025,"Up",2026995000,-1879200000,147795000,-80421000,-66768000,-7272000,67374000,-8749000,-7269000,-1480000,58625000,58625000,-15704000,42921000,42921000,42921000,42921000,414273000,414273000,1234987000,1234987000,915155000,437227000,49934000,3001642000,635020000,383295000,75025000,1018315000,4019957000,1473216000,1350117000,123099000,154634000,1827674000,351472000,213339000,213339000,564811000,2392485000,1627472000,4019957000,42921000,29561000,9960000,83024000,165466000,-26145000,-26644000,-132416000,2776000,3380000,-130364000,8458000,8458000,321000,8779000,96935000,506106000,169518000,0.07291,0.03324,0.02117,0.02637,0.01068,3.94954,1.64233,1.47006,0.1259,0.61753,0.59566,29.16372,2.43897,0.01829,0.07223,0.94737,1.36303
"40","2020_Q1",29.1424193548387,"Down",1892207000,-1750503000,141704000,-60382000,-66050000,-6244000,81322000,-8679000,-6198000,-2481000,72643000,54406000,-34649000,19757000,19757000,19757000,19757000,454741000,454741000,1128379000,1128379000,900557000,437252000,40952000,2920929000,630647000,353937000,74134000,984584000,3905513000,1464561000,1336914000,127647000,38354000,1683022000,346971000,232947000,232947000,579918000,2262940000,1642573000,3905513000,19757000,28508000,41332000,100600000,190197000,-29174000,-29174000,-1.21e+08,820000,820000,-120180000,40843000,40843000,-375000,40468000,109830000,385325000,215905000,0.07489,0.04298,0.01044,0.01203,0.00506,10.92803,1.73553,1.37768,0.09866,0.28265,0.27314,27.0702,3.08877,0.00874,0.0955,-0.63203,-0.85359
"41","2020_Q2",26.3165079365079,"Down",1840171000,-1705289000,134882000,-68351000,-63151000,-5200000,66531000,-4249000,-5567000,1318000,62282000,52932000,-14587000,38345000,38345000,38345000,38345000,430564000,430564000,1063922000,1063922000,843764000,466991000,45131000,2805241000,612214000,412280000,135460000,1024494000,3829735000,1286655000,1180179000,106476000,38728000,1530132000,342537000,277681000,277681000,620218000,2150350000,1679385000,3829735000,38345000,28735000,9589000,-55498000,21171000,-28046000,-28046000,-4688000,-12698000,4852000,-17386000,-24261000,-24261000,84000,-24177000,95266000,381265000,26309000,0.0733,0.03615,0.02084,0.02283,0.01001,0.68611,1.83333,1.28044,0.09955,0.5464,0.52818,26.22148,0.37489,0.0164,0.01125,-0.51749,-0.74099
"42","2020_Q3",27.2240625,"Up",1590550000,-1483129000,107421000,-68024000,-62257000,-5767000,39397000,-13282000,-5622000,-7660000,26115000,11087000,-6205000,4882000,4882000,4882000,4882000,1114585000,1114585000,918582000,918582000,883727000,446405000,39121000,3363299000,591738000,405148000,119904000,996886000,4360185000,1232309000,1126997000,105312000,673437000,2131076000,338105000,273255000,273255000,611360000,2742436000,1617749000,4360185000,4882000,28042000,16029000,86775000,135728000,-16410000,-16410000,629702000,-64163000,320000,565539000,684857000,684857000,-836000,684021000,67439000,1011542000,144009000,0.06754,0.02477,0.00307,0.00302,0.00112,29.49795,1.57822,1.69522,0.232,0.06917,0.0675599999999998,22.5367,2.04048,0.00168,0.04961,-1.52794,-2.6155
"43","2020_Q4",29.65546875,"Up",1654691000,-1523218000,131473000,-64495000,-59314000,-5181000,66978000,-4496000,-7696000,3200000,62482000,59607000,-14727000,44880000,44880000,44880000,44880000,1147217000,1117217000,1042011000,1042011000,883670000,427214000,45965000,3500112000,574799000,399788000,122503000,974587000,4474699000,1363815000,1252116000,111699000,673437000,2213045000,333675000,274497000,274497000,608172000,2821217000,1653482000,4474699000,44880000,28886000,15532000,-25531000,63767000,-9441000,-39441000,-4688000,-17791000,276000,-22479000,1847000,1847000,785000,2632000,95864000,1007112000,75619000,0.07945,0.04048,0.02712,0.02714,0.01003,1.68492,1.58158,1.70623,0.22507,0.6579,0.64433,24.25629,1.10851,0.01529,0.02576,-1.4615,-2.09181
"44","2021_Q1",36.3495081967213,"Up",1874958000,-1723027000,151931000,-62625000,-56209000,-6416000,89306000,-4902000,-7696000,2794000,84404000,77132000,-25526000,51606000,51606000,51606000,51606000,480526000,480526000,1043334000,1043334000,861281000,434301000,37718000,2819442000,559242000,393972000,120502000,953214000,3772656000,1503839000,1210049000,293790000,18750000,1522589000,329249000,290902000,290902000,620151000,2142740000,1629916000,3772656000,51606000,28555000,6822000,-7094000,79889000,-10512000,19488000,-659374000,-76580000,2345000,-735954000,-636577000,-636577000,-114000,-636691000,117861000,347999000,125781000,0.08103,0.04763,0.02752,0.03166,0.01368,2.43733,1.85174,1.31463,0.09224,0.76803,0.75162,27.90407,1.87194,0.02275,0.05544,-1.12443,-1.48397
"45","2021_Q2",41.2333333333333,"Up",1755249000,-1614014000,141235000,-63772000,-58967000,-4805000,77463000,-2857000,-4724000,1867000,74606000,72702000,-24681000,48021000,48021000,48021000,48021000,516030000,516030000,1108472000,1108472000,819474000,398900000,48851000,2842876000,541188000,395670000,125867000,936858000,3779734000,1454697000,1143431000,311266000,18750000.0000001,1473447000,324825000,303514000,303514000,628339000,2101786000,1677948000,3779734000,48021000,27635000,11556000,-25401000,61811000,-11191000,-11191000,-4688000,-11472000,1050000,-16160000,34460000,34460000,1044000,35504000,105098000,343575000,93187000,0.08046,0.04413,0.02736,0.02862,0.0127,1.94055,1.9294,1.25259,0.0909,0.73603,0.71868,26.90325,1.42831,0.02065,0.04008,-1.6409,-2.22629
"46","2021_Q3",38.36421875,"Down",1699677000,-1556579000,143098000,-66495000,-61142000,-5353000,76603000,1507000,-4636000,6143000,78110000,66230000,-19193000,47037000,47037000,47037000,47037000,575176000,575176000,1122962000,1122962000,785406000,373541000,38584000,2857085000,529651000,383493000,123550000,913144000,3770229000,1399846000,1108994000,290852000,18750000,1418596000,320405000,296121000,296121000,616526000,2035122000,1735107000,3770229000,47037000,27196000,19498000,-12642000,81089000,-14349000,-14349000,-4688000,-1501999.99999999,1023000,-6189999.99999988,60550000,60550000,-1404000,59146000,103799000,339155000,96001000,0.08419,0.04507,0.02767,0.02711,0.01248,2.04097,2.01402,1.17291,0.08996,0.72093,0.70251,26.05069,1.47139,0.01984,0.0405,-2.27383,-3.08109
"47","2021_Q4",39.3134375,"Up",1657741000,-1521151000,136590000,-62707000,-57438000,-5269000,73883000,24652000,-4606000,29258000,98535000,98917000,18458000,117375000,117375000,117375000,117375000,623844000,623844000,1153813000,1153813000,892633000,395542000,50446000,3065832000,550038000,386720000,145651000,936758000,4002590000,1568606000,1296005000,272601000,18750000,1587356000,315987000,260132000,260132000,576119000,2163475000,1839115000,4002590000,117375000,27373000,3339000,-44366000,103721000,-12182000,-35295000,-4688000,-15698000,681000,-20386000,48040000,48040000,628000,48668000,101256000,334737000,26250000,0.0824,0.04457,0.0708,0.06382,0.02932,0.22364,1.93141,1.17637,0.08363,1.79902,1.75483,25.40833,0.40234,0.04822,0.01078,-2.85521,-3.91304
"48","2022_Q1",39.8043548387097,"Up",1643976000,-1513094000,130882000,-62474000,-56990000,-5484000,68408000,2403000,-4660000,7063000,70811000,69156000,-12591000,56565000,56565000,56565000,56565000,1842460000,1842460000,1239515307.76334,1239515307.76334,1036511000,402693000,53952000,3281664000,532985000,392070000,156953000,925055000,4206719000,1744237000,1464693000,279544000,18750000,1762987000,311572000,253532000,253532000,565104000,2328091000,1878628000,4206719000,56565000,27452000,9673000,-1969000.00000001,91721000,-29490000,-30490000,-4688000,-32394000,239000,-34582000,26649000,26649000,-467000,26182000,95860000,330322000,76992000,0.07961,0.04161,0.03441,0.03011,0.01345,1.36112,1.86142,1.23925,0.07852,0.86554,0.84242,25.15571,1.17811,0.02297,0.03127,-15.77444,-22.1047
"49","2022_Q2",41.3288709677419,"Up",1757325000,-1612836000,144489000,-66252000,-61475000,-4777000,78237000,-2496000,-4568000,2072000,75741000,78937000,-20303000,58634000,58634000,58634000,58634000,735314000,735314000,1308651000,1308651000,1.728e+09,582568000,80675000,4354533000,591155000,361524000,171886000,952679000,5307212000,2567537000,2139445000,428092000,17500000,2585037000,325007000,223376000,223376000,548383000,3133420000,2173792000,5307212000,58634000,27465000,12101000,-29900000,68300000,-17362000,-17362000,-4688000,-67773000,1050000,-72461000,-21523000,-21523000,-786000,-22309000,105702000,342507000,78743000,0.08222,0.04452,0.03337,0.02697,0.01105,1.34296,1.68451,1.44145,0.06454,0.8972,0.87323,26.89015,1.20491,0.0214,0.02874,-3.71617,-5.02073
"50","2022_Q3",46.60015625,"Up",1911530000,-1759083000,152447000,-67289000,-61817000,-5472000,85158000,-5929000,-4521000,-1408000,79229000,76297000,-23077000,53220000,53220000,53220000,53220000,559893000,559893000,1270494000,1270494000,1437955000,478811000,61525000,3747153000,525362000,377399000,156867000,902761000,4649914000,2248907000,1817465000,431442000,18750000,2267657000,302751000,241416000,241416000,544167000,2811824000,1838090000,4649914000,53220000,27567000,15429000,-17243000,78973000,-27263000,-28263000,-4688000,-113146000,352000,-117834000,-67124000,-67124000,-7e+05,-67824000,112725000,321501000,91296000,0.07975,0.04455,0.02784,0.02895,0.01145,1.71545,1.65243,1.52975,0.06914,0.82641,0.80353,29.6826,1.41766,0.02217,0.03802,-2.11481,-2.79941
