"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","acquisition_of_intangible_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"32","2018_Q3",3.54206349206349,"Up",13772647,-8100179,5672468,-4771319,-3767455,-1003864,901149,68046,-34496,2698,969195,969195,98132,1067327,1067327,1067327,1004092,33292800,33292800,9385772,9385772,6906998,8288587,1054984,57874157,3323749,3965200,3137083,326117,7288949,65163106,9342182,3787701,5554481,1400922,1400922,12305593,1109397,1109397,1164367,13469960,84772282,-30963818,51693146,51693146,65163106,1067327,314725,122542.999999999,-1701283,-196688,-140093,-141093,-68292,-72801,-140093,-470030,656937,817790,186907,-149874,-149874,-149874.000000002,1215874,1617459,-723634,0.41186,0.06543,0.0729,0.01942,0.01541,-0.720680000000002,4.70308,0.26058,0.02482,0.03647,0.03187,0.50025,1.87756,-0.02628,0.01845,-0.0133,-26.0515,-35.14995
"33","2018_Q4",3.2547619047619,"Down",3413103,-1246065,2167038,-2729137,-2320992,-408145,-562099,128662,-27974,-18584,-433437,-433437,577593,144156,8848402,8848402,8785167,47144719,47144719,9110713,9110713,5462414,7343832,730368,69061678,2678411,2054490,1709003,345487,4732901,73794579,8886767,2297457,6589310,1548371,1548371,11548457,1072696,1072696,1156101,12704558,85383990,-22178651,61090021,61090021,73794579,8848402,275638,-7438377,-2393049,-707386,-165186,-165186,-74027,-91159,14610355,-466090,415040,415040,-51050,13851919,13851919,13851919,-286461,1196724,-3422289,0.63492,-0.16469,2.57395,0.14381,0.11905,-0.38955,5.98016,0.20796,0.01622,0.31486,0.26577,0.12233,2.18943,-0.12266,0.13866,-0.05401,160.39878,81.7436
"34","2019_Q1",3.56606557377049,"Up",13538323,-6966047,6572276,-6148804,-4896141,-1252663,423472,176326,-21136,-1142,599798,599798,-722147,-122349,939836,939836,873428.999999999,42460267,42460267,13037068,13037068,6873742,5857680,935185,68228757,3627886,3742093,3302270,338815,7369979,75598736,8993442,2395984,6597458,2486111,2486111,12139454,1035974,1035974,1104952,13244406,85774870,-21305222,62354330,62354330,75598736,939836,320344,-741713,-382884,135583,-212549,-212549,-114851,-97698,-4190311,-471922,-157802,-157802,-629724,-4684452,-4684452,-4684452,743816,728879,870530.000000001,0.48546,0.03128,0.0645199999999995,0.01401,0.01155,0.99668,5.62041,0.21241,0.00964,0.03148,0.02565,0.48791,2.24715,0.03137,0.01362,0.01358,-56.10445,-98.5458
"35","2019_Q2",4.28698412698413,"Up",14833118,-8065484,6767634,-7665211,-6207318,-1457893,-897577,158309,-11187,-1729,-739268,-739268,1865147,1125879,1125879,1125879,1042821,24580006,24580006,13505444,13505444,9996054,6416977,1087416,54498481,3845748,25219579,11309181,3565149,29065327,83563808,13545152,4945927,8599225,2792119,2792119,16584997,2970879,2970879,2970879,19555876,86385651,-20262401,64007932,64007932,83563808,1125879,617309,-1546501,1399996,1596683,-275890,-275890,-215251,-60639,-19280140,-381763,184959,184959,-196804,-17880261,-17880261,-17880261,-280268,247726,-1021309,0.45625,-0.06051,0.0703,0.01629,0.01248,-0.97937,3.28601,0.30552,0.00296,0.03719,0.03115,0.52902,2.28276,-0.03642,0.01551,-0.01519,86.8179,27.10885
"36","2019_Q3",5.53171875,"Up",17813663,-9061749,8751914,-7756733,-6021391,-1735342,995181,92484,-1588,-2723,1087665,1087665,-247373,840292,840292,840292,750743,23537673,23537673,13845438,13845438,9732937,6657778,1063124,53773826,3752698,24662393,10952448,3364696,28415091,82188917,11972478,3000066,8972412,2407830,2407830,14380308,2620446,2620446,2620446,17000754,87035463,-19511512,65188163,65188163,82188917,840292,548300,2267150,-4135590,-479848,-266757,-266757,-190544,-76213,-266757,-257782,-37946,182524,-295728,-1042333,-1042333,-1042333,1543481,0,-2611493,0.4913,0.05587,0.04214,0.01152,0.00913,-3.47854,3.73941,0.2608,0,0.02658,0.02228,0.63062,2.30766,-0.09245,0.01107,-0.03851,-15.24973,-23.65165
"37","2019_Q4",6.5959375,"Up",18389219,-9113767,9275452,-7774056,-5726291,-2047765,1501396,53207,-2225,-548,1554603,1554603,-324774,1229829,1229829,1229829,1117436,21414272,21414272,16796252,16796252,9644864,7062334,1119622,54917722,3626833,24343240,10570347,3427643,27970073,82887795,12331505,2636783,9694722,3389417,3389417,15720922,2257958,2257958,2257958,17978880,87640272,-18394250,64908915,64908915,82887795,1229829,669391,-1469649,-461406,-31835,-150353,-150353,-95205,-55148,-150103,-12455,-1929013,70517,-1941468,-2123406,-2123406,-2123406,2170787,0,1883802,0.5044,0.08165,0.06077,0.01722,0.01348,1.68583,3.49329,0.27699,0,0.0395,0.03973,0.64996,2.29418,0.06658,0.01664,0.02805,-9.86475,-14.26291
"38","2020_Q1",7.40338709677419,"Up",19480000,-9092000,10388000,-7644000,-5389000,-2255000,2744000,69000,-1000,0,2813000,1786000,361000,2147000,2147000,2147000,2146000,25006000,25006000,16269000,16269000,10294000,6547000,1287000,58116000,3466000,24942000,10194000,2790000,28408000,86524000,11823000,2787000,9036000,5221000,5221000,17044000,729403.88844065,729408.155768454,2011000,19055000,88054000,-16248000,67469000,67469000,86524000,2147000,668000,-518000,1416000,3713000,-118000,-118000,-40000,-78000,-118000,-13000,10000,10000,-3000,3592000,3592000,3592000,3412000,2011000,4349000,0.53326,0.14086,0.11016,0.03181,0.0248,2.02656,3.40976,0.28243,0.02324,0.07112,0.06694,0.64556,2.23589,0.14412,0.03089,0.06259,-6.73945,-8.3801
"39","2020_Q2",6.51571428571429,"Down",17141000,-8777000,8364000,-7974000,-6377000,-1597000,390000,68000,229.077849869394,9000,458000,458000,-138000,320000,-1116000,-1116000,-1116000,26324000,26324000,15519000,15519000,11191000,4187000,1575000,57221000,3306000,24432000,9853000,2495000,27738000,84959000,11733000,2490000,9243000,3569000,3569000,15302000,1880000,1880000,1880000,17182000,89478000,-17364000,67777000,67777000,84959000,320000,679000,113000,-1414000,-302000,-165000,-165000,-74000,-91000,435000,-13000,1198000,1198000,1185000,1318000,1318000,1318000,1069000,0,-372000,0.48795,0.02275,-0.06511,-0.01647,-0.01314,0.33333,3.73945,0.25351,0,-0.03673,-0.03429,0.56421,2.23095,-0.01224,-0.01602,-0.00534,-24.62488,-67.49744
"40","2020_Q3",5.91953125,"Down",18576000,-9059000,9517000,-7707000,-6202000,-1505000,1810000,0,-1000,-4000,1810000,1810000,-441000,1369000,1369000,1369000,1369000,26506000,26506000,16435000,16435000,11231000,4911000,1691000,59083000,3078000,29061000,9544000,7549000,32139000,91222000,10913000,2763000,8150000,3368000,3368000,14281000,7140000,7140000,7140000,21421000,90337000,-15995000,69801000,69801000,91222000,1369000,684000,822000,-2380000,495000,-137000,-138000,-37000,-101000,-137000,-12999.9999999998,-163000,165000,-176000,182000,182000,182000,2494000,0,418000.000000001,0.51233,0.09744,0.0737,0.01961,0.01501,0.30533,4.13718,0.30689,-3.46944695195361e-18,0.04475,0.0422,0.60727,2.28188,0.01366,0.01779,0.00542999999999999,-10.62791,-14.6442
"41","2020_Q4",7.9734375,"Up",4120000,2125000,6245000,-6995000,-5380000,-1615000,-750000,14000,-1000,14000,-736000,-1312000,1509000,197000,3102000,3102000,3102000,26422000,26422000,18254000,18254000,11713000,7487000,3268000,63876000,2111000,29896000,9193000,8432000,32007000,95883000,10893000,3177000,7716000,3721000,3721000,14614000,7761000,7761000,7761000,22375000,91067000,-12893000,73508000,73508000,95883000,3102000,763000,1013000,-4974000,-96000,-8000,-410000,-311000,-99000,-8000,-13000,33000,34000,20000,-84000,-84000,-84000,13000,0,-6478000,1.51578,-0.18204,0.75291,0.0422,0.03235,-2.08833,4.37088,0.30439,0,0.10067,0.09561,0.13371,2.38567,-0.21024,0.03817,-0.07971,-2032.46154,35.22933
"42","2021_Q1",11.1816393442623,"Up",19278000,-7524000,11754000,-12391000,-10394000,-1997000,-637000,10000,-23000,31000,-627000,-51000.0000000005,-475000,-526000,-64000,-64000,-64000.0000000005,15366000,15366000,21928000,21928000,23062000,15113000,4434000,75469000,2917000,52616000,19994000,12812000,55533000,131002000,14176000,2851000,11325000,11742000,11742000,30085000,10658000,10658000,26475000,56560000,92436000,-12957000,74442000,74442000,131002000,-64000,844000,435000,1544000,2759000,-347000,-347000,-259000,-88000,-34449000,20426000,194000,317000,20620000,-11070000,-11070000,-11056000,207000,19984000,1879000,0.60971,-0.03304,-0.00331999999999988,-0.000859999999999993,-0.000489999999999997,-29.35938,2.50853,0.75979,0.15255,-0.00207,-0.00194999999999998,0.62393,2.40931,0.06081,-0.000609999999999999,0.01788,22.30918,-7.24961
"43","2021_Q2",10.8846031746032,"Down",20997000,-8726000,12271000,-13851000,-10934000,-2917000,-1580000,-143000,-143000,32693.3276988924,-1723000,-1723000,664000,-1059000,-319000,-319000,-319000,11794000,11794000,23697000,23697000,25550000,13716000,5388000,74757000,3329000,50820000,19642000,11170000,54149000,128906000,14840000,4108000,10732000,8471000,8471000,27478000,10100000,10100000,24881000,52359000,93938000,-13275000,76547000,76547000,128906000,-319000,1231000,919000,-4765000,-2934000,-409000,-409000,-361000,-48000,-409000,-1048000,643000,845000,-405000,-3748000,-3748000,-3572000,-349000,18948000,-6187000,0.58442,-0.07525,-0.01519,-0.00417,-0.00247,19.39498,2.72061,0.68401,0.14699,-0.0104,-0.00979,0.68461,2.49584,-0.20173,-0.00302,-0.05859,-20.49857,-4.52785
"44","2021_Q3",10.799375,"Down",21965000,-9384000,12581000,-14615000,-12805000,-1810000,-2034000,-122000,-122000,24822.3578289779,-2156000,-2156000,995000,-1161000,-229000,-229000,-229000,11970000,11970000,24605000,24605000,25579000,13743000,6886000,75897000,3183000,50247000,18887000,10719000,53430000,129327000,15133000,3962000,11171000,8787000,8787000,28087000,9612000,9612000,23357000,51444000,95969000,-13505000,77883000,77883000,129327000,-229000,1129000,1070000,-1917000,52999.9999999991,-283000,-283000,-190000,-93000,-282999.999999996,-518000,427000,645000,-91000.0000000037,-321000,-321000,176000,-905000,17912000,-4100000,0.57277,-0.0926,-0.01043,-0.00294,-0.00177,17.90393,2.70221,0.66053,0.1385,-0.00747,-0.00703,0.71618,2.5394,-0.13368,-0.00217,-0.0389,-6.56575000000001,-2.92134
"45","2021_Q4",8.9703125,"Down",20329000,-7745000,12584000,-12594000,-9674000,-2920000,-10000,-110000,-110000,15104.7241096172,-120000,-120000,-224000,-344000,355000,355000,355000,14755000,14755000,19557000,19557000,25350000,22951000,6213000,82613000,2820000,44248000,17819000,5743000,47068000,129681000,13411000,2585000,10826000,16078000,16078000,33656000,4447000,4447000,17156000,50812000,97272000,-13150000,78869000,78869000,129681000,355000,1163000,218000,2375000,4111000,-466000,-385803.904992545,-313769.001821918,-72034.9031706275,-466000,-1050000,586000,586000,-464000,3181000,3181000,2785000,1153000,16876000,3286000,0.61902,-0.00049,0.01746,0.0045,0.00274,9.25634,2.45463,0.64426,0.13013,0.01127,0.0106,0.64548,2.50421,0.10434,0.00354,0.0328,1.83955,-212.1
"46","2022_Q1",7.19112903225806,"Down",24222000,-10102000,14120000,-13086000,-10543000,-2543000,1034000,-104000,-104000,11258.060260171,930000,930000,545000,1475000,1575000,1575000,1575000,17128000,17128000,20913000,20913000,22493000,21911000,3793000,82445000,2988000,44804000,17177000,5322000,47792000,130237000,12067000,2809000,9258000,16453000,16453000,32687000,3954000,3954000,15627000,48314000,98779000,-11575000,81923000,81923000,130237000,1575000,1105000,-360000,933000,3253000,-610000,-667120.666813438,-666180.273886675,-940.392926762972,-610000,-445000,141000,180000,-304000,2339000,2339000,2373000,2139000,15840000,1917000,0.58294,0.04269,0.06502,0.01923,0.01209,1.21714,2.52226,0.58975,0.12162,0.05001,0.04701,0.76909,2.60118,0.06087,0.01548,0.01885,-0.602150000000001,-1.24565000000001
"47","2022_Q2",5.89854838709677,"Down",22481000,-8202000,14279000,-16645000,-14102000,-2543000,-2366000,-92000,-113000,21000,-2458000,-2458000,1115000,-1343000,9581000,9581000,9581000,10788000,10788000,26261000,26261000,28891000,12041000,7152000,77981000,4398000,62286000,22332000,9416000,66684000,144665000,19929000,2617000,17312000,6505000,6505000,30601000,3960000,3960000,22047000,52648000,99940000,-1994000,92017000,92017000,144665000,9581000,1179000,-9569000,-3564000,-2373000,-852000,-877000,-915000,37999.9999999999,-9964000,6487000,-58000,220000,6429000,-5908000,-5908000,-6340000,-1187000,22254000,-6718000,0.63516,-0.10524,0.42618,0.10412,0.06623,-0.70118,2.54832,0.57216,0.15383,0.29928,0.28459,0.70222,2.87427,-0.20985,0.08104,-0.05682,-9.65965,-4.84615
"48","2022_Q3",5.71328125,"Down",26161000,-10198000,15963000,-18424000,-15760000,-2664000,-2461000,-59000,-111000,52000,-2520000,-2520000,-422000,-2942000,-2351000,-2351000,-2351000,4864000,4864000,30422000,30422000,30754000,9904000,6535000,75944000,4499000,61440000,20399000,7988000,65939000,141883000,20294000,3881000,16413000,7265000,7265000,29559000,4545000,3188000,23763000,53322000,102078000,-4345000,88561000,88561000,141883000,-2351000,1515000,701000,-4560000,-4695000,-776000,-776000,-742000,-34000,-776000,-612000,922000,938000,310000,-5161000,-5161000,-5924000,-946000,21218000,-5860000,0.61018,-0.09407,-0.08987,-0.02655,-0.01657,2.49256,2.56923,0.60209,0.14955,-0.0723900000000001,-0.0723900000000001,0.80548,2.72674,-0.18043,-0.02056,-0.05126,-17.28753,-6.64527
