"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_affiliates_net_of_taxes","income_loss_from_continuing_operations","net_extraordinary_gains_losses","discontinued_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_discontinued_operations_operating","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"29","2017_Q2",29.1577777777778,"Down",1.69e+09,-9.57e+08,7.33e+08,-4.46e+08,-5.5e+07,-6.2e+07,-3e+08,-2.9e+07,2.87e+08,-9.3e+07,-6.7e+07,-2.6e+07,1.94e+08,1.94e+08,-1.11e+08,-2e+06,8.1e+07,-2.3e+07,-2.3e+07,5.8e+07,-1.1e+07,4.7e+07,4.7e+07,2.97e+09,2.919e+09,5.1e+07,2.85e+08,2.85e+08,1.438e+09,1.45e+08,1.45e+08,4.838e+09,1.2378e+10,2.08e+08,3.545e+09,1.285e+09,2.26e+09,1.6131e+10,2.0969e+10,6.61e+08,3.05e+08,3.56e+08,5.72e+08,3.32e+08,3.32e+08,1.565e+09,4.049e+09,3.439e+09,4.27e+08,6.07e+08,2.405e+09,7.488e+09,9.053e+09,1.0342e+10,7.35e+08,-3.22e+08,1.0755e+10,1.161e+09,1.1916e+10,2.0969e+10,8.1e+07,3e+08,1.8e+08,-1.84e+08,-6e+06,3.71e+08,-1.8e+08,1.9e+07,3e+06,-1.58e+08,-2.7e+07,-642461068.698393,-2.5e+07,-5.2e+07,1.61e+08,1.61e+08,1e+06,1.62e+08,5.87e+08,4.621e+09,3.34e+08,0.43373,0.16982,0.02781,0.00394,0.00224,7.10638,3.09137,0.75973,0.22037,0.08835,0.08818,3.17669,20.21617,0.62782,0.05075,0.0037,0.01672,0.57447,2.81261,5.75261
"30","2017_Q3",31.4842857142857,"Up",1.875e+09,-9.99e+08,8.76e+08,-4.94e+08,-5.8e+07,-8.3e+07,-3.1e+08,-4.3e+07,3.82e+08,-4.7e+07,-6.4e+07,1.7e+07,3.35e+08,3.35e+08,-1.66e+08,-3e+06,1.66e+08,-1.5e+07,-1.5e+07,1.51e+08,23999999.9999999,1.75e+08,1.75e+08,3.166e+09,3.105e+09,6.1e+07,3.37e+08,3.37e+08,1.486e+09,1.09e+08,1.09e+08,5.098e+09,1.2262e+10,3.06e+08,3.476e+09,1.245e+09,2.231e+09,1.6044e+10,2.1142e+10,6.54e+08,3.04e+08,3.5e+08,5.77e+08,3.41e+08,3.41e+08,1.572e+09,4.046e+09,3.484e+09,4.34e+08,6.14e+08,2.436e+09,7.53e+09,9.102e+09,1.0361e+10,8.85e+08,-3.18e+08,1.0928e+10,1.112e+09,1.204e+10,2.1142e+10,1.66e+08,3.1e+08,1.33e+08,-8.4e+07,-3000000.00000001,5.22e+08,-1.83e+08,-1.13e+08,1.4e+07,-2.82e+08,-2.7e+07,-612025694.926535,-2.8e+07,-5.5e+07,1.85e+08,1.85e+08,1e+06,1.86e+08,6.92e+08,4.623e+09,5.91e+08,0.4672,0.20373,0.09333,0.01453,0.00828,3.37714,3.243,0.75598,0.21866,0.32772,0.3271,3.51124,20.46442,1.10674,0.05056,0.01003,0.02933,0.15429,2.10549,3.81414
"31","2017_Q4",31.9473015873016,"Up",1.879e+09,-1.053e+09,8.26e+08,-5.01e+08,-5.8e+07,-8.9e+07,-3.28e+08,-2.6e+07,3.25e+08,-4.4e+07,-5.6e+07,1.2e+07,2.81e+08,2.78e+08,-7.3e+07,1e+06,2.06e+08,-7e+06,-7e+06,1.99e+08,7e+06,2.06e+08,2.06e+08,3.045e+09,2.969e+09,7.6e+07,2.47e+08,2.47e+08,1.406e+09,1.1e+08,1.1e+08,4.808e+09,1.2173e+10,2.92e+08,3.563e+09,1.288e+09,2.275e+09,1.6028e+10,2.0836e+10,7.68e+08,3.15e+08,4.53e+08,4e+06,3.78e+08,3.78e+08,1.15e+09,4.046e+09,3.409e+09,3.8e+08,6.06e+08,2.423e+09,7.455e+09,8.605e+09,1.0379e+10,1.051e+09,-2.92e+08,1.1138e+10,1.093e+09,1.2231e+10,2.0836e+10,2.06e+08,3.28e+08,1.4e+08,-1.85e+08,-3e+06,4.86e+08,-1.89e+08,1.5e+07,-4e+06,-1.78e+08,-4e+07,-3.83e+08,-1.2e+07,-4.35e+08,-1.27e+08,-1.27e+08,1e+06,-1.26e+08,6.53e+08,4.05e+09,3.52e+08,0.4396,0.17296,0.10963,0.01684,0.00989,1.70874,4.18087,0.70354,0.19438,0.38649,0.38577,3.52533,20.89681,0.66041,0.07505,0.01249,0.01788,0.19417,1.53905,3.09231
"32","2018_Q1",33.6226229508197,"Up",1.935e+09,-1.053e+09,8.82e+08,-5.71e+08,-6.6e+07,-8.8e+07,-3.23e+08,-9.4e+07,3.11e+08,-3.5e+07,-5.4e+07,1.9e+07,2.76e+08,2.65e+08,-7.77e+08,-1.2e+07,-5.24e+08,7e+06,7e+06,-5.17e+08,-2.5e+07,-5.42e+08,-5.42e+08,3.321e+09,3.259e+09,6.2e+07,2.37e+08,2.37e+08,1.355e+09,1.53e+08,1.53e+08,5.066e+09,1.2338e+10,2.8e+08,2.962e+09,5.49e+08,2.413e+09,1.558e+10,2.0646e+10,9.32e+08,3.75e+08,5.57e+08,4e+06,4.62e+08,4.62e+08,1.398e+09,4.061e+09,3.668e+09,3.86e+08,5.95e+08,2.687e+09,7.729e+09,9.127e+09,1.0447e+10,4.1e+08,-2.92e+08,1.0535e+10,9.84e+08,1.1519e+10,2.0646e+10,-5.24e+08,3.23e+08,8.88e+08,61000000.0000001,-3e+06,7.45e+08,-3.09e+08,-1.6e+07,-3e+06,-3.28e+08,-4e+07,-1e+06,-8.5e+07,-1.26e+08,2.91e+08,2.91e+08,3e+06,2.94e+08,6.34e+08,4.065e+09,1.163e+09,0.45581,0.16072,-0.2801,-0.04705,-0.02625,-2.14576,3.62375,0.79234,0.19689,-1.01689,-1.00743,3.63039,19.76548,2.18199,0.07505,-0.02608,0.06041,-0.0738,1.1735,2.39228
"33","2018_Q2",34.38546875,"Up",1.817e+09,-1.029e+09,7.88e+08,-4.62e+08,-5.9e+07,-7.4e+07,-3.01e+08,-2.8e+07,3.26e+08,-4.3e+07,-5.3e+07,1e+07,2.83e+08,2.83e+08,-1.05e+08,-9e+06,1.69e+08,2.2e+07,2.2e+07,1.91e+08,-1e+06,1.9e+08,1.9e+08,3.17e+09,3.111e+09,5.9e+07,3.3e+08,3.3e+08,1.297e+09,1.41e+08,1.41e+08,4.938e+09,1.2311e+10,2.73e+08,2.961e+09,5e+08,2.461e+09,1.5545e+10,2.0483e+10,7.67e+08,3.31e+08,4.36e+08,6999999.99999999,4.07e+08,4.07e+08,1.181e+09,4.088e+09,3.659e+09,3.94e+08,5.96e+08,2.669e+09,7.747e+09,8.928e+09,1.0433e+10,3.8e+08,-1.69e+08,1.0575e+10,9.8e+08,1.1555e+10,2.0483e+10,1.69e+08,3.01e+08,1.47e+08,-3.51e+08,-3e+06,2.63e+08,-2.31e+08,-17072800.9399618,-5e+06,-2.36e+08,-7.6e+07,176746476.598573,-3.9e+07,-1.79e+08,-1.52e+08,-1.52e+08,1182811.69395785,-1.52e+08,6.27e+08,4.095e+09,1.5e+08,0.43368,0.17942,0.10457,0.01644,0.00928,0.78947,4.1812,0.77265,0.19992,0.35581,0.35514,3.40262,19.80337,0.2809,0.14232,0.01378,0.00777,0.4,1.47528,2.83742
"34","2018_Q3",29.6869841269841,"Down",1.662e+09,-9.65e+08,6.97e+08,-4.69e+08,-6.3e+07,-9e+07,-2.79e+08,-3.7e+07,2.28e+08,7.7e+07,-4.9e+07,1.26e+08,3.05e+08,3.05e+08,-1.8e+07,-7e+06,2.8e+08,1.8e+07,1.8e+07,2.98e+08,-4e+06,2.94e+08,2.94e+08,3.183e+09,3.127e+09,5.6e+07,2.34e+08,2.34e+08,1.408e+09,1.42e+08,1.42e+08,4.967e+09,1.2351e+10,3.53e+08,2.984e+09,5.37e+08,2.447e+09,1.5688e+10,2.0655e+10,6.71e+08,3.6e+08,3.11e+08,1.3e+07,3.96e+08,3.96e+08,1.08e+09,4.108e+09,3.634e+09,3.92e+08,5.89e+08,2.653e+09,7.742e+09,8.822e+09,1.0452e+10,5.92e+08,-1.62e+08,1.0813e+10,1.02e+09,1.1833e+10,2.0655e+10,2.8e+08,2.79e+08,999999.999999881,-1.59e+08,-2e+06,3.99e+08,-2.58e+08,8999999.99999997,7e+06,-2.81e+08,-7.4e+07,141212773.230644,2.8e+07,-5.2e+07,65999999.9999999,65999999.9999999,-2e+06,64000000.0000001,5.07e+08,4.121e+09,1.08e+08,0.41937,0.13718,0.1769,0.02485,0.01423,0.367349999999997,4.59907,0.74554,0.19952,0.55056,0.54953,3.11236,20.24906,0.20225,0.13858,0.01879,0.00551,0.251700000000001,1.8501,4.11404
"35","2018_Q4",28.5779365079365,"Down",1.726e+09,-9.95e+08,7.31e+08,-4.74e+08,-5.9e+07,-8.5e+07,-2.99e+08,-3.1e+07,2.57e+08,-1.9e+07,-5.1e+07,3.2e+07,2.38e+08,-1.28e+08,-3e+06,-9e+06,-1.4e+08,1.6e+07,1.6e+07,-1.24e+08,-2.1e+07,-1.45e+08,-1.45e+08,3.126e+09,3.068e+09,5.8e+07,2.72e+08,2.72e+08,1.381e+09,1.56e+08,1.56e+08,4.935e+09,1.2209e+10,3.31e+08,3.084e+09,6e+08,2.484e+09,1.5624e+10,2.0559e+10,6.11e+08,2.93e+08,3.18e+08,2e+07,4.2e+08,4.2e+08,1.051e+09,4.17e+09,3.715e+09,3.68e+08,6.14e+08,2.733e+09,7.885e+09,8.936e+09,1.0455e+10,3.61e+08,-1.5e+08,1.0597e+10,1.026e+09,1.1623e+10,2.0559e+10,-1.4e+08,2.99e+08,4.26e+08,-1.57e+08,-3e+06,4.25e+08,-2.51e+08,-1e+07,-7e+06,-3.67e+08,-7.6e+07,-3000000.00000006,-1e+07,-1.15e+08,-5.7e+07,-5.7e+07,-2e+06,-5.9e+07,5.56e+08,4.19e+09,1.51e+08,0.42352,0.1489,-0.08401,-0.01248,-0.00705,-1.04138,4.69553,0.76882,0.2038,-0.27307,-0.27103,3.25047,19.95669,0.28437,0.14313,-0.00353,0.00773,-0.52414,1.91367,4.14008
"36","2019_Q1",29.9975409836066,"Up",2.048e+09,-1.104e+09,9.44e+08,-5.67e+08,-6.3e+07,-1.01e+08,-3.36e+08,-6.7e+07,3.77e+08,-1.96e+08,-5.4e+07,-1.42e+08,1.81e+08,2.78e+08,-2.6e+08,-8e+06,1e+07,5e+06,5e+06,14999999.9999999,-1.3e+07,2000000.00000006,2e+06,3.445e+09,3.397e+09,4.8e+07,3.46e+08,3.46e+08,1.327e+09,1.59e+08,1.59e+08,5.277e+09,1.2258e+10,2.71e+08,2.909e+09,4.01e+08,2.508e+09,1.5438e+10,2.0715e+10,6.79e+08,3.03e+08,3.76e+08,6.53e+08,4.55e+08,4.55e+08,1.787e+09,3.608e+09,3.808e+09,4.01e+08,6.12e+08,2.795e+09,7.416e+09,9.203e+09,1.0473e+10,3.83e+08,-2.84e+08,1.0502e+10,1.01e+09,1.1512e+10,2.0715e+10,9999999.99999994,3.36e+08,4.72e+08,-7.6e+07,-2e+06,7.4e+08,-2.92e+08,-2e+07,-3e+06,-2.93e+08,-7.5e+07,-1e+06,-3.1e+07,-1.09e+08,3.38e+08,3.38e+08,0,3.38e+08,7.13e+08,4.261e+09,6.05e+08,0.46094,0.18408,0.000979999999999995,0.00017,1e-04,302.5,2.95299,0.79943,0.2057,0.00374999999999998,0.00373999999999991,3.8424,19.70356,1.13508,0.14071,0.00393,0.0309,37.5,1.14446,2.16446
"37","2019_Q2",30.668253968254,"Up",1.803e+09,-9.78e+08,8.25e+08,-4.69e+08,-5.9e+07,-6.8e+07,-3.12e+08,-3e+07,3.56e+08,-8.1e+07,-5.8e+07,-2.3e+07,2.75e+08,2.74e+08,-1.25e+08,-5e+06,1.44e+08,-2.6e+07,-2.6e+07,1.18e+08,-3.2e+07,8.6e+07,8.6e+07,3.601e+09,3.545e+09,5.6e+07,2.89e+08,2.89e+08,1.373e+09,1.34e+08,1.34e+08,5.397e+09,1.2264e+10,3.36e+08,2.883e+09,3.78e+08,2.505e+09,1.5483e+10,2.088e+10,6.13e+08,2.87e+08,3.26e+08,6.85e+08,5.17e+08,5.17e+08,1.815e+09,3.688e+09,3.858e+09,4.15e+08,6.14e+08,2.829e+09,7.546e+09,9.361e+09,1.0492e+10,3.85e+08,-2.69e+08,1.0499e+10,1.02e+09,1.1519e+10,2.088e+10,1.45e+08,3.12e+08,1.07e+08,1e+07,-3e+06,5.71e+08,-2.25e+08,-5.3e+07,3e+06,-2.75e+08,-7.6e+07,-10000000.0000001,-5.7e+07,-1.43e+08,1.53e+08,1.53e+08,-3e+06,1.5e+08,6.68e+08,4.373e+09,5.78e+08,0.45757,0.19745,0.0477,0.00747,0.00412,6.72093,2.97355,0.81266,0.20943,0.16105,0.16105,3.3764,19.66105,1.0824,0.14232,0.0082,0.02927,0.88372,1.15569,2.16854
"38","2019_Q3",35.54515625,"Up",2.257e+09,-1.366e+09,8.91e+08,-7.42e+08,-8.1e+07,-1.01e+08,-4.87e+08,-7.3e+07,1.49e+08,-1.29e+08,-8.2e+07,-4.7e+07,2e+07,20999999.9999998,-2e+07,2.6e+07,26999999.9999999,-2.6e+07,-2.6e+07,999999.999999881,-2.5e+07,-24000000.0000001,-2.4e+07,1.851e+09,1.827e+09,2.4e+07,3.3e+08,3.3e+08,1.919e+09,5.38e+08,5.38e+08,4.638e+09,2.3377e+10,3.71e+09,5.262e+09,5.25e+08,2.581e+09,3.2349e+10,3.6987e+10,9.24e+08,4.6e+08,4.64e+08,7.15e+08,8.99e+08,8.99e+08,2.538e+09,7.031e+09,7.045e+09,4.32e+08,2.458e+09,4.155e+09,1.4076e+10,1.6614e+10,1.9751e+10,-2.5e+07,-2.57e+08,1.9354e+10,1.019e+09,2.0373e+10,3.6987e+10,26000000.0000001,4.87e+08,56999999.9999999,-2.69e+08,-2e+06,2.99e+08,-3.51e+08,2.3e+07,1.03e+08,-1.04e+08,-5.9e+08,-1.266e+09,-3.7e+07,-1.893e+09,-1.698e+09,-1.698e+09,1e+06,-1.697e+09,6.36e+08,7.746e+09,3.6e+07,0.39477,0.06602,-0.01063,-0.00118,-0.00065,-1.50000000000001,1.82742,0.81549,0.20942,-0.0312500000000001,-0.0311700000000001,2.9388,25.20052,0.0468800000000003,0.76823,0.0161,0.00102,-24.58333,9.26887,39.56376
"39","2019_Q4",35.90125,"Up",2.713e+09,-1.392e+09,1.321e+09,-8.25e+08,-8.4e+07,-1.31e+08,-5.48e+08,-6.2e+07,4.96e+08,-1.16e+08,-7.7e+07,-3.9e+07,3.8e+08,2.778e+09,-5.58e+08,3.2e+07,2.252e+09,-4.8e+07,-4.8e+07,2.204e+09,-2.6e+07,2.178e+09,2.178e+09,2.869e+09,2.712e+09,1.57e+08,3.83e+08,3.83e+08,1.862e+09,5.84e+08,5.84e+08,5.698e+09,2.6197e+10,3.295e+09,5.573e+09,4.4e+08,2.055e+09,3.5065e+10,4.0763e+10,1.02e+09,5.32e+08,4.88e+08,7.23e+08,8.68e+08,8.68e+08,2.611e+09,7.808e+09,7.86e+09,4.54e+08,2.965e+09,4.441e+09,1.5668e+10,1.8279e+10,1.9777e+10,2.036e+09,-2.65e+08,2.143e+10,1.054e+09,2.2484e+10,4.0763e+10,2.252e+09,5.48e+08,-1.857e+09,-1.5e+08,-2e+06,7.91e+08,-4.57e+08,-5e+06,-1.1e+07,-4.38e+08,-1.09e+08,6.55e+08,-1.6e+07,5.3e+08,8.83e+08,8.83e+08,-2e+06,8.81e+08,1.044e+09,8.531e+09,9.95e+08,0.48691,0.18282,0.8028,0.09687,0.05343,0.45684,2.18231,0.81298,0.20928,2.64964,2.64642,3.30049,26.07056,1.21046,0.1326,0.05883,0.02559,0.05005,5.42337,11.41532
"40","2020_Q1",41.5853225806452,"Up",2.967e+09,-1.459e+09,1.508e+09,-9.32e+08,-8.9e+07,-1.15e+08,-6.13e+08,-1.15e+08,5.76e+08,2.2e+07,-8.4e+07,1.06e+08,5.98e+08,6.2e+08,-1.29e+08,4.2e+07,5.33e+08,2.8e+07,2.8e+07,5.61e+08,4e+06,5.65e+08,5.65e+08,2.48e+09,2.243e+09,2.37e+08,3.73e+08,3.73e+08,1.826e+09,1.593e+09,5.7e+08,6.272e+09,2.5276e+10,3.199e+09,5.227e+09,5.49e+08,2.004e+09,3.3702e+10,3.9974e+10,7.01e+08,5.39e+08,1.62e+08,1e+08,1.584e+09,1.584e+09,2.385e+09,7.792e+09,7.38e+09,4.48e+08,2.407e+09,4.525e+09,1.5172e+10,1.7557e+10,1.9514e+10,2.291e+09,-2.65e+08,2.142e+10,9.97e+08,2.2417e+10,3.9974e+10,5.33e+08,6.13e+08,-3.8e+07,1e+08,-3e+06,1.205e+09,-4.3e+08,-1e+07,3e+07,-4.09e+08,-1.14e+08,-6.2e+08,-5.8e+07,-1.271e+09,-4.75e+08,-4.75e+08,999999.999999999,-4.74e+08,1.189e+09,7.892e+09,9.88e+08,0.50826,0.19414,0.19043,0.0252,0.01413,1.74867,2.62977,0.7832,0.19743,0.692400000000001,0.68819,3.63603,26.25,1.21078,0.13971,0.01802,0.02621,0.201770000000005,4.55172,9.39583
"41","2020_Q2",54.7304761904762,"Up",2.581e+09,-1.332e+09,1.249e+09,-7.39e+08,-6.5e+07,-7.1e+07,-5.65e+08,-3.8e+07,5.1e+08,-3.24e+08,-8.2e+07,-2.42e+08,1.86e+08,7.79e+08,2.3e+07,3.7e+07,8.39e+08,-1.5e+07,-1.5e+07,8.24e+08,-2e+06,8.22e+08,8.22e+08,3.884e+09,3.709e+09,1.75e+08,2.2e+08,2.2e+08,1.857e+09,4.94e+08,4.94e+08,6.455e+09,2.4952e+10,2.89e+09,5.402e+09,5.17e+08,2.122e+09,3.3244e+10,3.9699e+10,9.31e+08,5.09e+08,4.22e+08,1.78e+08,8.43e+08,8.43e+08,1.952e+09,7.601e+09,7.366e+09,4.37e+08,2.297e+09,4.632e+09,1.4967e+10,1.6919e+10,1.9368e+10,2.846e+09,-2.52e+08,2.1806e+10,9.74e+08,2.278e+10,3.9699e+10,8.39e+08,5.65e+08,-4.92e+08,2.7e+07,-3e+06,9.36e+08,-3.28e+08,2.52e+08,7.8e+07,1.123e+09,-1.12e+08,-1.01e+08,-5.2e+07,-5.86e+08,1.473e+09,1.473e+09,-4e+06,1.469e+09,1.075e+09,7.779e+09,7.51e+08,0.48392,0.1976,0.31848,0.03608,0.02071,0.91363,3.30686,0.74271,0.19595,1.01859,1.01607,3.19827,27.02107,0.93061,0.13879,0.02463,0.0198,0.13625,3.62326,7.63725
"42","2020_Q3",60.5146875,"Up",2.365e+09,-1.058e+09,1.307e+09,-6.92e+08,-7.2e+07,-5.2e+07,-5.28e+08,-4e+07,6.15e+08,80999999.9999999,-7.8e+07,1.59e+08,6.96e+08,5.5e+08,-1.64e+08,2.9e+07,4.15e+08,-6.8e+07,-6.8e+07,3.47e+08,-3e+06,3.44e+08,3.44e+08,4.118e+09,3.808e+09,3.1e+08,2.55e+08,2.55e+08,1.797e+09,5.14e+08,5.14e+08,6.684e+09,2.4676e+10,3.003e+09,5.522e+09,5.3e+08,2.221e+09,3.3201e+10,3.9885e+10,9.65e+08,4.73e+08,4.92e+08,6.5e+08,7.63e+08,7.63e+08,2.378e+09,7.064e+09,7.472e+09,4.54e+08,2.273e+09,4.745e+09,1.4536e+10,1.6914e+10,1.9421e+10,2.989e+09,-2.47e+08,2.2004e+10,9.67e+08,2.2971e+10,3.9885e+10,4.15e+08,5.28e+08,-1.3e+08,-1.45e+08,-4e+06,6.64e+08,-2.8e+08,-1.5e+07,-3e+06,-2.84e+08,-2.01e+08,-1.07e+08,1.7e+07,-2.91e+08,88999999.9999995,88999999.9999995,4e+06,93000000.0000002,1.143e+09,7.714e+09,8.82e+08,0.55264,0.26004,0.14545,0.01498,0.00862,2.56395,2.81077,0.73632,0.19341,0.42839,0.42839,2.94521,27.40224,1.09838,0.25031,0.01428,0.02312,0.5843,3.14611,5.84715
"43","2020_Q4",57.4496875,"Down",3.17e+09,-1.269e+09,1.901e+09,-7.85e+08,-6.8e+07,-8.7e+07,-5.92e+08,-3.8e+07,1.116e+09,-2.11e+08,-7.5e+07,-1.36e+08,9.05e+08,8.8e+08,-3.05e+08,5.3e+07,6.28e+08,2.28e+08,2.28e+08,8.56e+08,-1.7e+07,8.39e+08,8.39e+08,5.141e+09,4.828e+09,3.13e+08,3.24e+08,3.24e+08,1.788e+09,4.07e+08,4.07e+08,7.66e+09,2.4333e+10,3.03e+09,5.528e+09,5.05e+08,2.252e+09,3.2891e+10,4.0551e+10,1.078e+09,4.18e+08,6.6e+08,6.51e+08,9.74e+08,9.74e+08,2.703e+09,7.041e+09,7.187e+09,5.22e+08,2.391e+09,4.274e+09,1.4228e+10,1.6931e+10,1.9448e+10,3.623e+09,-2.45e+08,2.2661e+10,9.59e+08,2.362e+10,4.0551e+10,6.28e+08,5.92e+08,2.09e+08,1.68e+08,-1e+06,1.596e+09,-2.96e+08,3.5e+07,-3e+06,-3.37e+08,-2.01e+08,-1.6e+07,-2.5e+07,-2.42e+08,1.017e+09,1.017e+09,4e+06,1.021e+09,1.708e+09,7.692e+09,1.885e+09,0.59968,0.35205,0.26467,0.03552,0.02069,2.24672,2.83389,0.71681,0.18969,1.04613,1.04094,3.95262,28.25561,2.35037,0.25062,0.02701,0.04896,0.23957,1.49356,2.28584
"44","2021_Q1",56.2583606557377,"Down",3.381e+09,-1.355e+09,2.026e+09,-1.028e+09,-6.4e+07,-9.9e+07,-6.15e+08,-2.5e+08,9.98e+08,-1.41e+08,-7.3e+07,-6.8e+07,8.57e+08,9.34e+08,-2.58e+08,7e+07,7.46e+08,1.8e+07,1.8e+07,7.64e+08,6e+07,8.24e+08,8.24e+08,5.83e+09,5.54e+09,2.9e+08,4.49e+08,4.49e+08,1.79e+09,4.36e+08,4.36e+08,8.505e+09,2.4281e+10,3.197e+09,5.386e+09,3.37e+08,2.278e+09,3.2864e+10,4.1369e+10,1.53e+09,4.93e+08,1.037e+09,6.57e+08,1.182e+09,1.182e+09,3.369e+09,7.038e+09,7.083e+09,4.93e+08,2.073e+09,4.517e+09,1.4121e+10,1.749e+10,1.939e+10,4.002e+09,-2.16e+08,2.3008e+10,8.71e+08,2.3879e+10,4.1369e+10,7.46e+08,6.15e+08,8e+07,2.45e+08,0,1.686e+09,-3.98e+08,-1999999.99999999,-3e+07,-4.11e+08,-3.2e+08,-1.7e+07,-2.4e+07,-5.61e+08,7.14e+08,7.14e+08,2e+06,7.16e+08,1.613e+09,7.695e+09,1.718e+09,0.59923,0.29518,0.24371,0.03451,0.01992,2.08495,2.52449,0.73244,0.18601,1.02488,1.02233,4.20522,28.61692,2.13682,0.39801,0.02959,0.04444,0.38835,1.15623,1.86874
"45","2021_Q2",63.5807936507937,"Up",2.872e+09,-1.247e+09,1.625e+09,-7.3e+08,-6.5e+07,-6.6e+07,-5.53e+08,-4.6e+07,8.95e+08,-1.52e+08,-7.4e+07,-7.8e+07,7.43e+08,7.43e+08,-2.35e+08,5e+07,5.58e+08,2.1e+07,2.1e+07,5.79e+08,-2e+07,5.59e+08,5.59e+08,5.758e+09,5.518e+09,2.4e+08,2.63e+08,2.63e+08,1.861e+09,4.82e+08,4.82e+08,8.364e+09,2.4081e+10,3.165e+09,5.453e+09,3.32e+08,2.35e+09,3.2699e+10,4.1063e+10,9e+08,4.46e+08,4.54e+08,1.042e+09,1.538e+09,1.538e+09,3.48e+09,6.521e+09,7.07e+09,5.04e+08,2.039e+09,4.527e+09,1.3591e+10,1.7071e+10,1.9408e+10,4.12e+09,-2.05e+08,2.3127e+10,8.65e+08,2.3992e+10,4.1063e+10,5.58e+08,5.53e+08,5.5e+07,-3.25e+08,-1965947.00724767,8.41e+08,-3.99e+08,-4e+06,5.3e+07,-3.5e+08,-4.41e+08,-1.8e+07,-5.2e+07,-5.11e+08,-2e+07,-2e+07,-2e+06,-2.2e+07,1.448e+09,7.563e+09,9.59e+08,0.56581,0.31163,0.19464,0.0233,0.01361,1.71556,2.40345,0.71153,0.18418,0.69788,0.69701,3.58552,28.87266,1.19725,0.55056,0.02589,0.02483,0.78891,1.24655,2.01676
"46","2021_Q3",56.36921875,"Down",3.065e+09,-1.281e+09,1.784e+09,-7.71e+08,-6.4e+07,-8.9e+07,-5.61e+08,-5.7e+07,1.013e+09,-7e+07,-6.8e+07,-2000000.00000001,9.43e+08,9.43e+08,-3.41e+08,4.9e+07,6.51e+08,1e+07,1e+07,6.61e+08,-1.1e+07,6.5e+08,6.49e+08,4.805e+09,4.583e+09,2.22e+08,3.41e+08,3.41e+08,1.897e+09,4.02e+08,4.02e+08,7.445e+09,2.45e+10,3.22e+09,5.512e+09,3.28e+08,2.413e+09,3.3232e+10,4.0677e+10,8.36e+08,5.03e+08,3.33e+08,4.91e+08,1.46e+09,1.46e+09,2.787e+09,6.495e+09,7.301e+09,5.11e+08,2.239e+09,4.551e+09,1.3796e+10,1.6583e+10,1.9392e+10,4.242e+09,-1.98e+08,2.3239e+10,8.55e+08,2.4094e+10,4.0677e+10,6.51e+08,5.61e+08,4.7e+07,-2.66e+08,2e+06,9.95e+08,-4.15e+08,-1.2e+07,-2.2e+07,-7.77e+08,-4.4e+08,-5.68e+08,-1.3e+07,-1.155e+09,-9.37e+08,-9.37e+08,2e+06,-9.35e+08,1.574e+09,6.986e+09,1.234e+09,0.58206,0.33051,0.21175,0.02694,0.01595,1.90138999999999,2.67133,0.68826,0.17174,0.81024,0.80923,3.82647,29.01248,1.54057,0.54931,0.02837,0.03215,0.677969999999997,1.38564,2.15301
