"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"33","2018_Q2",36.145,"Down",450021000,-387190000,62831000,-31655000,-29600000,31176000,-4658000,123000,26518000,26518000,-8560000,17958000,17958000,17958000,17958000,54468000,54468000,116798000,116798000,151787000,12359000,12359000,335412000,74113000,515325000,33576000,589438000,924850000,119234000,76109000,26191000,56944000,56944000,178520000,21278000,1884000,289699000,468219000,105928000,-342823000,693909000,-383000,456631000,456631000,924850000,17958000,4185000,3321000,3994000,29458000,-5265000,-57000,-5322000,-1363000,-1363000,152078.777041658,-5613000,18523000,18523000,18523000,35361000,270763000,42650000,0.13962,0.06928,0.0399,0.03933,0.01942,2.37499,1.87885,1.02538,0.29276,0.56804,0.56521,14.23486,14.44395,1.34909,7,0.02399,0.05697,6.11677,6.93787
"34","2018_Q3",36.6753968253968,"Up",468359000,-400698000,67661000,-32360000,-30427000,35301000,-4929000,-11000,30372000,30322000,-8234000,22088000,22088000,22088000,22088000,27443000,27443000,157425000,157425000,178046000,9788000,9788000,372702000,78798000,513826000,34877000,592624000,965326000,130181000,99727000,25407000,65409000,65409000,195590000,20825000,1918000,291927000,487517000,106609000,-342516000,712809000,907000,477809000,477809000,965326000,22088000,4131000,3238000,-43870000,-14413000,-6111000,38999.9999999999,-6072000,-115000,-115000,-4.65661287307739e-10,-6540000,-27025000,-27025000,-27025000,39432000,271102000,-2314999.99999999,0.14446,0.07537,0.04716,0.04623,0.02288,-0.104810000000001,1.90553,1.02032,0.28084,0.69779,0.69341,14.7962,15.09474,-0.0731299999999999,4,0.03698,-0.00301,6.17922,6.90233
"35","2018_Q4",25.2392063492063,"Down",562261000,-476747000,85514000,-36437000,-34504000,49077000,-4072000,1e+05,45005000,44205000,-11684000,32521000,32521000,32521000,32521000,39029000,39029000,148948000,148948000,177378000,8408000,8408000,373763000,82481000,509466000,35220000,591947000,965710000,125749000,88397000,27989000,64657000,64657000,190406000,17685000,1953000,269483000,459889000,110067000,-347437000,742148000,1043000,505821000,505821000,965710000,32521000,4284000,5033000,4129000,45967000,-6431000,-65000,-6496000,-5003000,-5003000,0,-27885000,11586000,11586000,11586000,53361000,251798000,62743000,0.15209,0.08729,0.05784,0.06429,0.03368,1.92931,1.96298,0.90919,0.26074,1.02973,1.02419,17.80321,16.01612,1.98667,7,0.04605,0.08093,3.98735,4.33541
"36","2019_Q1",28.7004918032787,"Up",536188000,-452358000,83830000,-38992000,-35585000,44838000,-4093000,282000,40745000,41595000,-11805000,29790000,29790000,29790000,29790000,2342000,2342000,164585000,164585000,195128000,9883000,9883000,371938000,101193000,578674000,38587000,679867000,1051805000,129139000,81039000,29350000,75046000,75046000,204185000,21734000,1995000,313175000,517360000,112111000,-347374000,768816000,892000,534445000,534445000,1051805000,29790000,6577000,24173000,-38206000,22334000,-10523000,-2148000,-93871000,9.31322574615479e-10,0,-501000,34850000,-36687000,-36687000,-36687000,51415000,291441000,14491000,0.15634,0.08362,0.05556,0.05574,0.02832,0.48644,1.82157,0.96803,0.27709,0.94469,0.93453,17.00349,16.94821,0.45954,4,0.0389,0.0171,5.62285,6.44763
"37","2019_Q2",33.7722222222222,"Up",493648000,-422652000,70996000,-38371000,-35712000,32625000,-3738000,763000,28887000,28887000,-6726000,22161000,22161000,22161000,22161000,702000,702000,140837000,140837000,191461000,10256000,10256000,343256000,110212000,576505000,38375000,686717000,1029973000,117902000,79687000,21977000,81288000,81288000,199190000,21043000,1995000,274305000,473495000,114176000,-346370000,787794000,878000,556478000,556478000,1029973000,22161000,5828000,3275000,22907000,54171000,-12771000,311000,-13162000,-948000,-948000,1687245.95028607,-42649000,-1640000,-1640000,-1640000,38453000,253262000,55315000,0.14382,0.06609,0.04489,0.03982,0.02152,2.49605,1.72326,0.85088,0.24589,0.70203,0.69658,15.6381,17.62847,1.7523,7,0.03051,0.06658,6.56802,7.7413
"38","2019_Q3",35.0728125,"Up",432690000,-366261000,66429000,-37526000,-35259000,28903000,-4139000,207000,24764000,24764000,-3166000,21598000,21598000,21598000,21598000,3017000,3017000,179940000,179940000,189611000,15217000,15217000,387785000,117761000,572590000,36727000,690351000,1078136000,121178000,92592000,25112000,88589000,88589000,212517000,20785000,1962000,294953000,507470000,115570000,-351007000,805851000,252000,570666000,570666000,1078136000,21598000,5366000,3325000,-32522000,-2233000,-10563000,701000,-9862000,-5672000,-5672000,296000,14410000,2315000,2315000,2315000,34269000,276918000,-5649999.99999999,0.15353,0.0668,0.04992,0.03785,0.02003,-0.2616,1.82472,0.88926,0.25685,0.68398,0.68141,13.70269,18.0722,-0.17893,4,0.02894,-0.00651,7.99268,9.47656
"39","2019_Q4",45.13078125,"Up",528940000,-442356000,86584000,-37610000,-35332000,48974000,-4086000,360000,44888000,44888000,-8717000,36171000,36171000,36171000,36171000,4176000,4176000,185546000,185546000,190883000,10480000,10480000,391085000,121977000,570141000,35971000,692118000,1083203000,115555000,84304000,27288000,82796000,82796000,204851000,22288000,3872000,275359000,480210000,115784000,-351195000,838506000,-102000,602993000,602993000,1083203000,36171000,5798000,3492000,-14550000,30911000,-8213000,740000,-7473000,-1104000,-1104000,0,-22279000,1159000,1159000,1159000,54772000,259571000,40726000,0.16369,0.09259,0.06838,0.05999,0.03339,1.12593,1.90912,0.79638,0.23963,1.1485,1.14263,16.79495,19.14628,1.29314,5,0.04482,0.04603,4.66288,5.21491
"40","2020_Q1",46.6774193548387,"Up",530396000,-447208000,83188000,-38423000,-35992000,44765000,-4395000,251000,40370000,40370000,-8502000,31868000,31868000,31868000,31868000,37431000,37431000,158049000,158049000,201126000,14051000,14051000,410657000,127572000,566002000,34989000,693574000,1104231000,106022000,81635000,20328000,82830000,82830000,197744000,28873000,3963000,274275000,472019000,117073000,-351256000,866886000,-491000,632212000,632212000,1104231000,31868000,6325000,9077000,3631000,50901000,-9163000,724000,-8438999.99999999,-447000,-447000,351999.999999996,-9207000,33255000,33255000,33255000,51090000,254294000,54060000,0.15684,0.0844,0.06008,0.05041,0.02886,1.69637,2.07671,0.74662,0.23029,1.01149,1.00473,16.83476,20.0664,1.71586,8,0.0386,0.05906,4.24472,4.84448
"41","2020_Q2",49.548253968254,"Up",588458000,-509845000,78613000,-54719000,-51105000,23894000,-5933000,116000,17961000,17961000,-3893000,14068000,14068000,14068000,14068000,101328000,101328000,167290000,167290000,263333000,13301000,13301000,545252000,163348000,845024000,73926000,1008372000,1553624000,122039000,93120000,25885000,112699000,112699000,247406000,69761000,39957000,520609000,768015000,224621000,-315930000,877469000,-551000,785609000,785609000,1553624000,14068000,7200000,4494000,53271000,79033000,-6624000,243000,-270661000,-1663000,-1663000,-81553000,255525000,63897000,63897000,63897000,31094000,463516000,81634000,0.13359,0.0406,0.02391,0.01791,0.00905,5.80281,2.20388,0.9776,0.29835,0.43871,0.43599,18.35089,24.49899,2.54573,4,0.0133,0.0619,11.64816,15.15812
"42","2020_Q3",55.99359375,"Up",626810000,-547028000,79782000,-50138000,-42164000,29644000,-8381000,270000,21263000,21263000,-3995000,17268000,17268000,17268000,17268000,122939000,122939000,182475000,182475000,237808000,20883000,20883000,564105000,169840000,837982000,73837000,1007822000,1571927000,128597000,99211000,28639000,108384000,108384000,250649000,68620000,39397000,519754000,770403000,226639000,-315566000,890994000,-543000,801524000,801524000,1571927000,17268000,12108000,6277000,4477999.99999999,40131000,-12433000,-64000,-12496999.9999999,1663000,1663000,-1231000,-6023000.00000006,21611000,21611000,21611000,41752000,464802000,37792000,0.12728,0.04729,0.02755,0.02154,0.01099,2.18856,2.25058,0.96117,0.29569,0.51373,0.5076,18.64784,23.84565,1.12433,5,0.01571,0.02831,8.18794,11.53228
"43","2020_Q4",53.1284375,"Down",402458000,-370434000,32024000,-40197000,-33271000,-8173000,-8366000,74000,-16539000,-16539000,4186000,-12353000,-12353000,-12353000,-12353000,152480000,152480000,163590000,163590000,190359000,21566000,21566000,527995000,175431000,829614000,73198000,1005045000,1533040000,108897000,81998000,24907000,105610000,105610000,228175000,68749000,40587000,520055000,748230000,226344000,-315478000,874911000,-967000,784810000,784810000,1533040000,-12353000,11060000,4513000,40053000,43273000,-9525000,-38000,-6248000,-1789000,-1789000,1762000,-7484000,29541000,29541000,29541000,2887000,464974000,29229000,0.07957,-0.02031,-0.03069,-0.01574,-0.00806,-2.36615,2.31399,0.95339,0.3033,-0.36736,-0.36786,11.96866,23.33938,0.86924,3,-0.00656,0.02217,108.24177,-38.23492
"44","2021_Q1",70.3985245901639,"Up",737807000,-615298000,122509000,-54111000,-50521000,68398000,-13807000,514000,54591000,54591000,-12132000,42459000,42459000,42459000,42459000,292575000,292575000,220798000,220798000,182941000,17296000,17296000,713610000,174945000,825145000,72319000,1000090000,1713700000,182695000,132490000,36533000,117695000,117695000,300390000,73214000,46476000,585844000,886234000,229679000,-315297000,913610000,-526000,827466000,827466000,1713700000,42459000,7733000,5635000,52170000,107997000,-3795000,125000,-3670000,-55000.0000000009,-55000.0000000009,-6970000,35768000,140095000,140095000,140095000,76131000,512630000,136638000,0.16604,0.0927,0.05755,0.05131,0.02478,3.21812,2.37561,1.07102,0.29914,1.26223,1.25067,21.93374,24.59914,4.06201,6,0.03267,0.09668,2.89048,3.21727
"45","2021_Q2",72.178253968254,"Up",793131000,-656127000,137004000,-51989000,-48399000,85015000,-10035000,-94000,74980000,74980000,-17557000,57423000,57423000,57423000,57423000,272939000,272939000,231182000,231182000,263137000,21162000,21162000,788420000,171210000,821360000,72124000,992570000,1780990000,190697000,123328000,33620000,122704000,122704000,313401000,79504000,52137000,596031000,909432000,230439000,-325309000,966945000,-517000,871558000,871558000,1780990000,57423000,7750000,4130000,-71973000,-2670000,-914000,-234000,-1148000,-11606000,-11606000,-166000,-15818000,-19636000,-19636000,-19636000,92765000,516527000,37435000,0.17274,0.10719,0.0724,0.06589,0.03224,0.65192,2.51569,1.04346,0.29002,1.70856,1.69695,23.59877,25.93228,1.11384,6,0.04188,0.02551,2.62586,2.86524
"46","2021_Q3",68.48296875,"Down",839886000,-683304000,156582000,-56607000,-53016000,99975000,-9741000,311000,90234000,90234000,-21166000,69068000,69068000,69068000,69068000,333015000,333015000,232349000,232349000,278468000,21146000,21146000,864978000,173609000,817208000,71563000,990817000,1855795000,195950000,144604000,47086000,125053000,125053000,321003000,72144000,45095000,592428000,913431000,235615000,-324762000,1032020000,-509000,942364000,942364000,1855795000,69068000,7990000,8855000,-16321000,69592000,-6228000,11000.0000000001,-6217000,-503000.000000002,-503000.000000002,1233000,-3299000,60076000,60076000,60076000,107965000,520284000,106582000,0.18643,0.11903,0.08223,0.07329,0.03722,1.54315,2.69461,0.9693,0.28036,2.0597,2.04325,25.04655,28.10259,3.17842,9,0.04763,0.06944,1.73453,1.87316
"47","2021_Q4",70.66515625,"Up",960737000,-791125000,169612000,-67176000,-63586000,102436000,-10136000,93000,92300000,92300000,-21005000,71295000,71295000,71295000,71295000,405841000,405841000,228199000,228199000,333018000,21559000,21559000,988617000,177578000,813575000,71520000,991153000,1979770000,244514000,173008000,63685000,131096000,131096000,375610000,69452000,44680000,593902000,969512000,240348000,-324757000,1095167000,-5e+05,1010258000,1010258000,1979770000,71295000,8507000,8102000,-6872000,81032000,-4004000,-1000,-4005000,0,0,-140000,-4201000,72826000,72826000,72826000,110943000,524450000,121072000,0.17654,0.10662,0.07421,0.07057,0.03601,1.69818,2.63203,0.95967,0.2649,2.12485,2.08544,28.63342,30.10932,3.60838,8,0.04698,0.07547,1.0691,1.15788
"48","2022_Q1",63.5816129032258,"Down",1036093000,-848928000,187165000,-67170000,-63580000,119995000,-10059000,83999.9999999998,109936000,109936000,-25851000,84085000,84085000,84085000,84085000,434563000,434563000,253808000,253808000,341473000,29069000,29069000,1058913000,191427000,812227000,73762000,1003654000,2062567000,266334000,180030000,78261000,140942000,140942000,407276000,69789000,46810000,598348000,1005624000,244378000,-359940000,1172996000,-491000,1056943000,1056943000,2062567000,84085000,8315000,8016000,-11091000,89325000,-21293000,-346000,-21639000,-35480000,-35480000,548000,-38964000,28722000,28722000,28722000,128310000,528559000,121777000,0.18064,0.11581,0.08116,0.07955,0.04077,1.44826,2.59999,0.95145,0.25626,2.50514,2.47724,30.86826,31.48944,3.62809,9,0.05323,0.07357,0.73257,0.78333
"49","2022_Q2",51.0558064516129,"Down",1155700000,-926300000,229400000,-8.3e+07,-74800000,146400000,-16700000,-6500000,129700000,129700000,-30100000,99600000,99600000,99600000,99600000,211384000,211384000,263677000,263677000,432825000,21701000,21701000,929587000,224129000,1052645000,74834000,1276774000,2206361000,252994000,166848000,48909000,174109000,174109000,427103000,87261000,64239000,6.2e+08,1047103000,259615000,-372572000,1272697000,-482000,1159258000,1159258000,2206361000,99600000,13500000,15800000,-72400000,56500000,-23200000,-578821.793129224,-251400000,-23700000,-23700000,1400000,-28300000,-223200000,-223200000,-223200000,159900000,532739000,94400000,0.19849,0.12668,0.08618,0.08592,0.04514,0.94779,2.17649,0.90325,0.24146,2.98902,2.8972,34.68279,34.78957,2.83296,6,0.05935,0.05306,2.00972,2.19505
"50","2022_Q3",57.574375,"Up",1164771000,-948182000,216589000,-79852000,-71865000,136737000,-16731000,-6364000,120006000,120006000,-28801000,91205000,91205000,91205000,91205000,134832000,134832000,380039000,380039000,469454000,25139000,25139000,1009464000,239034000,1060935000,91140000,1299969000,2309433000,275716000,211280000,59947000,188330000,188330000,464046000,99410000,78527000,636400000,1100446000,264047000,-412399000,1357812000,-473000,1208987000,1208987000,2309433000,91205000,13454000,15536000,-130554000,-10359000,-20177000,-245000,-20381000,-40518000,-40518000,718000,-45791000,-76531000,-76531000,-76531000,150191000,536990000,28261000,0.18595,0.11739,0.0783,0.07544,0.03949,0.30986,2.17535,0.91022,0.23252,2.73708,2.653,34.95501,36.28195,0.84812,4,0.05267,0.01531,2.67764,2.94111
