"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"33","2018_Q4",21.9226984126984,"Down",4914000,-1935000,2979000,-11585000,-7516000,-4069000,-8606000,273000,-8333000,-8333000,-9000,-8342000,-8342000,-8342000,-8342000,49415000,33775000,15640000,2957000,2957000,2453000,2453000,54825000,4096000,8232000,6602000,516000,12328000,67153000,1576000,1576000,1846000,1846000,3422000,887000,887000,887000,4309000,50000,160655000,-97861000,62844000,62844000,67153000,-8342000,553000,1865000,-391000,-6315000,-635000,6073000,5438000,-419000,-569000,-419000,-1296000,-1296000,-1296000,-8053000,0,-9070000,0.60623,-1.75132,-1.6976,-0.13274,-0.12422,1.08727,16.02133,0.06857,0,-0.73214,-0.73214,0.43128,5.51115,-0.79603,-0.13089,-0.14232,6.13622,5.74192
"34","2019_Q1",24.7965573770492,"Up",5227000,-2101000,3126000,-11388000,-7491000,-3897000,-8262000,258000,-8004000,-8004000,-10000,-8014000,-8014000,-8014000,-8014000,43656000,27278000,16378000,3888000,3888000,2100000,2100000,49644000,3955000,8188000,6649000,425000,12143000,61787000,1092000,1092000,3226000,3226000,4318000,854000,854000,854000,5172000,50000,162440000,-105875000,56615000,56615000,61787000,-8014000,539000,1953000,416000,-5106000,-445000,-738000,-1183000,-208000,-4e+05,-208000,-6497000,-6497000,-6497000,-7723000,-2.27373675443232e-13,-7742000,0.59805,-1.58064,-1.53319,-0.14155,-0.1297,0.96606,11.49699,0.09135,3.3881317890172e-21,-0.70034,-0.70034,0.45679,4.9432,-0.67657,-0.13945,-0.13472,5.65273,5.28395
"35","2019_Q2",45.5960317460317,"Up",5660000,-2134000,3526000,-12198000,-8160000,-4038000,-8672000,237000,-8435000,-8435000,-28000,-8463000,-8463000,-8463000,-8463000,37468000,24275000,13193000,3727000,3727000,2026000,2026000,43221000,3808000,10930000,6649000,3167000,14738000,57959000,2337000,2337000,2700000,2700000,5037000,3079000,3079000,3079000,8116000,50000,164131000,-114338000,49843000,49843000,57959000,-8463000,537000,2037000,435000,-5454000,-347000,3185000,2838000,-387000,-486000,-387000,-3003000,-3003000,-3003000,-8135000,0,-8019000,0.62297,-1.53216,-1.49523,-0.16979,-0.14602,0.94754,8.5807,0.16283,0,-0.73675,-0.73675,0.49273,4.33473,-0.69809,-0.15991,-0.15152,4.60578,4.32057
"36","2019_Q3",43.1353125,"Down",6180000,-2185000,3995000,-12147000,-8166000,-3981000,-8152000,231000,-7921000,-7921000,-12000,-7933000,-7933000,-7933000,-7933000,49958000,33166000,16792000,4239000,4239000,2140000,2140000,56337000,3632000,10870000,6699000,3057000,14502000,70839000,2660000,2660000,2824000,2824000,5484000,2953000,2953000,2953000,8437000,50000,184623000,-122271000,62402000,62402000,70839000,-7933000,582000,2016000,-186000,-5521000,-416000,-3599000,-4015000,-1188000,-1382000,18427000,8891000,8891000,8891000,-7570000,-3.63797880709171e-12,-8160000,0.64644,-1.31909,-1.28366,-0.12713,-0.11199,1.02861,10.27298,0.1352,-1.0842021724855e-19,-0.68007,-0.68007,0.52979,5.34522,-0.69953,-0.12138,-0.12486,6.59947,6.12831
"37","2019_Q4",35.8540625,"Down",5828000,-1918000,3910000,-11942000,-7837000,-4105000,-8032000,259000,-7773000,-7773000,12000,-7761000,-7761000,-7761000,-7761000,41335000,16414000,24921000,3570000,3570000,2882000,2882000,47787000,3594000,10708000,6723000,2871000,15799000,63586000,2615000,2615000,2391000,2391000,5006000,2739000,2739000,2739000,7745000,50000,185823000,-130032000,55841000,55841000,63586000,-7761000,512000,2041000,-580000,-5788000,-453000,-9626000,-10079000,-885000,-885000,-885000,-16752000,-16752000,-16752000,-7520000,0,-8565000,0.6709,-1.37817,-1.33167,-0.13898,-0.12206,1.10359,9.54594,0.1387,0,-0.65071,-0.65071,0.48864,4.67771,-0.71812,-0.13249,-0.14621,5.49668,5.14629
"38","2020_Q1",26.095,"Down",5319000,-1799000,3520000,-12395000,-8052000,-4343000,-8875000,185000,-8690000,-8690000,7000,-8683000,-8683000,-8683000,-8683000,36817000,11213000,25604000,4021000,4021000,2456000,2456000,43294000,3650000,10444000,6670000,2660000,14094000,57388000,2272000,2272000,3172000,3172000,5444000,2494000,2494000,2494000,7938000,50000,188115000,-138715000,49450000,49450000,57388000,-8683000,-182000,4035000,-109000,-4939000,161000,104000,-394000,19747000,-753000,131999.999999996,-5201000,-5201000,-5201000,-9057000,0,-9012000,0.66178,-1.66855,-1.63245,-0.17559,-0.1513,1.03789,7.95261,0.16053,0,-0.72546,-0.72546,0.4444,4.12733,-0.75295,-0.16716,-0.17349,4.06503,4.14839
"39","2020_Q2",16.0414285714286,"Down",6189000,-2198000,3991000,-13046000,-8613000,-4433000,-9055000,142000,-8913000,-8913000,5000,-8908000,-8908000,-8908000,-8908000,30570000,10250000,20320000,3959000,3959000,2118000,2118000,36647000,3539000,10267000,6629000,2524000,13806000,50453000,2349000,2349000,3015000,3015000,5364000,2346000,2346000,2346000,7710000,50000,190316000,-147623000,42743000,42743000,50453000,-8908000,575000,2409000,175000,-5749000,-235000,5187000,4815000,-29000,-738000,-29000,-963000,-963000,-963000,-8480000,0,-8545000,0.64485,-1.46308,-1.43933,-0.20841,-0.17656,0.95925,6.83203,0.18038,0,-0.74005,-0.74005,0.51416,3.54681,-0.70989,-0.19756,-0.18951,3.60495,3.37604
"40","2020_Q3",15.77390625,"Down",6497000,-2113000,4384000,-11922000,-7714000,-4208000,-7538000,79000,-7459000,-7459000,-2000,-7461000,-7461000,-7461000,-7461000,30493000,11934000,18559000,3576000,3576000,2095000,2095000,36164000,3359000,10067000,6611000,2342000,13426000,49590000,2083000,2083000,2678000,2678000,7006000,2512000,2512000,5307000,12313000,50000,192311000,-155084000,37277000,37277000,49590000,-7461000,601000,2442000,85000,-4333000,-221000,1762000,1367000,-382000,-382000,4650000,1684000,1684000,1684000,-6937000,5040000,-7071000,0.67477,-1.16023,-1.14838,-0.20015,-0.15045,0.94773,5.16186,0.33031,0.10163,-0.61615,-0.61615,0.53654,3.07432,-0.58395,-0.16643,-0.15773,3.66917,3.37663
"41","2020_Q4",39.11484375,"Up",5751000,-1928000,3823000,-12209000,-7547000,-4662000,-8386000,36000,-8350000,-8350000,-2000,-8352000,-8352000,-8352000,-8352000,62655000,45461000,17194000,3022000,3022000,2396000,2396000,68073000,3361000,10071000,6604000,2353000,13432000,81505000,2469000,2469000,2098000,2098000,7663000,2712000,2712000,4669000,12332000,50000,232559000,-163436000,69173000,69173000,81505000,-8352000,-64000,3223000,44000,-5149000,-238000,1500000,1095000,37581000,-448000,37581000,33527000,33527000,33527000,-8450000,5053000,-8642000,0.66475,-1.45818,-1.45227,-0.12074,-0.10247,1.03472,8.88334,0.17828,0.062,-0.6823,-0.6823,0.46981,5.64684,-0.70599,-0.10855,-0.11232,6.8168,6.86883
"42","2021_Q1",39.6845901639344,"Up",5553000,-1695000,3858000,-11692000,-7681000,-4011000,-7834000,20000,-7814000,-7814000,-2000,-7816000,-7816000,-7816000,-19259000,77728000,19696000,58032000,3907000,3907000,2197000,2197000,83832000,3272000,9924000,6612000,2198000,13196000,97028000,2827000,2827000,3002000,3002000,9776000,2295000,2295000,3413000,13189000,50000,255041000,-171252000,83839000,83839000,97028000,-7816000,419000,2486000,204000,-4707000,-326000,-41081000,-41541000,20483000,-2192000,20483000,-25765000,-25765000,-25765000,-7415000,5065000,-7535000,0.69476,-1.41077,-3.46822,-0.22971,-0.19849,0.39125,8.57529,0.15731,0.0522,-1.26396,-1.26396,0.36444,5.49905,-0.49452,-0.21118,-0.08262,9.79946,9.27534
"43","2021_Q2",32.9661904761905,"Down",6700000,-2361000,4339000,-12565000,-8434000,-4131000,-8226000,10000,-8216000,-8216000,-6000,-8222000,-8222000,-8222000,-8222000,70501000,4705000,65796000,4141000,4141000,1978000,1978000,76620000,3144000,10225000,6609000,2502000,13528000,90148000,3008000,3008000,2943000,2943000,10750000,2325000,2325000,2605000,13355000,50000,256217000,-179474000,76793000,76793000,90148000,-8222000,363000,2039000,-168000,-5988000,-317000,-7657000,-8133000,-870000,-870000,-870000,-14991000,-14991000,-14991000,-7863000,5079000,-8342000,0.64761,-1.22776,-1.22716,-0.10707,-0.09121,1.01459,7.12744,0.17391,0.05634,-0.5034,-0.5034,0.41021,4.69865,-0.51075,-0.09765,-0.09908,8.32023,7.95308
"44","2021_Q3",29.5315625,"Down",6278000,-2049000,4229000,-19665000,-15452000,-4213000,-15436000,18000,-15418000,-15418000,-4000,-15422000,-15422000,-15422000,-15422000,60950000,21358000,39592000,4590000,4590000,1805000,1805000,67345000,3082000,9964000,6606000,2244000,13203000,80548000,4428000,4428000,2659000,2659000,12178000,3128000,3128000,3128000,15306000,50000,260088000,-194896000,65242000,65242000,80548000,-15422000,354000,6795000,1775000,-6498000,-252000,26438000,26055000,-2904000,-2904000,-2904000,16653000,16653000,16653000,-15082000,5091000,-13555000,0.67362,-2.45874,-2.45651,-0.23638,-0.19146,0.87894,5.53005,0.2346,0.0632,-0.94422,-0.94422,0.38438,3.99143,-0.82991,-0.20993,-0.18452,3.70369,3.61875
"45","2021_Q4",43.37953125,"Up",6417000,-2197000,4220000,-12176000,-7590000,-4586000,-7956000,-2000,-7958000,-2864000,-7000,-2871000,-2871000,-2871000,-2871000,44192000,25155000,19037000,4110000,4110000,2550000,2550000,50852000,2962000,9840000,6614000,2112000,21100000,71952000,4236000,4236000,2146000,2146000,6382000,2685000,2685000,2685000,9067000,50000,260602000,-197767000,62885000,62885000,71952000,-2871000,334000,-2024000,-1416000,-5977000,-228000,11311000,10898000,-1124000,-1124000,-1124000,3797000,3797000,3797000,-7622000,0,-9259000,0.65763,-1.23983,-0.44741,-0.04565,-0.0399,3.22501,7.96804,0.14418,0,-0.17474,-0.17474,0.39057,3.82441,-0.56354,-0.04379,-0.14121,5.79795,5.55455
"46","2022_Q1",29.9838709677419,"Down",7125000,-2170000,4955000,-13203000,-8591000,-4612000,-8248000,3000,-8245000,-8245000,1000.00000000001,-8244000,-8244000,-8244000,-8244000,33326000,13789000,19537000,6368000,6368000,4317000,4317000,44011000,2875000,9698000,6611000,1973000,20865000,64876000,4727000,4727000,2989000,2989000,7716000,1780000,1780000,1780000,9496000,50000,261391000,-206011000,55380000,55380000,64876000,-8244000,319000,1915000,-1643000,-7653000,-2169000,-539000,-2839000,-874000,-874000,-874000,-11366000,-11366000,-11366000,-7929000,0,-11742000,0.69544,-1.15761,-1.15705,-0.14886,-0.12707,1.42431,5.70386,0.17147,6.93889390390723e-18,-0.50177,-0.50177,0.43366,3.37066,-0.71467,-0.14423,-0.20542,4.20305,4.04049
"47","2022_Q2",20.6337096774194,"Down",7411000,-4067000,3344000,-20786000,-14353000,-6091000,-17442000,-4000,-17446000,-18020000,239000,-17781000,-17781000,-17781000,-17781000,19186000,3228000,15958000,5934000,5934000,4489000,4489000,29609000,2922000,55259000,41833000,7014000,63890000,93499000,10875000,10875000,4315000,4315000,15190000,6786000,6786000,6786000,21976000,50000,296382000,-223792000,71523000,71523000,93499000,-17781000,1926000,3510000,489000,-11856000,-414000,5937000,1892000,-583000,-583000,-598000,-10562000,-10562000,-10561000,-15516000,0,-15680000,0.45122,-2.35353,-2.39927,-0.24861,-0.19017,0.88184,1.94924,0.30726,0,-1.07341,-1.07341,0.44739,4.3147,-0.94657,-0.22706,-0.20023,1.23653,1.09999
"48","2022_Q3",16.17875,"Down",7747000,-3750000,3997000,-18946000,-12560000,-6065000,-14949000,93000,-14856000,-14856000,217000,-14639000,-14639000,-14639000,-14639000,68390000,47051000,21339000,5870000,5870000,4655000,4655000,78915000,2882000,50957000,37984000,6648000,53839000,132754000,7549000,7549000,3581000,3581000,11130000,6345000,6345000,6345000,17475000,50000,357529000,-238431000,115279000,115279000,132754000,-14639000,1771000,3670000,-4613000,-13811000,-302000,303000,-151000.000000001,57829000,-391000,57827000,43865000,43865000,43823000,-13178000,0,-18310000,0.51594,-1.92965,-1.88963,-0.12699,-0.11027,1.25077,7.0903,0.15159,0,-0.74922,-0.74922,0.39649,5.89738,-0.9371,-0.12036,-0.15055,5.18971,4.57489
