"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"35","2019_Q4",14.2465625,"Up",6854000,-4591000,2263000,-1365000,-763000,-122000,-641000,-602000,898000,40000,40000,-67000,938000,924000,-192000,732000,732000,732000,732000,12475000,9661000,3742000,3742000,4805000,1039000,707000,332000,22061000,825000,40000,3570000,25631000,2664000,1543000,1121000,3486000,4e+05,4e+05,4491000,7977000,17116000,854000,17654000,17654000,25631000,732000,114000,298000,433000,1577000,-505000,-525000,-4942000,-262000,790000,790000,790000,1012000,4713000,1132000,0.33017,0.13102,0.1068,0.04146,0.02856,1.54645,6.32846,0.45185,0.18388,0.17758,0.17758,1.66279,4.28287,0.27462,0.03215,0.04972,-7.66996,-8.64365
"36","2020_Q1",17.4361290322581,"Up",7004000,-4462000,2542000,-1362000,-817000,-163000,-654000,-545000,1180000,-26000,-71000,-64000,1154000,1168000,-280000,888000,888000,888000,888000,10391000,7742000,4100000,4100000,6239000,1053000,623000,430000,21783000,429000,40000,3737000,25520000,3433000,1996000,1437000,4270000,308000,308000,4242000,8512000,15815000,1742000,17008000,17008000,25520000,888000,129000,403000,-1179000,241000,-339000,-690000,-433000,-1470000,-1919000,-1919000,-1919000,1309000,4556000,71000.0000000002,0.36294,0.16848,0.12678,0.05221,0.0348,0.0799499999999997,5.10141,0.50047,0.17853,0.2036,0.18557,1.60588,3.89961,0.01628,0.0406,0.00325,-4.4576,-4.94492
"37","2020_Q2",17.7498412698413,"Up",7240000,-4460000,2780000,-1289000,-805000,-142000,-663000,-484000,1491000,-24000,-24000,-59000,1467000,1467000,-363000,1104000,1104000,1104000,1104000,9629000,6502000,3157000,3157000,6844000,725000,232000,493000,20355000,3657000,3227000,7616000,27971000,2682000,1376000,1306000,3546000,3206000,3206000,6981000,10527000,15161000,2889000,17444000,17444000,27971000,1104000,138000,-2000,-332000,908000,-61000,-1323000,-159000,-825000,-1240000,-1240000,-1240000,1629000,4399000,1599000,0.38398,0.20594,0.15249,0.06329,0.03947,1.44837,5.74027,0.60347,0.15727,0.27662,0.27662,1.81408,4.37084,0.40065,0.04407,0.06383,-3.21056,-3.50771
"38","2020_Q3",23.186875,"Up",7961000,-5097000,2864000,-1196000,-799000,-135000,-664000,-397000,1668000,-30000,-98000,-63000,1638000,1638000,-388000,1250000,1250000,1250000,1250000,9715000,6175000,2683000,2683000,7808000,685000,193000,492000,20891000,3457000,3149000,7835000,28726000,2959000,1672000,1287000,3952000,3289000,3289000,6902000,10854000,13634000,4138000,17872000,17872000,28726000,1250000,144000,161000,95000,1650000,-279000,-288000,-155000,-1689000,-327000,-327000,-327000,1812000,4246000,2016000,0.35975,0.20952,0.15702,0.06994,0.04351,1.6128,5.28618,0.60732,0.14781,0.33095,0.33095,2.10775,4.73179,0.53376,0.0492,0.07935,-3.01821,-3.27878
"39","2020_Q4",35.3859375,"Up",8509000,-5298000,3211000,-1506000,-886000,-161000,-725000,-620000,1705000,-49000,19000,-58000,1656000,1656000,-443000,1213000,1213000,1213000,1213000,7149000,4378000,4170000,4170000,8643000,616000,225000,391000,20578000,3259000,3068000,7650000,28228000,3436000,1912000,1524000,4438000,3182000,3182000,6631000,11069000,12970000,5351000,17159000,17159000,28228000,1213000,144000,184000,-1801000,-260000,-82000,-642000,-157000,-895000,-1797000,-1797000,-1797000,1849000,4091000,409000,0.37737,0.20038,0.14255,0.07069,0.04297,0.33718,4.63677,0.64508,0.14493,0.32407,0.32407,2.27331,4.58429,0.10927,0.04965,0.01674,-1.65387,-1.79355
"40","2021_Q1",27.2350819672131,"Down",11124000,-6837000,4287000,-2090000,-1276000,-139000,-1137000,-814000,2197000,914000,-38000,-56000,3111000,3141000,-596000,2545000,2545000,2545000,2545000,8981000,6421000,5155000,5155000,8238000,3e+05,145000,155000,22674000,3406000,2985000,8452000,31126000,4376000,1965000,2411000,5227000,3554000,3554000,6837000,12064000,12752000,7896000,19062000,19062000,31126000,2545000,147000,-1005000,960000.000000001,2647000,-138000,-34000.0000000002,-159000,-570000,2043000,2043000,2043000,2344000,3934000,3762000,0.38538,0.1975,0.22878,0.13351,0.08176,1.47819,4.33786,0.63288,0.12639,0.61581,0.53006,2.69166,4.61241,0.91029,0.09586,0.14169,-2.15316,-2.29722
"41","2021_Q2",30.6404761904762,"Up",8590000,-5115000,3475000,-1926000,-835000,-130000,-705000,-1091000,1549000,-1000,-1000,-54000,1548000,1441000,-283000,1158000,1158000,1158000,1158000,7602000,5202000,6138000,6138000,8313000,485000,343000,142000,22538000,3321000,2903000,8259000,30797000,3591000,1834000,1757000,4451000,3181000,3181000,6295000,10746000,12583000,9161000,20051000,20051000,30797000,1158000,150000,135000,-2331000,-888000,-90000,25000,-161000,-356000,-1219000,-1219000,-1219000,1699000,3774000,-439000,0.40454,0.18033,0.13481,0.05775,0.0376,-0.3791,5.06358,0.53593,0.12254,0.30071,0.29132,2.23068,5.20692,-0.114,0.04288,-0.01626,-2.25309,-2.47127
"42","2021_Q3",28.448125,"Down",8265000,-5669000,2596000,-2075000,-1086000,-150000,-936000,-989000,521000,-66999.9999999999,-67000,-75000,454000,1879000,-129000,1750000,1750000,1750000,1750000,8407000,5523000,4621000,4621000,9152000,530000,392000,138000,22710000,5940000,5523000,15662000,38372000,4255000,2470000,1785000,4934000,3224000,3224000,11599000,16533000,12621000,9498000,21839000,21839000,38372000,1750000,170000,-1371000,1424000,1973000,-229000,-6728000,5076000,5076000,321000,321000,321000,691000,8854000,2015000,0.3141,0.06304,0.21174,0.08013,0.04561,1.15143,4.60276,0.75704,0.23074,0.45206,0.46705,2.13502,5.64146,0.52052,0.0516,0.05941,0.64689,0.85797
"43","2021_Q4",23.9453125,"Down",11739000,-7354000,4385000,-2520000,-1416000,-135000,-1281000,-1104000,1865000,-61000,-61000,-102000,1804000,2723000,-592000,2131000,2131000,2131000,2131000,4997000,3874000,11921000,11921000,8368000,1281000,1108000,173000,26567000,6262000,5840000,15748000,42315000,5166000,2524000,2642000,6476000,3728000,3728000,15431000,21907000,9059000,11493000,20408000,20408000,42315000,2131000,182000,-423000,-5778000,-3888000,-565000,2328000,3917000,-89000,-1649000,-1649000,-1649000,2047000,12813000,-3704000,0.37354,0.15887,0.18153,0.10442,0.05036,-1.73815,4.10238,1.07345,0.3028,0.63029,0.63029,3.47205,6.03608,-1.09553,0.05767,-0.10025,3.81827,4.19088
"44","2022_Q1",20.4401612903226,"Down",9435000,-6316000,3119000,-2529000,-1329000,-175000,-1154000,-1200000,590000,-97000,-97000,-121000,493000,954000,-172000,782000,782000,782000,782000,5016000,3721000,10933000,10933000,8437000,627000,434000,193000,25013000,3321000,2672000,15307000,40320000,4486000,2288000,2198000,5872000,2829000,2829000,14364000,20236000,7953000,12131000,20084000,20084000,40320000,782000,184000,-239000,-2000,725000,-923000,665000,-9183000,-1543000,-153000,-153000,-153000,774000,12771000,21000,0.33058,0.06253,0.08288,0.03894,0.01939,0.0268500000000005,4.25971,1.00757,0.31674,0.19152,0.16847,2.31076,4.91886,0.0051399999999997,0.02191,0.00059,10.01938,13.14407
"45","2022_Q2",15.3543548387097,"Down",9988000,-6560000,3428000,-2110000,-1130000,-369576.092406111,-10762.9583839115,-980000,1318000,-96000,-96000,-118910.606701043,1222000,1371000,-307000,1064000,1064000,1064000,1064000,6683000,5177000,10093000,10093000,8907000,335000,151000,184000,26018000,3243000,2585000,15847000,41865000,4671000,2476000,2195000,6212000,3051000,3051000,14270000,20482000,8188000,13195000,21383000,21383000,41865000,1064000,184000,164000,1289000,2701000,-860000,-874000,-306000,-371000,1456000,1456000,1456000,1502000,12467000,2238000,0.34321,0.13196,0.10653,0.04976,0.02542,2.10338,4.18835,0.95786,0.29779,0.28026,0.27031,2.63083,5.63227,0.58949,0.02883,0.06065,3.85087,4.38847
"46","2022_Q3",17.08359375,"Up",10173000,-6769000,3404000,-1802000,-1187000,-808728.277218334,2734711.12484827,-615000,1602000,-92000,-92000,-81731.8201031283,1510000,1210000,-285000,925000,925000,925000,925000,6493000,5252000,8850000,8850000,9285000,1460000,1036000,424000,26088000,3091000,2471000,16026000,42114000,4127000,2315000,1812000,5971000,3239000,3239000,14138000,20109000,7886000,14119000,22005000,22005000,42114000,924000,182000,623000,-211000,1518000,-236000,-556000,-310000,-887000,75000,75000,75000,1784000,12159000,1622000,0.33461,0.15748,0.09093,0.04204,0.02196,1.75351,4.36912,0.91384,0.28872,0.25301,0.24367,2.78251,6.01879,0.44365,0.02473,0.04337,3.17601,3.53683
