"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_investment_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"30","2017_Q3",47.5257142857143,"Down",842944000,-561418000,281526000,-159622000,-103015000,-25735000,-30872000,121904000,-17481000,-18535000,365000,104423000,104423000,-40725000,63698000,63698000,63698000,63698000,51584000,40423000,11161000,480402000,480402000,25584000,12315000,13269000,557570000,110476000,4653064000,3948339000,61723000,4849826000,5407396000,323108000,320051000,27040000,27040000,350148000,1746131000,472869000,250713000,222156000,2.219e+09,2569148000,992041000,1846207000,2838248000,2838248000,5407396000,63698000,25735000,23966000,24177000,137576000,-10179000,501000,-2801000.00000003,-12361000,-129921000,4834999.99999999,6913000,-1545000,-126631000,-1416000,-1416000,-1416000,147639000,1746131000,202362000,0.33398,0.14462,0.07557,0.02244,0.01178,3.1769,1.59238,0.90519,0.32292,0.69101,0.68631,9.14444,30.78995,2.19527,0.0126,0.04001,11.47764,13.90067
"31","2017_Q4",47.1822222222222,"Down",868951000,-586476000,282475000,-156043000,-101430000,-25116000,-29497000,126432000,-18433000,-18428000,235000,107999000,107999000,-42119000,65880000,65880000,65880000,65880000,59377000,48403000,10974000,520012000,520012000,73934000,13323000,60611000,653323000,114839000,4830076000,4118234000,68628000,5027200000,5680523000,446688000,402309000,29306000,29306000,475994000,1797150000,490805000,245392000,245413000,2287955000,2763949000,1004487000,1912087000,2916574000,2916574000,5680523000,65880000,25116000,8019000,100915000,199930000,-10067000,3808000,-241338000,-247656000,52876000,4694000,4694000,-1864000,55706000,7980000,7980000,7980000,151548000,1797150000,284515000,0.32508,0.1455,0.07582,0.02259,0.0116,4.31869,1.37254,0.94767,0.31637,0.71153,0.70929,9.38503,31.50022,3.07288,0.01266,0.05467,11.46682,13.74472
"32","2018_Q1",54.8162295081967,"Up",910820000,-617455000,293365000,-167662000,-108895000,-26414000,-32353000,125703000,-17361000,-19844000,2777000,108342000,108342000,27761000,136103000,136103000,136103000,136103000,70492000,60200000,10292000,503999000,503999000,52744000,15584000,37160000,627235000,123536000,5035825000,4283963000,111934000,5240043000,5867278000,530024000,438017000,1401000,1401000,531425000,1851423000,417976000,147797000,270179000,2269399000,2800824000,1018265000,2048189000,3066454000,3066454000,5867278000,136103000,26414000,-69807000,102925000,195635000,-17333000,1913000,-176612000,-189136000,25855000,4592000,4592000,-5149000,25298000,31797000,31797000,31797000,152117000,1851423000,209948000,0.32209,0.13801,0.14943,0.04438,0.0232,1.54257,1.18029,0.91338,0.31555,1.46989,1.46354,9.83671,33.1172,2.2674,0.02551,0.03935,11.70764,14.16777
"33","2018_Q2",47.91609375,"Down",852628000,-603955000,248673000,-149010000,-101693000,-19914000,-27403000,99663000,-16936000,-19935000,1474000,82727000,82727000,-22720000,60007000,63428000,63428000,63428000,51783000,40939000,10844000,542609000,542609000,28283000,11691000,16592000,622675000,127055000,5043045000,4301508000,112229000,5260399000,5883074000,355858000,302565000,1131000,1131000,356989000,1965268000,417329000,147893000,269436000,2382597000,2739586000,1031871000,2111617000,3143488000,3143488000,5883074000,60007000,19914000,9095000,-205893000,-113634000,-8463000,-10539000,-21975000,-22176000,113192000,3731000,3731000,-367000,116549000,-19261000,-19261000,-19261000,119577000,1965268000,-72059000,0.29165,0.11689,0.07439,0.02018,0.01078,-1.13608,1.74424,0.87151,0.33405,0.68306,0.67834,9.18196,33.85227,-0.776,0.01148,-0.01304,16.00212,19.19955
"34","2018_Q3",45.9101587301587,"Down",965147000,-648855000,316292000,-182843000,-114991000,-32767000,-35085000,133449000,-19155000,-21604000,1192000,114294000,114294000,-31461000,82833000,79412000,79412000,79412000,47958000,38056000,9902000,527997000,527997000,48975000,15752000,33223000,624930000,131922000,5012600000,4304740000,93634000,5234708000,5859638000,410353000,358255000,860000,860000,411213000,1891112000,370391000,126505000,243886000,2261503000,2672716000,1033507000,2153415000,3186922000,3186922000,5859638000,82833000,32767000,-9907999.99999999,32789000,135238000,-17811000,650000,-3600000,-16798000,-74828000,-46502000,5658000,0,-121323000,-2882999.99999999,-2882999.99999999,-2882999.99999999,166216000,1891112000,212655000,0.32771,0.13827,0.08228,0.02492,0.01355,2.67787,1.51972,0.83865,0.32274,0.85401,0.84906,10.37938,34.27277,2.28693,0.01458,0.03903,11.08891,13.81167
"35","2018_Q4",40.2049206349206,"Down",896652000,-625717000,270935000,-161773000,-102905000,-28709000,-30159000,109162000,-18714000,-21782000,1302000,90448000,90448000,-24873000,65575000,65575000,65575000,65575000,48426000,34461000,13965000,522826000,522826000,54149000,17841000,36308000,625401000,137832000,4994265000,4303427000,95423000,5213323000,5838724000,435406000,413739000,535000,535000,435941000,2005958000,381520000,129637000,251883000,2387478000,2823419000,999563000,2015742000,3015305000,3015305000,5838724000,65575000,28709000,12827000,33616000,140727000,-11861000,4515000,-1460000,-8806000,114123000,-246137000,3863000,-3502000,-135516000,-3595000,-3595000,-3595000,137871000,2005958000,184499000,0.30216,0.12174,0.07313,0.02175,0.01123,2.81356,1.4346,0.93636,0.34356,0.72073,0.71777,9.85505,33.14105,2.02782,0.01214,0.03415,14.19829,17.93236
"36","2019_Q1",33.5303278688525,"Down",-991320000,752856000,-238464000,144578000,87371000,57035000,172000,-93886000,-27375000,-29624000,-917000,-121261000,-121261000,34360000,-86901000,60214000,60214000,60214000,47414000,25491000,21923000,506723000,506723000,105840000,17123000,37166000,659977000,90434000,5117371000,4061439000,742767000,5277504000,5937481000,479165000,448567000,23597000,23597000,502762000,1974281000,372554000,95581000,276973000,2346835000,2849597000,993525000,2094359000,3087884000,3087884000,5937481000,-86901000,-57035000,-9725999.99999999,50352000,151377000,21015000,3200000,-38335000,-94989000,-23487000,3006000,3006000,-8484000,-30320000,26068000,26068000,26068000,-150921000,1974281000,-113914000,0.24055,0.09471,-0.06074,0.0195,0.01014,-1.89182,1.3127,0.92283,0.33251,0.68748,0.68401,-11.31825,35.25545,-1.3006,0.01108,-0.02096,-12.76739,-20.52348
"37","2019_Q2",26.8615873015873,"Down",847639000,-621539000,226100000,-147645000,-101821000,-20033000,-25791000,78455000,-27840000,-30723000,1647000,50615000,50615000,-8962000,41653000,-242872000,-242872000,-242872000,112699000,26476000,86223000,522638000,522638000,422079000,12862000,36680000,1057416000,89037000,4559804000,4065506000,193636000,4648841000,5706257000,357928000,312957000,57255000,57255000,415183000,2119482000,391780000,90473000,301307000,2511262000,2926445000,978736000,1801270000,2779812000,2779812000,5706257000,41653000,20033000,10126000,-132220000,-56817000,-5821000,4800000,-4250000,-8691000,152458000,-76106000,2876000,-9688000,66664000,1156000,1156000,1156000,98488000,2119482000,-30591000,0.26674,0.09256,-0.28653,-0.08737,-0.04256,0.12596,2.54687,1.05275,0.37143,-2.8217,-2.80631,9.84791,32.29598,-0.35541,-0.0459,-0.00577999999999999,20.37591,25.57878
"38","2019_Q3",22.7928125,"Down",840827000,-608962000,231865000,-151365000,-103540000,-19809000,-28016000,80500000,-27868000,-31080000,1222000,52632000,52632000,-17116000,35516000,-8245000,-8245000,-8245000,107317000,24482000,82835000,504190000,504190000,374013000,14816000,33438000,985520000,92720000,4560571000,4069564000,204906000,4653291000,5638811000,388064000,386408000,52982000,52982000,441046000,2079918000,392820000,84629000,308191000,2472738000,2913784000,968270000,1756719000,2725027000,2725027000,5638811000,35516000,19809000,15537000,44468000.0000001,119652000,-10659000,3380000,-7200000,-18612000,-40555999.9999999,-61852000,3675000,-4677000,-107085000,-6045000,-6045000,-6045000,100309000,2079918000,151234000,0.27576,0.09574,-0.00980999999999993,-0.00303,-0.00146,-18.34251,2.23451,1.06927,0.36886,-0.0991300000000002,-0.0985899999999984,10.10937,32.76336,1.81831,-0.00159,0.0291,19.66524,24.50436
"39","2019_Q4",25.07703125,"Up",-399332000,349815000,-49517000,22174000,20043000,21012000,-18881000,-27343000,-31033000,-29468000,-92000,-58376000,-58376000,13488000,-44888000,-1255916000,-1255916000,-1255916000,107261000,28890000,78371000,494699000,494699000,363341000,20937000,19939000,965301000,93731000,3231629000,2634874000,174919000,3325360000,4290661000,446735000,441972000,54055000,54055000,500790000,1939177000,371334000,61207000,310127000,2310511000,2811301000,978551000,500809000,1479360000,1479360000,4290661000,-44888000,-21012000,-3972000,51187000,159579000,1618000,4153000,-19750000,-27219000,-141602000,2190000,2606000,5171000,-143150000,-10790000,-10790000,-10790000,-48355000,1939177000,-9038000,0.124,0.06847,3.14504,-0.84896,-0.29271,0.0072,1.92756,1.90035,0.45195,-15.2617,-15.43577,-4.85262,17.97696,-0.10983,-0.33139,-0.00238,-37.88473,-66.99762
"40","2020_Q1",20.6237096774194,"Down",429735000,-300073000,129662000,-89518000,-59194000,-7101000,-23223000,40144000,-26231000,-27657000,909000,13913000,13913000,-3986000,9926999.99999999,9331000,9331000,9331000,182380000,107870000,74510000,434266000,434266000,114861000,17108000,11837000,731507000,72677000,3341717000,1479850000,1746636000,3414394000,4145901000,416676000,410637000,125142000,125142000,541818000,1730238000,374849000,56468000,318381000,2105087000,2646905000,988784000,510134000,1498996000,1498996000,4145901000,9926999.99999999,7101000,-31771000,52597000,135297000,-4407000,3671000,-15775000,156977000,-209800000,1746000,2101000,-1394000,-209499000,82775000,82775000,82775000,47245000,1730238000,99421000,0.30173,0.09342,0.021710000000001,0.00622,0.00225,10.65491,1.3501,1.76579,0.41734,0.113179999999996,0.11318,5.21257,18.18243,1.20595,0.00259,0.02759,32.76237,38.55764
"41","2020_Q2",14.825873015873,"Down",425169000,-316279000,108890000,-98087000,-67442000,-6803000,-23842000,10803000,-28217000,-27665000,-1046000,-17414000,-17414000,-1085000,-18499000,-18712000,-18712000,-18712000,397196000,312155000,85041000,476991000,476991000,66709000,19409000,20851000,940896000,100227000,3278539000,2710292000,172156000,3378766000,4319662000,323363000,323363000,23037000,23037000,346400000,2101969000,383897000,61975000,321922000,2485866000,2832266000,996109000,491287000,1487396000,1487396000,4319662000,-18499000,6803000,32170000,-173519000,-141884000,-9802000,-11182000,-75000,-20220000,368500000,-710000,1832000,-5e+05,366039000,203935000,203935000,203935000,17606000,2101969000,-164630000,0.25611,0.02541,-0.04401,-0.0125800000000002,-0.00432999999999997,8.7981,2.71621,1.90418,0.4866,-0.22599,-0.22599,5.13495,17.96394,-1.98831,-0.00470999999999992,-0.04143,96.82909,157.80552
"42","2020_Q3",18.6025,"Up",404962000,-282985000,121977000,-87412000,-60488000,-6751000,-20173000,34565000,-24384000,-28265000,3576000,10181000,10181000,-3097000,7083999.99999999,-672436000,-672436000,-672436000,222793000,132151000,90642000,345682000,345682000,119854000,14343000,41083000,688329000,98469000,2600414000,2165020000,173759000,2698883000,3387212000,360909000,360909000,23024000,23024000,383933000,1737176000,439533000,68681000,370852000,2176709000,2560642000,1005641000,-179071000,826570000,826570000,3387212000,7084000,6751000,20830000,62879000,188435000,-7089000,-3018000,0,-1439000,-368686000,2043000,2544000,-10000,-366650000,-179654000,-179654000,-179654000,41316000,1737176000,100203000,0.30121,0.08535,-1.66049,-0.81353,-0.19852,-0.149010000000002,1.79284,3.09791,0.51286,-8.07023,-8.07023,4.86015,9.92007,1.20259,-0.2239,0.03336,36.65367,43.81261
"43","2020_Q4",18.77546875,"Up",426344000,-309904000,116440000,-95981000,-66346000,-7195000,-22440000,20459000,-16434000,-27250000,10534000,4025000,4025000,-6677000,-2652000,-41044000,-41044000,-41044000,376086000,294512000,81574000,267125000,267125000,1007949000,13317000,20287000,1651160000,78570000,1695096000,1480668000,123813000,1773666000,3424826000,388517000,388517000,99847000,99847000,488364000,1742263000,389193000,63630000,325563000,2131456000,2619820000,1024829000,-222058000,804761000,805006000,3424826000,-2652000,7195000,17380000,105223000,169935000,-4918000,8975000,-2150000,-3441000,-247000,-4131000,1321000,245000,-4133000,162361000,162361000,162361000,27654000,1742263000,134636000,0.27311,0.04799,-0.09627,-0.0509900000000001,-0.01198,-3.28028,3.381,3.25441,0.50872,-0.49062,-0.49062,5.09627,9.61965,1.60936,-0.01398,0.04585,49.40251,66.77633
"44","2021_Q1",25.613606557377,"Up",477476000,-284772000,192704000,-86598000,-54671000,-7692000,-24235000,106106000,-21949000,-27302000,4849000,84157000,10356000,-5869000,4487000,-64295999.9999999,-64296000.0000001,-64296000.0000001,1228713000,1123843000,104870000,241931000,241931000,78704000,16898000,61806000,1549348000,76191000,1722409000,1477968000,163327000,1798600000,3347948000,423183000,423183000,21152000,21152000,444335000,1742586000,413310000,61746000,351564000,2155896000,2600231000,1030309000,-286354000,747485000,747717000,3347948000,4487000,7692000,11919000,58145000,-11866000,-6979000,-23188000,4.65661287307739e-10,840611000,-728000,1314000,1312000,-5.82076609134674e-11,586000,829331000,829331000,829331000,113798000,1742586000,170833000,0.40359,0.22222,-0.13466,-0.08599,-0.0192,-2.65698,3.48689,3.47756,0.52049,-0.76726,-0.76726,5.6978,8.91987,2.03858,-0.02214,0.05883,4.51566,4.84302
"45","2021_Q2",29.511746031746,"Up",441875000,-319012000,122863000,-96759000,-66516000,-8031000,-22212000,26104000,-11183000,-17645000,5967000,14921000,389000,4955000,5344000,17634000,17642000,17642000,370441000,269630000,100811000,245736000,245736000,49222000,19447000,10382000,665399000,80805000,1737540000,1482497000,162692000,1818345000,2483744000,306410000,306410000,20548000,20548000,326958000,996862000,392941000,61746000,331195000,1389803000,1716761000,1033074000,-268712000,766759000,766983000,2483744000,5352000,8031000,2589000,-114898000,-82188000,-9052000,2295000,-5957000,-10364000,-760520000,-952000,1042000,-189000,-761661000,-854213000,-854213000,-854213000,34135000,996862000,-94770000,0.27805,0.05908,0.03993,0.023,0.00709999999999999,-5.37184,2.03512,2.23833,0.40135,0.20872,0.20636,5.22768,9.07128,-1.12119,0.00818,-0.04394,18.35128,23.99713
"46","2021_Q3",30.4728125,"Up",477837000,-317035000,160802000,-103256000,-70968000,-8106000,-24182000,57546000,-12126000,-16879000,4176000,45420000,37890000,-7363000,30527000,35005000,35011000,35011000,438920000,338157000,100763000,248055000,248055000,65338000,18896000,17387000,752313000,68481000,1734336000,1487105000,170913000,1802817000,2555130000,329918000,329918000,21187000,21187000,351105000,996643000,398258000,48428000,349830000,1394901000,1746006000,1040094000,-233701000,808906000,809124000,2555130000,30533000,8106000,-2285000,34088000,53587000,15244000,94999.9999999963,-1250000,14088999.9999999,-434000,1285000,1536000,0,851000.000000119,68527000,68527000,68527000,65652000,996643000,122347000,0.33652,0.12043,0.07327,0.04327,0.0137,3.49453,2.1427,2.1579,0.39006,0.4142,0.40953,5.65314,9.56991,1.44745,0.01589,0.05551,8.49514,9.69178
"47","2021_Q4",26.77171875,"Down",492949000,-328759000,164190000,-101165000,-66892000,-8151000,-26122000,63025000,-15359000,-17595000,1686000,47666000,43434000,-11594000,31840000,30788000,30795000,30795000,456424000,357914000,98510000,261972000,261972000,69633000,12645000,39707000,788029000,72552000,1785523000,1496751000,195240000,1858075000,2646104000,375839000,375839000,21725000,21725000,397564000,1002510000,400353000,50742000,349611000,1402863000,1800427000,1046149000,-202906000,845466000,845677000,2646104000,31847000,8151000,-6415000,33619000,61102000,-10545000,1674000,-12343000,-41214000,-690000,559000,3033000,0,-131000,19757000,19757000,19757000,71176000,1002510000,105844000,0.33308,0.12785,0.06247,0.03641,0.01164,3.43705,1.98214,2.12898,0.37886,0.36202,0.35768,5.79497,9.93906,1.24427,0.0137,0.04707,7.67233,8.66459
"48","2022_Q1",24.478064516129,"Down",498530000,-332671000,165859000,-94796000,-58981000,-7859000,-27956000,71063000,-14490000,-16603000,1823000,56573000,53515000,-13239000,40276000,47510000,47516000,47516000,487106000,387391000,99715000,301775000,301775000,51683000,18538000,18896000,840564000,70154000,1811828000,1505430000,196489000,1881982000,2722546000,405192000,394118000,19684000,19684000,427366000,1002258000,396230000,41409000,83728000,1398488000,1825854000,1050560000,-155390000,896487000,896692000,2722546000,40282000,7859000,3077000,23824000,44236000,-3168000,-2620000,-10380000,-15584000,-1012999.99999999,1242000,1242000,596000,824999.99999997,29477000,29477000,29477000,78922000,1004748000,112817000,0.3327,0.14255,0.09531,0.05299,0.01745,2.37429,1.96685,2.03621,0.36905,0.55858,0.5519,5.86058,10.53885,1.32624,0.02068,0.0491,6.55891,7.28427
"49","2022_Q2",20.4082258064516,"Down",480808000,-343155000,137653000,-98545000,-61287000,-8769000,-28489000,39108000,-10438000,-11818000,875000,28670000,-28346000,7401000,-20945000,-21192000,-21188000,-21188000,96755000,7179000,89576000,317619000,317619000,25403000,16323000,9080000,439777000,72458000,1828741000,1528694000,194256000,1901199000,2340976000,246438000,232089000,23289000,23289000,269727000,804930000,389243000,39301000,349942000,1194173000,1463900000,1055013000,-176586000,877076000,877076000,2340976000,-20941000,8769000,63812000,-141571000,-97482000,-7145000,6440000,-25667000,-26273000,-248627000,8000,1174000,-7838000,-256457000,-380212000,-380212000,-380212000,47877000,804930000,-108240000,0.2863,0.08134,-0.04407,-0.02416,-0.00905,5.10855,1.63045,1.66907,0.34384,-0.24517,-0.24517,5.56343,10.14864,-1.25244,-0.01023,-0.05226,14.79155,18.10819
"50","2022_Q3",20.1265625,"Down",487454000,-330757000,156697000,-99783000,-61165000,-8775000,-29843000,56914000,-7122000,-8409000,844000,49792000,43033000,-12332000,30701000,27136000,27136000,27136000,107474000,14088000,93386000,307201000,307201000,44626000,14240000,8857000,459301000,72150000,1838165000,1532092000,191890000,1910315000,2369616000,293873000,287463000,20620000,20620000,329415000,793254000,401517000,43080000,358437000,1194771000,1524186000,997465000,-149450000,845430000,845430000,2369616000,30701000,8775000,-639000,42760000,82407000,-6558000,-5384000,-2500000,-13352000,860000.00000006,-62734000,1664000,-272000,-62146000,6909000,6909000,6909000,65689000,808176000,114223000,0.32146,0.11676,0.05567,0.0321,0.01145,4.20928,1.39429,1.80285,0.34106,0.31895,0.31694,5.7295,9.93712,1.34257,0.0132,0.05558,10.66696,12.31159
