"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"35","2018_Q4",23.8863492063492,"Down",65915000,-43515000,22400000,-16791000,5609000,31000,31000,5640000,5640000,-595000,5045000,5045000,5045000,5045000,4210000,4210000,50691000,50691000,78409000,7253000,2122000,5131000,140563000,23209000,30446000,30283000,163000,53655000,194218000,29521000,20622000,7011000,6589000,6589000,36110000,8048000,7726000,322000,8048000,44158000,69589000,80471000,150060000,150060000,194218000,5045000,1345000,94000,-8832000,-2348000,-935000,-935000,-1000,-835000,-4118000,-4118000,-4118000,6954000,0,-2218000,0.33983,0.08509,0.07654,0.03362,0.02598,-0.43964,3.89263,0.29427,0,0.68,0.6752,8.88447,10.84643,-0.29896,5,0.03753,-0.01403,-0.60541,-0.75058
"36","2019_Q1",25.2591803278689,"Up",67186000,-43055000,24131000,-19280000,4851000,-14000.0000000001,-14000,4837000,4837000,-1229000,3608000,3608000,3608000,3608000,10173000,10173000,43337000,43337000,72822000,4853000,1890000,2933000,131185000,23057000,30421000,30273000,148000,53478000,184663000,20440000,13543000,6897000,4578000,4578000,25018000,8070000,7780000,290000,8070000,33088000,68387000,83188000,151575000,151575000,184663000,3608000,1301000,831000,3107000,8847000,-694000,-694000,2.3283064365387e-10,-2190000,5963000,5963000,5963000,6152000,-7.27595761418343e-12,9794000,0.35917,0.0722,0.0537,0.0238,0.01954,2.71452,5.24362,0.21829,0,0.48678,0.48197,9.06449,11.22342,1.32137,5,0.02818,0.06135,-1.65361,-2.09709
"37","2019_Q2",23.7730158730159,"Down",65929000,-42951000,22978000,-18479000,4499000,65000,65000,4564000,4564000,-959000,3605000,3605000,3605000,3605000,17630000,17630000,41161000,41161000,69905000,4709000,3383000,978000,133405000,24475000,30526000,30264000,262000,55001000,188406000,22006000,17271000,4735000,3057000,3057000,25063000,8587000,7780000,807000,8587000,33650000,68849000,85907000,154756000,154756000,188406000,3605000,1262000,168000,4811000,9846000,-1797000,-1797000,13996859.8752913,-592000,7457000,7457000,7457000,5761000,0,9734000,0.34853,0.06824,0.05468,0.02329,0.01913,2.70014,5.32279,0.21744,0,0.48835,0.48493,8.93105,11.63736,1.31861,7,0.02749,0.05959,-3.06023,-3.91865
"38","2019_Q3",27.9265625,"Up",61959000,-40518000,21441000,-17497000,3944000,52000,52000,3996000,3996000,-839000,3157000,3157000,3157000,3157000,15715000,15715000,40910000,40910000,77458000,6291000,2819000,2111000,140374000,25323000,30535000,30256000,279000,55858000,196232000,26028000,20182000,5846000,4217000,4217000,30245000,8946000,7780000,1166000,8946000,39191000,69013000,88028000,157041000,157041000,196232000,3157000,1283000,245000,-3902000,783000,-1662000,-1662000,35748021.9973777,-1036000,-1915000,-1915000,-1915000,5227000,0,502000,0.34605,0.06365,0.05095,0.0201,0.01609,0.15901,4.64123,0.24956,-2.16840434497101e-19,0.42697,0.42444,8.37963,11.90533,0.06789,7,0.02526,0.00302,-3.0065,-3.98453
"39","2019_Q4",27.8009375,"Down",67179000,-42164000,25015000,-18028000,6987000,43000,43000,7030000,7030000,-1414000,5616000,5616000,5616000,5616000,6440000,6440000,50700000,50700000,82881000,5002000,2656000,2346000,145023000,26931000,30541000,30248000,293000,57472000,202495000,27057000,20531000,6507000,4190000,4190000,31247000,9367000,7780000,1587000,9367000,40614000,69273000,92608000,161881000,161881000,202495000,5616000,1222000,164000,-12741000,-5739000,-2595000,-2595000,52500754.1818186,-941000,-9275000,-9275000,-9275000,8209000,0,-5713000,0.37236,0.10401,0.0836,0.03469,0.02773,-1.01727,4.64118,0.25089,0,0.75892,0.75312,9.07824,12.51459,-0.77203,5,0.03885,-0.03336,-0.7845,-0.92171
"40","2020_Q1",23.3209677419355,"Down",75341000,-47090000,28251000,-21596000,6655000,-14000,-14000,6641000,6641000,-1557000,5084000,5084000,5084000,5084000,15518000,15518000,45585000,45585000,76731000,8292000,3030000,5112000,146126000,29166000,30534000,30240000,294000,59700000,205826000,24478000,15776000,8702000,7056000,7056000,31534000,9636000,8108000,1528000,9636000,41170000,67993000,96663000,164656000,164656000,205826000,5084000,1270000,521000,6323000,13198000,-1646000,-1646000,51502324.2441729,-2474000,9078000,9078000,9078000,7925000,-9.31322574615479e-10,14159000,0.37498,0.08833,0.06748,0.03088,0.0247,2.78501,4.63392,0.25004,0,0.68964,0.68453,10.21989,13.11218,1.92065,7,0.03507,0.08124,-1.95811,-2.33178
"41","2020_Q2",18.9928571428571,"Down",55720000,-36400000,19320000,-17807000,1513000,-9000,-9000,1504000,1504000,-316000,1188000,1188000,1188000,1188000,44247000,44247000,33277000,33277000,77214000,6605000,3522000,3083000,161343000,30022000,30565000,30232000,333000,60587000,221930000,24048000,17933000,6115000,4343000,4343000,28391000,9523000,8108000,1415000,29523000,57914000,67195000,96821000,164016000,164016000,221930000,1188000,1260000,202000,11526000,14176000,-3417000,-3417000,2e+07,17970000,28729000,28729000,28729000,2773000,2e+07,11198000,0.34673,0.02715,0.02132,0.00724,0.00535,9.42593,5.68289,0.3531,0.09012,0.16161,0.16084,7.57992,13.17113,1.52333,5,0.01146,0.05786,-8.74396,-16.02578
"42","2020_Q3",21.78734375,"Up",56185000,-36724000,19461000,-16362000,3099000,-48000,-48000,3051000,3051000,-609000,2442000,2442000,2442000,2442000,25832000,25832000,35362000,35362000,74546000,5014000,3358000,1656000,140754000,30004000,30572000,30224000,348000,60576000,201330000,22993000,15962000,6453000,3244000,3244000,26237000,9463000,8108000,1355000,9463000,35700000,67390000,98240000,165630000,165630000,201330000,2442000,1278000,195000,824000,4739000,-2131000,-2131000,-2e+07,-21023000,-18415000,-18415000,-18415000,4377000,3.72529029846191e-09,3679000,0.34637,0.05516,0.04346,0.01474,0.01213,1.50655,5.36471,0.21554,0,0.33393,0.33297,7.68289,13.43361,0.50308,6,0.01979,0.02101,-5.90176,-8.33559
"43","2020_Q4",27.47953125,"Up",77786000,-47953000,29833000,-20175000,9658000,-55000,-55000,9603000,9603000,-1992000,7611000,7611000,7611000,7611000,19947000,19947000,49188000,49188000,80655000,3975000,3611000,364000,153765000,32724000,30571000,30216000,355000,63295000,217060000,34173000,23834000,9917000,2107000,2107000,36280000,9348000,8108000,1240000,9348000,45628000,66604000,104828000,171432000,171432000,217060000,7611000,1267000,189000,-9886000,-819000,-3067000,-3067000,-7.45058059692383e-09,-1999000,-5885000,-5885000,-5885000,10925000,0,-36000,0.38353,0.12416,0.09785,0.0444,0.03506,-0.00473,4.23829,0.26616,0,1.04189,1.03749,10.64832,14.35017,-0.00493,5,0.04777,-2e-04,-1.82581,-2.06533
"44","2021_Q1",38.0688524590164,"Up",87618000,-51497000,36121000,-23221000,12900000,-93000,-93000,12807000,12807000,-3084000,9723000,9723000,9723000,9723000,28353000,28353000,48010000,48010000,77576000,9247000,3713000,5534000,163186000,35322000,30583000,30209000,374000,65905000,229091000,31646000,20090000,10537000,8337000,8337000,39983000,9603000,8271000,1332000,9603000.00000001,49586000,65971000,113534000,179505000,179505000,229091000,9723000,1435000,386000,1801000,13345000,-3096000,-3096000.00000001,0,-1842999.99999999,8406000,8406000,8406000,14335000,0,16124000,0.41226,0.14723,0.11097,0.05417,0.04244,1.65834,4.08138,0.27624,1.38777878078145e-17,1.34166,1.33338,12.09024,15.66634,2.22492,7,0.05679,0.08526,-1.97789,-2.19791
"45","2021_Q2",54.6425396825397,"Up",87667000,-52528000,35139000,-28558000,6581000,-747000,-653169.878829213,5834000,5834000,-1342000,4492000,4492000,4492000,4492000,8892000,8892000,84050000,84050000,125133000,6518000,4116000,2402000,224593000,52846000,171645000,170930000,715000,224491000,449084000,59489000,45077000,12055000,9455000,9455000,72194000,10004000,8271000,1733000,193023000,265217000,66856000,117011000,183867000,183867000,449084000,4492000,1095000,278000,-2969000,2896000,-1209000,-208179000,190500000,185822000,-19461000,-19461000,-19461000,7676000,186269000,4840000,0.40082,0.07507,0.05124,0.02443,0.01,1.07747,3.11096,1.44244,0.41478,0.61501,0.61224,12.0026,16.02013,0.66265,5,0.01449,0.01273,23.108,26.95289
"46","2021_Q3",48.439375,"Down",131601000,-82448000,49153000,-40717000,8436000,-3378000,-2256626.50510562,5058000,5058000,-1164000,3894000,3894000,3894000,3894000,8358000,8358000,79963000,79963000,143516000,9314000,4772000,2252000,241151000,55956000,179784000,127904000,3505000,235740000,476891000,83524000,67224000,14103000,8200000,8200000,94974000,8833000,8272000,561000,194821000,289795000,68462200.1783861,119886000,187096000,187096000,476891000,3894000,4462000,593000,-830000.000000002,8119000,-8548000,-8547999.99999997,887000,-105000,-533999.999999996,-533999.999999996,-533999.999999996,12898000,189238000,4684000,0.3735,0.0641,0.02959,0.02081,0.00817,1.20288,2.53913,1.54891,0.39682,0.53555,0.52607,18.09944,25.73181,0.6442,5,0.01276,0.01216,14.02388,21.44144
"47","2021_Q4",42.22515625,"Down",125507000,-78546000,46961000,-44208000,2753000,-3241000,-5405769.87882921,-488000,-488000,113000,-375000,-375000,-375000,-375000,12918000,12918000,80677000,80677000,202199000,13768000,7438000,2110000,309562000,57190000,180070000,127116000,3785000,237260000,546822000,103349000,85100000,16033000,7753000,7753000,114352000,8943000,8271000,672000,246429000,360781000,69834666.9045147,118379000,186041000,186041000,546822000,-374000,2675000,628000,-42432000,-39503000,-6103000,-6103000,51173000,50166000,4560000,4560000,4560000,5428000,240736000,-43220000,0.37417,0.02194,-0.00299,-0.00202,-0.00069,115.25333,2.7071,1.93926,0.44025,-0.05088,-0.04997,17.02944,25.24301,-5.86431,0,0.00174,-0.09919,41.97089,82.75263
"48","2022_Q1",41.99,"Down",169452000,-106169000,63283000,-45081000,18202000,-3237000,-10603000,14965000,14965000,-2417000,12548000,12548000,12548000,12548000,5909000,5909000,126807000,126807000,232464000,10105000,4507000,1304000,375285000,59989000,189301000,126315000,12345000,249290000,624575000,128549000,114632000,11784000,8337000,8337000,140136000,10981000,10293000,688000,286584000,426720000,70117300.1783861,129794000,197855000,197855000,624575000,12547000,3110000,2504000,-44548000,-26387000,-5195000,-10633000,31074000,30011000,-7009000,-7009000,-7009000,21312000,278853000,-26014000,0.37346,0.10742,0.07405,0.06342,0.02009,-2.07316,2.67801,2.15673,0.44647,1.65803,1.74958,22.39059,26.14363,-3.43737,2,0.02805,-0.05334,12.80706,14.99528
"49","2022_Q2",36.8577419354839,"Down",167025000,-104198000,62827000,-49630000,13197000,-3907000,-18350716.868618,9290000,9290000,-1951000,7339000,7339000,7339000,7339000,14950000,14950000,123387000,123387000,289230000,8741000,5875000,528000,436308000,71654000,176712000,125528000,938000,248366000,684674000,183267000,156890000,26377000,9971000,9971000,196488000,19246000,10293000,8953000,283732000,480220000,68454000,1.36e+08,204454000,204454000,684674000,7339000,3024000,461000,2969000,13793000,-1243000,-1243000,-2521000,-3509000,9041000,9041000,9041000,16221000,267736000,19898000,0.37615,0.07901,0.04394,0.0359,0.01072,2.71127,2.22053,2.34879,0.39104,1.00534,0.99109,22.88014,18.63014,2.72575,6,0.01724,0.04049,15.58387,19.15481
"50","2022_Q3",28.3640625,"Down",162038000,-108288000,53750000,-48155000,5595000,-4323000,-29151320.4846831,1272000,1272000,-353000,919000,919000,919000,919000,5802000,5802000,115794000,115794000,287817000,11800000,5216000,224000,421213000,61352000,186273000,124740000,11287000,247625000,668838000,153928000,130246000,20977000,7121000,7121000,164299000,11071000,10293000,778000,300072000,464371000,63988666.3693566,135787000,204467000,204467000,668838000,919000,2823000,441000,-26543000,-22360000,-2322000,-2322000,16666000,15534000,-9148000,-9148000,-9148000,8418000,292251000,-20094000,0.33171,0.03453,0.00567,0.00449,0.00137,-21.86507,2.5637,2.27113,0.43695,0.12589,0.12411,22.19699,28.00918,-2.7526,2,0.00404,-0.03957,34.02815,51.19732
