"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","sale_of_loan_income_loss","commissions_fees_earned","other_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","short_long_term_investments","net_loans","reserve_for_loan_losses","total_loans","net_fixed_assets","customer_acceptances_liabilities","other_assets","total_assets","total_deposits","interest_bearing_deposits","other_deposits","short_term_debt","long_term_debt","other_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","provision_for_loan_losses_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_investments","net_change_in_loans_interbank","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","net_change_in_deposits","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"33","2020_Q1",31.2075806451613,"Down",7964000,6822000,8848000,-2026000,1142000,449000,517000,176000,-25000,7939000,-5615000,-5615000,2324000,2324000,2300000,-430000,1870000,1870000,1870000,1870000,55770000,25712000,614247000,-5640000,619887000,6767000,2206000,15151000,719853000,616718000,519434000,97284000,1305000,7500000,16151000,641674000,26368000,51410000,175000,77953000,226000,78179000,719853000,1870000,132000,25000,23515000,-21702000,3840000,-427000,-1062000,-7541000,-9030000,-359000,-2776000,7097000,2087000,-3103000,-3103000,-3103000,2456000,8805000,-19243000,0.29181,0.23481,0.02392,0.0026,-10.29037,8.20775,0.01223,0.73477,0.71524,3.12927,30.62986,-7.5611,0.14106,0.0031,-0.02673,0.19198,-19.12256,-20.20869
"34","2020_Q2",22.2873015873016,"Down",7437000,6728000,8646000,-1918000,709000,318000,494000,-103000,-250000,7187000,-5946000,-5946000,1241000,1241000,1241000,-260000,981000,981000,981000,981000,61996000,32470000,619482000,-5893000,625375000,6877000,2205000,14606000,737636000,634558000,524439000,110119000,1851000,7500000,15058000,658967000,26801000,51488000,156000,78445000,224000,78669000,737636000,981000,245000,250000,19511000,-24268000,-3281000,-355000,-1862000,-5485000,-7702000,-903000,272000,17840000,17209000,6226000,6226000,6226000,1486000,9351000,-22877000,0.16687,0.13191,0.01247,0.00133,-23.32008,8.37645,0.01268,0.38584,0.3791,2.92506,30.85332,-8.99779,0.35516,0.00255,-0.03101,0.92049,-35.42732,-42.42143
"35","2020_Q3",25.88859375,"Up",8475000,6896000,8708000,-1812000,1579000,1263000,429000,-113000,-4e+05,8075000,-5406000,-5406000,2669000,2669000,2669000,-542000,2127000,2127000,2127000,2127000,130537000,33007000,684672000,-6031000,690703000,6675000,2346000,14424000,871661000,694322000,551841000,142481000,1163000,79841000,15726000,791052000,26919000,53224000,262000,80405000,204000,80609000,871661000,2127000,241000,4e+05,69685000,-71692000,761000,-40000,1077000,-65072000,-64035000,-391000,101000,59764000,131815000,68541000,68541000,68541000,2910000,81004000,-68280000,0.31493,0.25097,0.02639,0.00244,-32.10155,9.81345,0.09293,0.82949,0.82382,3.30509,31.35646,-26.62794,0.15248,0.00289,-0.07833,0.18383,-17.02165,-18.55864
"36","2020_Q4",28.78640625,"Up",8728000,6661000,8509000,-1848000,2067000,1818000,510000,-261000,-275000,8453000,-5530000,-5530000,2923000,2923000,2923000,-588000,2335000,2335000,2335000,2335000,115762000,44927000,683446000,-5988000,689434000,6466000,2536000,14241000,867378000,748850000,596613000,152237000,13354000,7500000,14989000,784693000,27043000,55170000,259000,82472000,213000,82685000,867378000,2335000,210000,275000,88493000,-98380000,-7067000,-1000,-3216000,1935000,-1282000.00000001,-389000,1e+05,54528000,-6426000,-14775000,-14775000,-14775000,3133000,20854000,-94660000,0.3349,0.26753,0.02824,0.00269,-40.53961,9.49015,0.02404,0.90902,0.89991,3.39784,32.10668,-36.85151,0.15144,0.00314,-0.10913,0.1666,-30.29301,-32.46938
"37","2021_Q1",34.2252459016393,"Up",10291000,7201000,9073000,-1872000,3090000,2623000,472000,-5000,0,10291000,-5796000,-5796000,4495000,4495000,4495000,-1001000,3494000,3494000,3494000,3494000,193828000,37287000,607363000,-6e+06,613363000,6270000,2254000,14400000,861402000,747981000,615491000,132490000,1168000,11592000,14695000,775436000,27131000,58226000,240000,85597000,369000,85966000,861402000,3494000,209000,0,77573000,-72173000,9103000,-11000,2964000,74562000,77515000,-389000,3e+05,-869000,-8552000,78066000,78066000,78066000,4704000,12760000,-66479000,0.43679,0.33952,0.04064,0.00406,-19.02662,9.02026,0.01481,1.3568,1.34084,3.99623,33.23929,-25.81533,0.15106,0.00451,-0.07718,0.11133,-38.49235,-40.28209
"38","2021_Q2",40.8977777777778,"Up",9240000,6536000,7999000,-1463000,2704000,2053000,532000,119000,-72933.8211236143,9240000,-6178000,-6178000,3062000,3062000,3078000,-627000,2451000,2451000,2451000,2451000,269593000,35533000,608442000,-5935000,614377000,6123000,2160000,14800000,936651000,816693000,628009000,188684000,1746000,11602000,18836000,848877000,27473000,59975000,193000,87641000,133000,87774000,936651000,2451000,176000,72933.8211236143,68192000,-63039000,7780000,-29000,1054000,-1079000.00000001,-54000,-702000,29000,68712000,68039000,75765000,75765000,75765000,3238000,13348000,-59203000,0.33139,0.26526,0.02792,0.00262,-24.15463,9.67117,0.01425,0.95306,0.93873,3.59292,34.07867,-23.02073,0.27297,0.00337,-0.06321,0.28641,-79.13681,-83.6855
"39","2021_Q3",43.2225,"Up",9064000,7351000,8414000,-1063000,1713000,1063000,527000,123000,-250000,8814000,-5989000,-5989000,2825000,2825000,2825000,-574000,2251000,2251000,2251000,2251000,236815000,30073000,633476000,-6157000,639633000,6043000,2078000,14693000,923178000,804720000,622873000,181847000,938000,11613000,16077000,833348000,27639000,61758000,195000,89592000,238000,89830000,923178000,2251000,161000,250000,39800000,-35979000,6483000,-81000,-1500000,-25368000,-26949000,-447000,108000,-11973000,-12312000,-32778000,-32778000,-32778000,2986000,12551000,-32500000,0.31167,0.24835,0.02506,0.00244,-14.43803,9.27695,0.0136,0.87052,0.85639,3.5053,34.64769,-12.56864,0.17287,0.00292,-0.0352,0.19858,-75.10516,-79.38549
"40","2021_Q4",42.17046875,"Down",9748000,8317000,9102000,-785000,1431000,568000,556000,307000,-175000,9573000,-6318000,-6318000,3255000,3255000,3255000,-663000,2592000,2592000,2592000,2592000,206702000,32922000,661224000,-6327000,667551000,5941000,2231000,19091000,928111000,807653000,612805000,194848000,1708000,11623000,15145000,836129000,27861000,63905000,168000,91934000,48000,91982000,928111000,2592000,165000,175000,20329000,-25477000,-2216000,-63000,-2586000,-27923000,-30572000,-445000,187000,2933000.00000001,2675000,-30113000,-30113000,-30113000,3420000,13331000,-21457000,0.33391,0.2659,0.02818,0.00279,-8.27816,9.09014,0.01436,1.00192,0.9839,3.76803,35.53657,-8.29408,0.17201,0.00327,-0.02312,0.17168,-56.54123,-59.40737
"41","2022_Q1",40.3170967741936,"Down",9197000,7716000,8359000,-643000,1481000,506000,632000,343000,0,9197000,-6911000,-6911000,2286000,2286000,2270000,-408000,1862000,1862000,1862000,1862000,183590000,30560000,680092000,-6306000,686398000,5819000,2217000,17413000,919691000,798320000,607854000,190466000,2264980.46416055,11634000,16379000,826333000,27982000,65237000,139000,93358000,-43876.1634190043,93358000,919691000,1862000,174000,0,19092000,-14102000,7026000,-52000,-1445000,-18868000,-20365000,-445000,5000,-9333000,-9773000,-23112000,-23112000,-23112000,2460000,11634000,-11286000,0.24856,0.20246,0.01994,0.00202,-6.06122,8.85123,0.01265,0.71568,0.70185,3.53496,35.88306,-4.33788,0.17104,0.00251,-0.01227,0.23899,-69.90081,-75.22135
"42","2022_Q2",36.9095161290323,"Down",9141000,7618000,8213000,-595000,1523000,365000,549000,609000,-125000,9016000,-6835000,-6835000,2181000,2181000,2181000,-458000,1723000,1723000,1723000,1723000,197091000,34679000,704375000,-6407000,710782000,5730000,2117000,14862000,958854000,836091000,627323000,208768000,1851000,11644000,15380000,864966000,28180000,66139000,-469000,93850000,38000.0000000001,93888000,958854000,1723000,173000,125000,12021000,-11138000,2904000,-84000,-4811000,-21382000,-26277000,-709000,-188000,37771000,36874000,13501000,13501000,13501000,2354000,13495000,-8410000,0.2386,0.18849,0.01835,0.0018,-4.88102,9.21274,0.01407,0.66613,0.6547,3.53402,36.28357,-3.25141,0.27411,0.00254,-0.00877,0.41149,-77.9932,-84.17973
"43","2022_Q3",39.50796875,"Up",9409000,8392000,8986000,-594000,1017000,85000,597000,335000,-6e+05,8809000,-6787000,-6787000,2022000,2022000,2022000,-409000,1613000,1613000,1613000,1613000,80051000,34995000,799061000,-7117000,806178000,5632000,2350000,14915000,937004000,785986000,599377000,186609000,922000,41655000,15190000,843753000,27803000,66203000,-949000,93057000,194000,93251000,937004000,1613000,181000,6e+05,2958000,-2736000,2616000,-83000,229000,-96480000,-96334000,-443000,-2736000,-50105000,-23322000,-117040000,-117040000,-117040000,2203000,42577000,-207000,0.2149,0.17143,0.0173,0.00172,-0.12833,9.04819,0.04544,0.62418,0.61676,3.641,36.01028,-0.0801,0.17143,0.00219,-0.00022,0.27464,-17.01044,-18.53314
