"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"21","2019_Q2",2.47952380952381,"Down",2.91e+08,-2.51e+08,4e+07,-7e+07,-5.9e+07,-1.1e+07,-3e+07,2.3e+07,-3e+06,2.6e+07,-7e+06,-2e+06,-9e+06,-3e+06,-1.2e+07,-1.8e+07,-1.8e+07,-1.8e+07,2.4e+08,2.4e+08,2.01e+08,2.01e+08,2.49e+08,1.69e+08,5.3e+07,8.59e+08,2.33e+08,4.46e+08,1.2e+07,2.21e+08,6.79e+08,1.538e+09,1.6e+08,1.6e+08,3.96e+08,2.39e+08,2.39e+08,7.95e+08,1.8e+07,5.66e+08,3.68e+08,1.98e+08,5.84e+08,1.379e+09,6.15e+08,-9e+06,-2.13e+08,-4.09e+08,1.59e+08,1.59e+08,1.538e+09,-1.8e+07,1.5e+07,-1.8e+07,9e+06,-1.2e+07,-3e+06,-3e+06,-3e+06,-3e+06,1.3e+07,3e+06,-1.2e+07,-1.2e+07,2e+06,-1e+07,-1.5e+07,4.14e+08,-6e+06,0.13746,-0.10309,-0.06186,-0.11321,-0.0117,0.33333,1.0805,8.67296,0.26918,-0.41958,-0.41958,6.78322,-0.37296,-0.13986,-0.0158,-0.00527,-11.6,-5.8
"22","2019_Q3",2.46546875,"Down",3.07e+08,-2.65e+08,4.2e+07,-6.5e+07,-5.4e+07,-1.1e+07,-2.3e+07,2.1e+07,-5e+06,2.6e+07,-2e+06,-2e+06,-4e+06,-2e+06,-6e+06,2.01e+08,2.01e+08,2.01e+08,2.16e+08,2.16e+08,2.04e+08,2.04e+08,2.51e+08,5.8e+07,5.7e+07,7.29e+08,2.29e+08,4.73e+08,1.2e+07,2.51e+08,7.02e+08,1.431e+09,1.56e+08,1.56e+08,2e+06,2.24e+08,2.24e+08,3.82e+08,1.04e+08,5.85e+08,3.65e+08,2.2e+08,6.89e+08,1.071e+09,6.12e+08,-9e+06,-1.2e+07,-4.08e+08,3.6e+08,3.6e+08,1.431e+09,2.01e+08,1.4e+07,-2.29e+08,1.3e+07,-1000000.00000001,-2e+06,-2e+06,-2e+06,3e+08,-2.97e+08,-2.97e+08,2e+06,2e+06,-1e+06,1e+06,-9e+06,1.06e+08,4e+06,0.13681,-0.07492,0.65472,0.55833,0.14046,0.0199,1.90838,2.975,0.07407,4.66357,4.66357,7.12297,4.24594,0.09281,0.19125,0.00381,12.22222,4.78261
"23","2019_Q4",2.7675,"Up",3.15e+08,-2.62e+08,5.3e+07,-6.9e+07,-4.8e+07,-1.1e+07,-1.6e+07,1.6e+07,-4e+06,2e+07,0,-3e+06,-3e+06,-7e+06,-1e+07,-5e+06,-5e+06,-5e+06,2.25e+08,2.25e+08,1.95e+08,1.95e+08,2.42e+08,5.9e+07,5.7e+07,7.21e+08,1.86e+08,5.02e+08,1.2e+07,2.9e+08,6.88e+08,1.409e+09,1.4e+08,1.4e+08,2e+06,2.29e+08,2.29e+08,3.71e+08,1.06e+08,5.81e+08,3.52e+08,2.29e+08,6.87e+08,1.058e+09,6.08e+08,-9e+06,-1.7e+07,-4.11e+08,3.51e+08,3.51e+08,1.409e+09,-5e+06,1.4e+07,-1e+07,1e+07,9e+06,-6e+06,-6e+06,-6e+06,1.8e+07,-1e+06,-1e+06,2.6e+07,2.6e+07,-5e+06,2.1e+07,-2e+06,1.08e+08,9e+06,0.16825,-0.05079,-0.01587,-0.01425,-0.00355,-1.8,1.9434,3.01425,0.07665,-0.11628,-0.11628,7.32558,3.97674,0.2093,-0.00481,0.00865,58.5,7.3125
"24","2020_Q1",3.00532258064516,"Up",3.29e+08,-2.82e+08,4.7e+07,-6.4e+07,-5e+07,-9e+06,-1.7e+07,-1.8e+07,-4e+06,-1.4e+07,-3.5e+07,-9e+06,-4.4e+07,-1.9e+07,-6.3e+07,-6.2e+07,-6.2e+07,-6.2e+07,2.33e+08,2.33e+08,2.08e+08,2.08e+08,2.15e+08,5e+07,4.8e+07,7.06e+08,1.81e+08,5.28e+08,1.2e+07,3.22e+08,7.09e+08,1.415e+09,1.53e+08,1.53e+08,2e+06,2.13e+08,2.13e+08,3.68e+08,1.09e+08,6.57e+08,3.78e+08,2.79e+08,7.66e+08,1.134e+09,6.04e+08,-9e+06,-7.9e+07,-4.17e+08,2.81e+08,2.81e+08,1.415e+09,-6.2e+07,1.2e+07,4.4e+07,2.2e+07,1.6e+07,-4e+06,-4e+06,-4e+06,-4e+06,2e+06,-3000000.00000003,9e+06,9e+06,2e+06,1.1e+07,-5e+06,1.11e+08,3.2e+07,0.14286,-0.05167,-0.18845,-0.22064,-0.04382,-0.51613,1.91848,4.03559,0.07845,-1.44186,-1.44186,7.65116,2.30233,0.74419,-0.0591,0.03051,24.4,7.17647
"25","2020_Q2",2.32666666666667,"Down",2.67e+08,-2.31e+08,3.6e+07,-5e+07,-4.8e+07,-9e+06,-1.4e+07,7.5e+07,-4e+06,7.9e+07,6.1e+07,-7e+06,5.4e+07,-1.65e+08,-1.11e+08,-1.11e+08,-1.11e+08,-1.11e+08,2.09e+08,2.09e+08,1.83e+08,1.83e+08,2.36e+08,4.1e+07,3.9e+07,6.69e+08,1.65e+08,3.86e+08,1.2e+07,3.31e+08,5.51e+08,1.22e+09,1.52e+08,1.52e+08,2e+06,1.86e+08,1.86e+08,3.4e+08,1.11e+08,6.1e+08,3.72e+08,2.38e+08,7.21e+08,1.061e+09,6e+08,-9e+06,-1.9e+08,-4.26e+08,1.59e+08,1.59e+08,1.22e+09,-1.11e+08,1e+07,8.2e+07,-2.2e+07,-4.1e+07,-4e+06,-4e+06,-4e+06,-1e+06,20227868.0622345,-3e+06,-4.5e+07,-4.5e+07,-4e+06,-4.9e+07,-4e+06,1.13e+08,1.35e+08,0.13483,-0.05243,-0.41573,-0.69811,-0.09098,-1.21622,1.96765,6.67296,0.09262,-2.54587,-2.54587,6.12385,-0.57339,3.09633,-0.12585,0.15306,24,6.85714
"26","2020_Q3",7.8140625,"Up",2.13e+08,-1.92e+08,2.1e+07,-3.9e+07,-3.4e+07,-8e+06,-1.8e+07,1.5e+07,-4e+06,1.9e+07,-3e+06,-1e+06,-4e+06,-1e+06,-4999999.99999997,-5e+06,-5e+06,-5e+06,1.8e+08,1.8e+08,1.4e+08,1.4e+08,2.28e+08,4.1e+07,3.9e+07,5.89e+08,1.57e+08,4.14e+08,1.2e+07,3.61e+08,5.71e+08,1.16e+09,1.01e+08,1.01e+08,2e+06,1.72e+08,1.72e+08,2.75e+08,1.13e+08,6.16e+08,3.68e+08,2.48e+08,7.29e+08,1.004e+09,5.95e+08,-9e+06,-1.95e+08,-4.21e+08,1.56e+08,1.56e+08,1.16e+09,-5e+06,1e+07,-1.9e+07,-9e+06,-2.3e+07,-5e+06,-5e+06,-5e+06,-4e+06,146697824.688494,-3e+06,-3e+07,-3e+07,1e+06,-2.9e+07,-8e+06,1.15e+08,-2.1e+07,0.09859,-0.08451,-0.02347,-0.0320499999999998,-0.00431000000000002,4.2,2.14182,6.4359,0.09914,-0.114160000000001,-0.114159999999999,4.86301,-0.68493,-0.479449999999999,-0.00564000000000001,-0.02368,8.125,3.61111
"27","2020_Q4",8.333125,"Up",2.52e+08,-2.21e+08,3.1e+07,-6.3e+07,-5.6e+07,-8e+06,-3.2e+07,-4.09e+08,-3e+06,-4.06e+08,-4.41e+08,-3e+06,-4.44e+08,-1e+06,-4.45e+08,-4.45e+08,-4.45e+08,-4.45e+08,1.93e+08,1.93e+08,1.53e+08,1.53e+08,2.32e+08,4.4e+07,4.2e+07,6.22e+08,1.5e+08,4.48e+08,1.2e+07,3.96e+08,5.98e+08,1.22e+09,1.18e+08,1.18e+08,2e+06,1.75e+08,1.75e+08,2.95e+08,1.7e+07,6.31e+08,3.76e+08,2.55e+08,6.48e+08,9.43e+08,1.156e+09,-9e+06,-6.4e+08,-4.19e+08,2.77e+08,2.77e+08,1.22e+09,-4.45e+08,9e+06,4.37e+08,1.5e+07,1.6e+07,-4e+06,-4e+06,-4e+06,-4e+06,287853847.283637,1.6e+07,2.8e+07,2.8e+07,1e+06,2.9e+07,-2.3e+07,1.9e+07,-1.1e+07,0.12302,-0.12698,-1.76587,-1.6065,-0.36475,0.02472,2.10847,3.40433,0.01557,-6.84615,-6.84615,3.87692,1.35385,-0.16923,-0.48004,-0.01187,7.56522,5.4375
"28","2021_Q1",9.11032786885246,"Up",2.97e+08,-2.5e+08,4.7e+07,-4e+07,-3.4e+07,-9e+06,7000000.00000001,1.9e+07,-1e+06,19999999.9999999,2.6e+07,-8e+06,1.8e+07,-1e+06,17000000.0000001,19999999.9999999,19999999.9999999,19999999.9999999,1.96e+08,1.96e+08,1.77e+08,1.77e+08,2.06e+08,4.8e+07,4.6e+07,6.27e+08,1.52e+08,4.69e+08,1.2e+07,1.56e+08,6.21e+08,1.248e+09,1.18e+08,1.18e+08,2e+06,1.76e+08,1.76e+08,2.96e+08,1.7e+07,6.67e+08,4.06e+08,2.61e+08,6.84e+08,9.8e+08,1.152e+09,-9e+06,-6.2e+08,-4.46e+08,2.68e+08,2.68e+08,1.248e+09,19999999.9999999,8e+06,-21000000.0000001,6e+06,1.3e+07,-4e+06,-4e+06,-4e+06,-4e+06,350139913.25252,-1.49011611938477e-08,8999999.99999999,8999999.99999999,6e+06,1.5e+07,1.5e+07,1.9e+07,1.8e+07,0.15825,0.02357,0.06734,0.07463,0.01603,0.9,2.11824,3.65672,0.01522,0.259069999999999,0.259069999999999,3.84715,0.99741,0.23316,0.02096,0.01887,-11.8,-25.28571
"29","2021_Q2",7.84761904761905,"Down",2.65e+08,-2.25e+08,4e+07,-5.3e+07,-4.6e+07,-8e+06,-1.3e+07,2.1e+07,-4e+06,2.5e+07,8e+06,-1e+06,7e+06,-1e+06,6e+06,6e+06,6e+06,6e+06,4.01e+08,4.01e+08,1.65e+08,1.65e+08,2.24e+08,4.4e+07,4.2e+07,8.34e+08,1.43e+08,5.12e+08,1.2e+07,4.62e+08,6.55e+08,1.489e+09,1.41e+08,1.41e+08,2e+06,1.52e+08,1.52e+08,2.95e+08,2.46e+08,6.52e+08,3.89e+08,2.63e+08,8.98e+08,1.193e+09,1.169e+09,-1e+07,-6.14e+08,-4.41e+08,2.96e+08,2.96e+08,1.489e+09,6e+06,8e+06,-1.7e+07,-1.3e+07,-1.6e+07,-1e+06,-1e+06,-1e+06,-1e+06,2.4e+08,2.42e+08,2.25e+08,2.25e+08,-4e+06,2.21e+08,-5e+06,2.48e+08,-1.8e+07,0.15094,-0.04906,0.02264,0.02027,0.00403,-3,2.82712,4.03041,0.16655,0.07712,0.07444,3.40617,1.33676,-0.23136,0.00502,-0.01505,30.6,11.76923
"30","2021_Q3",7.29921875,"Down",2.91e+08,-2.43e+08,4.8e+07,-4.4e+07,-4.2e+07,-8e+06,4e+06,1.5e+07,-1e+07,2.5e+07,1.9e+07,9.31322574615479e-10,1.9e+07,-3e+06,1.6e+07,1.6e+07,1.6e+07,1.6e+07,3.95e+08,3.95e+08,1.74e+08,1.74e+08,2.34e+08,4.5e+07,4.3e+07,8.48e+08,1.48e+08,5.38e+08,1.2e+07,4.9e+08,6.86e+08,1.534e+09,1.45e+08,1.45e+08,2e+06,1.62e+08,1.62e+08,3.09e+08,2.49e+08,6.53e+08,3.91e+08,2.62e+08,9.02e+08,1.211e+09,1.167e+09,-1e+07,-5.98e+08,-4.29e+08,3.23e+08,3.23e+08,1.534e+09,1.6e+07,8e+06,-2.4e+07,-5e+06,-5e+06,-4e+06,-4e+06,-4e+06,-1.04e+08,0,9.9e+07,-9999999.99999994,-9999999.99999994,2e+06,-8e+06,1.2e+07,2.51e+08,6e+06,0.16495,0.01375,0.05498,0.04954,0.01043,0.375,2.74434,3.74923,0.16362,0.20566,0.19851,3.74036,1.67095,0.07712,0.01304,0.00489,-12,-36
"31","2021_Q4",6.2809375,"Down",2.87e+08,-2.44e+08,4.3e+07,-5.2e+07,-4.3e+07,-8e+06,-9e+06,1.4e+07,-9e+06,2.3e+07,5e+06,-2769331.35532788,5e+06,-1e+06,4e+06,4e+06,4e+06,4e+06,3.8e+08,3.8e+08,1.67e+08,1.67e+08,2.4e+08,4.9e+07,4.7e+07,8.36e+08,1.4e+08,5.59e+08,1.2e+07,5.12e+08,6.99e+08,1.535e+09,1.51e+08,1.51e+08,2e+06,1.59e+08,1.59e+08,3.12e+08,2.5e+08,6.34e+08,3.84e+08,2.5e+08,8.84e+08,1.196e+09,1.166e+09,-1e+07,-5.9e+08,-4.22e+08,3.39e+08,3.39e+08,1.535e+09,8e+06,7e+06,-2.3e+07,-4e+06,-1.2e+07,-4e+06,-6219668.42180167,-6219668.42180167,9.6e+07,1.49011611938477e-08,-1.01e+08,-1.7e+07,-1.7e+07,-1e+06,-1.8e+07,-2e+06,2.52e+08,-9e+06,0.14983,-0.03136,0.01394,0.0118,0.00261,-2.25,2.67949,3.52802,0.16417,0.05109,0.04969,3.66539,1.83908,-0.11494,0.00327,-0.00735,64,14.22222
"32","2022_Q1",4.74838709677419,"Down",3.07e+08,-2.74e+08,3.3e+07,-5.5e+07,-4.6e+07,-9e+06,-2.2e+07,2.4e+07,-1e+07,3.4e+07,2e+06,-5e+06,-3e+06,1e+06,-2e+06,-2e+06,-2e+06,-2e+06,3.62e+08,3.62e+08,1.75e+08,1.75e+08,2.19e+08,5.1e+07,4.9e+07,8.07e+08,1.4e+08,1.224e+09,1.2e+07,1.178e+09,1.364e+09,2.171e+09,1.53e+08,1.53e+08,1.4e+07,1.42e+08,1.42e+08,3.09e+08,2.98e+08,5.87e+08,3.82e+08,2.05e+08,8.85e+08,1.194e+09,1.166e+09,-1e+07,-5.96e+08,2.21e+08,9.77e+08,9.77e+08,2.171e+09,-6e+06,8e+06,-2.3e+07,7e+06,-1.4e+07,-1.2e+07,-6121607.17751015,-6121607.17751015,-1.1e+07,-1e+06,-2000000.00000003,-2.7e+07,-2.7e+07,-1e+06,-2.8e+07,-1.4e+07,3.12e+08,-2e+07,0.10749,-0.07166,-0.00651,-0.00205000000000001,-0.00092,10,2.61165,1.22211,0.14371,-0.02516,-0.02472,3.86164,9.8239,-0.25157,-0.00107,-0.01066,3.57143,2.27273
"33","2022_Q2",5.2158064516129,"Up",2.9e+08,-2.57e+08,3.3e+07,-5.2e+07,-4.3e+07,-9e+06,-1.9e+07,1.8e+07,-9e+06,2.7e+07,-1e+06,-3942005.93401637,-1e+06,-2e+06,-3e+06,-3e+06,-3e+06,-3e+06,3.09e+08,3.09e+08,1.82e+08,1.82e+08,2.47e+08,5.2e+07,5e+07,7.9e+08,1.47e+08,1.25e+09,1.2e+07,1.57e+08,1.397e+09,2.187e+09,1.82e+08,1.82e+08,1e+06,1.51e+08,1.51e+08,3.34e+08,2.56e+08,6.17e+08,3.75e+08,2.42e+08,8.73e+08,1.207e+09,1.165e+09,-1e+07,-5.99e+08,2.26e+08,9.8e+08,9.8e+08,2.187e+09,-3e+06,7e+06,-2.5e+07,-2.2e+07,-4.3e+07,-5e+06,-5e+06,-5e+06,-5e+06,3138008.61285972,-1e+06,-4.9e+07,-4.9e+07,-723652.257918745,-4.9e+07,-1.2e+07,2.57e+08,-3.7e+07,0.11379,-0.06552,-0.01034,-0.00306,-0.00137,12.33333,2.36527,1.23163,0.11751,-0.03817,-0.03722,3.68957,9.94911,-0.47074,-0.00162,-0.01996,4.33333,2.73684
"34","2022_Q3",5.46109375,"Up",3.21e+08,-2.7e+08,5.1e+07,-5e+07,-4.1e+07,-9e+06,1e+06,1.8e+07,-1e+07,2.8e+07,1.9e+07,3154650.84262301,1.9e+07,1e+06,2e+07,2e+07,2e+07,2e+07,2.89e+08,2.89e+08,1.91e+08,1.91e+08,2.62e+08,4.6e+07,4.4e+07,7.88e+08,1.45e+08,1.376e+09,1.2e+07,1.51e+08,1.521e+09,2.309e+09,1.68e+08,1.68e+08,1e+06,1.49e+08,1.49e+08,3.18e+08,3.08e+08,5.83e+08,3.58e+08,2.25e+08,8.91e+08,1.209e+09,1.164e+09,-1e+07,-5.79e+08,3.26e+08,1.1e+09,1.1e+09,2.309e+09,2e+07,7e+06,-3.2e+07,-5.5e+07,-6e+07,-4e+06,-4e+06,-4e+06,-4e+06,4.9e+07,4.8e+07,-1.6e+07,-1.6e+07,-5e+06,-2.1e+07,8e+06,3.09e+08,-5.2e+07,0.15888,0.00312,0.06231,0.01818,0.00866,-2.6,2.47799,1.09909,0.13382,0.25445,0.24814,4.08397,11.4631,-0.66158,0.01004,-0.0261,2.5,20
