"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","pensions","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","acquisition_of_intangible_assets","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"28","2017_Q1",7.35693548387097,"Down",293624000,-207763000,85861000,-61670000,-61670000,24191000,-8059000,-1632000,16132000,14073000,-5536000,8537000,8537000,-773000,7764000,7764000,81569000,81569000,153566000,153566000,129596000,24006000,101809000,364731000,29605000,341523000,86931000,91750000,30379000,132463000,371128000,735859000,164906000,51991000,109388000,1012000,64369000,49598000,14771000,230287000,187002000,159306000,105175000,105175000,25884000,28247000,346308000,576595000,104094000,261562000,-211773000,153883000,5381000,159264000,735859000,8537000,10100000,5225000,24919000,48781000,-9764000,-9764000,-4572000,-5192000,-9764000,-3403000,-22078000,-792000,-26273000,12744000,12744000,-2838000,9906000,34291000,188014000,54982000,0.29242,0.08239,0.02644,0.04875,0.01055,7.08166,1.58381,3.62037,0.2555,0.13947,0.13571,5.27446,2.76425,0.98766,0.06113,0.02204,0.10853,0.4383,3.10417,4.40019
"29","2017_Q2",6.87206349206349,"Down",279530000,-2.05e+08,74530000,-59992000,-59992000,14538000,-1475000,-2036000,13063000,12458000,-4835000,7623000,7623000,41000,7664000,7664000,68797000,68797000,164073000,164073000,136808000,24158000,108868000,369678000,27236000,387425000,103864000,115764000,29778000,138019000,414661000,784339000,149561000,50575000,92313000,6685000,65662000,52040000,13622000,221908000,237273000,150777000,100371000,100371000,24973000,25433000,388050000,609958000,105026000,266477000,-208298000,163205000,11176000,174381000,784339000,7623000,10180000,4162000,-42480000,-20515000,-6127000,-6127000,-695000,-5432000,-42060000,-3441000,52925000,-399000,49085000,-13490000,-13490000,718000,-12772000,24718000,243958000,-19054000,0.26663,0.05201,0.02742,0.04395,0.00977,-2.48617,1.66591,3.49785,0.31104,0.13662,0.1346,4.9828,2.90923,-0.33965,0.06134,0.01951,-0.03348,0.44898,7.08637,12.04849
"30","2017_Q3",6.90714285714286,"Up",283972000,-201196000,82776000,-57327000,-57327000,25449000,-1582000,-2114000,23867000,17085000,-6812000,10273000,10273000,-71999.9999999999,10201000,10201000,59962000,59962000,168047000,168047000,143775000,25025000,114969000,371784000,28329000,390161000,101942000,116488000,28764000,142967000,418490000,790274000,152389000,50520000,95038000,5926000,63175000,49470000,13705000,221490000,241199000,144219000,95782000,95782000,24668000,23769000,385418000,606908000,107414000,270221000,-206025000,171610000,11756000,183366000,790274000,10273000,10178000,3321000,-19616000,4156000,-9795000,-9795000,-3072000,-6723000,-9832000,-3428000,2803000.00000001,261000,-3798000,-9474000,-9474000,639000,-8835000,35627000,247125000,13028000,0.29149,0.08962,0.03592,0.05563,0.01291,1.27713,1.67856,3.30982,0.31271,0.18193,0.17962,5.06451,3.06058,0.23235,0.06114,0.02371,0.02267,0.33605,5.2534,7.35443
"31","2017_Q4",7.64126984126984,"Up",286666000,-208262000,78404000,-57859000,-57859000,20545000,-2222000,-2524000,18323000,16892000,-4922000,11970000,11970000,-157000,11813000,11813000,73289000,73289000,164660000,164660000,153927000,26483000,123783000,391876000,32680000,393790000,99682000,117362000,28252000,148494000,426470000,818346000,169140000,49670000,111316000,3999000,60413000,48129000,12284000,233552000,246083000,139586000,91265000,91265000,24443000,23878000,385669000,619221000,108896000,276304000,-197280000,187920000,11205000,199125000,818346000,11970000,10290000,2692000,5291000,30243000,-14449000,-14449000,-6698000,-7751000,-16656000,-3419000,3516000,348000,-2187000,11400000,11400000,1927000,13327000,30835000,250082000,26599000,0.2735,0.07167,0.04121,0.05932,0.01444,2.25167,1.6779,3.10971,0.30559,0.21161,0.20851,5.13517,3.36629,0.47648,0.06125,0.02587,0.04518,0.28943,5.73352,8.60516
"32","2018_Q1",7.32573770491803,"Down",313541000,-227709000,85832000,-64662000,-64662000,21170000,-2479000,-2388000,18691000,-4173000,1530000,-2643000,-2643000,630000,-2013000,-2013000,54011000,54011000,174172000,174172000,142184000,25452000,108745000,370367000,41664000,375905000,97147000,96916000,24359000,157483000,417569000,787936000,164461000,49303000,112455000,25212000,66918000,53511000,13407000,256591000,200460000,137146000,87035000,87035000,22515000,27596000,337606000,594197000,109111000,269686000,-196477000,182320000,11419000,193739000,787936000,-2643000,11010000,13218000,5288000,26873000,-14540000,-14540000,-8579000,-5961000,-13318000,-3412000,-24560000,-3429000,-32757000,-19202000,-19202000,-76000,-19278000,32180000,225672000,21398000,0.27375,0.06752,-0.00642,-0.01039,-0.00255,-10.62991,1.44341,3.067,0.28641,-0.03613,-0.03552,5.62728,3.27219,0.38404,0.06124,0.00251,0.03845,-1.69498,5.3344,8.10869
"33","2018_Q2",7.08875,"Down",290387000,-214902000,75485000,-61660000,-61660000,13825000,-1429000,-2564000,12396000,12396000,-3966000,8430000,8430000,139000,8569000,8569000,63956000,63956000,173554000,173554000,161675000,24651000,132915000,399185000,41869000,378845000,96224000,98462000,23398000,160761000,420714000,819899000,153585000,41982000,108410000,25103000,65015000,53021000,11994000,243703000,242202000,132717000,81550000,81550000,24083000,27084000,374919000,618622000,109624000,267682000,-187537000,189769000,11508000,201277000,819899000,8430000,11440000,6404000,-39898000,-13624000,-10858000,-10858000,-5141000,-5717000,-10858000,-3421000,40283000,14000,32951000,8469000,8469000,1476000,9945000,25265000,267305000,-21525000,0.25995,0.04761,0.02951,0.04257,0.01045,-2.51196,1.638,3.07349,0.32602,0.15392,0.15238,5.21613,3.40876,-0.38665,0.06145,0.01994,-0.0358,0.39923,8.04864,14.70879
"34","2018_Q3",7.64222222222222,"Up",293209000,-211688000,81521000,-6.4e+07,-6.4e+07,17521000,-1693000,-2440000,15828000,-1967000,-461000,-2428000,-2428000,3000,-2425000,-2425000,46323000,46323000,143330000,143330000,154841000,29786000,121969000,344494000,36182000,372092000,92767000,97503000,28235000,153587000,408274000,752768000,140947000,40942000,96225000,30009000,65068000,49231000,15837000,236024000,195120000,128275000,76543000,76543000,22804000,28928000,323395000,559419000,111723000,261894000,-191574000,182043000,11306000,193349000,752768000,-2428000,11200000,14996000,-28843000,-5075000,-6950000,-6950000,-4397000,-2553000,34215000,-3363000,-41034000,142000,-45900000,-16760000,-16760000,-873000,-17633000,28721000,225129000,-6611000,0.27803,0.05976,-0.00827000000000001,-0.01254,-0.00322,2.72619,1.45957,2.89331,0.29907,-0.0440700000000001,-0.0435899999999999,5.32865,3.30837,-0.12015,0.06112,0.00172,-0.01209,-1.3868,6.22562,10.20524
"35","2018_Q4",8.08190476190476,"Up",264863000,-189072000,75791000,-63247000,-63247000,12544000,-1636000,-2398000,10908000,9707000,-1828000,7879000,7879000,17000,7896000,7896000,53339000,53339000,128456000,128456000,149096000,28444000,118274000,330891000,35127000,365470000,89713000,97579000,25552000,152626000,400597000,731488000,144831000,33878000,109717000,32263000,63533000,47188000,16345000,240627000,180683000,113640000,61400000,61400000,22727000,29513000,294323000,534950000,113912000,265990000,-194020000,185882000,10656000,196538000,731488000,7879000,10644000,3222000,12981000,34726000,-7696000,-7696000,-2868000,-4828000,-11304000,-3375000,-10951000,796000,-15675000,7747000,7747000,-731000,7016000,23188000,212946000,30301000,0.28615,0.04736,0.02981,0.04018,0.01079,3.83751,1.37512,2.72187,0.29111,0.14316,0.14136,4.80207,3.37011,0.54937,0.06119,0.02155,0.05792,0.42743,6.88317,12.72377
"36","2019_Q1",8.72213114754098,"Up",274520000,-192343000,82177000,-53514000,-53514000,28663000,-2338000,-2707000,26325000,23995000,-12287000,11708000,11708000,230000,11938000,11938000,53119000,53119000,131117000,131117000,136612000,24237000,108291000,320848000,34303000,346291000,85023000,96890000,22146000,142232000,380594000,701442000,139900000,37834000,98921000,23284000,62126000,46880000,15246000,225310000,167126000,128060000,74323000,74323000,21713000,32024000,295186000,520496000,114128000,273607000,-216447000,171288000,9658000,180946000,701442000,11708000,10795000,13117000,772000,36392000,-4516000,-4516000,-1646000,-2870000,-5603999.99999999,-3369000,-22780000,-1272000,-30115000,672999.999999996,672999.999999996,-893000,-220000.000000004,39458000,190410000,48001000,0.29935,0.10441,0.04349,0.06598,0.01702,4.02086,1.42403,2.87653,0.27146,0.21641,0.21389,4.97643,3.10507,0.87015,0.06107,0.03065,0.09611,0.28221,3.47942,4.78983
"37","2019_Q2",8.31492063492063,"Down",256377000,-187207000,69170000,-58659000,-58659000,10511000,-1809000,-2716000,8702000,8702000,-2933000,5769000,5769000,340000,6109000,6109000,49674000,49674000,130842000,130842000,144226000,21843000,118271000,324742000,32361000,447143000,82983000,97585000,21258000,245317000,479504000,804246000,131431000,34954000,92198000,31599000,79448000,34032000,45416000,242478000,178508000,211629000,73105000,73105000,20385000,118139000,390137000,632615000,111973000,261814000,-211374000,162413000,9218000,171631000,804246000,5769000,9624000,1675000,-16545000,523000,-3342000,-3342000,-1737000,-1605000,-3342000,-3282000,18753000,-194000,-1141000,-3960000,-3960000,515000,-3445000,20135000,210107000,3181000,0.2698,0.041,0.02383,0.03559,0.0076,0.52071,1.33926,3.6859,0.26125,0.11308,0.11215,4.74553,3.00626,0.05888,0.06075,0.01583,0.00536,0.53724,7.96787,15.26334
"38","2019_Q3",9.42,"Up",267846000,-185892000,81954000,-60184000,-60184000,21770000,-4935000,-2468000,16835000,5483000,-2859000,2624000,2624000,18000,2642000,2642000,39150000,39150000,137175000,137175000,147317000,22304000,120920000,323642000,31678000,438920000,79950000,97186000,20545000,241239000,470598000,794240000,134807000,31970000,101825000,36653000,73534000,29931000,43603000,244994000,166155000,213575000,72130000,72130000,23750000,117695000,379730000,624724000,114226000,258329000,-211634000,160921000,8595000,169516000,794240000,2624000,10226000,10513000,-15147000,8216000,-4756000,-4756000,-1992000,-2764000,-4756000,-3313000,-8017000,764000,-13733000,-10273000,-10273000,-251000,-10524000,31996000,202808000,14952000,0.30597,0.08128,0.00986,0.01559,0.00333,5.65935,1.32102,3.68534,0.25535,0.04909,0.04881,4.97679,2.99004,0.27782,0.06156,0.01016,0.02552,1.25397,5.11495,7.51759
"39","2019_Q4",10.08796875,"Up",265842000,-192014000,73828000,-52564000,-52564000,21264000,-4045000,-3162000,17219000,16019000,-5328000,10691000,10691000,355000,11046000,11046000,46101000,46101000,131329000,131329000,144009000,24253000,115672000,321439000,32035000,422017000,76529000,97152000,19687000,228649000,454052000,775491000,137215000,31178000,103801000,33619000,73953000,29007000,44946000,244787000,155761000,203064000,71093000,71093000,23839000,108132000,358825000,603612000,115863000,260621000,-212122000,164362000,7517000,171879000,775491000,10691000,10236000,-9135000,21794000,33586000,-4842000,-4842000,-1935000,-2907000,-7138000,-3299000,-10355000,881000,-18861000,7587000,7587000,-636000,6951000,31500000,189380000,53780000,0.27771,0.07999,0.04155,0.06427,0.01424,4.86873,1.31314,3.51184,0.24421,0.20658,0.20473,4.97161,3.0738,1.00576,0.0617,0.02542,0.0953,0.29866,4.54854,6.7381
"40","2020_Q1",8.00790322580645,"Down",257562000,-187660000,69902000,-55763000,-55763000,14139000,-3222000,-2428000,10917000,-6567000,-2991000,-9558000,-9558000,2246000,-7312000,-7312000,51802000,51802000,128217000,128217000,135190000,23476000,103894000,315209000,31425000,413379000,75083000,80642000,17971000,239683000,444804000,760013000,137355000,34377000,99948000,28546000,70364000,28288000,42076000,236265000,148408000,210463000,65909000,65909000,24080000,120474000,358871000,595136000,116673000,249551000,-206907000,159317000,5560000,164877000,760013000,-9558000,10427000,21580000,10442000,32891000,-8184000,-8184000,-3024000,-5160000,-8184000,-3277000,-15225000,-2736000,-19671000,5036000,5036000,665000,5701000,24566000,176954000,29815000,0.2714,0.0549,-0.02839,-0.04435,-0.00962,-4.07754,1.33413,3.60958,0.23283,-0.13762,-0.13617,4.84759,2.99851,0.56115,0.06168,-0.00731,0.05398,-0.44817,5.09452,8.85155
"41","2020_Q2",6.35301587301587,"Down",246046000,-186119000,59927000,-55754000,-55754000,4173000,-2430000,-2224000,1743000,-21645000,8486000,-13159000,-13159000,1760000,-11399000,-11399000,83110000,83110000,121230000,121230000,145657000,23470000,108898000,349997000,30680000,400995000,72625000,62883000,19221000,246266000,431675000,781672000,127423000,33335000,94088000,39822000,71136000,31265000,39871000,238381000,187271000,211789000,60548000,60548000,24042000,127199000,399060000,637441000,116978000,231927000,-207876000,141029000,3202000,144231000,781672000,-13159000,10060000,18554000,-23433000,-7978000,-7511000,-7511000,-2708000,-4803000,-7511000,-3268000,53269000,-146000,47189000,31700000,31700000,-392000,31308000,14233000,227093000,-25197000,0.24356,0.01696,-0.04633,-0.07903,-0.01458,2.21046,1.46823,4.41958,0.29052,-0.21451,-0.21451,4.63015,2.65391,-0.47416,0.0615,-0.01394,-0.04321,-0.28669,10.11614,34.50347
"42","2020_Q3",6.971875,"Up",242875000,-172057000,70818000,-55508000,-55508000,15310000,-2536000,-2452000,12774000,12433000,-6311000,6122000,6122000,-224000,5898000,5898000,59958000,59958000,120941000,120941000,143740000,27815000,106335000,324639000,30924000,391773000,68815000,62086000,18550000,242322000,422697000,747336000,124511000,31446000,93065000,39925000,70216000,27871000,42345000,234652000,155649000,207242000,58388000,58388000,23850000,125004000,362891000,597543000,118096000,236234000,-208835000,145495000,4298000,149793000,747336000,6122000,9390000,1459000,3039000,20010000,-6788000,-6788000,-2768000,-4020000,-6875000,-1591000,-34053000,-146000,-35790000,-22655000,-22655000,-497000,-23152000,24700000,195574000,27262000,0.29158,0.06304,0.02428,0.03937,0.00789,4.62224,1.38349,3.98912,0.26169,0.11122,0.11122,4.57995,2.74364,0.51409,0.03,0.01355,0.04933,0.26975,5.49053,8.85799999999999
"43","2020_Q4",6.8575,"Down",261669000,-185606000,76063000,-52065000,-52065000,23998000,-1664000,-1599000,22334000,36438000,-11729000,24709000,24709000,-312000,24397000,24397000,48739000,48739000,123563000,123563000,141071000,26641000,106610000,313373000,34160000,392089000,66223000,61151000,18107000,246608000,426249000,739622000,149412000,33592000,108798000,3077000,68988000,27129000,41859000,221477000,124684000,211175000,56542000,56542000,23921000,130712000,335859000,557336000,119494000,258504000,-195002000,182996000,-710000,182286000,739622000,24709000,10700000,-13370000,23245000,45284000,-9344000,-9344000,-5374000,-3970000,10016000,-2127000,-66794000,271000,-68650000,-13350000,-13350000,2131000,-11219000,34698000,127761000,60328000,0.29068,0.09171,0.09324,0.13384,0.03299,2.47276,1.41492,3.05748,0.17274,0.45899,0.45298,4.92285,3.44275,1.13497,0.04002,0.05089,0.11574,0.08718,2.27742,3.29286
"44","2021_Q1",8.66377049180328,"Up",265605000,-193538000,72067000,-55625000,-55625000,16442000,-2161000,-1648000,14281000,11862000,-2459000,9403000,9403000,-3000,9400000,9400000,44656000,44656000,123060000,123060000,134287000,29490000,103528000,302003000,36402000,414579000,71176000,66537000,25595000,251271000,450981000,752984000,169589000,41544000,122223000,1837000,71368000,27233000,44135000,242794000,111758000,211504000,53886000,53886000,24136000,133482000,323262000,566056000,120550000,265245000,-198856000,186939000,-10999.9999999995,186928000,752984000,9403000,9961000,-7353000,23851000,35862000,-13737000,-13737000,-3376000,-10361000,-22667000,-2659000,-14017000,-1253000,-17118000,-3923000,-3923000,-160000,-4083000,26403000,113595000,38976000,0.27133,0.0619,0.03539,0.05029,0.01248,4.14638,1.24387,3.0282,0.15086,0.17668,0.17568,4.9922,3.51363,0.73258,0.04998,0.02355,0.07612,0.28287,2.61103,4.19286
"45","2021_Q2",9.48761904761905,"Up",262155000,-194176000,67979000,-58702000,-58702000,9277000,-772000,-1582000,8505000,8505000,-2471000,6034000,6034000,30000,6064000,6064000,42723000,42723000,126214000,126214000,146183000,30531000,114383000,315120000,35201000,422413000,71501000,74242000,25208000,251462000,457614000,772734000,159237000,39724000,112980000,3795000,72165000,29796000,42369000,235197000,115433000,219546000,51366000,51366000,24381000,143799000,334979000,570176000,122016000,267070000,-186266000,202820000,-262000,202558000,772734000,6034000,10478000,1592000,-16527000,1577000,-4972000,-4972000,-618000,-4354000,-5704000,-3198000,5397000,-399000,610000,-3517000,-3517000,1584000,-1933000,19755000,119228000,727000,0.25931,0.03539,0.02313,0.02994,0.00785,0.11989,1.33981,2.81488,0.15429,0.1138,0.1132,4.91959,3.80611,0.01364,0.06001,0.01711,0.00134,0.52737,3.87269,8.24674
"46","2021_Q3",9.4678125,"Down",276545000,-202245000,74300000,-58658000,-58658000,15642000,-249000,-1213000,15393000,15393000,-3590000,11803000,11803000,-23000,11780000,11780000,44708000,44708000,124651000,124651000,150013000,32739000,115489000,319372000,34107000,417110000,69316000,74728000,25501000,247565000,451217000,770589000,155441000,40786000,114655000,7084000,69705000,28365000,41340000,232230000,117878000,204927000,44223000,44223000,23923000,136781000,322805000,555035000,123965000,274033000,-182235000,215763000,-209000,215554000,770589000,11803000,10464000,1977000,-15289000,8955000,2852000,2852000,-1502000,4354000,3996000,-3196000,5600000,-11649000,-11054000,1897000,1897000,88000,1985000,26106000,124962000,17259000,0.26867,0.05656,0.0426,0.05465,0.01529,1.46511,1.37524,2.57492,0.16216,0.22106,0.2199,5.18963,4.049,0.32388,0.05998,0.02746,0.03164,0.27131,3.07416,5.13067
"47","2021_Q4",8.0240625,"Down",297562000,-220078000,77484000,-60760000,-60760000,16724000,-746000,-1648000,15978000,15978000,-4866000,11112000,11112000,83000,11195000,11195000,36929000,36929000,136729000,136729000,166823000,37002000,127510000,340481000,34015000,4.32e+08,75613000,85696000,25003000,245688000,466015000,806496000,180609000,38658000,141951000,1582000,67088000,30545000,36543000,249279000,139028000,198482000,36884000,36884000,24035000,137563000,337510000,586789000,126780000,279273000,-185657000,220396000,-689000,219707000,806496000,11112000,9826000,1995000,-13422000,9511000,-18503000,-18503000,-3131000,-15372000,-37119000,-3183000,15644000,10994000,20378000,-7230000,-7230000,-549000,-7779000,26550000,140610000,-509000,0.2604,0.0562,0.03762,0.05095,0.01388,-0.04547,1.36586,2.67078,0.17435,0.21397,0.21167,5.68724,4.21238,-0.00973,0.06084,0.02573,-0.00091,0.28432,3.90512,6.19953
"48","2022_Q1",7.43064516129032,"Down",302969000,-230931000,72038000,-66730000,-66730000,5308000,-1320000,-2116000,3988000,3988000,-2389000,1599000,1599000,54000,1653000,1653000,53228000,53228000,134458000,134458000,158234000,34576000,118722000,345920000,33721000,472998000,97571000,116526000,21266000,237635000,506719000,852639000,222572000,48470000,172902000,10704000,70579000,32119000,38460000,303855000,164315000,173072000,17892000,17892000,23786000,131394000,337387000,641242000,126037000,266369000,-180441000,211965000,-568000,211397000,852639000,1599000,9408000,-971000,24242000,34278000,-10331000,-10331000,-3974000,-6357000,-31999000,-3086000,33933000,-4714000,14723000,17002000,17002000,-242000,16760000,14716000,175019000,31016000,0.23777,0.01752,0.00546000000000001,0.00782,0.00194,18.76346,1.13844,3.03335,0.20527,0.03159,0.03125,5.79058,4.05124,0.5928,0.05898,0.00847,0.05544,1.86691,8.27609,22.9448
"49","2022_Q2",7.67564516129032,"Up",287789000,-214345000,73444000,-64841000,-64841000,8603000,-1021000,-1519000,7582000,7582000,-2426000,5156000,5156000,-60000,5096000,5096000,49156000,49156000,126388000,126388000,173966000,38613000,130417000,349510000,32120000,464004000,95187000,114710000,20790000,233317000,496124000,845634000,179390000,43141000,135076000,32261000,69610000,31872000,37738000,281261000,200304000,168593000,15359000,15359000,24187000,129047000,368897000,650158000,125479000,254480000,-183731000,196228000,-752000,195476000,845634000,5156000,9099000,1969000,-31477000,-15253000,-4583000,-7615000,-1340000,-6275000,-25856000,-3114000,57827000,-1016000,37608000,-3501000,-3501000,-321000,-3822000,17702000,232565000,-15932000,0.2552,0.02989,0.01771,0.02607,0.00603,-3.12637,1.24265,3.32602,0.27502,0.0974,0.09635,5.50045,3.75046,-0.3045,0.05952,0.01376,-0.0267,0.61107,10.36092,21.31919
"50","2022_Q3",6.94551020408163,"Down",303651000,-228440000,75211000,-65398000,-65398000,9813000,-1208000,-1779000,8605000,8605000,-2768000,5837000,5837000,-7000,5830000,5830000,46254000,46254000,129162000,129162000,186918000,36313000,141879000,362334000,30165000,467530000,94686000,114801000,19789000,238254000,497695000,860029000,185263000,44737000,140526000,39776000,72442000,29495000,42947000,297481000,214409000,163631000,12578000,12578000,24471000,126582000,378040000,675521000,125826000,248133000,-188572000,185387000,-879000,184508000,860029000,5837000,9356000,2256000,-14948000,2501000,4492000,4492000,-1783000,6275000,-176000,-2920000,23027000,-13484000,-4037000,-1712000,-1712000,-1079000,-2791000,19169000,254185000,11481000,0.24769,0.03232,0.0192,0.0316,0.00678,1.9693,1.21801,3.6612,0.29555,0.11143,0.11023,5.80362,3.54326,0.21943,0.05581,0.01453,0.01906,0.50086,10.84725,21.18934
