"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"32","2020_Q1",25.4117741935484,"Up",112248000,-59322000,52926000,-61725000,-26849000,-34876000,-8799000.00000001,-17190000,-8661000,-8529000,-25989000,-29185000.0000001,39701000,10516000,10516000,10516000,10516000,176745000,75519000,69790000,69790000,107880000,44167000,27506000,398582000,132647000,550732000,181228000,314727000,10965000,706992000,1105574000,66867000,24822000,42045000,74836000,32064000,32064000,716842000,791678000,1101642000,-330000,-791774000,4358000,313896000,313896000,1105574000,10516000,19806000,-27647000,-10252000,-7577000,-517000,-831000,1297000,1562000,-265000,-1036000,-9444000,-9444000,-9746000,11007000,692747000,-39463000,0.47151,-0.07839,0.09369,0.0335,0.00951,-3.75266,5.32607,2.5221,0.62659,0.159140000000001,0.16036,1.69869,4.75031,-0.59721,0.01012,-0.03799,46.87944,-58.64325
"33","2020_Q2",29.2119047619048,"Up",119097000,-60893000,58204000,-67498000,-32340000,-35158000,-9294000,-16448000,-8621000,-7827000,-25742000,-26976000,-1386000,-28362000,-28362000,-28362000,-28362000,210063000,108184000,51777000,51777000,106857000,41937000,25208000,410634000,129979000,571730000,168154000,314598000,45656000,721573000,1132207000,78928000,24327000,54601000,94639000,89551000,88911000,744048000,838687000,1111672000,-330000,-822011000,4189000,293520000,293520000,1132207000,-28362000,20503000,17011000,28506000,37658000,-4248000,-4541000,1880000,1973000,-93000,-592000,32525000,32525000,32665000,11209000,661382000,36853000,0.48871,-0.07804,-0.23814,-0.09663,-0.02505,-1.29938,4.33895,2.85734,0.58415,-0.42817,-0.42817,1.79796,4.43116,0.55636,-0.02715,0.03528,40.26398,-48.56025
"34","2020_Q3",36.33046875,"Up",126424000,-63054000,63370000,-67824000,-31994000,-35830000,-4454000,-3377000,-7672000,4295000,-7831000,-8645999.99999999,-1580000,-10226000,-10226000,-10226000,-10226000,221582000,120735000,53003000,53003000,99624000,43774000,24655000,417983000,125765000,554504000,155735000,314820000,41101000,694816000,1112799000,84483000,26428000,58055000,92964000,80382000,78331000,734104000,827068000,1116172000,-330000,-832237000,2126000,285731000,285731000,1112799000,-10226000,19738000,11303000,4465000.00000001,25280000,-4425000,-4507000,-5777000,79000.0000000005,-5856000,-7618000,13155000,13155000,12551000,15284000,660607000,16904000,0.50125,-0.03523,-0.08089,-0.03579,-0.00919,-1.65304,4.49618,2.89457,0.59364,-0.15375,-0.15127,1.90083,4.29606,0.25416,-0.00996,0.01646,28.72448,-98.5687
"35","2020_Q4",42.6690625,"Up",137267000,-66391000,70876000,-64931000,-29983000,-34948000,5945000,-29732000,-5849000,-23883000,-23787000,-23232000,-1750000,-24982000,-24982000,-24982000,-24982000,265118000,131870000,60504000,60504000,95576000,29070000,10166000,450268000,1.22e+08,538884000,143317000,314779000,39140000,670859000,1121127000,86626000,25599000,61027000,95017000,99859000,97774000,752806000,847823000,1126572000,-330000,-857219000,4281000,273304000,273304000,1121127000,-24982000,19510000,35015000,4513000,34056000,-3619000,-22922000,1905000,2513000,-608000,-252000,10882000,10882000,11135000,25455000,659832000,28099000,0.51634,0.04331,-0.182,-0.09141,-0.02228,-1.12477,4.73882,3.10212,0.58854,-0.37406,-0.38028,2.05533,4.09223,0.42073,-0.02418,0.0272,15.50634,66.39428
"36","2021_Q1",61.9891803278689,"Up",147249000,-69533000,77716000,-65386000,-29989000,-35397000,12330000,4606999.99999999,-5238000,9844999.99999999,16937000,17292000,2e+05,17492000,17492000,17492000,17492000,333152000,129441000,45884000,45884000,91584000,10899000,10899000,481519000,118866000,528298000,130898000,315012000,40453000,664909000,1146428000,86697000,23043000,63654000,94950000,70166000,70166000,751332000,846282000,1135194000,-330000,-839727000,5009000,300146000,300146000,1146428000,17492000,19075000,-198000.000000015,38034000,74403000,-5281000,-75644000,-131000,20000.0000000005,-151000,-1835000,-3076000,-3076000,-2429000,31405000,689419000,63958000,0.52779,0.08374,0.11879,0.05828,0.01526,3.65641,5.07129,2.81957,0.60136,0.26151,0.26151,2.20143,4.48729,0.9562,0.01651,0.06035,11.34428,28.89432
"37","2021_Q2",58.0374603174603,"Down",148504000,-68242000,80262000,-68188000,-31252000,-36936000,12074000,-20368000,-4734000,-15634000,-8294000,-8294000,-674000,-8968000,-8968000,-8968000,-8968000,354772000,128728000,55209000,55209000,89015000,10219000,10219000,509215000,115953000,515572000,118905000,315338000,39912000,644467000,1153682000,89952000,28158000,61794000,98156000,46430000,46430000,726076000,824232000,1172337000,-330000,-848695000,6138000,329450000,329450000,1153682000,-8968000,18200000,26807000,-1259000,34780000,-2890000,-24769000,-9430000,2414000,-11844000,-11479000,-1468000,-1468000,-713000,30274000,687850000,26799000,0.54047,0.0813,-0.06039,-0.02722,-0.00776999999999999,-2.98829,5.18781,2.50184,0.59622,-0.13236,-0.13236,2.19175,4.8623,0.39552,-0.00843,0.02519,11.00211,27.58638
"38","2021_Q3",61.43609375,"Up",150583000,-66471000,84112000,-65141000,-30522000,-34619000,18971000,-1971000,-4851000,2880000,1.7e+07,1.7e+07,-2193000,14807000,14807000,14807000,14807000,268094000,105540000,68281000,68281000,84516000,11742000,11742000,432633000,114253000,502026000,107499000,314377000,39936000,635762000,1068395000,87370000,26473000,60897000,88573000,47022000,47022000,567689000,656262000,1241889000,-330000,-833888000,4462000,412133000,412133000,1068395000,14807000,17413000,8199000,-12478000,27941000,-4375000,58781000,-9852000,642000,-10494000,-109619000,-22897000,-22897000,-23188000,36384000,521870000,21724000,0.55858,0.12598,0.09833,0.03593,0.01386,1.46714,4.88448,1.59235,0.48846,0.21615,0.20505,2.19816,6.01619,0.31712,0.01509,0.02214,6.97493,13.37705
"39","2021_Q4",72.13625,"Up",152622000,-65352000,87270000,-63594000,-29984000,-33610000,23676000,-8189000,-5526000,-2663000,15487000,15487000,-482000,15005000,15005000,15005000,15005000,308900000,144134000,71619000,71619000,83495000,12321000,12321000,476335000,119137000,487182000,96091000,314338000,37050000,623777000,1100112000,86022000,25980000,60042000,87104000,44426000,44426000,567215000,654319000,1260538000,-330000,-818883000,4468000,445793000,445793000,1100112000,15005000,17241000,16459000,-3824000,44881000,-5381000,-7688000,1652000,2718000,-1066000,1384000,38577000,38577000,38594000,40917000,523871000,32194000,0.5718,0.15513,0.09831,0.03366,0.01364,2.14555,5.46858,1.46776,0.4762,0.22024,0.21441,2.24016,6.54327,0.47254,0.0148,0.03175,5.25383,9.0797
"40","2022_Q1",62.5103225806452,"Down",155211000,-6.5e+07,90211000,-63930000,-30251000,-33679000,26281000,-7529000,-5482000,-2047000,18752000,18752000,-1623000,17129000,17129000,17129000,17129000,344902000,156537000,84570000,84570000,82699000,9365000,9365000,521536000,120526000,476741000,84685000,314240000,38300000,612609000,1134145000,92086000,28712000,63374000,93044000,40511000,40511000,569365000,662409000,1269670000,-330000,-801754000,4150000,471736000,471736000,1134145000,17129000,17099000,14947000,-8365000,40810000,-5308000,-29191000,975000.000000002,1007000,-32000,903000,12522000,12522000,12403000,43380000,529812000,31330000,0.58122,0.16932,0.11036,0.03631,0.0151,1.82906,5.60526,1.40419,0.46715,0.24682,0.24049,2.23647,6.79735,0.45144,0.01644,0.03007,4.26256,7.03588
"41","2022_Q2",51.5806451612903,"Down",159620000,-65477000,94143000,-67074000,-31604000,-35470000,27069000,113215000,-1693000,114908000,140284000,140284000,-1457000,138827000,138827000,138827000,138827000,477710000,273396000,97444000,97444000,88538000,7872000,7872000,671564000,120773000,465281000,75398000,313898000,37102000,588554000,1260118000,96270000,33936000,62334000,97191000,36497000,36497000,638153000,735344000,1177309000,-330000,-655414000,3209000,524774000,524774000,1260118000,138827000,15234000,-103670000,-16287000,34104000,-5076000,105737000,-22621000,5135000,-27756000,-22900000,116941000,116941000,116859000,42303000,602577000,22397000,0.58979,0.16958,0.86973,0.26455,0.11017,0.16133,6.90973,1.40126,0.47819,2.00039,1.94916,2.3,7.56159,0.32272,0.11928,0.01924,2.95173,4.61292
"42","2022_Q3",54.76015625,"Up",165147000,-66159000,98988000,-66417000,-30962000,-35455000,32571000,-1444000,-1389000,-55000,31127000,31127000,-1569000,29558000,29558000,29558000,29558000,503024000,127575000,100552000,100552000,93352000,9508000,9508000,706436000,122426000,455131000,67344000,313185000,36341000,580057000,1286493000,93374000,30999000,62375000,94323000,35702000,35702000,637887000,732210000,1180274000,-330000,-625856000,195000,554283000,554283000,1286493000,29558000,13846000,11138000,-12049000,42493000,-7085000,-180949000,-7002000,0,-7002000,-7223000,-145679000,-145679000,-145821000,46417000,603134000,28852000,0.59939,0.19722,0.17898,0.05333,0.02298,0.97611,7.48954,1.321,0.46882,0.42591,0.415,2.37964,7.98679,0.41573,0.02477,0.02418,2.15675,3.07359
