"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"32","2018_Q3",10.3136507936508,"Down",76257000,-53092000,23165000,-20557000,-11712000,-8714000,-131000,2608000,-912000,-485000,-427000,1696000,1696000,-341000,1355000,1355000,1416000,1416000,27308000,27308000,65939000,65939000,38187000,41044000,4137000,172478000,5432000,19006000,5887000,24438000,196916000,58845000,58845000,5411000,2811000,105579000,10267000,8494000,17067000,122646000,91142000,-16988000,-399000,73755000,74270000,196916000,1355000,682000,294000,-4213000,-1882000,-329000,-329000,77000,77000,7391000,5180000,5180000,-993000,4187000,3290000,48123000,-911000.000000004,0.30378,0.0342,0.01857,0.01907,0.00719,-0.643360000000001,1.63364,1.65135,0.24438,0.08614,0.08493,4.63907,4.48686,-0.05542,0.01067,-0.00687,6.32675000000001,7.98121
"33","2018_Q4",13.5288888888889,"Up",71914000,-48483000,23431000,-19892000,-11106000,-8655000,-131000,3539000,-977000,-405000,-572000,2562000,2562000,-735000,1827000,1827000,1798000,1798000,20028000,20028000,58880000,58880000,45457000,50408000,12256000,174773000,5374000,15052000,2247000,20426000,195199000,63258000,63258000,5465000,3071000,104753000,7676000,5825000,12676000,117429000,92424000,-15190000,5000,77239000,77770000,195199000,1827000,652000,1352000,-4135000,-304000,-338000,-338000,665000,665000,-8994000,-9636000,-9636000,-534000,-10170000,4191000,41030000,453000,0.32582,0.04921,0.025,0.02312,0.00921,0.25195,1.66843,1.50995,0.2102,0.10777,0.10645,4.31062,4.6298,0.02715,0.01422,0.00358,5.01121,5.93444
"34","2019_Q1",12.6322950819672,"Down",74673000,-51673000,2.3e+07,-22200000,-13109000,-8960000,-131000,8e+05,-634000,-347000,-287000,166000,166000,-653000,-487000,-487000,-554000,-554000,27709000,27709000,84540000,84540000,33868000,22634000,4185000,168751000,5518000,15738000,3360000,21256000,190007000,50174000,13309000,10254000,10254000,92190000,5821000,4020000,19963000,112153000,93208000,-15777000,-192000,77239000,77854000,190007000,-487000,669000,971000,2343000,3496000,-428000,-428000,60999.9999999991,60999.9999999991,3832000,6900000,6900000,48000,6948000,1469000,45904000,4037000,0.30801,0.01071,-0.00742,-0.00712,-0.00292,-7.287,1.83047,1.44056,0.24159,-0.0338,-0.03299,4.55573,4.71228,0.24629,-0.00428,0.03115,12.38598,22.74375
"35","2019_Q2",11.8704761904762,"Down",74089000,-49219000,24870000,-25695000,-15039000,-10184000,-472000,-825000,-555000,-783000,228000,-1380000,-1380000,-77000,-1457000,-1457000,-1638000,-1638000,20872000,20872000,82698000,82698000,39718000,31035000,4706000,174323000,6124000,48879000,25687000,55003000,229326000,52160000,14961000,10535000,10535000,87776000,35134000,19824000,65453000,153229000,94033000,-17415000,-1316000,75302000,76097000,229326000,-1457000,1417000,943000,-5879000,-4976000,-109000,-4806000,31898112.6860452,31898112.6860452,5088000,-4694000,-4694000,-306000,-5e+06,592000,55400000,-5319000,0.33568,-0.01114,-0.02211,-0.02153,-0.00714,3.24725,1.986,2.0136,0.24158,-0.09872,-0.09872,4.46508,4.53818,-0.32056,-0.00983,-0.03192,58.32432,-41.85212
"36","2019_Q3",10.946875,"Down",83664000,-55882000,27782000,-24829000,-14929000,-9430000,-470000,2953000,163000,-1182000,1345000,3116000,3116000,-732000,2384000,2384000,2408000,2408000,56421000,56421000,88372000,88372000,43306000,38446000,4857000,226545000,6173000,47210000,25227000,53383000,279928000,55195000,12801000,8941000,8941000,93003000,36413000,21724000,66376000,159379000,137826000,-15007000,-3064000,119755000,120549000,279928000,2384000,1350000,2042000,-16634000,-10858000,-702000,-702000,42982000,42982000,46342000,34782000,34782000,-72999.9999999999,34709000,4303000,58830000,-12301000,0.33207,0.0353,0.02878,0.01998,0.0086,-5.10839,2.43589,1.32211,0.21016,0.13249,0.1279,4.60325,6.589,-0.67681,0.01116,-0.057,0.559840000000001,0.815779999999997
"37","2019_Q4",7.88515625,"Down",71524000,-49347000,22177000,-26078000,-15716000,-9898000,-464000,-3901000,194000,-750000,944000,-3707000,-3707000,-289000,-3996000,-3996000,-4033000,-4033000,47851000,47851000,100613000,100613000,43046000,28307000,6253000,219817000,6575000,41841000,21634000,48416000,268233000,55361000,12041000,9912000,9912000,99879000,34502000,20212000,53958000,153837000,138881000,-19040000,-5445000,114396000,114396000,268233000,-3996000,1343000,1606000,-5007000,-6054000,-650000,-650000,0,0,-5248000,-11952000,-11952000,-605000,-12557000,-2558000,54062000,-7926000,0.31006,-0.05454,-0.05639,-0.03525,-0.01504,1.96529,2.20083,1.34478,0.20155,-0.18821,-0.19412,3.33788,5.33862,-0.36989,-0.01987,-0.03905,-2.42807,-1.59216
"38","2020_Q1",7.64387096774194,"Down",77605000,-52323000,25282000,-24627000,-15522000,-9004000,-101000,655000.000000001,-2451000,-810000,-1641000,-1796000,-7707000,-2487000,-10194000,-10194000,-10194000,-10194000,28747000,28747000,96865000,96865000,35439000,33635000,4185000,194686000,6769000,44692000,26712000,51461000,246147000,54549000,12964000,7768000,7768000,79801000,49861000,32190000,59798000,139599000,139721000,-29234000,-3939000,106548000,106548000,246147000,-10194000,1005000,5381000,2994000,-814000,-853000,-816000,150000.000000004,150000.000000004,-18138000,-19768000,-19768000,603000,-19165000,1660000,27421000,6288000,0.32578,0.00844000000000001,-0.13136,-0.09568,-0.04141,-0.616830000000002,2.43964,1.3102,0.1114,-0.476,-0.476,3.62369,4.97516,0.29361,-0.05545,0.03421,-0.798800000000002,-2.02443
"39","2020_Q2",6.66809523809524,"Down",47480000,-31485000,15995000,-23589000,-13507000,-9710000,-372000,-7594000,187000,-573000,760000,-7407000,-8776000,5000,-8771000,-8771000,-8771000,-8771000,26437000,26437000,86270000,86270000,39912000,28403000,5974000,181022000,6716000,41636000,23831000,48352000,229374000,47803000,12169000,7310000,7310000,67436000,37301000,21533000,64649000,132085000,141212000,-38005000,-5918000,97289000,97289000,229374000,-8771000,1256000,677000,7432000,594000,-560000,-560000,709000,709000,3085000,3119000,3119000,-873000,2246000,-6338000,39671000,529000,0.33688,-0.15994,-0.18473,-0.09015,-0.03824,-0.06031,2.68435,1.35766,0.17295,-0.40845,-0.40845,2.21105,4.53055,0.02463,-0.05033,0.00304,-2.08804,-1.74269
"40","2020_Q3",10.0378125,"Up",70532000,-46764000,23768000,-22036000,-13170000,-8495000,-371000,1732000,-1050000,-4e+05,-650000,682000,682000,-838000,-156000,-156000,-156000,-156000,37971000,37971000,98660000,98660000,48232000,26429000,5451000,211292000,7281000,41330000,24410000,48611000,259903000,56553000,13429000,9501000,9501000,95198000,39099000,21880000,66787000,161985000,142364000,-38161000,-6285000,97918000,97918000,259903000,-156000,1293000,5077000,-10796000,-4582000,-1020000,-1020000,284000,284000,16851000,11249000,11249000,214000,11463000,3025000,56832000,-7953000,0.33698,0.02456,-0.00220999999999999,-0.00158999999999999,-0.000600000000000003,50.98077,2.2195,1.65429,0.21867,-0.00724999999999998,-0.00724999999999998,3.27599,4.54798,-0.36939,-0.000800000000000002,-0.04103,6.23504,10.88972
"41","2020_Q4",12.51921875,"Up",93947000,-65755000,28192000,-26215000,-17168000,-8660000,-387000,1977000,-473000,-432000,-41000,1504000,1504000,-1619000,-115000,-115000,-115000,-115000,31307000,31307000,113725000,113725000,43899000,20604000,5745000,209535000,7170000,40105000,23956000,47275000,256810000,57358000,16508000,8183000,8183000,88882000,38931000,20955000,67083000,155965000,144294000,-38276000,-5173000,100845000,100845000,256810000,-115000,1386000,3839000,-12117000,-7007000,-367000,-367000,269000,269000,-116000,-7490000,-7490000,706000,-6784000,3363000,51493000,-7502000,0.30008,0.02104,-0.00122,-0.00114,-0.00045,65.23478,2.35745,1.54658,0.20051,-0.00533,-0.00533,4.35101,4.67048,-0.34744,-6e-04,-0.03922,6.00238,10.21042
"42","2021_Q1",16.6459016393443,"Up",88681000,-59757000,28924000,-31092000,-19698000,-11092000,-302000,-2168000,-4351000,-553000,-3798000,-6519000,-12991000,-1049000,-14040000,-14040000,-14040000,-14040000,45219000,45219000,97253000,97253000,39572000,29879000,5332000,211923000,7146000,33161000,24402000,40307000,252230000,65957000,16707000,8894000,8894000,88638000,40259000,20207000,70013000,158651000,148019000,-52316000,-2124000,93579000,93579000,252230000,-14040000,1208000,17932000,10959000,16059000,-323000,-323000,2423000,2423000,-2196000,13540000,13540000,487000,14027000,-960000,43541000,10725000,0.32616,-0.02445,-0.15832,-0.15003,-0.05566,-0.763890000000004,2.39088,1.69537,0.17262,-0.64534,-0.64534,4.07616,4.3013,0.49297,-0.07915,0.06046,1.74792,0.77399
"43","2021_Q2",17.3557142857143,"Up",81031000,-52936000,28095000,-43205000,-31824000,-11119000,-262000,-15110000,765000,-207000,972000,-14345000,-22332000,-893000,-23225000,-23225000,-23225000,-23225000,56818000,56818000,82028000,82028000,41116000,30843000,7603000,210805000,7880000,34191000,20124000,42071000,252876000,69896000,18941000,8432000,4435000,80092000,41282000,22346000,41282000,121374000,211465000,-75541000,-4422000,131502000,131502000,252876000,-23225000,1265000,20192000,-5168000,-6936000,-1266000,-5524000,62094000,62094000,21302000,8842000,8842000,404000,9246000,-13845000,1764000,-19386000,0.34672,-0.18647,-0.28662,-0.17661,-0.09184,0.8347,2.63204,0.92298,0.00698,-0.91973,-0.91973,3.20889,5.20759,-0.7677,-0.13306,-0.11106,3.97645,3.64355
"44","2021_Q3",15.73375,"Down",82700000,-55622000,27078000,-30532000,-18256000,-11962000,-314000,-3454000,-270000.000000001,-9000.00000000003,-261000,-3724000,-2816000,-463000,-3279000,-3279000,-3279000,-3279000,53927000,53927000,80338000,80338000,50604000,31201000,6708000,216070000,8056000,34639000,21301000,42695000,258765000,76812000,18469000,8680000,8680000,85492000,40790000,21607000,40790000,126282000,215426000,-78820000,-4123000,132483000,132483000,258765000,-3279000,1178000,4364000,-3604000,-1341000,-875000,-1076000,1965000,1965000,181000,-2236000,-2236000,-471000,-2707000,-2276000,-3.72529029846191e-09,-6292000,0.32742,-0.04177,-0.03965,-0.02475,-0.01267,1.91888,2.52737,0.95319,1.38777878078145e-17,-0.12985,-0.12985,3.27499,5.24644,-0.24917,-0.01892,-0.03631,23.69376,15.61291
"45","2021_Q4",13.25671875,"Down",88412000,-56213000,32199000,-31558000,-19539000,-11707000,-312000,641000,893000,-29000,922000,1534000,-5220000,-676000,-5896000,-5896000,-5896000,-5896000,45505000,45505000,84730000,84730000,58270000,31733000,8906000,220238000,9256000,34468000,21758000,43724000,263962000,89755000,21802000,8703000,8703000,98458000,37756000,19071000,37756000,136214000,218623000,-84716000,-6159000,127748000,127748000,263962000,-5896000,1112000,4675000,-6679000,-6788000,-2017000,-2017000,95000,95000,95000,-8710000,-8710000,138000,-8572000,1753000,0,-6267000,0.36419,0.00725,-0.06669,-0.04615,-0.02234,1.06292,2.23687,1.06627,0,-0.21587,-0.21587,3.23699,4.67719,-0.22945,-0.03562,-0.03787,-25.95836,-70.99064
"46","2022_Q1",14.4822580645161,"Up",98063000,-65167000,32896000,-33180000,-20622000,-12264000,-294000,-284000,-606000,6999.99999999999,-613000,-890000,-1102000,-1181000,-2283000,-2283000,-2283000,-2283000,46666000,46666000,86114000,86114000,56893000,25303000,5690000,214976000,9842000,32850000,21590000,42692000,257668000,80290000,16032000,10188000,10188000,90478000,35283000,18756000,35283000,125761000,223363000,-86999000,-4457000,131907000,131907000,257668000,-2283000,996000,4969000,-2943000,738999.999999999,-866000,-866000,2200000,2200000,2200000,2073000,2073000,-988000,1085000,712000,2.3283064365387e-10,-1916000,0.33546,-0.0029,-0.02328,-0.01731,-0.00886000000000001,0.83925,2.376,0.95341,8.67361737988404e-19,-0.08359,-0.08359,3.59034,4.82946,-0.07015,-0.01366,-0.01146,-65.54213,164.3169
"47","2022_Q2",14.7388709677419,"Up",77040000,-50215000,26825000,-29880000,-17742000,-11844000,-294000,-3055000,-890000,-90000,-8e+05,-3945000,-4381000,1333000,-3048000,-3048000,-3048000,-3048000,34160000,34160000,82607000,82607000,66459000,30182000,13039000,213408000,10277000,32620000,21655000,42897000,256305000,80606000,16832000,11030000,11030000,91636000,33720000,17614000,33720000,125356000,226190000,-90448000,-4793000,130949000,130949000,256305000,-3048000,1081000,4999000,-13764000,-10732000,-1317000,-1317000,156000,156000,-22000,-12071000,-12071000,-903000,-12974000,-1974000,0,-18388000,0.3482,-0.03965,-0.03956,-0.02328,-0.01189,6.03281,2.32887,0.95729,0,-0.1116,-0.1116,2.82063,4.79438,-0.67323,-0.01851,-0.11167,17.30496,11.18167
"48","2022_Q3",14.164375,"Down",91080000,-66137000,24943000,-33325000,-20513000,-12348000,-464000,-8382000,-227000,-164000,-63000,-8609000,-8965000,2937000,-6028000,-6028000,-6028000,-6028000,17125000,17125000,105343000,105343000,69457000,32656000,12525000,224581000,9849000,77393000,25260000,87242000,311823000,98844000,19166000,24891000,24891000,124985000,39331000,24258000,62750000,187735000,229996000,-96476000,-9432000,124088000,124088000,311823000,-6028000,1361000,3626000,-19054000,-20095000,-382000,-22679000,938000,938000,25345000,-17429000,-17429000,-94000,-17523000,-7021000,24669000,-29394000,0.27386,-0.09203,-0.06618,-0.04858,-0.01933,4.87624,1.79686,1.51292,0.07911,-0.21796,-0.21796,3.2932,4.48668,-1.06281,-0.03205,-0.15628,-1.07449,-0.90001999999998
